time,Miami,pts.away,score,pts.home,Phoenix
4:07.0,Turnover by J. McRoberts (dbl dribble),,19-14,,
4:07.0,,,19-14,,G. Green enters the game for G. Dragic
4:07.0,,,19-14,,A. Len enters the game for M. Plumlee
4:07.0,M. Chalmers enters the game for D. Wade,,19-14,,
3:56.0,,,19-16,2,M. Morris makes 2-pt shot from 18 ft (assist by E. Bledsoe)
3:36.0,J. McRoberts makes 3-pt shot from 24 ft (assist by M. Chalmers),3,22-16,,
3:19.0,,,22-16,,G. Green misses 3-pt shot from 25 ft
3:18.0,Defensive rebound by J. McRoberts,,22-16,,
3:07.0,C. Bosh misses 2-pt shot from 3 ft (block by A. Len),,22-16,,
3:06.0,,,22-16,,Defensive rebound by A. Len
3:06.0,Personal foul by J. McRoberts (drawn by E. Bledsoe),,22-16,,
3:06.0,S. Williams enters the game for J. McRoberts,,22-16,,
2:51.0,,,22-18,2,M. Morris makes 2-pt shot from 5 ft
2:38.0,M. Chalmers misses 2-pt shot from 6 ft (block by A. Len),,22-18,,
2:37.0,,,22-18,,Defensive rebound by E. Bledsoe
2:30.0,,,22-18,,Turnover by E. Bledsoe (bad pass; steal by M. Chalmers)
2:29.0,,,22-18,,Personal foul by M. Morris (drawn by S. Williams)
2:29.0,,,22-18,,A. Tolliver enters the game for M. Morris
2:19.0,L. Deng misses 2-pt shot from 2 ft,,22-18,,
2:16.0,,,22-18,,Defensive rebound by E. Bledsoe
2:10.0,,,22-18,,Turnover by E. Bledsoe (bad pass; steal by N. Cole)
1:59.0,N. Cole makes 2-pt shot from 1 ft,2,24-18,,
1:44.0,,,24-18,,G. Green misses 2-pt shot from 17 ft
1:43.0,Defensive rebound by L. Deng,,24-18,,
1:37.0,N. Cole makes 2-pt shot from 1 ft,2,26-18,,
1:18.0,,,26-20,2,G. Green makes 2-pt shot from 1 ft
1:00.0,Turnover by S. Williams (bad pass),,26-20,,
1:00.0,,,26-20,,T. Ennis enters the game for E. Bledsoe
1:00.0,S. Napier enters the game for N. Cole,,26-20,,
0:47.0,Personal foul by L. Deng (drawn by G. Green),,26-20,,
0:34.0,,,26-20,,G. Green misses 2-pt shot from 11 ft
0:33.0,,,26-20,,Offensive rebound by M. Morris
0:32.0,,,26-22,2,M. Morris makes 2-pt shot from 1 ft
0:10.0,L. Deng makes 2-pt shot at rim (assist by S. Napier),2,28-22,,
0:01.0,,,28-25,3,G. Green makes 3-pt shot from 25 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,S. Napier misses 2-pt shot from 19 ft,,28-25,,
11:38.0,,,28-25,,Defensive rebound by A. Tolliver
11:24.0,,,28-27,2,M. Morris makes 2-pt shot from 13 ft (assist by T. Ennis)
10:58.0,S. Napier misses 2-pt shot from 20 ft,,28-27,,
10:57.0,,,28-27,,Defensive rebound by T. Ennis
10:41.0,,,28-29,2,T. Ennis makes 2-pt shot from 3 ft
10:21.0,S. Napier misses 3-pt shot from 25 ft,,28-29,,
10:20.0,,,28-29,,Defensive rebound by A. Tolliver
10:04.0,,,28-29,,G. Green misses 2-pt shot from 11 ft
10:02.0,Defensive rebound by J. Ennis,,28-29,,
9:57.0,,,28-29,,Personal block foul by A. Tolliver (drawn by M. Chalmers)
9:57.0,D. Wade enters the game for S. Napier,,28-29,,
9:49.0,M. Chalmers misses 2-pt shot from 1 ft (block by A. Len),,28-29,,
9:48.0,,,28-29,,Defensive rebound by M. Morris
9:42.0,,,28-31,2,M. Morris makes 2-pt shot from 21 ft
9:40.0,Miami full timeout,,28-31,,
9:21.0,D. Wade misses 2-pt shot from 15 ft,,28-31,,
9:19.0,,,28-31,,Defensive rebound by A. Tolliver
9:14.0,,,28-31,,Turnover by G. Green (bad pass; steal by J. Ennis)
9:05.0,J. Ennis makes 2-pt shot from 3 ft (assist by D. Wade),2,30-31,,
8:51.0,,,30-34,3,A. Tolliver makes 3-pt shot from 25 ft (assist by T. Ennis)
8:32.0,Turnover by M. Chalmers (bad pass; steal by M. Morris),,30-34,,
8:17.0,,,30-34,,Shooting foul by D. Wade (drawn by G. Green)
8:17.0,,,30-34,,G. Green misses free throw 1 of 3
8:17.0,,,30-34,,Offensive rebound by Team
8:17.0,,,30-35,1,G. Green makes free throw 2 of 3
8:17.0,J. McRoberts enters the game for S. Williams,,30-35,,
8:17.0,,,30-36,1,G. Green makes free throw 3 of 3
8:08.0,M. Chalmers makes 2-pt shot from 2 ft (assist by J. McRoberts),2,32-36,,
7:46.0,,,32-36,,M. Morris misses 2-pt shot from 15 ft
7:45.0,Defensive rebound by J. Ennis,,32-36,,
7:31.0,D. Wade makes 2-pt shot from 6 ft (assist by J. Ennis),2,34-36,,
7:17.0,,,34-36,,Turnover by G. Green (offensive foul)
7:17.0,,,34-36,,Offensive charge foul by G. Green
7:17.0,,,34-36,,G. Dragic enters the game for T. Ennis
7:17.0,,,34-36,,M. Plumlee enters the game for A. Len
7:17.0,,,34-36,,E. Bledsoe enters the game for G. Green
6:59.0,M. Chalmers misses 2-pt shot from 18 ft,,34-36,,
6:58.0,,,34-36,,Defensive rebound by M. Morris
6:53.0,Personal foul by M. Chalmers (drawn by E. Bledsoe),,34-36,,
6:47.0,,,34-36,,A. Tolliver misses 3-pt shot from 25 ft
6:45.0,Defensive rebound by J. Ennis,,34-36,,
6:38.0,D. Wade makes 2-pt shot from 6 ft (assist by M. Chalmers),2,36-36,,
6:21.0,,,36-39,3,A. Tolliver makes 3-pt shot from 23 ft (assist by M. Morris)
5:59.0,J. McRoberts makes 2-pt shot from 8 ft,2,38-39,,
5:49.0,,,38-42,3,G. Dragic makes 3-pt shot from 25 ft
5:34.0,M. Chalmers makes 2-pt shot from 1 ft,2,40-42,,
5:24.0,,,40-42,,Offensive foul by M. Plumlee
5:24.0,,,40-42,,Turnover by M. Plumlee (offensive foul)
5:24.0,Official timeout,,40-42,,
5:24.0,,,40-42,,P. Tucker enters the game for M. Morris
5:24.0,C. Bosh enters the game for M. Chalmers,,40-42,,
5:24.0,N. Cole enters the game for U. Haslem,,40-42,,
5:05.0,C. Bosh misses 2-pt shot from 16 ft,,40-42,,
5:03.0,Offensive rebound by J. McRoberts,,40-42,,
4:55.0,D. Wade misses 2-pt shot from 2 ft,,40-42,,
4:54.0,Offensive rebound by D. Wade,,40-42,,
4:54.0,D. Wade misses 2-pt shot from 2 ft,,40-42,,
4:53.0,,,40-42,,Defensive rebound by G. Dragic
4:48.0,,,40-42,,M. Plumlee misses 2-pt shot from 3 ft (block by J. Ennis)
4:46.0,Defensive rebound by C. Bosh,,40-42,,
4:39.0,,,40-42,,Personal foul by G. Dragic (drawn by D. Wade)
4:39.0,,,40-42,,M. Morris enters the game for A. Tolliver
4:39.0,L. Deng enters the game for J. Ennis,,40-42,,
4:31.0,D. Wade misses 2-pt shot from 2 ft (block by M. Plumlee),,40-42,,
4:30.0,,,40-42,,Defensive rebound by P. Tucker
4:12.0,,,40-42,,Shooting foul by D. Wade (drawn by M. Morris)
4:12.0,Technical foul by Team,,40-42,,
4:12.0,,,40-43,1,M. Morris makes technical free throw
4:12.0,,,40-44,1,M. Morris makes free throw 1 of 2
4:12.0,,,40-45,1,M. Morris makes free throw 2 of 2
3:59.0,N. Cole misses 3-pt shot from 22 ft,,40-45,,
3:57.0,,,40-45,,Defensive rebound by M. Morris
3:38.0,,,40-45,,Turnover by M. Plumlee (lost ball)
3:18.0,C. Bosh misses 2-pt shot from 9 ft,,40-45,,
3:16.0,,,40-45,,Defensive rebound by P. Tucker
3:10.0,,,40-45,,E. Bledsoe misses 2-pt shot from 19 ft
3:08.0,,,40-45,,Offensive rebound by M. Morris
3:08.0,,,40-45,,M. Morris misses 2-pt shot from 1 ft
3:06.0,Defensive rebound by D. Wade,,40-45,,
2:47.0,C. Bosh makes 2-pt shot from 16 ft,2,42-45,,
2:40.0,,,42-45,,Phoenix full timeout
2:40.0,M. Chalmers enters the game for D. Wade,,42-45,,
2:37.0,,,42-45,,Offensive foul by M. Morris
2:37.0,,,42-45,,Turnover by M. Morris (offensive foul)
2:37.0,,,42-45,,M. Morris enters the game for M. Morris
2:31.0,Turnover by L. Deng (offensive foul),,42-45,,
2:31.0,Offensive foul by L. Deng,,42-45,,
2:14.0,,,42-48,3,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe)
1:57.0,,,42-48,,Violation by M. Plumlee (def goaltending)
1:57.0,N. Cole makes 2-pt shot from 2 ft (assist by J. McRoberts),2,44-48,,
1:40.0,,,44-48,,P. Tucker misses 2-pt shot from 17 ft
1:39.0,Defensive rebound by C. Bosh,,44-48,,
1:38.0,Turnover by C. Bosh (bad pass; steal by M. Plumlee),,44-48,,
1:38.0,Personal foul by C. Bosh (drawn by M. Plumlee),,44-48,,
1:38.0,D. Wade enters the game for M. Chalmers,,44-48,,
1:35.0,,,44-48,,E. Bledsoe misses 2-pt shot from 17 ft
1:34.0,Defensive rebound by C. Bosh,,44-48,,
1:14.0,L. Deng makes 2-pt shot from 7 ft,2,46-48,,
1:02.0,,,46-48,,G. Dragic misses 2-pt shot from 1 ft
1:01.0,,,46-48,,Offensive rebound by M. Plumlee
1:01.0,,,46-48,,M. Plumlee misses 2-pt shot from 1 ft
1:00.0,,,46-48,,Offensive rebound by G. Dragic
0:58.0,,,46-48,,E. Bledsoe misses 3-pt shot from 24 ft
0:57.0,Defensive rebound by N. Cole,,46-48,,
0:50.0,Turnover by L. Deng (bad pass; steal by M. Morris),,46-48,,
0:43.0,,,46-48,,M. Morris misses 2-pt shot from 2 ft
0:41.0,,,46-48,,Offensive rebound by M. Plumlee
0:30.0,,,46-51,3,P. Tucker makes 3-pt shot from 24 ft (assist by E. Bledsoe)
0:25.0,Miami full timeout,,46-51,,
0:25.0,,,46-51,,A. Tolliver enters the game for P. Tucker
0:25.0,M. Chalmers enters the game for J. McRoberts,,46-51,,
0:11.0,Turnover by D. Wade (bad pass; steal by E. Bledsoe),,46-51,,
0:05.0,,,46-51,,E. Bledsoe misses 2-pt shot from 3 ft (block by L. Deng)
0:05.0,,,46-51,,Offensive rebound by Team
0:05.0,J. McRoberts enters the game for D. Wade,,46-51,,
0:05.0,,,46-51,,Phoenix full timeout
0:05.0,U. Haslem enters the game for M. Chalmers,,46-51,,
0:01.0,,,46-51,,A. Tolliver misses 3-pt shot from 25 ft
0:00.0,,,46-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,C. Bosh makes 2-pt shot from 8 ft,2,48-51,,
11:20.0,Personal foul by J. McRoberts (drawn by M. Morris),,48-51,,
11:12.0,,,48-51,,Turnover by G. Dragic (bad pass; steal by L. Deng)
11:04.0,C. Bosh makes 3-pt shot from 25 ft (assist by L. Deng),3,51-51,,
11:04.0,,,51-51,,Phoenix full timeout
10:44.0,,,51-51,,G. Dragic misses 3-pt shot from 24 ft
10:43.0,Defensive rebound by L. Deng,,51-51,,
10:35.0,N. Cole makes 2-pt shot from 1 ft (assist by J. McRoberts),2,53-51,,
10:18.0,,,53-51,,M. Morris misses 2-pt shot from 18 ft
10:17.0,,,53-51,,Offensive rebound by Team
10:15.0,Personal foul by N. Cole (drawn by P. Tucker),,53-51,,
10:01.0,,,53-51,,G. Dragic misses 3-pt shot from 23 ft
9:59.0,,,53-51,,Offensive rebound by P. Tucker
9:56.0,,,53-53,2,G. Dragic makes 2-pt shot from 2 ft (assist by P. Tucker)
9:39.0,,,53-53,,Personal foul by P. Tucker (drawn by L. Deng)
9:24.0,D. Wade makes 2-pt shot from 17 ft,2,55-53,,
9:03.0,,,55-53,,P. Tucker misses 3-pt shot from 22 ft
9:02.0,Defensive rebound by C. Bosh,,55-53,,
8:37.0,Shooting foul by M. Plumlee (drawn by C. Bosh),,55-53,,
8:37.0,C. Bosh makes free throw 1 of 2,1,56-53,,
8:37.0,,,56-53,,A. Len enters the game for M. Plumlee
8:37.0,C. Bosh makes free throw 2 of 2,1,57-53,,
8:17.0,,,57-53,,M. Morris misses 3-pt shot from 22 ft
8:16.0,,,57-53,,Offensive rebound by A. Len
8:09.0,,,57-53,,E. Bledsoe misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by D. Wade,,57-53,,
8:02.0,N. Cole makes 2-pt shot from 1 ft (assist by D. Wade),2,59-53,,
7:42.0,,,59-53,,M. Morris enters the game for P. Tucker
7:35.0,,,59-55,2,M. Morris makes 2-pt shot from 19 ft (assist by E. Bledsoe)
7:12.0,L. Deng makes 3-pt shot from 23 ft (assist by N. Cole),3,62-55,,
6:56.0,,,62-57,2,G. Dragic makes 2-pt shot from 1 ft (assist by M. Morris)
6:56.0,,,62-57,,Shooting foul by L. Deng (drawn by G. Dragic)
6:56.0,,,62-57,,G. Dragic misses free throw 1 of 1
6:55.0,Defensive rebound by C. Bosh,,62-57,,
6:41.0,L. Deng makes 2-pt shot from 2 ft (assist by N. Cole),2,64-57,,
6:17.0,,,64-57,,E. Bledsoe misses 3-pt shot from 24 ft
6:16.0,,,64-57,,Offensive rebound by Team
6:13.0,,,64-59,2,G. Dragic makes 2-pt shot from 1 ft (assist by M. Morris)
5:57.0,C. Bosh misses 2-pt shot from 14 ft,,64-59,,
5:56.0,,,64-59,,Defensive rebound by M. Morris
5:48.0,,,64-61,2,M. Morris makes 2-pt shot from 10 ft (assist by E. Bledsoe)
5:48.0,Miami full timeout,,64-61,,
5:41.0,,,64-61,,Personal foul by M. Morris (drawn by L. Deng)
5:33.0,L. Deng makes 2-pt shot from 2 ft (assist by J. McRoberts),2,66-61,,
5:14.0,,,66-61,,G. Dragic misses 2-pt shot from 3 ft (block by D. Wade)
5:14.0,,,66-61,,Offensive rebound by Team
5:06.0,,,66-63,2,E. Bledsoe makes 2-pt shot from 1 ft
4:48.0,C. Bosh misses 3-pt shot from 23 ft,,66-63,,
4:47.0,,,66-63,,Defensive rebound by M. Morris
4:41.0,,,66-63,,A. Len misses 2-pt shot from 1 ft (block by L. Deng)
4:40.0,Defensive rebound by N. Cole,,66-63,,
4:28.0,Turnover by D. Wade (lost ball; steal by G. Dragic),,66-63,,
4:23.0,,,66-65,2,G. Dragic makes 2-pt shot at rim
4:05.0,J. McRoberts misses 2-pt shot from 5 ft,,66-65,,
4:03.0,,,66-65,,Defensive rebound by M. Morris
3:58.0,Personal foul by J. McRoberts (drawn by M. Morris),,66-65,,
3:58.0,,,66-65,,G. Green enters the game for E. Bledsoe
3:58.0,M. Chalmers enters the game for D. Wade,,66-65,,
3:58.0,J. Ennis enters the game for L. Deng,,66-65,,
3:58.0,U. Haslem enters the game for J. McRoberts,,66-65,,
3:40.0,,,66-68,3,M. Morris makes 3-pt shot from 23 ft (assist by M. Morris)
3:25.0,C. Bosh makes 2-pt shot from 1 ft,2,68-68,,
3:14.0,,,68-68,,M. Morris misses 2-pt shot from 3 ft
3:13.0,,,68-68,,Offensive rebound by A. Len
3:13.0,,,68-68,,A. Len misses 2-pt shot from 1 ft
3:10.0,Defensive rebound by C. Bosh,,68-68,,
2:53.0,C. Bosh misses 2-pt shot from 19 ft,,68-68,,
2:52.0,,,68-68,,Defensive rebound by A. Len
2:42.0,,,68-68,,Turnover by G. Dragic (bad pass; steal by J. Ennis)
2:24.0,U. Haslem misses 2-pt shot from 16 ft,,68-68,,
2:23.0,,,68-68,,Defensive rebound by G. Green
2:01.0,,,68-68,,Shooting foul by U. Haslem (drawn by M. Morris)
2:01.0,,,68-68,,M. Morris misses free throw 1 of 2
2:01.0,,,68-68,,Offensive rebound by Team
2:01.0,,,68-69,1,M. Morris makes free throw 2 of 2
1:45.0,C. Bosh makes 2-pt shot from 7 ft,2,70-69,,
1:28.0,,,70-72,3,G. Green makes 3-pt shot from 24 ft
1:00.0,C. Bosh makes 3-pt shot from 24 ft (assist by N. Cole),3,73-72,,
0:52.0,,,73-72,,Offensive foul by G. Green
0:52.0,,,73-72,,Turnover by G. Green (offensive foul)
0:52.0,,,73-72,,A. Tolliver enters the game for M. Morris
0:37.0,C. Bosh misses 3-pt shot from 25 ft,,73-72,,
0:36.0,,,73-72,,Defensive rebound by Team
0:26.0,,,73-72,,Turnover by G. Dragic (bad pass; steal by C. Bosh)
0:05.0,,,73-72,,Personal take foul by G. Green (drawn by M. Chalmers)
0:00.0,M. Chalmers misses 3-pt shot from 25 ft,,73-72,,
0:00.0,Offensive rebound by Team,,73-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,73-72,,Turnover by A. Tolliver (bad pass; steal by C. Bosh)
11:38.0,N. Cole misses 2-pt shot from 1 ft,,73-72,,
11:36.0,Offensive rebound by U. Haslem,,73-72,,
11:36.0,U. Haslem makes 2-pt shot at rim,2,75-72,,
11:21.0,,,75-72,,Turnover by M. Morris (bad pass; steal by C. Bosh)
11:21.0,,,75-72,,Personal take foul by G. Dragic (drawn by N. Cole)
10:57.0,U. Haslem misses 2-pt shot from 2 ft (block by A. Len),,75-72,,
10:56.0,Offensive rebound by Team,,75-72,,
10:56.0,Turnover by Team (shot clock),,75-72,,
10:44.0,,,75-75,3,A. Tolliver makes 3-pt shot from 24 ft (assist by G. Green)
10:21.0,C. Bosh makes 3-pt shot from 25 ft (assist by J. Ennis),3,78-75,,
10:03.0,,,78-78,3,M. Morris makes 3-pt shot from 23 ft (assist by G. Green)
9:35.0,,,78-78,,Shooting block foul by A. Len (drawn by J. Ennis)
9:35.0,J. Ennis makes free throw 1 of 2,1,79-78,,
9:35.0,,,79-78,,E. Bledsoe enters the game for G. Dragic
9:35.0,J. McRoberts enters the game for C. Bosh,,79-78,,
9:35.0,D. Wade enters the game for N. Cole,,79-78,,
9:35.0,J. Ennis makes free throw 2 of 2,1,80-78,,
9:27.0,,,80-81,3,G. Green makes 3-pt shot from 25 ft (assist by E. Bledsoe)
8:57.0,J. Ennis misses 3-pt shot from 22 ft,,80-81,,
8:56.0,,,80-81,,Defensive rebound by G. Green
8:50.0,,,80-84,3,G. Green makes 3-pt shot from 24 ft
8:49.0,Miami full timeout,,80-84,,
8:49.0,,,80-84,,M. Morris enters the game for A. Len
8:49.0,L. Deng enters the game for J. Ennis,,80-84,,
8:35.0,D. Wade misses 2-pt shot from 12 ft,,80-84,,
8:33.0,,,80-84,,Defensive rebound by E. Bledsoe
8:09.0,,,80-84,,A. Tolliver misses 2-pt shot from 21 ft
8:08.0,Defensive rebound by D. Wade,,80-84,,
7:58.0,J. McRoberts makes 2-pt shot from 2 ft,2,82-84,,
7:36.0,,,82-84,,G. Green misses 3-pt shot from 24 ft
7:35.0,Defensive rebound by U. Haslem,,82-84,,
7:13.0,D. Wade makes 2-pt shot from 18 ft,2,84-84,,
7:13.0,Shooting foul by M. Morris (drawn by D. Wade),,84-84,,
7:13.0,D. Wade makes free throw 1 of 1,1,85-84,,
6:56.0,Personal foul by U. Haslem (drawn by M. Morris),,85-84,,
6:56.0,,,85-84,,P. Tucker enters the game for A. Tolliver
6:51.0,,,85-84,,Turnover by M. Morris (step out of bounds)
6:31.0,Turnover by D. Wade (bad pass; steal by G. Green),,85-84,,
6:23.0,,,85-84,,Turnover by G. Green (lost ball; steal by M. Chalmers)
6:01.0,J. McRoberts makes 3-pt shot from 25 ft (assist by L. Deng),3,88-84,,
5:42.0,,,88-86,2,M. Morris makes 2-pt shot from 16 ft
5:13.0,U. Haslem misses 2-pt shot from 4 ft,,88-86,,
5:12.0,,,88-86,,Defensive rebound by P. Tucker
5:02.0,,,88-86,,Turnover by E. Bledsoe (lost ball; steal by J. McRoberts)
4:56.0,L. Deng misses 2-pt shot from 1 ft,,88-86,,
4:54.0,Offensive rebound by U. Haslem,,88-86,,
4:54.0,U. Haslem misses 2-pt shot from 1 ft,,88-86,,
4:53.0,Offensive rebound by U. Haslem,,88-86,,
4:53.0,U. Haslem misses 2-pt shot from 1 ft,,88-86,,
4:53.0,Offensive rebound by U. Haslem,,88-86,,
4:53.0,U. Haslem misses 2-pt shot from 1 ft,,88-86,,
4:51.0,,,88-86,,Defensive rebound by E. Bledsoe
4:51.0,,,88-86,,Phoenix full timeout
4:51.0,,,88-86,,G. Dragic enters the game for G. Green
4:51.0,C. Bosh enters the game for U. Haslem,,88-86,,
4:37.0,,,88-88,2,M. Morris makes 2-pt shot from 15 ft
4:21.0,Shooting foul by M. Morris (drawn by L. Deng),,88-88,,
4:21.0,L. Deng makes free throw 1 of 2,1,89-88,,
4:21.0,L. Deng makes free throw 2 of 2,1,90-88,,
3:57.0,,,90-88,,Turnover by Team (shot clock)
3:37.0,Turnover by D. Wade (traveling),,90-88,,
3:28.0,Personal foul by L. Deng (drawn by G. Dragic),,90-88,,
3:17.0,,,90-91,3,M. Morris makes 3-pt shot from 23 ft (assist by M. Morris)
2:54.0,C. Bosh makes 2-pt shot from 13 ft (assist by J. McRoberts),2,92-91,,
2:36.0,,,92-91,,G. Dragic misses 3-pt shot from 22 ft
2:35.0,Defensive rebound by J. McRoberts,,92-91,,
2:21.0,C. Bosh makes 2-pt shot from 1 ft (assist by D. Wade),2,94-91,,
2:03.0,,,94-91,,Turnover by E. Bledsoe (bad pass; steal by D. Wade)
1:49.0,C. Bosh makes 3-pt shot from 25 ft (assist by D. Wade),3,97-91,,
1:48.0,Official timeout,,97-91,,
1:48.0,,,97-91,,Phoenix full timeout
1:29.0,,,97-91,,G. Dragic misses 2-pt shot from 10 ft
1:28.0,,,97-91,,Offensive rebound by Team
1:26.0,U. Haslem enters the game for J. McRoberts,,97-91,,
1:26.0,,,97-91,,G. Green enters the game for P. Tucker
1:24.0,,,97-94,3,G. Green makes 3-pt shot from 23 ft (assist by M. Morris)
1:12.0,L. Deng makes 3-pt shot from 24 ft (assist by D. Wade),3,100-94,,
0:57.0,,,100-97,3,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe)
0:38.0,D. Wade misses 2-pt shot from 17 ft,,100-97,,
0:37.0,Offensive rebound by D. Wade,,100-97,,
0:35.0,D. Wade makes 2-pt shot from 2 ft,2,102-97,,
0:35.0,Shooting foul by E. Bledsoe (drawn by D. Wade),,102-97,,
0:35.0,D. Wade misses free throw 1 of 1,,102-97,,
0:34.0,,,102-97,,Defensive rebound by G. Dragic
0:34.0,,,102-97,,Phoenix full timeout
0:18.0,,,102-97,,M. Morris misses 3-pt shot from 25 ft
0:17.0,,,102-97,,Offensive rebound by G. Dragic
0:14.0,,,102-97,,E. Bledsoe misses 3-pt shot from 25 ft
0:13.0,Defensive rebound by C. Bosh,,102-97,,
0:10.0,,,102-97,,Personal take foul by E. Bledsoe (drawn by D. Wade)
0:10.0,D. Wade makes free throw 1 of 2,1,103-97,,
0:10.0,D. Wade misses free throw 2 of 2,,103-97,,
0:09.0,,,103-97,,Defensive rebound by Team
0:08.0,,,103-97,,Phoenix full timeout
0:08.0,,,103-97,,Turnover by E. Bledsoe (bad pass)
0:00.0,End of 4th quarter,,,,End of 4th quarter
