time,Brooklyn,pts.away,score,pts.home,Dallas
11:35.0,T. Young misses 2-pt shot from 1 ft,,23-28,,
11:33.0,,,23-28,,Defensive rebound by A. Aminu
11:24.0,,,23-28,,Shooting foul by B. Lopez (drawn by A. Stoudemire)
11:24.0,,,23-29,1,A. Stoudemire makes free throw 1 of 2
11:24.0,M. Plumlee enters the game for B. Lopez,,23-29,,
11:24.0,,,23-29,,A. Stoudemire misses free throw 2 of 2
11:23.0,Defensive rebound by T. Young,,23-29,,
11:14.0,J. Jack makes 2-pt shot from 5 ft,2,25-29,,
10:51.0,Jump ball: M. Plumlee vs. A. Stoudemire (T. Young gains possession),,,,Jump ball: M. Plumlee vs. A. Stoudemire (T. Young gains possession)
10:51.0,,,25-29,,Turnover by A. Stoudemire (lost ball; steal by M. Plumlee)
10:36.0,T. Young misses 2-pt shot from 13 ft,,25-29,,
10:35.0,,,25-29,,Defensive rebound by A. Aminu
10:27.0,,,25-31,2,D. Harris makes 2-pt shot from 17 ft
10:09.0,Turnover by J. Jack (bad pass; steal by A. Aminu),,25-31,,
9:51.0,,,25-31,,A. Stoudemire misses 2-pt shot from 3 ft (block by M. Plumlee)
9:50.0,Defensive rebound by T. Young,,25-31,,
9:40.0,,,25-31,,Personal foul by A. Stoudemire (drawn by M. Plumlee)
9:40.0,,,25-31,,C. Villanueva enters the game for A. Stoudemire
9:40.0,M. Brown enters the game for B. Bogdanovic,,25-31,,
9:35.0,,,25-31,,Personal foul by J. Barea (drawn by J. Jack)
9:28.0,J. Jack makes 2-pt shot from 16 ft,2,27-31,,
9:19.0,Personal foul by M. Brown (drawn by D. Harris),,27-31,,
9:11.0,,,27-33,2,D. Nowitzki makes 2-pt shot from 22 ft (assist by D. Harris)
9:04.0,Shooting foul by A. Aminu (drawn by A. Anderson),,27-33,,
9:04.0,A. Anderson makes free throw 1 of 2,1,28-33,,
9:04.0,A. Anderson makes free throw 2 of 2,1,29-33,,
8:53.0,Personal foul by A. Anderson (drawn by D. Nowitzki),,29-33,,
8:53.0,Official timeout,,29-33,,
8:53.0,B. Bogdanovic enters the game for A. Anderson,,29-33,,
8:41.0,,,29-33,,D. Nowitzki misses 2-pt shot from 11 ft
8:38.0,Defensive rebound by B. Bogdanovic,,29-33,,
8:28.0,,,29-33,,Personal foul by D. Harris (drawn by J. Jack)
8:19.0,M. Plumlee makes 2-pt shot at rim (assist by J. Jack),2,31-33,,
8:05.0,,,31-35,2,J. Barea makes 2-pt shot from 8 ft
7:51.0,Turnover by B. Bogdanovic (bad pass; steal by A. Aminu),,31-35,,
7:35.0,Violation by M. Plumlee (def goaltending),,31-35,,
7:35.0,,,31-37,2,J. Barea makes 2-pt shot at rim
7:22.0,Turnover by B. Bogdanovic (lost ball; steal by D. Harris),,31-37,,
7:17.0,,,31-39,2,D. Nowitzki makes 2-pt shot at rim (assist by D. Harris)
7:12.0,Brooklyn full timeout,,31-39,,
7:12.0,,,31-39,,M. Ellis enters the game for J. Barea
7:12.0,,,31-39,,R. Rondo enters the game for D. Harris
7:12.0,J. Johnson enters the game for M. Brown,,31-39,,
7:12.0,D. Williams enters the game for B. Bogdanovic,,31-39,,
6:58.0,,,31-39,,Shooting block foul by A. Aminu (drawn by M. Plumlee)
6:58.0,M. Plumlee makes free throw 1 of 2,1,32-39,,
6:58.0,M. Plumlee misses free throw 2 of 2,,32-39,,
6:57.0,,,32-39,,Defensive rebound by C. Villanueva
6:40.0,,,32-39,,C. Villanueva misses 3-pt shot from 25 ft
6:38.0,Defensive rebound by T. Young,,32-39,,
6:32.0,J. Jack makes 2-pt shot from 21 ft,2,34-39,,
6:13.0,,,34-39,,Turnover by C. Villanueva (bad pass; steal by D. Williams)
6:09.0,D. Williams makes 2-pt shot from 2 ft,2,36-39,,
6:07.0,,,36-39,,Dallas full timeout
6:07.0,,,36-39,,A. Stoudemire enters the game for D. Nowitzki
6:07.0,,,36-39,,R. Jefferson enters the game for A. Aminu
5:48.0,,,36-39,,M. Ellis misses 2-pt shot from 21 ft
5:48.0,,,36-39,,Offensive rebound by C. Villanueva
5:45.0,,,36-39,,Turnover by R. Jefferson (bad pass)
5:30.0,J. Johnson misses 3-pt shot from 25 ft,,36-39,,
5:29.0,,,36-39,,Defensive rebound by C. Villanueva
5:19.0,,,36-39,,Turnover by R. Rondo (bad pass)
5:00.0,M. Plumlee misses 2-pt shot from 1 ft,,36-39,,
4:59.0,Offensive rebound by M. Plumlee,,36-39,,
4:57.0,M. Plumlee misses 2-pt shot at rim,,36-39,,
4:56.0,Offensive rebound by M. Plumlee,,36-39,,
4:54.0,M. Plumlee makes 2-pt shot from 1 ft,2,38-39,,
4:34.0,Personal foul by M. Plumlee (drawn by A. Stoudemire),,38-39,,
4:34.0,,,38-40,1,A. Stoudemire makes free throw 1 of 2
4:34.0,,,38-41,1,A. Stoudemire makes free throw 2 of 2
4:22.0,Shooting foul by M. Ellis (drawn by M. Plumlee),,38-41,,
4:22.0,M. Plumlee misses free throw 1 of 2,,38-41,,
4:22.0,Offensive rebound by Team,,38-41,,
4:22.0,M. Plumlee makes free throw 2 of 2,1,39-41,,
4:09.0,,,39-43,2,A. Stoudemire makes 2-pt shot from 13 ft (assist by R. Rondo)
3:50.0,M. Plumlee makes 2-pt shot from 2 ft,2,41-43,,
3:40.0,,,41-45,2,R. Rondo makes 2-pt shot from 18 ft (assist by C. Villanueva)
3:26.0,D. Williams misses 3-pt shot from 22 ft,,41-45,,
3:25.0,,,41-45,,Defensive rebound by C. Villanueva
3:19.0,,,41-45,,R. Jefferson misses 3-pt shot from 23 ft
3:18.0,Defensive rebound by T. Young,,41-45,,
3:15.0,Turnover by T. Young (bad pass; steal by R. Jefferson),,41-45,,
3:08.0,,,41-45,,C. Villanueva misses 3-pt shot from 24 ft
3:07.0,Defensive rebound by D. Williams,,41-45,,
3:02.0,,,41-45,,D. Nowitzki enters the game for A. Stoudemire
3:02.0,,,41-45,,A. Aminu enters the game for C. Villanueva
2:59.0,,,41-45,,Violation by D. Nowitzki (kicked ball)
2:47.0,T. Young makes 2-pt shot at rim (assist by M. Plumlee),2,43-45,,
2:23.0,,,43-45,,Shooting foul by T. Young (drawn by A. Aminu)
2:23.0,,,43-46,1,A. Aminu makes free throw 1 of 2
2:23.0,,,43-47,1,A. Aminu makes free throw 2 of 2
2:08.0,D. Williams makes 2-pt shot from 11 ft (assist by J. Jack),2,45-47,,
1:50.0,,,45-47,,R. Rondo misses 2-pt shot from 18 ft
1:49.0,Defensive rebound by M. Plumlee,,45-47,,
1:34.0,J. Jack misses 3-pt shot from 24 ft,,45-47,,
1:33.0,,,45-47,,Defensive rebound by R. Rondo
1:27.0,,,45-47,,D. Nowitzki misses 3-pt shot from 24 ft
1:25.0,Defensive rebound by J. Johnson,,45-47,,
1:06.0,Shooting foul by M. Ellis (drawn by T. Young),,45-47,,
1:06.0,T. Young makes free throw 1 of 2,1,46-47,,
1:06.0,,,46-47,,D. Harris enters the game for R. Rondo
1:06.0,M. Brown enters the game for J. Jack,,46-47,,
1:06.0,T. Young misses free throw 2 of 2,,46-47,,
1:05.0,,,46-47,,Defensive rebound by D. Nowitzki
1:05.0,Loose ball foul by M. Plumlee (drawn by D. Nowitzki),,46-47,,
1:05.0,,,46-47,,D. Nowitzki misses free throw 1 of 2
1:05.0,,,46-47,,Offensive rebound by Team
1:05.0,,,46-48,1,D. Nowitzki makes free throw 2 of 2
0:46.0,Turnover by M. Brown (lost ball; steal by A. Aminu),,46-48,,
0:31.0,,,46-51,3,M. Ellis makes 3-pt shot from 25 ft (assist by A. Aminu)
0:26.0,Brooklyn full timeout,,46-51,,
0:26.0,J. Jack enters the game for M. Brown,,46-51,,
0:11.0,Shooting foul by A. Aminu (drawn by M. Plumlee),,46-51,,
0:11.0,M. Plumlee makes free throw 1 of 2,1,47-51,,
0:11.0,,,47-51,,R. Rondo enters the game for A. Aminu
0:11.0,M. Brown enters the game for T. Young,,47-51,,
0:11.0,,,47-51,,Dallas full timeout
0:11.0,M. Plumlee misses free throw 2 of 2,,47-51,,
0:10.0,,,47-51,,Defensive rebound by R. Rondo
0:00.0,,,47-51,,R. Rondo misses 2-pt shot at rim
0:00.0,Defensive rebound by M. Plumlee,,47-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,47-51,,D. Nowitzki misses 2-pt shot from 18 ft
11:42.0,Defensive rebound by A. Anderson,,47-51,,
11:28.0,A. Anderson makes 3-pt shot from 22 ft (assist by M. Brown),3,50-51,,
11:09.0,,,50-51,,J. Barea misses 3-pt shot from 24 ft
11:08.0,Defensive rebound by D. Williams,,50-51,,
10:51.0,J. Johnson misses 3-pt shot from 22 ft,,50-51,,
10:50.0,,,50-51,,Defensive rebound by M. Ellis
10:36.0,,,50-51,,R. Jefferson misses 3-pt shot from 22 ft
10:35.0,Defensive rebound by M. Plumlee,,50-51,,
10:26.0,J. Johnson makes 2-pt shot from 11 ft,2,52-51,,
9:59.0,,,52-51,,R. Rondo misses 2-pt shot from 18 ft
9:58.0,Defensive rebound by M. Brown,,52-51,,
9:52.0,D. Williams makes 2-pt shot at rim,2,54-51,,
9:33.0,,,54-53,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea)
9:15.0,Turnover by J. Johnson (lost ball; steal by M. Ellis),,54-53,,
9:09.0,,,54-53,,J. Barea misses 2-pt shot from 1 ft
9:06.0,Defensive rebound by A. Anderson,,54-53,,
9:01.0,J. Johnson misses 3-pt shot from 24 ft,,54-53,,
9:00.0,Offensive rebound by M. Plumlee,,54-53,,
8:56.0,D. Williams makes 3-pt shot from 25 ft (assist by M. Brown),3,57-53,,
8:55.0,,,57-53,,Dallas full timeout
8:45.0,,,57-55,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by M. Ellis)
8:30.0,Offensive foul by M. Plumlee,,57-55,,
8:30.0,Turnover by M. Plumlee (offensive foul),,57-55,,
8:21.0,,,57-58,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by M. Ellis)
8:04.0,J. Johnson makes 2-pt shot from 9 ft,2,59-58,,
7:40.0,,,59-58,,R. Jefferson misses 2-pt shot from 1 ft (block by M. Plumlee)
7:39.0,,,59-58,,Offensive rebound by J. Barea
7:39.0,,,59-58,,Shooting foul by M. Brown (drawn by J. Barea)
7:39.0,,,59-58,,J. Barea misses free throw 1 of 2
7:39.0,,,59-58,,Offensive rebound by Team
7:39.0,,,59-59,1,J. Barea makes free throw 2 of 2
7:31.0,,,59-59,,Personal foul by R. Rondo (drawn by D. Williams)
7:21.0,D. Williams makes 2-pt shot from 1 ft,2,61-59,,
7:07.0,,,61-59,,M. Ellis misses 2-pt shot from 6 ft
7:06.0,Defensive rebound by D. Williams,,61-59,,
6:56.0,M. Brown makes 2-pt shot from 8 ft,2,63-59,,
6:36.0,,,63-59,,J. Barea misses 2-pt shot from 10 ft
6:35.0,Defensive rebound by M. Plumlee,,63-59,,
6:24.0,A. Anderson misses 3-pt shot from 22 ft,,63-59,,
6:23.0,Offensive rebound by M. Plumlee,,63-59,,
6:18.0,Shooting foul by R. Rondo (drawn by M. Plumlee),,63-59,,
6:18.0,M. Plumlee makes 2-pt shot from 1 ft,2,65-59,,
6:18.0,,,65-59,,A. Aminu enters the game for R. Rondo
6:18.0,,,65-59,,A. Stoudemire enters the game for J. Barea
6:18.0,,,65-59,,D. Harris enters the game for D. Nowitzki
6:18.0,M. Plumlee misses free throw 1 of 1,,65-59,,
6:17.0,,,65-59,,Defensive rebound by A. Stoudemire
6:02.0,,,65-59,,A. Stoudemire misses 2-pt shot from 1 ft
6:00.0,Defensive rebound by M. Brown,,65-59,,
5:43.0,D. Williams makes 3-pt shot from 26 ft (assist by M. Brown),3,68-59,,
5:22.0,,,68-59,,Turnover by M. Ellis (dbl dribble)
5:06.0,J. Johnson makes 3-pt shot from 23 ft (assist by M. Brown),3,71-59,,
4:54.0,,,71-62,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Harris)
4:41.0,Shooting foul by D. Harris (drawn by D. Williams),,71-62,,
4:41.0,D. Williams makes free throw 1 of 2,1,72-62,,
4:41.0,J. Jack enters the game for M. Brown,,72-62,,
4:41.0,D. Williams makes free throw 2 of 2,1,73-62,,
4:25.0,Violation by M. Plumlee (def goaltending),,73-62,,
4:25.0,,,73-64,2,A. Aminu makes 2-pt shot from 2 ft
4:25.0,Technical foul by M. Plumlee,,73-64,,
4:25.0,,,73-65,1,M. Ellis makes technical free throw
4:25.0,B. Lopez enters the game for M. Plumlee,,73-65,,
4:04.0,D. Williams misses 2-pt shot from 2 ft (block by A. Aminu),,73-65,,
4:01.0,,,73-65,,Defensive rebound by R. Jefferson
4:01.0,,,73-65,,Turnover by R. Jefferson (traveling)
3:47.0,B. Lopez misses 2-pt shot from 20 ft,,73-65,,
3:46.0,,,73-65,,Defensive rebound by R. Jefferson
3:38.0,,,73-65,,M. Ellis misses 2-pt shot from 17 ft
3:37.0,Defensive rebound by J. Johnson,,73-65,,
3:35.0,Brooklyn full timeout,,73-65,,
3:35.0,T. Young enters the game for J. Johnson,,73-65,,
3:17.0,A. Anderson misses 2-pt shot from 18 ft,,73-65,,
3:16.0,,,73-65,,Defensive rebound by A. Stoudemire
3:10.0,Personal foul by B. Lopez (drawn by A. Stoudemire),,73-65,,
2:56.0,,,73-65,,R. Jefferson misses 3-pt shot from 24 ft
2:55.0,Defensive rebound by D. Williams,,73-65,,
2:46.0,D. Williams misses 2-pt shot from 1 ft,,73-65,,
2:45.0,Offensive rebound by T. Young,,73-65,,
2:43.0,T. Young makes 2-pt shot at rim,2,75-65,,
2:17.0,,,75-65,,M. Ellis misses 3-pt shot from 25 ft
2:16.0,Defensive rebound by Team,,75-65,,
2:15.0,M. Brown enters the game for D. Williams,,75-65,,
2:03.0,T. Young makes 2-pt shot at rim (assist by J. Jack),2,77-65,,
2:02.0,,,77-65,,Dallas full timeout
2:02.0,,,77-65,,C. Villanueva enters the game for R. Jefferson
1:51.0,,,77-65,,C. Villanueva misses 2-pt shot from 19 ft
1:50.0,Defensive rebound by M. Brown,,77-65,,
1:30.0,M. Brown misses 3-pt shot from 25 ft,,77-65,,
1:29.0,,,77-65,,Defensive rebound by A. Aminu
1:23.0,,,77-67,2,D. Harris makes 2-pt shot from 1 ft (assist by A. Aminu)
1:16.0,Brooklyn full timeout,,77-67,,
1:16.0,B. Bogdanovic enters the game for M. Brown,,77-67,,
1:07.0,T. Young misses 2-pt shot from 4 ft,,77-67,,
1:06.0,,,77-67,,Defensive rebound by A. Stoudemire
0:52.0,,,77-67,,A. Stoudemire misses 2-pt shot from 1 ft (block by T. Young)
0:51.0,,,77-67,,Offensive rebound by Team
0:49.0,,,77-67,,C. Villanueva misses 2-pt shot from 7 ft
0:48.0,Defensive rebound by B. Bogdanovic,,77-67,,
0:37.0,T. Young makes 3-pt shot from 24 ft (assist by J. Jack),3,80-67,,
0:24.0,Shooting block foul by J. Jack (drawn by M. Ellis),,80-67,,
0:24.0,,,80-68,1,M. Ellis makes free throw 1 of 2
0:24.0,,,80-68,,B. James enters the game for A. Stoudemire
0:24.0,,,80-68,,R. Jefferson enters the game for A. Aminu
0:24.0,,,80-69,1,M. Ellis makes free throw 2 of 2
0:05.0,J. Jack misses 2-pt shot from 2 ft,,80-69,,
0:03.0,Offensive rebound by B. Lopez,,80-69,,
0:03.0,B. Lopez misses 2-pt shot at rim,,80-69,,
0:03.0,Offensive rebound by B. Lopez,,80-69,,
0:03.0,B. Lopez misses 2-pt shot at rim,,80-69,,
0:02.0,Offensive rebound by B. Lopez,,80-69,,
0:02.0,B. Lopez makes 2-pt shot at rim,2,82-69,,
0:01.0,,,82-72,3,D. Harris makes 3-pt shot from 47 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,B. Lopez misses 2-pt shot from 7 ft (block by B. James),,82-72,,
11:39.0,,,82-72,,Defensive rebound by J. Barea
11:33.0,,,82-72,,D. Nowitzki misses 3-pt shot from 24 ft
11:31.0,Defensive rebound by B. Lopez,,82-72,,
11:22.0,T. Young misses 3-pt shot from 24 ft,,82-72,,
11:22.0,,,82-72,,Defensive rebound by Team
11:06.0,,,82-72,,D. Nowitzki misses 3-pt shot from 22 ft
11:05.0,Defensive rebound by B. Bogdanovic,,82-72,,
11:05.0,,,82-72,,Loose ball foul by B. James (drawn by B. Bogdanovic)
11:05.0,J. Johnson enters the game for A. Anderson,,82-72,,
10:52.0,J. Jack misses 3-pt shot from 24 ft,,82-72,,
10:51.0,,,82-72,,Defensive rebound by D. Nowitzki
10:32.0,,,82-72,,Shooting foul by T. Young (drawn by B. James)
10:32.0,,,82-73,1,B. James makes free throw 1 of 2
10:32.0,,,82-74,1,B. James makes free throw 2 of 2
10:21.0,Shooting foul by R. Jefferson (drawn by B. Bogdanovic),,82-74,,
10:21.0,B. Bogdanovic makes free throw 1 of 2,1,83-74,,
10:21.0,,,83-74,,A. Aminu enters the game for R. Jefferson
10:21.0,B. Bogdanovic misses free throw 2 of 2,,83-74,,
10:20.0,,,83-74,,Defensive rebound by A. Aminu
10:12.0,Personal foul by B. Bogdanovic (drawn by D. Nowitzki),,83-74,,
9:57.0,,,83-74,,Turnover by Team (shot clock)
9:38.0,J. Jack misses 2-pt shot from 18 ft,,83-74,,
9:37.0,,,83-74,,Defensive rebound by A. Aminu
9:30.0,,,83-77,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Harris)
9:16.0,D. Williams enters the game for B. Bogdanovic,,83-77,,
9:07.0,J. Johnson makes 3-pt shot from 23 ft (assist by T. Young),3,86-77,,
8:44.0,,,86-80,3,D. Harris makes 3-pt shot from 24 ft (assist by D. Nowitzki)
8:29.0,Shooting foul by D. Nowitzki (drawn by B. Lopez),,86-80,,
8:29.0,Official timeout,,86-80,,
8:29.0,B. Lopez misses free throw 1 of 2,,86-80,,
8:29.0,Offensive rebound by Team,,86-80,,
8:29.0,B. Lopez makes free throw 2 of 2,1,87-80,,
8:17.0,M. Plumlee enters the game for B. Lopez,,87-80,,
8:07.0,,,87-80,,D. Harris misses 3-pt shot from 25 ft
8:06.0,Defensive rebound by M. Plumlee,,87-80,,
7:51.0,T. Young makes 2-pt shot from 6 ft,2,89-80,,
7:33.0,,,89-80,,J. Barea misses 3-pt shot from 23 ft
7:32.0,Defensive rebound by D. Williams,,89-80,,
7:20.0,,,89-80,,Personal foul by J. Barea (drawn by D. Williams)
7:20.0,,,89-80,,A. Stoudemire enters the game for J. Barea
7:20.0,,,89-80,,R. Rondo enters the game for D. Harris
7:20.0,,,89-80,,M. Ellis enters the game for B. James
7:20.0,,,89-80,,C. Villanueva enters the game for D. Nowitzki
7:10.0,J. Johnson makes 3-pt shot from 24 ft (assist by M. Plumlee),3,92-80,,
7:08.0,,,92-80,,Dallas full timeout
7:08.0,,,92-80,,D. Harris enters the game for A. Aminu
6:53.0,,,92-80,,C. Villanueva misses 2-pt shot from 1 ft
6:51.0,,,92-80,,Offensive rebound by R. Rondo
6:51.0,,,92-82,2,R. Rondo makes 2-pt shot at rim
6:30.0,J. Jack makes 2-pt shot from 17 ft,2,94-82,,
6:16.0,,,94-84,2,C. Villanueva makes 2-pt shot at rim (assist by R. Rondo)
5:54.0,J. Johnson misses 2-pt shot at rim,,94-84,,
5:53.0,Offensive rebound by J. Johnson,,94-84,,
5:53.0,J. Johnson misses 2-pt shot at rim,,94-84,,
5:52.0,,,94-84,,Defensive rebound by R. Rondo
5:46.0,,,94-84,,M. Ellis misses 3-pt shot from 22 ft
5:43.0,,,94-84,,Offensive rebound by C. Villanueva
5:34.0,,,94-84,,R. Rondo misses 2-pt shot from 17 ft
5:33.0,Defensive rebound by D. Williams,,94-84,,
5:17.0,Shooting foul by A. Stoudemire (drawn by M. Plumlee),,94-84,,
5:17.0,M. Plumlee misses free throw 1 of 2,,94-84,,
5:17.0,Offensive rebound by Team,,94-84,,
5:17.0,,,94-84,,D. Nowitzki enters the game for A. Stoudemire
5:17.0,M. Plumlee makes free throw 2 of 2,1,95-84,,
5:04.0,,,95-86,2,M. Ellis makes 2-pt shot from 1 ft (assist by D. Nowitzki)
4:41.0,M. Plumlee misses 2-pt shot from 4 ft,,95-86,,
4:40.0,,,95-86,,Defensive rebound by D. Nowitzki
4:40.0,Personal foul by M. Plumlee (drawn by D. Nowitzki),,95-86,,
4:27.0,,,95-86,,M. Ellis misses 2-pt shot at rim
4:26.0,Defensive rebound by T. Young,,95-86,,
4:12.0,J. Johnson makes 2-pt shot from 6 ft,2,97-86,,
3:46.0,,,97-89,3,C. Villanueva makes 3-pt shot from 24 ft (assist by M. Ellis)
3:25.0,Turnover by J. Johnson (bad pass; steal by C. Villanueva),,97-89,,
3:19.0,,,97-89,,R. Rondo misses 2-pt shot from 1 ft
3:17.0,Defensive rebound by J. Jack,,97-89,,
