time,Denver,pts.away,score,pts.home,Oklahoma City
5:46.0,,,12-18,,Oklahoma City full timeout
5:36.0,,,12-20,2,R. Westbrook makes 2-pt shot from 1 ft (assist by E. Kanter)
5:14.0,T. Lawson misses 2-pt shot from 13 ft,,12-20,,
5:13.0,,,12-20,,Defensive rebound by E. Kanter
5:03.0,,,12-20,,D. Waiters misses 2-pt shot at rim
5:02.0,,,12-20,,Offensive rebound by E. Kanter
5:01.0,,,12-22,2,E. Kanter makes 2-pt shot at rim
4:52.0,D. Gallinari misses 2-pt shot from 2 ft (block by S. Ibaka),,12-22,,
4:48.0,Offensive rebound by D. Gallinari,,12-22,,
4:48.0,Turnover by D. Gallinari (bad pass; steal by K. Singler),,12-22,,
4:41.0,,,12-24,2,S. Ibaka makes 2-pt shot from 18 ft (assist by R. Westbrook)
4:17.0,T. Lawson misses 3-pt shot from 24 ft,,12-24,,
4:15.0,,,12-24,,Defensive rebound by K. Singler
4:13.0,,,12-24,,Turnover by K. Singler (bad pass; steal by T. Lawson)
4:09.0,T. Lawson makes 2-pt shot from 1 ft,2,14-24,,
3:48.0,,,14-24,,E. Kanter misses 2-pt shot from 1 ft
3:47.0,,,14-24,,Offensive rebound by S. Ibaka
3:43.0,,,14-26,2,S. Ibaka makes 2-pt shot from 17 ft
3:34.0,Denver full timeout,,14-26,,
3:34.0,,,14-26,,N. Collison enters the game for S. Ibaka
3:34.0,D. Arthur enters the game for K. Faried,,14-26,,
3:34.0,J. Hickson enters the game for J. Nurkic,,14-26,,
3:34.0,G. Harris enters the game for D. Gallinari,,14-26,,
3:34.0,,,14-26,,A. Morrow enters the game for K. Singler
3:24.0,J. Hickson misses 2-pt shot from 9 ft,,14-26,,
3:23.0,,,14-26,,Defensive rebound by E. Kanter
3:22.0,,,14-26,,Turnover by E. Kanter (bad pass)
3:18.0,Turnover by R. Foye (bad pass; steal by A. Morrow),,14-26,,
2:59.0,,,14-26,,N. Collison misses 2-pt shot from 5 ft
2:58.0,,,14-26,,Offensive rebound by N. Collison
2:55.0,,,14-28,2,E. Kanter makes 2-pt shot at rim (assist by N. Collison)
2:38.0,G. Harris misses 2-pt shot from 13 ft (block by A. Morrow),,14-28,,
2:36.0,,,14-28,,Defensive rebound by A. Morrow
2:32.0,,,14-28,,Shooting foul by R. Foye (drawn by N. Collison)
2:32.0,,,14-29,1,N. Collison makes free throw 1 of 2
2:32.0,,,14-29,,M. McGary enters the game for E. Kanter
2:32.0,J. Nelson enters the game for T. Lawson,,14-29,,
2:32.0,,,14-30,1,N. Collison makes free throw 2 of 2
2:17.0,Offensive charge foul by G. Harris,,14-30,,
2:17.0,Turnover by G. Harris (offensive foul),,14-30,,
2:17.0,,,14-30,,D. Augustin enters the game for R. Westbrook
1:57.0,,,14-30,,Turnover by D. Waiters (bad pass)
1:45.0,R. Foye misses 2-pt shot from 23 ft,,14-30,,
1:44.0,,,14-30,,Defensive rebound by A. Morrow
1:33.0,,,14-30,,M. McGary misses 2-pt shot from 9 ft
1:32.0,Defensive rebound by J. Hickson,,14-30,,
1:21.0,G. Harris misses 3-pt shot from 23 ft,,14-30,,
1:20.0,,,14-30,,Defensive rebound by N. Collison
1:07.0,,,14-32,2,D. Waiters makes 2-pt shot from 17 ft
0:53.0,Denver full timeout,,14-32,,
0:49.0,Shooting foul by M. McGary (drawn by J. Hickson),,14-32,,
0:49.0,J. Hickson makes free throw 1 of 2,1,15-32,,
0:49.0,J. Hickson makes free throw 2 of 2,1,16-32,,
0:25.0,,,16-34,2,A. Morrow makes 2-pt shot from 18 ft (assist by N. Collison)
0:05.0,J. Hickson makes 2-pt shot from 4 ft (assist by J. Nelson),2,18-34,,
0:01.0,,,18-36,2,D. Waiters makes 2-pt shot from 6 ft (assist by N. Collison)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,W. Barton misses 2-pt shot from 15 ft,,18-36,,
11:46.0,,,18-36,,Defensive rebound by M. McGary
11:36.0,,,18-36,,Turnover by N. Collison (bad pass)
11:25.0,J. Nelson misses 3-pt shot from 26 ft,,18-36,,
11:24.0,,,18-36,,Defensive rebound by M. McGary
11:05.0,,,18-36,,N. Collison misses 2-pt shot from 16 ft
11:05.0,Defensive rebound by D. Arthur,,18-36,,
10:46.0,W. Barton misses 3-pt shot from 22 ft,,18-36,,
10:44.0,Offensive rebound by J. Hickson,,18-36,,
10:33.0,D. Arthur misses 2-pt shot from 13 ft,,18-36,,
10:31.0,,,18-36,,Defensive rebound by D. Augustin
10:27.0,Personal foul by W. Barton (drawn by D. Augustin),,18-36,,
10:19.0,,,18-36,,Turnover by D. Augustin (bad pass; steal by D. Arthur)
10:15.0,W. Barton misses 2-pt shot from 1 ft,,18-36,,
10:14.0,,,18-36,,Defensive rebound by A. Morrow
10:06.0,,,18-36,,A. Morrow misses 3-pt shot from 22 ft
10:04.0,Defensive rebound by R. Foye,,18-36,,
9:56.0,,,18-36,,Personal foul by N. Collison (drawn by D. Arthur)
9:50.0,J. Hickson misses 2-pt shot from 6 ft,,18-36,,
9:49.0,,,18-36,,Defensive rebound by A. Morrow
9:32.0,,,18-36,,D. Augustin misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by R. Foye,,18-36,,
9:18.0,R. Foye makes 3-pt shot from 24 ft (assist by J. Nelson),3,21-36,,
9:00.0,,,21-36,,M. McGary misses 2-pt shot from 6 ft
8:59.0,Defensive rebound by D. Arthur,,21-36,,
8:47.0,R. Foye makes 3-pt shot from 24 ft (assist by J. Nelson),3,24-36,,
8:41.0,,,24-36,,Oklahoma City full timeout
8:40.0,,,24-36,,R. Westbrook enters the game for D. Waiters
8:40.0,,,24-36,,S. Ibaka enters the game for M. McGary
8:40.0,J. Lauvergne enters the game for J. Hickson,,24-36,,
8:26.0,,,24-39,3,A. Morrow makes 3-pt shot from 25 ft (assist by R. Westbrook)
8:07.0,D. Arthur makes 2-pt shot from 17 ft (assist by R. Foye),2,26-39,,
7:52.0,,,26-39,,S. Ibaka misses 2-pt shot from 16 ft
7:51.0,Defensive rebound by J. Lauvergne,,26-39,,
7:42.0,Shooting foul by S. Ibaka (drawn by J. Lauvergne),,26-39,,
7:42.0,J. Lauvergne makes free throw 1 of 2,1,27-39,,
7:42.0,,,27-39,,E. Kanter enters the game for N. Collison
7:42.0,J. Lauvergne makes free throw 2 of 2,1,28-39,,
7:25.0,,,28-41,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
7:20.0,W. Barton makes 2-pt shot at rim (assist by J. Nelson),2,30-41,,
7:03.0,,,30-44,3,D. Augustin makes 3-pt shot from 23 ft (assist by R. Westbrook)
6:49.0,Turnover by R. Foye (bad pass; steal by E. Kanter),,30-44,,
6:43.0,,,30-46,2,S. Ibaka makes 2-pt shot from 1 ft (assist by E. Kanter)
6:26.0,J. Lauvergne misses 2-pt shot at rim (block by S. Ibaka),,30-46,,
6:24.0,,,30-46,,Defensive rebound by R. Westbrook
6:24.0,Personal take foul by D. Arthur (drawn by R. Westbrook),,30-46,,
6:24.0,K. Faried enters the game for R. Foye,,30-46,,
6:24.0,W. Chandler enters the game for D. Arthur,,30-46,,
6:14.0,,,30-48,2,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook)
5:52.0,J. Nelson makes 2-pt shot from 15 ft,2,32-48,,
5:36.0,,,32-50,2,S. Ibaka makes 2-pt shot from 5 ft (assist by R. Westbrook)
5:26.0,,,32-50,,Violation by S. Ibaka (kicked ball)
5:26.0,Official timeout,,32-50,,
5:26.0,,,32-50,,K. Singler enters the game for A. Morrow
5:26.0,J. Nurkic enters the game for J. Nelson,,32-50,,
5:26.0,T. Lawson enters the game for J. Lauvergne,,32-50,,
5:06.0,T. Lawson makes 2-pt shot from 1 ft,2,34-50,,
4:52.0,,,34-52,2,E. Kanter makes 2-pt shot from 3 ft (assist by R. Westbrook)
4:46.0,,,34-52,,Personal foul by E. Kanter (drawn by W. Chandler)
4:46.0,D. Gallinari enters the game for W. Barton,,34-52,,
4:40.0,D. Gallinari makes 2-pt shot from 1 ft (assist by T. Lawson),2,36-52,,
4:14.0,,,36-54,2,S. Ibaka makes 2-pt shot from 4 ft (assist by R. Westbrook)
3:57.0,T. Lawson misses 3-pt shot from 24 ft,,36-54,,
3:56.0,,,36-54,,Defensive rebound by E. Kanter
3:46.0,,,36-57,3,R. Westbrook makes 3-pt shot from 24 ft (assist by D. Augustin)
3:28.0,W. Chandler misses 3-pt shot from 24 ft,,36-57,,
3:23.0,,,36-57,,Defensive rebound by E. Kanter
3:22.0,,,36-57,,Turnover by E. Kanter (bad pass; steal by J. Nurkic)
3:16.0,D. Gallinari misses 3-pt shot from 22 ft,,36-57,,
3:15.0,,,36-57,,Defensive rebound by S. Ibaka
3:09.0,,,36-60,3,K. Singler makes 3-pt shot from 23 ft (assist by R. Westbrook)
2:58.0,,,36-60,,Personal foul by K. Singler (drawn by D. Gallinari)
2:58.0,Denver full timeout,,36-60,,
2:46.0,Shooting foul by E. Kanter (drawn by D. Gallinari),,36-60,,
2:46.0,D. Gallinari makes free throw 1 of 2,1,37-60,,
2:46.0,D. Gallinari makes free throw 2 of 2,1,38-60,,
2:46.0,Inbound foul by K. Faried,,38-60,,
2:46.0,,,38-60,,R. Westbrook misses free throw 1 of 2
2:46.0,,,38-60,,Offensive rebound by Team
2:46.0,,,38-60,,R. Westbrook misses free throw 2 of 2
2:45.0,Defensive rebound by K. Faried,,38-60,,
2:25.0,W. Chandler makes 2-pt shot from 13 ft,2,40-60,,
2:25.0,,,40-60,,Away from play foul by K. Singler (drawn by K. Faried)
2:25.0,K. Faried misses free throw 1 of 1,,40-60,,
2:23.0,,,40-60,,Defensive rebound by S. Ibaka
2:01.0,,,40-60,,S. Ibaka misses 2-pt shot from 18 ft
2:00.0,Defensive rebound by K. Faried,,40-60,,
1:50.0,J. Nurkic misses 2-pt shot from 3 ft,,40-60,,
1:49.0,Offensive rebound by W. Chandler,,40-60,,
1:47.0,W. Chandler misses 2-pt shot from 1 ft (block by S. Ibaka),,40-60,,
1:46.0,Offensive rebound by W. Chandler,,40-60,,
1:45.0,W. Chandler misses 2-pt shot at rim (block by S. Ibaka),,40-60,,
1:44.0,,,40-60,,Defensive rebound by D. Augustin
1:37.0,,,40-63,3,R. Westbrook makes 3-pt shot from 24 ft (assist by D. Augustin)
1:28.0,K. Faried makes 2-pt shot from 1 ft (assist by T. Lawson),2,42-63,,
1:14.0,,,42-65,2,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook)
1:00.0,T. Lawson misses 2-pt shot from 19 ft,,42-65,,
1:00.0,,,42-65,,Defensive rebound by E. Kanter
0:52.0,,,42-65,,S. Ibaka misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by K. Faried,,42-65,,
0:34.0,W. Chandler misses 2-pt shot from 5 ft,,42-65,,
0:33.0,,,42-65,,Defensive rebound by Team
0:33.0,,,42-65,,D. Waiters enters the game for D. Augustin
0:33.0,,,42-65,,A. Roberson enters the game for K. Singler
0:29.0,,,42-67,2,S. Ibaka makes 2-pt shot from 17 ft (assist by R. Westbrook)
0:12.0,K. Faried misses 2-pt shot from 2 ft,,42-67,,
0:11.0,,,42-67,,Defensive rebound by S. Ibaka
0:11.0,,,42-67,,Turnover by S. Ibaka (lost ball; steal by T. Lawson)
0:08.0,J. Nurkic misses 2-pt shot at rim,,42-67,,
0:06.0,,,42-67,,Defensive rebound by E. Kanter
0:03.0,,,42-67,,Turnover by E. Kanter (bad pass)
0:00.0,D. Gallinari misses 3-pt shot from 39 ft,,42-67,,
0:00.0,,,42-67,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Shooting foul by K. Singler (drawn by D. Gallinari),,42-67,,
11:47.0,D. Gallinari makes free throw 1 of 2,1,43-67,,
11:47.0,D. Gallinari misses free throw 2 of 2,,43-67,,
11:46.0,Offensive rebound by K. Faried,,43-67,,
11:42.0,D. Gallinari misses 3-pt shot from 24 ft,,43-67,,
11:41.0,,,43-67,,Defensive rebound by Team
11:32.0,,,43-69,2,S. Ibaka makes 2-pt shot from 17 ft (assist by R. Westbrook)
11:14.0,D. Gallinari makes 3-pt shot from 25 ft (assist by T. Lawson),3,46-69,,
11:01.0,,,46-71,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
10:46.0,W. Chandler misses 3-pt shot from 25 ft,,46-71,,
10:45.0,,,46-71,,Defensive rebound by R. Westbrook
10:40.0,,,46-71,,Shooting foul by D. Gallinari (drawn by E. Kanter)
10:40.0,,,46-72,1,E. Kanter makes free throw 1 of 2
10:40.0,,,46-73,1,E. Kanter makes free throw 2 of 2
10:30.0,T. Lawson makes 2-pt shot from 14 ft,2,48-73,,
10:30.0,Shooting foul by K. Singler (drawn by T. Lawson),,48-73,,
10:30.0,,,48-73,,D. Waiters enters the game for K. Singler
10:30.0,T. Lawson makes free throw 1 of 1,1,49-73,,
10:15.0,,,49-75,2,E. Kanter makes 2-pt shot from 14 ft (assist by R. Westbrook)
9:57.0,W. Chandler misses 3-pt shot from 24 ft,,49-75,,
9:56.0,,,49-75,,Defensive rebound by D. Waiters
9:51.0,,,49-75,,D. Waiters misses 2-pt shot from 18 ft
9:49.0,,,49-75,,Offensive rebound by D. Waiters
9:41.0,,,49-75,,Turnover by R. Westbrook (bad pass; steal by T. Lawson)
9:37.0,T. Lawson makes 2-pt shot from 1 ft,2,51-75,,
9:21.0,Personal foul by W. Chandler (drawn by S. Ibaka),,51-75,,
9:14.0,,,51-77,2,S. Ibaka makes 2-pt shot from 18 ft (assist by A. Roberson)
8:53.0,Shooting foul by S. Ibaka (drawn by T. Lawson),,51-77,,
8:53.0,T. Lawson makes free throw 1 of 2,1,52-77,,
8:53.0,T. Lawson makes free throw 2 of 2,1,53-77,,
8:31.0,,,53-77,,S. Ibaka misses 2-pt shot from 19 ft
8:30.0,Defensive rebound by D. Gallinari,,53-77,,
8:23.0,,,53-77,,Personal foul by E. Kanter (drawn by D. Gallinari)
8:14.0,D. Gallinari makes 2-pt shot from 6 ft,2,55-77,,
8:00.0,,,55-77,,R. Westbrook misses 2-pt shot from 18 ft
7:59.0,Defensive rebound by J. Nurkic,,55-77,,
7:48.0,J. Nurkic misses 2-pt shot from 7 ft,,55-77,,
7:47.0,,,55-77,,Defensive rebound by A. Roberson
7:36.0,,,55-77,,Turnover by R. Westbrook (lost ball; steal by K. Faried)
7:36.0,,,55-77,,Personal foul by R. Westbrook (drawn by T. Lawson)
7:36.0,J. Hickson enters the game for J. Nurkic,,55-77,,
7:36.0,T. Lawson makes free throw 1 of 2,1,56-77,,
7:36.0,T. Lawson makes free throw 2 of 2,1,57-77,,
7:13.0,,,57-77,,D. Waiters misses 2-pt shot from 5 ft
7:12.0,Defensive rebound by K. Faried,,57-77,,
7:01.0,T. Lawson misses 2-pt shot from 16 ft,,57-77,,
7:00.0,Offensive rebound by T. Lawson,,57-77,,
6:51.0,Turnover by J. Hickson (lost ball; steal by A. Roberson),,57-77,,
6:48.0,,,57-79,2,R. Westbrook makes 2-pt shot at rim (assist by A. Roberson)
6:30.0,K. Faried misses 2-pt shot at rim (block by S. Ibaka),,57-79,,
6:28.0,,,57-79,,Defensive rebound by S. Ibaka
6:17.0,,,57-79,,D. Waiters misses 2-pt shot from 17 ft
6:15.0,Defensive rebound by J. Hickson,,57-79,,
6:04.0,D. Gallinari misses 2-pt shot from 18 ft,,57-79,,
6:03.0,,,57-79,,Defensive rebound by E. Kanter
5:56.0,,,57-82,3,D. Waiters makes 3-pt shot from 24 ft (assist by R. Westbrook)
5:50.0,Denver full timeout,,57-82,,
5:50.0,W. Barton enters the game for W. Chandler,,57-82,,
5:50.0,D. Arthur enters the game for K. Faried,,57-82,,
5:50.0,R. Foye enters the game for D. Gallinari,,57-82,,
5:34.0,D. Arthur misses 2-pt shot from 17 ft,,57-82,,
5:33.0,Offensive rebound by J. Hickson,,57-82,,
5:29.0,,,57-82,,Shooting block foul by E. Kanter (drawn by D. Arthur)
5:29.0,D. Arthur makes free throw 1 of 2,1,58-82,,
5:29.0,D. Arthur makes free throw 2 of 2,1,59-82,,
5:12.0,,,59-84,2,R. Westbrook makes 2-pt shot from 15 ft
5:12.0,,,59-84,,Shooting foul by J. Hickson (drawn by R. Westbrook)
5:12.0,,,59-85,1,R. Westbrook makes free throw 1 of 1
5:04.0,T. Lawson makes 2-pt shot at rim,2,61-85,,
4:52.0,,,61-87,2,R. Westbrook makes 2-pt shot from 10 ft
4:32.0,J. Hickson misses 2-pt shot from 2 ft (block by S. Ibaka),,61-87,,
4:30.0,,,61-87,,Defensive rebound by R. Westbrook
4:25.0,,,61-89,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
4:07.0,W. Barton misses 2-pt shot from 10 ft,,61-89,,
4:05.0,,,61-89,,Defensive rebound by R. Westbrook
3:57.0,,,61-89,,S. Ibaka misses 2-pt shot from 1 ft
3:56.0,,,61-89,,Offensive rebound by R. Westbrook
3:51.0,,,61-89,,D. Waiters misses 3-pt shot from 22 ft
3:49.0,,,61-89,,Offensive rebound by E. Kanter
3:48.0,,,61-89,,Shooting foul by D. Arthur (drawn by E. Kanter)
3:48.0,,,61-89,,E. Kanter misses free throw 1 of 2
3:48.0,,,61-89,,Offensive rebound by Team
3:48.0,,,61-89,,D. Augustin enters the game for A. Roberson
3:48.0,,,61-89,,E. Kanter misses free throw 2 of 2
3:47.0,Defensive rebound by J. Hickson,,61-89,,
3:36.0,D. Arthur misses 2-pt shot from 5 ft,,61-89,,
3:34.0,,,61-89,,Defensive rebound by R. Westbrook
3:29.0,,,61-89,,D. Waiters misses 2-pt shot from 2 ft
3:28.0,,,61-89,,Offensive rebound by E. Kanter
3:28.0,,,61-89,,E. Kanter misses 2-pt shot from 1 ft
3:26.0,,,61-89,,Offensive rebound by E. Kanter
3:26.0,,,61-89,,E. Kanter misses 2-pt shot from 1 ft
3:25.0,Defensive rebound by W. Barton,,61-89,,
3:20.0,R. Foye misses 3-pt shot from 24 ft,,61-89,,
3:19.0,,,61-89,,Defensive rebound by S. Ibaka
3:10.0,,,61-89,,S. Ibaka misses 2-pt shot from 17 ft
3:09.0,,,61-89,,Offensive rebound by E. Kanter
3:09.0,,,61-91,2,E. Kanter makes 2-pt shot from 1 ft
3:00.0,,,61-91,,Personal foul by S. Ibaka (drawn by D. Arthur)
3:00.0,D. Arthur makes free throw 1 of 2,1,62-91,,
3:00.0,J. Lauvergne enters the game for J. Hickson,,62-91,,
3:00.0,J. Nelson enters the game for T. Lawson,,62-91,,
3:00.0,,,62-91,,N. Collison enters the game for R. Westbrook
3:00.0,,,62-91,,A. Morrow enters the game for S. Ibaka
3:00.0,D. Arthur misses free throw 2 of 2,,62-91,,
2:59.0,,,62-91,,Defensive rebound by A. Morrow
2:48.0,Personal foul by R. Foye (drawn by D. Waiters),,62-91,,
2:48.0,,,62-91,,Oklahoma City full timeout
2:48.0,,,62-91,,M. McGary enters the game for E. Kanter
2:48.0,,,62-92,1,D. Waiters makes free throw 1 of 2
2:48.0,,,62-93,1,D. Waiters makes free throw 2 of 2
2:36.0,W. Barton makes 3-pt shot from 25 ft (assist by R. Foye),3,65-93,,
2:19.0,,,65-93,,D. Augustin misses 3-pt shot from 24 ft
2:18.0,Defensive rebound by J. Lauvergne,,65-93,,
2:01.0,Offensive charge foul by J. Lauvergne,,65-93,,
2:01.0,Turnover by J. Lauvergne (offensive foul),,65-93,,
1:51.0,,,65-93,,D. Waiters misses 2-pt shot from 2 ft (block by J. Lauvergne)
1:51.0,,,65-93,,Offensive rebound by Team
1:46.0,,,65-93,,M. McGary misses 2-pt shot from 15 ft
1:44.0,Defensive rebound by W. Barton,,65-93,,
1:36.0,J. Lauvergne makes 2-pt shot at rim (assist by R. Foye),2,67-93,,
1:16.0,,,67-95,2,D. Waiters makes 2-pt shot from 20 ft
1:00.0,D. Arthur misses 3-pt shot from 24 ft,,67-95,,
1:00.0,,,67-95,,Defensive rebound by A. Morrow
0:51.0,,,67-97,2,D. Waiters makes 2-pt shot from 1 ft
0:37.0,Turnover by W. Barton (step out of bounds),,67-97,,
0:31.0,,,67-97,,A. Morrow misses 3-pt shot from 24 ft
0:30.0,,,67-97,,Offensive rebound by M. McGary
0:11.0,,,67-97,,Shooting foul by D. Arthur (drawn by M. McGary)
0:11.0,,,67-97,,M. McGary misses free throw 1 of 2
0:11.0,,,67-97,,Offensive rebound by Team
0:11.0,,,67-98,1,M. McGary makes free throw 2 of 2
0:03.0,R. Foye makes 2-pt shot at rim,2,69-98,,
0:00.0,,,69-98,,D. Augustin misses 3-pt shot from 40 ft
0:00.0,Defensive rebound by Team,,69-98,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,69-98,,Turnover by A. Morrow (bad pass; steal by D. Arthur)
11:30.0,J. Lauvergne makes 2-pt shot at rim (assist by J. Nelson),2,71-98,,
11:03.0,,,71-98,,D. Waiters misses 2-pt shot from 5 ft
11:03.0,Defensive rebound by D. Arthur,,71-98,,
10:52.0,G. Harris misses 3-pt shot from 22 ft,,71-98,,
10:51.0,Offensive rebound by D. Arthur,,71-98,,
10:38.0,Turnover by G. Harris (step out of bounds),,71-98,,
10:27.0,,,71-98,,M. McGary misses 2-pt shot from 17 ft
10:26.0,Defensive rebound by W. Barton,,71-98,,
10:19.0,J. Lauvergne misses 2-pt shot from 15 ft,,71-98,,
10:18.0,,,71-98,,Defensive rebound by A. Morrow
9:55.0,,,71-98,,D. Augustin misses 2-pt shot from 1 ft (block by J. Lauvergne)
9:54.0,Defensive rebound by J. Lauvergne,,71-98,,
9:51.0,Shooting foul by A. Morrow (drawn by G. Harris),,71-98,,
9:51.0,G. Harris makes free throw 1 of 2,1,72-98,,
9:51.0,J. Nurkic enters the game for D. Arthur,,72-98,,
9:51.0,E. Green enters the game for J. Nelson,,72-98,,
9:51.0,G. Harris makes free throw 2 of 2,1,73-98,,
9:39.0,,,73-100,2,A. Morrow makes 2-pt shot from 8 ft
9:23.0,,,73-100,,Personal foul by D. Waiters (drawn by G. Harris)
9:09.0,J. Lauvergne misses 3-pt shot from 22 ft,,73-100,,
9:08.0,Offensive rebound by J. Nurkic,,73-100,,
9:08.0,J. Nurkic misses 2-pt shot from 2 ft,,73-100,,
9:08.0,Offensive rebound by Team,,73-100,,
9:08.0,Turnover by Team (shot clock),,73-100,,
8:51.0,,,73-102,2,A. Morrow makes 2-pt shot from 8 ft
8:33.0,,,73-102,,Personal foul by D. Augustin (drawn by J. Lauvergne)
8:33.0,Official timeout,,73-102,,
8:33.0,,,73-102,,S. Novak enters the game for D. Waiters
8:33.0,,,73-102,,P. Jones enters the game for N. Collison
8:20.0,Turnover by E. Green (lost ball; steal by D. Augustin),,73-102,,
8:19.0,,,73-102,,Turnover by D. Augustin (bad pass; steal by W. Barton)
8:15.0,E. Green misses 2-pt shot from 18 ft,,73-102,,
8:13.0,,,73-102,,Defensive rebound by P. Jones
8:07.0,,,73-105,3,D. Augustin makes 3-pt shot from 23 ft
7:53.0,J. Nurkic makes 2-pt shot at rim (assist by G. Harris),2,75-105,,
