time,LA Lakers,pts.away,score,pts.home,Memphis
11:23.0,C. Boozer misses 2-pt shot from 18 ft,,52-56,,
11:22.0,,,52-56,,Defensive rebound by T. Allen
11:00.0,,,52-58,2,M. Conley makes 2-pt shot from 12 ft
10:40.0,K. Bryant misses 2-pt shot from 5 ft,,52-58,,
10:39.0,Offensive rebound by J. Hill,,52-58,,
10:39.0,J. Hill misses 2-pt shot at rim,,52-58,,
10:36.0,Offensive rebound by C. Boozer,,52-58,,
10:31.0,W. Johnson makes 3-pt shot from 25 ft (assist by J. Lin),3,55-58,,
10:13.0,,,55-60,2,M. Conley makes 2-pt shot at rim (assist by M. Gasol)
9:59.0,J. Hill misses 2-pt shot from 15 ft,,55-60,,
9:57.0,,,55-60,,Defensive rebound by Z. Randolph
9:46.0,,,55-60,,C. Lee misses 2-pt shot from 17 ft
9:45.0,Defensive rebound by J. Hill,,55-60,,
9:28.0,K. Bryant misses 2-pt shot from 9 ft,,55-60,,
9:27.0,Offensive rebound by J. Hill,,55-60,,
9:26.0,J. Hill misses 2-pt shot from 7 ft,,55-60,,
9:26.0,,,55-60,,Defensive rebound by Team
9:26.0,Loose ball foul by C. Boozer (drawn by Z. Randolph),,55-60,,
9:09.0,,,55-60,,M. Gasol misses 2-pt shot from 6 ft
9:08.0,Defensive rebound by K. Bryant,,55-60,,
9:04.0,,,55-60,,Personal foul by T. Allen (drawn by K. Bryant)
9:00.0,J. Lin makes 2-pt shot at rim,2,57-60,,
8:56.0,,,57-60,,Memphis full timeout
8:40.0,,,57-62,2,T. Allen makes 2-pt shot from 5 ft (assist by M. Gasol)
8:25.0,J. Lin misses 2-pt shot from 20 ft,,57-62,,
8:24.0,Offensive rebound by C. Boozer,,57-62,,
8:24.0,Shooting foul by T. Allen (drawn by C. Boozer),,57-62,,
8:24.0,C. Boozer misses free throw 1 of 2,,57-62,,
8:24.0,Offensive rebound by Team,,57-62,,
8:24.0,C. Boozer makes free throw 2 of 2,1,58-62,,
8:07.0,,,58-64,2,Z. Randolph makes 2-pt shot at rim (assist by M. Gasol)
7:52.0,J. Hill misses 2-pt shot from 16 ft,,58-64,,
7:51.0,,,58-64,,Defensive rebound by Z. Randolph
7:43.0,,,58-64,,M. Conley misses 2-pt shot at rim
7:40.0,Defensive rebound by C. Boozer,,58-64,,
7:36.0,K. Bryant makes 2-pt shot from 13 ft,2,60-64,,
7:14.0,,,60-64,,C. Lee misses 3-pt shot from 23 ft
7:12.0,Defensive rebound by K. Bryant,,60-64,,
7:03.0,C. Boozer makes 2-pt shot from 18 ft (assist by K. Bryant),2,62-64,,
6:41.0,,,62-64,,T. Allen misses 2-pt shot from 16 ft
6:40.0,Defensive rebound by J. Hill,,62-64,,
6:26.0,J. Lin makes 2-pt shot at rim (assist by J. Hill),2,64-64,,
6:10.0,,,64-66,2,Z. Randolph makes 2-pt shot at rim (assist by M. Gasol)
5:49.0,,,64-66,,V. Carter enters the game for T. Allen
5:49.0,E. Davis enters the game for C. Boozer,,64-66,,
5:45.0,K. Bryant misses 3-pt shot from 25 ft,,64-66,,
5:44.0,Offensive rebound by E. Davis,,64-66,,
5:40.0,Turnover by E. Davis (lost ball; steal by M. Conley),,64-66,,
5:38.0,Personal foul by K. Bryant (drawn by M. Conley),,64-66,,
5:38.0,,,64-66,,K. Koufos enters the game for Z. Randolph
5:27.0,,,64-68,2,K. Koufos makes 2-pt shot at rim (assist by M. Gasol)
5:02.0,K. Bryant makes 2-pt shot from 13 ft,2,66-68,,
4:36.0,,,66-71,3,M. Conley makes 3-pt shot from 25 ft
4:36.0,,,66-71,,Shooting foul by J. Hill (drawn by M. Conley)
4:36.0,Technical foul by Team,,66-71,,
4:36.0,,,66-72,1,C. Lee makes technical free throw
4:36.0,,,66-73,1,M. Conley makes free throw 1 of 1
4:26.0,,,66-73,,Personal foul by C. Lee (drawn by K. Bryant)
4:26.0,R. Price enters the game for J. Lin,,66-73,,
4:12.0,K. Bryant misses 3-pt shot from 29 ft,,66-73,,
4:11.0,,,66-73,,Defensive rebound by Team
3:54.0,,,66-73,,Turnover by M. Gasol (lost ball; steal by K. Bryant)
3:48.0,K. Bryant makes 2-pt shot from 2 ft,2,68-73,,
3:29.0,,,68-73,,M. Conley misses 2-pt shot from 17 ft
3:28.0,,,68-73,,Offensive rebound by M. Gasol
3:14.0,,,68-75,2,M. Gasol makes 2-pt shot from 20 ft (assist by C. Lee)
3:01.0,,,68-75,,Personal foul by C. Lee (drawn by K. Bryant)
3:01.0,,,68-75,,J. Leuer enters the game for M. Gasol
2:50.0,K. Bryant misses 2-pt shot from 9 ft,,68-75,,
2:48.0,,,68-75,,Defensive rebound by J. Leuer
2:41.0,Personal foul by R. Price (drawn by M. Conley),,68-75,,
2:41.0,LA Lakers full timeout,,68-75,,
2:30.0,,,68-78,3,V. Carter makes 3-pt shot from 25 ft (assist by M. Conley)
2:08.0,J. Hill misses 2-pt shot from 18 ft,,68-78,,
2:07.0,,,68-78,,Defensive rebound by J. Leuer
1:45.0,,,68-78,,Turnover by K. Koufos (traveling)
1:45.0,,,68-78,,B. Udrih enters the game for M. Conley
1:28.0,J. Hill misses 2-pt shot from 1 ft,,68-78,,
1:27.0,Offensive rebound by E. Davis,,68-78,,
1:27.0,E. Davis misses 2-pt shot at rim,,68-78,,
1:24.0,Offensive rebound by J. Hill,,68-78,,
1:24.0,J. Hill makes 2-pt shot at rim,2,70-78,,
1:12.0,,,70-78,,Turnover by B. Udrih (lost ball; steal by K. Bryant)
1:12.0,,,70-78,,Personal take foul by B. Udrih (drawn by K. Bryant)
1:12.0,K. Bryant makes free throw 1 of 2,1,71-78,,
1:12.0,K. Bryant makes free throw 2 of 2,1,72-78,,
0:57.0,,,72-80,2,V. Carter makes 2-pt shot from 20 ft
0:45.0,,,72-80,,Personal foul by V. Carter (drawn by K. Bryant)
0:45.0,K. Bryant makes free throw 1 of 2,1,73-80,,
0:45.0,K. Bryant misses free throw 2 of 2,,73-80,,
0:44.0,,,73-80,,Defensive rebound by K. Koufos
0:27.0,,,73-83,3,C. Lee makes 3-pt shot from 25 ft (assist by V. Carter)
0:05.0,R. Price misses 3-pt shot from 22 ft,,73-83,,
0:04.0,Offensive rebound by J. Hill,,73-83,,
0:02.0,J. Hill makes 2-pt shot from 6 ft,2,75-83,,
0:01.0,,,75-83,,B. Udrih misses 3-pt shot from 47 ft
0:00.0,,,75-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,75-83,,B. Udrih misses 2-pt shot from 17 ft
11:38.0,Defensive rebound by W. Johnson,,75-83,,
11:30.0,W. Johnson misses 3-pt shot from 26 ft,,75-83,,
11:28.0,,,75-83,,Defensive rebound by V. Carter
11:17.0,,,75-83,,Shooting foul by E. Davis (drawn by C. Lee)
11:17.0,,,75-83,,C. Lee misses free throw 1 of 2
11:17.0,,,75-83,,Offensive rebound by Team
11:17.0,,,75-84,1,C. Lee makes free throw 2 of 2
11:00.0,C. Boozer misses 2-pt shot from 6 ft (block by K. Koufos),,75-84,,
10:59.0,,,75-84,,Defensive rebound by Team
10:44.0,,,75-86,2,J. Leuer makes 2-pt shot from 1 ft
10:24.0,J. Lin makes 3-pt shot from 26 ft (assist by C. Boozer),3,78-86,,
10:06.0,,,78-88,2,B. Udrih makes 2-pt shot from 1 ft
9:56.0,J. Lin misses 2-pt shot from 21 ft,,78-88,,
9:56.0,Offensive rebound by Team,,78-88,,
9:56.0,,,78-88,,Loose ball foul by J. Leuer (drawn by E. Davis)
9:56.0,,,78-88,,M. Conley enters the game for C. Lee
9:50.0,C. Boozer makes 2-pt shot from 13 ft,2,80-88,,
9:34.0,Personal foul by J. Lin (drawn by M. Conley),,80-88,,
9:25.0,,,80-91,3,M. Conley makes 3-pt shot from 23 ft (assist by B. Udrih)
9:11.0,E. Davis makes 2-pt shot from 5 ft,2,82-91,,
8:55.0,,,82-91,,B. Udrih misses 2-pt shot from 13 ft
8:54.0,Defensive rebound by E. Davis,,82-91,,
8:41.0,W. Johnson misses 3-pt shot from 25 ft,,82-91,,
8:40.0,,,82-91,,Defensive rebound by B. Udrih
8:29.0,,,82-93,2,B. Udrih makes 2-pt shot from 11 ft (assist by V. Carter)
8:15.0,Turnover by R. Price (lost ball; steal by M. Conley),,82-93,,
8:11.0,,,82-95,2,M. Conley makes 2-pt shot at rim
8:09.0,LA Lakers full timeout,,82-95,,
7:58.0,Shooting foul by V. Carter (drawn by C. Boozer),,82-95,,
7:58.0,C. Boozer makes free throw 1 of 2,1,83-95,,
7:58.0,C. Boozer makes free throw 2 of 2,1,84-95,,
7:43.0,,,84-97,2,K. Koufos makes 2-pt shot from 6 ft (assist by J. Leuer)
7:29.0,Turnover by J. Lin (lost ball; steal by B. Udrih),,84-97,,
7:24.0,,,84-99,2,B. Udrih makes 2-pt shot from 1 ft
6:59.0,C. Boozer misses 2-pt shot from 15 ft,,84-99,,
6:58.0,,,84-99,,Defensive rebound by V. Carter
6:50.0,,,84-101,2,K. Koufos makes 2-pt shot at rim (assist by B. Udrih)
6:37.0,,,84-101,,Personal foul by K. Koufos (drawn by J. Lin)
6:37.0,K. Bryant enters the game for W. Johnson,,84-101,,
6:37.0,J. Hill enters the game for E. Davis,,84-101,,
6:37.0,,,84-101,,C. Lee enters the game for V. Carter
6:23.0,K. Bryant misses 2-pt shot from 14 ft,,84-101,,
6:22.0,,,84-101,,Defensive rebound by Team
6:22.0,Loose ball foul by C. Boozer (drawn by B. Udrih),,84-101,,
6:08.0,,,84-101,,Turnover by M. Conley (lost ball; steal by J. Lin)
6:02.0,J. Lin misses 3-pt shot from 26 ft,,84-101,,
6:00.0,Offensive rebound by C. Boozer,,84-101,,
5:57.0,C. Boozer makes 2-pt shot at rim,2,86-101,,
5:57.0,Shooting foul by K. Koufos (drawn by C. Boozer),,86-101,,
5:57.0,Official timeout,,86-101,,
5:57.0,,,86-101,,Z. Randolph enters the game for K. Koufos
5:57.0,,,86-101,,M. Gasol enters the game for J. Leuer
5:57.0,C. Boozer makes free throw 1 of 1,1,87-101,,
5:39.0,,,87-101,,Turnover by C. Lee (lost ball; steal by J. Hill)
5:39.0,,,87-101,,Personal take foul by Z. Randolph (drawn by J. Hill)
5:39.0,J. Hill misses free throw 1 of 2,,87-101,,
5:39.0,Offensive rebound by Team,,87-101,,
5:39.0,J. Hill makes free throw 2 of 2,1,88-101,,
5:24.0,,,88-101,,M. Conley misses 2-pt shot from 21 ft
5:23.0,Defensive rebound by J. Hill,,88-101,,
5:16.0,K. Bryant makes 3-pt shot from 25 ft,3,91-101,,
5:00.0,,,91-101,,Offensive foul by M. Conley
5:00.0,,,91-101,,Turnover by M. Conley (offensive foul)
4:43.0,K. Bryant misses 3-pt shot from 26 ft,,91-101,,
4:42.0,,,91-101,,Defensive rebound by M. Gasol
4:32.0,,,91-101,,M. Gasol misses 2-pt shot from 4 ft (block by J. Hill)
4:32.0,,,91-101,,Offensive rebound by Z. Randolph
4:32.0,Loose ball foul by C. Boozer (drawn by Z. Randolph),,91-101,,
4:32.0,,,91-101,,T. Allen enters the game for B. Udrih
4:32.0,E. Davis enters the game for C. Boozer,,91-101,,
4:18.0,,,91-101,,M. Gasol misses 2-pt shot from 14 ft
4:18.0,,,91-101,,Offensive rebound by Team
4:18.0,,,91-101,,Turnover by Team (shot clock)
4:18.0,W. Johnson enters the game for R. Price,,91-101,,
4:02.0,J. Hill makes 2-pt shot from 9 ft (assist by K. Bryant),2,93-101,,
3:58.0,,,93-101,,Memphis full timeout
3:46.0,,,93-101,,Offensive foul by Z. Randolph
3:46.0,,,93-101,,Turnover by Z. Randolph (offensive foul)
3:32.0,J. Hill makes 2-pt shot at rim (assist by K. Bryant),2,95-101,,
3:12.0,,,95-101,,Z. Randolph misses 2-pt shot from 10 ft
3:11.0,Defensive rebound by J. Lin,,95-101,,
3:06.0,Offensive charge foul by J. Lin,,95-101,,
3:06.0,Turnover by J. Lin (offensive foul),,95-101,,
2:48.0,,,95-103,2,Z. Randolph makes 2-pt shot from 4 ft (assist by M. Gasol)
2:26.0,K. Bryant makes 2-pt shot from 17 ft,2,97-103,,
2:07.0,,,97-103,,T. Allen misses 2-pt shot from 1 ft (block by E. Davis)
2:04.0,Defensive rebound by W. Johnson,,97-103,,
1:48.0,Turnover by K. Bryant (lost ball; steal by T. Allen),,97-103,,
1:45.0,,,97-103,,Shooting foul by J. Lin (drawn by T. Allen)
1:45.0,,,97-103,,T. Allen misses free throw 1 of 2
1:45.0,,,97-103,,Offensive rebound by Team
1:45.0,,,97-103,,T. Allen misses free throw 2 of 2
1:44.0,Defensive rebound by J. Hill,,97-103,,
1:33.0,K. Bryant makes 3-pt shot from 25 ft (assist by J. Hill),3,100-103,,
1:17.0,,,100-103,,Shooting foul by J. Hill (drawn by M. Conley)
1:17.0,,,100-104,1,M. Conley makes free throw 1 of 2
1:17.0,,,100-105,1,M. Conley makes free throw 2 of 2
1:02.0,K. Bryant misses 3-pt shot from 25 ft,,100-105,,
1:00.0,,,100-105,,Defensive rebound by M. Gasol
0:40.0,,,100-105,,Turnover by M. Conley (lost ball; steal by J. Hill)
0:37.0,W. Johnson makes 2-pt shot at rim,2,102-105,,
