time,Phoenix,pts.away,score,pts.home,New Orleans
6:58.0,,,29-36,,E. Gordon misses 3-pt shot from 26 ft
6:56.0,Defensive rebound by M. Morris,,29-36,,
6:47.0,E. Bledsoe makes 2-pt shot from 1 ft,2,31-36,,
6:19.0,,,31-38,2,D. Cunningham makes 2-pt shot from 14 ft
6:07.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by G. Green),2,33-38,,
5:47.0,,,33-40,2,N. Cole makes 2-pt shot from 19 ft (assist by A. Ajinca)
5:29.0,M. Morris misses 2-pt shot from 11 ft (block by A. Ajinca),,33-40,,
5:28.0,,,33-40,,Defensive rebound by D. Cunningham
5:22.0,,,33-40,,E. Gordon misses 3-pt shot from 22 ft
5:19.0,Defensive rebound by M. Morris,,33-40,,
5:01.0,G. Green misses 2-pt shot from 14 ft,,33-40,,
5:00.0,,,33-40,,Defensive rebound by R. Anderson
4:42.0,,,33-42,2,A. Ajinca makes 2-pt shot from 7 ft (assist by N. Cole)
4:23.0,Turnover by P. Tucker (bad pass),,33-42,,
4:23.0,,,33-42,,New Orleans full timeout
4:23.0,,,33-42,,T. Evans enters the game for N. Cole
4:23.0,,,33-42,,Q. Pondexter enters the game for A. Ajinca
4:05.0,,,33-42,,D. Cunningham misses 2-pt shot from 20 ft
4:03.0,,,33-42,,Offensive rebound by R. Anderson
4:03.0,,,33-42,,R. Anderson misses 2-pt shot at rim
4:02.0,Defensive rebound by R. Bullock,,33-42,,
3:44.0,G. Green misses 3-pt shot from 26 ft,,33-42,,
3:43.0,,,33-42,,Defensive rebound by Q. Pondexter
3:25.0,,,33-44,2,E. Gordon makes 2-pt shot from 8 ft (assist by D. Cunningham)
2:59.0,P. Tucker makes 3-pt shot from 26 ft (assist by M. Morris),3,36-44,,
2:40.0,,,36-44,,R. Anderson misses 3-pt shot from 26 ft
2:39.0,,,36-44,,Offensive rebound by Team
2:39.0,Phoenix full timeout,,36-44,,
2:39.0,T. Warren enters the game for G. Green,,36-44,,
2:39.0,A. Goodwin enters the game for R. Bullock,,36-44,,
2:28.0,,,36-44,,Turnover by R. Anderson (offensive foul)
2:28.0,,,36-44,,Offensive foul by R. Anderson
2:17.0,P. Tucker misses 3-pt shot from 24 ft,,36-44,,
2:15.0,,,36-44,,Defensive rebound by T. Evans
2:07.0,Personal foul by A. Goodwin (drawn by E. Gordon),,36-44,,
1:55.0,,,36-44,,Q. Pondexter misses 3-pt shot from 23 ft
1:53.0,,,36-44,,Offensive rebound by E. Gordon
1:47.0,,,36-44,,T. Evans misses 2-pt shot at rim
1:45.0,Defensive rebound by P. Tucker,,36-44,,
1:40.0,M. Morris misses 2-pt shot at rim,,36-44,,
1:39.0,,,36-44,,Defensive rebound by D. Cunningham
1:33.0,,,36-44,,Turnover by T. Evans (lost ball; steal by A. Goodwin)
1:31.0,Shooting foul by D. Cunningham (drawn by M. Morris),,36-44,,
1:31.0,M. Morris makes free throw 1 of 2,1,37-44,,
1:31.0,M. Morris makes free throw 2 of 2,1,38-44,,
1:12.0,,,38-47,3,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans)
1:00.0,M. Morris misses 2-pt shot from 18 ft,,38-47,,
0:59.0,Offensive rebound by A. Goodwin,,38-47,,
0:55.0,A. Goodwin makes 2-pt shot at rim (assist by T. Warren),2,40-47,,
0:49.0,,,40-47,,New Orleans full timeout
0:49.0,,,40-47,,O. Asik enters the game for D. Cunningham
0:49.0,B. Wright enters the game for M. Morris,,40-47,,
0:37.0,,,40-47,,R. Anderson misses 3-pt shot from 23 ft
0:35.0,Defensive rebound by A. Goodwin,,40-47,,
0:22.0,,,40-47,,Personal foul by T. Evans (drawn by E. Bledsoe)
0:22.0,E. Bledsoe makes free throw 1 of 2,1,41-47,,
0:22.0,E. Bledsoe misses free throw 2 of 2,,41-47,,
0:20.0,,,41-47,,Defensive rebound by R. Anderson
0:05.0,Personal take foul by A. Goodwin (drawn by E. Gordon),,41-47,,
0:02.0,,,41-47,,O. Asik misses 2-pt shot from 2 ft
0:01.0,Defensive rebound by B. Wright,,41-47,,
0:00.0,B. Wright misses 3-pt shot from 54 ft,,41-47,,
0:00.0,Offensive rebound by Team,,41-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,41-47,,R. Anderson misses 2-pt shot from 21 ft
11:39.0,Defensive rebound by M. Morris,,41-47,,
11:33.0,E. Bledsoe makes 2-pt shot from 1 ft,2,43-47,,
11:07.0,,,43-47,,Turnover by T. Evans (bad pass; steal by M. Morris)
10:58.0,M. Morris misses 2-pt shot from 16 ft,,43-47,,
10:57.0,,,43-47,,Defensive rebound by O. Asik
10:50.0,,,43-47,,E. Gordon misses 2-pt shot from 14 ft
10:49.0,Defensive rebound by M. Morris,,43-47,,
10:37.0,E. Bledsoe misses 3-pt shot from 26 ft,,43-47,,
10:35.0,Offensive rebound by B. Wright,,43-47,,
10:29.0,M. Morris misses 2-pt shot from 7 ft (block by R. Anderson),,43-47,,
10:29.0,Offensive rebound by Team,,43-47,,
10:26.0,M. Morris misses 2-pt shot from 18 ft,,43-47,,
10:25.0,,,43-47,,Defensive rebound by O. Asik
10:12.0,,,43-47,,Q. Pondexter misses 3-pt shot from 24 ft
10:11.0,,,43-47,,Offensive rebound by O. Asik
10:05.0,,,43-47,,Turnover by T. Evans (lost ball; steal by P. Tucker)
10:01.0,Shooting foul by E. Gordon (drawn by P. Tucker),,43-47,,
10:01.0,P. Tucker makes free throw 1 of 2,1,44-47,,
10:01.0,P. Tucker makes free throw 2 of 2,1,45-47,,
9:39.0,,,45-47,,Q. Pondexter misses 2-pt shot from 6 ft (block by B. Wright)
9:37.0,Defensive rebound by M. Morris,,45-47,,
9:29.0,M. Morris misses 3-pt shot from 26 ft,,45-47,,
9:28.0,,,45-47,,Defensive rebound by T. Evans
9:20.0,,,45-49,2,T. Evans makes 2-pt shot from 1 ft
9:10.0,M. Morris makes 3-pt shot from 27 ft (assist by E. Bledsoe),3,48-49,,
8:58.0,,,48-51,2,E. Gordon makes 2-pt shot from 8 ft (assist by T. Evans)
8:58.0,,,48-51,,Shooting foul by M. Morris (drawn by E. Gordon)
8:58.0,,,48-52,1,E. Gordon makes free throw 1 of 1
8:38.0,,,48-52,,Personal foul by E. Gordon (drawn by E. Bledsoe)
8:34.0,M. Morris misses 3-pt shot from 24 ft,,48-52,,
8:32.0,,,48-52,,Defensive rebound by Q. Pondexter
8:28.0,,,48-55,3,R. Anderson makes 3-pt shot from 25 ft (assist by E. Gordon)
8:08.0,P. Tucker misses 2-pt shot from 4 ft,,48-55,,
8:07.0,,,48-55,,Defensive rebound by O. Asik
7:58.0,,,48-55,,T. Evans misses 2-pt shot from 20 ft
7:57.0,Defensive rebound by M. Morris,,48-55,,
7:47.0,M. Morris makes 2-pt shot from 11 ft (assist by E. Bledsoe),2,50-55,,
7:23.0,,,50-58,3,E. Gordon makes 3-pt shot from 26 ft (assist by O. Asik)
7:03.0,M. Morris makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,52-58,,
6:42.0,,,52-58,,R. Anderson misses 2-pt shot from 9 ft
6:41.0,,,52-58,,Offensive rebound by Team
6:41.0,T. Warren enters the game for M. Morris,,52-58,,
6:41.0,A. Goodwin enters the game for P. Tucker,,52-58,,
6:33.0,,,52-58,,Shooting foul by T. Warren (drawn by T. Evans)
6:33.0,,,52-59,1,T. Evans makes free throw 1 of 2
6:33.0,,,52-60,1,T. Evans makes free throw 2 of 2
6:08.0,A. Goodwin misses 3-pt shot from 27 ft,,52-60,,
6:06.0,,,52-60,,Defensive rebound by Q. Pondexter
5:58.0,,,52-60,,T. Evans misses 2-pt shot from 22 ft
5:56.0,Defensive rebound by E. Bledsoe,,52-60,,
5:45.0,T. Warren misses 3-pt shot from 26 ft,,52-60,,
5:44.0,Offensive rebound by M. Morris,,52-60,,
5:39.0,E. Bledsoe misses 3-pt shot from 26 ft,,52-60,,
5:38.0,,,52-60,,Defensive rebound by Q. Pondexter
5:34.0,,,52-60,,New Orleans full timeout
5:34.0,,,52-60,,D. Cunningham enters the game for R. Anderson
5:27.0,,,52-60,,E. Gordon misses 2-pt shot from 15 ft
5:26.0,Defensive rebound by M. Morris,,52-60,,
5:08.0,T. Warren misses 2-pt shot from 17 ft,,52-60,,
5:06.0,,,52-60,,Defensive rebound by O. Asik
4:51.0,,,52-62,2,E. Gordon makes 2-pt shot from 9 ft
4:32.0,M. Morris misses 2-pt shot from 12 ft,,52-62,,
4:30.0,Offensive rebound by T. Warren,,52-62,,
4:30.0,T. Warren makes 2-pt shot at rim,2,54-62,,
4:12.0,,,54-62,,E. Gordon misses 2-pt shot from 6 ft
4:11.0,,,54-62,,Offensive rebound by O. Asik
4:10.0,,,54-64,2,O. Asik makes 2-pt shot from 2 ft
3:56.0,E. Bledsoe makes 3-pt shot from 25 ft,3,57-64,,
3:29.0,,,57-64,,T. Evans misses 2-pt shot from 21 ft
3:28.0,Defensive rebound by M. Morris,,57-64,,
3:26.0,Turnover by M. Morris (bad pass; steal by T. Evans),,57-64,,
3:20.0,,,57-64,,D. Cunningham misses 2-pt shot from 16 ft
3:19.0,,,57-64,,Offensive rebound by O. Asik
3:19.0,,,57-64,,O. Asik misses 2-pt shot from 1 ft
3:18.0,Defensive rebound by Team,,57-64,,
3:18.0,,,57-64,,J. Holiday enters the game for E. Gordon
3:18.0,Phoenix full timeout,,57-64,,
3:18.0,P. Tucker enters the game for M. Morris,,57-64,,
3:18.0,,,57-64,,N. Cole enters the game for T. Evans
3:07.0,E. Bledsoe misses 3-pt shot from 25 ft,,57-64,,
3:06.0,,,57-64,,Defensive rebound by O. Asik
2:51.0,,,57-64,,Turnover by J. Holiday (bad pass; steal by A. Goodwin)
2:45.0,Turnover by A. Goodwin (lost ball; steal by J. Holiday),,57-64,,
2:40.0,,,57-64,,Q. Pondexter misses 3-pt shot from 26 ft
2:39.0,,,57-64,,Offensive rebound by O. Asik
2:39.0,Personal foul by P. Tucker (drawn by O. Asik),,57-64,,
2:39.0,,,57-64,,A. Ajinca enters the game for O. Asik
2:39.0,E. Barron enters the game for B. Wright,,57-64,,
2:26.0,,,57-64,,J. Holiday misses 2-pt shot from 16 ft
2:23.0,Defensive rebound by P. Tucker,,57-64,,
2:02.0,P. Tucker makes 3-pt shot from 24 ft (assist by T. Warren),3,60-64,,
1:36.0,,,60-66,2,A. Ajinca makes 2-pt shot from 10 ft (assist by N. Cole)
1:18.0,Turnover by E. Bledsoe (bad pass; steal by A. Ajinca),,60-66,,
1:18.0,Personal foul by P. Tucker (drawn by J. Holiday),,60-66,,
1:18.0,,,60-66,,L. Babbitt enters the game for Q. Pondexter
1:00.0,,,60-68,2,D. Cunningham makes 2-pt shot from 15 ft (assist by J. Holiday)
0:38.0,E. Bledsoe misses 2-pt shot from 1 ft (block by D. Cunningham),,60-68,,
0:36.0,,,60-68,,Defensive rebound by A. Ajinca
0:31.0,,,60-68,,J. Holiday misses 2-pt shot from 2 ft
0:29.0,Defensive rebound by A. Goodwin,,60-68,,
0:09.0,Turnover by A. Goodwin (lost ball),,60-68,,
0:09.0,Technical foul by Team,,60-68,,
0:09.0,,,60-69,1,N. Cole makes technical free throw
0:06.0,Personal foul by E. Barron (drawn by A. Ajinca),,60-69,,
0:06.0,,,60-70,1,A. Ajinca makes free throw 1 of 2
0:06.0,M. Morris enters the game for E. Barron,,60-70,,
0:06.0,,,60-70,,A. Ajinca misses free throw 2 of 2
0:05.0,Defensive rebound by A. Goodwin,,60-70,,
0:00.0,T. Warren misses 3-pt shot from 25 ft,,60-70,,
0:00.0,Offensive rebound by Team,,60-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,,,60-70,,Personal foul by J. Holiday (drawn by A. Goodwin)
11:37.0,P. Tucker makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,62-70,,
11:21.0,,,62-70,,N. Cole misses 3-pt shot from 24 ft
11:19.0,,,62-70,,Offensive rebound by D. Cunningham
11:13.0,,,62-72,2,D. Cunningham makes 2-pt shot from 2 ft (assist by J. Holiday)
11:00.0,,,62-72,,Personal foul by D. Cunningham (drawn by E. Bledsoe)
11:00.0,M. Morris enters the game for P. Tucker,,62-72,,
10:44.0,A. Goodwin misses 3-pt shot from 27 ft,,62-72,,
10:43.0,,,62-72,,Defensive rebound by A. Davis
10:31.0,,,62-72,,A. Davis misses 2-pt shot from 18 ft
10:29.0,,,62-72,,Offensive rebound by J. Holiday
10:25.0,,,62-72,,Shooting foul by A. Goodwin (drawn by A. Davis)
10:25.0,,,62-74,2,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday)
10:25.0,,,62-74,,A. Davis misses free throw 1 of 1
10:24.0,Defensive rebound by M. Morris,,62-74,,
10:13.0,E. Bledsoe misses 2-pt shot from 1 ft,,62-74,,
10:11.0,Offensive rebound by M. Morris,,62-74,,
10:09.0,M. Morris misses 2-pt shot from 3 ft (block by N. Cole),,62-74,,
10:06.0,,,62-74,,Defensive rebound by N. Cole
10:00.0,,,62-74,,J. Holiday misses 3-pt shot from 25 ft
9:57.0,Defensive rebound by T. Warren,,62-74,,
9:51.0,,,62-74,,Personal foul by J. Holiday (drawn by T. Warren)
9:38.0,M. Morris misses 2-pt shot from 10 ft,,62-74,,
9:36.0,,,62-74,,Defensive rebound by A. Davis
9:26.0,,,62-74,,E. Gordon misses 3-pt shot from 26 ft
9:24.0,Defensive rebound by M. Morris,,62-74,,
9:18.0,E. Bledsoe misses 2-pt shot from 20 ft,,62-74,,
9:16.0,,,62-74,,Defensive rebound by A. Davis
9:00.0,,,62-74,,A. Davis misses 2-pt shot from 2 ft
8:59.0,,,62-74,,Offensive rebound by Team
8:59.0,Official timeout,,62-74,,
8:59.0,B. Wright enters the game for E. Bledsoe,,62-74,,
8:44.0,,,62-76,2,D. Cunningham makes 2-pt shot from 18 ft (assist by A. Davis)
8:16.0,Turnover by M. Morris (bad pass; steal by A. Davis),,62-76,,
8:10.0,,,62-76,,E. Gordon misses 2-pt shot from 2 ft
8:08.0,Defensive rebound by M. Morris,,62-76,,
8:00.0,T. Warren misses 2-pt shot at rim,,62-76,,
7:59.0,Offensive rebound by T. Warren,,62-76,,
7:59.0,T. Warren makes 2-pt shot at rim,2,64-76,,
7:43.0,,,64-76,,J. Holiday misses 3-pt shot from 26 ft
7:41.0,Defensive rebound by A. Goodwin,,64-76,,
7:17.0,T. Warren misses 2-pt shot from 16 ft,,64-76,,
7:15.0,,,64-76,,Defensive rebound by A. Davis
7:04.0,,,64-78,2,N. Cole makes 2-pt shot from 2 ft (assist by A. Davis)
6:41.0,M. Morris misses 2-pt shot from 18 ft,,64-78,,
6:39.0,Offensive rebound by Team,,64-78,,
6:39.0,P. Tucker enters the game for A. Goodwin,,64-78,,
6:39.0,E. Bledsoe enters the game for M. Morris,,64-78,,
6:32.0,B. Wright misses 2-pt shot from 8 ft,,64-78,,
6:31.0,Offensive rebound by M. Morris,,64-78,,
6:31.0,M. Morris misses 2-pt shot at rim,,64-78,,
6:29.0,,,64-78,,Defensive rebound by D. Cunningham
6:13.0,,,64-78,,A. Davis misses 2-pt shot from 15 ft
6:11.0,,,64-78,,Offensive rebound by D. Cunningham
5:54.0,,,64-80,2,D. Cunningham makes 2-pt shot from 17 ft (assist by N. Cole)
5:37.0,E. Bledsoe misses 2-pt shot from 3 ft (block by N. Cole),,64-80,,
5:35.0,,,64-80,,Defensive rebound by A. Davis
5:23.0,,,64-80,,Shooting foul by B. Wright (drawn by A. Davis)
5:23.0,,,64-80,,New Orleans full timeout
5:23.0,,,64-80,,Q. Pondexter enters the game for J. Holiday
5:23.0,,,64-80,,A. Davis misses free throw 1 of 2
5:23.0,,,64-80,,Offensive rebound by Team
5:23.0,,,64-80,,A. Davis misses free throw 2 of 2
5:22.0,Defensive rebound by M. Morris,,64-80,,
4:59.0,E. Bledsoe makes 3-pt shot from 26 ft,3,67-80,,
4:42.0,,,67-80,,E. Gordon misses 2-pt shot from 14 ft
4:40.0,Defensive rebound by B. Wright,,67-80,,
4:29.0,E. Bledsoe makes 2-pt shot from 20 ft,2,69-80,,
4:14.0,Personal foul by E. Bledsoe (drawn by A. Davis),,69-80,,
4:14.0,,,69-80,,T. Evans enters the game for N. Cole
4:02.0,,,69-82,2,E. Gordon makes 2-pt shot from 21 ft (assist by T. Evans)
3:41.0,B. Wright makes 2-pt shot at rim (assist by E. Bledsoe),2,71-82,,
3:18.0,,,71-82,,Turnover by E. Gordon (bad pass; steal by E. Bledsoe)
3:12.0,Turnover by E. Bledsoe (bad pass),,71-82,,
2:59.0,,,71-84,2,T. Evans makes 2-pt shot from 1 ft
2:42.0,Turnover by E. Bledsoe (bad pass),,71-84,,
2:42.0,Phoenix full timeout,,71-84,,
2:21.0,,,71-84,,T. Evans misses 2-pt shot at rim
2:20.0,,,71-84,,Offensive rebound by T. Evans
2:20.0,,,71-86,2,T. Evans makes 2-pt shot at rim
2:08.0,E. Bledsoe misses 2-pt shot from 1 ft (block by T. Evans),,71-86,,
2:07.0,,,71-86,,Defensive rebound by D. Cunningham
1:50.0,,,71-88,2,A. Davis makes 2-pt shot from 1 ft (assist by E. Gordon)
1:50.0,Phoenix full timeout,,71-88,,
1:50.0,J. McNeal enters the game for M. Morris,,71-88,,
1:50.0,A. Goodwin enters the game for E. Bledsoe,,71-88,,
1:50.0,E. Barron enters the game for B. Wright,,71-88,,
1:40.0,P. Tucker misses 3-pt shot from 26 ft,,71-88,,
1:39.0,,,71-88,,Defensive rebound by T. Evans
1:20.0,,,71-90,2,A. Davis makes 2-pt shot at rim (assist by Q. Pondexter)
1:20.0,,,71-90,,Shooting foul by P. Tucker (drawn by A. Davis)
1:20.0,,,71-90,,T. Douglas enters the game for Q. Pondexter
1:20.0,,,71-90,,N. Cole enters the game for E. Gordon
1:20.0,,,71-90,,L. Babbitt enters the game for T. Evans
