time,Memphis,pts.away,score,pts.home,Philadelphia
9:13.0,,,25-33,2,H. Sims makes 2-pt shot from 3 ft (assist by T. Wroten)
9:04.0,M. Conley makes 2-pt shot from 2 ft,2,27-33,,
9:04.0,Shooting foul by A. Shved (drawn by M. Conley),,27-33,,
9:04.0,M. Conley makes free throw 1 of 1,1,28-33,,
8:53.0,,,28-35,2,A. Shved makes 2-pt shot from 1 ft
8:41.0,K. Koufos makes 2-pt shot from 8 ft (assist by M. Conley),2,30-35,,
8:28.0,,,30-37,2,H. Sims makes 2-pt shot from 12 ft
8:02.0,T. Prince makes 2-pt shot from 4 ft,2,32-37,,
7:47.0,,,32-39,2,A. Shved makes 2-pt shot from 21 ft
7:32.0,V. Carter misses 3-pt shot from 26 ft,,32-39,,
7:30.0,,,32-39,,Defensive rebound by H. Sims
7:26.0,,,32-39,,A. Shved misses 2-pt shot from 2 ft
7:23.0,Defensive rebound by V. Carter,,32-39,,
7:14.0,K. Koufos misses 2-pt shot from 19 ft,,32-39,,
7:13.0,,,32-39,,Defensive rebound by H. Thompson
7:12.0,,,32-39,,Philadelphia full timeout
7:12.0,J. Stokes enters the game for K. Koufos,,32-39,,
7:02.0,Personal foul by Q. Pondexter (drawn by T. Wroten),,32-39,,
6:54.0,,,32-41,2,T. Wroten makes 2-pt shot from 1 ft
6:38.0,Q. Pondexter misses 3-pt shot from 25 ft,,32-41,,
6:36.0,,,32-41,,Defensive rebound by R. Covington
6:23.0,,,32-43,2,H. Sims makes 2-pt shot from 1 ft (assist by T. Wroten)
6:08.0,V. Carter misses 3-pt shot from 25 ft,,32-43,,
6:07.0,Offensive rebound by T. Prince,,32-43,,
6:04.0,T. Prince misses 2-pt shot from 7 ft,,32-43,,
6:04.0,Offensive rebound by Team,,32-43,,
6:04.0,,,32-43,,M. Carter-Williams enters the game for T. Wroten
6:04.0,,,32-43,,L. Mbah a Moute enters the game for H. Sims
6:04.0,M. Gasol enters the game for J. Stokes,,32-43,,
6:04.0,,,32-43,,N. Noel enters the game for A. Shved
5:50.0,Turnover by T. Prince (bad pass; steal by H. Thompson),,32-43,,
5:44.0,,,32-43,,Turnover by N. Noel (lost ball)
5:44.0,Official timeout,,32-43,,
5:44.0,C. Lee enters the game for Q. Pondexter,,32-43,,
5:44.0,Z. Randolph enters the game for T. Prince,,32-43,,
5:27.0,,,32-43,,Personal foul by H. Thompson (drawn by M. Gasol)
5:17.0,C. Lee makes 3-pt shot from 24 ft (assist by V. Carter),3,35-43,,
4:59.0,,,35-43,,M. Carter-Williams misses 2-pt shot from 10 ft (block by M. Gasol)
4:59.0,,,35-43,,Offensive rebound by Team
4:51.0,,,35-43,,R. Covington misses 2-pt shot from 8 ft
4:49.0,,,35-43,,Offensive rebound by R. Covington
4:37.0,,,35-43,,M. Carter-Williams misses 2-pt shot from 19 ft
4:35.0,Defensive rebound by V. Carter,,35-43,,
4:25.0,Turnover by C. Lee (traveling),,35-43,,
4:14.0,,,35-43,,Turnover by N. Noel (bad pass; steal by M. Gasol)
4:02.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Conley),2,37-43,,
3:48.0,,,37-43,,Turnover by H. Thompson (traveling)
3:35.0,M. Conley misses 3-pt shot from 27 ft,,37-43,,
3:33.0,,,37-43,,Defensive rebound by H. Thompson
3:18.0,,,37-46,3,M. Carter-Williams makes 3-pt shot from 25 ft (assist by R. Covington)
3:03.0,C. Lee misses 3-pt shot from 22 ft,,37-46,,
3:01.0,Offensive rebound by M. Conley,,37-46,,
2:57.0,V. Carter misses 3-pt shot from 25 ft,,37-46,,
2:55.0,,,37-46,,Defensive rebound by L. Mbah a Moute
2:45.0,,,37-46,,R. Covington misses 3-pt shot from 25 ft
2:42.0,Defensive rebound by M. Gasol,,37-46,,
2:39.0,M. Conley makes 2-pt shot at rim,2,39-46,,
2:39.0,Shooting foul by L. Mbah a Moute (drawn by M. Conley),,39-46,,
2:39.0,Memphis full timeout,,39-46,,
2:39.0,T. Allen enters the game for V. Carter,,39-46,,
2:39.0,M. Conley misses free throw 1 of 1,,39-46,,
2:38.0,,,39-46,,Defensive rebound by M. Carter-Williams
2:25.0,,,39-48,2,R. Covington makes 2-pt shot from 2 ft
1:56.0,C. Lee misses 2-pt shot from 20 ft,,39-48,,
1:54.0,,,39-48,,Defensive rebound by M. Carter-Williams
1:47.0,,,39-48,,N. Noel misses 2-pt shot from 6 ft
1:45.0,Defensive rebound by Z. Randolph,,39-48,,
1:31.0,Turnover by Z. Randolph (bad pass; steal by N. Noel),,39-48,,
1:31.0,Personal foul by T. Allen (drawn by R. Covington),,39-48,,
1:23.0,Jump ball: T. Allen vs. N. Noel,,,,Jump ball: T. Allen vs. N. Noel
1:15.0,Turnover by T. Allen (bad pass; steal by H. Thompson),,39-48,,
1:00.0,,,39-50,2,R. Covington makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
0:46.0,Z. Randolph makes 2-pt shot from 10 ft,2,41-50,,
0:44.0,,,41-50,,Philadelphia full timeout
0:30.0,,,41-50,,M. Carter-Williams misses 2-pt shot from 9 ft
0:28.0,Defensive rebound by C. Lee,,41-50,,
0:04.0,Shooting foul by N. Noel (drawn by M. Conley),,41-50,,
0:04.0,M. Conley makes free throw 1 of 2,1,42-50,,
0:04.0,T. Prince enters the game for Z. Randolph,,42-50,,
0:04.0,M. Conley makes free throw 2 of 2,1,43-50,,
0:04.0,Violation by Team (delay of game),,43-50,,
0:00.0,,,43-50,,R. Covington misses 3-pt shot from 38 ft
0:00.0,,,43-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley),2,45-50,,
11:23.0,,,45-50,,L. Mbah a Moute misses 2-pt shot from 18 ft
11:21.0,Defensive rebound by Z. Randolph,,45-50,,
10:58.0,M. Gasol misses 3-pt shot from 25 ft,,45-50,,
10:56.0,,,45-50,,Defensive rebound by R. Covington
10:51.0,,,45-52,2,L. Mbah a Moute makes 2-pt shot at rim (assist by M. Carter-Williams)
10:41.0,M. Gasol makes 2-pt shot from 2 ft (assist by M. Conley),2,47-52,,
10:41.0,Shooting foul by N. Noel (drawn by M. Gasol),,47-52,,
10:41.0,M. Gasol makes free throw 1 of 1,1,48-52,,
10:29.0,,,48-52,,M. Carter-Williams misses 3-pt shot from 26 ft
10:27.0,Defensive rebound by M. Gasol,,48-52,,
10:18.0,Z. Randolph makes 2-pt shot from 7 ft (assist by M. Conley),2,50-52,,
10:04.0,,,50-52,,Turnover by R. Covington (bad pass; steal by M. Gasol)
9:52.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Conley),2,52-52,,
9:34.0,,,52-52,,Shooting foul by M. Gasol (drawn by N. Noel)
9:34.0,,,52-53,1,N. Noel makes free throw 1 of 2
9:34.0,,,52-53,,N. Noel misses free throw 2 of 2
9:33.0,Defensive rebound by M. Gasol,,52-53,,
9:17.0,Shooting foul by R. Covington (drawn by M. Gasol),,52-53,,
9:17.0,M. Gasol makes free throw 1 of 2,1,53-53,,
9:17.0,M. Gasol makes free throw 2 of 2,1,54-53,,
9:06.0,,,54-53,,R. Covington misses 3-pt shot from 25 ft
9:04.0,,,54-53,,Offensive rebound by L. Mbah a Moute
8:57.0,,,54-53,,L. Mbah a Moute misses 3-pt shot from 23 ft
8:56.0,Defensive rebound by C. Lee,,54-53,,
8:51.0,Z. Randolph makes 2-pt shot from 1 ft (assist by C. Lee),2,56-53,,
8:31.0,,,56-55,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
8:02.0,C. Lee misses 2-pt shot from 12 ft,,56-55,,
8:01.0,,,56-55,,Defensive rebound by L. Mbah a Moute
8:01.0,Personal foul by Z. Randolph (drawn by L. Mbah a Moute),,56-55,,
7:44.0,,,56-55,,Shooting foul by T. Allen (drawn by N. Noel)
7:44.0,,,56-56,1,N. Noel makes free throw 1 of 2
7:44.0,,,56-56,,N. Noel misses free throw 2 of 2
7:43.0,,,56-56,,Offensive rebound by H. Thompson
7:43.0,,,56-58,2,H. Thompson makes 2-pt shot from 2 ft
7:30.0,M. Conley makes 2-pt shot from 1 ft,2,58-58,,
7:18.0,,,58-60,2,N. Noel makes 2-pt shot at rim (assist by M. Carter-Williams)
6:57.0,M. Gasol misses 2-pt shot from 16 ft,,58-60,,
6:55.0,,,58-60,,Defensive rebound by R. Covington
6:36.0,,,58-60,,Shooting foul by T. Allen (drawn by L. Mbah a Moute)
6:36.0,,,58-61,1,L. Mbah a Moute makes free throw 1 of 2
6:36.0,Q. Pondexter enters the game for T. Allen,,58-61,,
6:36.0,,,58-61,,L. Mbah a Moute misses free throw 2 of 2
6:35.0,Defensive rebound by M. Conley,,58-61,,
6:15.0,C. Lee misses 2-pt shot from 6 ft,,58-61,,
6:13.0,,,58-61,,Defensive rebound by L. Mbah a Moute
5:54.0,,,58-64,3,H. Thompson makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
5:44.0,Turnover by M. Conley (bad pass),,58-64,,
5:44.0,,,58-64,,Philadelphia full timeout
5:29.0,,,58-64,,M. Carter-Williams misses 3-pt shot from 22 ft
5:26.0,Defensive rebound by M. Conley,,58-64,,
5:11.0,C. Lee makes 2-pt shot from 18 ft (assist by M. Gasol),2,60-64,,
4:56.0,,,60-67,3,H. Thompson makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
4:34.0,,,60-67,,H. Sims enters the game for N. Noel
4:34.0,,,60-67,,A. Shved enters the game for R. Covington
4:28.0,C. Lee makes 2-pt shot from 1 ft,2,62-67,,
4:19.0,,,62-67,,Offensive foul by L. Mbah a Moute
4:19.0,,,62-67,,Turnover by L. Mbah a Moute (offensive foul)
4:19.0,T. Prince enters the game for Z. Randolph,,62-67,,
4:05.0,M. Gasol misses 2-pt shot from 6 ft,,62-67,,
4:03.0,,,62-67,,Defensive rebound by M. Carter-Williams
3:53.0,,,62-69,2,M. Carter-Williams makes 2-pt shot at rim (assist by H. Sims)
3:38.0,Turnover by M. Conley (lost ball; steal by H. Thompson),,62-69,,
3:34.0,,,62-69,,H. Thompson misses 2-pt shot from 2 ft
3:32.0,,,62-69,,Offensive rebound by M. Carter-Williams
3:32.0,,,62-71,2,M. Carter-Williams makes 2-pt shot from 1 ft
3:23.0,Memphis full timeout,,62-71,,
3:23.0,N. Calathes enters the game for Q. Pondexter,,62-71,,
3:23.0,,,62-71,,T. Wroten enters the game for L. Mbah a Moute
3:13.0,T. Prince misses 2-pt shot from 18 ft,,62-71,,
3:11.0,,,62-71,,Defensive rebound by T. Wroten
2:56.0,,,62-71,,T. Wroten misses 2-pt shot at rim
2:55.0,Defensive rebound by M. Gasol,,62-71,,
2:50.0,T. Prince makes 2-pt shot from 2 ft (assist by N. Calathes),2,64-71,,
2:30.0,Personal foul by C. Lee (drawn by T. Wroten),,64-71,,
2:30.0,,,64-72,1,T. Wroten makes free throw 1 of 2
2:30.0,,,64-72,,R. Covington enters the game for M. Carter-Williams
2:30.0,,,64-72,,J. Grant enters the game for H. Thompson
2:30.0,,,64-72,,T. Wroten misses free throw 2 of 2
2:30.0,Defensive rebound by M. Gasol,,64-72,,
2:18.0,,,64-72,,Personal foul by R. Covington (drawn by T. Prince)
2:13.0,M. Conley misses 2-pt shot from 21 ft,,64-72,,
2:11.0,,,64-72,,Defensive rebound by J. Grant
2:07.0,V. Carter enters the game for C. Lee,,64-72,,
2:05.0,,,64-72,,Turnover by T. Wroten (bad pass; steal by V. Carter)
1:56.0,T. Prince misses 2-pt shot from 5 ft,,64-72,,
1:55.0,,,64-72,,Defensive rebound by Team
1:37.0,,,64-74,2,A. Shved makes 2-pt shot from 17 ft
1:21.0,Turnover by M. Gasol (lost ball; steal by R. Covington),,64-74,,
1:17.0,,,64-76,2,T. Wroten makes 2-pt shot at rim (assist by H. Sims)
1:00.0,Shooting foul by H. Sims (drawn by M. Gasol),,64-76,,
1:00.0,M. Gasol makes free throw 1 of 2,1,65-76,,
1:00.0,M. Gasol misses free throw 2 of 2,,65-76,,
0:59.0,,,65-76,,Defensive rebound by Team
0:41.0,,,65-76,,Shooting foul by M. Gasol (drawn by A. Shved)
0:41.0,,,65-77,1,A. Shved makes free throw 1 of 2
0:41.0,,,65-78,1,A. Shved makes free throw 2 of 2
0:36.0,Shooting foul by H. Sims (drawn by M. Conley),,65-78,,
0:36.0,M. Conley makes free throw 1 of 2,1,66-78,,
0:36.0,K. Koufos enters the game for M. Gasol,,66-78,,
0:36.0,M. Conley misses free throw 2 of 2,,66-78,,
0:35.0,Offensive rebound by Team,,66-78,,
0:32.0,M. Conley makes 2-pt shot from 1 ft (assist by V. Carter),2,68-78,,
0:20.0,Personal foul by M. Conley (drawn by R. Covington),,68-78,,
0:20.0,,,68-79,1,R. Covington makes free throw 1 of 2
0:20.0,,,68-79,,J. Sampson enters the game for H. Sims
0:20.0,,,68-80,1,R. Covington makes free throw 2 of 2
0:05.0,M. Conley misses 2-pt shot from 2 ft (block by T. Wroten),,68-80,,
0:04.0,Offensive rebound by Team,,68-80,,
0:02.0,V. Carter misses 3-pt shot from 24 ft,,68-80,,
0:00.0,,,68-80,,Defensive rebound by R. Covington
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,68-83,3,T. Wroten makes 3-pt shot from 26 ft
11:20.0,V. Carter makes 3-pt shot from 25 ft (assist by M. Conley),3,71-83,,
10:56.0,,,71-85,2,H. Sims makes 2-pt shot from 15 ft (assist by T. Wroten)
10:30.0,M. Conley misses 3-pt shot from 25 ft,,71-85,,
10:30.0,Offensive rebound by Team,,71-85,,
10:30.0,Turnover by Team (shot clock),,71-85,,
10:13.0,,,71-88,3,R. Covington makes 3-pt shot from 24 ft (assist by H. Sims)
10:04.0,Shooting foul by A. Shved (drawn by N. Calathes),,71-88,,
10:04.0,N. Calathes misses free throw 1 of 2,,71-88,,
10:04.0,Offensive rebound by Team,,71-88,,
10:04.0,N. Calathes makes free throw 2 of 2,1,72-88,,
9:47.0,,,72-88,,T. Wroten misses 2-pt shot from 1 ft
9:46.0,Defensive rebound by K. Koufos,,72-88,,
9:25.0,M. Conley makes 2-pt shot from 8 ft,2,74-88,,
9:06.0,,,74-88,,T. Wroten misses 3-pt shot from 25 ft
9:04.0,,,74-88,,Offensive rebound by A. Shved
8:58.0,,,74-88,,Philadelphia full timeout
8:49.0,,,74-90,2,T. Wroten makes 2-pt shot from 2 ft (assist by A. Shved)
8:32.0,V. Carter misses 3-pt shot from 28 ft,,74-90,,
8:31.0,Offensive rebound by N. Calathes,,74-90,,
8:28.0,M. Conley makes 3-pt shot from 26 ft (assist by N. Calathes),3,77-90,,
8:08.0,,,77-93,3,R. Covington makes 3-pt shot from 28 ft (assist by T. Wroten)
7:52.0,Turnover by V. Carter (bad pass; steal by A. Shved),,77-93,,
7:46.0,,,77-93,,R. Covington misses 3-pt shot from 25 ft
7:44.0,,,77-93,,Offensive rebound by T. Wroten
7:39.0,,,77-95,2,T. Wroten makes 2-pt shot from 2 ft
7:35.0,Memphis full timeout,,77-95,,
7:35.0,C. Lee enters the game for M. Conley,,77-95,,
7:35.0,B. Udrih enters the game for K. Koufos,,77-95,,
7:35.0,J. Leuer enters the game for T. Prince,,77-95,,
7:35.0,Z. Randolph enters the game for V. Carter,,77-95,,
7:35.0,,,77-95,,M. Carter-Williams enters the game for H. Thompson
7:35.0,,,77-95,,L. Mbah a Moute enters the game for A. Shved
7:15.0,Shooting foul by L. Mbah a Moute (drawn by C. Lee),,77-95,,
7:15.0,C. Lee makes free throw 1 of 2,1,78-95,,
7:15.0,C. Lee makes free throw 2 of 2,1,79-95,,
7:02.0,,,79-95,,Turnover by T. Wroten (bad pass; steal by Z. Randolph)
6:56.0,N. Calathes misses 2-pt shot from 2 ft,,79-95,,
6:54.0,Offensive rebound by Z. Randolph,,79-95,,
6:53.0,Z. Randolph makes 2-pt shot at rim,2,81-95,,
6:37.0,,,81-97,2,M. Carter-Williams makes 2-pt shot from 7 ft
6:20.0,Z. Randolph misses 2-pt shot from 3 ft,,81-97,,
6:18.0,Offensive rebound by Team,,81-97,,
6:09.0,J. Leuer misses 2-pt shot from 9 ft,,81-97,,
6:08.0,,,81-97,,Defensive rebound by M. Carter-Williams
5:57.0,,,81-97,,Turnover by H. Sims (lost ball; steal by C. Lee)
5:51.0,C. Lee makes 3-pt shot from 25 ft (assist by N. Calathes),3,84-97,,
5:32.0,,,84-97,,Turnover by T. Wroten (traveling)
5:20.0,Z. Randolph makes 2-pt shot from 3 ft (assist by N. Calathes),2,86-97,,
5:18.0,,,86-97,,Philadelphia full timeout
5:18.0,,,86-97,,N. Noel enters the game for T. Wroten
5:18.0,,,86-97,,H. Thompson enters the game for H. Sims
5:16.0,,,86-97,,Turnover by M. Carter-Williams (lost ball; steal by N. Calathes)
5:12.0,N. Calathes misses 2-pt shot from 3 ft (block by L. Mbah a Moute),,86-97,,
5:10.0,Offensive rebound by N. Calathes,,86-97,,
5:10.0,Z. Randolph makes 2-pt shot from 3 ft (assist by N. Calathes),2,88-97,,
5:10.0,Shooting foul by L. Mbah a Moute (drawn by Z. Randolph),,88-97,,
5:10.0,Z. Randolph makes free throw 1 of 1,1,89-97,,
5:00.0,,,89-97,,Philadelphia full timeout
4:57.0,,,89-97,,Shooting foul by N. Calathes (drawn by L. Mbah a Moute)
4:57.0,,,89-98,1,L. Mbah a Moute makes free throw 1 of 2
4:57.0,,,89-98,,L. Mbah a Moute misses free throw 2 of 2
4:56.0,Defensive rebound by J. Leuer,,89-98,,
4:41.0,C. Lee makes 3-pt shot from 25 ft (assist by N. Calathes),3,92-98,,
4:26.0,Personal foul by N. Calathes (drawn by M. Carter-Williams),,92-98,,
4:26.0,M. Conley enters the game for N. Calathes,,92-98,,
4:17.0,,,92-98,,L. Mbah a Moute misses 2-pt shot from 1 ft (block by J. Leuer)
4:16.0,Defensive rebound by Team,,92-98,,
4:06.0,J. Leuer misses 3-pt shot from 24 ft,,92-98,,
4:04.0,,,92-98,,Defensive rebound by M. Carter-Williams
4:00.0,,,92-98,,Shooting foul by B. Udrih (drawn by R. Covington)
4:00.0,,,92-99,1,R. Covington makes free throw 1 of 2
4:00.0,,,92-100,1,R. Covington makes free throw 2 of 2
3:54.0,M. Conley misses 2-pt shot from 1 ft,,92-100,,
3:51.0,,,92-100,,Defensive rebound by R. Covington
3:49.0,,,92-100,,Shooting foul by B. Udrih (drawn by R. Covington)
3:49.0,,,92-101,1,R. Covington makes free throw 1 of 2
3:49.0,M. Gasol enters the game for J. Leuer,,92-101,,
