time,Miami,pts.away,score,pts.home,LA Clippers
1:01.0,Miami full timeout,,56-50,,
1:01.0,Official timeout,,56-50,,
1:01.0,D. Wade enters the game for D. Granger,,56-50,,
1:01.0,,,56-50,,S. Hawes enters the game for D. Jordan
0:54.0,D. Wade misses 2-pt shot from 14 ft,,56-50,,
0:53.0,Offensive rebound by H. Whiteside,,56-50,,
0:53.0,,,56-50,,Loose ball foul by M. Barnes (drawn by H. Whiteside)
0:33.0,C. Bosh makes 2-pt shot from 16 ft (assist by N. Cole),2,58-50,,
0:33.0,Shooting foul by M. Barnes (drawn by C. Bosh),,58-50,,
0:33.0,,,58-50,,J. Crawford enters the game for M. Barnes
0:33.0,C. Bosh makes free throw 1 of 1,1,59-50,,
0:28.0,,,59-50,,C. Paul misses 2-pt shot from 10 ft
0:26.0,Defensive rebound by Team,,59-50,,
0:06.0,L. Deng makes 3-pt shot from 26 ft (assist by D. Wade),3,62-50,,
0:00.0,,,62-53,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,H. Whiteside makes 2-pt shot from 1 ft (assist by M. Chalmers),2,64-53,,
11:24.0,,,64-53,,Turnover by C. Paul (bad pass; steal by M. Chalmers)
11:15.0,D. Wade misses 3-pt shot from 24 ft,,64-53,,
11:13.0,,,64-53,,Defensive rebound by M. Barnes
11:04.0,,,64-55,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
10:32.0,L. Deng misses 3-pt shot from 23 ft,,64-55,,
10:31.0,,,64-55,,Defensive rebound by D. Jordan
10:10.0,,,64-57,2,B. Griffin makes 2-pt shot from 3 ft (assist by C. Paul)
9:49.0,C. Bosh makes 2-pt shot from 8 ft (assist by D. Wade),2,66-57,,
9:37.0,,,66-60,3,M. Barnes makes 3-pt shot from 24 ft (assist by B. Griffin)
9:24.0,H. Whiteside makes 2-pt shot at rim (assist by D. Wade),2,68-60,,
9:06.0,,,68-62,2,J. Redick makes 2-pt shot from 1 ft (assist by B. Griffin)
8:43.0,Shooting foul by C. Paul (drawn by M. Chalmers),,68-62,,
8:43.0,M. Chalmers makes free throw 1 of 2,1,69-62,,
8:43.0,M. Chalmers makes free throw 2 of 2,1,70-62,,
8:30.0,,,70-62,,B. Griffin misses 2-pt shot from 1 ft (block by H. Whiteside)
8:28.0,Defensive rebound by D. Wade,,70-62,,
8:24.0,D. Wade misses 2-pt shot from 13 ft,,70-62,,
8:20.0,Offensive rebound by C. Bosh,,70-62,,
8:20.0,C. Bosh misses 2-pt shot from 1 ft,,70-62,,
8:17.0,Offensive rebound by C. Bosh,,70-62,,
8:17.0,C. Bosh misses 2-pt shot at rim,,70-62,,
8:17.0,,,70-62,,Defensive rebound by B. Griffin
8:17.0,Personal take foul by L. Deng (drawn by B. Griffin),,70-62,,
8:08.0,,,70-62,,C. Paul misses 3-pt shot from 26 ft
8:05.0,Defensive rebound by H. Whiteside,,70-62,,
7:55.0,D. Wade misses 2-pt shot from 4 ft,,70-62,,
7:55.0,,,70-62,,Defensive rebound by B. Griffin
7:55.0,Personal take foul by H. Whiteside (drawn by B. Griffin),,70-62,,
7:46.0,,,70-62,,Offensive foul by C. Paul
7:46.0,,,70-62,,Turnover by C. Paul (offensive foul)
7:46.0,,,70-62,,Technical foul by M. Barnes
7:46.0,D. Wade misses technical free throw,,70-62,,
7:46.0,Offensive rebound by Team,,70-62,,
7:35.0,Turnover by D. Wade (step out of bounds),,70-62,,
7:26.0,,,70-64,2,C. Paul makes 2-pt shot from 2 ft
7:26.0,Miami full timeout,,70-64,,
7:13.0,C. Bosh makes 2-pt shot at rim (assist by L. Deng),2,72-64,,
6:46.0,,,72-64,,B. Griffin misses 3-pt shot from 25 ft
6:44.0,Defensive rebound by L. Deng,,72-64,,
6:29.0,H. Whiteside makes 2-pt shot from 11 ft (assist by L. Deng),2,74-64,,
6:15.0,,,74-64,,J. Redick misses 3-pt shot from 25 ft
6:14.0,Defensive rebound by D. Wade,,74-64,,
6:02.0,Offensive foul by M. Chalmers,,74-64,,
6:02.0,Turnover by M. Chalmers (offensive foul),,74-64,,
6:02.0,N. Cole enters the game for M. Chalmers,,74-64,,
5:39.0,,,74-64,,M. Barnes misses 2-pt shot from 3 ft (block by H. Whiteside)
5:37.0,Defensive rebound by N. Cole,,74-64,,
5:31.0,L. Deng makes 3-pt shot from 23 ft (assist by D. Wade),3,77-64,,
5:29.0,,,77-64,,LA Clippers full timeout
5:12.0,,,77-64,,B. Griffin misses 2-pt shot from 20 ft
5:11.0,Defensive rebound by H. Whiteside,,77-64,,
5:02.0,D. Wade misses 2-pt shot from 11 ft,,77-64,,
5:01.0,Offensive rebound by Team,,77-64,,
5:01.0,,,77-64,,Loose ball foul by D. Jordan (drawn by H. Whiteside)
5:01.0,,,77-64,,J. Crawford enters the game for J. Redick
4:46.0,C. Bosh makes 2-pt shot from 13 ft,2,79-64,,
4:21.0,,,79-66,2,C. Paul makes 2-pt shot from 17 ft
3:57.0,H. Whiteside misses 2-pt shot from 5 ft (block by D. Jordan),,79-66,,
3:54.0,Offensive rebound by H. Whiteside,,79-66,,
3:53.0,H. Whiteside makes 2-pt shot from 1 ft,2,81-66,,
3:36.0,,,81-66,,Shooting foul by H. Whiteside (drawn by B. Griffin)
3:36.0,,,81-67,1,B. Griffin makes free throw 1 of 2
3:36.0,D. Granger enters the game for D. Wade,,81-67,,
3:36.0,,,81-68,1,B. Griffin makes free throw 2 of 2
3:19.0,Turnover by D. Granger (traveling),,81-68,,
3:07.0,,,81-68,,Shooting foul by L. Deng (drawn by B. Griffin)
3:07.0,,,81-70,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
3:07.0,,,81-70,,S. Hawes enters the game for D. Jordan
3:07.0,,,81-71,1,B. Griffin makes free throw 1 of 1
2:55.0,L. Deng misses 2-pt shot from 19 ft,,81-71,,
2:55.0,,,81-71,,Defensive rebound by Team
2:55.0,C. Andersen enters the game for H. Whiteside,,81-71,,
2:34.0,,,81-71,,B. Griffin misses 2-pt shot from 11 ft
2:33.0,Defensive rebound by C. Andersen,,81-71,,
2:10.0,L. Deng misses 2-pt shot from 6 ft,,81-71,,
2:08.0,Offensive rebound by D. Granger,,81-71,,
2:08.0,Jump ball: D. Granger vs. S. Hawes (C. Bosh gains possession),,,,Jump ball: D. Granger vs. S. Hawes (C. Bosh gains possession)
2:00.0,,,81-71,,Personal foul by B. Griffin (drawn by C. Bosh)
1:55.0,C. Bosh makes 2-pt shot from 2 ft (assist by N. Cole),2,83-71,,
1:55.0,Shooting foul by S. Hawes (drawn by C. Bosh),,83-71,,
1:55.0,C. Bosh makes free throw 1 of 1,1,84-71,,
1:32.0,,,84-74,3,C. Paul makes 3-pt shot from 25 ft
1:14.0,Shooting foul by J. Crawford (drawn by C. Bosh),,84-74,,
1:14.0,C. Bosh makes free throw 1 of 2,1,85-74,,
1:14.0,C. Bosh makes free throw 2 of 2,1,86-74,,
1:00.0,,,86-76,2,B. Griffin makes 2-pt shot from 5 ft
0:39.0,D. Granger misses 3-pt shot from 25 ft,,86-76,,
0:38.0,,,86-76,,Defensive rebound by S. Hawes
0:20.0,,,86-76,,J. Crawford misses 3-pt shot from 25 ft
0:19.0,Defensive rebound by C. Bosh,,86-76,,
0:01.0,C. Bosh misses 3-pt shot from 25 ft,,86-76,,
0:00.0,Offensive rebound by Team,,86-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Personal foul by U. Haslem (drawn by B. Griffin),,86-76,,
11:40.0,,,86-76,,S. Hawes misses 2-pt shot from 3 ft (block by C. Andersen)
11:40.0,,,86-76,,Offensive rebound by Team
11:34.0,,,86-76,,S. Hawes misses 3-pt shot from 23 ft
11:33.0,Defensive rebound by U. Haslem,,86-76,,
11:21.0,,,86-76,,Personal block foul by B. Griffin (drawn by N. Cole)
11:06.0,,,86-76,,Loose ball foul by B. Griffin (drawn by C. Andersen)
11:06.0,,,86-76,,D. Jordan enters the game for B. Griffin
10:56.0,D. Wade misses 2-pt shot from 20 ft,,86-76,,
10:55.0,,,86-76,,Defensive rebound by D. Jordan
10:47.0,Personal foul by D. Granger (drawn by J. Crawford),,86-76,,
10:32.0,,,86-76,,Turnover by J. Crawford (lost ball; steal by N. Cole)
10:27.0,U. Haslem misses 2-pt shot from 1 ft,,86-76,,
10:24.0,Offensive rebound by D. Wade,,86-76,,
10:20.0,Turnover by D. Wade (lost ball),,86-76,,
10:00.0,,,86-78,2,J. Farmar makes 2-pt shot from 2 ft (assist by S. Hawes)
9:37.0,U. Haslem misses 2-pt shot from 13 ft,,86-78,,
9:36.0,,,86-78,,Defensive rebound by J. Farmar
9:23.0,Personal block foul by U. Haslem (drawn by S. Hawes),,86-78,,
9:23.0,H. Whiteside enters the game for C. Andersen,,86-78,,
9:06.0,,,86-78,,J. Farmar misses 3-pt shot from 28 ft
9:06.0,Defensive rebound by Team,,86-78,,
8:52.0,D. Wade makes 2-pt shot from 11 ft,2,88-78,,
8:42.0,,,88-78,,S. Hawes misses 3-pt shot from 26 ft
8:39.0,Defensive rebound by H. Whiteside,,88-78,,
8:26.0,U. Haslem misses 2-pt shot from 19 ft,,88-78,,
8:25.0,,,88-78,,Defensive rebound by J. Redick
8:25.0,Personal foul by H. Whiteside (drawn by J. Redick),,88-78,,
8:25.0,Official timeout,,88-78,,
8:12.0,,,88-80,2,J. Redick makes 2-pt shot from 4 ft (assist by J. Farmar)
7:46.0,U. Haslem misses 2-pt shot from 5 ft,,88-80,,
7:45.0,,,88-80,,Defensive rebound by J. Farmar
7:24.0,,,88-80,,Turnover by J. Redick (bad pass; steal by N. Cole)
7:18.0,,,88-80,,Personal block foul by J. Farmar (drawn by D. Wade)
7:18.0,C. Bosh enters the game for U. Haslem,,88-80,,
7:18.0,,,88-80,,C. Paul enters the game for J. Farmar
7:18.0,,,88-80,,B. Griffin enters the game for S. Hawes
7:02.0,D. Granger misses 2-pt shot from 19 ft,,88-80,,
7:01.0,Offensive rebound by H. Whiteside,,88-80,,
6:58.0,H. Whiteside makes 2-pt shot from 6 ft,2,90-80,,
6:43.0,,,90-80,,Turnover by J. Crawford (lost ball; steal by N. Cole)
6:38.0,D. Wade makes 2-pt shot at rim (assist by N. Cole),2,92-80,,
6:38.0,,,92-80,,LA Clippers full timeout
6:38.0,,,92-80,,Technical foul by J. Crawford
6:38.0,C. Bosh makes technical free throw,1,93-80,,
6:15.0,,,93-80,,J. Crawford misses 2-pt shot from 16 ft
6:13.0,Defensive rebound by H. Whiteside,,93-80,,
5:59.0,D. Granger misses 3-pt shot from 23 ft,,93-80,,
5:57.0,,,93-80,,Defensive rebound by J. Crawford
5:49.0,,,93-80,,J. Redick misses 3-pt shot from 23 ft
5:48.0,,,93-80,,Offensive rebound by B. Griffin
5:44.0,,,93-82,2,B. Griffin makes 2-pt shot from 1 ft
5:19.0,D. Granger misses 2-pt shot from 20 ft,,93-82,,
5:17.0,,,93-82,,Defensive rebound by D. Jordan
4:57.0,,,93-82,,Turnover by B. Griffin (lost ball)
4:57.0,L. Deng enters the game for D. Granger,,93-82,,
4:57.0,,,93-82,,M. Barnes enters the game for J. Crawford
4:48.0,C. Bosh makes 2-pt shot from 17 ft (assist by D. Wade),2,95-82,,
4:25.0,,,95-84,2,C. Paul makes 2-pt shot from 16 ft
3:57.0,D. Wade misses 3-pt shot from 24 ft,,95-84,,
3:55.0,,,95-84,,Defensive rebound by J. Redick
3:51.0,Personal foul by D. Wade (drawn by B. Griffin),,95-84,,
3:51.0,,,95-85,1,B. Griffin makes free throw 1 of 2
3:51.0,,,95-85,,B. Griffin misses free throw 2 of 2
3:48.0,Defensive rebound by C. Bosh,,95-85,,
3:32.0,Turnover by N. Cole (bad pass; steal by M. Barnes),,95-85,,
3:31.0,,,95-85,,Turnover by M. Barnes (step out of bounds)
3:18.0,Shooting foul by D. Jordan (drawn by D. Wade),,95-85,,
3:18.0,D. Wade misses free throw 1 of 2,,95-85,,
3:18.0,Offensive rebound by Team,,95-85,,
3:18.0,D. Wade makes free throw 2 of 2,1,96-85,,
3:01.0,,,96-87,2,B. Griffin makes 2-pt shot at rim
3:01.0,,,96-87,,Shooting foul by L. Deng (drawn by B. Griffin)
3:01.0,,,96-88,1,B. Griffin makes free throw 1 of 1
3:00.0,,,96-88,,Personal take foul by J. Redick (drawn by H. Whiteside)
3:00.0,H. Whiteside misses free throw 1 of 2,,96-88,,
3:00.0,Offensive rebound by Team,,96-88,,
3:00.0,H. Whiteside makes free throw 2 of 2,1,97-88,,
2:42.0,,,97-88,,Shooting foul by H. Whiteside (drawn by D. Jordan)
2:42.0,Miami full timeout,,97-88,,
2:42.0,D. Granger enters the game for H. Whiteside,,97-88,,
2:42.0,,,97-88,,D. Jordan misses free throw 1 of 2
2:42.0,,,97-88,,Offensive rebound by Team
2:42.0,,,97-88,,D. Jordan misses free throw 2 of 2
2:40.0,,,97-88,,Offensive rebound by B. Griffin
2:36.0,,,97-88,,C. Paul misses 3-pt shot from 26 ft
2:36.0,Defensive rebound by Team,,97-88,,
2:19.0,N. Cole misses 3-pt shot from 23 ft,,97-88,,
2:18.0,,,97-88,,Defensive rebound by D. Jordan
2:01.0,H. Whiteside enters the game for D. Granger,,97-88,,
2:01.0,,,97-88,,LA Clippers full timeout
1:58.0,Personal foul by C. Bosh (drawn by C. Paul),,97-88,,
1:58.0,,,97-89,1,C. Paul makes free throw 1 of 2
1:58.0,,,97-90,1,C. Paul makes free throw 2 of 2
1:43.0,C. Bosh makes 3-pt shot from 25 ft (assist by D. Wade),3,100-90,,
1:32.0,,,100-90,,C. Paul misses 2-pt shot from 13 ft
1:32.0,Defensive rebound by Team,,100-90,,
1:23.0,,,100-90,,Personal foul by C. Paul (drawn by D. Wade)
1:23.0,D. Wade makes free throw 1 of 2,1,101-90,,
1:23.0,D. Wade makes free throw 2 of 2,1,102-90,,
1:23.0,,,102-90,,LA Clippers full timeout
1:23.0,,,102-90,,J. Crawford enters the game for D. Jordan
1:23.0,D. Granger enters the game for H. Whiteside,,102-90,,
1:20.0,,,102-90,,B. Griffin misses 3-pt shot from 26 ft
1:18.0,,,102-90,,Offensive rebound by M. Barnes
1:14.0,,,102-90,,C. Paul misses 3-pt shot from 27 ft
