time,Memphis,pts.away,score,pts.home,Utah
10:25.0,,,31-24,,Defensive rebound by T. Booker
10:14.0,,,31-24,,Turnover by E. Millsap (bad pass; steal by N. Calathes)
10:08.0,Turnover by J. Adams (traveling),,31-24,,
9:46.0,,,31-26,2,B. Cotton makes 2-pt shot from 8 ft
9:46.0,,,31-26,,Shooting foul by N. Calathes (drawn by B. Cotton)
9:46.0,Z. Randolph enters the game for J. Adams,,31-26,,
9:46.0,,,31-26,,B. Cotton misses free throw 1 of 1
9:45.0,Defensive rebound by Z. Randolph,,31-26,,
9:32.0,K. Koufos makes 2-pt shot from 2 ft (assist by N. Calathes),2,33-26,,
9:12.0,,,33-26,,Turnover by E. Millsap (lost ball)
9:12.0,,,33-26,,J. Evans enters the game for J. Cooley
8:56.0,,,33-26,,Personal foul by E. Millsap (drawn by Z. Randolph)
8:56.0,Official timeout,,33-26,,
8:56.0,,,33-26,,G. Hayward enters the game for E. Millsap
8:44.0,J. Green makes 2-pt shot at rim (assist by V. Carter),2,35-26,,
8:31.0,Personal foul by Z. Randolph (drawn by G. Hayward),,35-26,,
8:31.0,B. Udrih enters the game for N. Calathes,,35-26,,
8:18.0,,,35-29,3,B. Cotton makes 3-pt shot from 23 ft (assist by J. Ingles)
8:00.0,V. Carter misses 3-pt shot from 24 ft,,35-29,,
7:59.0,Offensive rebound by Team,,35-29,,
7:59.0,,,35-29,,Personal foul by T. Booker (drawn by Z. Randolph)
7:59.0,,,35-29,,R. Hood enters the game for J. Ingles
7:59.0,,,35-29,,D. Favors enters the game for T. Booker
7:46.0,J. Green makes 2-pt shot from 2 ft (assist by V. Carter),2,37-29,,
7:32.0,,,37-29,,G. Hayward misses 2-pt shot from 3 ft
7:31.0,Defensive rebound by K. Koufos,,37-29,,
7:25.0,Turnover by Z. Randolph (bad pass),,37-29,,
7:03.0,,,37-29,,Shooting foul by V. Carter (drawn by G. Hayward)
7:03.0,,,37-30,1,G. Hayward makes free throw 1 of 2
7:03.0,,,37-30,,G. Hayward misses free throw 2 of 2
7:01.0,Defensive rebound by J. Green,,37-30,,
6:49.0,B. Udrih makes 2-pt shot from 17 ft (assist by K. Koufos),2,39-30,,
6:39.0,,,39-32,2,B. Cotton makes 2-pt shot from 19 ft
6:25.0,Turnover by B. Udrih (lost ball; steal by B. Cotton),,39-32,,
6:22.0,,,39-32,,Shooting foul by V. Carter (drawn by G. Hayward)
6:22.0,,,39-33,1,G. Hayward makes free throw 1 of 2
6:22.0,,,39-33,,D. Exum enters the game for B. Cotton
6:22.0,J. Adams enters the game for V. Carter,,39-33,,
6:22.0,,,39-34,1,G. Hayward makes free throw 2 of 2
6:03.0,B. Udrih makes 2-pt shot from 18 ft (assist by J. Green),2,41-34,,
5:42.0,,,41-36,2,R. Hood makes 2-pt shot from 11 ft
5:28.0,Shooting foul by J. Evans (drawn by Z. Randolph),,41-36,,
5:28.0,,,41-36,,Utah full timeout
5:28.0,M. Gasol enters the game for K. Koufos,,41-36,,
5:28.0,,,41-36,,R. Gobert enters the game for J. Evans
5:28.0,Z. Randolph misses free throw 1 of 2,,41-36,,
5:28.0,Offensive rebound by Team,,41-36,,
5:28.0,Z. Randolph misses free throw 2 of 2,,41-36,,
5:27.0,,,41-36,,Defensive rebound by D. Favors
5:11.0,,,41-36,,D. Favors misses 2-pt shot from 6 ft
5:09.0,Defensive rebound by Z. Randolph,,41-36,,
4:56.0,J. Adams misses 2-pt shot from 18 ft,,41-36,,
4:54.0,,,41-36,,Defensive rebound by G. Hayward
4:50.0,,,41-38,2,G. Hayward makes 2-pt shot from 11 ft
4:50.0,,,41-38,,Shooting foul by J. Green (drawn by G. Hayward)
4:50.0,,,41-38,,G. Hayward misses free throw 1 of 1
4:47.0,Defensive rebound by Z. Randolph,,41-38,,
4:34.0,Turnover by J. Adams (bad pass; steal by D. Favors),,41-38,,
4:28.0,,,41-40,2,R. Gobert makes 2-pt shot at rim (assist by R. Hood)
4:27.0,Memphis full timeout,,41-40,,
4:27.0,R. Smith enters the game for J. Green,,41-40,,
4:27.0,C. Lee enters the game for J. Adams,,41-40,,
4:04.0,M. Gasol misses 2-pt shot from 6 ft,,41-40,,
4:03.0,,,41-40,,Defensive rebound by D. Favors
3:53.0,,,41-42,2,D. Favors makes 2-pt shot from 16 ft (assist by G. Hayward)
3:34.0,M. Gasol makes 2-pt shot from 7 ft,2,43-42,,
3:13.0,,,43-42,,G. Hayward misses 2-pt shot from 18 ft
3:12.0,Defensive rebound by Team,,43-42,,
2:58.0,M. Gasol misses 2-pt shot from 4 ft,,43-42,,
2:56.0,,,43-42,,Defensive rebound by R. Gobert
2:43.0,,,43-42,,D. Favors misses 2-pt shot from 3 ft
2:42.0,,,43-42,,Offensive rebound by R. Gobert
2:42.0,,,43-42,,R. Gobert misses 2-pt shot from 2 ft
2:40.0,,,43-42,,Offensive rebound by R. Gobert
2:40.0,,,43-44,2,R. Gobert makes 2-pt shot at rim
2:21.0,Z. Randolph misses 2-pt shot from 6 ft,,43-44,,
2:20.0,Offensive rebound by Z. Randolph,,43-44,,
2:18.0,Z. Randolph misses 2-pt shot from 9 ft,,43-44,,
2:17.0,,,43-44,,Defensive rebound by D. Favors
2:12.0,,,43-44,,Offensive foul by R. Gobert
2:12.0,,,43-44,,Turnover by R. Gobert (offensive foul)
1:59.0,C. Lee makes 2-pt shot from 13 ft (assist by M. Gasol),2,45-44,,
1:45.0,Personal foul by R. Smith (drawn by D. Favors),,45-44,,
1:45.0,,,45-45,1,D. Favors makes free throw 1 of 2
1:45.0,,,45-45,,D. Favors misses free throw 2 of 2
1:44.0,Defensive rebound by M. Gasol,,45-45,,
1:32.0,,,45-45,,T. Booker enters the game for D. Favors
1:31.0,,,45-45,,Violation by D. Exum (kicked ball)
1:24.0,B. Udrih misses 2-pt shot from 16 ft,,45-45,,
1:22.0,,,45-45,,Defensive rebound by G. Hayward
1:10.0,Personal foul by C. Lee (drawn by G. Hayward),,45-45,,
1:10.0,,,45-46,1,G. Hayward makes free throw 1 of 2
1:10.0,,,45-47,1,G. Hayward makes free throw 2 of 2
0:56.0,M. Gasol misses 2-pt shot from 5 ft,,45-47,,
0:55.0,Offensive rebound by Team,,45-47,,
0:55.0,,,45-47,,Personal foul by T. Booker (drawn by Z. Randolph)
0:55.0,Z. Randolph makes free throw 1 of 2,1,46-47,,
0:55.0,,,46-47,,J. Ingles enters the game for T. Booker
0:55.0,Z. Randolph makes free throw 2 of 2,1,47-47,,
0:30.0,,,47-47,,J. Ingles misses 2-pt shot from 3 ft
0:29.0,Defensive rebound by B. Udrih,,47-47,,
0:11.0,M. Gasol makes 2-pt shot from 15 ft (assist by B. Udrih),2,49-47,,
0:03.0,,,49-47,,G. Hayward misses 3-pt shot from 24 ft
0:01.0,,,49-47,,Offensive rebound by R. Gobert
0:01.0,,,49-47,,R. Gobert misses 2-pt shot at rim
0:01.0,,,49-47,,Offensive rebound by R. Gobert
0:01.0,,,49-49,2,R. Gobert makes 2-pt shot at rim
0:00.0,R. Smith misses 3-pt shot from 63 ft,,49-49,,
0:00.0,Offensive rebound by Team,,49-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,49-49,,D. Favors misses 2-pt shot from 13 ft
11:36.0,Defensive rebound by M. Gasol,,49-49,,
11:17.0,Turnover by J. Green (traveling),,49-49,,
11:06.0,,,49-52,3,G. Hayward makes 3-pt shot from 24 ft (assist by R. Gobert)
10:39.0,C. Lee misses 2-pt shot from 3 ft,,49-52,,
10:38.0,Offensive rebound by C. Lee,,49-52,,
10:28.0,J. Green misses 3-pt shot from 24 ft,,49-52,,
10:26.0,,,49-52,,Defensive rebound by R. Hood
10:12.0,,,49-52,,D. Favors misses 2-pt shot from 16 ft
10:11.0,Defensive rebound by B. Udrih,,49-52,,
9:56.0,Z. Randolph makes 2-pt shot from 4 ft,2,51-52,,
9:36.0,,,51-52,,D. Exum misses 3-pt shot from 22 ft
9:35.0,Defensive rebound by Z. Randolph,,51-52,,
9:34.0,Turnover by Z. Randolph (traveling),,51-52,,
9:23.0,,,51-54,2,G. Hayward makes 2-pt shot from 17 ft
8:57.0,Z. Randolph misses 2-pt shot from 15 ft,,51-54,,
8:56.0,,,51-54,,Defensive rebound by R. Gobert
8:35.0,,,51-57,3,D. Exum makes 3-pt shot from 22 ft (assist by R. Gobert)
8:18.0,J. Green makes 2-pt shot from 2 ft,2,53-57,,
8:01.0,,,53-57,,G. Hayward misses 2-pt shot from 15 ft
8:01.0,Defensive rebound by Team,,53-57,,
8:01.0,,,53-57,,Loose ball foul by R. Gobert (drawn by M. Gasol)
7:48.0,B. Udrih makes 2-pt shot from 19 ft,2,55-57,,
7:35.0,Personal foul by Z. Randolph (drawn by G. Hayward),,55-57,,
7:26.0,,,55-59,2,D. Favors makes 2-pt shot at rim (assist by D. Exum)
7:03.0,B. Udrih makes 3-pt shot from 24 ft (assist by M. Gasol),3,58-59,,
6:42.0,,,58-59,,D. Exum misses 3-pt shot from 24 ft
6:41.0,Defensive rebound by Team,,58-59,,
6:18.0,Z. Randolph makes 2-pt shot from 6 ft (assist by J. Green),2,60-59,,
6:18.0,,,60-59,,Away from play foul by R. Hood (drawn by M. Gasol)
6:18.0,,,60-59,,Utah full timeout
6:18.0,M. Gasol misses free throw 1 of 1,,60-59,,
6:16.0,,,60-59,,Defensive rebound by R. Gobert
5:57.0,,,60-62,3,R. Hood makes 3-pt shot from 25 ft
5:40.0,B. Udrih makes 2-pt shot from 14 ft (assist by M. Gasol),2,62-62,,
5:23.0,,,62-64,2,R. Gobert makes 2-pt shot at rim (assist by D. Exum)
5:03.0,C. Lee makes 3-pt shot from 24 ft (assist by M. Gasol),3,65-64,,
4:47.0,,,65-64,,G. Hayward misses 3-pt shot from 24 ft
4:46.0,Defensive rebound by M. Gasol,,65-64,,
4:34.0,,,65-64,,J. Ingles enters the game for G. Hayward
4:26.0,Shooting foul by D. Favors (drawn by Z. Randolph),,65-64,,
4:26.0,Z. Randolph makes free throw 1 of 2,1,66-64,,
4:26.0,,,66-64,,T. Booker enters the game for D. Favors
4:26.0,Z. Randolph makes free throw 2 of 2,1,67-64,,
4:15.0,,,67-64,,Turnover by R. Hood (bad pass; steal by Z. Randolph)
4:07.0,,,67-64,,Personal foul by R. Hood (drawn by Z. Randolph)
3:55.0,Z. Randolph makes 2-pt shot from 6 ft,2,69-64,,
3:37.0,,,69-64,,T. Booker misses 2-pt shot from 13 ft
3:36.0,Defensive rebound by M. Gasol,,69-64,,
3:28.0,J. Green misses 3-pt shot from 25 ft,,69-64,,
3:27.0,,,69-64,,Defensive rebound by R. Gobert
3:10.0,,,69-64,,R. Hood misses 2-pt shot from 20 ft
3:09.0,Defensive rebound by Z. Randolph,,69-64,,
2:56.0,B. Udrih misses 2-pt shot from 21 ft,,69-64,,
2:53.0,Offensive rebound by C. Lee,,69-64,,
2:47.0,M. Gasol misses 3-pt shot from 24 ft,,69-64,,
2:47.0,,,69-64,,Defensive rebound by Team
2:47.0,Personal foul by Z. Randolph (drawn by T. Booker),,69-64,,
2:47.0,Technical foul by Z. Randolph (drawn by T. Booker),,69-64,,
2:47.0,Memphis full timeout,,69-64,,
2:47.0,J. Leuer enters the game for M. Gasol,,69-64,,
2:47.0,,,69-64,,B. Cotton enters the game for D. Exum
2:47.0,,,69-65,1,R. Hood makes technical free throw
2:26.0,,,69-65,,R. Hood misses 2-pt shot from 15 ft
2:25.0,,,69-65,,Offensive rebound by R. Gobert
2:20.0,,,69-67,2,R. Gobert makes 2-pt shot from 1 ft
2:03.0,Z. Randolph makes 2-pt shot from 2 ft,2,71-67,,
1:42.0,,,71-70,3,J. Ingles makes 3-pt shot from 25 ft (assist by T. Booker)
1:30.0,,,71-70,,Personal foul by J. Ingles (drawn by J. Green)
1:30.0,J. Green makes free throw 1 of 2,1,72-70,,
1:30.0,,,72-70,,J. Evans enters the game for R. Gobert
1:30.0,J. Green misses free throw 2 of 2,,72-70,,
1:28.0,,,72-70,,Defensive rebound by T. Booker
1:08.0,,,72-70,,Offensive foul by T. Booker
1:08.0,,,72-70,,Turnover by T. Booker (offensive foul)
1:08.0,,,72-70,,Technical foul by T. Booker
1:08.0,C. Lee makes technical free throw,1,73-70,,
1:08.0,V. Carter enters the game for C. Lee,,73-70,,
0:53.0,Z. Randolph misses 2-pt shot from 4 ft,,73-70,,
0:52.0,,,73-70,,Defensive rebound by R. Hood
0:33.0,,,73-72,2,R. Hood makes 2-pt shot from 15 ft
0:19.0,V. Carter misses 3-pt shot from 23 ft,,73-72,,
0:17.0,,,73-72,,Defensive rebound by J. Ingles
0:00.0,,,73-72,,R. Hood misses 3-pt shot from 26 ft
0:00.0,,,73-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,J. Green misses 2-pt shot from 5 ft,,73-72,,
11:40.0,,,73-72,,Defensive rebound by G. Hayward
11:26.0,,,73-72,,G. Hayward misses 2-pt shot from 10 ft
11:25.0,Defensive rebound by J. Leuer,,73-72,,
11:18.0,J. Green misses 2-pt shot from 11 ft,,73-72,,
11:17.0,,,73-72,,Defensive rebound by D. Favors
11:09.0,,,73-75,3,J. Ingles makes 3-pt shot from 23 ft (assist by G. Hayward)
10:50.0,,,73-75,,Personal foul by G. Hayward (drawn by Z. Randolph)
10:41.0,V. Carter misses 3-pt shot from 25 ft,,73-75,,
10:40.0,,,73-75,,Defensive rebound by G. Hayward
10:34.0,,,73-75,,J. Ingles misses 3-pt shot from 23 ft
10:33.0,Defensive rebound by J. Green,,73-75,,
10:27.0,V. Carter misses 2-pt shot from 4 ft,,73-75,,
10:26.0,,,73-75,,Defensive rebound by J. Evans
10:15.0,Personal foul by V. Carter (drawn by D. Favors),,73-75,,
10:15.0,Memphis full timeout,,73-75,,
10:15.0,M. Gasol enters the game for J. Leuer,,73-75,,
10:15.0,K. Koufos enters the game for J. Green,,73-75,,
10:15.0,C. Lee enters the game for Z. Randolph,,73-75,,
10:04.0,,,73-75,,D. Favors misses 2-pt shot from 2 ft
10:03.0,,,73-75,,Offensive rebound by D. Favors
10:03.0,,,73-75,,D. Favors misses 2-pt shot from 2 ft
10:01.0,Defensive rebound by M. Gasol,,73-75,,
9:41.0,M. Gasol misses 2-pt shot from 8 ft,,73-75,,
9:40.0,,,73-75,,Defensive rebound by D. Favors
9:23.0,,,73-78,3,J. Evans makes 3-pt shot from 23 ft (assist by G. Hayward)
9:01.0,Turnover by C. Lee (bad pass; steal by G. Hayward),,73-78,,
8:58.0,,,73-78,,Shooting foul by N. Calathes (drawn by B. Cotton)
8:58.0,,,73-79,1,B. Cotton makes free throw 1 of 2
8:58.0,,,73-79,,B. Cotton misses free throw 2 of 2
8:57.0,Defensive rebound by K. Koufos,,73-79,,
8:49.0,,,73-79,,Personal foul by B. Cotton (drawn by N. Calathes)
8:49.0,,,73-79,,R. Gobert enters the game for D. Favors
8:36.0,V. Carter misses 2-pt shot from 14 ft,,73-79,,
8:35.0,,,73-79,,Defensive rebound by B. Cotton
8:28.0,,,73-82,3,B. Cotton makes 3-pt shot from 25 ft
8:09.0,M. Gasol makes 2-pt shot from 18 ft (assist by V. Carter),2,75-82,,
7:42.0,,,75-82,,J. Evans misses 2-pt shot from 8 ft
7:42.0,,,75-82,,Offensive rebound by Team
7:42.0,,,75-82,,Turnover by Team (shot clock)
7:34.0,,,75-82,,Personal foul by J. Ingles (drawn by V. Carter)
7:34.0,,,75-82,,D. Favors enters the game for J. Evans
7:21.0,M. Gasol makes 2-pt shot from 13 ft,2,77-82,,
6:57.0,,,77-82,,B. Cotton misses 2-pt shot from 21 ft
6:56.0,Defensive rebound by K. Koufos,,77-82,,
6:40.0,M. Gasol makes 2-pt shot from 16 ft (assist by V. Carter),2,79-82,,
6:40.0,,,79-82,,Utah full timeout
6:40.0,,,79-82,,D. Exum enters the game for B. Cotton
6:40.0,,,79-82,,R. Hood enters the game for J. Ingles
6:30.0,Personal foul by C. Lee (drawn by G. Hayward),,79-82,,
6:19.0,,,79-82,,Turnover by G. Hayward (bad pass)
6:03.0,Shooting foul by D. Favors (drawn by V. Carter),,79-82,,
6:03.0,V. Carter makes free throw 1 of 2,1,80-82,,
6:03.0,Z. Randolph enters the game for K. Koufos,,80-82,,
6:03.0,V. Carter misses free throw 2 of 2,,80-82,,
6:01.0,Offensive rebound by M. Gasol,,80-82,,
6:00.0,J. Green enters the game for V. Carter,,80-82,,
5:52.0,C. Lee makes 2-pt shot from 10 ft,2,82-82,,
5:35.0,,,82-82,,R. Hood misses 2-pt shot from 17 ft
5:32.0,Defensive rebound by Z. Randolph,,82-82,,
5:21.0,Turnover by J. Green (lost ball; steal by G. Hayward),,82-82,,
5:15.0,,,82-84,2,G. Hayward makes 2-pt shot from 3 ft
4:52.0,M. Gasol misses 2-pt shot from 16 ft,,82-84,,
4:49.0,,,82-84,,Defensive rebound by D. Favors
4:43.0,,,82-86,2,R. Gobert makes 2-pt shot at rim (assist by R. Hood)
4:31.0,Memphis full timeout,,82-86,,
4:31.0,B. Udrih enters the game for N. Calathes,,82-86,,
4:11.0,C. Lee misses 3-pt shot from 25 ft,,82-86,,
4:10.0,Offensive rebound by Z. Randolph,,82-86,,
4:06.0,Z. Randolph misses 2-pt shot from 5 ft (block by R. Gobert),,82-86,,
4:05.0,,,82-86,,Defensive rebound by G. Hayward
3:48.0,,,82-86,,Turnover by R. Gobert (bad pass; steal by C. Lee)
3:42.0,B. Udrih makes 2-pt shot from 1 ft (assist by C. Lee),2,84-86,,
3:27.0,,,84-86,,G. Hayward misses 2-pt shot from 4 ft
3:24.0,Defensive rebound by C. Lee,,84-86,,
3:17.0,C. Lee makes 2-pt shot from 1 ft,2,86-86,,
2:52.0,,,86-86,,R. Hood misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by Z. Randolph,,86-86,,
2:35.0,M. Gasol makes 2-pt shot from 1 ft,2,88-86,,
2:35.0,Shooting foul by R. Gobert (drawn by M. Gasol),,88-86,,
2:35.0,N. Calathes enters the game for C. Lee,,88-86,,
2:35.0,M. Gasol makes free throw 1 of 1,1,89-86,,
2:19.0,,,89-86,,Turnover by D. Exum (offensive foul)
2:19.0,,,89-86,,Offensive foul by D. Exum
1:57.0,M. Gasol misses 2-pt shot from 10 ft,,89-86,,
1:57.0,,,89-86,,Defensive rebound by Team
1:44.0,,,89-86,,Turnover by D. Favors (bad pass; steal by J. Green)
1:44.0,M. Gasol misses 2-pt shot from 17 ft,,89-86,,
1:27.0,Offensive rebound by B. Udrih,,89-86,,
1:07.0,Z. Randolph misses 2-pt shot from 13 ft,,89-86,,
1:03.0,Offensive rebound by J. Green,,89-86,,
0:51.0,Z. Randolph misses 2-pt shot from 6 ft,,89-86,,
0:51.0,,,89-86,,Defensive rebound by Team
0:51.0,Loose ball foul by M. Gasol (drawn by R. Gobert),,89-86,,
0:51.0,C. Lee enters the game for N. Calathes,,89-86,,
0:39.0,,,89-86,,R. Hood misses 2-pt shot from 2 ft
0:37.0,Defensive rebound by Z. Randolph,,89-86,,
0:29.0,Memphis full timeout,,89-86,,
0:14.0,C. Lee misses 2-pt shot from 21 ft,,89-86,,
0:14.0,,,89-86,,Defensive rebound by R. Gobert
0:07.0,,,89-86,,D. Favors misses 2-pt shot from 19 ft
0:04.0,,,89-86,,Offensive rebound by G. Hayward
0:03.0,,,89-86,,G. Hayward misses 2-pt shot from 1 ft
0:03.0,,,89-86,,Offensive rebound by R. Gobert
0:03.0,,,89-86,,R. Gobert misses 2-pt shot from 1 ft
0:03.0,,,89-86,,Offensive rebound by R. Gobert
0:03.0,,,89-86,,Utah full timeout
0:03.0,,,89-86,,T. Booker enters the game for D. Exum
0:03.0,Jump ball: R. Gobert vs. Z. Randolph,,,,Jump ball: R. Gobert vs. Z. Randolph
0:01.0,,,89-86,,Utah full timeout
0:01.0,N. Calathes enters the game for Z. Randolph,,89-86,,
0:01.0,,,89-86,,J. Ingles enters the game for T. Booker
0:01.0,,,89-86,,D. Exum enters the game for R. Gobert
0:00.0,,,89-86,,Shooting foul by M. Gasol (drawn by G. Hayward)
