time,Indiana,pts.away,score,pts.home,Brooklyn
4:09.0,D. West enters the game for L. Scola,,42-34,,
4:09.0,,,42-34,,K. Garnett enters the game for M. Plumlee
4:09.0,,,42-35,1,J. Johnson makes free throw 2 of 2
3:47.0,S. Hill misses 2-pt shot from 20 ft,,42-35,,
3:46.0,,,42-35,,Defensive rebound by J. Johnson
3:29.0,,,42-38,3,S. Karasev makes 3-pt shot from 23 ft (assist by J. Johnson)
3:07.0,S. Hill makes 3-pt shot from 23 ft (assist by D. West),3,45-38,,
2:53.0,,,45-40,2,J. Jack makes 2-pt shot from 1 ft (assist by D. Williams)
2:33.0,G. Hill makes 3-pt shot from 23 ft (assist by D. West),3,48-40,,
2:21.0,,,48-40,,D. Williams misses 2-pt shot from 17 ft
2:20.0,,,48-40,,Offensive rebound by S. Karasev
2:15.0,,,48-42,2,D. Williams makes 2-pt shot from 2 ft (assist by S. Karasev)
2:01.0,L. Allen misses 2-pt shot from 1 ft,,48-42,,
2:00.0,,,48-42,,Defensive rebound by Team
2:00.0,Indiana full timeout,,48-42,,
2:00.0,R. Hibbert enters the game for L. Allen,,48-42,,
2:00.0,C. Copeland enters the game for R. Stuckey,,48-42,,
1:52.0,,,48-42,,S. Karasev misses 2-pt shot from 6 ft
1:51.0,Defensive rebound by S. Hill,,48-42,,
1:35.0,Offensive foul by R. Hibbert,,48-42,,
1:35.0,Turnover by R. Hibbert (offensive foul),,48-42,,
1:26.0,Personal foul by C. Copeland (drawn by K. Garnett),,48-42,,
1:26.0,,,48-43,1,K. Garnett makes free throw 1 of 2
1:26.0,,,48-44,1,K. Garnett makes free throw 2 of 2
1:16.0,Shooting foul by J. Johnson (drawn by D. West),,48-44,,
1:16.0,D. West makes free throw 1 of 2,1,49-44,,
1:16.0,R. Stuckey enters the game for C. Copeland,,49-44,,
1:16.0,D. West makes free throw 2 of 2,1,50-44,,
1:00.0,,,50-44,,J. Johnson misses 2-pt shot from 9 ft
0:59.0,Defensive rebound by G. Hill,,50-44,,
0:51.0,Turnover by R. Hibbert (lost ball; steal by J. Jack),,50-44,,
0:48.0,,,50-46,2,S. Karasev makes 2-pt shot from 2 ft (assist by J. Jack)
0:28.0,Turnover by G. Hill (lost ball),,50-46,,
0:28.0,L. Allen enters the game for R. Hibbert,,50-46,,
0:28.0,,,50-46,,Brooklyn full timeout
0:07.0,,,50-46,,D. Williams misses 2-pt shot from 2 ft
0:07.0,,,50-46,,Offensive rebound by Team
0:07.0,Loose ball foul by D. West (drawn by S. Karasev),,50-46,,
0:07.0,,,50-46,,S. Karasev misses free throw 1 of 2
0:07.0,,,50-46,,Offensive rebound by Team
0:07.0,,,50-46,,B. Lopez enters the game for K. Garnett
0:07.0,,,50-46,,A. Anderson enters the game for D. Williams
0:07.0,C. Copeland enters the game for S. Hill,,50-46,,
0:07.0,,,50-47,1,S. Karasev makes free throw 2 of 2
0:07.0,Indiana full timeout,,50-47,,
0:07.0,,,50-47,,K. Garnett enters the game for B. Lopez
0:02.0,C. Copeland misses 2-pt shot from 2 ft,,50-47,,
0:00.0,,,50-47,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,50-47,,Shooting foul by S. Hill (drawn by J. Johnson)
11:40.0,,,50-48,1,J. Johnson makes free throw 1 of 2
11:40.0,,,50-49,1,J. Johnson makes free throw 2 of 2
11:28.0,,,50-49,,Personal foul by K. Garnett (drawn by D. West)
11:24.0,S. Hill misses 3-pt shot from 26 ft,,50-49,,
11:23.0,Offensive rebound by G. Hill,,50-49,,
11:14.0,R. Hibbert misses 2-pt shot from 6 ft,,50-49,,
11:13.0,,,50-49,,Defensive rebound by M. Plumlee
10:55.0,,,50-51,2,K. Garnett makes 2-pt shot from 18 ft (assist by J. Johnson)
10:36.0,D. West makes 2-pt shot from 1 ft (assist by G. Hill),2,52-51,,
10:27.0,Personal foul by S. Hill (drawn by J. Johnson),,52-51,,
10:27.0,C. Copeland enters the game for S. Hill,,52-51,,
10:13.0,,,52-51,,Turnover by J. Jack (kicked ball)
10:02.0,G. Hill makes 2-pt shot at rim,2,54-51,,
9:48.0,,,54-53,2,J. Jack makes 2-pt shot from 19 ft
9:42.0,,,54-53,,Personal foul by M. Plumlee (drawn by R. Hibbert)
9:27.0,R. Stuckey makes 2-pt shot from 9 ft (assist by C. Copeland),2,56-53,,
9:19.0,,,56-53,,J. Johnson misses 3-pt shot from 23 ft
9:18.0,Defensive rebound by D. West,,56-53,,
9:11.0,Turnover by R. Hibbert (lost ball),,56-53,,
8:54.0,,,56-53,,M. Plumlee misses 2-pt shot from 2 ft (block by R. Hibbert)
8:53.0,,,56-53,,Offensive rebound by Team
8:50.0,,,56-53,,J. Jack misses 2-pt shot from 16 ft
8:49.0,Defensive rebound by G. Hill,,56-53,,
8:42.0,Turnover by G. Hill (lost ball; steal by K. Garnett),,56-53,,
8:38.0,,,56-55,2,S. Karasev makes 2-pt shot from 1 ft (assist by J. Johnson)
8:25.0,G. Hill misses 3-pt shot from 23 ft (block by J. Jack),,56-55,,
8:24.0,Offensive rebound by Team,,56-55,,
8:13.0,G. Hill misses 3-pt shot from 25 ft,,56-55,,
8:12.0,,,56-55,,Defensive rebound by J. Jack
7:53.0,,,56-55,,K. Garnett misses 2-pt shot from 19 ft
7:52.0,Defensive rebound by R. Stuckey,,56-55,,
7:47.0,Offensive charge foul by R. Stuckey,,56-55,,
7:47.0,Turnover by R. Stuckey (offensive foul),,56-55,,
7:36.0,,,56-55,,S. Karasev misses 3-pt shot from 25 ft
7:35.0,,,56-55,,Offensive rebound by M. Plumlee
7:25.0,,,56-55,,Turnover by J. Jack (lost ball)
7:06.0,D. West makes 2-pt shot from 3 ft (assist by C. Copeland),2,58-55,,
7:01.0,,,58-55,,Offensive foul by K. Garnett
7:01.0,,,58-55,,Turnover by K. Garnett (offensive foul)
7:01.0,,,58-55,,B. Lopez enters the game for K. Garnett
6:44.0,D. West misses 2-pt shot from 17 ft,,58-55,,
6:43.0,Offensive rebound by R. Hibbert,,58-55,,
6:33.0,D. West makes 2-pt shot from 1 ft (assist by R. Hibbert),2,60-55,,
6:17.0,,,60-57,2,J. Jack makes 2-pt shot from 14 ft (assist by B. Lopez)
5:53.0,R. Hibbert makes 2-pt shot from 18 ft (assist by G. Hill),2,62-57,,
5:34.0,,,62-57,,M. Plumlee misses 2-pt shot from 7 ft
5:33.0,Defensive rebound by R. Hibbert,,62-57,,
5:29.0,,,62-57,,Personal foul by B. Lopez (drawn by R. Hibbert)
5:29.0,,,62-57,,Brooklyn full timeout
5:29.0,C. Watson enters the game for G. Hill,,62-57,,
5:29.0,,,62-57,,M. Teletovic enters the game for M. Plumlee
5:29.0,,,62-57,,D. Williams enters the game for S. Karasev
5:16.0,C. Watson makes 3-pt shot from 23 ft (assist by D. West),3,65-57,,
5:00.0,,,65-57,,D. Williams misses 2-pt shot from 6 ft (block by R. Hibbert)
4:59.0,Defensive rebound by C. Watson,,65-57,,
4:48.0,C. Copeland misses 3-pt shot from 23 ft,,65-57,,
4:47.0,,,65-57,,Defensive rebound by B. Lopez
4:35.0,,,65-57,,Turnover by B. Lopez (lost ball; steal by C. Watson)
4:24.0,R. Stuckey misses 2-pt shot from 7 ft,,65-57,,
4:23.0,Offensive rebound by R. Stuckey,,65-57,,
4:22.0,R. Stuckey misses 2-pt shot from 2 ft,,65-57,,
4:21.0,Offensive rebound by Team,,65-57,,
4:17.0,D. West misses 2-pt shot from 11 ft,,65-57,,
4:16.0,,,65-57,,Defensive rebound by D. Williams
4:12.0,,,65-57,,Turnover by D. Williams (lost ball; steal by R. Stuckey)
4:08.0,C. Copeland makes 2-pt shot at rim (assist by R. Stuckey),2,67-57,,
4:07.0,Violation by Team (jump ball),,67-57,,
3:56.0,Personal foul by C. Copeland (drawn by B. Lopez),,67-57,,
3:56.0,L. Allen enters the game for R. Hibbert,,67-57,,
3:41.0,,,67-57,,Turnover by Team (shot clock)
3:29.0,D. West misses 2-pt shot from 8 ft,,67-57,,
3:27.0,,,67-57,,Defensive rebound by B. Lopez
3:22.0,,,67-57,,M. Teletovic misses 2-pt shot from 2 ft
3:21.0,Defensive rebound by C. Watson,,67-57,,
3:17.0,,,67-57,,Personal foul by D. Williams (drawn by R. Stuckey)
3:17.0,R. Stuckey makes free throw 1 of 2,1,68-57,,
3:17.0,R. Stuckey makes free throw 2 of 2,1,69-57,,
2:54.0,,,69-60,3,D. Williams makes 3-pt shot from 24 ft (assist by B. Lopez)
2:45.0,Offensive foul by R. Stuckey,,69-60,,
2:45.0,Turnover by R. Stuckey (offensive foul),,69-60,,
2:45.0,Indiana full timeout,,69-60,,
2:31.0,,,69-60,,B. Lopez misses 2-pt shot from 10 ft
2:30.0,Defensive rebound by D. West,,69-60,,
2:15.0,D. West makes 2-pt shot from 18 ft (assist by R. Stuckey),2,71-60,,
1:57.0,,,71-60,,Turnover by J. Jack (bad pass; steal by C. Copeland)
1:39.0,D. West makes 2-pt shot from 18 ft (assist by R. Stuckey),2,73-60,,
1:26.0,,,73-63,3,J. Johnson makes 3-pt shot from 23 ft (assist by D. Williams)
1:05.0,R. Stuckey makes 2-pt shot from 11 ft (assist by D. West),2,75-63,,
0:56.0,,,75-65,2,J. Johnson makes 2-pt shot from 6 ft
0:43.0,C. Watson makes 2-pt shot from 8 ft,2,77-65,,
0:38.0,,,77-65,,Turnover by D. Williams (lost ball; steal by D. West)
0:35.0,R. Stuckey makes 2-pt shot from 1 ft,2,79-65,,
0:18.0,,,79-65,,Turnover by B. Lopez (traveling)
0:18.0,,,79-65,,A. Anderson enters the game for M. Teletovic
0:04.0,C. Copeland misses 3-pt shot from 25 ft,,79-65,,
0:02.0,Offensive rebound by L. Allen,,79-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,C. Copeland misses 3-pt shot from 25 ft,,79-65,,
11:40.0,,,79-65,,Defensive rebound by J. Jack
11:34.0,,,79-65,,Turnover by J. Jack (bad pass; steal by L. Allen)
11:30.0,C. Watson makes 2-pt shot from 1 ft (assist by R. Stuckey),2,81-65,,
11:01.0,,,81-65,,A. Anderson misses 3-pt shot from 23 ft
11:00.0,Defensive rebound by R. Stuckey,,81-65,,
10:56.0,Shooting foul by D. Williams (drawn by R. Stuckey),,81-65,,
10:56.0,R. Stuckey makes free throw 1 of 2,1,82-65,,
10:56.0,R. Stuckey makes free throw 2 of 2,1,83-65,,
10:47.0,,,83-65,,Turnover by D. Williams (bad pass; steal by R. Stuckey)
10:46.0,,,83-65,,Personal foul by D. Williams (drawn by R. Stuckey)
10:30.0,C. Copeland makes 3-pt shot from 22 ft (assist by R. Stuckey),3,86-65,,
10:19.0,Personal foul by L. Scola (drawn by M. Plumlee),,86-65,,
10:19.0,,,86-65,,S. Karasev enters the game for D. Williams
10:19.0,,,86-65,,J. Johnson enters the game for J. Jordan
10:09.0,,,86-67,2,M. Plumlee makes 2-pt shot at rim
9:53.0,L. Allen makes 2-pt shot from 6 ft (assist by C. Watson),2,88-67,,
9:37.0,,,88-67,,S. Karasev misses 2-pt shot from 13 ft
9:36.0,,,88-67,,Offensive rebound by S. Karasev
9:34.0,,,88-69,2,S. Karasev makes 2-pt shot from 2 ft
9:14.0,R. Stuckey makes 3-pt shot from 23 ft (assist by C. Copeland),3,91-69,,
9:03.0,,,91-71,2,J. Jack makes 2-pt shot from 1 ft
8:48.0,C. Watson misses 2-pt shot from 19 ft,,91-71,,
8:47.0,,,91-71,,Defensive rebound by M. Plumlee
8:33.0,,,91-71,,Turnover by J. Johnson (lost ball; steal by R. Stuckey)
8:27.0,L. Scola makes 2-pt shot from 2 ft (assist by C. Watson),2,93-71,,
8:27.0,,,93-71,,Brooklyn full timeout
8:16.0,Loose ball foul by L. Scola (drawn by J. Johnson),,93-71,,
8:07.0,,,93-74,3,J. Jack makes 3-pt shot from 23 ft (assist by J. Johnson)
7:47.0,,,93-74,,Personal foul by J. Jack (drawn by L. Allen)
7:37.0,L. Scola misses 2-pt shot from 15 ft,,93-74,,
7:36.0,,,93-74,,Defensive rebound by J. Jack
7:28.0,,,93-74,,Shooting foul by L. Scola (drawn by M. Plumlee)
7:28.0,,,93-75,1,M. Plumlee makes free throw 1 of 2
7:28.0,,,93-75,,M. Plumlee misses free throw 2 of 2
7:27.0,,,93-75,,Offensive rebound by Team
7:20.0,,,93-75,,Shooting foul by C. Copeland (drawn by J. Johnson)
7:20.0,,,93-76,1,J. Johnson makes free throw 1 of 2
7:20.0,,,93-77,1,J. Johnson makes free throw 2 of 2
7:03.0,C. Watson misses 3-pt shot from 24 ft,,93-77,,
7:02.0,,,93-77,,Defensive rebound by J. Johnson
6:51.0,,,93-77,,Shooting foul by C. Copeland (drawn by M. Plumlee)
6:51.0,Indiana full timeout,,93-77,,
6:51.0,D. West enters the game for L. Scola,,93-77,,
6:51.0,G. Hill enters the game for R. Stuckey,,93-77,,
6:51.0,,,93-77,,M. Plumlee misses free throw 1 of 2
6:51.0,,,93-77,,Offensive rebound by Team
6:51.0,,,93-78,1,M. Plumlee makes free throw 2 of 2
6:34.0,Shooting foul by J. Johnson (drawn by D. West),,93-78,,
6:34.0,D. West misses free throw 1 of 2,,93-78,,
6:34.0,Offensive rebound by Team,,93-78,,
6:34.0,D. West makes free throw 2 of 2,1,94-78,,
6:21.0,,,94-80,2,A. Anderson makes 2-pt shot from 1 ft (assist by J. Jack)
5:56.0,C. Copeland misses 2-pt shot from 2 ft,,94-80,,
5:55.0,,,94-80,,Defensive rebound by M. Plumlee
5:49.0,,,94-80,,J. Johnson misses 3-pt shot from 23 ft
5:48.0,Defensive rebound by D. West,,94-80,,
5:28.0,D. West makes 2-pt shot from 19 ft (assist by G. Hill),2,96-80,,
5:15.0,,,96-80,,J. Jack misses 2-pt shot from 20 ft
5:14.0,Defensive rebound by C. Watson,,96-80,,
4:56.0,D. West makes 2-pt shot from 20 ft (assist by G. Hill),2,98-80,,
4:32.0,,,98-82,2,J. Jack makes 2-pt shot from 7 ft (assist by J. Johnson)
4:10.0,D. West misses 2-pt shot from 15 ft,,98-82,,
4:09.0,,,98-82,,Defensive rebound by J. Jack
4:01.0,,,98-82,,S. Karasev misses 3-pt shot from 23 ft
4:00.0,Defensive rebound by D. West,,98-82,,
3:39.0,C. Watson misses 2-pt shot from 18 ft,,98-82,,
3:38.0,,,98-82,,Defensive rebound by Team
3:37.0,Loose ball foul by L. Allen (drawn by S. Karasev),,98-82,,
3:37.0,,,98-82,,S. Karasev misses free throw 1 of 2
3:37.0,,,98-82,,Offensive rebound by Team
3:37.0,,,98-83,1,S. Karasev makes free throw 2 of 2
3:34.0,C. Copeland makes 2-pt shot at rim (assist by D. West),2,100-83,,
3:16.0,,,100-83,,J. Johnson misses 3-pt shot from 23 ft
