time,LA Lakers,pts.away,score,pts.home,Denver
7:02.0,Personal foul by R. Kelly (drawn by D. Gallinari),,12-18,,
7:02.0,,,12-18,,D. Gallinari misses free throw 1 of 2
7:02.0,,,12-18,,Offensive rebound by Team
7:02.0,,,12-19,1,D. Gallinari makes free throw 2 of 2
6:51.0,J. Brown misses 3-pt shot from 25 ft,,12-19,,
6:50.0,,,12-19,,Defensive rebound by D. Gallinari
6:44.0,,,12-19,,Turnover by D. Gallinari (lost ball; steal by W. Johnson)
6:32.0,Turnover by J. Clarkson (lost ball; steal by K. Faried),,12-19,,
6:31.0,Clear path foul by J. Clarkson,,12-19,,
6:31.0,,,12-20,1,K. Faried makes clear path free throw 1 of 2
6:31.0,,,12-21,1,K. Faried makes clear path free throw 2 of 2
6:24.0,,,12-21,,W. Chandler misses 2-pt shot from 19 ft
6:21.0,,,12-21,,Offensive rebound by K. Faried
6:21.0,,,12-21,,K. Faried misses 2-pt shot from 1 ft
6:18.0,Defensive rebound by J. Clarkson,,12-21,,
6:10.0,R. Kelly misses 3-pt shot from 23 ft,,12-21,,
6:08.0,,,12-21,,Defensive rebound by K. Faried
6:01.0,,,12-23,2,W. Chandler makes 2-pt shot at rim (assist by R. Foye)
5:52.0,Shooting foul by R. Foye (drawn by J. Brown),,12-23,,
5:52.0,J. Brown misses free throw 1 of 2,,12-23,,
5:52.0,Offensive rebound by Team,,12-23,,
5:52.0,D. Buycks enters the game for J. Clarkson,,12-23,,
5:52.0,J. Brown makes free throw 2 of 2,1,13-23,,
5:36.0,,,13-26,3,R. Foye makes 3-pt shot from 26 ft (assist by T. Lawson)
5:17.0,D. Buycks misses 2-pt shot from 17 ft,,13-26,,
5:16.0,,,13-26,,Defensive rebound by W. Chandler
5:04.0,,,13-26,,K. Faried misses 2-pt shot from 3 ft
5:03.0,,,13-26,,Offensive rebound by W. Chandler
5:02.0,,,13-26,,Shooting foul by W. Johnson (drawn by W. Chandler)
5:02.0,,,13-27,1,W. Chandler makes free throw 1 of 2
5:02.0,R. Sacre enters the game for R. Kelly,,13-27,,
5:02.0,,,13-27,,W. Chandler misses free throw 2 of 2
5:00.0,Defensive rebound by E. Davis,,13-27,,
4:46.0,W. Johnson makes 2-pt shot from 17 ft,2,15-27,,
4:21.0,,,15-27,,D. Gallinari misses 3-pt shot from 25 ft
4:19.0,Defensive rebound by J. Brown,,15-27,,
4:11.0,J. Brown misses 2-pt shot from 2 ft,,15-27,,
4:10.0,Offensive rebound by E. Davis,,15-27,,
4:09.0,E. Davis makes 2-pt shot at rim,2,17-27,,
3:54.0,,,17-27,,K. Faried misses 2-pt shot from 3 ft
3:52.0,Defensive rebound by R. Sacre,,17-27,,
3:40.0,D. Buycks makes 2-pt shot from 16 ft,2,19-27,,
3:28.0,,,19-29,2,T. Lawson makes 2-pt shot from 1 ft
3:12.0,J. Brown makes 3-pt shot from 25 ft (assist by R. Sacre),3,22-29,,
3:01.0,,,22-29,,Shooting foul by J. Brown (drawn by T. Lawson)
3:01.0,,,22-30,1,T. Lawson makes free throw 1 of 2
3:01.0,,,22-30,,J. Hickson enters the game for K. Faried
3:01.0,,,22-31,1,T. Lawson makes free throw 2 of 2
2:47.0,E. Davis misses 2-pt shot from 4 ft (block by D. Gallinari),,22-31,,
2:44.0,,,22-31,,Defensive rebound by D. Gallinari
2:40.0,,,22-31,,T. Lawson misses 3-pt shot from 25 ft
2:39.0,Defensive rebound by J. Brown,,22-31,,
2:29.0,R. Sacre misses 2-pt shot from 14 ft,,22-31,,
2:28.0,,,22-31,,Defensive rebound by T. Lawson
2:24.0,,,22-31,,Denver full timeout
2:24.0,,,22-31,,W. Barton enters the game for R. Foye
2:18.0,,,22-31,,D. Gallinari misses 3-pt shot from 26 ft
2:16.0,Defensive rebound by W. Johnson,,22-31,,
2:01.0,R. Sacre makes 2-pt shot from 18 ft (assist by D. Buycks),2,24-31,,
1:46.0,,,24-33,2,T. Lawson makes 2-pt shot from 2 ft
1:46.0,,,24-33,,Shooting foul by W. Johnson (drawn by T. Lawson)
1:46.0,R. Kelly enters the game for W. Johnson,,24-33,,
1:46.0,,,24-33,,J. Nurkic enters the game for W. Chandler
1:46.0,,,24-33,,T. Lawson misses free throw 1 of 1
1:44.0,,,24-33,,Offensive rebound by T. Lawson
1:40.0,,,24-35,2,T. Lawson makes 2-pt shot from 15 ft
1:21.0,Shooting foul by J. Hickson (drawn by E. Davis),,24-35,,
1:21.0,E. Davis makes 2-pt shot from 7 ft (assist by D. Buycks),2,26-35,,
1:21.0,E. Davis makes free throw 1 of 1,1,27-35,,
1:05.0,,,27-35,,W. Barton misses 2-pt shot from 17 ft
1:04.0,Defensive rebound by R. Sacre,,27-35,,
0:55.0,R. Sacre misses 2-pt shot from 18 ft,,27-35,,
0:52.0,Offensive rebound by E. Davis,,27-35,,
0:41.0,Shooting foul by D. Gallinari (drawn by R. Kelly),,27-35,,
0:41.0,R. Kelly makes free throw 1 of 3,1,28-35,,
0:41.0,R. Kelly makes free throw 2 of 3,1,29-35,,
0:41.0,,,29-35,,R. Foye enters the game for D. Gallinari
0:41.0,R. Kelly makes free throw 3 of 3,1,30-35,,
0:32.0,,,30-35,,Turnover by R. Foye (traveling)
0:22.0,D. Buycks makes 2-pt shot from 12 ft,2,32-35,,
0:06.0,,,32-35,,W. Barton misses 2-pt shot from 2 ft
0:02.0,Defensive rebound by D. Buycks,,32-35,,
0:01.0,Shooting foul by T. Lawson (drawn by D. Buycks),,32-35,,
0:01.0,D. Buycks misses free throw 1 of 2,,32-35,,
0:01.0,Offensive rebound by Team,,32-35,,
0:01.0,D. Buycks makes free throw 2 of 2,1,33-35,,
0:00.0,,,33-35,,W. Barton misses 3-pt shot from 52 ft
0:00.0,,,33-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,R. Sacre makes 2-pt shot from 17 ft,2,35-35,,
11:19.0,,,35-35,,R. Foye misses 3-pt shot from 25 ft
11:19.0,Defensive rebound by Team,,35-35,,
11:02.0,R. Kelly makes 2-pt shot from 5 ft,2,37-35,,
11:02.0,Shooting foul by W. Barton (drawn by R. Kelly),,37-35,,
11:02.0,R. Kelly misses free throw 1 of 1,,37-35,,
11:00.0,Offensive rebound by R. Sacre,,37-35,,
10:55.0,Shooting foul by J. Hickson (drawn by R. Sacre),,37-35,,
10:55.0,R. Sacre makes free throw 1 of 2,1,38-35,,
10:55.0,R. Sacre makes free throw 2 of 2,1,39-35,,
10:45.0,,,39-35,,E. Green misses 2-pt shot from 15 ft
10:43.0,,,39-35,,Offensive rebound by J. Nurkic
10:43.0,,,39-35,,J. Nurkic misses 2-pt shot from 1 ft
10:42.0,Defensive rebound by R. Sacre,,39-35,,
10:34.0,Turnover by D. Buycks (lost ball; steal by J. Hickson),,39-35,,
10:32.0,,,39-35,,Turnover by E. Green (bad pass)
10:32.0,T. Black enters the game for E. Davis,,39-35,,
10:13.0,J. Clarkson misses 3-pt shot from 25 ft,,39-35,,
10:11.0,,,39-35,,Defensive rebound by W. Barton
9:55.0,,,39-37,2,W. Barton makes 2-pt shot from 18 ft
9:36.0,Shooting foul by R. Foye (drawn by T. Black),,39-37,,
9:36.0,T. Black misses free throw 1 of 2,,39-37,,
9:36.0,Offensive rebound by Team,,39-37,,
9:36.0,T. Black misses free throw 2 of 2,,39-37,,
9:34.0,,,39-37,,Defensive rebound by W. Barton
9:21.0,,,39-37,,J. Nurkic misses 2-pt shot at rim
9:19.0,Defensive rebound by T. Black,,39-37,,
9:06.0,T. Black makes 2-pt shot at rim (assist by J. Clarkson),2,41-37,,
8:47.0,,,41-37,,J. Nurkic misses 2-pt shot from 1 ft
8:46.0,Defensive rebound by D. Buycks,,41-37,,
8:39.0,Turnover by D. Buycks (bad pass; steal by J. Hickson),,41-37,,
8:35.0,,,41-39,2,E. Green makes 2-pt shot at rim (assist by R. Foye)
8:17.0,T. Black misses 2-pt shot from 20 ft,,41-39,,
8:16.0,,,41-39,,Defensive rebound by J. Nurkic
7:54.0,,,41-39,,E. Green misses 2-pt shot from 19 ft
7:52.0,Defensive rebound by R. Sacre,,41-39,,
7:38.0,J. Clarkson misses 3-pt shot from 25 ft,,41-39,,
7:37.0,,,41-39,,Defensive rebound by E. Green
7:23.0,,,41-41,2,J. Hickson makes 2-pt shot from 2 ft (assist by E. Green)
7:01.0,J. Clarkson misses 2-pt shot from 1 ft,,41-41,,
7:00.0,,,41-41,,Defensive rebound by J. Hickson
6:53.0,,,41-41,,W. Barton misses 2-pt shot from 17 ft
6:52.0,Defensive rebound by D. Buycks,,41-41,,
6:39.0,D. Buycks makes 2-pt shot from 1 ft,2,43-41,,
6:10.0,,,43-41,,J. Hickson misses 2-pt shot from 15 ft
6:09.0,Defensive rebound by R. Sacre,,43-41,,
6:09.0,,,43-41,,Personal foul by J. Nurkic (drawn by R. Sacre)
6:09.0,Official timeout,,43-41,,
6:09.0,E. Davis enters the game for T. Black,,43-41,,
6:09.0,J. Brown enters the game for R. Sacre,,43-41,,
5:55.0,J. Clarkson misses 3-pt shot from 25 ft,,43-41,,
5:54.0,,,43-41,,Defensive rebound by W. Barton
5:46.0,,,43-41,,Turnover by W. Barton (bad pass; steal by J. Clarkson)
5:41.0,J. Clarkson makes 2-pt shot from 1 ft,2,45-41,,
5:30.0,,,45-41,,Denver full timeout
5:30.0,,,45-41,,D. Gallinari enters the game for R. Foye
5:30.0,,,45-41,,G. Harris enters the game for J. Hickson
5:30.0,,,45-41,,T. Lawson enters the game for W. Barton
5:30.0,,,45-41,,W. Chandler enters the game for J. Nurkic
5:30.0,,,45-41,,K. Faried enters the game for E. Green
5:19.0,,,45-43,2,T. Lawson makes 2-pt shot from 19 ft
5:01.0,E. Davis makes 2-pt shot from 3 ft (assist by J. Clarkson),2,47-43,,
4:57.0,Personal foul by J. Clarkson (drawn by T. Lawson),,47-43,,
4:46.0,,,47-43,,D. Gallinari misses 3-pt shot from 24 ft
4:45.0,Defensive rebound by E. Davis,,47-43,,
4:35.0,J. Brown misses 3-pt shot from 22 ft,,47-43,,
4:33.0,,,47-43,,Defensive rebound by D. Gallinari
4:18.0,,,47-43,,Shooting foul by E. Davis (drawn by W. Chandler)
4:18.0,,,47-44,1,W. Chandler makes free throw 1 of 2
4:18.0,,,47-45,1,W. Chandler makes free throw 2 of 2
3:59.0,J. Clarkson misses 2-pt shot from 1 ft,,47-45,,
3:58.0,Offensive rebound by E. Davis,,47-45,,
3:57.0,Shooting foul by K. Faried (drawn by E. Davis),,47-45,,
3:57.0,E. Davis misses free throw 1 of 2,,47-45,,
3:57.0,Offensive rebound by Team,,47-45,,
3:57.0,E. Davis misses free throw 2 of 2,,47-45,,
3:55.0,,,47-45,,Defensive rebound by W. Chandler
3:39.0,,,47-45,,D. Gallinari misses 3-pt shot from 26 ft
3:37.0,Defensive rebound by Team,,47-45,,
3:19.0,J. Clarkson makes 2-pt shot from 18 ft,2,49-45,,
3:03.0,,,49-47,2,G. Harris makes 2-pt shot from 11 ft
2:39.0,J. Clarkson misses 2-pt shot from 1 ft,,49-47,,
2:38.0,,,49-47,,Defensive rebound by D. Gallinari
2:31.0,,,49-47,,D. Gallinari misses 2-pt shot from 1 ft
2:30.0,,,49-47,,Offensive rebound by K. Faried
2:29.0,,,49-49,2,K. Faried makes 2-pt shot from 2 ft
2:08.0,R. Kelly makes 3-pt shot from 27 ft (assist by J. Clarkson),3,52-49,,
2:00.0,,,52-49,,T. Lawson misses 2-pt shot from 3 ft
1:59.0,,,52-49,,Offensive rebound by D. Gallinari
1:56.0,,,52-52,3,D. Gallinari makes 3-pt shot from 24 ft
1:37.0,D. Buycks misses 3-pt shot from 25 ft,,52-52,,
1:36.0,,,52-52,,Defensive rebound by W. Chandler
1:32.0,,,52-52,,Shooting foul by E. Davis (drawn by W. Chandler)
1:32.0,LA Lakers full timeout,,52-52,,
1:32.0,,,52-52,,W. Chandler misses free throw 1 of 2
1:32.0,,,52-52,,Offensive rebound by Team
1:32.0,,,52-53,1,W. Chandler makes free throw 2 of 2
1:12.0,Shooting foul by D. Gallinari (drawn by J. Clarkson),,52-53,,
1:12.0,J. Clarkson makes free throw 1 of 2,1,53-53,,
1:12.0,J. Clarkson makes free throw 2 of 2,1,54-53,,
1:00.0,,,54-53,,D. Gallinari misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by E. Davis,,54-53,,
0:50.0,J. Brown misses 2-pt shot from 19 ft,,54-53,,
0:49.0,,,54-53,,Defensive rebound by W. Chandler
0:42.0,,,54-56,3,D. Gallinari makes 3-pt shot from 25 ft (assist by W. Chandler)
0:34.0,J. Clarkson misses 2-pt shot from 17 ft,,54-56,,
0:32.0,,,54-56,,Defensive rebound by D. Gallinari
0:25.0,,,54-58,2,D. Gallinari makes 2-pt shot from 2 ft
0:03.0,Turnover by J. Clarkson (traveling),,54-58,,
0:01.0,,,54-58,,D. Gallinari misses 3-pt shot from 27 ft (block by R. Kelly)
0:00.0,,,54-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Shooting foul by R. Foye (drawn by J. Brown),,54-58,,
11:46.0,J. Brown makes free throw 1 of 3,1,55-58,,
11:46.0,J. Brown makes free throw 2 of 3,1,56-58,,
11:46.0,J. Brown makes free throw 3 of 3,1,57-58,,
11:36.0,,,57-58,,Turnover by T. Lawson (bad pass; steal by T. Black)
11:27.0,J. Clarkson makes 2-pt shot from 16 ft,2,59-58,,
11:16.0,Personal foul by J. Clarkson (drawn by T. Lawson),,59-58,,
11:03.0,,,59-58,,R. Foye misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by W. Johnson,,59-58,,
10:47.0,R. Kelly makes 2-pt shot from 15 ft,2,61-58,,
10:33.0,,,61-58,,W. Chandler misses 2-pt shot from 2 ft (block by R. Kelly)
10:32.0,,,61-58,,Offensive rebound by Team
10:19.0,,,61-61,3,D. Gallinari makes 3-pt shot from 22 ft (assist by R. Foye)
9:51.0,J. Brown misses 2-pt shot from 1 ft,,61-61,,
9:50.0,,,61-61,,Defensive rebound by K. Faried
9:44.0,,,61-63,2,K. Faried makes 2-pt shot from 2 ft
9:28.0,T. Black makes 2-pt shot from 3 ft (assist by J. Clarkson),2,63-63,,
9:21.0,,,63-63,,Shooting foul by W. Johnson (drawn by K. Faried)
9:21.0,,,63-64,1,K. Faried makes free throw 1 of 2
9:21.0,,,63-65,1,K. Faried makes free throw 2 of 2
9:06.0,Turnover by J. Clarkson (bad pass),,63-65,,
8:56.0,,,63-67,2,T. Lawson makes 2-pt shot from 2 ft
8:36.0,J. Clarkson misses 2-pt shot at rim (block by K. Faried),,63-67,,
8:35.0,,,63-67,,Defensive rebound by R. Foye
8:21.0,,,63-69,2,K. Faried makes 2-pt shot from 1 ft (assist by R. Foye)
7:59.0,J. Clarkson misses 2-pt shot from 6 ft,,63-69,,
7:58.0,,,63-69,,Defensive rebound by R. Foye
7:48.0,,,63-69,,T. Lawson misses 2-pt shot from 21 ft
7:47.0,Defensive rebound by R. Kelly,,63-69,,
7:24.0,W. Johnson misses 2-pt shot from 15 ft,,63-69,,
7:22.0,,,63-69,,Defensive rebound by R. Foye
7:09.0,,,63-72,3,R. Foye makes 3-pt shot from 25 ft (assist by D. Gallinari)
7:07.0,LA Lakers full timeout,,63-72,,
6:49.0,W. Johnson misses 2-pt shot from 19 ft,,63-72,,
6:48.0,,,63-72,,Defensive rebound by R. Foye
6:34.0,,,63-75,3,D. Gallinari makes 3-pt shot from 25 ft (assist by T. Lawson)
6:14.0,W. Johnson misses 2-pt shot from 20 ft,,63-75,,
6:12.0,,,63-75,,Defensive rebound by D. Gallinari
6:00.0,,,63-78,3,R. Foye makes 3-pt shot from 23 ft (assist by T. Lawson)
5:52.0,W. Johnson makes 2-pt shot from 2 ft (assist by J. Clarkson),2,65-78,,
5:44.0,Violation by J. Clarkson (def goaltending),,65-78,,
5:44.0,,,65-80,2,T. Lawson makes 2-pt shot from 2 ft
5:18.0,R. Kelly makes 2-pt shot from 2 ft,2,67-80,,
4:55.0,,,67-82,2,D. Gallinari makes 2-pt shot from 22 ft
4:36.0,W. Johnson misses 2-pt shot from 20 ft,,67-82,,
4:34.0,,,67-82,,Defensive rebound by R. Foye
4:27.0,,,67-84,2,K. Faried makes 2-pt shot at rim (assist by R. Foye)
4:06.0,J. Brown misses 3-pt shot from 24 ft,,67-84,,
4:05.0,,,67-84,,Defensive rebound by W. Chandler
3:53.0,,,67-86,2,W. Chandler makes 2-pt shot from 4 ft
3:36.0,Shooting foul by K. Faried (drawn by J. Clarkson),,67-86,,
3:36.0,J. Clarkson makes free throw 1 of 2,1,68-86,,
3:36.0,E. Davis enters the game for T. Black,,68-86,,
3:36.0,R. Sacre enters the game for R. Kelly,,68-86,,
3:36.0,J. Clarkson makes free throw 2 of 2,1,69-86,,
3:17.0,,,69-86,,Shooting foul by W. Johnson (drawn by W. Chandler)
3:17.0,,,69-87,1,W. Chandler makes free throw 1 of 2
3:17.0,D. Buycks enters the game for J. Clarkson,,69-87,,
3:17.0,,,69-87,,W. Chandler misses free throw 2 of 2
3:15.0,Defensive rebound by E. Davis,,69-87,,
3:05.0,Offensive foul by E. Davis,,69-87,,
3:05.0,Turnover by E. Davis (offensive foul),,69-87,,
2:50.0,,,69-89,2,K. Faried makes 2-pt shot at rim (assist by W. Chandler)
2:38.0,Turnover by D. Buycks (bad pass),,69-89,,
2:38.0,,,69-89,,Denver full timeout
2:26.0,,,69-89,,W. Chandler misses 2-pt shot from 1 ft
2:24.0,Defensive rebound by W. Johnson,,69-89,,
2:02.0,W. Johnson misses 3-pt shot from 27 ft,,69-89,,
2:01.0,,,69-89,,Defensive rebound by K. Faried
1:50.0,,,69-89,,T. Lawson misses 3-pt shot from 26 ft
1:49.0,Defensive rebound by E. Davis,,69-89,,
1:38.0,J. Brown misses 2-pt shot from 1 ft,,69-89,,
1:37.0,,,69-89,,Defensive rebound by K. Faried
1:24.0,,,69-91,2,K. Faried makes 2-pt shot from 2 ft (assist by D. Gallinari)
1:06.0,Offensive foul by R. Sacre,,69-91,,
1:06.0,Turnover by R. Sacre (offensive foul),,69-91,,
1:06.0,,,69-91,,W. Barton enters the game for R. Foye
0:56.0,,,69-93,2,K. Faried makes 2-pt shot at rim (assist by W. Chandler)
0:42.0,Turnover by E. Davis (discontinued dribble),,69-93,,
0:28.0,,,69-93,,Turnover by D. Gallinari (bad pass; steal by E. Davis)
0:23.0,J. Brown misses 2-pt shot from 2 ft (block by W. Barton),,69-93,,
0:21.0,,,69-93,,Defensive rebound by W. Chandler
0:17.0,,,69-93,,D. Gallinari misses 3-pt shot from 25 ft
0:16.0,,,69-93,,Offensive rebound by W. Chandler
0:15.0,,,69-93,,W. Chandler misses 2-pt shot from 3 ft
0:14.0,Defensive rebound by Team,,69-93,,
0:14.0,,,69-93,,G. Harris enters the game for W. Chandler
0:07.0,,,69-93,,Personal foul by T. Lawson (drawn by J. Brown)
0:02.0,E. Davis misses 2-pt shot from 2 ft (block by K. Faried),,69-93,,
0:02.0,Offensive rebound by J. Brown,,69-93,,
0:02.0,J. Brown makes 2-pt shot at rim,2,71-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:32.0,,,71-93,,D. Gallinari misses 2-pt shot from 1 ft
11:31.0,Defensive rebound by E. Davis,,71-93,,
11:08.0,Turnover by Team (shot clock),,71-93,,
10:58.0,,,71-93,,Shooting foul by R. Kelly (drawn by D. Gallinari)
10:58.0,,,71-93,,D. Gallinari misses free throw 1 of 2
10:58.0,,,71-93,,Offensive rebound by Team
10:58.0,,,71-94,1,D. Gallinari makes free throw 2 of 2
10:46.0,D. Buycks makes 2-pt shot from 1 ft,2,73-94,,
10:46.0,Shooting foul by K. Faried (drawn by D. Buycks),,73-94,,
10:46.0,D. Buycks makes free throw 1 of 1,1,74-94,,
10:28.0,,,74-94,,G. Harris misses 3-pt shot from 25 ft
10:25.0,,,74-94,,Offensive rebound by K. Faried
10:19.0,,,74-94,,T. Lawson misses 2-pt shot from 21 ft
10:18.0,Defensive rebound by D. Buycks,,74-94,,
10:06.0,J. Brown makes 2-pt shot from 19 ft (assist by D. Buycks),2,76-94,,
9:49.0,,,76-96,2,K. Faried makes 2-pt shot from 4 ft (assist by D. Gallinari)
9:40.0,,,76-96,,Personal foul by W. Barton (drawn by J. Brown)
9:32.0,R. Sacre makes 2-pt shot from 11 ft (assist by R. Kelly),2,78-96,,
9:15.0,,,78-96,,T. Lawson misses 2-pt shot from 7 ft
9:13.0,,,78-96,,Offensive rebound by K. Faried
9:13.0,,,78-98,2,K. Faried makes 2-pt shot from 2 ft
9:04.0,Shooting foul by K. Faried (drawn by D. Buycks),,78-98,,
9:04.0,D. Buycks makes free throw 1 of 2,1,79-98,,
9:04.0,,,79-98,,J. Hickson enters the game for K. Faried
9:04.0,D. Buycks makes free throw 2 of 2,1,80-98,,
8:52.0,,,80-101,3,D. Gallinari makes 3-pt shot from 25 ft (assist by T. Lawson)
8:33.0,E. Davis makes 2-pt shot from 1 ft (assist by R. Kelly),2,82-101,,
8:10.0,,,82-103,2,G. Harris makes 2-pt shot at rim (assist by D. Gallinari)
7:56.0,Shooting foul by D. Gallinari (drawn by E. Davis),,82-103,,
7:56.0,Official timeout,,82-103,,
7:56.0,W. Johnson enters the game for R. Kelly,,82-103,,
7:56.0,J. Clarkson enters the game for J. Brown,,82-103,,
7:56.0,E. Davis misses free throw 1 of 2,,82-103,,
7:56.0,Offensive rebound by Team,,82-103,,
7:56.0,E. Davis misses free throw 2 of 2,,82-103,,
7:54.0,,,82-103,,Defensive rebound by T. Lawson
7:35.0,,,82-105,2,G. Harris makes 2-pt shot from 14 ft (assist by T. Lawson)
7:17.0,D. Buycks makes 3-pt shot from 24 ft,3,85-105,,
7:03.0,Personal foul by J. Clarkson (drawn by G. Harris),,85-105,,
6:59.0,,,85-105,,G. Harris misses 3-pt shot from 26 ft
6:57.0,Defensive rebound by E. Davis,,85-105,,
6:45.0,Turnover by R. Sacre (bad pass; steal by W. Barton),,85-105,,
6:43.0,,,85-105,,Turnover by W. Barton (lost ball; steal by D. Buycks)
6:31.0,J. Clarkson makes 2-pt shot from 5 ft,2,87-105,,
6:12.0,,,87-108,3,G. Harris makes 3-pt shot from 23 ft (assist by J. Hickson)
6:02.0,,,87-108,,Personal foul by T. Lawson (drawn by J. Clarkson)
6:02.0,J. Clarkson makes free throw 1 of 2,1,88-108,,
6:02.0,J. Clarkson makes free throw 2 of 2,1,89-108,,
5:50.0,,,89-108,,Denver full timeout
5:36.0,,,89-108,,W. Barton misses 3-pt shot from 25 ft
5:34.0,Defensive rebound by R. Sacre,,89-108,,
5:16.0,Loose ball foul by R. Sacre (drawn by J. Hickson),,89-108,,
5:16.0,Turnover by R. Sacre (offensive foul),,89-108,,
5:16.0,,,89-108,,J. Lauvergne enters the game for D. Gallinari
4:56.0,,,89-110,2,W. Barton makes 2-pt shot at rim (assist by J. Lauvergne)
4:37.0,Turnover by D. Buycks (bad pass; steal by W. Barton),,89-110,,
4:32.0,,,89-110,,W. Barton misses 2-pt shot from 1 ft
4:31.0,,,89-110,,Offensive rebound by J. Lauvergne
4:30.0,,,89-112,2,J. Lauvergne makes 2-pt shot at rim
4:18.0,R. Sacre makes 2-pt shot from 2 ft (assist by J. Clarkson),2,91-112,,
3:53.0,,,91-114,2,J. Hickson makes 2-pt shot at rim (assist by T. Lawson)
3:37.0,J. Clarkson makes 2-pt shot from 16 ft,2,93-114,,
3:20.0,,,93-116,2,J. Hickson makes 2-pt shot from 8 ft (assist by T. Lawson)
2:55.0,J. Clarkson makes 2-pt shot from 1 ft,2,95-116,,
2:35.0,,,95-116,,Turnover by W. Barton (bad pass; steal by J. Clarkson)
2:30.0,E. Davis makes 2-pt shot from 1 ft (assist by J. Clarkson),2,97-116,,
2:17.0,,,97-116,,Denver full timeout
2:17.0,LA Lakers full timeout,,97-116,,
2:17.0,,,97-116,,E. Green enters the game for T. Lawson
2:17.0,,,97-116,,I. Clark enters the game for J. Hickson
2:02.0,,,97-119,3,J. Lauvergne makes 3-pt shot from 25 ft (assist by E. Green)
1:44.0,D. Buycks misses 2-pt shot from 6 ft (block by G. Harris),,97-119,,
1:43.0,Offensive rebound by D. Buycks,,97-119,,
1:37.0,J. Clarkson misses 2-pt shot from 18 ft,,97-119,,
1:36.0,Offensive rebound by R. Sacre,,97-119,,
1:33.0,R. Sacre misses 2-pt shot at rim,,97-119,,
1:32.0,,,97-119,,Defensive rebound by G. Harris
