time,Orlando,pts.away,score,pts.home,San Antonio
7:20.0,,,11-5,,Turnover by T. Parker (bad pass; steal by E. Fournier)
7:16.0,E. Fournier makes 2-pt shot at rim,2,13-5,,
7:04.0,,,13-7,2,T. Duncan makes 2-pt shot at rim (assist by D. Green)
6:45.0,N. Vucevic makes 2-pt shot from 1 ft (assist by T. Harris),2,15-7,,
6:28.0,,,15-10,3,D. Green makes 3-pt shot from 23 ft (assist by K. Leonard)
6:11.0,N. Vucevic makes 2-pt shot from 15 ft (assist by E. Payton),2,17-10,,
5:51.0,,,17-10,,D. Green misses 3-pt shot from 26 ft
5:49.0,Defensive rebound by N. Vucevic,,17-10,,
5:43.0,N. Vucevic makes 2-pt shot at rim,2,19-10,,
5:43.0,Shooting foul by T. Duncan (drawn by N. Vucevic),,19-10,,
5:43.0,,,19-10,,San Antonio full timeout
5:43.0,,,19-10,,M. Ginobili enters the game for B. Diaw
5:43.0,N. Vucevic makes free throw 1 of 1,1,20-10,,
5:25.0,,,20-12,2,T. Duncan makes 2-pt shot at rim (assist by M. Ginobili)
5:09.0,N. Vucevic makes 2-pt shot from 5 ft (assist by V. Oladipo),2,22-12,,
4:56.0,Personal foul by N. Vucevic (drawn by M. Ginobili),,22-12,,
4:56.0,,,22-12,,M. Belinelli enters the game for D. Green
4:44.0,,,22-12,,T. Duncan misses 2-pt shot from 15 ft
4:43.0,Defensive rebound by T. Harris,,22-12,,
4:21.0,N. Vucevic misses 2-pt shot from 13 ft,,22-12,,
4:19.0,,,22-12,,Defensive rebound by M. Ginobili
4:11.0,,,22-14,2,T. Duncan makes 2-pt shot at rim (assist by M. Ginobili)
3:54.0,T. Harris makes 3-pt shot from 24 ft (assist by E. Payton),3,25-14,,
3:34.0,,,25-14,,M. Belinelli misses 2-pt shot from 23 ft
3:32.0,Defensive rebound by T. Harris,,25-14,,
3:28.0,Turnover by V. Oladipo (bad pass),,25-14,,
3:28.0,,,25-14,,P. Mills enters the game for T. Parker
3:28.0,B. Gordon enters the game for V. Oladipo,,25-14,,
3:19.0,,,25-14,,Turnover by M. Belinelli (step out of bounds)
3:19.0,W. Green enters the game for E. Payton,,25-14,,
3:10.0,Orlando full timeout,,25-14,,
3:10.0,,,25-14,,A. Baynes enters the game for T. Duncan
3:03.0,Turnover by N. Vucevic (bad pass; steal by K. Leonard),,25-14,,
2:54.0,,,25-17,3,P. Mills makes 3-pt shot from 23 ft (assist by M. Ginobili)
2:34.0,W. Green misses 3-pt shot from 23 ft,,25-17,,
2:33.0,Offensive rebound by N. Vucevic,,25-17,,
2:25.0,E. Fournier misses 2-pt shot from 1 ft,,25-17,,
2:24.0,,,25-17,,Defensive rebound by A. Baynes
2:10.0,Personal foul by E. Fournier (drawn by A. Baynes),,25-17,,
2:10.0,C. Frye enters the game for N. Vucevic,,25-17,,
2:03.0,,,25-19,2,M. Ginobili makes 2-pt shot from 16 ft
1:50.0,E. Fournier misses 3-pt shot from 25 ft,,25-19,,
1:48.0,,,25-19,,Defensive rebound by A. Baynes
1:41.0,V. Oladipo enters the game for E. Fournier,,25-19,,
1:38.0,,,25-21,2,K. Leonard makes 2-pt shot from 13 ft (assist by M. Belinelli)
1:22.0,B. Gordon misses 2-pt shot from 12 ft,,25-21,,
1:21.0,,,25-21,,Defensive rebound by A. Baynes
1:09.0,,,25-24,3,P. Mills makes 3-pt shot from 23 ft (assist by M. Ginobili)
0:55.0,Turnover by C. Frye (bad pass; steal by P. Mills),,25-24,,
0:48.0,,,25-24,,P. Mills misses 3-pt shot from 25 ft
0:47.0,,,25-24,,Offensive rebound by A. Baynes
0:47.0,,,25-24,,A. Baynes misses 2-pt shot from 1 ft
0:46.0,Defensive rebound by C. Frye,,25-24,,
0:27.0,T. Harris misses 2-pt shot from 8 ft,,25-24,,
0:25.0,,,25-24,,Defensive rebound by K. Leonard
0:09.0,,,25-24,,Shooting foul by B. Gordon (drawn by M. Ginobili)
0:09.0,,,25-24,,M. Ginobili misses free throw 1 of 2
0:09.0,,,25-24,,Offensive rebound by Team
0:09.0,,,25-24,,D. Green enters the game for K. Leonard
0:09.0,,,25-24,,M. Ginobili misses free throw 2 of 2
0:08.0,Defensive rebound by T. Harris,,25-24,,
0:01.0,T. Harris misses 2-pt shot from 1 ft,,25-24,,
0:00.0,,,25-24,,Defensive rebound by P. Mills
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,Turnover by W. Green (lost ball),,25-24,,
11:23.0,,,25-24,,P. Mills misses 3-pt shot from 23 ft
11:22.0,,,25-24,,Offensive rebound by A. Baynes
11:17.0,,,25-26,2,A. Baynes makes 2-pt shot at rim (assist by M. Ginobili)
10:59.0,V. Oladipo misses 2-pt shot at rim,,25-26,,
10:57.0,,,25-26,,Defensive rebound by A. Baynes
10:51.0,,,25-29,3,M. Ginobili makes 3-pt shot from 23 ft (assist by P. Mills)
10:50.0,Orlando full timeout,,25-29,,
10:34.0,W. Green misses 3-pt shot from 23 ft,,25-29,,
10:32.0,,,25-29,,Defensive rebound by M. Belinelli
10:22.0,,,25-29,,D. Green misses 3-pt shot from 25 ft
10:20.0,Defensive rebound by V. Oladipo,,25-29,,
10:05.0,,,25-29,,C. Joseph enters the game for M. Belinelli
10:05.0,E. Payton enters the game for W. Green,,25-29,,
10:00.0,C. Frye makes 3-pt shot from 23 ft (assist by E. Payton),3,28-29,,
9:42.0,,,28-31,2,C. Joseph makes 2-pt shot from 5 ft
9:25.0,B. Gordon misses 2-pt shot from 13 ft,,28-31,,
9:22.0,,,28-31,,Defensive rebound by A. Baynes
9:11.0,Personal foul by E. Payton (drawn by A. Baynes),,28-31,,
9:11.0,,,28-31,,K. Leonard enters the game for M. Ginobili
8:56.0,,,28-31,,C. Joseph misses 2-pt shot from 22 ft
8:56.0,Defensive rebound by E. Payton,,28-31,,
8:56.0,,,28-31,,Personal foul by A. Baynes (drawn by E. Payton)
8:39.0,B. Gordon misses 3-pt shot from 22 ft,,28-31,,
8:38.0,,,28-31,,Defensive rebound by D. Green
8:30.0,,,28-31,,D. Green misses 3-pt shot from 24 ft
8:29.0,Defensive rebound by C. Frye,,28-31,,
8:19.0,B. Gordon misses 2-pt shot from 15 ft,,28-31,,
8:18.0,,,28-31,,Defensive rebound by K. Leonard
8:10.0,,,28-33,2,K. Leonard makes 2-pt shot from 1 ft
7:46.0,M. Harkless makes 2-pt shot at rim (assist by C. Frye),2,30-33,,
7:27.0,,,30-35,2,K. Leonard makes 2-pt shot from 13 ft (assist by C. Joseph)
7:15.0,Turnover by C. Frye (traveling),,30-35,,
7:15.0,,,30-35,,T. Parker enters the game for P. Mills
7:15.0,,,30-35,,T. Duncan enters the game for A. Baynes
6:59.0,,,30-35,,K. Leonard misses 2-pt shot from 13 ft
6:57.0,Defensive rebound by V. Oladipo,,30-35,,
6:51.0,V. Oladipo misses 2-pt shot at rim,,30-35,,
6:49.0,,,30-35,,Defensive rebound by D. Green
6:43.0,,,30-35,,Turnover by D. Green (lost ball; steal by V. Oladipo)
6:36.0,C. Frye misses 3-pt shot from 24 ft,,30-35,,
6:34.0,,,30-35,,Defensive rebound by D. Green
6:31.0,,,30-35,,San Antonio full timeout
6:31.0,N. Vucevic enters the game for B. Gordon,,30-35,,
6:31.0,T. Harris enters the game for C. Frye,,30-35,,
6:26.0,,,30-35,,Shooting foul by T. Harris (drawn by T. Duncan)
6:26.0,,,30-36,1,T. Duncan makes free throw 1 of 2
6:26.0,,,30-36,,T. Duncan misses free throw 2 of 2
6:25.0,Defensive rebound by T. Harris,,30-36,,
6:14.0,N. Vucevic makes 2-pt shot from 15 ft (assist by V. Oladipo),2,32-36,,
5:54.0,,,32-36,,C. Joseph misses 2-pt shot from 10 ft
5:53.0,Defensive rebound by T. Harris,,32-36,,
5:49.0,V. Oladipo makes 2-pt shot at rim (assist by T. Harris),2,34-36,,
5:40.0,,,34-38,2,T. Duncan makes 2-pt shot from 1 ft (assist by K. Leonard)
5:14.0,T. Harris makes 2-pt shot from 1 ft (assist by M. Harkless),2,36-38,,
5:03.0,,,36-38,,Turnover by T. Parker (bad pass)
5:03.0,E. Fournier enters the game for M. Harkless,,36-38,,
4:53.0,Turnover by V. Oladipo (bad pass; steal by D. Green),,36-38,,
4:45.0,,,36-38,,T. Parker misses 3-pt shot from 23 ft
4:42.0,,,36-38,,Offensive rebound by D. Green
4:29.0,,,36-38,,T. Duncan misses 2-pt shot from 1 ft
4:28.0,Defensive rebound by N. Vucevic,,36-38,,
4:18.0,N. Vucevic makes 2-pt shot from 7 ft (assist by E. Fournier),2,38-38,,
4:08.0,,,38-38,,Turnover by K. Leonard (traveling)
4:08.0,,,38-38,,M. Ginobili enters the game for C. Joseph
3:55.0,Turnover by E. Fournier (lost ball; steal by K. Leonard),,38-38,,
3:37.0,,,38-40,2,T. Duncan makes 2-pt shot from 5 ft
3:26.0,Shooting foul by D. Green (drawn by E. Payton),,38-40,,
3:26.0,E. Payton misses free throw 1 of 2,,38-40,,
3:26.0,Offensive rebound by Team,,38-40,,
3:26.0,E. Payton misses free throw 2 of 2,,38-40,,
3:25.0,,,38-40,,Defensive rebound by T. Duncan
3:09.0,,,38-40,,M. Ginobili misses 2-pt shot at rim
3:09.0,,,38-40,,Offensive rebound by T. Duncan
3:09.0,,,38-42,2,T. Duncan makes 2-pt shot at rim
3:09.0,,,38-42,,Shooting foul by N. Vucevic (drawn by T. Duncan)
3:09.0,,,38-42,,T. Duncan misses free throw 1 of 1
3:08.0,Defensive rebound by N. Vucevic,,38-42,,
3:00.0,Turnover by E. Payton (lost ball; steal by K. Leonard),,38-42,,
2:53.0,,,38-44,2,K. Leonard makes 2-pt shot at rim
2:45.0,Orlando full timeout,,38-44,,
2:45.0,Official timeout,,38-44,,
2:45.0,,,38-44,,C. Joseph enters the game for D. Green
2:33.0,N. Vucevic misses 2-pt shot from 9 ft,,38-44,,
2:32.0,,,38-44,,Defensive rebound by T. Duncan
2:10.0,,,38-46,2,C. Joseph makes 2-pt shot from 5 ft
1:53.0,N. Vucevic misses 2-pt shot from 8 ft,,38-46,,
1:52.0,,,38-46,,Defensive rebound by M. Ginobili
1:41.0,,,38-46,,Turnover by T. Duncan (lost ball; steal by E. Payton)
1:34.0,V. Oladipo makes 3-pt shot from 24 ft (assist by E. Payton),3,41-46,,
1:18.0,,,41-48,2,T. Parker makes 2-pt shot at rim
1:03.0,E. Payton misses 2-pt shot at rim,,41-48,,
1:00.0,,,41-48,,Defensive rebound by T. Duncan
0:51.0,,,41-48,,C. Joseph misses 2-pt shot from 20 ft
0:50.0,Defensive rebound by Team,,41-48,,
0:50.0,,,41-48,,Loose ball foul by M. Ginobili (drawn by E. Payton)
0:36.0,E. Fournier makes 3-pt shot from 24 ft (assist by T. Harris),3,44-48,,
0:30.0,,,44-51,3,M. Ginobili makes 3-pt shot from 25 ft (assist by T. Parker)
0:04.0,N. Vucevic misses 2-pt shot from 18 ft,,44-51,,
0:03.0,Offensive rebound by V. Oladipo,,44-51,,
0:00.0,V. Oladipo misses 3-pt shot from 25 ft,,44-51,,
0:00.0,,,44-51,,Defensive rebound by T. Duncan
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,N. Vucevic makes 2-pt shot from 7 ft (assist by T. Harris),2,46-51,,
11:22.0,,,46-54,3,D. Green makes 3-pt shot from 23 ft (assist by K. Leonard)
11:00.0,V. Oladipo makes 3-pt shot from 24 ft,3,49-54,,
10:41.0,,,49-54,,D. Green misses 3-pt shot from 24 ft
10:40.0,,,49-54,,Offensive rebound by Team
10:37.0,,,49-56,2,K. Leonard makes 2-pt shot at rim (assist by B. Diaw)
10:20.0,T. Harris makes 2-pt shot at rim,2,51-56,,
10:02.0,,,51-58,2,T. Duncan makes 2-pt shot from 4 ft (assist by D. Green)
9:40.0,N. Vucevic makes 2-pt shot from 9 ft,2,53-58,,
9:30.0,,,53-58,,Turnover by K. Leonard (lost ball)
9:16.0,V. Oladipo misses 3-pt shot from 24 ft,,53-58,,
9:15.0,,,53-58,,Defensive rebound by T. Duncan
8:53.0,,,53-58,,D. Green misses 3-pt shot from 22 ft
8:51.0,Defensive rebound by T. Harris,,53-58,,
8:42.0,V. Oladipo misses 2-pt shot from 21 ft,,53-58,,
8:39.0,,,53-58,,Defensive rebound by T. Duncan
8:23.0,,,53-58,,T. Parker misses 2-pt shot from 20 ft
8:22.0,Defensive rebound by T. Harris,,53-58,,
8:03.0,T. Harris makes 3-pt shot from 25 ft (assist by E. Fournier),3,56-58,,
8:03.0,,,56-58,,San Antonio full timeout
7:48.0,,,56-60,2,B. Diaw makes 2-pt shot from 5 ft
7:25.0,E. Fournier misses 3-pt shot from 24 ft,,56-60,,
7:24.0,,,56-60,,Defensive rebound by K. Leonard
7:15.0,,,56-60,,D. Green misses 3-pt shot from 23 ft
7:14.0,Defensive rebound by E. Payton,,56-60,,
7:00.0,E. Payton makes 2-pt shot from 10 ft,2,58-60,,
6:45.0,,,58-62,2,T. Parker makes 2-pt shot from 20 ft
6:40.0,Orlando full timeout,,58-62,,
6:40.0,,,58-62,,M. Ginobili enters the game for D. Green
6:31.0,E. Fournier misses 2-pt shot from 13 ft,,58-62,,
6:30.0,,,58-62,,Defensive rebound by M. Ginobili
6:22.0,,,58-62,,Shooting foul by V. Oladipo (drawn by K. Leonard)
6:22.0,,,58-63,1,K. Leonard makes free throw 1 of 2
6:22.0,,,58-64,1,K. Leonard makes free throw 2 of 2
6:05.0,V. Oladipo misses 2-pt shot from 1 ft (block by B. Diaw),,58-64,,
6:05.0,Offensive rebound by Team,,58-64,,
6:01.0,T. Harris makes 2-pt shot at rim (assist by E. Payton),2,60-64,,
5:47.0,,,60-64,,T. Parker misses 2-pt shot from 19 ft
5:45.0,Defensive rebound by N. Vucevic,,60-64,,
5:40.0,V. Oladipo makes 2-pt shot from 18 ft,2,62-64,,
5:29.0,,,62-66,2,T. Duncan makes 2-pt shot from 10 ft (assist by B. Diaw)
5:20.0,T. Harris misses 2-pt shot from 21 ft,,62-66,,
5:18.0,,,62-66,,Defensive rebound by M. Ginobili
5:11.0,,,62-66,,T. Parker misses 2-pt shot from 1 ft
5:09.0,Defensive rebound by N. Vucevic,,62-66,,
5:04.0,Turnover by V. Oladipo (lost ball; steal by K. Leonard),,62-66,,
4:54.0,,,62-69,3,T. Parker makes 3-pt shot from 22 ft (assist by M. Ginobili)
4:39.0,Shooting foul by T. Parker (drawn by E. Payton),,62-69,,
4:39.0,E. Payton makes free throw 1 of 2,1,63-69,,
4:39.0,E. Payton makes free throw 2 of 2,1,64-69,,
4:21.0,,,64-69,,T. Duncan misses 2-pt shot from 12 ft
4:19.0,Defensive rebound by E. Payton,,64-69,,
4:11.0,E. Payton makes 2-pt shot from 5 ft,2,66-69,,
3:57.0,,,66-69,,T. Parker misses 2-pt shot from 18 ft
3:56.0,Defensive rebound by N. Vucevic,,66-69,,
3:47.0,V. Oladipo misses 2-pt shot from 8 ft,,66-69,,
3:45.0,Offensive rebound by N. Vucevic,,66-69,,
3:43.0,E. Fournier makes 3-pt shot from 23 ft (assist by N. Vucevic),3,69-69,,
3:23.0,,,69-69,,M. Ginobili misses 3-pt shot from 24 ft
3:22.0,Defensive rebound by N. Vucevic,,69-69,,
3:05.0,N. Vucevic misses 2-pt shot from 5 ft (block by K. Leonard),,69-69,,
3:04.0,,,69-69,,Defensive rebound by T. Duncan
2:58.0,,,69-69,,T. Parker misses 3-pt shot from 23 ft
2:57.0,,,69-69,,Offensive rebound by B. Diaw
2:50.0,,,69-69,,Shooting foul by E. Payton (drawn by T. Duncan)
2:50.0,,,69-69,,T. Duncan misses free throw 1 of 2
2:50.0,,,69-69,,Offensive rebound by Team
2:50.0,,,69-69,,P. Mills enters the game for T. Parker
2:50.0,K. O'Quinn enters the game for N. Vucevic,,69-69,,
2:50.0,W. Green enters the game for E. Payton,,69-69,,
2:50.0,,,69-69,,M. Belinelli enters the game for B. Diaw
2:50.0,,,69-69,,D. Green enters the game for K. Leonard
2:50.0,,,69-70,1,T. Duncan makes free throw 2 of 2
2:32.0,T. Harris makes 3-pt shot from 23 ft (assist by E. Fournier),3,72-70,,
2:20.0,,,72-72,2,T. Duncan makes 2-pt shot at rim (assist by M. Ginobili)
1:54.0,V. Oladipo misses 2-pt shot at rim (block by T. Duncan),,72-72,,
1:52.0,Offensive rebound by Team,,72-72,,
1:52.0,,,72-72,,A. Baynes enters the game for T. Duncan
1:52.0,,,72-72,,C. Joseph enters the game for D. Green
1:42.0,,,72-72,,Violation by C. Joseph (kicked ball)
1:31.0,E. Fournier makes 2-pt shot at rim,2,74-72,,
1:11.0,,,74-75,3,M. Belinelli makes 3-pt shot from 23 ft (assist by P. Mills)
0:46.0,W. Green misses 3-pt shot from 23 ft,,74-75,,
0:45.0,,,74-75,,Defensive rebound by A. Baynes
0:32.0,,,74-78,3,M. Belinelli makes 3-pt shot from 26 ft (assist by M. Ginobili)
0:09.0,E. Fournier misses 2-pt shot from 7 ft,,74-78,,
0:07.0,,,74-78,,Defensive rebound by C. Joseph
0:06.0,Personal foul by E. Fournier (drawn by C. Joseph),,74-78,,
0:06.0,M. Harkless enters the game for T. Harris,,74-78,,
0:01.0,,,74-78,,Turnover by M. Ginobili (lost ball; steal by K. O'Quinn)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,74-78,,P. Mills misses 3-pt shot from 24 ft
11:46.0,Defensive rebound by T. Harris,,74-78,,
11:42.0,M. Harkless makes 2-pt shot at rim (assist by T. Harris),2,76-78,,
11:24.0,,,76-81,3,P. Mills makes 3-pt shot from 23 ft (assist by C. Joseph)
11:09.0,,,76-81,,Shooting block foul by A. Baynes (drawn by E. Payton)
11:09.0,E. Payton misses free throw 1 of 2,,76-81,,
11:09.0,Offensive rebound by Team,,76-81,,
11:09.0,E. Payton misses free throw 2 of 2,,76-81,,
11:09.0,,,76-81,,Defensive rebound by C. Joseph
10:48.0,,,76-81,,M. Ginobili misses 2-pt shot from 1 ft
10:47.0,,,76-81,,Offensive rebound by A. Baynes
10:47.0,,,76-83,2,A. Baynes makes 2-pt shot at rim
10:34.0,Offensive charge foul by W. Green,,76-83,,
10:34.0,Turnover by W. Green (offensive foul),,76-83,,
10:30.0,,,76-83,,Offensive foul by A. Baynes
10:30.0,,,76-83,,Turnover by A. Baynes (offensive foul)
10:06.0,E. Payton makes 2-pt shot from 9 ft,2,78-83,,
9:53.0,,,78-85,2,M. Ginobili makes 2-pt shot at rim
9:33.0,K. O'Quinn makes 2-pt shot from 6 ft,2,80-85,,
9:05.0,,,80-85,,M. Belinelli misses 3-pt shot from 24 ft
9:04.0,Defensive rebound by E. Payton,,80-85,,
8:58.0,W. Green makes 2-pt shot from 4 ft (assist by E. Payton),2,82-85,,
8:58.0,,,82-85,,San Antonio full timeout
8:58.0,N. Vucevic enters the game for T. Harris,,82-85,,
8:58.0,E. Fournier enters the game for K. O'Quinn,,82-85,,
8:35.0,,,82-88,3,M. Ginobili makes 3-pt shot from 22 ft (assist by C. Joseph)
8:14.0,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton),2,84-88,,
7:50.0,,,84-91,3,M. Belinelli makes 3-pt shot from 24 ft (assist by P. Mills)
7:34.0,E. Payton misses 2-pt shot from 6 ft,,84-91,,
7:33.0,,,84-91,,Defensive rebound by M. Ginobili
7:25.0,,,84-91,,P. Mills misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by E. Fournier,,84-91,,
7:20.0,Orlando full timeout,,84-91,,
7:20.0,V. Oladipo enters the game for M. Harkless,,84-91,,
7:20.0,,,84-91,,K. Leonard enters the game for M. Ginobili
7:20.0,,,84-91,,D. Green enters the game for A. Baynes
7:20.0,,,84-91,,T. Duncan enters the game for C. Joseph
7:19.0,Turnover by Team (back court),,84-91,,
7:05.0,,,84-91,,Turnover by K. Leonard (lost ball; steal by E. Fournier)
6:52.0,W. Green misses 2-pt shot from 8 ft,,84-91,,
6:50.0,,,84-91,,Defensive rebound by T. Duncan
6:41.0,,,84-93,2,M. Belinelli makes 2-pt shot at rim (assist by K. Leonard)
6:22.0,N. Vucevic makes 2-pt shot from 8 ft (assist by E. Payton),2,86-93,,
6:05.0,,,86-93,,Turnover by P. Mills (bad pass; steal by V. Oladipo)
5:47.0,W. Green makes 3-pt shot from 24 ft (assist by E. Fournier),3,89-93,,
5:26.0,,,89-93,,P. Mills misses 3-pt shot from 22 ft
5:24.0,Defensive rebound by E. Payton,,89-93,,
5:14.0,W. Green makes 3-pt shot from 24 ft,3,92-93,,
4:53.0,,,92-95,2,T. Duncan makes 2-pt shot from 8 ft (assist by D. Green)
4:53.0,,,92-95,,Shooting foul by N. Vucevic (drawn by T. Duncan)
4:53.0,,,92-95,,T. Parker enters the game for D. Green
4:53.0,,,92-95,,M. Ginobili enters the game for P. Mills
4:53.0,T. Harris enters the game for E. Fournier,,92-95,,
4:53.0,,,92-96,1,T. Duncan makes free throw 1 of 1
4:35.0,Shooting foul by M. Ginobili (drawn by N. Vucevic),,92-96,,
4:35.0,N. Vucevic makes free throw 1 of 2,1,93-96,,
4:35.0,,,93-96,,B. Diaw enters the game for M. Belinelli
4:35.0,N. Vucevic makes free throw 2 of 2,1,94-96,,
4:16.0,,,94-98,2,T. Duncan makes 2-pt shot from 11 ft (assist by T. Parker)
3:59.0,T. Harris misses 3-pt shot from 24 ft,,94-98,,
3:57.0,,,94-98,,Defensive rebound by K. Leonard
3:51.0,Personal foul by N. Vucevic (drawn by K. Leonard),,94-98,,
3:42.0,,,94-98,,M. Ginobili misses 3-pt shot from 24 ft
3:41.0,Defensive rebound by N. Vucevic,,94-98,,
3:26.0,N. Vucevic makes 2-pt shot from 12 ft,2,96-98,,
3:04.0,,,96-100,2,K. Leonard makes 2-pt shot from 22 ft (assist by B. Diaw)
2:48.0,V. Oladipo misses 2-pt shot from 14 ft,,96-100,,
2:47.0,,,96-100,,Defensive rebound by B. Diaw
2:30.0,,,96-100,,T. Duncan misses 2-pt shot from 5 ft
2:29.0,Defensive rebound by N. Vucevic,,96-100,,
2:22.0,V. Oladipo misses 3-pt shot from 24 ft,,96-100,,
2:21.0,,,96-100,,Defensive rebound by M. Ginobili
2:06.0,,,96-102,2,T. Parker makes 2-pt shot at rim (assist by T. Duncan)
2:06.0,Orlando full timeout,,96-102,,
1:52.0,T. Harris makes 2-pt shot at rim (assist by E. Payton),2,98-102,,
1:37.0,,,98-102,,Shooting foul by T. Harris (drawn by T. Duncan)
1:37.0,,,98-103,1,T. Duncan makes free throw 1 of 2
1:37.0,,,98-103,,T. Duncan misses free throw 2 of 2
1:36.0,Defensive rebound by T. Harris,,98-103,,
1:25.0,Shooting foul by T. Duncan (drawn by T. Harris),,98-103,,
1:25.0,T. Harris misses free throw 1 of 2,,98-103,,
1:25.0,Offensive rebound by Team,,98-103,,
1:25.0,T. Harris makes free throw 2 of 2,1,99-103,,
1:01.0,,,99-103,,T. Parker misses 2-pt shot from 14 ft
1:00.0,Defensive rebound by V. Oladipo,,99-103,,
1:00.0,,,99-103,,Personal foul by T. Duncan (drawn by V. Oladipo)
1:00.0,V. Oladipo makes free throw 1 of 2,1,100-103,,
1:00.0,V. Oladipo makes free throw 2 of 2,1,101-103,,
0:41.0,,,101-105,2,B. Diaw makes 2-pt shot from 9 ft (assist by M. Ginobili)
0:41.0,Orlando full timeout,,101-105,,
0:41.0,,,101-105,,C. Joseph enters the game for B. Diaw
0:39.0,V. Oladipo makes 2-pt shot at rim (assist by W. Green),2,103-105,,
0:22.0,,,103-108,3,T. Parker makes 3-pt shot from 24 ft (assist by M. Ginobili)
0:22.0,Orlando full timeout,,103-108,,
0:22.0,,,103-108,,D. Green enters the game for C. Joseph
0:22.0,E. Fournier enters the game for E. Payton,,103-108,,
0:17.0,V. Oladipo misses 2-pt shot from 8 ft,,103-108,,
0:16.0,,,103-108,,Defensive rebound by K. Leonard
0:14.0,Personal foul by N. Vucevic (drawn by K. Leonard),,103-108,,
0:14.0,,,103-109,1,K. Leonard makes free throw 1 of 2
0:14.0,,,103-110,1,K. Leonard makes free throw 2 of 2
0:07.0,V. Oladipo misses 2-pt shot at rim,,103-110,,
0:06.0,Offensive rebound by N. Vucevic,,103-110,,
0:06.0,N. Vucevic misses 2-pt shot at rim,,103-110,,
0:03.0,,,103-110,,Defensive rebound by D. Green
0:00.0,End of 4th quarter,,,,End of 4th quarter
