time,Houston,pts.away,score,pts.home,Washington
11:46.0,Offensive rebound by C. Brewer,,28-20,,
11:44.0,C. Brewer makes 2-pt shot at rim,2,30-20,,
11:27.0,,,30-20,,K. Seraphin misses 2-pt shot from 11 ft
11:26.0,Defensive rebound by T. Ariza,,30-20,,
11:12.0,D. Howard makes 2-pt shot from 6 ft,2,32-20,,
10:53.0,,,32-22,2,R. Sessions makes 2-pt shot from 11 ft
10:30.0,D. Howard makes 2-pt shot from 2 ft,2,34-22,,
10:07.0,,,34-22,,K. Seraphin misses 2-pt shot from 15 ft
10:06.0,Defensive rebound by P. Prigioni,,34-22,,
10:00.0,Turnover by P. Prigioni (bad pass; steal by R. Sessions),,34-22,,
9:59.0,Personal take foul by P. Prigioni (drawn by R. Sessions),,34-22,,
9:36.0,,,34-22,,K. Seraphin misses 2-pt shot from 15 ft
9:35.0,,,34-22,,Offensive rebound by M. Webster
9:32.0,,,34-22,,M. Webster misses 2-pt shot from 3 ft
9:31.0,Defensive rebound by T. Ariza,,34-22,,
9:28.0,C. Brewer makes 2-pt shot from 3 ft (assist by T. Ariza),2,36-22,,
9:21.0,,,36-22,,Washington full timeout
9:21.0,,,36-22,,B. Beal enters the game for M. Webster
9:09.0,,,36-24,2,K. Seraphin makes 2-pt shot from 5 ft (assist by D. Gooden)
8:55.0,C. Brewer makes 2-pt shot from 6 ft (assist by P. Prigioni),2,38-24,,
8:47.0,,,38-24,,Shooting foul by C. Brewer (drawn by R. Sessions)
8:47.0,,,38-25,1,R. Sessions makes free throw 1 of 2
8:47.0,,,38-26,1,R. Sessions makes free throw 2 of 2
8:29.0,D. Howard misses 2-pt shot from 4 ft,,38-26,,
8:28.0,,,38-26,,Defensive rebound by D. Gooden
8:20.0,,,38-26,,B. Beal misses 2-pt shot from 16 ft
8:19.0,Defensive rebound by D. Howard,,38-26,,
8:14.0,C. Brewer makes 2-pt shot from 1 ft,2,40-26,,
7:54.0,,,40-26,,Shooting foul by D. Howard (drawn by K. Seraphin)
7:54.0,,,40-26,,K. Seraphin misses free throw 1 of 2
7:54.0,,,40-26,,Offensive rebound by Team
7:54.0,J. Dorsey enters the game for D. Howard,,40-26,,
7:54.0,,,40-27,1,K. Seraphin makes free throw 2 of 2
7:44.0,C. Brewer misses 2-pt shot from 12 ft,,40-27,,
7:43.0,,,40-27,,Defensive rebound by B. Beal
7:37.0,,,40-27,,N. Hilario enters the game for K. Seraphin
7:37.0,J. Smith enters the game for T. Ariza,,40-27,,
7:24.0,,,40-27,,D. Gooden misses 3-pt shot from 26 ft
7:23.0,Defensive rebound by J. Smith,,40-27,,
7:05.0,P. Prigioni misses 3-pt shot from 26 ft,,40-27,,
7:04.0,,,40-27,,Defensive rebound by N. Hilario
6:48.0,,,40-27,,Turnover by N. Hilario (traveling)
6:48.0,,,40-27,,J. Wall enters the game for R. Butler
6:35.0,P. Prigioni makes 3-pt shot from 27 ft (assist by J. Smith),3,43-27,,
6:17.0,,,43-29,2,D. Gooden makes 2-pt shot from 20 ft (assist by J. Wall)
5:54.0,C. Brewer misses 3-pt shot from 23 ft,,43-29,,
5:53.0,Offensive rebound by J. Dorsey,,43-29,,
5:49.0,N. Johnson misses 2-pt shot from 1 ft,,43-29,,
5:47.0,Offensive rebound by N. Johnson,,43-29,,
5:47.0,Shooting foul by D. Gooden (drawn by N. Johnson),,43-29,,
5:47.0,Official timeout,,43-29,,
5:47.0,J. Harden enters the game for P. Prigioni,,43-29,,
5:47.0,N. Johnson misses free throw 1 of 2,,43-29,,
5:47.0,Offensive rebound by Team,,43-29,,
5:47.0,N. Johnson misses free throw 2 of 2,,43-29,,
5:47.0,,,43-29,,Defensive rebound by B. Beal
5:47.0,,,43-29,,R. Sessions misses 3-pt shot from 22 ft
5:47.0,Defensive rebound by J. Dorsey,,43-29,,
5:37.0,J. Harden misses 2-pt shot from 16 ft,,43-29,,
5:36.0,Offensive rebound by C. Brewer,,43-29,,
5:34.0,C. Brewer misses 2-pt shot at rim,,43-29,,
5:34.0,,,43-29,,Defensive rebound by N. Hilario
5:20.0,,,43-29,,D. Gooden misses 2-pt shot from 17 ft
5:20.0,Defensive rebound by N. Johnson,,43-29,,
5:17.0,Turnover by N. Johnson (lost ball; steal by J. Wall),,43-29,,
5:13.0,,,43-31,2,J. Wall makes 2-pt shot from 3 ft
4:57.0,J. Smith misses 2-pt shot from 3 ft,,43-31,,
4:56.0,,,43-31,,Defensive rebound by D. Gooden
4:52.0,Personal foul by J. Harden (drawn by J. Wall),,43-31,,
4:52.0,J. Terry enters the game for N. Johnson,,43-31,,
4:52.0,,,43-31,,P. Pierce enters the game for R. Sessions
4:51.0,,,43-31,,Turnover by J. Wall (lost ball; steal by J. Dorsey)
4:48.0,C. Brewer makes 2-pt shot at rim (assist by J. Harden),2,45-31,,
4:30.0,,,45-33,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
4:12.0,J. Terry makes 3-pt shot from 22 ft (assist by J. Smith),3,48-33,,
3:57.0,,,48-35,2,B. Beal makes 2-pt shot from 1 ft (assist by N. Hilario)
3:40.0,Turnover by J. Smith (bad pass; steal by B. Beal),,48-35,,
3:35.0,,,48-35,,P. Pierce misses 2-pt shot from 2 ft (block by C. Brewer)
3:33.0,Defensive rebound by J. Terry,,48-35,,
3:28.0,Offensive foul by C. Brewer,,48-35,,
3:28.0,Turnover by C. Brewer (offensive foul),,48-35,,
3:28.0,,,48-35,,M. Gortat enters the game for D. Gooden
3:28.0,T. Ariza enters the game for C. Brewer,,48-35,,
3:28.0,,,48-35,,Shooting foul by J. Harden (drawn by J. Wall)
3:28.0,Houston full timeout,,48-35,,
3:28.0,,,48-36,1,J. Wall makes free throw 1 of 2
3:28.0,,,48-36,,J. Wall misses free throw 2 of 2
3:28.0,Defensive rebound by J. Dorsey,,48-36,,
3:28.0,J. Terry makes 2-pt shot from 14 ft,2,50-36,,
3:02.0,,,50-38,2,M. Gortat makes 2-pt shot from 16 ft (assist by J. Wall)
2:48.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,53-38,,
2:32.0,,,53-41,3,B. Beal makes 3-pt shot from 27 ft
2:05.0,J. Harden makes 2-pt shot from 18 ft,2,55-41,,
1:50.0,Def 3 sec tech foul by J. Smith,,55-41,,
1:50.0,,,55-42,1,B. Beal makes technical free throw
1:50.0,,,55-42,,N. Hilario misses 2-pt shot from 5 ft
1:50.0,Defensive rebound by J. Smith,,55-42,,
1:42.0,J. Harden makes 2-pt shot from 2 ft,2,57-42,,
1:36.0,,,57-44,2,J. Wall makes 2-pt shot at rim
1:27.0,J. Harden misses 3-pt shot from 26 ft,,57-44,,
1:27.0,,,57-44,,Defensive rebound by J. Wall
1:21.0,,,57-44,,Shooting foul by J. Terry (drawn by B. Beal)
1:21.0,,,57-45,1,B. Beal makes free throw 1 of 2
1:21.0,,,57-46,1,B. Beal makes free throw 2 of 2
0:05.0,,,57-46,,Personal take foul by J. Wall (drawn by J. Harden)
0:01.0,J. Harden makes 2-pt shot from 4 ft,2,59-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,J. Harden makes 2-pt shot from 2 ft (assist by J. Smith),2,61-46,,
11:18.0,,,61-46,,P. Pierce misses 2-pt shot from 19 ft
11:17.0,Defensive rebound by D. Howard,,61-46,,
11:04.0,J. Harden misses 2-pt shot from 19 ft,,61-46,,
11:03.0,,,61-46,,Defensive rebound by N. Hilario
10:59.0,,,61-46,,Turnover by P. Pierce (step out of bounds)
10:50.0,T. Ariza misses 3-pt shot from 27 ft,,61-46,,
10:49.0,,,61-46,,Defensive rebound by Team
10:33.0,,,61-46,,M. Gortat misses 2-pt shot from 7 ft
10:32.0,Defensive rebound by T. Ariza,,61-46,,
10:24.0,J. Harden misses 2-pt shot at rim,,61-46,,
10:24.0,Offensive rebound by Team,,61-46,,
10:24.0,,,61-46,,Loose ball foul by M. Gortat (drawn by D. Howard)
10:10.0,J. Smith misses 2-pt shot from 16 ft,,61-46,,
10:09.0,,,61-46,,Defensive rebound by B. Beal
10:00.0,,,61-46,,N. Hilario misses 2-pt shot from 14 ft
9:59.0,Defensive rebound by D. Howard,,61-46,,
9:34.0,J. Terry misses 3-pt shot from 25 ft,,61-46,,
9:33.0,Offensive rebound by J. Smith,,61-46,,
9:19.0,,,61-46,,Violation by P. Pierce (kicked ball)
9:09.0,D. Howard misses 2-pt shot from 5 ft,,61-46,,
9:08.0,,,61-46,,Defensive rebound by J. Wall
9:02.0,,,61-48,2,J. Wall makes 2-pt shot at rim
8:39.0,J. Smith misses 2-pt shot from 16 ft,,61-48,,
8:38.0,Offensive rebound by D. Howard,,61-48,,
8:37.0,Turnover by D. Howard (lost ball; steal by J. Wall),,61-48,,
8:27.0,,,61-50,2,J. Wall makes 2-pt shot from 22 ft (assist by P. Pierce)
8:26.0,Houston full timeout,,61-50,,
8:11.0,J. Smith misses 3-pt shot from 27 ft,,61-50,,
8:10.0,Offensive rebound by Team,,61-50,,
8:01.0,J. Harden misses 2-pt shot from 16 ft,,61-50,,
8:00.0,,,61-50,,Defensive rebound by M. Gortat
7:52.0,,,61-50,,Shooting foul by J. Smith (drawn by N. Hilario)
7:52.0,,,61-51,1,N. Hilario makes free throw 1 of 2
7:52.0,J. Dorsey enters the game for D. Howard,,61-51,,
7:52.0,,,61-51,,N. Hilario misses free throw 2 of 2
7:51.0,,,61-51,,Offensive rebound by P. Pierce
7:42.0,,,61-53,2,J. Wall makes 2-pt shot from 18 ft
7:18.0,Shooting foul by P. Pierce (drawn by T. Ariza),,61-53,,
7:18.0,T. Ariza makes free throw 1 of 3,1,62-53,,
7:18.0,T. Ariza makes free throw 2 of 3,1,63-53,,
7:18.0,T. Ariza makes free throw 3 of 3,1,64-53,,
6:59.0,,,64-53,,P. Pierce misses 3-pt shot from 23 ft
6:57.0,Defensive rebound by T. Ariza,,64-53,,
6:50.0,J. Terry misses 3-pt shot from 26 ft,,64-53,,
6:48.0,,,64-53,,Defensive rebound by J. Wall
6:44.0,,,64-53,,J. Wall misses 2-pt shot from 1 ft (block by J. Smith)
6:42.0,Defensive rebound by T. Ariza,,64-53,,
6:37.0,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden),3,67-53,,
6:09.0,,,67-55,2,N. Hilario makes 2-pt shot from 7 ft
5:53.0,J. Harden misses 2-pt shot from 3 ft (block by M. Gortat),,67-55,,
5:51.0,,,67-55,,Defensive rebound by M. Gortat
5:38.0,,,67-55,,Turnover by P. Pierce (bad pass; steal by J. Dorsey)
5:34.0,Shooting foul by B. Beal (drawn by J. Harden),,67-55,,
5:34.0,J. Harden makes free throw 1 of 2,1,68-55,,
5:34.0,P. Prigioni enters the game for J. Terry,,68-55,,
5:34.0,,,68-55,,O. Porter enters the game for P. Pierce
5:34.0,J. Harden makes free throw 2 of 2,1,69-55,,
5:19.0,,,69-55,,B. Beal misses 2-pt shot from 19 ft
5:18.0,Defensive rebound by J. Dorsey,,69-55,,
5:04.0,J. Harden misses 2-pt shot from 3 ft,,69-55,,
5:03.0,,,69-55,,Defensive rebound by B. Beal
5:02.0,Personal foul by P. Prigioni (drawn by J. Wall),,69-55,,
4:47.0,,,69-55,,Turnover by N. Hilario (bad pass; steal by J. Smith)
4:23.0,J. Harden misses 3-pt shot from 26 ft,,69-55,,
4:22.0,,,69-55,,Defensive rebound by N. Hilario
4:15.0,,,69-55,,O. Porter misses 2-pt shot from 2 ft (block by J. Smith)
4:14.0,,,69-55,,Offensive rebound by M. Gortat
4:12.0,,,69-55,,M. Gortat misses 2-pt shot from 1 ft
4:11.0,Defensive rebound by P. Prigioni,,69-55,,
3:49.0,J. Smith misses 3-pt shot from 23 ft,,69-55,,
3:48.0,,,69-55,,Defensive rebound by J. Wall
3:40.0,,,69-55,,Shooting foul by J. Dorsey (drawn by J. Wall)
3:40.0,,,69-56,1,J. Wall makes free throw 1 of 2
3:40.0,,,69-56,,D. Gooden enters the game for N. Hilario
3:40.0,C. Brewer enters the game for T. Ariza,,69-56,,
3:40.0,,,69-57,1,J. Wall makes free throw 2 of 2
3:17.0,J. Dorsey misses 2-pt shot from 2 ft (block by M. Gortat),,69-57,,
3:16.0,Offensive rebound by Team,,69-57,,
3:16.0,Turnover by Team (shot clock),,69-57,,
3:00.0,,,69-59,2,D. Gooden makes 2-pt shot from 18 ft (assist by J. Wall)
2:46.0,J. Smith makes 2-pt shot at rim,2,71-59,,
2:44.0,,,71-59,,Washington full timeout
2:35.0,,,71-59,,Turnover by J. Wall (bad pass)
2:13.0,Turnover by J. Harden (bad pass; steal by O. Porter),,71-59,,
2:09.0,,,71-59,,Turnover by J. Wall (lost ball; steal by J. Harden)
2:02.0,J. Harden misses 3-pt shot from 27 ft,,71-59,,
2:00.0,Offensive rebound by P. Prigioni,,71-59,,
1:48.0,P. Prigioni misses 3-pt shot from 28 ft,,71-59,,
1:47.0,,,71-59,,Defensive rebound by D. Gooden
1:34.0,,,71-59,,B. Beal misses 3-pt shot from 27 ft
1:32.0,Defensive rebound by C. Brewer,,71-59,,
1:13.0,Shooting foul by M. Gortat (drawn by J. Dorsey),,71-59,,
1:13.0,J. Dorsey misses free throw 1 of 2,,71-59,,
1:13.0,Offensive rebound by Team,,71-59,,
1:13.0,,,71-59,,K. Seraphin enters the game for M. Gortat
1:13.0,T. Ariza enters the game for J. Smith,,71-59,,
1:13.0,,,71-59,,M. Webster enters the game for B. Beal
1:13.0,J. Dorsey misses free throw 2 of 2,,71-59,,
1:13.0,,,71-59,,Defensive rebound by D. Gooden
1:05.0,,,71-61,2,J. Wall makes 2-pt shot from 18 ft
0:51.0,C. Brewer misses 2-pt shot from 3 ft (block by J. Wall),,71-61,,
0:50.0,,,71-61,,Defensive rebound by D. Gooden
0:46.0,,,71-61,,Shooting foul by J. Dorsey (drawn by J. Wall)
0:46.0,,,71-62,1,J. Wall makes free throw 1 of 2
0:46.0,,,71-63,1,J. Wall makes free throw 2 of 2
0:45.0,,,71-63,,Personal take foul by K. Seraphin (drawn by J. Dorsey)
0:45.0,J. Dorsey makes free throw 1 of 2,1,72-63,,
0:45.0,J. Dorsey misses free throw 2 of 2,,72-63,,
0:45.0,,,72-63,,Defensive rebound by O. Porter
0:29.0,,,72-63,,Shooting foul by J. Dorsey (drawn by O. Porter)
0:29.0,,,72-65,2,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall)
0:29.0,J. Terry enters the game for J. Dorsey,,72-65,,
0:29.0,,,72-65,,R. Butler enters the game for K. Seraphin
0:29.0,,,72-65,,O. Porter misses free throw 1 of 1
0:28.0,Defensive rebound by J. Harden,,72-65,,
0:05.0,J. Harden makes 2-pt shot at rim,2,74-65,,
0:04.0,Personal foul by C. Brewer (drawn by J. Wall),,74-65,,
0:04.0,,,74-66,1,J. Wall makes free throw 1 of 2
0:04.0,,,74-67,1,J. Wall makes free throw 2 of 2
0:01.0,C. Brewer makes 2-pt shot from 15 ft (assist by T. Ariza),2,76-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,76-67,,Turnover by K. Seraphin (traveling)
11:28.0,,,76-67,,Personal foul by K. Seraphin (drawn by D. Howard)
11:15.0,Turnover by D. Howard (bad pass),,76-67,,
11:05.0,,,76-67,,J. Wall misses 2-pt shot at rim (block by N. Johnson)
11:03.0,,,76-67,,Offensive rebound by O. Porter
11:01.0,,,76-67,,O. Porter misses 2-pt shot from 1 ft
11:00.0,Defensive rebound by D. Howard,,76-67,,
10:56.0,C. Brewer misses 2-pt shot from 1 ft (block by K. Seraphin),,76-67,,
10:54.0,Offensive rebound by T. Ariza,,76-67,,
10:54.0,,,76-67,,Loose ball foul by M. Webster (drawn by T. Ariza)
10:47.0,T. Ariza misses 3-pt shot from 26 ft,,76-67,,
10:46.0,,,76-67,,Defensive rebound by O. Porter
10:40.0,,,76-67,,Shooting foul by P. Prigioni (drawn by O. Porter)
10:40.0,,,76-67,,O. Porter misses free throw 1 of 2
10:40.0,,,76-67,,Offensive rebound by Team
10:40.0,,,76-67,,R. Sessions enters the game for M. Webster
10:40.0,,,76-68,1,O. Porter makes free throw 2 of 2
10:28.0,Turnover by C. Brewer (lost ball; steal by R. Sessions),,76-68,,
10:24.0,,,76-70,2,O. Porter makes 2-pt shot at rim (assist by R. Sessions)
10:13.0,Turnover by C. Brewer (lost ball; steal by J. Wall),,76-70,,
10:09.0,,,76-72,2,R. Sessions makes 2-pt shot at rim (assist by J. Wall)
10:09.0,Houston full timeout,,76-72,,
9:52.0,Shooting foul by K. Seraphin (drawn by D. Howard),,76-72,,
9:52.0,D. Howard makes free throw 1 of 2,1,77-72,,
9:52.0,D. Howard misses free throw 2 of 2,,77-72,,
9:51.0,Offensive rebound by D. Howard,,77-72,,
9:30.0,D. Howard makes 2-pt shot at rim (assist by P. Prigioni),2,79-72,,
9:17.0,,,79-72,,Turnover by J. Wall (bad pass; steal by P. Prigioni)
9:15.0,,,79-72,,N. Hilario enters the game for K. Seraphin
9:06.0,Shooting foul by O. Porter (drawn by N. Johnson),,79-72,,
9:06.0,N. Johnson misses free throw 1 of 2,,79-72,,
9:06.0,Offensive rebound by Team,,79-72,,
9:06.0,N. Johnson misses free throw 2 of 2,,79-72,,
9:05.0,,,79-72,,Defensive rebound by O. Porter
8:50.0,Personal foul by N. Johnson (drawn by O. Porter),,79-72,,
8:50.0,,,79-72,,B. Beal enters the game for R. Sessions
8:42.0,,,79-75,3,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall)
8:31.0,P. Prigioni makes 3-pt shot from 25 ft,3,82-75,,
8:13.0,,,82-75,,B. Beal misses 2-pt shot from 17 ft
8:12.0,Defensive rebound by T. Ariza,,82-75,,
8:03.0,C. Brewer makes 3-pt shot from 27 ft (assist by P. Prigioni),3,85-75,,
8:03.0,,,85-75,,Washington full timeout
8:03.0,J. Smith enters the game for D. Howard,,85-75,,
8:03.0,J. Harden enters the game for C. Brewer,,85-75,,
7:56.0,,,85-75,,Shooting foul by N. Johnson (drawn by J. Wall)
7:56.0,,,85-76,1,J. Wall makes free throw 1 of 2
7:56.0,,,85-77,1,J. Wall makes free throw 2 of 2
7:32.0,J. Harden makes 2-pt shot from 13 ft,2,87-77,,
7:18.0,,,87-77,,Turnover by B. Beal (bad pass; steal by P. Prigioni)
7:03.0,,,87-77,,Personal foul by D. Gooden (drawn by T. Ariza)
7:03.0,T. Ariza makes free throw 1 of 2,1,88-77,,
7:03.0,,,88-77,,R. Butler enters the game for D. Gooden
7:03.0,T. Ariza makes free throw 2 of 2,1,89-77,,
6:39.0,,,89-77,,O. Porter misses 2-pt shot from 16 ft
6:38.0,Defensive rebound by J. Harden,,89-77,,
6:20.0,T. Ariza makes 2-pt shot at rim,2,91-77,,
6:09.0,,,91-77,,Turnover by O. Porter (bad pass; steal by J. Harden)
6:05.0,N. Johnson misses 2-pt shot from 1 ft (block by B. Beal),,91-77,,
6:03.0,Offensive rebound by P. Prigioni,,91-77,,
5:56.0,Shooting foul by B. Beal (drawn by J. Harden),,91-77,,
5:56.0,J. Harden makes free throw 1 of 2,1,92-77,,
5:56.0,J. Harden makes free throw 2 of 2,1,93-77,,
5:39.0,Personal foul by J. Smith (drawn by N. Hilario),,93-77,,
5:24.0,,,93-77,,R. Butler misses 2-pt shot from 17 ft
5:22.0,,,93-77,,Offensive rebound by O. Porter
5:21.0,,,93-77,,Shooting foul by J. Harden (drawn by O. Porter)
5:21.0,,,93-78,1,O. Porter makes free throw 1 of 2
5:21.0,,,93-79,1,O. Porter makes free throw 2 of 2
4:59.0,J. Smith misses 2-pt shot from 3 ft,,93-79,,
4:58.0,Offensive rebound by J. Smith,,93-79,,
4:48.0,Turnover by J. Harden (bad pass; steal by R. Butler),,93-79,,
