time,Portland,pts.away,score,pts.home,Utah
9:33.0,,,26-23,,T. Burke misses technical free throw
9:33.0,,,26-23,,Offensive rebound by Team
9:33.0,,,26-23,,D. Favors enters the game for T. Booker
9:13.0,,,26-26,3,R. Hood makes 3-pt shot from 24 ft (assist by E. Millsap)
8:59.0,C. McCollum misses 2-pt shot from 22 ft,,26-26,,
8:58.0,Offensive rebound by Team,,26-26,,
8:58.0,,,26-26,,Personal foul by T. Burke (drawn by M. Leonard)
8:58.0,Official timeout,,26-26,,
8:58.0,R. Lopez enters the game for C. Kaman,,26-26,,
8:58.0,,,26-26,,J. Ingles enters the game for R. Hood
8:37.0,W. Matthews misses 2-pt shot from 4 ft,,26-26,,
8:36.0,,,26-26,,Defensive rebound by J. Evans
8:24.0,,,26-26,,Shooting foul by R. Lopez (drawn by D. Favors)
8:24.0,,,26-27,1,D. Favors makes free throw 1 of 2
8:24.0,D. Lillard enters the game for S. Blake,,26-27,,
8:24.0,N. Batum enters the game for W. Matthews,,26-27,,
8:24.0,,,26-27,,D. Favors misses free throw 2 of 2
8:23.0,Defensive rebound by M. Leonard,,26-27,,
8:09.0,M. Leonard misses 2-pt shot from 9 ft,,26-27,,
8:08.0,,,26-27,,Defensive rebound by E. Millsap
7:54.0,,,26-27,,T. Burke misses 2-pt shot from 18 ft (block by C. McCollum)
7:50.0,Defensive rebound by M. Leonard,,26-27,,
7:44.0,C. McCollum makes 2-pt shot from 1 ft,2,28-27,,
7:26.0,,,28-27,,E. Millsap misses 3-pt shot from 23 ft
7:23.0,,,28-27,,Offensive rebound by J. Evans
7:19.0,,,28-30,3,J. Ingles makes 3-pt shot from 22 ft (assist by T. Burke)
6:56.0,C. McCollum misses 3-pt shot from 25 ft,,28-30,,
6:53.0,,,28-30,,Defensive rebound by J. Evans
6:32.0,,,28-32,2,T. Burke makes 2-pt shot from 13 ft
6:09.0,,,28-32,,R. Gobert enters the game for J. Evans
6:09.0,,,28-32,,D. Exum enters the game for T. Burke
6:06.0,M. Leonard misses 3-pt shot from 24 ft,,28-32,,
6:04.0,,,28-32,,Defensive rebound by D. Exum
5:44.0,,,28-32,,D. Exum misses 2-pt shot from 21 ft
5:42.0,,,28-32,,Offensive rebound by D. Favors
5:31.0,,,28-32,,Turnover by D. Favors (lost ball; steal by M. Leonard)
5:28.0,C. McCollum misses 2-pt shot from 3 ft (block by R. Gobert),,28-32,,
5:28.0,Offensive rebound by Team,,28-32,,
5:28.0,,,28-32,,Utah full timeout
5:28.0,L. Aldridge enters the game for M. Leonard,,28-32,,
5:28.0,,,28-32,,G. Hayward enters the game for E. Millsap
5:27.0,,,28-32,,Personal foul by D. Exum (drawn by D. Lillard)
5:21.0,R. Lopez misses 2-pt shot from 17 ft,,28-32,,
5:21.0,,,28-32,,Defensive rebound by Team
5:08.0,,,28-32,,Shooting foul by L. Aldridge (drawn by D. Favors)
5:08.0,,,28-32,,D. Favors misses free throw 1 of 2
5:08.0,,,28-32,,Offensive rebound by Team
5:08.0,,,28-32,,D. Favors misses free throw 2 of 2
5:07.0,Defensive rebound by N. Batum,,28-32,,
4:58.0,R. Lopez makes 2-pt shot from 4 ft (assist by N. Batum),2,30-32,,
4:33.0,,,30-34,2,R. Gobert makes 2-pt shot from 7 ft (assist by D. Exum)
4:16.0,L. Aldridge misses 2-pt shot from 8 ft,,30-34,,
4:15.0,,,30-34,,Defensive rebound by R. Gobert
4:00.0,,,30-34,,R. Gobert misses 2-pt shot from 1 ft (block by R. Lopez)
3:59.0,Defensive rebound by D. Lillard,,30-34,,
3:53.0,Turnover by D. Lillard (bad pass; steal by J. Ingles),,30-34,,
3:47.0,,,30-34,,G. Hayward misses 3-pt shot from 24 ft
3:45.0,Defensive rebound by C. McCollum,,30-34,,
3:26.0,D. Lillard makes 2-pt shot from 1 ft,2,32-34,,
3:21.0,,,32-34,,Shooting foul by C. McCollum (drawn by G. Hayward)
3:21.0,,,32-35,1,G. Hayward makes free throw 1 of 2
3:21.0,W. Matthews enters the game for C. McCollum,,32-35,,
3:21.0,,,32-35,,T. Booker enters the game for D. Favors
3:21.0,,,32-35,,G. Hayward misses free throw 2 of 2
3:19.0,Defensive rebound by L. Aldridge,,32-35,,
3:03.0,L. Aldridge misses 2-pt shot from 22 ft,,32-35,,
3:01.0,Offensive rebound by R. Lopez,,32-35,,
3:01.0,R. Lopez makes 2-pt shot from 1 ft,2,34-35,,
2:51.0,Portland full timeout,,34-35,,
2:51.0,,,34-35,,T. Burke enters the game for D. Exum
2:51.0,,,34-35,,D. Favors enters the game for R. Gobert
2:39.0,,,34-37,2,D. Favors makes 2-pt shot at rim (assist by T. Burke)
2:21.0,Shooting foul by J. Ingles (drawn by W. Matthews),,34-37,,
2:21.0,W. Matthews makes free throw 1 of 2,1,35-37,,
2:21.0,W. Matthews makes free throw 2 of 2,1,36-37,,
2:12.0,,,36-37,,G. Hayward misses 3-pt shot from 24 ft
2:11.0,Defensive rebound by W. Matthews,,36-37,,
2:03.0,W. Matthews makes 2-pt shot from 17 ft,2,38-37,,
1:46.0,,,38-39,2,T. Burke makes 2-pt shot from 9 ft (assist by T. Booker)
1:24.0,W. Matthews makes 3-pt shot from 24 ft (assist by L. Aldridge),3,41-39,,
1:02.0,,,41-39,,T. Burke misses 2-pt shot from 19 ft
1:01.0,Defensive rebound by D. Lillard,,41-39,,
0:58.0,Shooting foul by J. Ingles (drawn by N. Batum),,41-39,,
0:58.0,N. Batum makes free throw 1 of 2,1,42-39,,
0:58.0,N. Batum makes free throw 2 of 2,1,43-39,,
0:45.0,,,43-39,,G. Hayward misses 2-pt shot from 16 ft
0:43.0,,,43-39,,Offensive rebound by T. Booker
0:30.0,,,43-39,,J. Ingles misses 3-pt shot from 24 ft
0:29.0,,,43-39,,Offensive rebound by D. Favors
0:08.0,,,43-39,,T. Burke misses 2-pt shot from 4 ft
0:06.0,Defensive rebound by D. Lillard,,43-39,,
0:00.0,W. Matthews misses 3-pt shot from 25 ft,,43-39,,
0:00.0,Offensive rebound by Team,,43-39,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,43-41,2,D. Favors makes 2-pt shot from 13 ft (assist by J. Ingles)
11:19.0,N. Batum makes 2-pt shot from 17 ft,2,45-41,,
10:53.0,,,45-41,,G. Hayward misses 3-pt shot from 24 ft (block by N. Batum)
10:51.0,Defensive rebound by W. Matthews,,45-41,,
10:43.0,W. Matthews makes 2-pt shot from 19 ft,2,47-41,,
10:20.0,,,47-41,,D. Exum misses 2-pt shot from 7 ft
10:19.0,Defensive rebound by L. Aldridge,,47-41,,
10:08.0,L. Aldridge misses 2-pt shot from 21 ft,,47-41,,
10:07.0,,,47-41,,Defensive rebound by G. Hayward
9:49.0,,,47-41,,D. Exum misses 3-pt shot from 22 ft
9:48.0,Defensive rebound by R. Lopez,,47-41,,
9:38.0,Shooting foul by D. Favors (drawn by D. Lillard),,47-41,,
9:38.0,D. Lillard makes free throw 1 of 2,1,48-41,,
9:38.0,,,48-41,,T. Burke enters the game for D. Exum
9:38.0,D. Lillard makes free throw 2 of 2,1,49-41,,
9:22.0,,,49-44,3,G. Hayward makes 3-pt shot from 25 ft (assist by J. Ingles)
9:06.0,L. Aldridge misses 2-pt shot from 20 ft,,49-44,,
9:05.0,,,49-44,,Defensive rebound by G. Hayward
8:52.0,,,49-44,,D. Favors misses 2-pt shot from 3 ft
8:50.0,Defensive rebound by L. Aldridge,,49-44,,
8:42.0,L. Aldridge misses 2-pt shot from 18 ft,,49-44,,
8:41.0,,,49-44,,Defensive rebound by G. Hayward
8:36.0,,,49-46,2,G. Hayward makes 2-pt shot from 16 ft
8:08.0,R. Lopez misses 2-pt shot from 2 ft,,49-46,,
8:07.0,,,49-46,,Defensive rebound by R. Gobert
8:00.0,,,49-46,,T. Burke misses 2-pt shot from 17 ft
7:59.0,Defensive rebound by D. Lillard,,49-46,,
7:51.0,D. Lillard misses 3-pt shot from 24 ft,,49-46,,
7:50.0,,,49-46,,Defensive rebound by D. Favors
7:30.0,,,49-48,2,D. Favors makes 2-pt shot from 2 ft (assist by G. Hayward)
7:13.0,R. Lopez misses 2-pt shot from 6 ft (block by R. Gobert),,49-48,,
7:11.0,,,49-48,,Defensive rebound by D. Favors
7:07.0,,,49-48,,Turnover by R. Gobert (lost ball)
7:07.0,,,49-48,,E. Millsap enters the game for J. Ingles
6:43.0,L. Aldridge misses 2-pt shot from 4 ft,,49-48,,
6:41.0,Offensive rebound by Team,,49-48,,
6:41.0,,,49-48,,T. Booker enters the game for D. Favors
6:37.0,D. Lillard makes 2-pt shot from 16 ft (assist by N. Batum),2,51-48,,
6:21.0,,,51-50,2,R. Gobert makes 2-pt shot from 4 ft
6:05.0,D. Lillard misses 3-pt shot from 26 ft,,51-50,,
6:03.0,,,51-50,,Defensive rebound by R. Gobert
5:58.0,,,51-50,,Shooting foul by R. Lopez (drawn by G. Hayward)
5:58.0,,,51-50,,Utah full timeout
5:58.0,S. Blake enters the game for W. Matthews,,51-50,,
5:58.0,,,51-51,1,G. Hayward makes free throw 1 of 2
5:58.0,,,51-52,1,G. Hayward makes free throw 2 of 2
5:41.0,D. Lillard misses 2-pt shot from 3 ft (block by R. Gobert),,51-52,,
5:39.0,,,51-52,,Defensive rebound by E. Millsap
5:28.0,,,51-52,,G. Hayward misses 2-pt shot from 17 ft
5:28.0,Defensive rebound by N. Batum,,51-52,,
5:28.0,,,51-52,,Loose ball foul by T. Booker (drawn by N. Batum)
5:28.0,C. Kaman enters the game for R. Lopez,,51-52,,
5:13.0,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Lillard),2,53-52,,
4:51.0,,,53-52,,Shooting foul by S. Blake (drawn by T. Burke)
4:51.0,,,53-53,1,T. Burke makes free throw 1 of 2
4:51.0,,,53-53,,T. Burke misses free throw 2 of 2
4:50.0,Defensive rebound by C. Kaman,,53-53,,
4:38.0,Turnover by D. Lillard (bad pass; steal by G. Hayward),,53-53,,
4:37.0,Personal foul by C. Kaman (drawn by G. Hayward),,53-53,,
4:27.0,,,53-56,3,G. Hayward makes 3-pt shot from 24 ft (assist by T. Burke)
4:03.0,S. Blake misses 3-pt shot from 23 ft,,53-56,,
4:01.0,,,53-56,,Defensive rebound by R. Gobert
3:53.0,,,53-56,,T. Burke misses 2-pt shot from 3 ft
3:50.0,Defensive rebound by N. Batum,,53-56,,
3:44.0,Turnover by D. Lillard (lost ball; steal by G. Hayward),,53-56,,
3:32.0,,,53-59,3,E. Millsap makes 3-pt shot from 23 ft (assist by G. Hayward)
3:31.0,Portland full timeout,,53-59,,
3:31.0,W. Matthews enters the game for N. Batum,,53-59,,
3:15.0,C. Kaman misses 2-pt shot from 17 ft,,53-59,,
3:13.0,,,53-59,,Defensive rebound by R. Gobert
2:52.0,,,53-61,2,T. Burke makes 2-pt shot from 9 ft
2:37.0,,,53-61,,R. Hood enters the game for G. Hayward
2:37.0,C. McCollum enters the game for D. Lillard,,53-61,,
2:37.0,Turnover by S. Blake (offensive foul),,53-61,,
2:37.0,Offensive foul by S. Blake,,53-61,,
2:23.0,,,53-61,,Turnover by T. Burke (bad pass; steal by C. McCollum)
2:18.0,Turnover by C. McCollum (bad pass; steal by T. Booker),,53-61,,
2:15.0,,,53-61,,T. Booker misses 2-pt shot from 2 ft
2:13.0,Defensive rebound by C. Kaman,,53-61,,
2:11.0,Shooting foul by R. Hood (drawn by C. McCollum),,53-61,,
2:11.0,C. McCollum misses free throw 1 of 2,,53-61,,
2:11.0,Offensive rebound by Team,,53-61,,
2:11.0,C. McCollum makes free throw 2 of 2,1,54-61,,
1:54.0,,,54-63,2,T. Burke makes 2-pt shot from 15 ft
1:35.0,Turnover by C. Kaman (bad pass; steal by T. Burke),,54-63,,
1:28.0,,,54-63,,T. Burke misses 3-pt shot from 24 ft
1:26.0,Defensive rebound by C. McCollum,,54-63,,
1:21.0,L. Aldridge makes 2-pt shot from 3 ft (assist by S. Blake),2,56-63,,
1:21.0,Shooting foul by R. Hood (drawn by L. Aldridge),,56-63,,
1:21.0,,,56-63,,D. Favors enters the game for T. Booker
1:21.0,L. Aldridge makes free throw 1 of 1,1,57-63,,
1:03.0,,,57-63,,R. Hood misses 3-pt shot from 25 ft
1:02.0,Defensive rebound by W. Matthews,,57-63,,
0:51.0,W. Matthews misses 3-pt shot from 24 ft,,57-63,,
0:48.0,,,57-63,,Defensive rebound by D. Favors
0:29.0,,,57-63,,D. Favors misses 2-pt shot from 14 ft (block by C. Kaman)
0:29.0,Defensive rebound by Team,,57-63,,
0:19.0,W. Matthews makes 2-pt shot at rim (assist by S. Blake),2,59-63,,
0:05.0,,,59-65,2,T. Burke makes 2-pt shot from 16 ft
0:01.0,Turnover by C. McCollum (lost ball; steal by D. Favors),,59-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Turnover by S. Blake (bad pass; steal by D. Exum),,59-65,,
11:28.0,,,59-67,2,D. Favors makes 2-pt shot from 2 ft
11:21.0,,,59-67,,Personal foul by R. Hood (drawn by W. Matthews)
11:15.0,M. Leonard misses 3-pt shot from 23 ft,,59-67,,
11:14.0,,,59-67,,Defensive rebound by D. Favors
10:55.0,,,59-69,2,J. Ingles makes 2-pt shot from 15 ft
10:34.0,C. Kaman misses 2-pt shot from 17 ft,,59-69,,
10:33.0,,,59-69,,Defensive rebound by D. Exum
10:19.0,,,59-72,3,D. Exum makes 3-pt shot from 25 ft
10:02.0,C. McCollum misses 3-pt shot from 23 ft,,59-72,,
10:00.0,,,59-72,,Defensive rebound by D. Exum
9:43.0,,,59-75,3,R. Hood makes 3-pt shot from 26 ft (assist by D. Exum)
9:43.0,Portland full timeout,,59-75,,
9:43.0,D. Lillard enters the game for W. Matthews,,59-75,,
9:43.0,N. Batum enters the game for S. Blake,,59-75,,
9:43.0,R. Lopez enters the game for C. Kaman,,59-75,,
9:43.0,,,59-75,,E. Millsap enters the game for R. Hood
9:32.0,M. Leonard misses 3-pt shot from 25 ft,,59-75,,
9:29.0,,,59-75,,Defensive rebound by D. Exum
9:13.0,,,59-78,3,E. Millsap makes 3-pt shot from 23 ft (assist by D. Favors)
9:04.0,D. Lillard misses 3-pt shot from 25 ft,,59-78,,
9:03.0,,,59-78,,Defensive rebound by D. Favors
8:46.0,,,59-80,2,J. Evans makes 2-pt shot at rim (assist by D. Favors)
8:26.0,D. Lillard misses 3-pt shot from 23 ft,,59-80,,
8:24.0,Offensive rebound by N. Batum,,59-80,,
8:24.0,N. Batum makes 2-pt shot from 1 ft,2,61-80,,
7:54.0,,,61-83,3,E. Millsap makes 3-pt shot from 25 ft (assist by J. Evans)
7:33.0,D. Lillard makes 3-pt shot from 23 ft,3,64-83,,
7:07.0,,,64-83,,D. Favors misses 2-pt shot from 17 ft
7:06.0,Defensive rebound by M. Leonard,,64-83,,
7:00.0,,,64-83,,Violation by J. Ingles (kicked ball)
7:00.0,,,64-83,,R. Gobert enters the game for J. Evans
7:00.0,,,64-83,,G. Hayward enters the game for J. Ingles
7:00.0,,,64-83,,T. Booker enters the game for D. Favors
7:00.0,L. Aldridge enters the game for M. Leonard,,64-83,,
7:00.0,W. Matthews enters the game for C. McCollum,,64-83,,
6:49.0,L. Aldridge misses 2-pt shot from 21 ft (block by T. Booker),,64-83,,
6:46.0,,,64-83,,Defensive rebound by R. Gobert
6:45.0,,,64-85,2,T. Booker makes 2-pt shot at rim (assist by R. Gobert)
6:45.0,Portland full timeout,,64-85,,
6:29.0,Shooting foul by T. Booker (drawn by L. Aldridge),,64-85,,
6:29.0,L. Aldridge misses free throw 1 of 2,,64-85,,
6:29.0,Offensive rebound by Team,,64-85,,
6:29.0,L. Aldridge makes free throw 2 of 2,1,65-85,,
6:21.0,,,65-85,,Turnover by G. Hayward (back court)
6:01.0,D. Lillard misses 3-pt shot from 24 ft,,65-85,,
6:00.0,Offensive rebound by R. Lopez,,65-85,,
6:00.0,,,65-85,,Personal foul by T. Booker (drawn by R. Lopez)
6:00.0,,,65-85,,T. Burke enters the game for D. Exum
5:54.0,R. Lopez misses 2-pt shot from 10 ft,,65-85,,
5:53.0,,,65-85,,Defensive rebound by R. Gobert
5:29.0,,,65-85,,T. Booker misses 2-pt shot from 4 ft
5:29.0,,,65-85,,Offensive rebound by T. Booker
5:29.0,,,65-85,,Turnover by Team (shot clock)
5:20.0,D. Lillard makes 2-pt shot at rim,2,67-85,,
5:00.0,,,67-87,2,T. Burke makes 2-pt shot from 11 ft
4:46.0,L. Aldridge misses 2-pt shot from 6 ft (block by R. Gobert),,67-87,,
4:45.0,,,67-87,,Defensive rebound by Team
4:45.0,Personal foul by L. Aldridge (drawn by R. Gobert),,67-87,,
4:36.0,,,67-87,,D. Favors enters the game for T. Booker
4:31.0,,,67-87,,Turnover by T. Burke (bad pass; steal by N. Batum)
4:28.0,,,67-87,,Personal foul by G. Hayward (drawn by N. Batum)
4:22.0,N. Batum misses 2-pt shot from 16 ft,,67-87,,
4:19.0,,,67-87,,Defensive rebound by E. Millsap
3:59.0,,,67-87,,E. Millsap misses 3-pt shot from 25 ft
3:57.0,Defensive rebound by Team,,67-87,,
3:57.0,,,67-87,,Loose ball foul by D. Favors (drawn by R. Lopez)
3:57.0,R. Lopez makes free throw 1 of 2,1,68-87,,
3:57.0,R. Lopez makes free throw 2 of 2,1,69-87,,
3:43.0,,,69-87,,Shooting foul by R. Lopez (drawn by G. Hayward)
3:43.0,,,69-87,,G. Hayward misses free throw 1 of 2
3:43.0,,,69-87,,Offensive rebound by Team
3:43.0,,,69-88,1,G. Hayward makes free throw 2 of 2
3:32.0,D. Lillard misses 3-pt shot from 26 ft,,69-88,,
3:30.0,Offensive rebound by Team,,69-88,,
3:24.0,,,69-88,,Shooting block foul by R. Gobert (drawn by W. Matthews)
3:24.0,W. Matthews makes free throw 1 of 2,1,70-88,,
3:24.0,W. Matthews makes free throw 2 of 2,1,71-88,,
3:01.0,,,71-88,,T. Burke misses 3-pt shot from 24 ft
2:59.0,,,71-88,,Offensive rebound by E. Millsap
2:36.0,,,71-90,2,G. Hayward makes 2-pt shot from 1 ft (assist by R. Gobert)
2:36.0,Portland full timeout,,71-90,,
2:36.0,C. McCollum enters the game for N. Batum,,71-90,,
2:36.0,M. Leonard enters the game for L. Aldridge,,71-90,,
2:36.0,D. Wright enters the game for R. Lopez,,71-90,,
2:36.0,A. Crabbe enters the game for W. Matthews,,71-90,,
2:36.0,S. Blake enters the game for D. Lillard,,71-90,,
2:18.0,C. McCollum makes 2-pt shot from 2 ft,2,73-90,,
2:18.0,Shooting foul by R. Gobert (drawn by C. McCollum),,73-90,,
2:18.0,,,73-90,,J. Ingles enters the game for R. Gobert
2:18.0,C. McCollum makes free throw 1 of 1,1,74-90,,
2:04.0,,,74-92,2,G. Hayward makes 2-pt shot from 13 ft
1:43.0,D. Wright misses 2-pt shot from 20 ft,,74-92,,
1:41.0,,,74-92,,Defensive rebound by G. Hayward
1:18.0,,,74-92,,T. Burke misses 2-pt shot from 8 ft
1:17.0,Defensive rebound by M. Leonard,,74-92,,
1:17.0,,,74-92,,Personal foul by E. Millsap (drawn by S. Blake)
1:17.0,S. Blake makes free throw 1 of 2,1,75-92,,
1:17.0,,,75-92,,I. Clark enters the game for G. Hayward
1:17.0,,,75-92,,J. Evans enters the game for D. Favors
1:17.0,S. Blake makes free throw 2 of 2,1,76-92,,
0:58.0,,,76-92,,I. Clark misses 3-pt shot from 24 ft
