time,Orlando,pts.away,score,pts.home,Detroit
7:23.0,,,8-16,,Turnover by G. Monroe (lost ball)
7:09.0,Turnover by D. Marble (traveling),,8-16,,
7:09.0,,,8-16,,C. Butler enters the game for K. Singler
6:57.0,,,8-18,2,G. Monroe makes 2-pt shot at rim (assist by B. Jennings)
6:40.0,E. Payton makes 2-pt shot from 6 ft,2,10-18,,
6:25.0,,,10-21,3,B. Jennings makes 3-pt shot from 25 ft
6:17.0,,,10-21,,Personal foul by C. Butler (drawn by D. Marble)
6:17.0,B. Gordon enters the game for D. Marble,,10-21,,
6:04.0,N. Vucevic makes 2-pt shot from 16 ft (assist by B. Gordon),2,12-21,,
5:39.0,,,12-21,,B. Jennings misses 2-pt shot from 7 ft
5:38.0,,,12-21,,Offensive rebound by A. Drummond
5:38.0,,,12-21,,Shooting foul by N. Vucevic (drawn by A. Drummond)
5:38.0,,,12-21,,Detroit full timeout
5:38.0,A. Gordon enters the game for V. Oladipo,,12-21,,
5:38.0,,,12-21,,A. Drummond misses free throw 1 of 2
5:38.0,,,12-21,,Offensive rebound by Team
5:38.0,,,12-22,1,A. Drummond makes free throw 2 of 2
5:27.0,B. Gordon misses 2-pt shot from 19 ft,,12-22,,
5:26.0,,,12-22,,Defensive rebound by A. Drummond
5:18.0,,,12-24,2,B. Jennings makes 2-pt shot at rim
5:08.0,N. Vucevic misses 2-pt shot from 20 ft,,12-24,,
5:07.0,,,12-24,,Defensive rebound by G. Monroe
4:56.0,,,12-26,2,B. Jennings makes 2-pt shot at rim (assist by G. Monroe)
4:42.0,B. Gordon misses 2-pt shot from 18 ft,,12-26,,
4:41.0,Offensive rebound by A. Gordon,,12-26,,
4:39.0,A. Gordon makes 2-pt shot at rim,2,14-26,,
4:22.0,,,14-28,2,B. Jennings makes 2-pt shot at rim
4:08.0,E. Payton misses 2-pt shot from 3 ft (block by A. Drummond),,14-28,,
4:06.0,Offensive rebound by E. Payton,,14-28,,
4:02.0,N. Vucevic makes 2-pt shot from 11 ft (assist by E. Payton),2,16-28,,
3:46.0,,,16-28,,B. Jennings misses 3-pt shot from 27 ft
3:45.0,Defensive rebound by C. Frye,,16-28,,
3:36.0,N. Vucevic makes 2-pt shot from 1 ft (assist by B. Gordon),2,18-28,,
3:19.0,,,18-28,,G. Monroe misses 2-pt shot from 3 ft
3:18.0,Defensive rebound by A. Gordon,,18-28,,
3:10.0,Turnover by B. Gordon (bad pass; steal by K. Caldwell-Pope),,18-28,,
3:07.0,,,18-30,2,G. Monroe makes 2-pt shot at rim (assist by B. Jennings)
3:02.0,Orlando full timeout,,18-30,,
3:02.0,T. Harris enters the game for C. Frye,,18-30,,
3:02.0,L. Ridnour enters the game for E. Payton,,18-30,,
3:02.0,,,18-30,,J. Meeks enters the game for A. Drummond
3:02.0,,,18-30,,A. Tolliver enters the game for K. Caldwell-Pope
2:45.0,B. Gordon misses 2-pt shot from 18 ft,,18-30,,
2:44.0,,,18-30,,Defensive rebound by G. Monroe
2:34.0,,,18-30,,Shooting foul by N. Vucevic (drawn by G. Monroe)
2:34.0,,,18-31,1,G. Monroe makes free throw 1 of 2
2:34.0,K. O'Quinn enters the game for N. Vucevic,,18-31,,
2:34.0,,,18-32,1,G. Monroe makes free throw 2 of 2
2:25.0,K. O'Quinn makes 2-pt shot from 5 ft (assist by B. Gordon),2,20-32,,
2:09.0,,,20-32,,B. Jennings misses 3-pt shot from 24 ft
2:08.0,Defensive rebound by T. Harris,,20-32,,
1:59.0,T. Harris misses 2-pt shot from 3 ft,,20-32,,
1:58.0,,,20-32,,Defensive rebound by G. Monroe
1:54.0,,,20-32,,B. Jennings misses 2-pt shot from 4 ft
1:54.0,,,20-32,,Offensive rebound by Team
1:54.0,Loose ball foul by T. Harris (drawn by G. Monroe),,20-32,,
1:40.0,,,20-32,,A. Tolliver misses 3-pt shot from 23 ft (block by A. Gordon)
1:40.0,,,20-32,,Offensive rebound by Team
1:40.0,,,20-32,,D. Augustin enters the game for B. Jennings
1:33.0,,,20-35,3,C. Butler makes 3-pt shot from 25 ft (assist by D. Augustin)
1:21.0,K. O'Quinn makes 2-pt shot from 7 ft (assist by T. Harris),2,22-35,,
1:08.0,,,22-35,,Turnover by J. Meeks (lost ball; steal by A. Gordon)
1:02.0,A. Gordon makes 2-pt shot at rim (assist by L. Ridnour),2,24-35,,
0:45.0,,,24-35,,J. Meeks misses 2-pt shot from 6 ft
0:44.0,Defensive rebound by L. Ridnour,,24-35,,
0:25.0,T. Harris misses 3-pt shot from 25 ft,,24-35,,
0:24.0,,,24-35,,Defensive rebound by A. Tolliver
0:03.0,,,24-35,,D. Augustin misses 2-pt shot at rim
0:02.0,Defensive rebound by L. Ridnour,,24-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,24-35,,J. Meeks misses 2-pt shot from 3 ft
11:46.0,Defensive rebound by Team,,24-35,,
11:46.0,,,24-35,,Loose ball foul by A. Drummond (drawn by K. O'Quinn)
11:31.0,K. O'Quinn misses 3-pt shot from 26 ft,,24-35,,
11:30.0,,,24-35,,Defensive rebound by A. Tolliver
11:20.0,,,24-37,2,A. Drummond makes 2-pt shot at rim (assist by D. Augustin)
11:05.0,K. O'Quinn makes 2-pt shot from 5 ft (assist by E. Payton),2,26-37,,
10:38.0,,,26-39,2,C. Butler makes 2-pt shot from 13 ft
10:30.0,Turnover by K. O'Quinn (bad pass; steal by A. Tolliver),,26-39,,
10:30.0,Personal foul by T. Harris (drawn by A. Tolliver),,26-39,,
10:30.0,N. Vucevic enters the game for K. O'Quinn,,26-39,,
10:23.0,,,26-39,,Offensive foul by A. Drummond
10:23.0,,,26-39,,Turnover by A. Drummond (offensive foul)
10:23.0,,,26-39,,J. Anthony enters the game for A. Drummond
10:14.0,Turnover by E. Payton (bad pass; steal by C. Butler),,26-39,,
10:06.0,,,26-39,,C. Butler misses 2-pt shot from 1 ft
10:03.0,Defensive rebound by N. Vucevic,,26-39,,
9:55.0,N. Vucevic makes 2-pt shot from 17 ft (assist by V. Oladipo),2,28-39,,
9:44.0,,,28-39,,D. Augustin misses 2-pt shot from 8 ft
9:42.0,,,28-39,,Offensive rebound by Team
9:42.0,,,28-39,,K. Caldwell-Pope enters the game for C. Butler
9:18.0,,,28-39,,K. Caldwell-Pope misses 2-pt shot from 7 ft
9:17.0,,,28-39,,Offensive rebound by A. Tolliver
9:10.0,,,28-39,,Detroit full timeout
8:58.0,,,28-41,2,J. Meeks makes 2-pt shot at rim (assist by D. Augustin)
8:41.0,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic),3,31-41,,
8:28.0,,,31-44,3,D. Augustin makes 3-pt shot from 26 ft
8:04.0,T. Harris misses 2-pt shot from 3 ft,,31-44,,
8:03.0,,,31-44,,Defensive rebound by J. Anthony
7:46.0,,,31-44,,A. Tolliver misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by N. Vucevic,,31-44,,
7:38.0,T. Harris misses 2-pt shot from 13 ft,,31-44,,
7:37.0,,,31-44,,Defensive rebound by J. Anthony
7:24.0,,,31-46,2,J. Anthony makes 2-pt shot at rim (assist by J. Meeks)
7:24.0,Orlando full timeout,,31-46,,
7:06.0,T. Harris misses 2-pt shot from 5 ft,,31-46,,
7:05.0,,,31-46,,Defensive rebound by Team
6:49.0,,,31-46,,D. Augustin misses 2-pt shot at rim
6:46.0,Defensive rebound by N. Vucevic,,31-46,,
6:36.0,E. Fournier misses 2-pt shot at rim,,31-46,,
6:35.0,Offensive rebound by N. Vucevic,,31-46,,
6:33.0,N. Vucevic makes 2-pt shot from 1 ft,2,33-46,,
6:11.0,,,33-48,2,D. Augustin makes 2-pt shot from 7 ft
6:02.0,N. Vucevic misses 2-pt shot from 9 ft,,33-48,,
6:01.0,,,33-48,,Defensive rebound by A. Tolliver
5:46.0,,,33-48,,J. Meeks misses 3-pt shot from 26 ft
5:45.0,Defensive rebound by V. Oladipo,,33-48,,
5:35.0,V. Oladipo makes 2-pt shot from 19 ft,2,35-48,,
5:13.0,,,35-48,,K. Caldwell-Pope misses 2-pt shot at rim
5:11.0,Defensive rebound by N. Vucevic,,35-48,,
5:06.0,E. Fournier makes 3-pt shot from 24 ft (assist by V. Oladipo),3,38-48,,
4:49.0,,,38-48,,D. Augustin misses 2-pt shot from 5 ft
4:49.0,,,38-48,,Offensive rebound by J. Anthony
4:49.0,,,38-48,,Shooting foul by E. Fournier (drawn by J. Anthony)
4:49.0,,,38-49,1,J. Anthony makes free throw 1 of 2
4:49.0,D. Marble enters the game for E. Payton,,38-49,,
4:49.0,L. Ridnour enters the game for T. Harris,,38-49,,
4:49.0,C. Frye enters the game for E. Fournier,,38-49,,
4:49.0,,,38-49,,K. Singler enters the game for J. Meeks
4:49.0,,,38-50,1,J. Anthony makes free throw 2 of 2
4:40.0,V. Oladipo misses 2-pt shot from 1 ft,,38-50,,
4:37.0,Offensive rebound by N. Vucevic,,38-50,,
4:36.0,N. Vucevic makes 2-pt shot at rim,2,40-50,,
4:20.0,,,40-50,,D. Augustin misses 2-pt shot from 8 ft
4:19.0,Defensive rebound by D. Marble,,40-50,,
4:11.0,L. Ridnour misses 3-pt shot from 26 ft,,40-50,,
4:10.0,,,40-50,,Defensive rebound by D. Augustin
4:00.0,,,40-52,2,A. Tolliver makes 2-pt shot from 7 ft (assist by D. Augustin)
3:48.0,L. Ridnour makes 2-pt shot from 9 ft,2,42-52,,
3:29.0,,,42-52,,J. Anthony misses 2-pt shot from 4 ft
3:26.0,Defensive rebound by V. Oladipo,,42-52,,
3:20.0,V. Oladipo makes 2-pt shot from 8 ft,2,44-52,,
2:58.0,,,44-52,,Turnover by D. Augustin (bad pass)
2:58.0,Official timeout,,44-52,,
2:58.0,,,44-52,,B. Jennings enters the game for D. Augustin
2:58.0,,,44-52,,G. Monroe enters the game for J. Anthony
2:49.0,V. Oladipo makes 2-pt shot at rim (assist by L. Ridnour),2,46-52,,
2:32.0,,,46-54,2,G. Monroe makes 2-pt shot from 5 ft (assist by A. Tolliver)
2:17.0,V. Oladipo misses 2-pt shot from 18 ft,,46-54,,
2:15.0,,,46-54,,Defensive rebound by G. Monroe
2:05.0,,,46-54,,K. Singler misses 3-pt shot from 25 ft
2:04.0,,,46-54,,Offensive rebound by G. Monroe
1:54.0,,,46-56,2,K. Caldwell-Pope makes 2-pt shot from 14 ft (assist by G. Monroe)
1:39.0,V. Oladipo misses 2-pt shot from 7 ft (block by G. Monroe),,46-56,,
1:38.0,,,46-56,,Defensive rebound by A. Tolliver
1:33.0,,,46-58,2,G. Monroe makes 2-pt shot at rim (assist by B. Jennings)
1:23.0,N. Vucevic misses 2-pt shot from 16 ft,,46-58,,
1:22.0,,,46-58,,Defensive rebound by K. Caldwell-Pope
1:13.0,,,46-58,,K. Caldwell-Pope misses 3-pt shot from 26 ft
1:12.0,Defensive rebound by D. Marble,,46-58,,
1:00.0,L. Ridnour makes 2-pt shot from 17 ft,2,48-58,,
0:50.0,E. Payton enters the game for L. Ridnour,,48-58,,
0:46.0,,,48-60,2,G. Monroe makes 2-pt shot from 4 ft (assist by B. Jennings)
0:39.0,Offensive charge foul by V. Oladipo,,48-60,,
0:39.0,Turnover by V. Oladipo (offensive foul),,48-60,,
0:39.0,E. Fournier enters the game for V. Oladipo,,48-60,,
0:26.0,,,48-62,2,G. Monroe makes 2-pt shot at rim (assist by B. Jennings)
0:05.0,N. Vucevic misses 2-pt shot from 4 ft,,48-62,,
0:03.0,,,48-62,,Defensive rebound by G. Monroe
0:01.0,,,48-65,3,K. Singler makes 3-pt shot from 23 ft (assist by B. Jennings)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,48-67,2,G. Monroe makes 2-pt shot from 6 ft (assist by K. Singler)
11:15.0,E. Payton misses 2-pt shot from 5 ft,,48-67,,
11:14.0,Offensive rebound by N. Vucevic,,48-67,,
11:11.0,N. Vucevic makes 2-pt shot from 5 ft,2,50-67,,
10:53.0,,,50-69,2,A. Drummond makes 2-pt shot from 5 ft
10:40.0,N. Vucevic misses 2-pt shot from 6 ft,,50-69,,
10:39.0,Offensive rebound by E. Payton,,50-69,,
10:37.0,E. Payton misses 2-pt shot at rim,,50-69,,
10:34.0,,,50-69,,Defensive rebound by G. Monroe
10:31.0,,,50-71,2,A. Drummond makes 2-pt shot at rim (assist by B. Jennings)
10:22.0,N. Vucevic makes 2-pt shot from 10 ft (assist by E. Payton),2,52-71,,
10:04.0,,,52-71,,K. Caldwell-Pope misses 2-pt shot from 7 ft
10:03.0,,,52-71,,Offensive rebound by A. Drummond
10:02.0,,,52-71,,A. Drummond misses 2-pt shot from 2 ft
10:00.0,Defensive rebound by E. Payton,,52-71,,
9:47.0,C. Frye makes 3-pt shot from 26 ft (assist by D. Marble),3,55-71,,
9:31.0,,,55-71,,B. Jennings misses 3-pt shot from 26 ft
9:30.0,Defensive rebound by N. Vucevic,,55-71,,
9:20.0,C. Frye misses 3-pt shot from 26 ft,,55-71,,
9:19.0,,,55-71,,Defensive rebound by K. Singler
9:05.0,,,55-71,,Shooting foul by N. Vucevic (drawn by K. Singler)
9:05.0,,,55-72,1,K. Singler makes free throw 1 of 2
9:05.0,,,55-73,1,K. Singler makes free throw 2 of 2
8:47.0,V. Oladipo misses 2-pt shot from 20 ft,,55-73,,
8:46.0,,,55-73,,Defensive rebound by A. Drummond
8:38.0,,,55-73,,Turnover by B. Jennings (bad pass; steal by V. Oladipo)
8:25.0,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton),2,57-73,,
8:08.0,,,57-75,2,A. Drummond makes 2-pt shot at rim (assist by G. Monroe)
8:06.0,Turnover by E. Payton (traveling),,57-75,,
7:53.0,,,57-75,,Turnover by A. Drummond (3 sec)
7:38.0,,,57-75,,Personal foul by G. Monroe (drawn by C. Frye)
7:31.0,V. Oladipo makes 2-pt shot from 14 ft,2,59-75,,
7:04.0,,,59-75,,Turnover by K. Singler (bad pass; steal by C. Frye)
6:57.0,C. Frye makes 3-pt shot from 26 ft (assist by E. Payton),3,62-75,,
6:42.0,Personal foul by D. Marble (drawn by B. Jennings),,62-75,,
6:37.0,,,62-77,2,B. Jennings makes 2-pt shot from 7 ft
6:37.0,,,62-77,,Shooting foul by D. Marble (drawn by B. Jennings)
6:37.0,,,62-78,1,B. Jennings makes free throw 1 of 1
6:21.0,C. Frye makes 2-pt shot from 19 ft (assist by E. Payton),2,64-78,,
6:09.0,,,64-80,2,B. Jennings makes 2-pt shot from 15 ft
6:02.0,,,64-80,,Personal foul by K. Singler (drawn by E. Payton)
6:02.0,,,64-80,,A. Tolliver enters the game for G. Monroe
5:55.0,V. Oladipo makes 2-pt shot from 1 ft,2,66-80,,
5:38.0,,,66-82,2,A. Drummond makes 2-pt shot from 5 ft (assist by B. Jennings)
5:28.0,V. Oladipo makes 3-pt shot from 26 ft,3,69-82,,
5:14.0,,,69-82,,A. Tolliver misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by V. Oladipo,,69-82,,
4:59.0,V. Oladipo misses 2-pt shot from 7 ft,,69-82,,
4:59.0,,,69-82,,Defensive rebound by K. Caldwell-Pope
4:59.0,Personal foul by V. Oladipo (drawn by K. Caldwell-Pope),,69-82,,
4:59.0,,,69-82,,Detroit full timeout
4:45.0,,,69-85,3,K. Singler makes 3-pt shot from 24 ft (assist by B. Jennings)
4:26.0,V. Oladipo makes 2-pt shot at rim,2,71-85,,
4:10.0,,,71-85,,B. Jennings misses 2-pt shot at rim
4:09.0,Defensive rebound by N. Vucevic,,71-85,,
3:51.0,D. Marble misses 3-pt shot from 23 ft,,71-85,,
3:50.0,,,71-85,,Defensive rebound by K. Singler
3:46.0,,,71-87,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by B. Jennings)
3:36.0,E. Payton misses 2-pt shot from 1 ft,,71-87,,
3:35.0,Offensive rebound by N. Vucevic,,71-87,,
3:25.0,N. Vucevic makes 2-pt shot at rim,2,73-87,,
3:24.0,Personal foul by D. Marble (drawn by B. Jennings),,73-87,,
3:24.0,,,73-88,1,B. Jennings makes free throw 1 of 2
3:24.0,W. Green enters the game for E. Payton,,73-88,,
3:24.0,E. Fournier enters the game for D. Marble,,73-88,,
3:24.0,,,73-88,,B. Jennings misses free throw 2 of 2
3:24.0,Defensive rebound by N. Vucevic,,73-88,,
3:08.0,N. Vucevic misses 2-pt shot from 1 ft,,73-88,,
3:07.0,Offensive rebound by N. Vucevic,,73-88,,
3:06.0,N. Vucevic misses 2-pt shot at rim,,73-88,,
3:06.0,,,73-88,,Defensive rebound by A. Drummond
2:58.0,,,73-90,2,B. Jennings makes 2-pt shot at rim
2:53.0,Orlando full timeout,,73-90,,
2:53.0,A. Gordon enters the game for C. Frye,,73-90,,
2:53.0,T. Harris enters the game for V. Oladipo,,73-90,,
2:37.0,N. Vucevic misses 2-pt shot from 16 ft,,73-90,,
2:35.0,,,73-90,,Defensive rebound by A. Drummond
2:25.0,,,73-92,2,A. Drummond makes 2-pt shot at rim (assist by B. Jennings)
2:16.0,Shooting foul by K. Caldwell-Pope (drawn by E. Fournier),,73-92,,
2:16.0,E. Fournier makes free throw 1 of 2,1,74-92,,
2:16.0,,,74-92,,J. Meeks enters the game for K. Caldwell-Pope
2:16.0,K. O'Quinn enters the game for N. Vucevic,,74-92,,
2:16.0,E. Fournier makes free throw 2 of 2,1,75-92,,
2:05.0,,,75-92,,B. Jennings misses 2-pt shot from 19 ft
2:04.0,,,75-92,,Offensive rebound by A. Drummond
2:03.0,,,75-92,,A. Drummond misses 2-pt shot from 1 ft
2:02.0,,,75-92,,Offensive rebound by A. Tolliver
2:01.0,,,75-92,,A. Tolliver misses 2-pt shot at rim
2:01.0,,,75-92,,Offensive rebound by Team
1:51.0,,,75-92,,Turnover by A. Drummond (3 sec)
1:43.0,E. Fournier makes 2-pt shot at rim (assist by W. Green),2,77-92,,
1:29.0,,,77-92,,Shooting foul by T. Harris (drawn by A. Tolliver)
1:29.0,,,77-93,1,A. Tolliver makes free throw 1 of 2
1:29.0,,,77-94,1,A. Tolliver makes free throw 2 of 2
1:09.0,T. Harris makes 2-pt shot from 17 ft (assist by W. Green),2,79-94,,
0:55.0,,,79-96,2,B. Jennings makes 2-pt shot from 1 ft
0:43.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by E. Fournier),2,81-96,,
0:26.0,,,81-96,,K. Singler misses 2-pt shot from 20 ft
0:23.0,Defensive rebound by T. Harris,,81-96,,
0:01.0,T. Harris makes 3-pt shot from 24 ft (assist by E. Fournier),3,84-96,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,T. Harris misses 2-pt shot from 6 ft (block by A. Tolliver),,84-96,,
11:42.0,,,84-96,,Defensive rebound by A. Tolliver
11:29.0,,,84-98,2,G. Monroe makes 2-pt shot at rim (assist by D. Augustin)
11:08.0,K. O'Quinn misses 2-pt shot from 19 ft,,84-98,,
11:07.0,,,84-98,,Defensive rebound by C. Butler
11:01.0,Personal foul by W. Green (drawn by D. Augustin),,84-98,,
10:54.0,,,84-98,,D. Augustin misses 3-pt shot from 26 ft
10:53.0,Defensive rebound by A. Gordon,,84-98,,
10:38.0,W. Green misses 3-pt shot from 24 ft,,84-98,,
10:37.0,,,84-98,,Defensive rebound by C. Butler
10:26.0,,,84-98,,G. Monroe misses 2-pt shot from 6 ft (block by K. O'Quinn)
10:25.0,,,84-98,,Offensive rebound by Team
10:13.0,,,84-98,,G. Monroe misses 2-pt shot at rim
10:12.0,Defensive rebound by T. Harris,,84-98,,
10:06.0,T. Harris makes 2-pt shot at rim (assist by W. Green),2,86-98,,
10:06.0,Shooting foul by G. Monroe (drawn by T. Harris),,86-98,,
10:06.0,T. Harris makes free throw 1 of 1,1,87-98,,
9:56.0,,,87-98,,D. Augustin misses 2-pt shot from 9 ft
9:56.0,,,87-98,,Offensive rebound by G. Monroe
9:53.0,,,87-98,,G. Monroe misses 2-pt shot from 3 ft (block by K. O'Quinn)
9:51.0,Defensive rebound by E. Fournier,,87-98,,
9:44.0,Turnover by W. Green (bad pass; steal by J. Meeks),,87-98,,
9:44.0,Personal foul by E. Fournier (drawn by J. Meeks),,87-98,,
9:30.0,,,87-98,,C. Butler misses 2-pt shot from 11 ft
9:27.0,,,87-98,,Offensive rebound by D. Augustin
9:20.0,,,87-98,,C. Butler misses 3-pt shot from 26 ft
9:19.0,Defensive rebound by Team,,87-98,,
9:19.0,,,87-98,,Loose ball foul by G. Monroe (drawn by K. O'Quinn)
9:06.0,E. Fournier misses 2-pt shot from 6 ft,,87-98,,
9:05.0,Offensive rebound by T. Harris,,87-98,,
9:03.0,T. Harris makes 2-pt shot at rim,2,89-98,,
8:47.0,,,89-98,,Turnover by D. Augustin (bad pass; steal by W. Green)
8:40.0,K. O'Quinn makes 2-pt shot at rim (assist by W. Green),2,91-98,,
8:33.0,,,91-98,,Detroit full timeout
8:33.0,V. Oladipo enters the game for A. Gordon,,91-98,,
8:22.0,,,91-98,,G. Monroe misses 2-pt shot at rim
8:20.0,Defensive rebound by K. O'Quinn,,91-98,,
8:02.0,K. O'Quinn makes 2-pt shot at rim (assist by E. Fournier),2,93-98,,
7:43.0,,,93-98,,Offensive charge foul by G. Monroe
7:43.0,,,93-98,,Turnover by G. Monroe (offensive foul)
7:43.0,,,93-98,,K. Caldwell-Pope enters the game for C. Butler
7:43.0,,,93-98,,A. Drummond enters the game for G. Monroe
7:31.0,T. Harris makes 2-pt shot at rim (assist by K. O'Quinn),2,95-98,,
7:31.0,Shooting foul by A. Tolliver (drawn by V. Oladipo),,95-98,,
7:31.0,,,95-98,,B. Jennings enters the game for D. Augustin
7:31.0,T. Harris makes free throw 1 of 1,1,96-98,,
7:08.0,,,96-101,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Meeks)
7:08.0,,,96-101,,Shooting foul by E. Fournier (drawn by K. Caldwell-Pope)
7:08.0,,,96-102,1,K. Caldwell-Pope makes free throw 1 of 1
6:55.0,Shooting foul by J. Meeks (drawn by E. Fournier),,96-102,,
6:55.0,E. Fournier makes free throw 1 of 2,1,97-102,,
6:55.0,E. Fournier makes free throw 2 of 2,1,98-102,,
6:42.0,,,98-102,,Turnover by B. Jennings (lost ball; steal by W. Green)
6:40.0,Shooting foul by J. Meeks (drawn by V. Oladipo),,98-102,,
6:40.0,V. Oladipo makes free throw 1 of 2,1,99-102,,
6:40.0,V. Oladipo makes free throw 2 of 2,1,100-102,,
6:22.0,,,100-104,2,B. Jennings makes 2-pt shot from 13 ft
6:16.0,Orlando full timeout,,100-104,,
6:06.0,K. O'Quinn misses 2-pt shot from 15 ft,,100-104,,
6:04.0,,,100-104,,Defensive rebound by A. Drummond
5:54.0,,,100-106,2,B. Jennings makes 2-pt shot from 9 ft
5:40.0,W. Green misses 2-pt shot from 18 ft,,100-106,,
5:39.0,,,100-106,,Defensive rebound by A. Drummond
5:30.0,,,100-106,,B. Jennings misses 3-pt shot from 26 ft
5:29.0,Defensive rebound by E. Fournier,,100-106,,
5:24.0,Turnover by E. Fournier (bad pass; steal by A. Drummond),,100-106,,
5:20.0,,,100-106,,Shooting foul by V. Oladipo (drawn by J. Meeks)
5:20.0,,,100-107,1,J. Meeks makes free throw 1 of 2
5:20.0,N. Vucevic enters the game for K. O'Quinn,,100-107,,
5:20.0,E. Payton enters the game for W. Green,,100-107,,
5:20.0,,,100-108,1,J. Meeks makes free throw 2 of 2
5:07.0,Turnover by V. Oladipo (bad pass; steal by A. Drummond),,100-108,,
5:04.0,,,100-108,,Turnover by A. Drummond (bad pass; steal by E. Fournier)
5:02.0,Shooting foul by A. Drummond (drawn by N. Vucevic),,100-108,,
5:02.0,N. Vucevic makes free throw 1 of 2,1,101-108,,
5:02.0,N. Vucevic makes free throw 2 of 2,1,102-108,,
4:50.0,,,102-108,,B. Jennings misses 2-pt shot from 3 ft (block by N. Vucevic)
4:48.0,Defensive rebound by E. Fournier,,102-108,,
4:44.0,Turnover by E. Payton (lost ball),,102-108,,
4:32.0,,,102-111,3,A. Tolliver makes 3-pt shot from 24 ft (assist by B. Jennings)
4:30.0,Orlando full timeout,,102-111,,
4:19.0,V. Oladipo misses 2-pt shot from 13 ft,,102-111,,
4:19.0,Offensive rebound by N. Vucevic,,102-111,,
4:14.0,Turnover by E. Payton (bad pass; steal by J. Meeks),,102-111,,
4:01.0,,,102-111,,Shooting foul by N. Vucevic (drawn by A. Drummond)
4:01.0,,,102-112,1,A. Drummond makes free throw 1 of 2
4:01.0,,,102-113,1,A. Drummond makes free throw 2 of 2
3:43.0,T. Harris misses 2-pt shot from 7 ft,,102-113,,
3:41.0,Offensive rebound by N. Vucevic,,102-113,,
3:40.0,N. Vucevic misses 2-pt shot from 2 ft,,102-113,,
3:39.0,,,102-113,,Defensive rebound by A. Drummond
3:31.0,,,102-116,3,J. Meeks makes 3-pt shot from 23 ft (assist by B. Jennings)
