time,Phoenix,pts.away,score,pts.home,Miami
11:48.0,Shooting block foul by E. Barron (drawn by G. Dragic),,24-23,,
11:48.0,,,24-24,1,G. Dragic makes free throw 1 of 2
11:48.0,B. Wright enters the game for E. Barron,,24-24,,
11:48.0,,,24-25,1,G. Dragic makes free throw 2 of 2
11:31.0,A. Goodwin misses 2-pt shot at rim,,24-25,,
11:30.0,,,24-25,,Defensive rebound by H. Walker
11:23.0,,,24-25,,G. Dragic misses 2-pt shot from 11 ft
11:22.0,,,24-25,,Offensive rebound by G. Dragic
11:19.0,,,24-27,2,G. Dragic makes 2-pt shot from 2 ft
11:08.0,M. Morris misses 3-pt shot from 24 ft,,24-27,,
11:07.0,Offensive rebound by A. Goodwin,,24-27,,
11:01.0,M. Morris makes 2-pt shot from 2 ft,2,26-27,,
10:52.0,,,26-27,,Turnover by M. Beasley (bad pass; steal by B. Wright)
10:41.0,Shooting foul by M. Beasley (drawn by M. Morris),,26-27,,
10:41.0,M. Morris misses free throw 1 of 2,,26-27,,
10:41.0,Offensive rebound by Team,,26-27,,
10:41.0,M. Thornton enters the game for A. Goodwin,,26-27,,
10:41.0,M. Morris misses free throw 2 of 2,,26-27,,
10:40.0,,,26-27,,Defensive rebound by C. Andersen
10:28.0,,,26-27,,M. Beasley misses 2-pt shot from 18 ft
10:27.0,Defensive rebound by E. Bledsoe,,26-27,,
10:20.0,E. Bledsoe misses 2-pt shot from 2 ft (block by C. Andersen),,26-27,,
10:19.0,,,26-27,,Defensive rebound by H. Walker
10:17.0,,,26-27,,Shooting foul by M. Morris (drawn by G. Dragic)
10:17.0,,,26-28,1,G. Dragic makes free throw 1 of 2
10:17.0,,,26-29,1,G. Dragic makes free throw 2 of 2
10:00.0,M. Morris misses 2-pt shot from 18 ft,,26-29,,
9:59.0,,,26-29,,Defensive rebound by G. Dragic
9:51.0,,,26-29,,M. Beasley misses 2-pt shot from 8 ft (block by B. Wright)
9:50.0,,,26-29,,Offensive rebound by G. Dragic
9:39.0,,,26-32,3,T. Johnson makes 3-pt shot from 23 ft (assist by G. Dragic)
9:33.0,Phoenix full timeout,,26-32,,
9:21.0,T. Warren misses 2-pt shot from 3 ft,,26-32,,
9:20.0,,,26-32,,Defensive rebound by C. Andersen
9:17.0,,,26-32,,Shooting foul by E. Bledsoe (drawn by G. Dragic)
9:17.0,,,26-33,1,G. Dragic makes free throw 1 of 2
9:17.0,B. Knight enters the game for E. Bledsoe,,26-33,,
9:17.0,A. Len enters the game for T. Warren,,26-33,,
9:17.0,M. Morris enters the game for B. Wright,,26-33,,
9:17.0,,,26-34,1,G. Dragic makes free throw 2 of 2
9:12.0,,,26-34,,Personal foul by T. Johnson (drawn by B. Knight)
9:04.0,M. Thornton makes 2-pt shot from 12 ft (assist by B. Knight),2,28-34,,
8:50.0,,,28-34,,Turnover by G. Dragic (bad pass; steal by M. Thornton)
8:47.0,,,28-34,,Shooting block foul by G. Dragic (drawn by M. Thornton)
8:47.0,M. Thornton makes free throw 1 of 2,1,29-34,,
8:47.0,,,29-34,,D. Wade enters the game for G. Dragic
8:47.0,,,29-34,,M. Chalmers enters the game for T. Johnson
8:47.0,M. Thornton makes free throw 2 of 2,1,30-34,,
8:36.0,,,30-34,,Turnover by D. Wade (bad pass)
8:27.0,M. Thornton misses 2-pt shot from 20 ft,,30-34,,
8:26.0,Offensive rebound by A. Len,,30-34,,
8:26.0,Shooting foul by H. Walker (drawn by A. Len),,30-34,,
8:26.0,A. Len makes free throw 1 of 2,1,31-34,,
8:26.0,,,31-34,,L. Deng enters the game for H. Walker
8:26.0,A. Len makes free throw 2 of 2,1,32-34,,
8:18.0,,,32-34,,Shooting foul by M. Thornton (drawn by D. Wade)
8:18.0,,,32-34,,D. Wade misses free throw 1 of 2
8:18.0,,,32-34,,Offensive rebound by Team
8:18.0,,,32-34,,D. Wade misses free throw 2 of 2
8:17.0,,,32-34,,Offensive rebound by M. Beasley
8:15.0,,,32-36,2,M. Beasley makes 2-pt shot from 12 ft
8:02.0,Turnover by B. Knight (bad pass; steal by M. Chalmers),,32-36,,
7:53.0,,,32-36,,Turnover by D. Wade (bad pass)
7:41.0,M. Morris misses 2-pt shot from 18 ft (block by M. Beasley),,32-36,,
7:40.0,Offensive rebound by M. Morris,,32-36,,
7:36.0,Turnover by B. Knight (bad pass; steal by D. Wade),,32-36,,
7:32.0,,,32-38,2,M. Chalmers makes 2-pt shot at rim (assist by D. Wade)
7:17.0,Shooting foul by M. Beasley (drawn by M. Morris),,32-38,,
7:17.0,M. Morris misses free throw 1 of 2,,32-38,,
7:17.0,Offensive rebound by Team,,32-38,,
7:17.0,,,32-38,,H. Whiteside enters the game for C. Andersen
7:17.0,M. Morris misses free throw 2 of 2,,32-38,,
7:16.0,,,32-38,,Defensive rebound by M. Beasley
7:11.0,Shooting block foul by A. Len (drawn by L. Deng),,32-38,,
7:11.0,Technical foul by M. Morris,,32-38,,
7:11.0,,,32-39,1,M. Chalmers makes technical free throw
7:11.0,,,32-39,,L. Deng misses free throw 1 of 2
7:11.0,,,32-39,,Offensive rebound by Team
7:11.0,P. Tucker enters the game for M. Morris,,32-39,,
7:11.0,,,32-40,1,L. Deng makes free throw 2 of 2
6:46.0,Turnover by M. Morris (bad pass; steal by D. Wade),,32-40,,
6:39.0,,,32-40,,D. Wade misses 2-pt shot from 15 ft
6:38.0,Defensive rebound by A. Len,,32-40,,
6:32.0,Turnover by M. Thornton (lost ball; steal by D. Wade),,32-40,,
6:26.0,,,32-42,2,M. Beasley makes 2-pt shot from 2 ft (assist by D. Wade)
6:08.0,A. Len makes 2-pt shot from 1 ft,2,34-42,,
6:04.0,,,34-42,,Miami full timeout
6:04.0,M. Morris enters the game for M. Thornton,,34-42,,
5:46.0,,,34-44,2,D. Wade makes 2-pt shot from 20 ft
5:32.0,Offensive foul by M. Morris,,34-44,,
5:32.0,Turnover by M. Morris (offensive foul),,34-44,,
5:13.0,,,34-46,2,H. Whiteside makes 2-pt shot from 8 ft (assist by M. Chalmers)
4:49.0,M. Morris makes 3-pt shot from 25 ft (assist by P. Tucker),3,37-46,,
4:37.0,,,37-46,,L. Deng misses 2-pt shot from 21 ft
4:36.0,,,37-46,,Offensive rebound by L. Deng
4:29.0,,,37-49,3,L. Deng makes 3-pt shot from 23 ft (assist by D. Wade)
4:13.0,A. Len misses 2-pt shot from 15 ft,,37-49,,
4:12.0,,,37-49,,Defensive rebound by L. Deng
4:03.0,,,37-49,,D. Wade misses 2-pt shot from 19 ft
4:02.0,Defensive rebound by A. Len,,37-49,,
3:58.0,M. Morris makes 2-pt shot from 1 ft (assist by A. Len),2,39-49,,
3:58.0,Shooting foul by L. Deng (drawn by M. Morris),,39-49,,
3:58.0,M. Morris misses free throw 1 of 1,,39-49,,
3:57.0,,,39-49,,Defensive rebound by H. Whiteside
3:41.0,,,39-51,2,H. Whiteside makes 2-pt shot from 18 ft
3:24.0,Turnover by M. Morris (bad pass; steal by D. Wade),,39-51,,
3:20.0,,,39-53,2,D. Wade makes 2-pt shot at rim
3:20.0,Phoenix full timeout,,39-53,,
3:00.0,B. Knight misses 2-pt shot from 19 ft,,39-53,,
2:59.0,,,39-53,,Defensive rebound by M. Beasley
2:39.0,,,39-53,,Turnover by D. Wade (lost ball; steal by M. Morris)
2:33.0,Turnover by B. Knight (bad pass; steal by M. Beasley),,39-53,,
2:24.0,,,39-55,2,D. Wade makes 2-pt shot from 8 ft
2:07.0,M. Morris misses 3-pt shot from 23 ft,,39-55,,
2:06.0,,,39-55,,Defensive rebound by L. Deng
1:49.0,,,39-57,2,H. Whiteside makes 2-pt shot at rim (assist by M. Beasley)
1:36.0,B. Knight makes 3-pt shot from 25 ft,3,42-57,,
1:17.0,,,42-57,,L. Deng misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by M. Morris,,42-57,,
1:09.0,M. Morris makes 3-pt shot from 25 ft (assist by B. Knight),3,45-57,,
1:08.0,,,45-57,,Miami full timeout
1:08.0,,,45-57,,T. Johnson enters the game for M. Chalmers
1:08.0,,,45-57,,U. Haslem enters the game for M. Beasley
1:00.0,,,45-59,2,T. Johnson makes 2-pt shot at rim (assist by D. Wade)
0:50.0,B. Knight makes 3-pt shot from 26 ft,3,48-59,,
0:39.0,,,48-61,2,D. Wade makes 2-pt shot from 12 ft
0:39.0,,,48-61,,Shooting foul by B. Knight (drawn by D. Wade)
0:39.0,,,48-62,1,D. Wade makes free throw 1 of 1
0:33.0,B. Knight misses 2-pt shot from 2 ft (block by H. Whiteside),,48-62,,
0:32.0,Offensive rebound by Team,,48-62,,
0:32.0,Phoenix full timeout,,48-62,,
0:30.0,Turnover by P. Tucker (bad pass; steal by T. Johnson),,48-62,,
0:09.0,,,48-62,,D. Wade misses 2-pt shot from 11 ft
0:07.0,Defensive rebound by M. Morris,,48-62,,
0:03.0,Phoenix full timeout,,48-62,,
0:00.0,A. Len misses 2-pt shot from 19 ft,,48-62,,
0:00.0,Offensive rebound by Team,,48-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,48-65,3,L. Deng makes 3-pt shot from 23 ft (assist by D. Wade)
11:25.0,,,48-65,,Def 3 sec tech foul by H. Whiteside
11:25.0,E. Bledsoe makes technical free throw,1,49-65,,
11:18.0,E. Bledsoe misses 3-pt shot from 24 ft,,49-65,,
11:17.0,,,49-65,,Defensive rebound by H. Whiteside
11:08.0,,,49-65,,Turnover by H. Whiteside (3 sec)
10:56.0,A. Len misses 2-pt shot from 13 ft,,49-65,,
10:55.0,,,49-65,,Defensive rebound by L. Deng
10:43.0,,,49-65,,H. Whiteside misses 2-pt shot from 2 ft
10:42.0,Defensive rebound by A. Len,,49-65,,
10:36.0,P. Tucker makes 2-pt shot from 19 ft (assist by B. Knight),2,51-65,,
10:10.0,,,51-65,,Turnover by Team (shot clock)
10:01.0,,,51-65,,Personal foul by U. Haslem (drawn by B. Knight)
9:59.0,,,51-65,,Personal foul by D. Wade (drawn by E. Bledsoe)
9:54.0,Turnover by P. Tucker (lost ball; steal by H. Whiteside),,51-65,,
9:31.0,,,51-65,,D. Wade misses 3-pt shot from 24 ft
9:30.0,Defensive rebound by P. Tucker,,51-65,,
9:30.0,,,51-65,,Personal foul by D. Wade (drawn by B. Knight)
9:20.0,E. Bledsoe makes 2-pt shot from 11 ft,2,53-65,,
9:07.0,Personal foul by B. Knight (drawn by G. Dragic),,53-65,,
8:57.0,,,53-65,,G. Dragic misses 2-pt shot from 17 ft
8:56.0,,,53-65,,Offensive rebound by H. Whiteside
8:55.0,,,53-65,,H. Whiteside misses 2-pt shot from 1 ft
8:54.0,Defensive rebound by M. Morris,,53-65,,
8:46.0,Turnover by P. Tucker (bad pass; steal by G. Dragic),,53-65,,
8:43.0,M. Morris ejected from game,,53-65,,
8:43.0,G. Green enters the game for M. Morris,,53-65,,
8:43.0,,,53-66,1,G. Dragic makes flagrant free throw 1 of 2
8:43.0,,,53-67,1,G. Dragic makes flagrant free throw 2 of 2
8:34.0,Personal foul by G. Green (drawn by L. Deng),,53-67,,
8:34.0,Technical foul by G. Green (drawn by L. Deng),,53-67,,
8:34.0,,,53-68,1,G. Dragic makes technical free throw
8:30.0,,,53-68,,Offensive foul by H. Whiteside
8:30.0,,,53-68,,Turnover by H. Whiteside (offensive foul)
8:11.0,,,53-68,,Personal block foul by G. Dragic (drawn by P. Tucker)
8:06.0,E. Bledsoe makes 3-pt shot from 25 ft,3,56-68,,
7:55.0,,,56-68,,D. Wade misses 2-pt shot from 1 ft
7:54.0,Defensive rebound by E. Bledsoe,,56-68,,
7:52.0,Shooting foul by G. Dragic (drawn by B. Knight),,56-68,,
7:52.0,B. Knight makes free throw 1 of 2,1,57-68,,
7:52.0,,,57-68,,M. Chalmers enters the game for G. Dragic
7:52.0,B. Knight makes free throw 2 of 2,1,58-68,,
7:38.0,Jump ball: E. Bledsoe vs. H. Whiteside (L. Deng gains possession),,,,Jump ball: E. Bledsoe vs. H. Whiteside (L. Deng gains possession)
7:25.0,,,58-68,,L. Deng misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by P. Tucker,,58-68,,
7:19.0,,,58-68,,Personal foul by M. Chalmers (drawn by B. Knight)
7:19.0,E. Bledsoe misses free throw 1 of 2,,58-68,,
7:19.0,Offensive rebound by Team,,58-68,,
7:19.0,E. Bledsoe makes free throw 2 of 2,1,59-68,,
7:16.0,,,59-68,,Miami full timeout
7:16.0,,,59-68,,H. Walker enters the game for U. Haslem
7:04.0,,,59-68,,D. Wade misses 2-pt shot from 9 ft
7:03.0,,,59-68,,Offensive rebound by H. Whiteside
7:03.0,,,59-70,2,H. Whiteside makes 2-pt shot at rim
7:03.0,,,59-70,,Shooting foul by A. Len (drawn by H. Whiteside)
7:03.0,,,59-70,,H. Whiteside misses free throw 1 of 1
7:02.0,Defensive rebound by A. Len,,59-70,,
6:40.0,E. Bledsoe misses 2-pt shot from 19 ft,,59-70,,
6:39.0,,,59-70,,Defensive rebound by H. Walker
6:24.0,,,59-70,,L. Deng misses 3-pt shot from 24 ft
6:23.0,Defensive rebound by P. Tucker,,59-70,,
6:10.0,G. Green misses 3-pt shot from 22 ft,,59-70,,
6:09.0,,,59-70,,Defensive rebound by H. Whiteside
5:56.0,,,59-70,,M. Chalmers misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by A. Len,,59-70,,
5:49.0,G. Green makes 3-pt shot from 23 ft (assist by P. Tucker),3,62-70,,
5:23.0,,,62-72,2,D. Wade makes 2-pt shot from 18 ft
5:23.0,,,62-72,,Shooting foul by G. Green (drawn by D. Wade)
5:23.0,,,62-73,1,D. Wade makes free throw 1 of 1
5:14.0,,,62-73,,Personal foul by M. Chalmers (drawn by B. Knight)
5:14.0,B. Knight makes free throw 1 of 2,1,63-73,,
5:14.0,,,63-73,,T. Johnson enters the game for M. Chalmers
5:14.0,B. Knight misses free throw 2 of 2,,63-73,,
5:13.0,,,63-73,,Defensive rebound by H. Whiteside
4:57.0,,,63-75,2,D. Wade makes 2-pt shot from 20 ft
4:43.0,P. Tucker makes 2-pt shot from 2 ft (assist by B. Knight),2,65-75,,
4:28.0,,,65-75,,D. Wade misses 2-pt shot from 2 ft
4:27.0,,,65-75,,Offensive rebound by H. Whiteside
4:26.0,,,65-77,2,H. Whiteside makes 2-pt shot at rim
4:26.0,,,65-77,,C. Andersen enters the game for H. Whiteside
4:26.0,Technical foul by A. Len,,65-77,,
4:26.0,,,65-77,,Technical foul by H. Whiteside
4:26.0,,,65-77,,H. Whiteside ejected from game
4:26.0,A. Len ejected from game,,65-77,,
4:26.0,M. Morris enters the game for A. Len,,65-77,,
4:15.0,G. Green misses 2-pt shot from 20 ft,,65-77,,
4:13.0,Offensive rebound by P. Tucker,,65-77,,
4:11.0,P. Tucker makes 2-pt shot from 1 ft,2,67-77,,
3:51.0,,,67-77,,L. Deng misses 2-pt shot from 2 ft
3:50.0,Defensive rebound by Team,,67-77,,
3:44.0,,,67-77,,Technical foul by H. Walker (drawn by M. Morris)
3:44.0,Technical foul by M. Morris,,67-77,,
3:44.0,M. Morris misses flagrant free throw 1 of 2,,67-77,,
3:44.0,Offensive rebound by Team,,67-77,,
3:44.0,M. Morris makes flagrant free throw 2 of 2,1,68-77,,
3:38.0,B. Knight misses 2-pt shot from 20 ft,,68-77,,
3:37.0,,,68-77,,Defensive rebound by D. Wade
3:27.0,,,68-77,,Turnover by T. Johnson (bad pass; steal by E. Bledsoe)
3:23.0,E. Bledsoe makes 2-pt shot from 1 ft,2,70-77,,
3:12.0,,,70-79,2,T. Johnson makes 2-pt shot from 1 ft
2:58.0,Phoenix full timeout,,70-79,,
2:57.0,Jump ball: T. Johnson vs. B. Knight (D. Wade gains possession),,,,Jump ball: T. Johnson vs. B. Knight (D. Wade gains possession)
2:57.0,Turnover by B. Knight (lost ball; steal by T. Johnson),,70-79,,
2:38.0,,,70-81,2,T. Johnson makes 2-pt shot from 19 ft (assist by H. Walker)
2:25.0,,,70-81,,Personal foul by H. Walker (drawn by E. Bledsoe)
2:25.0,E. Bledsoe makes free throw 1 of 2,1,71-81,,
2:25.0,,,71-81,,M. Beasley enters the game for H. Walker
2:25.0,E. Bledsoe makes free throw 2 of 2,1,72-81,,
2:12.0,,,72-81,,D. Wade misses 2-pt shot from 16 ft
2:11.0,,,72-81,,Offensive rebound by C. Andersen
1:53.0,,,72-81,,Turnover by T. Johnson (lost ball; steal by B. Knight)
1:48.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by B. Knight),2,74-81,,
1:43.0,,,74-81,,Miami full timeout
1:34.0,,,74-81,,M. Beasley misses 2-pt shot from 10 ft
1:33.0,Defensive rebound by P. Tucker,,74-81,,
1:25.0,B. Knight misses 3-pt shot from 24 ft,,74-81,,
1:24.0,,,74-81,,Defensive rebound by Team
1:00.0,,,74-81,,D. Wade misses 2-pt shot from 20 ft
0:59.0,Defensive rebound by B. Knight,,74-81,,
0:50.0,G. Green misses 3-pt shot from 24 ft,,74-81,,
0:49.0,,,74-81,,Defensive rebound by M. Beasley
0:28.0,,,74-83,2,M. Beasley makes 2-pt shot from 20 ft
0:06.0,M. Morris misses 3-pt shot from 23 ft,,74-83,,
0:05.0,,,74-83,,Defensive rebound by D. Wade
0:00.0,,,74-85,2,T. Johnson makes 2-pt shot at rim (assist by D. Wade)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,G. Green misses 3-pt shot from 23 ft,,74-85,,
11:38.0,Offensive rebound by M. Morris,,74-85,,
11:34.0,P. Tucker misses 3-pt shot from 24 ft,,74-85,,
11:33.0,,,74-85,,Defensive rebound by M. Chalmers
11:25.0,,,74-85,,M. Chalmers misses 2-pt shot from 1 ft
11:24.0,Defensive rebound by P. Tucker,,74-85,,
11:15.0,G. Green misses 3-pt shot from 23 ft,,74-85,,
11:14.0,,,74-85,,Defensive rebound by M. Chalmers
10:51.0,,,74-85,,T. Johnson misses 2-pt shot from 10 ft
10:50.0,Defensive rebound by M. Morris,,74-85,,
10:48.0,P. Tucker makes 2-pt shot from 1 ft (assist by M. Morris),2,76-85,,
10:23.0,,,76-85,,M. Chalmers misses 3-pt shot from 22 ft
10:22.0,Defensive rebound by T. Warren,,76-85,,
10:15.0,E. Bledsoe misses 3-pt shot from 26 ft,,76-85,,
10:14.0,,,76-85,,Defensive rebound by M. Chalmers
10:05.0,,,76-85,,Turnover by M. Chalmers (lost ball)
9:50.0,M. Morris misses 3-pt shot from 25 ft,,76-85,,
9:49.0,,,76-85,,Defensive rebound by C. Andersen
9:38.0,,,76-85,,L. Deng misses 2-pt shot from 2 ft
9:37.0,Defensive rebound by P. Tucker,,76-85,,
9:30.0,G. Green misses 3-pt shot from 24 ft,,76-85,,
9:29.0,Offensive rebound by M. Morris,,76-85,,
9:24.0,Turnover by M. Morris (lost ball; steal by T. Johnson),,76-85,,
9:22.0,,,76-85,,Turnover by T. Johnson (bad pass)
8:57.0,M. Morris misses 2-pt shot from 17 ft,,76-85,,
8:56.0,Offensive rebound by P. Tucker,,76-85,,
8:55.0,Shooting foul by T. Johnson (drawn by P. Tucker),,76-85,,
8:55.0,Official timeout,,76-85,,
8:55.0,B. Knight enters the game for E. Bledsoe,,76-85,,
8:55.0,P. Tucker makes free throw 1 of 2,1,77-85,,
8:55.0,P. Tucker makes free throw 2 of 2,1,78-85,,
8:36.0,,,78-87,2,M. Beasley makes 2-pt shot from 7 ft
8:18.0,M. Morris misses 3-pt shot from 24 ft,,78-87,,
8:16.0,Offensive rebound by P. Tucker,,78-87,,
8:14.0,P. Tucker makes 2-pt shot from 1 ft,2,80-87,,
8:01.0,Personal foul by M. Morris (drawn by M. Beasley),,80-87,,
8:01.0,,,80-87,,U. Haslem enters the game for C. Andersen
7:51.0,,,80-89,2,M. Beasley makes 2-pt shot from 20 ft
