time,New York,pts.away,score,pts.home,Phoenix
1:54.0,,,24-16,,Offensive rebound by B. Wright
1:52.0,,,24-18,2,B. Wright makes 2-pt shot from 2 ft
1:44.0,,,24-18,,S. Curry enters the game for E. Bledsoe
1:39.0,S. Larkin makes 2-pt shot at rim,2,26-18,,
1:39.0,Shooting foul by S. Curry (drawn by S. Larkin),,26-18,,
1:39.0,A. Shved enters the game for L. Galloway,,26-18,,
1:39.0,S. Larkin misses free throw 1 of 1,,26-18,,
1:38.0,,,26-18,,Defensive rebound by B. Wright
1:20.0,,,26-18,,M. Morris misses 2-pt shot from 11 ft
1:19.0,Defensive rebound by C. Aldrich,,26-18,,
1:13.0,Turnover by A. Shved (bad pass),,26-18,,
1:00.0,,,26-18,,Turnover by A. Goodwin (bad pass; steal by A. Shved)
0:54.0,A. Shved makes 3-pt shot from 25 ft (assist by S. Larkin),3,29-18,,
0:35.0,,,29-20,2,B. Wright makes 2-pt shot from 1 ft (assist by A. Goodwin)
0:23.0,Offensive foul by C. Early,,29-20,,
0:23.0,Turnover by C. Early (offensive foul),,29-20,,
0:03.0,,,29-23,3,M. Morris makes 3-pt shot from 23 ft (assist by A. Goodwin)
0:00.0,A. Shved misses 3-pt shot from 44 ft,,29-23,,
0:00.0,Offensive rebound by Team,,29-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Personal foul by C. Early (drawn by G. Green),,29-23,,
11:46.0,T. Wear enters the game for C. Early,,29-23,,
11:36.0,,,29-23,,S. Curry misses 2-pt shot from 21 ft
11:35.0,Defensive rebound by T. Wear,,29-23,,
11:24.0,S. Larkin misses 2-pt shot from 2 ft,,29-23,,
11:21.0,Offensive rebound by C. Aldrich,,29-23,,
11:21.0,C. Aldrich misses 2-pt shot at rim,,29-23,,
11:20.0,,,29-23,,Defensive rebound by S. Curry
11:17.0,,,29-23,,Shooting foul by J. Smith (drawn by M. Morris)
11:17.0,,,29-23,,M. Morris misses free throw 1 of 2
11:17.0,,,29-23,,Offensive rebound by Team
11:17.0,,,29-23,,M. Morris misses free throw 2 of 2
11:16.0,Defensive rebound by C. Aldrich,,29-23,,
10:56.0,J. Smith makes 2-pt shot from 15 ft (assist by S. Larkin),2,31-23,,
10:46.0,,,31-26,3,G. Green makes 3-pt shot from 25 ft (assist by S. Curry)
10:32.0,,,31-26,,Personal foul by G. Green (drawn by A. Shved)
10:19.0,C. Aldrich makes 2-pt shot at rim (assist by A. Shved),2,33-26,,
9:56.0,,,33-26,,G. Green misses 3-pt shot from 24 ft
9:56.0,Defensive rebound by Team,,33-26,,
9:56.0,,,33-26,,Loose ball foul by E. Barron (drawn by C. Aldrich)
9:40.0,A. Shved misses 3-pt shot from 25 ft,,33-26,,
9:39.0,,,33-26,,Defensive rebound by S. Curry
9:32.0,,,33-26,,G. Green misses 3-pt shot from 24 ft
9:31.0,Defensive rebound by S. Larkin,,33-26,,
9:28.0,,,33-26,,Personal foul by S. Curry (drawn by S. Larkin)
9:28.0,L. Galloway enters the game for A. Shved,,33-26,,
9:13.0,J. Smith misses 2-pt shot from 9 ft,,33-26,,
9:12.0,,,33-26,,Defensive rebound by Team
8:58.0,,,33-26,,S. Curry misses 2-pt shot from 22 ft
8:57.0,Defensive rebound by L. Galloway,,33-26,,
8:47.0,L. Galloway misses 2-pt shot from 13 ft,,33-26,,
8:46.0,,,33-26,,Defensive rebound by E. Barron
8:36.0,,,33-28,2,G. Green makes 2-pt shot from 8 ft
8:20.0,T. Wear makes 2-pt shot from 15 ft (assist by C. Aldrich),2,35-28,,
8:06.0,,,35-28,,G. Green misses 3-pt shot from 25 ft
8:05.0,,,35-28,,Offensive rebound by E. Barron
7:58.0,,,35-30,2,E. Barron makes 2-pt shot from 20 ft (assist by P. Tucker)
7:44.0,Offensive foul by J. Smith,,35-30,,
7:44.0,Turnover by J. Smith (offensive foul),,35-30,,
7:44.0,Official timeout,,35-30,,
7:44.0,A. Bargnani enters the game for C. Aldrich,,35-30,,
7:27.0,,,35-30,,Turnover by E. Barron (bad pass)
7:10.0,Shooting foul by E. Barron (drawn by A. Bargnani),,35-30,,
7:10.0,A. Bargnani makes free throw 1 of 2,1,36-30,,
7:10.0,,,36-30,,E. Bledsoe enters the game for S. Curry
7:10.0,,,36-30,,M. Morris enters the game for E. Barron
7:10.0,L. Thomas enters the game for T. Wear,,36-30,,
7:10.0,A. Bargnani misses free throw 2 of 2,,36-30,,
7:09.0,,,36-30,,Defensive rebound by M. Morris
6:56.0,,,36-30,,G. Green misses 2-pt shot from 3 ft
6:55.0,Defensive rebound by S. Larkin,,36-30,,
6:33.0,S. Larkin makes 2-pt shot from 1 ft (assist by L. Thomas),2,38-30,,
6:21.0,,,38-32,2,E. Bledsoe makes 2-pt shot from 2 ft (assist by P. Tucker)
6:08.0,,,38-32,,Personal foul by P. Tucker (drawn by L. Thomas)
6:08.0,L. Thomas makes free throw 1 of 2,1,39-32,,
6:08.0,L. Amundson enters the game for J. Smith,,39-32,,
6:08.0,,,39-32,,B. Wright enters the game for G. Green
6:08.0,A. Shved enters the game for L. Galloway,,39-32,,
6:08.0,L. Thomas misses free throw 2 of 2,,39-32,,
6:07.0,,,39-32,,Defensive rebound by B. Wright
5:50.0,,,39-32,,Phoenix full timeout
5:41.0,S. Larkin makes 2-pt shot from 12 ft (assist by A. Bargnani),2,41-32,,
5:34.0,,,41-32,,Shooting foul by S. Larkin (drawn by E. Bledsoe)
5:34.0,,,41-33,1,E. Bledsoe makes free throw 1 of 2
5:34.0,,,41-34,1,E. Bledsoe makes free throw 2 of 2
5:19.0,A. Bargnani makes 2-pt shot from 19 ft (assist by S. Larkin),2,43-34,,
5:00.0,,,43-36,2,M. Morris makes 2-pt shot from 10 ft
4:37.0,A. Shved misses 3-pt shot from 25 ft,,43-36,,
4:36.0,,,43-36,,Defensive rebound by M. Morris
4:30.0,,,43-38,2,E. Bledsoe makes 2-pt shot from 19 ft
4:04.0,,,43-38,,Shooting block foul by M. Morris (drawn by A. Shved)
4:04.0,,,43-38,,Violation by B. Wright (def goaltending)
4:04.0,A. Shved makes 2-pt shot from 3 ft,2,45-38,,
4:04.0,L. Galloway enters the game for S. Larkin,,45-38,,
4:04.0,A. Shved misses free throw 1 of 1,,45-38,,
4:03.0,,,45-38,,Defensive rebound by M. Morris
3:57.0,,,45-38,,E. Bledsoe misses 2-pt shot from 1 ft
3:55.0,Defensive rebound by L. Galloway,,45-38,,
3:51.0,Shooting foul by P. Tucker (drawn by L. Thomas),,45-38,,
3:51.0,L. Thomas makes free throw 1 of 2,1,46-38,,
3:51.0,L. Thomas misses free throw 2 of 2,,46-38,,
3:50.0,,,46-38,,Defensive rebound by M. Morris
3:31.0,,,46-40,2,M. Morris makes 2-pt shot from 17 ft (assist by E. Bledsoe)
3:17.0,A. Bargnani misses 2-pt shot from 22 ft,,46-40,,
3:17.0,,,46-40,,Defensive rebound by E. Bledsoe
3:06.0,,,46-40,,Shooting foul by L. Galloway (drawn by E. Bledsoe)
3:06.0,,,46-41,1,E. Bledsoe makes free throw 1 of 2
3:06.0,,,46-41,,E. Bledsoe misses free throw 2 of 2
3:05.0,Defensive rebound by Team,,46-41,,
2:54.0,Turnover by L. Galloway (bad pass; steal by B. Wright),,46-41,,
2:49.0,,,46-43,2,B. Wright makes 2-pt shot at rim (assist by E. Bledsoe)
2:39.0,New York full timeout,,46-43,,
2:19.0,L. Galloway misses 2-pt shot from 6 ft,,46-43,,
2:18.0,,,46-43,,Defensive rebound by Team
2:18.0,Personal foul by L. Galloway (drawn by M. Morris),,46-43,,
2:18.0,,,46-43,,M. Morris misses free throw 1 of 2
2:18.0,,,46-43,,Offensive rebound by Team
2:18.0,S. Larkin enters the game for L. Galloway,,46-43,,
2:18.0,,,46-43,,M. Morris misses free throw 2 of 2
2:17.0,Defensive rebound by L. Amundson,,46-43,,
2:06.0,L. Amundson misses 2-pt shot from 1 ft,,46-43,,
2:05.0,,,46-43,,Defensive rebound by Team
1:51.0,,,46-43,,Turnover by E. Bledsoe (bad pass; steal by L. Thomas)
1:48.0,Shooting foul by E. Bledsoe (drawn by A. Shved),,46-43,,
1:48.0,A. Shved misses free throw 1 of 2,,46-43,,
1:48.0,Offensive rebound by Team,,46-43,,
1:48.0,C. Aldrich enters the game for L. Amundson,,46-43,,
1:48.0,A. Shved misses free throw 2 of 2,,46-43,,
1:47.0,,,46-43,,Defensive rebound by B. Wright
1:29.0,,,46-45,2,M. Morris makes 2-pt shot from 3 ft
1:09.0,A. Bargnani misses 3-pt shot from 24 ft,,46-45,,
1:07.0,Offensive rebound by L. Thomas,,46-45,,
1:07.0,L. Thomas makes 2-pt shot at rim,2,48-45,,
0:44.0,,,48-45,,M. Morris misses 2-pt shot from 10 ft
0:43.0,Defensive rebound by C. Aldrich,,48-45,,
0:32.0,A. Shved misses 3-pt shot from 24 ft,,48-45,,
0:31.0,,,48-45,,Defensive rebound by B. Wright
0:09.0,,,48-47,2,E. Bledsoe makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,48-47,,E. Bledsoe misses 2-pt shot from 12 ft
11:43.0,Defensive rebound by L. Amundson,,48-47,,
11:43.0,,,48-47,,Loose ball foul by M. Morris (drawn by L. Amundson)
11:26.0,Turnover by A. Shved (bad pass; steal by E. Bledsoe),,48-47,,
11:13.0,Personal block foul by L. Amundson (drawn by P. Tucker),,48-47,,
11:05.0,,,48-47,,P. Tucker misses 2-pt shot from 20 ft
11:04.0,,,48-47,,Offensive rebound by Team
11:02.0,,,48-49,2,P. Tucker makes 2-pt shot from 18 ft (assist by M. Morris)
10:38.0,L. Galloway misses 3-pt shot from 24 ft,,48-49,,
10:37.0,,,48-49,,Defensive rebound by P. Tucker
10:26.0,,,48-49,,M. Morris misses 2-pt shot from 16 ft
10:26.0,,,48-49,,Offensive rebound by Team
10:20.0,,,48-49,,Shooting foul by L. Amundson (drawn by M. Morris)
10:20.0,,,48-50,1,M. Morris makes free throw 1 of 2
10:20.0,C. Aldrich enters the game for L. Amundson,,48-50,,
10:20.0,,,48-50,,M. Morris misses free throw 2 of 2
10:19.0,,,48-50,,Offensive rebound by B. Wright
10:15.0,,,48-50,,E. Bledsoe misses 3-pt shot from 22 ft
10:14.0,Defensive rebound by L. Thomas,,48-50,,
10:01.0,L. Galloway makes 3-pt shot from 24 ft,3,51-50,,
9:48.0,,,51-53,3,M. Morris makes 3-pt shot from 24 ft (assist by M. Morris)
9:22.0,L. Galloway misses 3-pt shot from 24 ft,,51-53,,
9:21.0,,,51-53,,Defensive rebound by P. Tucker
9:13.0,,,51-53,,M. Morris misses 3-pt shot from 24 ft
9:12.0,Defensive rebound by C. Aldrich,,51-53,,
8:55.0,Offensive foul by A. Bargnani,,51-53,,
8:55.0,Turnover by A. Bargnani (offensive foul),,51-53,,
8:43.0,Personal block foul by L. Galloway (drawn by E. Bledsoe),,51-53,,
8:43.0,S. Larkin enters the game for L. Galloway,,51-53,,
8:36.0,,,51-53,,Shooting foul by C. Aldrich (drawn by B. Wright)
8:36.0,,,51-54,1,B. Wright makes free throw 1 of 2
8:36.0,New York full timeout,,51-54,,
8:36.0,,,51-55,1,B. Wright makes free throw 2 of 2
8:14.0,A. Bargnani misses 2-pt shot from 20 ft,,51-55,,
8:13.0,,,51-55,,Defensive rebound by E. Bledsoe
8:01.0,,,51-57,2,M. Morris makes 2-pt shot from 1 ft (assist by M. Morris)
7:46.0,C. Aldrich misses 2-pt shot from 6 ft,,51-57,,
7:45.0,,,51-57,,Defensive rebound by B. Wright
7:39.0,,,51-59,2,E. Bledsoe makes 2-pt shot from 1 ft
7:25.0,Shooting foul by M. Morris (drawn by A. Shved),,51-59,,
7:25.0,A. Shved makes free throw 1 of 2,1,52-59,,
7:25.0,A. Shved makes free throw 2 of 2,1,53-59,,
7:11.0,,,53-61,2,M. Morris makes 2-pt shot from 15 ft (assist by E. Bledsoe)
6:46.0,A. Shved makes 3-pt shot from 24 ft (assist by A. Bargnani),3,56-61,,
6:21.0,,,56-61,,M. Morris misses 2-pt shot from 8 ft
6:20.0,Defensive rebound by C. Aldrich,,56-61,,
6:05.0,A. Bargnani misses 2-pt shot from 11 ft,,56-61,,
6:04.0,,,56-61,,Defensive rebound by B. Wright
5:55.0,,,56-61,,M. Morris misses 2-pt shot from 2 ft
5:54.0,Defensive rebound by C. Aldrich,,56-61,,
5:42.0,S. Larkin makes 2-pt shot from 1 ft (assist by C. Aldrich),2,58-61,,
5:42.0,,,58-61,,Phoenix full timeout
5:42.0,T. Wear enters the game for A. Shved,,58-61,,
5:42.0,,,58-61,,A. Goodwin enters the game for P. Tucker
5:18.0,,,58-63,2,M. Morris makes 2-pt shot from 2 ft (assist by A. Goodwin)
4:57.0,Turnover by S. Larkin (bad pass; steal by M. Morris),,58-63,,
4:52.0,Violation by C. Aldrich (def goaltending),,58-63,,
4:52.0,,,58-65,2,B. Wright makes 2-pt shot from 1 ft (assist by A. Goodwin)
4:40.0,T. Wear makes 2-pt shot from 13 ft,2,60-65,,
4:28.0,,,60-65,,Turnover by E. Bledsoe (bad pass; steal by S. Larkin)
4:07.0,L. Thomas misses 2-pt shot from 22 ft,,60-65,,
4:06.0,,,60-65,,Defensive rebound by A. Goodwin
3:55.0,,,60-67,2,B. Wright makes 2-pt shot from 3 ft (assist by E. Bledsoe)
3:33.0,L. Thomas makes 2-pt shot from 18 ft,2,62-67,,
3:16.0,Personal foul by S. Larkin (drawn by M. Morris),,62-67,,
3:16.0,,,62-68,1,M. Morris makes free throw 1 of 2
3:16.0,J. Smith enters the game for L. Thomas,,62-68,,
3:16.0,C. Early enters the game for A. Bargnani,,62-68,,
3:16.0,,,62-68,,T. Warren enters the game for M. Morris
3:16.0,,,62-69,1,M. Morris makes free throw 2 of 2
2:57.0,C. Aldrich makes 2-pt shot from 3 ft (assist by J. Smith),2,64-69,,
2:37.0,,,64-69,,T. Warren misses 2-pt shot from 1 ft (block by C. Aldrich)
2:35.0,,,64-69,,Offensive rebound by T. Warren
2:35.0,,,64-69,,Shooting foul by J. Smith (drawn by T. Warren)
2:35.0,,,64-70,1,T. Warren makes free throw 1 of 2
2:35.0,,,64-70,,P. Tucker enters the game for B. Wright
2:35.0,,,64-70,,E. Barron enters the game for M. Morris
2:35.0,,,64-71,1,T. Warren makes free throw 2 of 2
2:15.0,Shooting foul by E. Barron (drawn by J. Smith),,64-71,,
2:15.0,J. Smith makes free throw 1 of 2,1,65-71,,
2:15.0,J. Smith makes free throw 2 of 2,1,66-71,,
2:02.0,,,66-73,2,E. Barron makes 2-pt shot from 12 ft (assist by E. Bledsoe)
1:36.0,C. Aldrich misses 2-pt shot from 7 ft,,66-73,,
1:34.0,,,66-73,,Defensive rebound by E. Bledsoe
1:26.0,,,66-75,2,E. Barron makes 2-pt shot from 18 ft (assist by E. Bledsoe)
1:07.0,C. Aldrich misses 2-pt shot from 3 ft,,66-75,,
1:00.0,,,66-75,,Defensive rebound by A. Goodwin
0:56.0,,,66-75,,E. Barron misses 3-pt shot from 24 ft
0:55.0,Defensive rebound by J. Smith,,66-75,,
0:32.0,C. Aldrich misses 2-pt shot from 3 ft,,66-75,,
0:30.0,,,66-75,,Defensive rebound by P. Tucker
0:08.0,,,66-75,,E. Bledsoe misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by T. Wear,,66-75,,
0:02.0,T. Wear misses 2-pt shot at rim,,66-75,,
0:02.0,,,66-75,,Defensive rebound by A. Goodwin
0:01.0,,,66-75,,A. Goodwin misses 3-pt shot from 76 ft
0:00.0,,,66-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,T. Wear makes 3-pt shot from 24 ft (assist by J. Smith),3,69-75,,
11:28.0,,,69-75,,A. Goodwin misses 2-pt shot from 6 ft
11:23.0,,,69-75,,Offensive rebound by E. Barron
11:23.0,,,69-75,,Turnover by E. Barron (lost ball; steal by S. Larkin)
11:20.0,Turnover by S. Larkin (lost ball; steal by A. Goodwin),,69-75,,
11:02.0,,,69-77,2,A. Goodwin makes 2-pt shot at rim
10:44.0,A. Bargnani makes 2-pt shot from 21 ft (assist by J. Smith),2,71-77,,
10:28.0,,,71-77,,A. Goodwin misses 3-pt shot from 22 ft
10:27.0,,,71-77,,Offensive rebound by E. Barron
10:24.0,,,71-77,,E. Barron misses 2-pt shot at rim
10:24.0,,,71-77,,Offensive rebound by T. Warren
10:22.0,,,71-79,2,T. Warren makes 2-pt shot from 1 ft
10:21.0,,,71-79,,Violation by Team (delay of game)
10:21.0,,,71-79,,Technical foul by Team
10:21.0,A. Bargnani makes technical free throw,1,72-79,,
10:21.0,,,72-79,,M. Morris enters the game for E. Barron
10:06.0,Shooting foul by M. Morris (drawn by L. Thomas),,72-79,,
10:06.0,L. Thomas makes free throw 1 of 2,1,73-79,,
10:06.0,L. Thomas misses free throw 2 of 2,,73-79,,
10:06.0,,,73-79,,Defensive rebound by M. Morris
9:52.0,,,73-79,,Turnover by T. Warren (bad pass; steal by J. Smith)
9:39.0,,,73-79,,Shooting block foul by M. Morris (drawn by A. Bargnani)
9:39.0,A. Bargnani makes free throw 1 of 2,1,74-79,,
9:39.0,,,74-79,,B. Wright enters the game for M. Morris
9:39.0,A. Bargnani makes free throw 2 of 2,1,75-79,,
9:26.0,,,75-81,2,A. Goodwin makes 2-pt shot from 1 ft (assist by M. Morris)
9:16.0,L. Thomas misses 2-pt shot from 4 ft,,75-81,,
9:15.0,,,75-81,,Defensive rebound by M. Morris
9:09.0,,,75-83,2,M. Morris makes 2-pt shot from 19 ft
9:05.0,New York full timeout,,75-83,,
8:51.0,Shooting foul by B. Wright (drawn by L. Thomas),,75-83,,
8:51.0,L. Thomas makes free throw 1 of 2,1,76-83,,
8:51.0,L. Thomas misses free throw 2 of 2,,76-83,,
8:48.0,Offensive rebound by J. Smith,,76-83,,
8:48.0,A. Bargnani makes 2-pt shot from 1 ft,2,78-83,,
8:32.0,,,78-85,2,B. Wright makes 2-pt shot from 5 ft
8:32.0,Shooting block foul by A. Bargnani (drawn by B. Wright),,78-85,,
8:32.0,,,78-86,1,B. Wright makes free throw 1 of 1
8:12.0,Turnover by J. Smith (bad pass; steal by A. Goodwin),,78-86,,
8:07.0,,,78-86,,A. Goodwin misses 2-pt shot from 1 ft (block by J. Smith)
8:05.0,Defensive rebound by S. Larkin,,78-86,,
7:58.0,A. Bargnani misses 3-pt shot from 24 ft,,78-86,,
7:57.0,Offensive rebound by S. Larkin,,78-86,,
7:52.0,A. Bargnani misses 3-pt shot from 24 ft,,78-86,,
7:51.0,,,78-86,,Defensive rebound by P. Tucker
7:36.0,,,78-86,,Shooting foul by S. Larkin (drawn by A. Goodwin)
7:36.0,,,78-86,,A. Goodwin misses free throw 1 of 2
7:36.0,,,78-86,,Offensive rebound by Team
7:36.0,L. Galloway enters the game for S. Larkin,,78-86,,
7:36.0,A. Shved enters the game for L. Thomas,,78-86,,
7:36.0,,,78-86,,E. Bledsoe enters the game for T. Warren
7:36.0,,,78-87,1,A. Goodwin makes free throw 2 of 2
7:11.0,A. Bargnani makes 2-pt shot from 19 ft (assist by A. Shved),2,80-87,,
6:50.0,,,80-90,3,P. Tucker makes 3-pt shot from 24 ft (assist by E. Bledsoe)
6:19.0,A. Shved misses 2-pt shot from 2 ft,,80-90,,
6:18.0,,,80-90,,Defensive rebound by M. Morris
6:12.0,,,80-92,2,E. Bledsoe makes 2-pt shot from 19 ft
5:45.0,,,80-92,,Personal foul by P. Tucker (drawn by A. Shved)
5:45.0,Official timeout,,80-92,,
5:45.0,L. Amundson enters the game for J. Smith,,80-92,,
5:32.0,Turnover by L. Amundson (lost ball; steal by A. Goodwin),,80-92,,
5:26.0,,,80-94,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by A. Goodwin)
5:06.0,T. Wear misses 2-pt shot from 15 ft,,80-94,,
5:05.0,,,80-94,,Defensive rebound by E. Bledsoe
4:49.0,,,80-94,,M. Morris misses 2-pt shot from 12 ft
4:48.0,,,80-94,,Offensive rebound by M. Morris
4:45.0,,,80-96,2,M. Morris makes 2-pt shot at rim
4:27.0,L. Amundson makes 2-pt shot from 3 ft (assist by L. Galloway),2,82-96,,
4:06.0,,,82-96,,P. Tucker misses 3-pt shot from 24 ft
4:05.0,Defensive rebound by A. Shved,,82-96,,
3:53.0,A. Bargnani misses 2-pt shot from 3 ft,,82-96,,
3:52.0,,,82-96,,Defensive rebound by P. Tucker
3:47.0,,,82-96,,A. Goodwin misses 2-pt shot at rim
3:46.0,Defensive rebound by T. Wear,,82-96,,
3:37.0,A. Shved makes 2-pt shot from 9 ft,2,84-96,,
3:37.0,Shooting foul by A. Goodwin (drawn by A. Shved),,84-96,,
3:37.0,A. Shved makes free throw 1 of 1,1,85-96,,
3:21.0,,,85-99,3,E. Bledsoe makes 3-pt shot from 24 ft (assist by B. Wright)
3:03.0,T. Wear misses 2-pt shot from 20 ft,,85-99,,
3:02.0,,,85-99,,Defensive rebound by E. Bledsoe
