time,Miami,pts.away,score,pts.home,Cleveland
8:59.0,,,29-43,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
8:57.0,Miami full timeout,,29-43,,
8:57.0,,,29-43,,J. Smith enters the game for M. Dellavedova
8:41.0,M. Chalmers makes 2-pt shot at rim (assist by C. Andersen),2,31-43,,
8:25.0,H. Whiteside enters the game for C. Andersen,,31-43,,
8:14.0,,,31-43,,Turnover by Team (shot clock)
7:55.0,G. Dragic misses 2-pt shot from 1 ft (block by T. Thompson),,31-43,,
7:54.0,,,31-43,,Defensive rebound by T. Thompson
7:50.0,,,31-43,,J. Smith misses 3-pt shot from 25 ft
7:48.0,,,31-43,,Offensive rebound by T. Thompson
7:48.0,Personal foul by H. Whiteside (drawn by T. Thompson),,31-43,,
7:48.0,,,31-43,,T. Mozgov enters the game for T. Thompson
7:35.0,,,31-45,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
7:19.0,D. Wade misses 3-pt shot from 25 ft,,31-45,,
7:18.0,,,31-45,,Defensive rebound by L. James
7:03.0,,,31-47,2,K. Irving makes 2-pt shot at rim
7:03.0,Miami full timeout,,31-47,,
7:03.0,,,31-47,,T. Thompson enters the game for L. James
6:40.0,Turnover by D. Wade (lost ball; steal by T. Thompson),,31-47,,
6:30.0,,,31-50,3,I. Shumpert makes 3-pt shot from 25 ft (assist by K. Irving)
6:25.0,Miami full timeout,,31-50,,
6:25.0,T. Johnson enters the game for L. Deng,,31-50,,
6:25.0,H. Walker enters the game for D. Wade,,31-50,,
6:25.0,J. Ennis enters the game for G. Dragic,,31-50,,
6:14.0,Shooting foul by T. Mozgov (drawn by J. Ennis),,31-50,,
6:14.0,J. Ennis makes free throw 1 of 2,1,32-50,,
6:14.0,J. Ennis makes free throw 2 of 2,1,33-50,,
5:59.0,,,33-50,,Turnover by K. Irving (bad pass; steal by T. Johnson)
5:53.0,H. Whiteside makes 2-pt shot from 5 ft (assist by M. Chalmers),2,35-50,,
5:30.0,,,35-52,2,K. Irving makes 2-pt shot from 15 ft
5:09.0,H. Whiteside makes 2-pt shot at rim (assist by M. Chalmers),2,37-52,,
4:55.0,,,37-55,3,I. Shumpert makes 3-pt shot from 23 ft (assist by J. Smith)
4:41.0,M. Chalmers makes 2-pt shot at rim,2,39-55,,
4:27.0,,,39-55,,K. Irving misses 2-pt shot from 19 ft
4:26.0,Defensive rebound by M. Chalmers,,39-55,,
4:19.0,Turnover by M. Chalmers (lost ball; steal by K. Irving),,39-55,,
4:15.0,,,39-55,,Shooting foul by H. Walker (drawn by T. Thompson)
4:15.0,,,39-55,,T. Thompson misses free throw 1 of 2
4:15.0,,,39-55,,Offensive rebound by Team
4:15.0,,,39-55,,M. Dellavedova enters the game for K. Irving
4:15.0,L. Deng enters the game for H. Walker,,39-55,,
4:15.0,,,39-55,,T. Thompson misses free throw 2 of 2
4:14.0,Defensive rebound by H. Whiteside,,39-55,,
3:59.0,Turnover by M. Chalmers (lost ball; steal by M. Dellavedova),,39-55,,
3:59.0,Personal foul by H. Whiteside (drawn by M. Dellavedova),,39-55,,
3:59.0,,,39-56,1,M. Dellavedova makes free throw 1 of 2
3:59.0,C. Andersen enters the game for H. Whiteside,,39-56,,
3:59.0,,,39-56,,L. James enters the game for I. Shumpert
3:59.0,,,39-56,,J. Jones enters the game for T. Mozgov
3:59.0,,,39-57,1,M. Dellavedova makes free throw 2 of 2
3:48.0,T. Johnson makes 2-pt shot at rim (assist by C. Andersen),2,41-57,,
3:27.0,,,41-57,,J. Smith misses 3-pt shot from 24 ft
3:26.0,,,41-57,,Offensive rebound by Team
3:26.0,Loose ball foul by T. Johnson (drawn by T. Thompson),,41-57,,
3:26.0,,,41-58,1,T. Thompson makes free throw 1 of 2
3:26.0,,,41-59,1,T. Thompson makes free throw 2 of 2
3:11.0,Shooting foul by J. Smith (drawn by T. Johnson),,41-59,,
3:11.0,T. Johnson makes free throw 1 of 2,1,42-59,,
3:11.0,T. Johnson makes free throw 2 of 2,1,43-59,,
2:58.0,,,43-59,,M. Dellavedova misses 2-pt shot from 14 ft
2:56.0,Defensive rebound by L. Deng,,43-59,,
2:43.0,Turnover by M. Chalmers (bad pass),,43-59,,
2:43.0,Official timeout,,43-59,,
2:43.0,G. Dragic enters the game for M. Chalmers,,43-59,,
2:43.0,,,43-59,,K. Irving enters the game for J. Smith
2:21.0,,,43-59,,L. James misses 2-pt shot from 15 ft
2:19.0,Defensive rebound by J. Ennis,,43-59,,
2:06.0,T. Johnson misses 2-pt shot from 20 ft,,43-59,,
2:05.0,,,43-59,,Defensive rebound by T. Thompson
1:56.0,,,43-59,,Turnover by T. Thompson (bad pass; steal by T. Johnson)
1:49.0,G. Dragic misses 3-pt shot from 24 ft,,43-59,,
1:48.0,,,43-59,,Defensive rebound by T. Thompson
1:40.0,,,43-59,,J. Jones misses 3-pt shot from 23 ft
1:39.0,Defensive rebound by J. Ennis,,43-59,,
1:36.0,Shooting foul by M. Dellavedova (drawn by G. Dragic),,43-59,,
1:36.0,G. Dragic makes 2-pt shot from 2 ft,2,45-59,,
1:36.0,G. Dragic makes free throw 1 of 1,1,46-59,,
1:14.0,,,46-59,,J. Jones misses 3-pt shot from 25 ft
1:13.0,Defensive rebound by T. Johnson,,46-59,,
1:08.0,L. Deng makes 2-pt shot at rim (assist by T. Johnson),2,48-59,,
1:02.0,,,48-59,,Cleveland full timeout
0:48.0,,,48-59,,Shooting foul by C. Andersen (drawn by L. James)
0:48.0,,,48-60,1,L. James makes free throw 1 of 2
0:48.0,,,48-61,1,L. James makes free throw 2 of 2
0:35.0,L. Deng makes 2-pt shot from 5 ft (assist by G. Dragic),2,50-61,,
0:26.0,,,50-61,,K. Irving misses 2-pt shot from 10 ft
0:23.0,Defensive rebound by L. Deng,,50-61,,
0:06.0,T. Johnson misses 2-pt shot from 22 ft,,50-61,,
0:04.0,,,50-61,,Defensive rebound by T. Thompson
0:00.0,,,50-61,,L. James misses 3-pt shot from 37 ft
0:00.0,,,50-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,50-64,3,K. Irving makes 3-pt shot from 25 ft
11:20.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,52-64,,
11:04.0,,,52-67,3,L. James makes 3-pt shot from 24 ft
10:45.0,L. Deng makes 2-pt shot at rim (assist by T. Johnson),2,54-67,,
10:21.0,,,54-67,,Turnover by T. Mozgov (3 sec)
10:09.0,T. Johnson makes 2-pt shot from 18 ft,2,56-67,,
9:52.0,,,56-69,2,K. Irving makes 2-pt shot from 8 ft
9:39.0,Turnover by T. Johnson (bad pass; steal by K. Irving),,56-69,,
9:35.0,,,56-71,2,K. Irving makes 2-pt shot at rim
9:20.0,L. Deng misses 3-pt shot from 22 ft,,56-71,,
9:19.0,Offensive rebound by J. Ennis,,56-71,,
9:19.0,,,56-71,,Personal foul by K. Irving (drawn by J. Ennis)
9:08.0,Shooting foul by T. Mozgov (drawn by H. Whiteside),,56-71,,
9:08.0,H. Whiteside misses free throw 1 of 2,,56-71,,
9:08.0,Offensive rebound by Team,,56-71,,
9:08.0,H. Whiteside makes free throw 2 of 2,1,57-71,,
8:53.0,,,57-71,,Turnover by L. James (bad pass; steal by L. Deng)
8:39.0,G. Dragic misses 2-pt shot from 1 ft,,57-71,,
8:38.0,,,57-71,,Defensive rebound by T. Mozgov
