time,Memphis,pts.away,score,pts.home,Portland
5:01.0,C. Lee makes 3-pt shot from 24 ft (assist by Z. Randolph),3,9-18,,
4:48.0,,,9-20,2,L. Aldridge makes 2-pt shot from 19 ft (assist by S. Blake)
4:35.0,M. Conley makes 2-pt shot from 3 ft,2,11-20,,
4:35.0,Shooting foul by R. Lopez (drawn by M. Conley),,11-20,,
4:35.0,,,11-20,,C. Kaman enters the game for R. Lopez
4:35.0,M. Conley makes free throw 1 of 1,1,12-20,,
4:20.0,,,12-22,2,N. Batum makes 2-pt shot from 1 ft (assist by L. Aldridge)
4:10.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Conley),2,14-22,,
4:10.0,Shooting foul by C. Kaman (drawn by Z. Randolph),,14-22,,
4:10.0,Z. Randolph misses free throw 1 of 1,,14-22,,
4:09.0,,,14-22,,Defensive rebound by N. Batum
3:56.0,,,14-22,,N. Batum misses 3-pt shot from 24 ft
3:55.0,Defensive rebound by M. Conley,,14-22,,
3:50.0,Shooting foul by N. Batum (drawn by M. Gasol),,14-22,,
3:50.0,M. Gasol makes free throw 1 of 2,1,15-22,,
3:50.0,V. Carter enters the game for T. Allen,,15-22,,
3:50.0,M. Gasol makes free throw 2 of 2,1,16-22,,
3:34.0,,,16-24,2,L. Aldridge makes 2-pt shot from 12 ft
3:19.0,V. Carter misses 2-pt shot at rim,,16-24,,
3:17.0,,,16-24,,Defensive rebound by C. Kaman
3:01.0,,,16-24,,D. Lillard misses 3-pt shot from 24 ft
3:00.0,Defensive rebound by M. Gasol,,16-24,,
2:56.0,M. Conley makes 2-pt shot from 2 ft (assist by M. Gasol),2,18-24,,
2:56.0,,,18-24,,Portland full timeout
2:56.0,,,18-24,,A. Crabbe enters the game for N. Batum
2:56.0,,,18-24,,W. Matthews enters the game for D. Lillard
2:38.0,,,18-24,,L. Aldridge misses 2-pt shot from 19 ft
2:37.0,,,18-24,,Offensive rebound by C. Kaman
2:28.0,,,18-24,,C. Kaman misses 2-pt shot from 12 ft
2:27.0,Defensive rebound by Z. Randolph,,18-24,,
2:12.0,M. Conley misses 3-pt shot from 24 ft,,18-24,,
2:12.0,,,18-24,,Defensive rebound by L. Aldridge
1:59.0,,,18-24,,W. Matthews misses 2-pt shot from 10 ft
1:59.0,,,18-24,,Offensive rebound by L. Aldridge
1:57.0,,,18-24,,L. Aldridge misses 2-pt shot from 1 ft
1:55.0,,,18-24,,Offensive rebound by L. Aldridge
1:55.0,,,18-24,,L. Aldridge misses 2-pt shot from 1 ft
1:54.0,,,18-24,,Offensive rebound by W. Matthews
1:49.0,,,18-24,,A. Crabbe misses 3-pt shot from 23 ft
1:48.0,Defensive rebound by Z. Randolph,,18-24,,
1:32.0,M. Gasol makes 2-pt shot from 19 ft (assist by C. Lee),2,20-24,,
1:14.0,K. Koufos enters the game for Z. Randolph,,20-24,,
1:05.0,,,20-24,,Turnover by Team (shot clock)
0:55.0,C. Lee makes 2-pt shot from 18 ft (assist by M. Gasol),2,22-24,,
0:34.0,,,22-24,,W. Matthews misses 3-pt shot from 23 ft
0:34.0,Defensive rebound by K. Koufos,,22-24,,
0:30.0,Shooting foul by A. Crabbe (drawn by C. Lee),,22-24,,
0:30.0,C. Lee misses free throw 1 of 2,,22-24,,
0:30.0,Offensive rebound by Team,,22-24,,
0:30.0,C. Lee makes free throw 2 of 2,1,23-24,,
0:11.0,,,23-24,,L. Aldridge misses 2-pt shot from 6 ft
0:10.0,,,23-24,,Offensive rebound by C. Kaman
0:09.0,,,23-24,,Shooting foul by K. Koufos (drawn by C. Kaman)
0:09.0,,,23-24,,C. Kaman misses free throw 1 of 2
0:09.0,,,23-24,,Offensive rebound by Team
0:09.0,,,23-24,,J. Freeland enters the game for L. Aldridge
0:09.0,,,23-25,1,C. Kaman makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,V. Carter misses 3-pt shot from 24 ft,,23-25,,
11:44.0,,,23-25,,Defensive rebound by J. Freeland
11:26.0,,,23-25,,C. Kaman misses 2-pt shot from 15 ft
11:26.0,Defensive rebound by B. Udrih,,23-25,,
11:19.0,B. Udrih makes 2-pt shot from 16 ft,2,25-25,,
10:59.0,,,25-27,2,C. Kaman makes 2-pt shot from 18 ft (assist by W. Matthews)
10:44.0,,,25-27,,Def 3 sec tech foul by C. Kaman
10:44.0,B. Udrih misses technical free throw,,25-27,,
10:44.0,Offensive rebound by Team,,25-27,,
10:44.0,J. Leuer enters the game for M. Gasol,,25-27,,
10:31.0,V. Carter misses 2-pt shot from 17 ft,,25-27,,
10:31.0,,,25-27,,Defensive rebound by C. Kaman
10:28.0,,,25-27,,Turnover by C. Kaman (bad pass; steal by V. Carter)
10:25.0,V. Carter misses 2-pt shot from 1 ft,,25-27,,
10:24.0,,,25-27,,Defensive rebound by C. Kaman
10:19.0,,,25-27,,Turnover by A. Crabbe (bad pass; steal by B. Udrih)
10:10.0,Q. Pondexter makes 3-pt shot from 23 ft (assist by B. Udrih),3,28-27,,
9:46.0,,,28-30,3,W. Matthews makes 3-pt shot from 24 ft
9:32.0,B. Udrih makes 2-pt shot from 14 ft,2,30-30,,
9:29.0,,,30-30,,Technical foul by S. Blake
9:29.0,Technical foul by K. Koufos,,30-30,,
9:14.0,,,30-30,,W. Matthews misses 3-pt shot from 23 ft
9:12.0,Defensive rebound by K. Koufos,,30-30,,
8:58.0,Shooting foul by A. Crabbe (drawn by Q. Pondexter),,30-30,,
8:58.0,Official timeout,,30-30,,
8:58.0,Q. Pondexter misses free throw 1 of 2,,30-30,,
8:58.0,Offensive rebound by Team,,30-30,,
8:58.0,Q. Pondexter misses free throw 2 of 2,,30-30,,
8:57.0,,,30-30,,Defensive rebound by C. Kaman
8:42.0,,,30-32,2,C. Kaman makes 2-pt shot from 16 ft (assist by A. Crabbe)
8:25.0,B. Udrih misses 2-pt shot from 21 ft,,30-32,,
8:24.0,,,30-32,,Defensive rebound by J. Freeland
8:03.0,,,30-32,,C. Kaman misses 2-pt shot from 3 ft
8:02.0,Defensive rebound by Team,,30-32,,
7:49.0,V. Carter makes 2-pt shot from 8 ft,2,32-32,,
7:34.0,,,32-32,,Shooting foul by B. Udrih (drawn by W. Matthews)
7:34.0,,,32-32,,W. Matthews misses free throw 1 of 2
7:34.0,,,32-32,,Offensive rebound by Team
7:34.0,,,32-32,,D. Lillard enters the game for S. Blake
7:34.0,,,32-32,,N. Batum enters the game for A. Crabbe
7:34.0,,,32-33,1,W. Matthews makes free throw 2 of 2
7:21.0,Turnover by J. Leuer (bad pass; steal by D. Lillard),,32-33,,
7:15.0,,,32-33,,D. Lillard misses 2-pt shot from 1 ft (block by K. Koufos)
7:13.0,Defensive rebound by J. Leuer,,32-33,,
7:08.0,V. Carter misses 3-pt shot from 23 ft,,32-33,,
7:07.0,,,32-33,,Defensive rebound by J. Freeland
7:02.0,,,32-33,,R. Lopez enters the game for J. Freeland
7:02.0,,,32-33,,W. Barton enters the game for W. Matthews
7:02.0,T. Allen enters the game for V. Carter,,32-33,,
6:53.0,,,32-35,2,W. Barton makes 2-pt shot from 20 ft (assist by D. Lillard)
6:32.0,M. Conley enters the game for B. Udrih,,32-35,,
6:29.0,K. Koufos makes 2-pt shot from 3 ft (assist by T. Allen),2,34-35,,
6:03.0,,,34-35,,D. Lillard misses 2-pt shot from 21 ft
6:02.0,Defensive rebound by Q. Pondexter,,34-35,,
5:57.0,J. Leuer makes 2-pt shot at rim (assist by Q. Pondexter),2,36-35,,
5:30.0,,,36-35,,C. Kaman misses 2-pt shot from 2 ft
5:29.0,Defensive rebound by T. Allen,,36-35,,
5:22.0,J. Leuer makes 2-pt shot from 1 ft (assist by T. Allen),2,38-35,,
5:22.0,,,38-35,,Portland full timeout
5:22.0,,,38-35,,L. Aldridge enters the game for C. Kaman
5:06.0,,,38-37,2,D. Lillard makes 2-pt shot from 1 ft (assist by L. Aldridge)
4:49.0,J. Leuer makes 3-pt shot from 24 ft (assist by M. Conley),3,41-37,,
4:26.0,,,41-39,2,L. Aldridge makes 2-pt shot from 16 ft
4:04.0,J. Leuer misses 2-pt shot from 16 ft,,41-39,,
4:02.0,,,41-39,,Defensive rebound by N. Batum
3:56.0,,,41-39,,R. Lopez misses 2-pt shot from 1 ft (block by K. Koufos)
3:54.0,Defensive rebound by J. Leuer,,41-39,,
3:50.0,T. Allen makes 2-pt shot at rim (assist by Q. Pondexter),2,43-39,,
3:25.0,,,43-39,,W. Barton misses 3-pt shot from 22 ft
3:24.0,Defensive rebound by T. Allen,,43-39,,
3:11.0,M. Gasol enters the game for K. Koufos,,43-39,,
3:11.0,Z. Randolph enters the game for J. Leuer,,43-39,,
3:11.0,Memphis full timeout,,43-39,,
3:11.0,,,43-39,,W. Matthews enters the game for W. Barton
3:09.0,Z. Randolph misses 2-pt shot from 6 ft,,43-39,,
3:07.0,,,43-39,,Defensive rebound by L. Aldridge
2:59.0,,,43-39,,L. Aldridge misses 3-pt shot from 24 ft
2:58.0,Defensive rebound by Q. Pondexter,,43-39,,
2:39.0,Z. Randolph misses 2-pt shot from 5 ft (block by L. Aldridge),,43-39,,
2:37.0,Offensive rebound by Q. Pondexter,,43-39,,
2:36.0,Q. Pondexter makes 2-pt shot from 7 ft,2,45-39,,
2:12.0,,,45-39,,N. Batum misses 2-pt shot from 22 ft
2:12.0,,,45-39,,Offensive rebound by Team
2:12.0,Loose ball foul by M. Gasol (drawn by R. Lopez),,45-39,,
2:05.0,,,45-39,,R. Lopez misses 2-pt shot at rim
2:04.0,,,45-39,,Offensive rebound by R. Lopez
2:04.0,,,45-41,2,R. Lopez makes 2-pt shot at rim
1:41.0,Turnover by M. Gasol (lost ball; steal by L. Aldridge),,45-41,,
1:37.0,,,45-43,2,L. Aldridge makes 2-pt shot at rim (assist by D. Lillard)
1:10.0,Q. Pondexter makes 3-pt shot from 22 ft (assist by M. Gasol),3,48-43,,
0:56.0,,,48-43,,N. Batum misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by Z. Randolph,,48-43,,
0:47.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Conley),2,50-43,,
0:32.0,,,50-43,,L. Aldridge misses 2-pt shot from 13 ft
0:31.0,Defensive rebound by Q. Pondexter,,50-43,,
0:12.0,M. Conley makes 2-pt shot from 11 ft,2,52-43,,
0:06.0,,,52-43,,W. Matthews misses 3-pt shot from 22 ft
0:00.0,Defensive rebound by Z. Randolph,,52-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,M. Gasol misses 2-pt shot from 18 ft,,52-43,,
11:40.0,,,52-43,,Defensive rebound by D. Lillard
11:34.0,,,52-43,,N. Batum misses 3-pt shot from 22 ft
11:33.0,Defensive rebound by Z. Randolph,,52-43,,
11:17.0,M. Gasol misses 2-pt shot at rim,,52-43,,
11:16.0,Offensive rebound by M. Gasol,,52-43,,
11:16.0,M. Gasol makes 2-pt shot at rim,2,54-43,,
11:07.0,Personal foul by T. Allen (drawn by N. Batum),,54-43,,
10:59.0,,,54-45,2,R. Lopez makes 2-pt shot at rim (assist by D. Lillard)
10:48.0,M. Conley misses 2-pt shot from 17 ft,,54-45,,
10:46.0,,,54-45,,Defensive rebound by R. Lopez
10:27.0,,,54-47,2,L. Aldridge makes 2-pt shot from 12 ft
10:00.0,Shooting foul by L. Aldridge (drawn by M. Gasol),,54-47,,
10:00.0,M. Gasol makes free throw 1 of 2,1,55-47,,
10:00.0,M. Gasol makes free throw 2 of 2,1,56-47,,
9:42.0,,,56-47,,Turnover by L. Aldridge (lost ball; steal by Z. Randolph)
9:36.0,C. Lee makes 3-pt shot from 22 ft (assist by M. Conley),3,59-47,,
9:24.0,,,59-47,,Turnover by D. Lillard (bad pass; steal by T. Allen)
9:20.0,T. Allen misses 2-pt shot from 1 ft (block by N. Batum),,59-47,,
9:18.0,Offensive rebound by M. Conley,,59-47,,
9:17.0,M. Conley makes 2-pt shot from 1 ft,2,61-47,,
9:07.0,,,61-50,3,W. Matthews makes 3-pt shot from 24 ft (assist by N. Batum)
8:47.0,M. Gasol makes 2-pt shot from 19 ft (assist by C. Lee),2,63-50,,
8:27.0,,,63-50,,D. Lillard misses 3-pt shot from 25 ft
8:27.0,,,63-50,,Offensive rebound by R. Lopez
8:27.0,,,63-50,,R. Lopez misses 2-pt shot from 1 ft
8:27.0,,,63-50,,Offensive rebound by R. Lopez
8:27.0,,,63-50,,R. Lopez misses 2-pt shot from 1 ft (block by M. Gasol)
8:27.0,,,63-50,,Offensive rebound by Team
8:19.0,,,63-50,,Turnover by L. Aldridge (lost ball; steal by T. Allen)
8:10.0,C. Lee misses 2-pt shot from 3 ft,,63-50,,
8:09.0,Offensive rebound by Z. Randolph,,63-50,,
8:08.0,Z. Randolph makes 2-pt shot at rim,2,65-50,,
8:08.0,,,65-50,,Portland full timeout
7:56.0,,,65-53,3,W. Matthews makes 3-pt shot from 22 ft (assist by D. Lillard)
7:33.0,Shooting foul by W. Matthews (drawn by Z. Randolph),,65-53,,
7:33.0,Z. Randolph misses free throw 1 of 2,,65-53,,
7:33.0,Offensive rebound by Team,,65-53,,
7:33.0,Z. Randolph misses free throw 2 of 2,,65-53,,
7:32.0,,,65-53,,Defensive rebound by L. Aldridge
7:21.0,,,65-55,2,D. Lillard makes 2-pt shot at rim
7:07.0,M. Conley misses 2-pt shot from 11 ft,,65-55,,
7:06.0,,,65-55,,Defensive rebound by R. Lopez
6:52.0,,,65-55,,N. Batum misses 2-pt shot from 20 ft
6:50.0,,,65-55,,Offensive rebound by D. Lillard
6:46.0,,,65-58,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Lillard)
6:39.0,Memphis full timeout,,65-58,,
6:27.0,Z. Randolph misses 2-pt shot at rim,,65-58,,
6:26.0,Offensive rebound by Z. Randolph,,65-58,,
6:26.0,Z. Randolph misses 2-pt shot at rim,,65-58,,
6:24.0,,,65-58,,Defensive rebound by R. Lopez
6:15.0,,,65-58,,R. Lopez misses 2-pt shot at rim
6:15.0,Defensive rebound by M. Conley,,65-58,,
6:01.0,M. Gasol makes 2-pt shot from 17 ft (assist by M. Conley),2,67-58,,
5:43.0,,,67-58,,R. Lopez misses 2-pt shot from 4 ft
5:42.0,,,67-58,,Offensive rebound by L. Aldridge
5:42.0,,,67-58,,L. Aldridge misses 2-pt shot at rim
5:40.0,Defensive rebound by M. Gasol,,67-58,,
5:35.0,C. Lee makes 2-pt shot from 20 ft,2,69-58,,
5:13.0,,,69-58,,L. Aldridge misses 2-pt shot from 4 ft
5:12.0,Defensive rebound by Z. Randolph,,69-58,,
5:06.0,C. Lee misses 3-pt shot from 24 ft,,69-58,,
5:05.0,,,69-58,,Defensive rebound by L. Aldridge
5:03.0,,,69-58,,Turnover by L. Aldridge (lost ball; steal by Z. Randolph)
5:02.0,,,69-58,,Personal foul by R. Lopez (drawn by Z. Randolph)
5:02.0,,,69-58,,S. Blake enters the game for N. Batum
5:02.0,,,69-58,,C. Kaman enters the game for R. Lopez
4:53.0,Z. Randolph makes 2-pt shot from 3 ft (assist by M. Gasol),2,71-58,,
4:29.0,,,71-58,,Shooting foul by C. Lee (drawn by D. Lillard)
4:29.0,,,71-59,1,D. Lillard makes free throw 1 of 3
4:29.0,,,71-60,1,D. Lillard makes free throw 2 of 3
4:29.0,,,71-60,,A. Crabbe enters the game for W. Matthews
4:29.0,,,71-61,1,D. Lillard makes free throw 3 of 3
4:16.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Conley),2,73-61,,
4:05.0,Personal foul by Z. Randolph (drawn by D. Lillard),,73-61,,
3:54.0,,,73-61,,C. Kaman misses 2-pt shot from 16 ft
3:53.0,Defensive rebound by C. Lee,,73-61,,
3:47.0,M. Conley makes 2-pt shot from 2 ft,2,75-61,,
3:26.0,,,75-64,3,D. Lillard makes 3-pt shot from 24 ft (assist by S. Blake)
3:04.0,C. Lee misses 3-pt shot from 23 ft,,75-64,,
3:01.0,,,75-64,,Defensive rebound by L. Aldridge
2:45.0,,,75-64,,S. Blake misses 2-pt shot from 20 ft
2:45.0,Defensive rebound by Z. Randolph,,75-64,,
2:30.0,M. Gasol makes 2-pt shot from 2 ft (assist by M. Conley),2,77-64,,
2:08.0,,,77-64,,Shooting foul by Z. Randolph (drawn by L. Aldridge)
2:08.0,,,77-65,1,L. Aldridge makes free throw 1 of 2
2:08.0,Q. Pondexter enters the game for T. Allen,,77-65,,
2:08.0,,,77-65,,N. Batum enters the game for D. Lillard
2:08.0,,,77-66,1,L. Aldridge makes free throw 2 of 2
1:59.0,M. Conley makes 2-pt shot from 22 ft (assist by M. Gasol),2,79-66,,
1:38.0,,,79-66,,S. Blake misses 3-pt shot from 23 ft
1:35.0,Defensive rebound by Q. Pondexter,,79-66,,
1:27.0,M. Gasol makes 2-pt shot at rim (assist by M. Conley),2,81-66,,
1:15.0,,,81-66,,S. Blake misses 2-pt shot from 14 ft
1:14.0,,,81-66,,Offensive rebound by C. Kaman
1:14.0,,,81-66,,C. Kaman misses 2-pt shot at rim
1:12.0,,,81-66,,Offensive rebound by C. Kaman
1:12.0,,,81-68,2,C. Kaman makes 2-pt shot from 1 ft
0:56.0,Shooting foul by C. Kaman (drawn by Z. Randolph),,81-68,,
0:56.0,Z. Randolph misses free throw 1 of 2,,81-68,,
0:56.0,Offensive rebound by Team,,81-68,,
0:56.0,Z. Randolph misses free throw 2 of 2,,81-68,,
0:56.0,,,81-68,,Defensive rebound by C. Kaman
0:49.0,,,81-68,,A. Crabbe misses 3-pt shot from 22 ft
0:48.0,Defensive rebound by M. Conley,,81-68,,
0:35.0,M. Gasol makes 2-pt shot from 17 ft,2,83-68,,
0:16.0,,,83-70,2,L. Aldridge makes 2-pt shot from 13 ft
0:00.0,M. Conley misses 2-pt shot from 1 ft (block by L. Aldridge),,83-70,,
0:00.0,Offensive rebound by Team,,83-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,83-73,3,W. Matthews makes 3-pt shot from 24 ft (assist by S. Blake)
11:37.0,,,83-73,,Personal foul by C. Kaman (drawn by Z. Randolph)
11:31.0,,,83-73,,Personal foul by C. Kaman (drawn by Z. Randolph)
11:17.0,C. Lee makes 2-pt shot from 13 ft,2,85-73,,
10:58.0,,,85-73,,C. Kaman misses 2-pt shot from 3 ft
10:58.0,Defensive rebound by Team,,85-73,,
10:58.0,,,85-73,,Loose ball foul by J. Freeland (drawn by Z. Randolph)
10:58.0,J. Leuer enters the game for Z. Randolph,,85-73,,
10:47.0,Q. Pondexter makes 2-pt shot from 20 ft (assist by K. Koufos),2,87-73,,
10:28.0,,,87-73,,W. Matthews misses 2-pt shot from 9 ft
10:28.0,Defensive rebound by Team,,87-73,,
10:28.0,,,87-73,,D. Lillard enters the game for N. Batum
10:10.0,Q. Pondexter misses 3-pt shot from 24 ft,,87-73,,
10:09.0,,,87-73,,Defensive rebound by Team
10:09.0,Loose ball foul by J. Leuer (drawn by J. Freeland),,87-73,,
10:00.0,,,87-75,2,D. Lillard makes 2-pt shot from 19 ft
9:45.0,B. Udrih makes 2-pt shot from 17 ft,2,89-75,,
9:34.0,,,89-75,,D. Lillard misses 3-pt shot from 24 ft
9:33.0,,,89-75,,Offensive rebound by J. Freeland
9:26.0,,,89-75,,C. Kaman misses 2-pt shot from 5 ft
9:24.0,,,89-75,,Offensive rebound by C. Kaman
9:24.0,,,89-77,2,C. Kaman makes 2-pt shot from 5 ft
9:07.0,Turnover by K. Koufos (bad pass),,89-77,,
9:07.0,T. Allen enters the game for C. Lee,,89-77,,
8:55.0,,,89-79,2,C. Kaman makes 2-pt shot from 3 ft (assist by D. Lillard)
8:55.0,,,89-79,,Shooting foul by K. Koufos (drawn by C. Kaman)
8:55.0,Official timeout,,89-79,,
8:55.0,,,89-80,1,C. Kaman makes free throw 1 of 1
8:40.0,B. Udrih misses 2-pt shot from 12 ft,,89-80,,
8:38.0,,,89-80,,Defensive rebound by J. Freeland
8:35.0,,,89-80,,Turnover by C. Kaman (bad pass; steal by T. Allen)
8:32.0,T. Allen misses 2-pt shot from 2 ft (block by C. Kaman),,89-80,,
8:32.0,Offensive rebound by Team,,89-80,,
8:18.0,J. Leuer misses 2-pt shot from 4 ft,,89-80,,
8:17.0,,,89-80,,Defensive rebound by C. Kaman
8:04.0,,,89-83,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Lillard)
7:50.0,B. Udrih misses 2-pt shot from 4 ft (block by C. Kaman),,89-83,,
7:50.0,Offensive rebound by Team,,89-83,,
7:50.0,M. Conley enters the game for B. Udrih,,89-83,,
7:50.0,M. Gasol enters the game for K. Koufos,,89-83,,
7:50.0,,,89-83,,L. Aldridge enters the game for S. Blake
7:50.0,,,89-83,,N. Batum enters the game for J. Freeland
7:43.0,M. Conley misses 2-pt shot from 23 ft,,89-83,,
7:42.0,,,89-83,,Defensive rebound by W. Matthews
7:26.0,,,89-85,2,C. Kaman makes 2-pt shot from 1 ft (assist by D. Lillard)
7:03.0,Shooting foul by C. Kaman (drawn by M. Gasol),,89-85,,
7:03.0,M. Gasol makes free throw 1 of 2,1,90-85,,
7:03.0,M. Gasol makes free throw 2 of 2,1,91-85,,
6:45.0,,,91-85,,W. Matthews misses 3-pt shot from 24 ft
6:43.0,,,91-85,,Offensive rebound by Team
6:38.0,,,91-85,,C. Kaman misses 2-pt shot from 4 ft
6:37.0,Defensive rebound by M. Gasol,,91-85,,
6:21.0,,,91-85,,Personal foul by N. Batum (drawn by M. Gasol)
6:21.0,M. Gasol misses free throw 1 of 2,,91-85,,
6:21.0,Offensive rebound by Team,,91-85,,
6:21.0,M. Gasol makes free throw 2 of 2,1,92-85,,
6:08.0,,,92-85,,L. Aldridge misses 2-pt shot from 3 ft
6:07.0,Defensive rebound by M. Gasol,,92-85,,
5:53.0,Turnover by M. Conley (lost ball; steal by D. Lillard),,92-85,,
5:48.0,,,92-85,,D. Lillard misses 3-pt shot from 23 ft
5:48.0,,,92-85,,Offensive rebound by N. Batum
5:44.0,,,92-85,,D. Lillard misses 3-pt shot from 23 ft
5:43.0,Defensive rebound by M. Conley,,92-85,,
5:25.0,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol),2,94-85,,
5:25.0,,,94-85,,Portland full timeout
5:25.0,Z. Randolph enters the game for J. Leuer,,94-85,,
5:12.0,,,94-85,,N. Batum misses 3-pt shot from 24 ft
5:11.0,Defensive rebound by M. Conley,,94-85,,
4:55.0,M. Gasol misses 2-pt shot from 20 ft,,94-85,,
4:54.0,Offensive rebound by Z. Randolph,,94-85,,
4:53.0,Turnover by Z. Randolph (traveling),,94-85,,
4:42.0,,,94-87,2,C. Kaman makes 2-pt shot at rim (assist by D. Lillard)
4:17.0,M. Gasol makes 2-pt shot from 5 ft,2,96-87,,
4:17.0,Shooting foul by L. Aldridge (drawn by M. Gasol),,96-87,,
4:17.0,M. Gasol makes free throw 1 of 1,1,97-87,,
4:10.0,,,97-87,,Shooting foul by T. Allen (drawn by D. Lillard)
4:10.0,,,97-87,,D. Lillard misses free throw 1 of 2
4:10.0,,,97-87,,Offensive rebound by Team
4:10.0,,,97-88,1,D. Lillard makes free throw 2 of 2
3:54.0,Turnover by M. Gasol (lost ball; steal by D. Lillard),,97-88,,
3:42.0,,,97-88,,L. Aldridge misses 2-pt shot from 19 ft
3:41.0,Defensive rebound by M. Conley,,97-88,,
3:30.0,M. Conley misses 2-pt shot from 21 ft,,97-88,,
3:28.0,Offensive rebound by T. Allen,,97-88,,
3:28.0,Shooting foul by C. Kaman (drawn by T. Allen),,97-88,,
3:28.0,,,97-88,,R. Lopez enters the game for C. Kaman
3:28.0,T. Allen makes free throw 1 of 2,1,98-88,,
3:28.0,C. Lee enters the game for Q. Pondexter,,98-88,,
3:28.0,T. Allen makes free throw 2 of 2,1,99-88,,
3:15.0,,,99-88,,Shooting foul by M. Gasol (drawn by L. Aldridge)
3:15.0,,,99-89,1,L. Aldridge makes free throw 1 of 2
3:15.0,,,99-90,1,L. Aldridge makes free throw 2 of 2
