time,Atlanta,pts.away,score,pts.home,Milwaukee
4:36.0,Defensive rebound by J. Teague,,18-7,,
4:33.0,J. Teague misses 2-pt shot from 1 ft,,18-7,,
4:31.0,,,18-7,,Defensive rebound by Z. Pachulia
4:25.0,,,18-7,,Turnover by B. Knight (bad pass)
4:25.0,T. Sefolosha enters the game for D. Carroll,,18-7,,
4:25.0,,,18-7,,J. Bayless enters the game for Z. Pachulia
4:25.0,,,18-7,,J. Henson enters the game for K. Marshall
4:00.0,Turnover by Team (shot clock),,18-7,,
3:37.0,,,18-7,,K. Middleton misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by T. Sefolosha,,18-7,,
3:23.0,P. Millsap misses 2-pt shot from 10 ft,,18-7,,
3:22.0,,,18-7,,Defensive rebound by K. Middleton
3:18.0,Personal foul by J. Teague (drawn by J. Bayless),,18-7,,
3:18.0,D. Schroder enters the game for J. Teague,,18-7,,
2:59.0,,,18-7,,J. Bayless misses 2-pt shot from 16 ft
2:58.0,,,18-7,,Offensive rebound by J. Henson
2:42.0,Shooting block foul by T. Sefolosha (drawn by J. Henson),,18-7,,
2:42.0,Atlanta full timeout,,18-7,,
2:42.0,,,18-8,1,J. Henson makes free throw 1 of 2
2:42.0,,,18-8,,J. Henson misses free throw 2 of 2
2:41.0,Defensive rebound by T. Sefolosha,,18-8,,
2:29.0,Offensive foul by P. Antic,,18-8,,
2:29.0,Turnover by P. Antic (offensive foul),,18-8,,
2:29.0,D. Carroll enters the game for K. Korver,,18-8,,
2:08.0,,,18-8,,K. Middleton misses 2-pt shot from 6 ft
2:05.0,Defensive rebound by D. Carroll,,18-8,,
1:52.0,D. Carroll misses 2-pt shot from 5 ft,,18-8,,
1:51.0,Offensive rebound by Team,,18-8,,
1:37.0,D. Carroll misses 3-pt shot from 24 ft,,18-8,,
1:36.0,Offensive rebound by P. Antic,,18-8,,
1:32.0,P. Antic misses 2-pt shot from 2 ft (block by J. Henson),,18-8,,
1:29.0,Offensive rebound by D. Schroder,,18-8,,
1:26.0,P. Antic misses 3-pt shot from 24 ft,,18-8,,
1:26.0,Offensive rebound by Team,,18-8,,
1:17.0,T. Sefolosha misses 3-pt shot from 27 ft,,18-8,,
1:16.0,Offensive rebound by P. Antic,,18-8,,
1:16.0,,,18-8,,Loose ball foul by K. Middleton (drawn by P. Antic)
1:16.0,A. Horford enters the game for P. Millsap,,18-8,,
1:11.0,Turnover by D. Schroder (bad pass),,18-8,,
0:53.0,,,18-10,2,K. Middleton makes 2-pt shot from 6 ft (assist by J. Bayless)
0:33.0,T. Sefolosha makes 3-pt shot from 22 ft (assist by D. Carroll),3,21-10,,
0:21.0,,,21-10,,B. Knight misses 2-pt shot from 18 ft
0:20.0,Defensive rebound by A. Horford,,21-10,,
0:00.0,D. Schroder misses 2-pt shot from 6 ft (block by J. Henson),,21-10,,
0:00.0,Offensive rebound by Team,,21-10,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,21-12,2,J. Henson makes 2-pt shot at rim (assist by O. Mayo)
11:11.0,M. Scott misses 2-pt shot from 1 ft (block by J. Henson),,21-12,,
11:11.0,Offensive rebound by Team,,21-12,,
11:10.0,Turnover by Team (shot clock),,21-12,,
10:50.0,,,21-12,,K. Middleton misses 2-pt shot from 17 ft
10:49.0,Defensive rebound by Team,,21-12,,
10:27.0,M. Scott misses 3-pt shot from 23 ft,,21-12,,
10:26.0,Offensive rebound by T. Sefolosha,,21-12,,
10:24.0,T. Sefolosha misses 2-pt shot at rim (block by J. Henson),,21-12,,
10:22.0,,,21-12,,Defensive rebound by J. Henson
10:13.0,,,21-12,,O. Mayo misses 3-pt shot from 25 ft
10:12.0,Defensive rebound by A. Horford,,21-12,,
10:04.0,D. Schroder misses 3-pt shot from 25 ft,,21-12,,
10:00.0,Offensive rebound by D. Carroll,,21-12,,
9:55.0,D. Schroder misses 2-pt shot from 17 ft,,21-12,,
9:54.0,,,21-12,,Defensive rebound by J. Henson
9:46.0,,,21-14,2,J. Bayless makes 2-pt shot at rim
9:18.0,M. Scott misses 2-pt shot from 16 ft,,21-14,,
9:17.0,,,21-14,,Defensive rebound by J. Henson
9:09.0,,,21-14,,J. Henson misses 2-pt shot at rim
9:07.0,Defensive rebound by M. Scott,,21-14,,
8:55.0,A. Horford misses 2-pt shot from 7 ft,,21-14,,
8:54.0,,,21-14,,Defensive rebound by K. Middleton
8:50.0,,,21-14,,Offensive charge foul by J. Bayless
8:50.0,,,21-14,,Turnover by J. Bayless (offensive foul)
8:50.0,Official timeout,,21-14,,
8:50.0,J. Teague enters the game for D. Schroder,,21-14,,
8:40.0,,,21-14,,Personal foul by J. Henson (drawn by A. Horford)
8:28.0,Turnover by D. Carroll (lost ball; steal by J. Dudley),,21-14,,
8:24.0,,,21-14,,Turnover by O. Mayo (lost ball; steal by D. Carroll)
8:19.0,Offensive charge foul by T. Sefolosha,,21-14,,
8:19.0,Turnover by T. Sefolosha (offensive foul),,21-14,,
8:07.0,,,21-16,2,O. Mayo makes 2-pt shot from 16 ft
7:47.0,A. Horford misses 2-pt shot from 2 ft,,21-16,,
7:46.0,,,21-16,,Defensive rebound by J. Bayless
7:29.0,,,21-16,,Turnover by O. Mayo (bad pass; steal by T. Sefolosha)
7:22.0,M. Scott makes 2-pt shot at rim (assist by J. Teague),2,23-16,,
7:08.0,K. Korver enters the game for D. Carroll,,23-16,,
7:08.0,,,23-16,,Z. Pachulia enters the game for J. Henson
7:05.0,,,23-16,,O. Mayo misses 2-pt shot from 16 ft
7:04.0,Defensive rebound by A. Horford,,23-16,,
6:51.0,K. Korver misses 3-pt shot from 23 ft,,23-16,,
6:50.0,,,23-16,,Defensive rebound by Z. Pachulia
6:41.0,,,23-19,3,K. Middleton makes 3-pt shot from 23 ft (assist by O. Mayo)
6:24.0,K. Korver misses 2-pt shot from 9 ft,,23-19,,
6:22.0,,,23-19,,Defensive rebound by Z. Pachulia
6:16.0,,,23-22,3,O. Mayo makes 3-pt shot from 24 ft (assist by J. Dudley)
6:16.0,Atlanta full timeout,,23-22,,
6:16.0,P. Antic enters the game for A. Horford,,23-22,,
6:16.0,P. Millsap enters the game for M. Scott,,23-22,,
5:59.0,P. Millsap misses 3-pt shot from 25 ft,,23-22,,
5:57.0,,,23-22,,Defensive rebound by Team
5:46.0,,,23-25,3,K. Middleton makes 3-pt shot from 23 ft (assist by J. Bayless)
5:34.0,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague),2,25-25,,
5:16.0,,,25-27,2,Z. Pachulia makes 2-pt shot at rim
5:16.0,,,25-27,,Shooting foul by P. Millsap (drawn by Z. Pachulia)
5:16.0,,,25-28,1,Z. Pachulia makes free throw 1 of 1
5:08.0,Turnover by P. Antic (lost ball),,25-28,,
4:44.0,,,25-28,,K. Middleton misses 2-pt shot from 15 ft
4:43.0,Defensive rebound by P. Antic,,25-28,,
4:38.0,J. Teague makes 2-pt shot from 1 ft (assist by P. Antic),2,27-28,,
4:26.0,,,27-28,,J. Dudley misses 2-pt shot from 17 ft
4:25.0,Defensive rebound by T. Sefolosha,,27-28,,
4:19.0,Turnover by K. Korver (bad pass; steal by J. Dudley),,27-28,,
4:14.0,,,27-30,2,J. Dudley makes 2-pt shot from 1 ft (assist by Z. Pachulia)
3:52.0,T. Sefolosha makes 3-pt shot from 23 ft (assist by K. Korver),3,30-30,,
3:33.0,,,30-33,3,J. Dudley makes 3-pt shot from 25 ft (assist by J. Bayless)
3:17.0,P. Antic misses 3-pt shot from 26 ft,,30-33,,
3:16.0,,,30-33,,Defensive rebound by J. Dudley
3:14.0,,,30-33,,Milwaukee full timeout
3:14.0,D. Carroll enters the game for P. Antic,,30-33,,
3:14.0,A. Horford enters the game for T. Sefolosha,,30-33,,
3:14.0,,,30-33,,B. Knight enters the game for J. Dudley
3:14.0,,,30-33,,G. Antetokounmpo enters the game for J. Bayless
3:05.0,,,30-33,,O. Mayo misses 2-pt shot from 16 ft
3:03.0,Defensive rebound by J. Teague,,30-33,,
2:58.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,32-33,,
2:42.0,,,32-33,,Turnover by K. Middleton (bad pass; steal by A. Horford)
2:23.0,A. Horford misses 2-pt shot from 19 ft,,32-33,,
2:22.0,Offensive rebound by D. Carroll,,32-33,,
2:17.0,J. Teague misses 3-pt shot from 26 ft,,32-33,,
2:17.0,Offensive rebound by P. Millsap,,32-33,,
2:04.0,J. Teague misses 2-pt shot from 12 ft,,32-33,,
2:03.0,Offensive rebound by A. Horford,,32-33,,
2:00.0,P. Millsap makes 2-pt shot at rim (assist by A. Horford),2,34-33,,
1:43.0,,,34-33,,O. Mayo misses 3-pt shot from 25 ft
1:42.0,Defensive rebound by A. Horford,,34-33,,
1:36.0,,,34-33,,Personal foul by G. Antetokounmpo (drawn by P. Millsap)
1:25.0,A. Horford makes 2-pt shot from 16 ft (assist by J. Teague),2,36-33,,
1:01.0,,,36-33,,Turnover by G. Antetokounmpo (3 sec)
0:44.0,J. Teague makes 2-pt shot from 7 ft,2,38-33,,
0:35.0,,,38-35,2,Z. Pachulia makes 2-pt shot from 17 ft (assist by B. Knight)
0:28.0,,,38-35,,Shooting block foul by Z. Pachulia (drawn by A. Horford)
0:28.0,A. Horford makes free throw 1 of 2,1,39-35,,
0:28.0,A. Horford misses free throw 2 of 2,,39-35,,
0:27.0,,,39-35,,Defensive rebound by Z. Pachulia
0:04.0,,,39-37,2,G. Antetokounmpo makes 2-pt shot from 3 ft (assist by B. Knight)
0:00.0,J. Teague misses 2-pt shot from 6 ft,,39-37,,
0:00.0,Offensive rebound by Team,,39-37,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,39-40,3,K. Marshall makes 3-pt shot from 24 ft (assist by B. Knight)
11:29.0,,,39-40,,Personal block foul by G. Antetokounmpo (drawn by D. Carroll)
11:18.0,A. Horford misses 2-pt shot from 14 ft,,39-40,,
11:15.0,,,39-40,,Defensive rebound by J. O'Bryant
11:06.0,,,39-40,,B. Knight misses 3-pt shot from 26 ft
11:02.0,Defensive rebound by P. Millsap,,39-40,,
10:41.0,P. Millsap makes 2-pt shot from 3 ft,2,41-40,,
10:31.0,Personal foul by K. Korver (drawn by G. Antetokounmpo),,41-40,,
10:15.0,,,41-40,,J. O'Bryant misses 2-pt shot from 4 ft
10:14.0,,,41-40,,Offensive rebound by Z. Pachulia
10:08.0,,,41-40,,K. Marshall misses 3-pt shot from 25 ft
10:07.0,,,41-40,,Offensive rebound by Z. Pachulia
10:07.0,Jump ball: K. Korver vs. Z. Pachulia,,,,Jump ball: K. Korver vs. Z. Pachulia
10:07.0,,,41-40,,Turnover by Z. Pachulia (lost ball)
9:45.0,K. Korver makes 3-pt shot from 26 ft (assist by P. Millsap),3,44-40,,
9:32.0,,,44-40,,Shooting foul by P. Millsap (drawn by G. Antetokounmpo)
9:32.0,,,44-40,,G. Antetokounmpo misses free throw 1 of 2
9:32.0,,,44-40,,Offensive rebound by Team
9:32.0,,,44-41,1,G. Antetokounmpo makes free throw 2 of 2
9:28.0,Turnover by J. Teague (bad pass),,44-41,,
9:09.0,,,44-41,,Shooting foul by J. Teague (drawn by Z. Pachulia)
9:09.0,,,44-42,1,Z. Pachulia makes free throw 1 of 2
9:09.0,,,44-43,1,Z. Pachulia makes free throw 2 of 2
8:55.0,D. Carroll misses 3-pt shot from 25 ft,,44-43,,
8:55.0,Offensive rebound by Team,,44-43,,
8:49.0,A. Horford makes 2-pt shot from 1 ft (assist by K. Korver),2,46-43,,
8:32.0,,,46-43,,Turnover by K. Marshall (bad pass; steal by K. Korver)
8:17.0,P. Millsap makes 3-pt shot from 26 ft (assist by J. Teague),3,49-43,,
8:04.0,,,49-43,,Turnover by B. Knight (lost ball; steal by D. Carroll)
8:02.0,Shooting foul by J. O'Bryant (drawn by D. Carroll),,49-43,,
8:02.0,,,49-43,,Milwaukee full timeout
8:02.0,,,49-43,,J. Dudley enters the game for J. O'Bryant
8:02.0,D. Carroll makes free throw 1 of 2,1,50-43,,
8:02.0,D. Carroll misses free throw 2 of 2,,50-43,,
8:01.0,Offensive rebound by D. Carroll,,50-43,,
7:53.0,D. Carroll misses 2-pt shot from 2 ft,,50-43,,
7:51.0,Offensive rebound by A. Horford,,50-43,,
7:46.0,D. Carroll makes 3-pt shot from 23 ft (assist by K. Korver),3,53-43,,
7:33.0,,,53-43,,Turnover by G. Antetokounmpo (traveling)
7:23.0,J. Teague makes 2-pt shot at rim,2,55-43,,
7:02.0,,,55-43,,G. Antetokounmpo misses 2-pt shot from 6 ft
7:01.0,Defensive rebound by K. Korver,,55-43,,
6:52.0,A. Horford misses 2-pt shot from 4 ft,,55-43,,
6:51.0,,,55-43,,Defensive rebound by Z. Pachulia
6:49.0,Personal foul by D. Carroll (drawn by B. Knight),,55-43,,
6:49.0,,,55-43,,J. Bayless enters the game for G. Antetokounmpo
6:49.0,,,55-43,,O. Mayo enters the game for K. Marshall
6:49.0,,,55-43,,K. Middleton enters the game for B. Knight
6:44.0,,,55-45,2,Z. Pachulia makes 2-pt shot at rim
6:31.0,A. Horford makes 2-pt shot at rim (assist by D. Carroll),2,57-45,,
6:12.0,,,57-48,3,O. Mayo makes 3-pt shot from 23 ft (assist by J. Dudley)
6:01.0,P. Millsap misses 2-pt shot at rim,,57-48,,
5:59.0,,,57-48,,Defensive rebound by O. Mayo
5:54.0,,,57-50,2,K. Middleton makes 2-pt shot at rim (assist by J. Bayless)
5:32.0,A. Horford misses 2-pt shot from 17 ft,,57-50,,
5:30.0,Offensive rebound by D. Carroll,,57-50,,
5:27.0,A. Horford misses 2-pt shot from 2 ft,,57-50,,
5:26.0,,,57-50,,Defensive rebound by Z. Pachulia
5:10.0,,,57-50,,Milwaukee full timeout
5:10.0,P. Antic enters the game for A. Horford,,57-50,,
5:05.0,,,57-50,,J. Bayless misses 3-pt shot from 24 ft
5:04.0,,,57-50,,Offensive rebound by Z. Pachulia
5:01.0,,,57-52,2,J. Bayless makes 2-pt shot from 15 ft (assist by Z. Pachulia)
4:49.0,J. Teague misses 2-pt shot from 13 ft,,57-52,,
4:47.0,Offensive rebound by D. Carroll,,57-52,,
4:43.0,K. Korver misses 3-pt shot from 24 ft,,57-52,,
4:42.0,Offensive rebound by D. Carroll,,57-52,,
4:30.0,P. Antic makes 3-pt shot from 23 ft (assist by P. Millsap),3,60-52,,
4:12.0,,,60-54,2,O. Mayo makes 2-pt shot from 18 ft (assist by Z. Pachulia)
4:01.0,P. Millsap misses 3-pt shot from 26 ft,,60-54,,
4:00.0,,,60-54,,Defensive rebound by K. Middleton
3:55.0,Personal foul by J. Teague (drawn by J. Bayless),,60-54,,
3:55.0,,,60-55,1,J. Bayless makes free throw 1 of 2
3:55.0,T. Sefolosha enters the game for D. Carroll,,60-55,,
3:55.0,,,60-56,1,J. Bayless makes free throw 2 of 2
3:41.0,T. Sefolosha misses 3-pt shot from 24 ft,,60-56,,
3:40.0,Offensive rebound by P. Antic,,60-56,,
3:26.0,J. Teague misses 3-pt shot from 25 ft,,60-56,,
3:25.0,,,60-56,,Defensive rebound by O. Mayo
3:25.0,Personal foul by P. Antic (drawn by O. Mayo),,60-56,,
3:25.0,,,60-57,1,O. Mayo makes free throw 1 of 2
3:25.0,,,60-57,,J. Henson enters the game for Z. Pachulia
3:25.0,Atlanta full timeout,,60-57,,
3:25.0,,,60-58,1,O. Mayo makes free throw 2 of 2
3:01.0,Shooting foul by J. Dudley (drawn by J. Teague),,60-58,,
3:01.0,J. Teague makes free throw 1 of 2,1,61-58,,
3:01.0,J. Teague makes free throw 2 of 2,1,62-58,,
2:53.0,,,62-58,,Turnover by J. Dudley (bad pass; steal by T. Sefolosha)
2:46.0,P. Millsap misses 2-pt shot at rim,,62-58,,
2:44.0,Offensive rebound by P. Millsap,,62-58,,
2:44.0,P. Millsap makes 2-pt shot at rim,2,64-58,,
2:43.0,,,64-58,,Technical foul by J. Bayless
2:43.0,K. Korver misses technical free throw,,64-58,,
2:43.0,,,64-58,,Offensive rebound by Team
2:43.0,S. Mack enters the game for K. Korver,,64-58,,
2:26.0,,,64-58,,Turnover by O. Mayo (lost ball; steal by T. Sefolosha)
2:25.0,,,64-58,,Personal take foul by J. Dudley (drawn by J. Teague)
2:18.0,,,64-58,,Personal foul by J. Henson (drawn by J. Teague)
2:18.0,J. Teague makes free throw 1 of 2,1,65-58,,
2:18.0,J. Teague makes free throw 2 of 2,1,66-58,,
2:01.0,,,66-61,3,J. Bayless makes 3-pt shot from 26 ft (assist by J. Dudley)
1:38.0,P. Antic misses 2-pt shot from 17 ft,,66-61,,
1:37.0,,,66-61,,Defensive rebound by J. Bayless
1:35.0,,,66-61,,Turnover by J. Bayless (bad pass)
1:21.0,Turnover by J. Teague (lost ball; steal by J. Bayless),,66-61,,
1:00.0,M. Scott enters the game for P. Millsap,,66-61,,
1:00.0,D. Carroll enters the game for J. Teague,,66-61,,
1:00.0,A. Horford enters the game for P. Antic,,66-61,,
0:56.0,,,66-61,,O. Mayo misses 3-pt shot from 23 ft
0:55.0,Defensive rebound by A. Horford,,66-61,,
0:40.0,,,66-61,,Violation by J. Dudley (kicked ball)
0:32.0,A. Horford misses 2-pt shot from 17 ft,,66-61,,
0:31.0,,,66-61,,Defensive rebound by J. Dudley
0:26.0,,,66-63,2,J. Henson makes 2-pt shot from 4 ft (assist by O. Mayo)
0:02.0,Turnover by Team (shot clock),,66-63,,
0:01.0,,,66-63,,O. Mayo misses 3-pt shot from 32 ft (block by S. Mack)
0:00.0,,,66-63,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,A. Horford makes 2-pt shot at rim (assist by T. Sefolosha),2,68-63,,
11:32.0,,,68-66,3,K. Middleton makes 3-pt shot from 26 ft (assist by J. Bayless)
11:11.0,T. Sefolosha makes 2-pt shot at rim (assist by S. Mack),2,70-66,,
10:54.0,,,70-66,,Shooting foul by M. Scott (drawn by J. Dudley)
10:54.0,,,70-67,1,J. Dudley makes free throw 1 of 3
10:54.0,,,70-68,1,J. Dudley makes free throw 2 of 3
10:54.0,,,70-68,,J. Dudley misses free throw 3 of 3
10:53.0,Defensive rebound by T. Sefolosha,,70-68,,
10:32.0,S. Mack misses 2-pt shot from 3 ft (block by J. Bayless),,70-68,,
10:32.0,Offensive rebound by Team,,70-68,,
10:30.0,M. Scott misses 2-pt shot from 16 ft,,70-68,,
10:29.0,,,70-68,,Defensive rebound by J. Bayless
10:05.0,,,70-71,3,K. Middleton makes 3-pt shot from 23 ft (assist by O. Mayo)
9:47.0,A. Horford misses 2-pt shot from 4 ft (block by J. Henson),,70-71,,
9:47.0,,,70-71,,Defensive rebound by O. Mayo
9:47.0,Personal foul by A. Horford (drawn by O. Mayo),,70-71,,
9:25.0,,,70-71,,J. Bayless misses 3-pt shot from 26 ft
9:24.0,Defensive rebound by S. Mack,,70-71,,
9:08.0,A. Horford makes 2-pt shot from 18 ft (assist by S. Mack),2,72-71,,
8:44.0,,,72-73,2,K. Middleton makes 2-pt shot from 16 ft
8:28.0,Turnover by S. Mack (bad pass; steal by K. Middleton),,72-73,,
8:25.0,,,72-73,,Turnover by K. Middleton (lost ball)
8:25.0,Official timeout,,72-73,,
8:25.0,J. Teague enters the game for T. Sefolosha,,72-73,,
8:25.0,P. Millsap enters the game for M. Scott,,72-73,,
8:25.0,K. Korver enters the game for S. Mack,,72-73,,
8:25.0,,,72-73,,Z. Pachulia enters the game for J. Henson
8:04.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,74-73,,
7:44.0,,,74-73,,J. Dudley misses 2-pt shot from 16 ft
7:42.0,Defensive rebound by D. Carroll,,74-73,,
7:24.0,P. Millsap misses 2-pt shot from 1 ft (block by O. Mayo),,74-73,,
7:21.0,,,74-73,,Defensive rebound by Z. Pachulia
7:14.0,,,74-73,,J. Bayless misses 3-pt shot from 23 ft
7:13.0,Defensive rebound by J. Teague,,74-73,,
7:07.0,K. Korver misses 3-pt shot from 25 ft,,74-73,,
7:06.0,Offensive rebound by P. Millsap,,74-73,,
6:55.0,P. Millsap makes 2-pt shot from 5 ft,2,76-73,,
6:39.0,,,76-73,,O. Mayo misses 2-pt shot from 17 ft
6:38.0,Defensive rebound by P. Millsap,,76-73,,
6:35.0,P. Antic enters the game for A. Horford,,76-73,,
6:35.0,,,76-73,,B. Knight enters the game for O. Mayo
6:35.0,T. Sefolosha enters the game for D. Carroll,,76-73,,
6:16.0,Turnover by Team (shot clock),,76-73,,
6:12.0,Personal block foul by P. Antic (drawn by J. Bayless),,76-73,,
5:56.0,,,76-75,2,Z. Pachulia makes 2-pt shot from 4 ft (assist by K. Middleton)
5:40.0,Turnover by K. Korver (lost ball; steal by J. Bayless),,76-75,,
5:36.0,,,76-75,,Turnover by J. Bayless (bad pass; steal by J. Teague)
5:35.0,Shooting foul by J. Dudley (drawn by J. Teague),,76-75,,
5:35.0,,,76-75,,Milwaukee full timeout
5:35.0,J. Teague makes free throw 1 of 2,1,77-75,,
5:35.0,J. Teague makes free throw 2 of 2,1,78-75,,
5:17.0,,,78-75,,J. Dudley misses 3-pt shot from 23 ft
5:15.0,Defensive rebound by T. Sefolosha,,78-75,,
5:04.0,J. Teague makes 2-pt shot from 5 ft,2,80-75,,
4:50.0,,,80-75,,J. Bayless misses 2-pt shot from 10 ft
4:50.0,Defensive rebound by Team,,80-75,,
4:50.0,,,80-75,,G. Antetokounmpo enters the game for J. Dudley
4:38.0,J. Teague makes 2-pt shot at rim,2,82-75,,
4:24.0,,,82-75,,K. Middleton misses 3-pt shot from 23 ft
4:23.0,Defensive rebound by K. Korver,,82-75,,
4:06.0,K. Korver misses 2-pt shot from 8 ft,,82-75,,
4:05.0,,,82-75,,Defensive rebound by Z. Pachulia
3:59.0,,,82-77,2,B. Knight makes 2-pt shot at rim
3:42.0,P. Millsap misses 3-pt shot from 24 ft,,82-77,,
3:41.0,,,82-77,,Defensive rebound by K. Middleton
3:31.0,,,82-80,3,B. Knight makes 3-pt shot from 26 ft (assist by J. Bayless)
3:31.0,Atlanta full timeout,,82-80,,
3:31.0,D. Carroll enters the game for P. Antic,,82-80,,
3:28.0,A. Horford enters the game for T. Sefolosha,,82-80,,
3:18.0,,,82-80,,K. Marshall enters the game for Z. Pachulia
3:18.0,,,82-80,,J. Henson enters the game for J. Bayless
3:16.0,Shooting foul by K. Middleton (drawn by J. Teague),,82-80,,
3:16.0,J. Teague makes free throw 1 of 2,1,83-80,,
3:16.0,J. Teague makes free throw 2 of 2,1,84-80,,
2:58.0,,,84-80,,B. Knight misses 3-pt shot from 23 ft
2:57.0,Defensive rebound by A. Horford,,84-80,,
2:43.0,A. Horford misses 2-pt shot from 15 ft,,84-80,,
