time,Milwaukee,pts.away,score,pts.home,Atlanta
3:19.0,Offensive rebound by Z. Pachulia,,75-87,,
3:19.0,Z. Pachulia makes 2-pt shot at rim,2,77-87,,
2:56.0,,,77-89,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
2:54.0,Milwaukee full timeout,,77-89,,
2:46.0,K. Middleton misses 3-pt shot from 23 ft,,77-89,,
2:44.0,,,77-89,,Defensive rebound by K. Korver
2:31.0,,,77-92,3,D. Carroll makes 3-pt shot from 22 ft (assist by J. Teague)
2:21.0,Shooting foul by A. Horford (drawn by J. Bayless),,77-92,,
2:21.0,J. Bayless makes free throw 1 of 2,1,78-92,,
2:21.0,J. Bayless makes free throw 2 of 2,1,79-92,,
2:06.0,Personal foul by J. Bayless (drawn by J. Teague),,79-92,,
2:06.0,,,79-93,1,J. Teague makes free throw 1 of 2
2:06.0,,,79-93,,T. Sefolosha enters the game for D. Carroll
2:06.0,,,79-94,1,J. Teague makes free throw 2 of 2
1:58.0,Shooting foul by K. Korver (drawn by Z. Pachulia),,79-94,,
1:58.0,Z. Pachulia makes 2-pt shot at rim (assist by K. Middleton),2,81-94,,
1:58.0,Z. Pachulia misses free throw 1 of 1,,81-94,,
1:57.0,,,81-94,,Defensive rebound by T. Sefolosha
1:34.0,,,81-96,2,T. Sefolosha makes 2-pt shot from 17 ft (assist by P. Millsap)
1:29.0,K. Middleton makes 2-pt shot from 6 ft,2,83-96,,
1:22.0,,,83-96,,Atlanta full timeout
1:22.0,M. Carter-Williams enters the game for G. Antetokounmpo,,83-96,,
1:22.0,J. O'Bryant enters the game for E. Ilyasova,,83-96,,
1:22.0,T. Ennis enters the game for Z. Pachulia,,83-96,,
1:22.0,M. Plumlee enters the game for K. Middleton,,83-96,,
1:22.0,J. Henson enters the game for J. Bayless,,83-96,,
1:22.0,,,83-96,,S. Mack enters the game for P. Millsap
1:22.0,,,83-96,,P. Antic enters the game for A. Horford
1:22.0,,,83-96,,M. Muscala enters the game for K. Korver
1:22.0,,,83-96,,K. Bazemore enters the game for J. Teague
1:11.0,,,83-98,2,T. Sefolosha makes 2-pt shot from 1 ft
0:56.0,J. O'Bryant makes 2-pt shot from 6 ft,2,85-98,,
0:56.0,Shooting foul by M. Muscala (drawn by J. O'Bryant),,85-98,,
0:56.0,J. O'Bryant makes free throw 1 of 1,1,86-98,,
0:39.0,,,86-101,3,T. Sefolosha makes 3-pt shot from 23 ft (assist by S. Mack)
0:17.0,J. Henson makes 2-pt shot at rim (assist by T. Ennis),2,88-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
