time,Toronto,pts.away,score,pts.home,Memphis
0:37.0,P. Patterson makes free throw 1 of 2,1,15-16,,
0:37.0,,,15-16,,T. Allen enters the game for J. Green
0:37.0,P. Patterson makes free throw 2 of 2,1,16-16,,
0:24.0,,,16-16,,V. Carter misses 3-pt shot from 26 ft
0:22.0,Defensive rebound by T. Ross,,16-16,,
0:01.0,L. Williams misses 3-pt shot from 27 ft,,16-16,,
0:00.0,Offensive rebound by Team,,16-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,P. Patterson misses 3-pt shot from 24 ft,,16-16,,
11:34.0,,,16-16,,Defensive rebound by B. Udrih
11:21.0,,,16-16,,Shooting foul by P. Patterson (drawn by B. Udrih)
11:21.0,,,16-17,1,B. Udrih makes free throw 1 of 2
11:21.0,K. Lowry enters the game for T. Ross,,16-17,,
11:21.0,,,16-18,1,B. Udrih makes free throw 2 of 2
11:01.0,L. Williams makes 3-pt shot from 23 ft (assist by T. Hansbrough),3,19-18,,
10:36.0,,,19-18,,B. Udrih misses 2-pt shot from 2 ft (block by J. Johnson)
10:33.0,Defensive rebound by J. Johnson,,19-18,,
10:20.0,P. Patterson makes 2-pt shot from 4 ft (assist by K. Lowry),2,21-18,,
10:12.0,,,21-18,,C. Lee misses 2-pt shot at rim (block by K. Lowry)
10:12.0,,,21-18,,Offensive rebound by Team
10:12.0,,,21-18,,M. Gasol enters the game for T. Allen
9:58.0,,,21-20,2,B. Udrih makes 2-pt shot from 20 ft (assist by V. Carter)
9:41.0,L. Williams misses 3-pt shot from 26 ft,,21-20,,
9:40.0,,,21-20,,Defensive rebound by K. Koufos
9:23.0,,,21-22,2,M. Gasol makes 2-pt shot from 14 ft
9:08.0,K. Lowry misses 2-pt shot from 19 ft,,21-22,,
9:06.0,,,21-22,,Defensive rebound by V. Carter
8:57.0,,,21-22,,V. Carter misses 2-pt shot from 12 ft
8:55.0,Defensive rebound by P. Patterson,,21-22,,
8:47.0,Turnover by K. Lowry (lost ball; steal by C. Lee),,21-22,,
8:42.0,,,21-24,2,B. Udrih makes 2-pt shot at rim (assist by V. Carter)
8:37.0,Toronto full timeout,,21-24,,
8:37.0,G. Vasquez enters the game for L. Williams,,21-24,,
8:23.0,Shooting foul by K. Koufos (drawn by P. Patterson),,21-24,,
8:23.0,P. Patterson makes free throw 1 of 2,1,22-24,,
8:23.0,P. Patterson makes free throw 2 of 2,1,23-24,,
7:58.0,,,23-24,,M. Gasol misses 2-pt shot from 19 ft
7:56.0,Defensive rebound by G. Vasquez,,23-24,,
7:51.0,K. Lowry misses 3-pt shot from 25 ft,,23-24,,
7:48.0,Offensive rebound by T. Hansbrough,,23-24,,
7:33.0,P. Patterson misses 3-pt shot from 22 ft,,23-24,,
7:31.0,Offensive rebound by K. Lowry,,23-24,,
7:31.0,K. Lowry makes 2-pt shot at rim,2,25-24,,
7:31.0,,,25-24,,Memphis full timeout
7:31.0,,,25-24,,Z. Randolph enters the game for C. Lee
7:31.0,,,25-24,,J. Green enters the game for K. Koufos
7:31.0,,,25-24,,T. Allen enters the game for V. Carter
7:16.0,,,25-24,,J. Green misses 2-pt shot from 20 ft
7:15.0,Defensive rebound by K. Lowry,,25-24,,
7:02.0,G. Vasquez makes 2-pt shot from 19 ft,2,27-24,,
6:40.0,,,27-24,,Shooting foul by T. Hansbrough (drawn by M. Gasol)
6:40.0,,,27-25,1,M. Gasol makes free throw 1 of 2
6:40.0,,,27-26,1,M. Gasol makes free throw 2 of 2
6:18.0,K. Lowry misses 3-pt shot from 23 ft,,27-26,,
6:16.0,Offensive rebound by P. Patterson,,27-26,,
6:16.0,Turnover by P. Patterson (step out of bounds),,27-26,,
6:16.0,A. Johnson enters the game for P. Patterson,,27-26,,
5:58.0,,,27-28,2,M. Gasol makes 2-pt shot from 5 ft
5:32.0,G. Vasquez misses 2-pt shot from 5 ft,,27-28,,
5:31.0,Offensive rebound by T. Hansbrough,,27-28,,
5:25.0,Shooting foul by Z. Randolph (drawn by A. Johnson),,27-28,,
5:25.0,A. Johnson misses free throw 1 of 2,,27-28,,
5:25.0,Offensive rebound by Team,,27-28,,
5:25.0,D. DeRozan enters the game for J. Johnson,,27-28,,
5:25.0,A. Johnson makes free throw 2 of 2,1,28-28,,
5:08.0,,,28-30,2,M. Gasol makes 2-pt shot from 9 ft
4:46.0,G. Vasquez misses 3-pt shot from 25 ft,,28-30,,
4:44.0,Offensive rebound by A. Johnson,,28-30,,
4:44.0,A. Johnson makes 2-pt shot at rim,2,30-30,,
4:25.0,,,30-32,2,T. Allen makes 2-pt shot at rim (assist by M. Gasol)
3:58.0,A. Johnson misses 2-pt shot from 6 ft,,30-32,,
3:57.0,Offensive rebound by T. Hansbrough,,30-32,,
3:55.0,T. Hansbrough makes 2-pt shot at rim,2,32-32,,
3:33.0,,,32-34,2,J. Green makes 2-pt shot from 8 ft
3:22.0,D. DeRozan misses 2-pt shot from 19 ft,,32-34,,
3:20.0,,,32-34,,Defensive rebound by Z. Randolph
3:16.0,Personal block foul by T. Hansbrough (drawn by M. Gasol),,32-34,,
3:16.0,L. Williams enters the game for G. Vasquez,,32-34,,
3:16.0,,,32-34,,M. Conley enters the game for B. Udrih
3:16.0,J. Valanciunas enters the game for T. Hansbrough,,32-34,,
3:09.0,,,32-34,,Turnover by Z. Randolph (lost ball; steal by K. Lowry)
3:03.0,,,32-34,,Personal foul by T. Allen (drawn by D. DeRozan)
3:03.0,,,32-34,,N. Calathes enters the game for T. Allen
2:52.0,A. Johnson makes 2-pt shot at rim (assist by K. Lowry),2,34-34,,
2:31.0,,,34-36,2,M. Gasol makes 2-pt shot from 7 ft
2:31.0,,,34-36,,Shooting foul by A. Johnson (drawn by M. Gasol)
2:31.0,,,34-36,,Memphis full timeout
2:31.0,,,34-37,1,M. Gasol makes free throw 1 of 1
2:17.0,K. Lowry misses 2-pt shot from 14 ft,,34-37,,
2:16.0,,,34-37,,Defensive rebound by Z. Randolph
1:57.0,,,34-37,,Z. Randolph misses 2-pt shot from 5 ft
1:54.0,Defensive rebound by L. Williams,,34-37,,
1:40.0,D. DeRozan misses 2-pt shot from 5 ft (block by J. Green),,34-37,,
1:36.0,,,34-37,,Defensive rebound by N. Calathes
1:31.0,P. Patterson enters the game for A. Johnson,,34-37,,
1:23.0,,,34-39,2,M. Gasol makes 2-pt shot from 19 ft (assist by N. Calathes)
1:07.0,Shooting foul by M. Gasol (drawn by J. Valanciunas),,34-39,,
1:07.0,J. Valanciunas makes free throw 1 of 2,1,35-39,,
1:07.0,J. Valanciunas makes free throw 2 of 2,1,36-39,,
0:59.0,,,36-39,,M. Conley misses 2-pt shot at rim
0:58.0,,,36-39,,Offensive rebound by M. Gasol
0:58.0,,,36-39,,M. Gasol misses 2-pt shot at rim
0:56.0,Defensive rebound by K. Lowry,,36-39,,
0:51.0,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry),2,38-39,,
0:43.0,Personal foul by K. Lowry (drawn by M. Conley),,38-39,,
0:43.0,,,38-40,1,M. Conley makes free throw 1 of 2
0:43.0,,,38-41,1,M. Conley makes free throw 2 of 2
0:32.0,L. Williams misses 3-pt shot from 26 ft,,38-41,,
0:31.0,,,38-41,,Defensive rebound by Z. Randolph
0:16.0,,,38-41,,Memphis full timeout
0:16.0,,,38-41,,C. Lee enters the game for N. Calathes
0:10.0,,,38-41,,M. Gasol misses 2-pt shot at rim (block by J. Valanciunas)
0:08.0,Defensive rebound by J. Valanciunas,,38-41,,
0:03.0,Offensive foul by P. Patterson,,38-41,,
0:03.0,Turnover by P. Patterson (offensive foul),,38-41,,
0:01.0,,,38-41,,M. Conley misses 2-pt shot from 18 ft
0:00.0,,,38-41,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Shooting foul by J. Green (drawn by D. DeRozan),,38-41,,
11:48.0,D. DeRozan makes free throw 1 of 2,1,39-41,,
11:48.0,D. DeRozan makes free throw 2 of 2,1,40-41,,
11:31.0,,,40-43,2,M. Conley makes 2-pt shot at rim (assist by M. Gasol)
11:10.0,A. Johnson misses 2-pt shot from 2 ft (block by M. Gasol),,40-43,,
11:10.0,Offensive rebound by Team,,40-43,,
11:06.0,D. DeRozan misses 2-pt shot from 17 ft,,40-43,,
11:05.0,Offensive rebound by G. Vasquez,,40-43,,
10:58.0,G. Vasquez misses 3-pt shot from 26 ft,,40-43,,
10:56.0,,,40-43,,Defensive rebound by J. Green
10:39.0,,,40-43,,Shooting foul by K. Lowry (drawn by Z. Randolph)
10:39.0,,,40-43,,Z. Randolph misses free throw 1 of 2
10:39.0,,,40-43,,Offensive rebound by Team
10:39.0,,,40-44,1,Z. Randolph makes free throw 2 of 2
10:23.0,D. DeRozan misses 2-pt shot from 17 ft,,40-44,,
10:22.0,Offensive rebound by J. Valanciunas,,40-44,,
10:20.0,Shooting foul by M. Gasol (drawn by J. Valanciunas),,40-44,,
10:20.0,J. Valanciunas makes free throw 1 of 2,1,41-44,,
10:20.0,J. Valanciunas makes free throw 2 of 2,1,42-44,,
9:56.0,,,42-44,,M. Gasol misses 2-pt shot from 20 ft
9:55.0,,,42-44,,Offensive rebound by M. Conley
9:52.0,,,42-44,,J. Green misses 3-pt shot from 25 ft
9:51.0,,,42-44,,Offensive rebound by T. Allen
9:29.0,,,42-46,2,T. Allen makes 2-pt shot from 2 ft
9:03.0,J. Valanciunas makes 2-pt shot from 5 ft (assist by A. Johnson),2,44-46,,
8:42.0,,,44-46,,Turnover by M. Conley (bad pass; steal by J. Valanciunas)
8:27.0,A. Johnson makes 2-pt shot from 15 ft (assist by G. Vasquez),2,46-46,,
8:08.0,,,46-48,2,T. Allen makes 2-pt shot from 20 ft (assist by M. Conley)
7:47.0,A. Johnson misses 2-pt shot from 4 ft,,46-48,,
7:44.0,,,46-48,,Defensive rebound by T. Allen
7:40.0,,,46-48,,Offensive charge foul by J. Green
7:40.0,,,46-48,,Turnover by J. Green (offensive foul)
7:40.0,,,46-48,,C. Lee enters the game for J. Green
7:23.0,Shooting foul by M. Gasol (drawn by A. Johnson),,46-48,,
7:23.0,A. Johnson makes free throw 1 of 2,1,47-48,,
7:23.0,,,47-48,,K. Koufos enters the game for M. Gasol
7:23.0,A. Johnson makes free throw 2 of 2,1,48-48,,
7:05.0,,,48-48,,T. Allen misses 2-pt shot from 1 ft
7:04.0,,,48-48,,Offensive rebound by Z. Randolph
7:04.0,,,48-48,,Shooting foul by J. Valanciunas (drawn by Z. Randolph)
7:04.0,,,48-49,1,Z. Randolph makes free throw 1 of 2
7:04.0,,,48-50,1,Z. Randolph makes free throw 2 of 2
6:41.0,K. Lowry makes 2-pt shot from 19 ft,2,50-50,,
6:27.0,,,50-50,,T. Allen misses 2-pt shot from 1 ft (block by D. DeRozan)
6:25.0,,,50-50,,Offensive rebound by Team
6:21.0,,,50-50,,M. Conley misses 3-pt shot from 24 ft
6:20.0,,,50-50,,Offensive rebound by K. Koufos
6:19.0,,,50-50,,Shooting foul by D. DeRozan (drawn by K. Koufos)
6:19.0,,,50-51,1,K. Koufos makes free throw 1 of 2
6:19.0,,,50-52,1,K. Koufos makes free throw 2 of 2
6:04.0,G. Vasquez misses 3-pt shot from 25 ft,,50-52,,
6:04.0,Offensive rebound by J. Valanciunas,,50-52,,
6:04.0,,,50-52,,Loose ball foul by K. Koufos (drawn by J. Valanciunas)
5:52.0,Turnover by K. Lowry (traveling),,50-52,,
5:52.0,,,50-52,,Memphis full timeout
5:52.0,P. Patterson enters the game for A. Johnson,,50-52,,
5:52.0,L. Williams enters the game for G. Vasquez,,50-52,,
5:38.0,,,50-54,2,Z. Randolph makes 2-pt shot at rim
5:26.0,K. Lowry misses 2-pt shot from 20 ft,,50-54,,
5:24.0,Offensive rebound by Team,,50-54,,
5:12.0,K. Lowry misses 2-pt shot at rim (block by C. Lee),,50-54,,
5:09.0,Offensive rebound by J. Valanciunas,,50-54,,
5:08.0,J. Valanciunas misses 2-pt shot from 1 ft (block by K. Koufos),,50-54,,
5:06.0,,,50-54,,Defensive rebound by T. Allen
4:58.0,,,50-54,,Turnover by M. Conley (back court)
4:45.0,D. DeRozan makes 2-pt shot from 9 ft,2,52-54,,
4:30.0,Personal foul by J. Valanciunas (drawn by Z. Randolph),,52-54,,
4:20.0,,,52-54,,Z. Randolph misses 2-pt shot from 15 ft
4:19.0,Defensive rebound by D. DeRozan,,52-54,,
4:06.0,J. Valanciunas misses 2-pt shot from 1 ft (block by Z. Randolph),,52-54,,
4:04.0,,,52-54,,Defensive rebound by K. Koufos
3:54.0,,,52-54,,Turnover by M. Conley (bad pass; steal by K. Lowry)
3:51.0,L. Williams misses 2-pt shot from 1 ft (block by K. Koufos),,52-54,,
3:48.0,Offensive rebound by L. Williams,,52-54,,
3:48.0,L. Williams misses 2-pt shot at rim,,52-54,,
3:44.0,,,52-54,,Defensive rebound by M. Conley
3:40.0,,,52-54,,Turnover by K. Koufos (offensive foul)
3:40.0,,,52-54,,Offensive foul by K. Koufos
3:40.0,,,52-54,,B. Udrih enters the game for M. Conley
3:28.0,D. DeRozan misses 2-pt shot from 20 ft,,52-54,,
3:27.0,Offensive rebound by P. Patterson,,52-54,,
3:23.0,P. Patterson misses 3-pt shot from 22 ft,,52-54,,
3:22.0,Offensive rebound by K. Lowry,,52-54,,
3:13.0,K. Lowry makes 2-pt shot from 5 ft,2,54-54,,
2:52.0,Personal foul by K. Lowry (drawn by K. Koufos),,54-54,,
2:52.0,Toronto full timeout,,54-54,,
2:52.0,T. Ross enters the game for D. DeRozan,,54-54,,
2:52.0,,,54-55,1,K. Koufos makes free throw 1 of 2
2:52.0,,,54-56,1,K. Koufos makes free throw 2 of 2
2:40.0,K. Lowry misses 2-pt shot from 20 ft,,54-56,,
2:37.0,,,54-56,,Defensive rebound by K. Koufos
2:25.0,,,54-56,,Turnover by B. Udrih (lost ball; steal by P. Patterson)
2:21.0,L. Williams makes 2-pt shot from 2 ft (assist by P. Patterson),2,56-56,,
2:00.0,,,56-58,2,Z. Randolph makes 2-pt shot from 4 ft
1:45.0,K. Lowry makes 2-pt shot at rim,2,58-58,,
1:42.0,Violation by Team (delay of game),,58-58,,
1:28.0,,,58-58,,B. Udrih misses 2-pt shot from 18 ft
1:26.0,Defensive rebound by L. Williams,,58-58,,
1:16.0,K. Lowry misses 3-pt shot from 25 ft,,58-58,,
1:15.0,Offensive rebound by P. Patterson,,58-58,,
1:08.0,L. Williams makes 2-pt shot from 5 ft,2,60-58,,
1:08.0,Shooting foul by B. Udrih (drawn by L. Williams),,60-58,,
1:08.0,,,60-58,,N. Calathes enters the game for T. Allen
1:08.0,G. Vasquez enters the game for K. Lowry,,60-58,,
1:08.0,L. Williams makes free throw 1 of 1,1,61-58,,
0:52.0,,,61-58,,B. Udrih misses 2-pt shot from 14 ft
0:49.0,Defensive rebound by J. Valanciunas,,61-58,,
0:48.0,Turnover by L. Williams (lost ball; steal by C. Lee),,61-58,,
0:32.0,,,61-58,,K. Koufos misses 2-pt shot from 1 ft
0:31.0,,,61-58,,Offensive rebound by K. Koufos
0:31.0,,,61-60,2,K. Koufos makes 2-pt shot from 1 ft
0:15.0,Turnover by L. Williams (bad pass; steal by K. Koufos),,61-60,,
0:01.0,,,61-60,,N. Calathes misses 2-pt shot from 20 ft
0:00.0,,,61-60,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,61-62,2,M. Gasol makes 2-pt shot from 5 ft (assist by J. Leuer)
11:25.0,Turnover by P. Patterson (bad pass; steal by C. Lee),,61-62,,
11:19.0,,,61-64,2,M. Gasol makes 2-pt shot from 9 ft (assist by N. Calathes)
10:50.0,T. Ross misses 2-pt shot from 14 ft,,61-64,,
10:48.0,,,61-64,,Defensive rebound by M. Gasol
10:33.0,,,61-66,2,J. Leuer makes 2-pt shot from 15 ft (assist by M. Gasol)
10:32.0,Toronto full timeout,,61-66,,
10:18.0,G. Vasquez misses 2-pt shot from 5 ft,,61-66,,
10:16.0,Offensive rebound by T. Hansbrough,,61-66,,
10:14.0,L. Williams misses 3-pt shot from 22 ft,,61-66,,
10:11.0,,,61-66,,Defensive rebound by C. Lee
10:00.0,,,61-68,2,N. Calathes makes 2-pt shot from 1 ft (assist by M. Gasol)
9:39.0,P. Patterson misses 3-pt shot from 25 ft,,61-68,,
9:38.0,,,61-68,,Defensive rebound by C. Lee
9:24.0,,,61-68,,J. Leuer misses 2-pt shot from 20 ft
9:23.0,Defensive rebound by T. Hansbrough,,61-68,,
9:17.0,Shooting foul by B. Udrih (drawn by G. Vasquez),,61-68,,
9:17.0,G. Vasquez makes free throw 1 of 2,1,62-68,,
9:17.0,A. Johnson enters the game for T. Hansbrough,,62-68,,
9:17.0,G. Vasquez misses free throw 2 of 2,,62-68,,
9:15.0,,,62-68,,Defensive rebound by N. Calathes
9:02.0,Personal foul by A. Johnson (drawn by M. Gasol),,62-68,,
9:02.0,K. Lowry enters the game for G. Vasquez,,62-68,,
8:49.0,,,62-68,,C. Lee misses 3-pt shot from 24 ft
8:48.0,Defensive rebound by K. Lowry,,62-68,,
8:46.0,,,62-68,,Personal foul by N. Calathes (drawn by K. Lowry)
8:28.0,L. Williams misses 3-pt shot from 24 ft,,62-68,,
8:25.0,,,62-68,,Defensive rebound by C. Lee
8:11.0,,,62-68,,Shooting foul by P. Patterson (drawn by M. Gasol)
8:11.0,,,62-69,1,M. Gasol makes free throw 1 of 2
8:11.0,,,62-69,,M. Gasol misses free throw 2 of 2
8:10.0,Defensive rebound by P. Patterson,,62-69,,
7:50.0,T. Ross misses 2-pt shot from 20 ft,,62-69,,
7:49.0,,,62-69,,Defensive rebound by J. Leuer
7:49.0,Personal foul by K. Lowry (drawn by J. Leuer),,62-69,,
7:49.0,D. DeRozan enters the game for L. Williams,,62-69,,
7:26.0,,,62-69,,M. Gasol misses 2-pt shot from 20 ft
7:25.0,Defensive rebound by T. Ross,,62-69,,
7:11.0,K. Lowry makes 2-pt shot from 12 ft,2,64-69,,
6:58.0,,,64-69,,J. Leuer misses 2-pt shot from 20 ft
6:57.0,Defensive rebound by T. Ross,,64-69,,
6:47.0,Offensive foul by A. Johnson,,64-69,,
6:47.0,Turnover by A. Johnson (offensive foul),,64-69,,
6:47.0,J. Valanciunas enters the game for P. Patterson,,64-69,,
6:30.0,,,64-69,,M. Gasol misses 2-pt shot from 8 ft
6:28.0,Defensive rebound by J. Valanciunas,,64-69,,
6:20.0,Turnover by D. DeRozan (bad pass; steal by N. Calathes),,64-69,,
6:16.0,,,64-71,2,N. Calathes makes 2-pt shot at rim
6:05.0,Shooting foul by N. Calathes (drawn by K. Lowry),,64-71,,
6:05.0,K. Lowry makes free throw 1 of 3,1,65-71,,
6:05.0,K. Lowry makes free throw 2 of 3,1,66-71,,
6:05.0,K. Lowry makes free throw 3 of 3,1,67-71,,
5:51.0,,,67-71,,Turnover by J. Leuer (traveling)
5:51.0,Toronto full timeout,,67-71,,
5:51.0,,,67-71,,M. Conley enters the game for B. Udrih
5:51.0,,,67-71,,Z. Randolph enters the game for J. Leuer
5:35.0,K. Lowry makes 3-pt shot from 22 ft (assist by D. DeRozan),3,70-71,,
5:16.0,,,70-73,2,N. Calathes makes 2-pt shot at rim (assist by M. Gasol)
4:52.0,K. Lowry misses 2-pt shot from 1 ft,,70-73,,
4:48.0,,,70-73,,Defensive rebound by C. Lee
4:40.0,,,70-73,,M. Conley misses 3-pt shot from 26 ft
4:39.0,Defensive rebound by A. Johnson,,70-73,,
4:30.0,Turnover by D. DeRozan (lost ball; steal by N. Calathes),,70-73,,
4:26.0,,,70-73,,N. Calathes misses 2-pt shot from 1 ft (block by T. Ross)
4:23.0,Defensive rebound by J. Valanciunas,,70-73,,
4:15.0,T. Ross misses 3-pt shot from 23 ft,,70-73,,
4:15.0,,,70-73,,Defensive rebound by M. Gasol
4:09.0,,,70-73,,M. Conley misses 2-pt shot at rim
4:07.0,,,70-73,,Offensive rebound by Z. Randolph
4:07.0,,,70-75,2,Z. Randolph makes 2-pt shot at rim
3:47.0,J. Valanciunas misses 2-pt shot from 5 ft,,70-75,,
3:45.0,,,70-75,,Defensive rebound by M. Gasol
3:35.0,,,70-77,2,Z. Randolph makes 2-pt shot from 11 ft
3:34.0,Toronto full timeout,,70-77,,
3:34.0,L. Williams enters the game for T. Ross,,70-77,,
3:22.0,,,70-77,,Personal foul by Z. Randolph (drawn by A. Johnson)
3:14.0,K. Lowry makes 3-pt shot from 23 ft (assist by A. Johnson),3,73-77,,
2:53.0,,,73-77,,Shooting foul by J. Valanciunas (drawn by Z. Randolph)
2:53.0,,,73-77,,Memphis full timeout
2:53.0,,,73-77,,J. Green enters the game for N. Calathes
2:53.0,,,73-77,,Z. Randolph misses free throw 1 of 2
2:53.0,,,73-77,,Offensive rebound by Team
2:53.0,,,73-77,,Z. Randolph misses free throw 2 of 2
2:52.0,,,73-77,,Offensive rebound by M. Gasol
2:40.0,Personal foul by L. Williams (drawn by M. Gasol),,73-77,,
2:40.0,,,73-78,1,M. Gasol makes free throw 1 of 2
