time,LA Lakers,pts.away,score,pts.home,Minnesota
2:52.0,Offensive rebound by Team,,43-38,,
2:52.0,LA Lakers full timeout,,43-38,,
2:49.0,E. Davis misses 2-pt shot from 2 ft,,43-38,,
2:48.0,,,43-38,,Defensive rebound by S. Muhammad
2:35.0,,,43-40,2,S. Muhammad makes 2-pt shot from 4 ft (assist by T. Young)
2:16.0,K. Bryant misses 3-pt shot from 24 ft,,43-40,,
2:15.0,,,43-40,,Defensive rebound by T. Young
1:59.0,,,43-42,2,S. Muhammad makes 2-pt shot at rim (assist by G. Dieng)
1:38.0,J. Hill makes 2-pt shot from 19 ft (assist by K. Bryant),2,45-42,,
1:20.0,,,45-42,,Turnover by Z. LaVine (lost ball; steal by W. Johnson)
1:14.0,E. Davis makes 2-pt shot at rim (assist by W. Johnson),2,47-42,,
0:58.0,,,47-44,2,S. Muhammad makes 2-pt shot at rim (assist by C. Brewer)
0:41.0,J. Hill misses 2-pt shot from 16 ft,,47-44,,
0:40.0,,,47-44,,Defensive rebound by G. Dieng
0:26.0,,,47-44,,Z. LaVine misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by Team,,47-44,,
0:25.0,,,47-44,,Loose ball foul by G. Dieng (drawn by J. Hill)
0:25.0,J. Hill makes free throw 1 of 2,1,48-44,,
0:25.0,W. Ellington enters the game for K. Bryant,,48-44,,
0:25.0,,,48-44,,Minnesota full timeout
0:25.0,J. Hill makes free throw 2 of 2,1,49-44,,
0:03.0,,,49-44,,Turnover by T. Young (lost ball; steal by R. Price)
0:00.0,R. Price misses 3-pt shot from 39 ft,,49-44,,
0:00.0,Offensive rebound by Team,,49-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,49-44,,T. Young misses 2-pt shot from 2 ft (block by E. Davis)
11:46.0,,,49-44,,Offensive rebound by G. Dieng
11:37.0,,,49-44,,A. Wiggins misses 2-pt shot from 1 ft
11:36.0,,,49-44,,Offensive rebound by G. Dieng
11:36.0,,,49-46,2,G. Dieng makes 2-pt shot at rim
11:12.0,E. Davis misses 2-pt shot at rim,,49-46,,
11:11.0,,,49-46,,Defensive rebound by C. Brewer
11:04.0,,,49-48,2,T. Young makes 2-pt shot from 13 ft (assist by C. Brewer)
10:41.0,J. Hill makes 2-pt shot from 6 ft,2,51-48,,
10:22.0,,,51-48,,G. Dieng misses 2-pt shot from 8 ft
10:21.0,Defensive rebound by K. Bryant,,51-48,,
10:07.0,E. Davis misses 2-pt shot from 2 ft,,51-48,,
10:06.0,Offensive rebound by J. Hill,,51-48,,
10:06.0,J. Hill makes 2-pt shot at rim,2,53-48,,
9:38.0,,,53-50,2,Z. LaVine makes 2-pt shot from 13 ft (assist by C. Brewer)
9:31.0,Shooting foul by G. Dieng (drawn by W. Johnson),,53-50,,
9:31.0,W. Johnson misses free throw 1 of 2,,53-50,,
9:31.0,Offensive rebound by Team,,53-50,,
9:31.0,W. Johnson makes free throw 2 of 2,1,54-50,,
9:14.0,,,54-50,,A. Wiggins misses 2-pt shot at rim
9:13.0,Defensive rebound by E. Davis,,54-50,,
9:02.0,J. Hill misses 2-pt shot from 5 ft,,54-50,,
9:01.0,,,54-50,,Defensive rebound by Z. LaVine
8:49.0,,,54-50,,C. Brewer misses 3-pt shot from 23 ft
8:48.0,Defensive rebound by K. Bryant,,54-50,,
8:35.0,Turnover by W. Johnson (bad pass),,54-50,,
8:35.0,,,54-50,,Minnesota full timeout
8:22.0,,,54-50,,Turnover by A. Wiggins (lost ball; steal by K. Bryant)
8:17.0,Shooting foul by T. Young (drawn by R. Price),,54-50,,
8:17.0,R. Price makes free throw 1 of 2,1,55-50,,
8:17.0,R. Price makes free throw 2 of 2,1,56-50,,
8:05.0,,,56-50,,C. Brewer misses 2-pt shot from 20 ft
8:04.0,Defensive rebound by R. Price,,56-50,,
7:54.0,R. Price misses 3-pt shot from 26 ft,,56-50,,
7:53.0,Offensive rebound by Team,,56-50,,
7:52.0,E. Davis makes 2-pt shot at rim (assist by W. Johnson),2,58-50,,
7:30.0,,,58-50,,A. Wiggins misses 2-pt shot from 1 ft
7:29.0,Defensive rebound by E. Davis,,58-50,,
7:23.0,,,58-50,,S. Muhammad enters the game for Z. LaVine
7:14.0,K. Bryant misses 2-pt shot from 19 ft,,58-50,,
7:13.0,,,58-50,,Defensive rebound by T. Young
7:07.0,,,58-50,,S. Muhammad misses 2-pt shot from 12 ft
7:06.0,,,58-50,,Offensive rebound by S. Muhammad
7:05.0,,,58-52,2,S. Muhammad makes 2-pt shot from 1 ft
6:52.0,W. Johnson misses 2-pt shot from 18 ft,,58-52,,
6:51.0,,,58-52,,Defensive rebound by S. Muhammad
6:49.0,Personal foul by W. Johnson (drawn by S. Muhammad),,58-52,,
6:40.0,,,58-52,,S. Muhammad misses 2-pt shot from 7 ft (block by W. Johnson)
6:39.0,,,58-52,,Offensive rebound by S. Muhammad
6:35.0,,,58-54,2,G. Dieng makes 2-pt shot from 13 ft (assist by C. Brewer)
6:35.0,,,58-54,,Shooting foul by J. Hill (drawn by G. Dieng)
6:35.0,,,58-54,,G. Dieng misses free throw 1 of 1
6:35.0,Defensive rebound by J. Hill,,58-54,,
6:21.0,,,58-54,,Shooting block foul by G. Dieng (drawn by W. Johnson)
6:21.0,W. Johnson makes free throw 1 of 2,1,59-54,,
6:21.0,,,59-54,,A. Bennett enters the game for G. Dieng
6:21.0,W. Johnson makes free throw 2 of 2,1,60-54,,
6:06.0,,,60-54,,T. Young misses 2-pt shot from 17 ft
6:05.0,Defensive rebound by J. Hill,,60-54,,
5:49.0,Shooting foul by C. Brewer (drawn by K. Bryant),,60-54,,
5:49.0,K. Bryant misses free throw 1 of 2,,60-54,,
5:49.0,Offensive rebound by Team,,60-54,,
5:49.0,K. Bryant makes free throw 2 of 2,1,61-54,,
5:35.0,,,61-54,,S. Muhammad misses 2-pt shot from 2 ft (block by W. Johnson)
5:34.0,,,61-54,,Offensive rebound by Team
5:31.0,,,61-54,,A. Wiggins misses 2-pt shot from 17 ft
5:30.0,Defensive rebound by W. Johnson,,61-54,,
5:22.0,W. Johnson makes 3-pt shot from 24 ft (assist by K. Bryant),3,64-54,,
4:58.0,,,64-56,2,S. Muhammad makes 2-pt shot from 14 ft
4:58.0,,,64-56,,Shooting foul by W. Johnson (drawn by S. Muhammad)
4:58.0,,,64-57,1,S. Muhammad makes free throw 1 of 1
4:47.0,Shooting foul by A. Wiggins (drawn by K. Bryant),,64-57,,
4:47.0,K. Bryant misses free throw 1 of 2,,64-57,,
4:47.0,Offensive rebound by Team,,64-57,,
4:47.0,C. Boozer enters the game for E. Davis,,64-57,,
4:47.0,,,64-57,,Z. LaVine enters the game for C. Brewer
4:47.0,K. Bryant makes free throw 2 of 2,1,65-57,,
4:27.0,,,65-57,,A. Bennett misses 2-pt shot from 12 ft
4:26.0,,,65-57,,Offensive rebound by S. Muhammad
4:26.0,,,65-57,,Turnover by S. Muhammad (lost ball)
4:26.0,,,65-57,,R. Hummel enters the game for A. Wiggins
4:14.0,Turnover by J. Hill (lost ball),,65-57,,
4:14.0,R. Sacre enters the game for J. Hill,,65-57,,
4:14.0,J. Lin enters the game for R. Price,,65-57,,
4:01.0,,,65-57,,S. Muhammad misses 2-pt shot from 7 ft
3:59.0,Defensive rebound by J. Lin,,65-57,,
3:55.0,,,65-57,,Personal foul by T. Young (drawn by J. Lin)
3:55.0,J. Lin makes free throw 1 of 2,1,66-57,,
3:55.0,J. Lin makes free throw 2 of 2,1,67-57,,
3:47.0,,,67-57,,Shooting foul by C. Boozer (drawn by Z. LaVine)
3:47.0,,,67-58,1,Z. LaVine makes free throw 1 of 2
3:47.0,N. Young enters the game for W. Johnson,,67-58,,
3:47.0,,,67-59,1,Z. LaVine makes free throw 2 of 2
3:32.0,R. Sacre misses 2-pt shot from 1 ft (block by A. Bennett),,67-59,,
3:30.0,,,67-59,,Defensive rebound by A. Bennett
3:17.0,,,67-59,,Z. LaVine misses 2-pt shot from 19 ft
3:16.0,,,67-59,,Offensive rebound by T. Young
2:57.0,LA Lakers full timeout,,67-59,,
2:57.0,Personal foul by C. Boozer (drawn by S. Muhammad),,67-59,,
2:57.0,,,67-60,1,S. Muhammad makes free throw 1 of 2
2:57.0,,,67-61,1,S. Muhammad makes free throw 2 of 2
2:39.0,N. Young misses 2-pt shot from 19 ft,,67-61,,
2:38.0,,,67-61,,Defensive rebound by Z. LaVine
2:31.0,,,67-61,,Z. LaVine misses 2-pt shot from 1 ft
2:30.0,,,67-61,,Offensive rebound by A. Bennett
2:28.0,,,67-63,2,A. Bennett makes 2-pt shot at rim
2:10.0,N. Young misses 3-pt shot from 22 ft,,67-63,,
2:09.0,,,67-63,,Defensive rebound by Z. LaVine
1:52.0,,,67-63,,R. Hummel misses 2-pt shot from 18 ft
1:51.0,Defensive rebound by K. Bryant,,67-63,,
1:42.0,J. Lin makes 2-pt shot from 2 ft,2,69-63,,
1:25.0,,,69-65,2,S. Muhammad makes 2-pt shot from 5 ft (assist by R. Hummel)
1:04.0,C. Boozer makes 2-pt shot from 10 ft,2,71-65,,
0:43.0,,,71-67,2,S. Muhammad makes 2-pt shot from 7 ft (assist by Z. LaVine)
0:32.0,K. Bryant misses 3-pt shot from 25 ft,,71-67,,
0:30.0,Offensive rebound by N. Young,,71-67,,
0:11.0,N. Young misses 2-pt shot from 17 ft,,71-67,,
0:10.0,,,71-67,,Defensive rebound by T. Young
0:01.0,,,71-69,2,R. Hummel makes 2-pt shot from 1 ft (assist by A. Bennett)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,C. Boozer misses 2-pt shot from 17 ft,,71-69,,
11:46.0,,,71-69,,Defensive rebound by R. Hummel
11:30.0,,,71-69,,A. Bennett misses 2-pt shot from 19 ft
11:29.0,Defensive rebound by C. Boozer,,71-69,,
11:17.0,C. Boozer makes 2-pt shot from 1 ft,2,73-69,,
10:57.0,,,73-69,,Z. LaVine misses 2-pt shot from 1 ft
10:56.0,Defensive rebound by C. Boozer,,73-69,,
10:51.0,J. Lin misses 2-pt shot from 7 ft,,73-69,,
10:50.0,,,73-69,,Defensive rebound by S. Muhammad
10:46.0,,,73-69,,Shooting foul by R. Sacre (drawn by S. Muhammad)
10:46.0,,,73-69,,S. Muhammad misses free throw 1 of 2
10:46.0,,,73-69,,Offensive rebound by Team
10:46.0,,,73-70,1,S. Muhammad makes free throw 2 of 2
10:35.0,W. Ellington misses 2-pt shot from 19 ft,,73-70,,
10:34.0,,,73-70,,Defensive rebound by G. Dieng
10:28.0,,,73-73,3,R. Hummel makes 3-pt shot from 23 ft (assist by Z. LaVine)
10:07.0,N. Young misses 2-pt shot from 11 ft,,73-73,,
10:06.0,Offensive rebound by C. Boozer,,73-73,,
10:05.0,Shooting foul by A. Bennett (drawn by C. Boozer),,73-73,,
10:05.0,C. Boozer makes free throw 1 of 2,1,74-73,,
10:05.0,,,74-73,,A. Wiggins enters the game for S. Muhammad
10:05.0,C. Boozer makes free throw 2 of 2,1,75-73,,
9:45.0,,,75-73,,A. Bennett misses 2-pt shot from 18 ft
9:43.0,Defensive rebound by J. Lin,,75-73,,
9:37.0,C. Boozer makes 2-pt shot from 1 ft (assist by J. Lin),2,77-73,,
9:34.0,,,77-73,,Minnesota full timeout
9:21.0,,,77-73,,G. Dieng misses 2-pt shot from 7 ft
9:20.0,Defensive rebound by W. Ellington,,77-73,,
9:05.0,N. Young makes 3-pt shot from 25 ft (assist by J. Lin),3,80-73,,
8:48.0,,,80-73,,A. Wiggins misses 2-pt shot from 6 ft
8:47.0,,,80-73,,Offensive rebound by G. Dieng
8:37.0,,,80-73,,G. Dieng misses 2-pt shot from 6 ft
8:35.0,,,80-73,,Offensive rebound by A. Bennett
8:35.0,,,80-75,2,A. Bennett makes 2-pt shot from 1 ft
8:16.0,Turnover by R. Sacre (bad pass; steal by A. Bennett),,80-75,,
8:04.0,,,80-75,,A. Bennett misses 2-pt shot from 20 ft
8:03.0,,,80-75,,Offensive rebound by G. Dieng
7:53.0,,,80-75,,Z. LaVine misses 2-pt shot at rim
7:52.0,,,80-75,,Offensive rebound by A. Bennett
7:50.0,,,80-77,2,A. Bennett makes 2-pt shot at rim
7:34.0,Shooting foul by A. Bennett (drawn by J. Lin),,80-77,,
7:34.0,J. Lin makes free throw 1 of 2,1,81-77,,
7:34.0,,,81-77,,S. Muhammad enters the game for R. Hummel
7:34.0,,,81-77,,C. Brewer enters the game for Z. LaVine
7:34.0,,,81-77,,T. Young enters the game for A. Bennett
7:34.0,J. Lin makes free throw 2 of 2,1,82-77,,
7:24.0,,,82-79,2,S. Muhammad makes 2-pt shot from 5 ft (assist by C. Brewer)
7:06.0,W. Ellington misses 2-pt shot from 16 ft,,82-79,,
7:05.0,Offensive rebound by C. Boozer,,82-79,,
7:04.0,C. Boozer makes 2-pt shot from 1 ft,2,84-79,,
6:52.0,,,84-79,,Turnover by C. Brewer (bad pass; steal by N. Young)
6:50.0,,,84-79,,Loose ball foul by S. Muhammad (drawn by N. Young)
6:50.0,W. Johnson enters the game for W. Ellington,,84-79,,
6:29.0,C. Boozer misses 2-pt shot from 15 ft,,84-79,,
6:28.0,,,84-79,,Defensive rebound by C. Brewer
6:12.0,,,84-79,,T. Young misses 3-pt shot from 24 ft
6:10.0,Defensive rebound by J. Lin,,84-79,,
6:04.0,W. Johnson misses 2-pt shot at rim,,84-79,,
6:03.0,,,84-79,,Defensive rebound by C. Brewer
5:59.0,,,84-79,,Shooting foul by R. Sacre (drawn by A. Wiggins)
5:59.0,,,84-79,,Minnesota full timeout
5:59.0,R. Price enters the game for J. Lin,,84-79,,
5:59.0,K. Bryant enters the game for N. Young,,84-79,,
5:59.0,J. Hill enters the game for R. Sacre,,84-79,,
5:59.0,,,84-80,1,A. Wiggins makes free throw 1 of 2
5:59.0,,,84-81,1,A. Wiggins makes free throw 2 of 2
5:40.0,C. Boozer makes 2-pt shot from 9 ft (assist by W. Johnson),2,86-81,,
5:26.0,,,86-81,,S. Muhammad misses 2-pt shot from 10 ft (block by J. Hill)
5:25.0,,,86-81,,Offensive rebound by Team
5:23.0,,,86-81,,Offensive charge foul by A. Wiggins
5:23.0,,,86-81,,Turnover by A. Wiggins (offensive foul)
5:23.0,,,86-81,,Z. LaVine enters the game for C. Brewer
5:11.0,K. Bryant makes 2-pt shot from 23 ft (assist by C. Boozer),2,88-81,,
4:50.0,,,88-83,2,T. Young makes 2-pt shot from 20 ft
