time,Denver,pts.away,score,pts.home,Indiana
2:48.0,,,20-24,,Turnover by C. Copeland (bad pass; steal by G. Harris)
2:44.0,G. Harris makes 2-pt shot from 1 ft,2,22-24,,
2:37.0,,,22-24,,Indiana full timeout
2:37.0,,,22-24,,A. Price enters the game for D. Sloan
2:26.0,,,22-24,,C. Miles misses 3-pt shot from 25 ft
2:24.0,Defensive rebound by Team,,22-24,,
2:14.0,T. Lawson misses 2-pt shot from 6 ft (block by L. Allen),,22-24,,
2:12.0,Offensive rebound by G. Harris,,22-24,,
2:09.0,G. Harris makes 3-pt shot from 25 ft,3,25-24,,
1:56.0,Personal foul by J. McGee (drawn by R. Hibbert),,25-24,,
1:56.0,,,25-25,1,R. Hibbert makes free throw 1 of 2
1:56.0,,,25-25,,R. Hibbert misses free throw 2 of 2
1:56.0,Defensive rebound by J. McGee,,25-25,,
1:40.0,J. McGee makes 2-pt shot from 2 ft (assist by W. Chandler),2,27-25,,
1:23.0,,,27-25,,R. Hibbert misses 2-pt shot from 5 ft
1:22.0,Defensive rebound by D. Arthur,,27-25,,
1:11.0,Turnover by T. Lawson (bad pass; steal by A. Price),,27-25,,
1:00.0,,,27-25,,C. Copeland misses 2-pt shot from 6 ft
1:00.0,Defensive rebound by D. Arthur,,27-25,,
0:53.0,G. Harris misses 3-pt shot from 26 ft,,27-25,,
0:52.0,,,27-25,,Defensive rebound by L. Allen
0:39.0,Personal foul by G. Harris (drawn by C. Miles),,27-25,,
0:39.0,,,27-26,1,C. Miles makes free throw 1 of 2
0:39.0,,,27-27,1,C. Miles makes free throw 2 of 2
0:27.0,W. Chandler makes 2-pt shot from 3 ft,2,29-27,,
0:27.0,Shooting foul by C. Copeland (drawn by W. Chandler),,29-27,,
0:27.0,N. Robinson enters the game for T. Lawson,,29-27,,
0:27.0,,,29-27,,D. Rudez enters the game for C. Copeland
0:27.0,W. Chandler makes free throw 1 of 1,1,30-27,,
0:07.0,,,30-27,,C. Miles misses 2-pt shot from 18 ft
0:05.0,Defensive rebound by W. Chandler,,30-27,,
0:00.0,W. Chandler misses 2-pt shot from 8 ft (block by D. Rudez),,30-27,,
0:00.0,Offensive rebound by Team,,30-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,30-27,,D. Rudez misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by N. Robinson,,30-27,,
11:29.0,D. Arthur makes 2-pt shot from 13 ft,2,32-27,,
11:18.0,,,32-27,,Turnover by A. Price (bad pass)
11:10.0,G. Harris makes 2-pt shot from 12 ft,2,34-27,,
10:53.0,,,34-27,,S. Hill misses 2-pt shot from 2 ft
10:53.0,,,34-27,,Offensive rebound by Team
10:46.0,,,34-29,2,A. Price makes 2-pt shot from 15 ft
10:34.0,N. Robinson misses 2-pt shot from 8 ft,,34-29,,
10:33.0,,,34-29,,Defensive rebound by A. Price
10:20.0,,,34-29,,L. Allen misses 2-pt shot from 19 ft
10:18.0,Defensive rebound by D. Gallinari,,34-29,,
10:11.0,D. Arthur misses 2-pt shot from 21 ft,,34-29,,
10:10.0,,,34-29,,Defensive rebound by L. Allen
9:59.0,,,34-29,,A. Price misses 2-pt shot from 19 ft
9:57.0,,,34-29,,Offensive rebound by I. Mahinmi
9:52.0,,,34-31,2,L. Allen makes 2-pt shot from 18 ft (assist by I. Mahinmi)
9:37.0,D. Arthur makes 2-pt shot from 15 ft (assist by G. Harris),2,36-31,,
9:27.0,Personal foul by N. Robinson (drawn by S. Hill),,36-31,,
9:27.0,J. Hickson enters the game for D. Arthur,,36-31,,
9:18.0,,,36-31,,Offensive foul by I. Mahinmi
9:18.0,,,36-31,,Turnover by I. Mahinmi (offensive foul)
9:00.0,Shooting foul by D. Rudez (drawn by J. Hickson),,36-31,,
9:00.0,J. Hickson misses free throw 1 of 2,,36-31,,
9:00.0,Offensive rebound by Team,,36-31,,
9:00.0,J. Hickson makes free throw 2 of 2,1,37-31,,
8:48.0,Personal block foul by N. Robinson (drawn by A. Price),,37-31,,
8:48.0,Official timeout,,37-31,,
8:48.0,T. Mozgov enters the game for J. McGee,,37-31,,
8:42.0,,,37-33,2,L. Allen makes 2-pt shot from 3 ft (assist by I. Mahinmi)
8:26.0,D. Gallinari makes 2-pt shot from 20 ft,2,39-33,,
8:08.0,,,39-33,,S. Hill misses 2-pt shot from 1 ft (block by G. Harris)
8:08.0,,,39-33,,Offensive rebound by Team
8:00.0,,,39-33,,L. Allen misses 2-pt shot from 12 ft
7:59.0,Defensive rebound by G. Harris,,39-33,,
7:39.0,N. Robinson misses 2-pt shot from 17 ft,,39-33,,
7:38.0,,,39-33,,Defensive rebound by A. Price
7:27.0,,,39-35,2,L. Allen makes 2-pt shot from 20 ft (assist by A. Price)
7:16.0,Turnover by N. Robinson (bad pass),,39-35,,
7:16.0,A. Afflalo enters the game for N. Robinson,,39-35,,
7:16.0,T. Lawson enters the game for G. Harris,,39-35,,
7:01.0,,,39-35,,Turnover by I. Mahinmi (bad pass)
6:50.0,D. Gallinari makes 3-pt shot from 25 ft (assist by A. Afflalo),3,42-35,,
6:50.0,Shooting foul by D. Rudez (drawn by D. Gallinari),,42-35,,
6:50.0,,,42-35,,D. Sloan enters the game for A. Price
6:50.0,D. Gallinari makes free throw 1 of 1,1,43-35,,
6:37.0,,,43-37,2,D. Rudez makes 2-pt shot from 19 ft (assist by D. Sloan)
6:23.0,J. Hickson misses 2-pt shot from 2 ft,,43-37,,
6:22.0,Offensive rebound by T. Mozgov,,43-37,,
6:22.0,T. Mozgov misses 2-pt shot from 1 ft,,43-37,,
6:21.0,,,43-37,,Defensive rebound by I. Mahinmi
6:05.0,,,43-37,,Turnover by D. Sloan (traveling)
5:57.0,Shooting foul by L. Allen (drawn by T. Mozgov),,43-37,,
5:57.0,,,43-37,,Indiana full timeout
5:57.0,T. Mozgov misses free throw 1 of 2,,43-37,,
5:57.0,Offensive rebound by Team,,43-37,,
5:57.0,T. Mozgov makes free throw 2 of 2,1,44-37,,
5:57.0,,,44-37,,Loose ball foul by I. Mahinmi (drawn by J. Hickson)
5:57.0,,,44-37,,R. Hibbert enters the game for I. Mahinmi
5:57.0,J. Hickson makes free throw 1 of 1,1,45-37,,
5:35.0,,,45-39,2,S. Hill makes 2-pt shot from 21 ft
5:14.0,A. Afflalo makes 2-pt shot from 16 ft,2,47-39,,
4:49.0,,,47-39,,D. Sloan misses 3-pt shot from 26 ft
4:48.0,Defensive rebound by A. Afflalo,,47-39,,
4:35.0,A. Afflalo makes 3-pt shot from 23 ft (assist by T. Lawson),3,50-39,,
4:27.0,,,50-39,,Indiana full timeout
4:27.0,,,50-39,,L. Scola enters the game for L. Allen
4:27.0,,,50-39,,C. Copeland enters the game for D. Rudez
4:12.0,,,50-41,2,R. Hibbert makes 2-pt shot from 6 ft
4:00.0,Shooting foul by L. Scola (drawn by J. Hickson),,50-41,,
4:00.0,J. Hickson makes free throw 1 of 2,1,51-41,,
4:00.0,K. Faried enters the game for T. Mozgov,,51-41,,
4:00.0,,,51-41,,L. Allen enters the game for L. Scola
4:00.0,J. Hickson misses free throw 2 of 2,,51-41,,
4:00.0,,,51-41,,Defensive rebound by L. Allen
3:38.0,,,51-41,,R. Hibbert misses 2-pt shot from 8 ft
3:38.0,,,51-41,,Offensive rebound by S. Hill
3:38.0,Loose ball foul by A. Afflalo (drawn by S. Hill),,51-41,,
3:29.0,,,51-41,,C. Copeland misses 2-pt shot from 1 ft
3:28.0,Defensive rebound by J. Hickson,,51-41,,
3:19.0,D. Gallinari makes 3-pt shot from 24 ft (assist by T. Lawson),3,54-41,,
3:11.0,,,54-41,,Indiana full timeout
2:56.0,,,54-44,3,C. Copeland makes 3-pt shot from 22 ft (assist by S. Hill)
2:35.0,A. Afflalo misses 3-pt shot from 25 ft,,54-44,,
2:34.0,,,54-44,,Defensive rebound by C. Copeland
2:21.0,,,54-44,,L. Allen misses 2-pt shot from 9 ft
2:20.0,,,54-44,,Offensive rebound by L. Allen
2:18.0,,,54-44,,L. Allen misses 2-pt shot from 2 ft (block by J. Hickson)
2:17.0,Defensive rebound by D. Gallinari,,54-44,,
2:12.0,A. Afflalo makes 2-pt shot from 1 ft (assist by T. Lawson),2,56-44,,
1:56.0,,,56-46,2,D. Sloan makes 2-pt shot from 2 ft
1:43.0,,,56-46,,Personal foul by C. Copeland (drawn by T. Lawson)
1:43.0,T. Lawson makes free throw 1 of 2,1,57-46,,
1:43.0,W. Chandler enters the game for D. Gallinari,,57-46,,
1:43.0,,,57-46,,D. Rudez enters the game for C. Copeland
1:43.0,T. Lawson makes free throw 2 of 2,1,58-46,,
1:35.0,,,58-46,,S. Hill misses 2-pt shot from 1 ft
1:33.0,Defensive rebound by J. Hickson,,58-46,,
1:19.0,J. Hickson makes 2-pt shot at rim (assist by A. Afflalo),2,60-46,,
1:06.0,,,60-46,,D. Rudez misses 2-pt shot from 17 ft
1:05.0,Defensive rebound by K. Faried,,60-46,,
0:54.0,W. Chandler misses 2-pt shot from 16 ft,,60-46,,
0:53.0,Offensive rebound by J. Hickson,,60-46,,
0:51.0,J. Hickson makes 2-pt shot from 2 ft,2,62-46,,
0:43.0,Personal foul by J. Hickson (drawn by R. Hibbert),,62-46,,
0:34.0,,,62-46,,L. Allen misses 2-pt shot from 1 ft
0:33.0,Defensive rebound by J. Hickson,,62-46,,
0:27.0,T. Lawson misses 3-pt shot from 25 ft,,62-46,,
0:25.0,Offensive rebound by K. Faried,,62-46,,
0:03.0,K. Faried makes 2-pt shot from 1 ft (assist by T. Lawson),2,64-46,,
0:00.0,,,64-46,,D. Sloan misses 3-pt shot from 48 ft
0:00.0,,,64-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,64-46,,C. Copeland misses 3-pt shot from 24 ft
11:39.0,Defensive rebound by Team,,64-46,,
11:21.0,W. Chandler makes 2-pt shot from 9 ft,2,66-46,,
11:04.0,,,66-48,2,R. Hibbert makes 2-pt shot from 6 ft
10:47.0,W. Chandler makes 2-pt shot from 7 ft,2,68-48,,
10:37.0,Personal foul by T. Mozgov (drawn by R. Hibbert),,68-48,,
10:28.0,,,68-48,,R. Hibbert misses 2-pt shot from 8 ft
10:27.0,,,68-48,,Offensive rebound by L. Scola
10:25.0,,,68-48,,L. Scola misses 2-pt shot from 8 ft
10:24.0,Defensive rebound by W. Chandler,,68-48,,
10:11.0,K. Faried misses 2-pt shot from 9 ft,,68-48,,
10:09.0,,,68-48,,Defensive rebound by D. Sloan
9:51.0,,,68-48,,L. Scola misses 2-pt shot from 2 ft
9:50.0,Defensive rebound by K. Faried,,68-48,,
9:41.0,T. Lawson misses 3-pt shot from 24 ft,,68-48,,
9:40.0,,,68-48,,Defensive rebound by D. Sloan
9:30.0,Personal foul by W. Chandler (drawn by C. Copeland),,68-48,,
9:19.0,,,68-48,,R. Hibbert misses 2-pt shot from 9 ft
9:17.0,Defensive rebound by T. Mozgov,,68-48,,
9:02.0,T. Mozgov misses 2-pt shot from 3 ft (block by L. Scola),,68-48,,
9:00.0,Offensive rebound by T. Mozgov,,68-48,,
8:58.0,A. Afflalo makes 3-pt shot from 26 ft (assist by T. Mozgov),3,71-48,,
8:39.0,,,71-50,2,L. Scola makes 2-pt shot from 1 ft (assist by C. Copeland)
8:20.0,T. Mozgov misses 2-pt shot from 1 ft,,71-50,,
8:19.0,,,71-50,,Defensive rebound by R. Hibbert
8:15.0,,,71-50,,Shooting foul by W. Chandler (drawn by D. Sloan)
8:15.0,,,71-51,1,D. Sloan makes free throw 1 of 2
8:15.0,,,71-52,1,D. Sloan makes free throw 2 of 2
8:01.0,A. Afflalo misses 3-pt shot from 24 ft,,71-52,,
7:59.0,Offensive rebound by T. Mozgov,,71-52,,
7:55.0,T. Lawson makes 3-pt shot from 24 ft (assist by T. Mozgov),3,74-52,,
7:50.0,Personal foul by K. Faried (drawn by D. Sloan),,74-52,,
7:41.0,,,74-52,,Turnover by C. Copeland (bad pass; steal by T. Mozgov)
7:24.0,T. Mozgov misses 2-pt shot from 15 ft,,74-52,,
7:23.0,Offensive rebound by W. Chandler,,74-52,,
7:22.0,W. Chandler makes 2-pt shot from 2 ft,2,76-52,,
7:21.0,,,76-52,,Indiana full timeout
7:08.0,,,76-52,,C. Copeland misses 3-pt shot from 25 ft
7:07.0,,,76-52,,Offensive rebound by C. Copeland
7:03.0,,,76-52,,C. Copeland misses 2-pt shot at rim
7:03.0,Defensive rebound by Team,,76-52,,
6:55.0,,,76-52,,Personal foul by R. Hibbert (drawn by K. Faried)
6:42.0,A. Afflalo makes 2-pt shot from 15 ft,2,78-52,,
6:23.0,,,78-52,,Turnover by C. Copeland (bad pass; steal by K. Faried)
6:16.0,T. Lawson misses 2-pt shot from 1 ft (block by R. Hibbert),,78-52,,
6:14.0,,,78-52,,Defensive rebound by S. Hill
6:09.0,,,78-52,,D. Sloan misses 2-pt shot from 2 ft (block by T. Mozgov)
6:09.0,,,78-52,,Offensive rebound by Team
6:09.0,,,78-52,,Technical foul by R. Hibbert
6:09.0,A. Afflalo misses technical free throw,,78-52,,
6:09.0,,,78-52,,Offensive rebound by Team
6:09.0,,,78-52,,L. Allen enters the game for C. Copeland
6:09.0,,,78-52,,D. Rudez enters the game for L. Scola
5:57.0,,,78-52,,D. Sloan misses 3-pt shot from 24 ft
5:56.0,Defensive rebound by Team,,78-52,,
5:56.0,,,78-52,,Loose ball foul by R. Hibbert (drawn by T. Mozgov)
5:46.0,T. Lawson makes 2-pt shot from 18 ft,2,80-52,,
5:26.0,,,80-52,,S. Hill misses 2-pt shot from 8 ft
5:25.0,Defensive rebound by W. Chandler,,80-52,,
5:12.0,T. Lawson misses 2-pt shot from 16 ft,,80-52,,
5:11.0,Offensive rebound by T. Mozgov,,80-52,,
4:57.0,K. Faried makes 2-pt shot from 15 ft,2,82-52,,
4:42.0,,,82-52,,Turnover by R. Hibbert (lost ball; steal by T. Lawson)
4:38.0,A. Afflalo makes 2-pt shot from 2 ft (assist by T. Lawson),2,84-52,,
4:38.0,,,84-52,,Indiana full timeout
4:38.0,Violation by Team (delay of game),,84-52,,
4:38.0,,,84-52,,A. Price enters the game for R. Hibbert
4:38.0,,,84-52,,I. Mahinmi enters the game for D. Sloan
4:18.0,,,84-54,2,A. Price makes 2-pt shot from 12 ft
3:59.0,W. Chandler makes 2-pt shot from 5 ft (assist by T. Lawson),2,86-54,,
3:38.0,,,86-56,2,I. Mahinmi makes 2-pt shot from 5 ft (assist by A. Price)
3:11.0,T. Lawson makes 2-pt shot from 21 ft,2,88-56,,
2:49.0,Personal foul by T. Mozgov (drawn by I. Mahinmi),,88-56,,
2:49.0,Denver full timeout,,88-56,,
2:49.0,J. McGee enters the game for T. Mozgov,,88-56,,
2:49.0,G. Harris enters the game for A. Afflalo,,88-56,,
2:49.0,,,88-56,,I. Mahinmi misses free throw 1 of 2
2:49.0,,,88-56,,Offensive rebound by Team
2:49.0,,,88-57,1,I. Mahinmi makes free throw 2 of 2
2:34.0,Shooting foul by D. Rudez (drawn by K. Faried),,88-57,,
2:34.0,K. Faried makes free throw 1 of 2,1,89-57,,
2:34.0,K. Faried makes free throw 2 of 2,1,90-57,,
2:17.0,,,90-60,3,S. Hill makes 3-pt shot from 23 ft (assist by A. Price)
2:09.0,G. Harris misses 3-pt shot from 23 ft,,90-60,,
2:08.0,,,90-60,,Defensive rebound by L. Allen
1:59.0,,,90-60,,S. Hill misses 2-pt shot from 2 ft
1:59.0,,,90-60,,Offensive rebound by L. Allen
1:59.0,,,90-62,2,L. Allen makes 2-pt shot at rim
1:59.0,,,90-62,,Shooting foul by W. Chandler (drawn by L. Allen)
1:59.0,,,90-62,,L. Allen misses free throw 1 of 1
1:59.0,Defensive rebound by K. Faried,,90-62,,
1:36.0,G. Harris makes 2-pt shot from 20 ft,2,92-62,,
1:09.0,,,92-62,,A. Price misses 2-pt shot from 2 ft
1:07.0,,,92-62,,Offensive rebound by L. Allen
1:06.0,,,92-62,,L. Allen misses 2-pt shot at rim
1:04.0,,,92-62,,Offensive rebound by L. Allen
1:04.0,,,92-64,2,L. Allen makes 2-pt shot at rim
0:59.0,Turnover by T. Lawson (discontinued dribble),,92-64,,
0:49.0,,,92-64,,S. Hill misses 2-pt shot at rim
0:48.0,,,92-64,,Offensive rebound by I. Mahinmi
0:48.0,,,92-66,2,I. Mahinmi makes 2-pt shot at rim
0:31.0,W. Chandler misses 3-pt shot from 24 ft,,92-66,,
0:30.0,Offensive rebound by J. McGee,,92-66,,
0:10.0,T. Lawson misses 2-pt shot from 21 ft,,92-66,,
0:09.0,,,92-66,,Defensive rebound by I. Mahinmi
0:03.0,,,92-66,,Shooting foul by T. Lawson (drawn by A. Price)
0:03.0,,,92-67,1,A. Price makes free throw 1 of 2
0:03.0,,,92-67,,A. Price misses free throw 2 of 2
0:02.0,Defensive rebound by T. Lawson,,92-67,,
0:00.0,T. Lawson misses 3-pt shot from 48 ft,,92-67,,
0:00.0,Offensive rebound by Team,,92-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,D. Arthur misses 2-pt shot from 20 ft,,92-67,,
11:49.0,Offensive rebound by J. McGee,,92-67,,
11:38.0,Turnover by D. Arthur (bad pass),,92-67,,
11:21.0,,,92-67,,D. Rudez misses 2-pt shot from 18 ft
11:19.0,Defensive rebound by D. Gallinari,,92-67,,
11:09.0,J. McGee misses 2-pt shot at rim,,92-67,,
11:08.0,,,92-67,,Defensive rebound by S. Whittington
11:02.0,,,92-67,,Shooting foul by D. Gallinari (drawn by D. Rudez)
11:02.0,,,92-67,,D. Rudez misses free throw 1 of 2
11:02.0,,,92-67,,Offensive rebound by Team
11:02.0,,,92-67,,D. Rudez misses free throw 2 of 2
11:01.0,Defensive rebound by Team,,92-67,,
10:45.0,D. Arthur makes 2-pt shot from 22 ft (assist by G. Harris),2,94-67,,
10:29.0,,,94-70,3,A. Price makes 3-pt shot from 25 ft (assist by D. Sloan)
10:18.0,G. Harris makes 2-pt shot at rim,2,96-70,,
10:18.0,,,96-70,,Shooting block foul by A. Price (drawn by G. Harris)
10:18.0,G. Harris misses free throw 1 of 1,,96-70,,
10:17.0,Offensive rebound by D. Arthur,,96-70,,
10:12.0,G. Harris misses 3-pt shot from 26 ft,,96-70,,
10:10.0,,,96-70,,Defensive rebound by I. Mahinmi
9:56.0,,,96-72,2,I. Mahinmi makes 2-pt shot at rim
9:50.0,Denver full timeout,,96-72,,
9:29.0,G. Harris makes 2-pt shot from 15 ft,2,98-72,,
9:12.0,,,98-75,3,D. Rudez makes 3-pt shot from 25 ft (assist by D. Sloan)
8:52.0,Turnover by G. Harris (step out of bounds),,98-75,,
8:52.0,Official timeout,,98-75,,
8:52.0,,,98-75,,C. Copeland enters the game for D. Sloan
8:40.0,,,98-75,,Turnover by A. Price (lost ball; steal by G. Harris)
8:24.0,J. McGee makes 2-pt shot at rim (assist by D. Arthur),2,100-75,,
8:02.0,,,100-78,3,A. Price makes 3-pt shot from 26 ft (assist by D. Rudez)
7:45.0,D. Arthur misses 3-pt shot from 25 ft,,100-78,,
7:43.0,,,100-78,,Defensive rebound by S. Whittington
7:36.0,,,100-78,,A. Price misses 3-pt shot from 25 ft
7:36.0,,,100-78,,Offensive rebound by Team
7:36.0,Loose ball foul by J. McGee (drawn by S. Whittington),,100-78,,
7:36.0,J. Hickson enters the game for J. McGee,,100-78,,
7:26.0,,,100-78,,D. Rudez misses 2-pt shot from 19 ft
7:25.0,,,100-78,,Offensive rebound by I. Mahinmi
7:22.0,,,100-78,,Turnover by D. Rudez (lost ball; steal by D. Arthur)
7:16.0,Shooting foul by S. Whittington (drawn by D. Arthur),,100-78,,
7:16.0,D. Arthur misses free throw 1 of 2,,100-78,,
7:16.0,Offensive rebound by Team,,100-78,,
7:16.0,D. Arthur makes free throw 2 of 2,1,101-78,,
6:58.0,,,101-78,,S. Whittington misses 2-pt shot from 16 ft
6:56.0,Defensive rebound by N. Robinson,,101-78,,
6:42.0,J. Hickson misses 2-pt shot from 16 ft,,101-78,,
6:40.0,,,101-78,,Defensive rebound by S. Whittington
6:31.0,,,101-78,,C. Copeland misses 3-pt shot from 26 ft
6:29.0,Defensive rebound by G. Harris,,101-78,,
6:09.0,J. Hickson misses 2-pt shot from 3 ft (block by I. Mahinmi),,101-78,,
6:09.0,,,101-78,,Defensive rebound by I. Mahinmi
5:56.0,,,101-78,,C. Copeland misses 2-pt shot at rim
5:55.0,Defensive rebound by D. Arthur,,101-78,,
5:48.0,G. Harris misses 3-pt shot from 25 ft,,101-78,,
5:47.0,,,101-78,,Defensive rebound by I. Mahinmi
5:45.0,,,101-78,,Indiana full timeout
5:45.0,A. Gee enters the game for G. Harris,,101-78,,
5:30.0,,,101-78,,Turnover by C. Copeland (bad pass; steal by N. Robinson)
5:25.0,D. Arthur makes 2-pt shot from 2 ft (assist by N. Robinson),2,103-78,,
5:09.0,,,103-78,,S. Whittington misses 2-pt shot from 1 ft
5:08.0,,,103-78,,Offensive rebound by I. Mahinmi
5:07.0,,,103-78,,Shooting foul by D. Arthur (drawn by I. Mahinmi)
5:07.0,,,103-78,,I. Mahinmi misses free throw 1 of 2
5:07.0,,,103-78,,Offensive rebound by Team
5:07.0,,,103-78,,S. Hill enters the game for C. Copeland
5:07.0,J. Nurkic enters the game for D. Arthur,,103-78,,
5:07.0,,,103-78,,I. Mahinmi misses free throw 2 of 2
5:07.0,Defensive rebound by J. Hickson,,103-78,,
4:45.0,A. Gee misses 2-pt shot from 9 ft,,103-78,,
4:44.0,,,103-78,,Defensive rebound by S. Hill
