time,New Orleans,pts.away,score,pts.home,San Antonio
7:00.0,,,5-2,,Turnover by C. Joseph (lost ball; steal by J. Holiday)
6:54.0,T. Evans makes 2-pt shot from 1 ft (assist by J. Holiday),2,7-2,,
6:54.0,,,7-2,,San Antonio full timeout
6:54.0,,,7-2,,T. Splitter enters the game for T. Duncan
6:54.0,,,7-2,,M. Belinelli enters the game for K. Anderson
6:54.0,,,7-2,,M. Ginobili enters the game for D. Green
6:54.0,,,7-2,,P. Mills enters the game for C. Joseph
6:54.0,,,7-2,,B. Diaw enters the game for M. Bonner
6:49.0,Personal foul by L. Babbitt (drawn by M. Belinelli),,7-2,,
6:39.0,,,7-2,,Turnover by M. Ginobili (lost ball; steal by T. Evans)
6:21.0,Turnover by Team (back court),,7-2,,
6:21.0,A. Rivers enters the game for L. Babbitt,,7-2,,
6:11.0,,,7-2,,T. Splitter misses 2-pt shot from 2 ft
6:10.0,Defensive rebound by J. Holiday,,7-2,,
5:52.0,T. Evans makes 2-pt shot from 18 ft,2,9-2,,
5:34.0,,,9-4,2,B. Diaw makes 2-pt shot from 4 ft (assist by P. Mills)
5:08.0,Turnover by Team (shot clock),,9-4,,
5:02.0,,,9-4,,Turnover by B. Diaw (kicked ball)
4:50.0,Offensive foul by O. Asik,,9-4,,
4:50.0,Turnover by O. Asik (offensive foul),,9-4,,
4:36.0,,,9-4,,P. Mills misses 3-pt shot from 25 ft
4:35.0,Defensive rebound by A. Davis,,9-4,,
4:21.0,T. Evans misses 2-pt shot from 1 ft (block by B. Diaw),,9-4,,
4:19.0,,,9-4,,Defensive rebound by P. Mills
4:11.0,,,9-6,2,T. Splitter makes 2-pt shot from 1 ft (assist by M. Ginobili)
4:02.0,Offensive foul by A. Davis,,9-6,,
4:02.0,Turnover by A. Davis (offensive foul),,9-6,,
4:02.0,R. Anderson enters the game for A. Davis,,9-6,,
3:50.0,,,9-8,2,M. Belinelli makes 2-pt shot from 1 ft (assist by B. Diaw)
3:36.0,Turnover by A. Rivers (bad pass; steal by M. Belinelli),,9-8,,
3:28.0,,,9-8,,P. Mills misses 3-pt shot from 24 ft
3:27.0,Defensive rebound by O. Asik,,9-8,,
3:22.0,,,9-8,,Shooting block foul by M. Belinelli (drawn by T. Evans)
3:22.0,T. Evans misses free throw 1 of 2,,9-8,,
3:22.0,Offensive rebound by Team,,9-8,,
3:22.0,J. Fredette enters the game for J. Holiday,,9-8,,
3:22.0,T. Evans makes free throw 2 of 2,1,10-8,,
3:04.0,,,10-8,,P. Mills misses 2-pt shot from 1 ft
3:03.0,,,10-8,,Offensive rebound by T. Splitter
3:02.0,,,10-8,,T. Splitter misses 2-pt shot from 1 ft
3:00.0,Defensive rebound by T. Evans,,10-8,,
2:59.0,New Orleans full timeout,,10-8,,
2:36.0,R. Anderson misses 2-pt shot from 17 ft,,10-8,,
2:36.0,Offensive rebound by O. Asik,,10-8,,
2:36.0,Turnover by Team (shot clock),,10-8,,
2:25.0,,,10-8,,P. Mills misses 2-pt shot from 18 ft
2:24.0,Defensive rebound by J. Fredette,,10-8,,
2:17.0,R. Anderson misses 2-pt shot at rim,,10-8,,
2:15.0,,,10-8,,Defensive rebound by T. Splitter
2:04.0,,,10-10,2,B. Diaw makes 2-pt shot from 12 ft
1:51.0,A. Rivers makes 2-pt shot from 18 ft,2,12-10,,
1:37.0,,,12-12,2,T. Splitter makes 2-pt shot from 3 ft
1:11.0,T. Evans misses 3-pt shot from 24 ft,,12-12,,
1:09.0,Offensive rebound by A. Rivers,,12-12,,
1:00.0,R. Anderson makes 2-pt shot from 1 ft,2,14-12,,
0:45.0,,,14-12,,B. Diaw misses 2-pt shot from 3 ft
0:44.0,Defensive rebound by J. Fredette,,14-12,,
0:40.0,Turnover by J. Fredette (lost ball; steal by P. Mills),,14-12,,
0:34.0,,,14-14,2,T. Splitter makes 2-pt shot from 1 ft (assist by M. Ginobili)
0:14.0,R. Anderson misses 2-pt shot from 2 ft,,14-14,,
0:12.0,Offensive rebound by O. Asik,,14-14,,
0:12.0,O. Asik misses 2-pt shot from 2 ft (block by T. Splitter),,14-14,,
0:10.0,,,14-14,,Defensive rebound by B. Diaw
0:02.0,,,14-17,3,P. Mills makes 3-pt shot from 23 ft (assist by T. Splitter)
0:00.0,T. Evans misses 3-pt shot from 47 ft,,14-17,,
0:00.0,Offensive rebound by Team,,14-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Holiday misses 2-pt shot from 2 ft (block by T. Duncan),,14-17,,
11:45.0,Offensive rebound by Team,,14-17,,
11:41.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,16-17,,
11:41.0,Shooting foul by T. Duncan (drawn by A. Davis),,16-17,,
11:41.0,D. Cunningham enters the game for J. Fredette,,16-17,,
11:41.0,A. Davis makes free throw 1 of 1,1,17-17,,
11:23.0,,,17-17,,T. Duncan misses 2-pt shot from 7 ft
11:22.0,Defensive rebound by A. Davis,,17-17,,
11:13.0,A. Rivers makes 2-pt shot from 1 ft,2,19-17,,
10:49.0,,,19-19,2,K. Anderson makes 2-pt shot from 4 ft
10:32.0,J. Holiday misses 3-pt shot from 25 ft,,19-19,,
10:31.0,,,19-19,,Defensive rebound by D. Green
10:15.0,,,19-21,2,D. Green makes 2-pt shot from 8 ft (assist by K. Anderson)
9:57.0,R. Anderson misses 3-pt shot from 26 ft,,19-21,,
9:56.0,,,19-21,,Defensive rebound by D. Green
9:45.0,,,19-21,,K. Anderson misses 2-pt shot from 1 ft
9:44.0,Defensive rebound by R. Anderson,,19-21,,
9:34.0,D. Cunningham makes 2-pt shot from 20 ft (assist by J. Holiday),2,21-21,,
9:22.0,,,21-21,,Turnover by T. Duncan (lost ball)
9:08.0,Turnover by A. Rivers (bad pass),,21-21,,
8:47.0,,,21-23,2,K. Anderson makes 2-pt shot from 18 ft (assist by M. Bonner)
8:30.0,A. Rivers misses 2-pt shot from 2 ft,,21-23,,
8:29.0,,,21-23,,Defensive rebound by D. Green
8:20.0,,,21-23,,D. Green misses 3-pt shot from 27 ft
8:19.0,Defensive rebound by A. Davis,,21-23,,
8:08.0,,,21-23,,Personal foul by M. Bonner (drawn by A. Davis)
8:08.0,Official timeout,,21-23,,
7:57.0,D. Cunningham misses 2-pt shot from 14 ft,,21-23,,
7:56.0,,,21-23,,Defensive rebound by C. Joseph
7:37.0,,,21-23,,Turnover by K. Anderson (lost ball)
7:22.0,D. Cunningham misses 2-pt shot from 3 ft,,21-23,,
7:22.0,Offensive rebound by A. Davis,,21-23,,
7:22.0,A. Davis misses 2-pt shot at rim,,21-23,,
7:20.0,,,21-23,,Defensive rebound by M. Bonner
7:04.0,,,21-23,,Shooting foul by J. Holiday (drawn by T. Duncan)
7:04.0,,,21-23,,T. Duncan misses free throw 1 of 2
7:04.0,,,21-23,,Offensive rebound by Team
7:04.0,,,21-23,,M. Ginobili enters the game for K. Anderson
7:04.0,,,21-23,,P. Mills enters the game for M. Bonner
7:04.0,,,21-23,,M. Belinelli enters the game for D. Green
7:04.0,,,21-23,,B. Diaw enters the game for C. Joseph
7:04.0,,,21-24,1,T. Duncan makes free throw 2 of 2
6:50.0,J. Holiday misses 2-pt shot from 1 ft,,21-24,,
6:49.0,,,21-24,,Defensive rebound by B. Diaw
6:39.0,,,21-24,,Turnover by T. Duncan (bad pass; steal by J. Holiday)
6:37.0,Turnover by D. Cunningham (bad pass),,21-24,,
6:34.0,Loose ball foul by A. Davis (drawn by T. Duncan),,21-24,,
6:31.0,,,21-24,,T. Splitter enters the game for T. Duncan
6:27.0,,,21-27,3,M. Ginobili makes 3-pt shot from 24 ft (assist by M. Belinelli)
6:11.0,R. Anderson makes 3-pt shot from 25 ft (assist by A. Rivers),3,24-27,,
5:58.0,,,24-27,,M. Belinelli misses 2-pt shot from 19 ft
5:57.0,Defensive rebound by R. Anderson,,24-27,,
5:49.0,Turnover by R. Anderson (lost ball; steal by M. Belinelli),,24-27,,
5:49.0,Personal foul by R. Anderson (drawn by T. Splitter),,24-27,,
5:49.0,,,24-27,,San Antonio full timeout
5:49.0,T. Evans enters the game for A. Rivers,,24-27,,
5:49.0,O. Asik enters the game for A. Davis,,24-27,,
5:33.0,,,24-30,3,M. Ginobili makes 3-pt shot from 24 ft
5:17.0,Shooting foul by M. Ginobili (drawn by O. Asik),,24-30,,
5:17.0,O. Asik makes free throw 1 of 2,1,25-30,,
5:17.0,O. Asik makes free throw 2 of 2,1,26-30,,
5:07.0,,,26-30,,Turnover by P. Mills (step out of bounds)
4:53.0,J. Holiday misses 2-pt shot from 13 ft,,26-30,,
4:52.0,,,26-30,,Defensive rebound by M. Ginobili
4:46.0,,,26-33,3,M. Ginobili makes 3-pt shot from 25 ft
4:33.0,D. Cunningham misses 2-pt shot from 16 ft,,26-33,,
4:31.0,,,26-33,,Defensive rebound by M. Ginobili
4:24.0,,,26-33,,Shooting foul by J. Holiday (drawn by M. Belinelli)
4:24.0,,,26-33,,M. Belinelli misses free throw 1 of 2
4:24.0,,,26-33,,Offensive rebound by Team
4:24.0,A. Rivers enters the game for J. Holiday,,26-33,,
4:24.0,,,26-34,1,M. Belinelli makes free throw 2 of 2
4:08.0,A. Rivers misses 2-pt shot from 11 ft,,26-34,,
4:07.0,,,26-34,,Defensive rebound by Team
3:53.0,,,26-34,,M. Ginobili misses 2-pt shot from 1 ft
3:51.0,Defensive rebound by D. Cunningham,,26-34,,
3:28.0,R. Anderson misses 2-pt shot from 18 ft,,26-34,,
3:27.0,,,26-34,,Defensive rebound by M. Ginobili
3:06.0,,,26-34,,P. Mills misses 3-pt shot from 26 ft
3:05.0,Defensive rebound by O. Asik,,26-34,,
2:59.0,T. Evans makes 2-pt shot at rim,2,28-34,,
2:39.0,,,28-34,,M. Belinelli misses 2-pt shot from 16 ft
2:37.0,,,28-34,,Offensive rebound by T. Splitter
2:34.0,,,28-34,,M. Belinelli misses 3-pt shot from 24 ft
2:33.0,Defensive rebound by T. Evans,,28-34,,
2:23.0,T. Evans misses 3-pt shot from 26 ft,,28-34,,
2:22.0,,,28-34,,Defensive rebound by P. Mills
2:05.0,,,28-34,,T. Splitter misses 2-pt shot from 2 ft
2:04.0,Defensive rebound by O. Asik,,28-34,,
1:58.0,New Orleans full timeout,,28-34,,
1:58.0,,,28-34,,C. Joseph enters the game for T. Splitter
1:58.0,,,28-34,,D. Green enters the game for M. Ginobili
1:58.0,,,28-34,,M. Bonner enters the game for P. Mills
1:58.0,,,28-34,,T. Duncan enters the game for B. Diaw
1:58.0,L. Babbitt enters the game for D. Cunningham,,28-34,,
1:41.0,R. Anderson misses 2-pt shot from 16 ft,,28-34,,
1:39.0,,,28-34,,Defensive rebound by D. Green
1:31.0,,,28-36,2,M. Belinelli makes 2-pt shot from 15 ft (assist by D. Green)
1:04.0,A. Rivers misses 3-pt shot from 25 ft,,28-36,,
1:04.0,,,28-36,,Defensive rebound by Team
0:54.0,,,28-38,2,C. Joseph makes 2-pt shot from 1 ft
0:31.0,L. Babbitt misses 3-pt shot from 24 ft,,28-38,,
0:30.0,,,28-38,,Defensive rebound by D. Green
0:07.0,,,28-38,,T. Duncan misses 2-pt shot from 6 ft
0:06.0,,,28-38,,Offensive rebound by C. Joseph
0:01.0,,,28-38,,D. Green misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by R. Anderson,,28-38,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,A. Davis misses 2-pt shot from 16 ft,,28-38,,
11:41.0,,,28-38,,Defensive rebound by K. Anderson
11:19.0,,,28-38,,Shooting foul by O. Asik (drawn by T. Duncan)
11:19.0,,,28-39,1,T. Duncan makes free throw 1 of 2
11:19.0,,,28-40,1,T. Duncan makes free throw 2 of 2
11:03.0,T. Evans makes 2-pt shot from 6 ft,2,30-40,,
10:38.0,,,30-42,2,C. Joseph makes 2-pt shot from 10 ft
10:25.0,,,30-42,,Personal foul by M. Bonner (drawn by A. Davis)
10:17.0,L. Babbitt makes 3-pt shot from 24 ft (assist by J. Holiday),3,33-42,,
9:55.0,,,33-42,,D. Green misses 3-pt shot from 25 ft
9:53.0,,,33-42,,Offensive rebound by C. Joseph
9:53.0,,,33-42,,C. Joseph misses 2-pt shot from 5 ft
9:51.0,Defensive rebound by J. Holiday,,33-42,,
9:41.0,J. Holiday misses 2-pt shot from 19 ft,,33-42,,
9:40.0,,,33-42,,Defensive rebound by T. Duncan
9:26.0,,,33-44,2,M. Bonner makes 2-pt shot from 5 ft
9:05.0,A. Davis makes 2-pt shot from 11 ft,2,35-44,,
8:39.0,,,35-46,2,C. Joseph makes 2-pt shot from 3 ft
8:20.0,A. Davis misses 2-pt shot from 6 ft,,35-46,,
8:19.0,Offensive rebound by O. Asik,,35-46,,
8:19.0,Shooting foul by C. Joseph (drawn by O. Asik),,35-46,,
8:19.0,O. Asik makes free throw 1 of 2,1,36-46,,
8:19.0,O. Asik misses free throw 2 of 2,,36-46,,
8:18.0,,,36-46,,Defensive rebound by T. Duncan
8:04.0,,,36-48,2,D. Green makes 2-pt shot at rim (assist by K. Anderson)
7:38.0,J. Holiday makes 2-pt shot from 10 ft,2,38-48,,
7:17.0,,,38-48,,Turnover by C. Joseph (lost ball; steal by A. Davis)
7:02.0,Shooting foul by K. Anderson (drawn by T. Evans),,38-48,,
7:02.0,T. Evans makes free throw 1 of 2,1,39-48,,
7:02.0,,,39-48,,P. Mills enters the game for K. Anderson
7:02.0,,,39-48,,M. Belinelli enters the game for T. Duncan
7:02.0,,,39-48,,M. Ginobili enters the game for M. Bonner
7:02.0,,,39-48,,T. Splitter enters the game for D. Green
7:02.0,,,39-48,,B. Diaw enters the game for C. Joseph
7:02.0,T. Evans makes free throw 2 of 2,1,40-48,,
6:42.0,,,40-48,,Turnover by B. Diaw (lost ball; steal by T. Evans)
6:36.0,A. Davis makes 2-pt shot from 1 ft (assist by T. Evans),2,42-48,,
6:18.0,,,42-50,2,B. Diaw makes 2-pt shot from 22 ft (assist by M. Ginobili)
5:59.0,J. Holiday misses 3-pt shot from 23 ft,,42-50,,
5:57.0,,,42-50,,Defensive rebound by B. Diaw
5:46.0,,,42-50,,M. Ginobili misses 3-pt shot from 24 ft
5:45.0,Defensive rebound by O. Asik,,42-50,,
5:30.0,Turnover by A. Davis (bad pass; steal by M. Ginobili),,42-50,,
5:30.0,Loose ball foul by A. Davis (drawn by M. Ginobili),,42-50,,
5:30.0,,,42-50,,San Antonio full timeout
5:30.0,R. Anderson enters the game for O. Asik,,42-50,,
5:30.0,A. Rivers enters the game for L. Babbitt,,42-50,,
5:21.0,,,42-50,,M. Belinelli misses 3-pt shot from 23 ft
5:20.0,Defensive rebound by R. Anderson,,42-50,,
5:12.0,T. Evans makes 2-pt shot from 1 ft,2,44-50,,
4:54.0,,,44-50,,B. Diaw misses 2-pt shot from 3 ft
4:52.0,,,44-50,,Offensive rebound by B. Diaw
4:50.0,,,44-50,,B. Diaw misses 2-pt shot from 3 ft (block by A. Davis)
4:49.0,Defensive rebound by A. Rivers,,44-50,,
4:49.0,,,44-50,,Personal foul by M. Ginobili (drawn by J. Holiday)
4:42.0,,,44-50,,Personal foul by T. Splitter (drawn by A. Davis)
4:42.0,A. Davis makes free throw 1 of 2,1,45-50,,
4:42.0,A. Davis makes free throw 2 of 2,1,46-50,,
4:25.0,Personal foul by J. Holiday (drawn by M. Ginobili),,46-50,,
4:19.0,,,46-53,3,M. Ginobili makes 3-pt shot from 24 ft (assist by B. Diaw)
3:59.0,A. Rivers misses 3-pt shot from 24 ft,,46-53,,
3:58.0,,,46-53,,Defensive rebound by M. Belinelli
3:47.0,,,46-55,2,M. Belinelli makes 2-pt shot from 1 ft (assist by T. Splitter)
3:34.0,R. Anderson makes 2-pt shot at rim (assist by T. Evans),2,48-55,,
3:34.0,Shooting foul by B. Diaw (drawn by R. Anderson),,48-55,,
3:34.0,J. Fredette enters the game for J. Holiday,,48-55,,
3:34.0,R. Anderson makes free throw 1 of 1,1,49-55,,
3:25.0,,,49-55,,Shooting foul by A. Rivers (drawn by M. Belinelli)
3:25.0,,,49-56,1,M. Belinelli makes free throw 1 of 2
3:25.0,,,49-56,,M. Belinelli misses free throw 2 of 2
3:25.0,Defensive rebound by R. Anderson,,49-56,,
3:01.0,T. Evans misses 3-pt shot from 22 ft (block by B. Diaw),,49-56,,
3:00.0,,,49-56,,Defensive rebound by B. Diaw
2:54.0,,,49-56,,T. Splitter misses 2-pt shot at rim
2:53.0,,,49-56,,Offensive rebound by B. Diaw
2:53.0,,,49-58,2,B. Diaw makes 2-pt shot from 1 ft
2:38.0,R. Anderson makes 2-pt shot from 5 ft,2,51-58,,
2:38.0,,,51-58,,Shooting block foul by B. Diaw (drawn by R. Anderson)
2:38.0,New Orleans full timeout,,51-58,,
2:38.0,R. Anderson makes free throw 1 of 1,1,52-58,,
2:25.0,,,52-58,,M. Ginobili misses 2-pt shot from 11 ft
2:24.0,,,52-58,,Offensive rebound by M. Ginobili
2:22.0,,,52-60,2,M. Ginobili makes 2-pt shot from 3 ft
2:05.0,R. Anderson misses 3-pt shot from 23 ft,,52-60,,
2:04.0,,,52-60,,Defensive rebound by M. Ginobili
1:50.0,,,52-62,2,P. Mills makes 2-pt shot from 6 ft
1:30.0,J. Fredette makes 3-pt shot from 23 ft (assist by R. Anderson),3,55-62,,
1:11.0,,,55-62,,M. Ginobili misses 2-pt shot from 6 ft
1:11.0,Defensive rebound by Team,,55-62,,
1:11.0,,,55-62,,Loose ball foul by M. Ginobili (drawn by J. Fredette)
1:11.0,,,55-62,,K. Anderson enters the game for T. Splitter
1:11.0,,,55-62,,C. Joseph enters the game for M. Belinelli
1:11.0,,,55-62,,D. Green enters the game for M. Ginobili
1:11.0,,,55-62,,M. Bonner enters the game for P. Mills
1:11.0,,,55-62,,T. Duncan enters the game for B. Diaw
1:11.0,J. Fredette makes free throw 1 of 2,1,56-62,,
1:11.0,D. Cunningham enters the game for T. Evans,,56-62,,
1:11.0,J. Fredette makes free throw 2 of 2,1,57-62,,
0:51.0,,,57-62,,D. Green misses 2-pt shot from 2 ft
0:50.0,Defensive rebound by A. Davis,,57-62,,
0:37.0,J. Fredette makes 3-pt shot from 24 ft,3,60-62,,
0:29.0,,,60-62,,D. Green misses 3-pt shot from 24 ft
0:28.0,Defensive rebound by D. Cunningham,,60-62,,
0:04.0,Turnover by Team (shot clock),,60-62,,
0:00.0,,,60-62,,C. Joseph misses 2-pt shot at rim
0:00.0,Defensive rebound by D. Cunningham,,60-62,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Personal foul by A. Rivers (drawn by T. Duncan),,60-62,,
11:36.0,,,60-62,,M. Bonner misses 2-pt shot from 6 ft
11:36.0,Defensive rebound by A. Davis,,60-62,,
11:25.0,,,60-62,,Personal foul by T. Duncan (drawn by R. Anderson)
11:15.0,A. Rivers misses 3-pt shot from 24 ft,,60-62,,
11:14.0,,,60-62,,Defensive rebound by T. Duncan
11:04.0,,,60-64,2,T. Duncan makes 2-pt shot from 2 ft (assist by D. Green)
10:40.0,Turnover by J. Fredette (bad pass; steal by K. Anderson),,60-64,,
10:28.0,,,60-66,2,C. Joseph makes 2-pt shot from 1 ft (assist by T. Duncan)
10:27.0,New Orleans full timeout,,60-66,,
10:27.0,J. Holiday enters the game for A. Rivers,,60-66,,
10:17.0,J. Holiday misses 2-pt shot from 7 ft,,60-66,,
10:16.0,Offensive rebound by R. Anderson,,60-66,,
10:13.0,A. Davis misses 2-pt shot from 1 ft (block by T. Duncan),,60-66,,
10:11.0,Offensive rebound by R. Anderson,,60-66,,
10:11.0,R. Anderson makes 2-pt shot at rim,2,62-66,,
9:53.0,,,62-66,,Turnover by M. Bonner (bad pass; steal by A. Davis)
9:52.0,Shooting foul by M. Bonner (drawn by A. Davis),,62-66,,
9:52.0,A. Davis makes free throw 1 of 2,1,63-66,,
9:52.0,,,63-66,,M. Belinelli enters the game for K. Anderson
9:52.0,A. Davis makes free throw 2 of 2,1,64-66,,
9:35.0,,,64-68,2,M. Belinelli makes 2-pt shot from 1 ft (assist by T. Duncan)
9:20.0,R. Anderson makes 3-pt shot from 24 ft (assist by J. Holiday),3,67-68,,
9:11.0,Personal foul by D. Cunningham (drawn by M. Belinelli),,67-68,,
9:11.0,O. Asik enters the game for A. Davis,,67-68,,
8:54.0,,,67-70,2,T. Duncan makes 2-pt shot from 16 ft (assist by D. Green)
8:41.0,J. Holiday makes 3-pt shot from 24 ft,3,70-70,,
8:29.0,,,70-70,,Shooting foul by J. Holiday (drawn by C. Joseph)
8:29.0,,,70-71,1,C. Joseph makes free throw 1 of 2
8:29.0,,,70-71,,C. Joseph misses free throw 2 of 2
8:28.0,Defensive rebound by O. Asik,,70-71,,
8:15.0,J. Holiday misses 2-pt shot from 14 ft,,70-71,,
8:14.0,,,70-71,,Defensive rebound by M. Belinelli
7:50.0,,,70-73,2,T. Duncan makes 2-pt shot from 15 ft (assist by M. Belinelli)
7:34.0,J. Fredette makes 2-pt shot from 11 ft (assist by J. Holiday),2,72-73,,
7:11.0,,,72-73,,M. Bonner misses 3-pt shot from 24 ft
7:10.0,Defensive rebound by O. Asik,,72-73,,
7:00.0,J. Fredette makes 2-pt shot from 19 ft (assist by J. Holiday),2,74-73,,
6:35.0,,,74-73,,C. Joseph misses 2-pt shot from 12 ft
6:34.0,Defensive rebound by O. Asik,,74-73,,
6:17.0,J. Holiday misses 2-pt shot from 1 ft,,74-73,,
6:16.0,Offensive rebound by R. Anderson,,74-73,,
5:59.0,J. Holiday misses 3-pt shot from 24 ft,,74-73,,
5:58.0,,,74-73,,Defensive rebound by Team
5:58.0,Official timeout,,74-73,,
5:58.0,A. Davis enters the game for O. Asik,,74-73,,
5:58.0,T. Evans enters the game for D. Cunningham,,74-73,,
5:58.0,,,74-73,,P. Mills enters the game for C. Joseph
5:58.0,,,74-73,,M. Ginobili enters the game for M. Belinelli
5:58.0,,,74-73,,B. Diaw enters the game for M. Bonner
5:38.0,,,74-73,,D. Green misses 3-pt shot from 24 ft
5:37.0,Defensive rebound by J. Holiday,,74-73,,
5:19.0,R. Anderson misses 3-pt shot from 24 ft,,74-73,,
5:18.0,,,74-73,,Defensive rebound by D. Green
5:12.0,,,74-73,,T. Duncan misses 2-pt shot from 2 ft
5:11.0,Defensive rebound by J. Holiday,,74-73,,
5:03.0,J. Fredette misses 2-pt shot from 8 ft,,74-73,,
5:02.0,,,74-73,,Defensive rebound by T. Duncan
4:48.0,,,74-73,,M. Ginobili misses 2-pt shot from 8 ft
4:47.0,,,74-73,,Offensive rebound by M. Ginobili
4:31.0,,,74-73,,T. Duncan misses 2-pt shot from 10 ft
4:30.0,Defensive rebound by J. Holiday,,74-73,,
4:25.0,T. Evans misses 2-pt shot from 2 ft,,74-73,,
4:24.0,Offensive rebound by R. Anderson,,74-73,,
4:24.0,R. Anderson makes 2-pt shot from 1 ft,2,76-73,,
4:07.0,,,76-76,3,M. Ginobili makes 3-pt shot from 24 ft
3:49.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,78-76,,
3:32.0,,,78-76,,M. Ginobili misses 3-pt shot from 25 ft
3:31.0,Defensive rebound by A. Davis,,78-76,,
3:14.0,Turnover by J. Holiday (bad pass),,78-76,,
3:14.0,,,78-76,,T. Splitter enters the game for B. Diaw
3:00.0,,,78-78,2,P. Mills makes 2-pt shot from 17 ft
2:48.0,J. Holiday misses 2-pt shot at rim (block by T. Duncan),,78-78,,
2:47.0,Offensive rebound by Team,,78-78,,
2:47.0,,,78-78,,San Antonio full timeout
2:38.0,Offensive foul by J. Holiday,,78-78,,
2:38.0,Turnover by J. Holiday (offensive foul),,78-78,,
2:29.0,,,78-78,,Shooting foul by A. Davis (drawn by M. Ginobili)
2:29.0,,,78-79,1,M. Ginobili makes free throw 1 of 2
2:29.0,,,78-80,1,M. Ginobili makes free throw 2 of 2
2:13.0,,,78-80,,Personal foul by D. Green (drawn by A. Davis)
2:01.0,A. Davis makes 2-pt shot at rim (assist by R. Anderson),2,80-80,,
1:49.0,,,80-80,,P. Mills misses 3-pt shot from 23 ft
1:49.0,Defensive rebound by R. Anderson,,80-80,,
1:49.0,,,80-80,,Personal foul by M. Ginobili (drawn by R. Anderson)
1:33.0,R. Anderson misses 3-pt shot from 24 ft,,80-80,,
1:32.0,,,80-80,,Defensive rebound by T. Duncan
1:16.0,,,80-80,,D. Green misses 3-pt shot from 24 ft
1:15.0,Defensive rebound by J. Holiday,,80-80,,
0:57.0,T. Evans misses 2-pt shot from 6 ft,,80-80,,
0:56.0,,,80-80,,Defensive rebound by T. Splitter
0:38.0,,,80-80,,M. Ginobili misses 2-pt shot from 4 ft
0:37.0,Defensive rebound by Team,,80-80,,
0:37.0,New Orleans full timeout,,80-80,,
0:20.0,Shooting foul by D. Green (drawn by T. Evans),,80-80,,
0:20.0,T. Evans makes free throw 1 of 2,1,81-80,,
0:20.0,A. Rivers enters the game for J. Fredette,,81-80,,
0:20.0,T. Evans makes free throw 2 of 2,1,82-80,,
0:20.0,,,82-80,,San Antonio full timeout
0:20.0,,,82-80,,M. Bonner enters the game for T. Splitter
0:20.0,O. Asik enters the game for R. Anderson,,82-80,,
