time,Chicago,pts.away,score,pts.home,Milwaukee
7:27.0,,,57-58,,M. Carter-Williams misses 2-pt shot from 9 ft
7:27.0,Defensive rebound by Team,,57-58,,
7:27.0,,,57-58,,Loose ball foul by G. Antetokounmpo (drawn by M. Dunleavy)
7:17.0,M. Dunleavy misses 3-pt shot from 26 ft,,57-58,,
7:15.0,,,57-58,,Defensive rebound by Z. Pachulia
7:03.0,,,57-58,,E. Ilyasova misses 2-pt shot from 22 ft
7:02.0,Defensive rebound by J. Butler,,57-58,,
6:51.0,J. Butler makes 2-pt shot from 1 ft (assist by J. Noah),2,59-58,,
6:33.0,,,59-60,2,Z. Pachulia makes 2-pt shot from 13 ft (assist by M. Carter-Williams)
6:19.0,Shooting foul by E. Ilyasova (drawn by J. Noah),,59-60,,
6:19.0,J. Noah misses free throw 1 of 2,,59-60,,
6:19.0,Offensive rebound by Team,,59-60,,
6:19.0,J. Noah misses free throw 2 of 2,,59-60,,
6:18.0,,,59-60,,Defensive rebound by G. Antetokounmpo
6:04.0,,,59-60,,E. Ilyasova misses 3-pt shot from 25 ft
6:03.0,Defensive rebound by Team,,59-60,,
5:51.0,J. Noah misses 2-pt shot at rim,,59-60,,
5:50.0,,,59-60,,Defensive rebound by Z. Pachulia
5:50.0,Loose ball foul by P. Gasol (drawn by Z. Pachulia),,59-60,,
5:50.0,,,59-60,,Milwaukee full timeout
5:50.0,,,59-60,,J. Dudley enters the game for E. Ilyasova
5:36.0,,,59-60,,K. Middleton misses 2-pt shot from 16 ft (block by M. Dunleavy)
5:34.0,Defensive rebound by M. Dunleavy,,59-60,,
5:17.0,P. Gasol makes 2-pt shot from 13 ft (assist by D. Rose),2,61-60,,
4:50.0,,,61-60,,Turnover by K. Middleton (bad pass; steal by J. Butler)
4:43.0,M. Dunleavy makes 3-pt shot from 26 ft (assist by D. Rose),3,64-60,,
4:29.0,,,64-62,2,K. Middleton makes 2-pt shot from 1 ft (assist by Z. Pachulia)
4:29.0,,,64-62,,Shooting foul by M. Dunleavy (drawn by K. Middleton)
4:29.0,,,64-63,1,K. Middleton makes free throw 1 of 1
4:10.0,D. Rose misses 2-pt shot from 17 ft,,64-63,,
4:09.0,,,64-63,,Defensive rebound by G. Antetokounmpo
3:52.0,,,64-65,2,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by J. Dudley)
3:36.0,P. Gasol makes 2-pt shot from 18 ft (assist by D. Rose),2,66-65,,
3:23.0,Shooting block foul by P. Gasol (drawn by Z. Pachulia),,66-65,,
3:23.0,,,66-66,1,Z. Pachulia makes free throw 1 of 2
3:23.0,,,66-67,1,Z. Pachulia makes free throw 2 of 2
3:07.0,Turnover by D. Rose (bad pass; steal by Z. Pachulia),,66-67,,
2:54.0,,,66-69,2,G. Antetokounmpo makes 2-pt shot from 19 ft
2:45.0,,,66-69,,Personal foul by Z. Pachulia (drawn by P. Gasol)
2:45.0,Chicago full timeout,,66-69,,
2:45.0,T. Gibson enters the game for J. Noah,,66-69,,
2:32.0,Turnover by P. Gasol (bad pass; steal by K. Middleton),,66-69,,
2:29.0,,,66-69,,K. Middleton misses 2-pt shot at rim
2:28.0,Defensive rebound by J. Butler,,66-69,,
2:16.0,,,66-69,,Personal foul by Z. Pachulia (drawn by P. Gasol)
2:16.0,P. Gasol makes free throw 1 of 2,1,67-69,,
2:16.0,T. Snell enters the game for J. Butler,,67-69,,
2:16.0,P. Gasol makes free throw 2 of 2,1,68-69,,
2:04.0,,,68-69,,Turnover by Z. Pachulia (bad pass; steal by P. Gasol)
1:58.0,T. Gibson makes 2-pt shot from 1 ft (assist by M. Dunleavy),2,70-69,,
1:42.0,,,70-69,,G. Antetokounmpo misses 2-pt shot from 3 ft
1:41.0,,,70-69,,Offensive rebound by Z. Pachulia
1:41.0,,,70-69,,Z. Pachulia misses 2-pt shot from 1 ft
1:39.0,Defensive rebound by D. Rose,,70-69,,
1:27.0,Turnover by D. Rose (bad pass; steal by J. Dudley),,70-69,,
1:26.0,,,70-69,,Shooting foul by T. Snell (drawn by G. Antetokounmpo)
1:26.0,,,70-70,1,G. Antetokounmpo makes free throw 1 of 2
1:26.0,,,70-70,,J. Henson enters the game for Z. Pachulia
1:26.0,,,70-71,1,G. Antetokounmpo makes free throw 2 of 2
1:13.0,Turnover by P. Gasol (bad pass),,70-71,,
1:00.0,,,70-71,,J. Henson misses 2-pt shot from 3 ft
0:59.0,Defensive rebound by Team,,70-71,,
0:38.0,T. Snell misses 2-pt shot from 19 ft,,70-71,,
0:37.0,Offensive rebound by T. Snell,,70-71,,
0:35.0,T. Snell misses 2-pt shot at rim,,70-71,,
0:33.0,Offensive rebound by P. Gasol,,70-71,,
0:33.0,Shooting foul by J. Dudley (drawn by P. Gasol),,70-71,,
0:33.0,P. Gasol misses free throw 1 of 2,,70-71,,
0:33.0,Offensive rebound by Team,,70-71,,
0:33.0,,,70-71,,O. Mayo enters the game for G. Antetokounmpo
0:33.0,P. Gasol makes free throw 2 of 2,1,71-71,,
0:12.0,,,71-73,2,J. Dudley makes 2-pt shot from 13 ft (assist by J. Henson)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,71-75,2,J. Henson makes 2-pt shot from 1 ft (assist by J. Dudley)
11:14.0,A. Brooks misses 2-pt shot from 11 ft,,71-75,,
11:13.0,,,71-75,,Defensive rebound by J. Henson
11:04.0,,,71-75,,Turnover by J. Henson (traveling)
11:04.0,J. Butler enters the game for T. Snell,,71-75,,
10:40.0,T. Gibson misses 2-pt shot from 15 ft,,71-75,,
10:40.0,Offensive rebound by Team,,71-75,,
10:40.0,Turnover by Team (shot clock),,71-75,,
10:30.0,,,71-75,,J. Bayless misses 2-pt shot from 4 ft (block by A. Brooks)
10:30.0,,,71-75,,Offensive rebound by Team
10:30.0,N. Mirotic enters the game for M. Dunleavy,,71-75,,
10:22.0,,,71-75,,O. Mayo misses 2-pt shot from 16 ft
10:21.0,Defensive rebound by J. Noah,,71-75,,
10:04.0,J. Butler makes 2-pt shot from 14 ft,2,73-75,,
9:54.0,,,73-75,,Turnover by O. Mayo (bad pass; steal by N. Mirotic)
9:49.0,Turnover by N. Mirotic (lost ball; steal by O. Mayo),,73-75,,
9:38.0,,,73-75,,O. Mayo misses 3-pt shot from 26 ft
9:37.0,,,73-75,,Offensive rebound by J. Bayless
9:32.0,,,73-78,3,O. Mayo makes 3-pt shot from 25 ft (assist by J. Bayless)
9:07.0,Turnover by N. Mirotic (bad pass; steal by J. Dudley),,73-78,,
9:03.0,,,73-80,2,O. Mayo makes 2-pt shot from 2 ft (assist by J. Bayless)
9:02.0,Chicago full timeout,,73-80,,
9:02.0,D. Rose enters the game for A. Brooks,,73-80,,
8:40.0,N. Mirotic misses 2-pt shot from 19 ft (block by J. Henson),,73-80,,
8:40.0,Offensive rebound by Team,,73-80,,
8:36.0,J. Noah makes 2-pt shot from 1 ft (assist by T. Gibson),2,75-80,,
8:16.0,,,75-80,,Turnover by K. Middleton (bad pass; steal by T. Gibson)
8:16.0,,,75-80,,Loose ball foul by K. Middleton (drawn by T. Gibson)
7:58.0,Turnover by J. Butler (lost ball; steal by O. Mayo),,75-80,,
7:50.0,,,75-83,3,K. Middleton makes 3-pt shot from 24 ft (assist by J. Dudley)
7:34.0,J. Butler misses 2-pt shot from 14 ft (block by J. Dudley),,75-83,,
7:34.0,Offensive rebound by Team,,75-83,,
7:30.0,N. Mirotic misses 3-pt shot from 24 ft,,75-83,,
7:30.0,,,75-83,,Defensive rebound by Team
7:20.0,,,75-83,,Turnover by J. Henson (offensive goaltending)
7:06.0,D. Rose makes 2-pt shot at rim,2,77-83,,
6:43.0,,,77-83,,K. Middleton misses 3-pt shot from 23 ft
6:40.0,,,77-83,,Offensive rebound by K. Middleton
6:26.0,,,77-83,,K. Middleton misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by J. Butler,,77-83,,
6:11.0,J. Noah misses 2-pt shot from 10 ft (block by K. Middleton),,77-83,,
6:11.0,Offensive rebound by Team,,77-83,,
6:01.0,D. Rose makes 2-pt shot from 17 ft,2,79-83,,
5:51.0,,,79-85,2,J. Bayless makes 2-pt shot from 6 ft
5:51.0,,,79-85,,Shooting foul by D. Rose (drawn by J. Bayless)
5:51.0,Official timeout,,79-85,,
5:51.0,,,79-85,,J. Bayless misses free throw 1 of 1
5:50.0,Defensive rebound by D. Rose,,79-85,,
5:31.0,J. Noah misses 2-pt shot from 5 ft (block by J. Henson),,79-85,,
5:31.0,Offensive rebound by Team,,79-85,,
5:28.0,D. Rose misses 3-pt shot from 25 ft,,79-85,,
5:28.0,,,79-85,,Defensive rebound by Team
5:20.0,,,79-85,,J. Bayless misses 2-pt shot at rim
5:18.0,Defensive rebound by J. Noah,,79-85,,
4:55.0,Turnover by D. Rose (bad pass),,79-85,,
4:40.0,,,79-87,2,J. Dudley makes 2-pt shot at rim (assist by O. Mayo)
4:33.0,Chicago full timeout,,79-87,,
4:33.0,P. Gasol enters the game for J. Noah,,79-87,,
4:33.0,M. Dunleavy enters the game for T. Gibson,,79-87,,
4:28.0,,,79-87,,Personal foul by O. Mayo (drawn by J. Butler)
4:20.0,P. Gasol misses 2-pt shot from 15 ft,,79-87,,
4:19.0,,,79-87,,Defensive rebound by J. Henson
4:06.0,,,79-87,,Shooting foul by P. Gasol (drawn by J. Henson)
4:06.0,,,79-87,,J. Henson misses free throw 1 of 2
4:06.0,,,79-87,,Offensive rebound by Team
4:06.0,,,79-87,,J. Henson misses free throw 2 of 2
4:04.0,Defensive rebound by P. Gasol,,79-87,,
3:52.0,P. Gasol misses 2-pt shot from 2 ft (block by J. Henson),,79-87,,
