time,Sacramento,pts.away,score,pts.home,Milwaukee
8:49.0,C. Landry makes 2-pt shot from 17 ft (assist by R. McCallum),2,38-39,,
8:34.0,,,38-41,2,O. Mayo makes 2-pt shot from 18 ft (assist by J. Bayless)
8:22.0,C. Landry misses 2-pt shot from 16 ft,,38-41,,
8:20.0,,,38-41,,Defensive rebound by J. O'Bryant
8:00.0,,,38-41,,J. O'Bryant misses 2-pt shot at rim
7:58.0,Defensive rebound by J. Thompson,,38-41,,
7:44.0,Turnover by J. Thompson (lost ball; steal by Z. Pachulia),,38-41,,
7:37.0,,,38-41,,O. Mayo misses 3-pt shot from 24 ft
7:35.0,Defensive rebound by R. McCallum,,38-41,,
7:31.0,B. McLemore misses 2-pt shot from 11 ft,,38-41,,
7:29.0,,,38-41,,Defensive rebound by Z. Pachulia
7:25.0,,,38-41,,O. Mayo misses 2-pt shot at rim
7:23.0,Defensive rebound by D. Williams,,38-41,,
7:18.0,C. Landry misses 2-pt shot from 2 ft,,38-41,,
7:17.0,,,38-41,,Defensive rebound by J. O'Bryant
7:11.0,,,38-43,2,O. Mayo makes 2-pt shot at rim (assist by K. Middleton)
7:05.0,,,38-43,,Personal take foul by J. Bayless (drawn by R. McCallum)
7:05.0,Official timeout,,38-43,,
7:05.0,,,38-43,,J. Gutierrez enters the game for J. Bayless
7:05.0,,,38-43,,J. Henson enters the game for Z. Pachulia
7:05.0,D. Cousins enters the game for J. Thompson,,38-43,,
6:52.0,D. Cousins misses 2-pt shot at rim (block by J. Henson),,38-43,,
6:50.0,,,38-43,,Defensive rebound by K. Middleton
6:32.0,,,38-43,,O. Mayo misses 2-pt shot from 7 ft
6:30.0,Defensive rebound by D. Cousins,,38-43,,
6:18.0,D. Cousins makes 2-pt shot from 4 ft (assist by D. Williams),2,40-43,,
6:18.0,Shooting foul by J. O'Bryant (drawn by D. Cousins),,40-43,,
6:18.0,D. Cousins misses free throw 1 of 1,,40-43,,
6:17.0,Offensive rebound by C. Landry,,40-43,,
6:12.0,B. McLemore misses 3-pt shot from 25 ft,,40-43,,
6:11.0,,,40-43,,Defensive rebound by O. Mayo
6:06.0,,,40-43,,Turnover by O. Mayo (bad pass; steal by R. McCallum)
6:02.0,R. McCallum makes 2-pt shot at rim,2,42-43,,
5:47.0,,,42-43,,O. Mayo misses 2-pt shot at rim
5:45.0,Defensive rebound by D. Cousins,,42-43,,
5:36.0,C. Landry makes 2-pt shot from 13 ft (assist by D. Cousins),2,44-43,,
5:18.0,,,44-46,3,O. Mayo makes 3-pt shot from 23 ft (assist by J. O'Bryant)
5:04.0,Turnover by D. Cousins (bad pass; steal by K. Middleton),,44-46,,
4:59.0,,,44-46,,K. Middleton misses 2-pt shot from 3 ft
4:57.0,,,44-46,,Offensive rebound by O. Mayo
4:57.0,,,44-46,,O. Mayo misses 2-pt shot at rim
4:56.0,,,44-46,,Offensive rebound by O. Mayo
4:56.0,,,44-48,2,J. O'Bryant makes 2-pt shot at rim (assist by O. Mayo)
4:56.0,,,44-48,,Shooting foul by D. Williams (drawn by J. O'Bryant)
4:56.0,,,44-48,,Milwaukee full timeout
4:56.0,,,44-48,,B. Knight enters the game for O. Mayo
4:56.0,R. Gay enters the game for D. Williams,,44-48,,
4:56.0,,,44-48,,J. O'Bryant misses free throw 1 of 1
4:51.0,Defensive rebound by B. McLemore,,44-48,,
4:39.0,D. Cousins misses 2-pt shot from 18 ft,,44-48,,
4:38.0,,,44-48,,Defensive rebound by K. Middleton
4:24.0,,,44-50,2,B. Knight makes 2-pt shot from 18 ft
4:03.0,C. Landry misses 2-pt shot from 17 ft,,44-50,,
4:00.0,Offensive rebound by Team,,44-50,,
3:54.0,D. Cousins misses 2-pt shot from 16 ft,,44-50,,
3:53.0,,,44-50,,Defensive rebound by K. Middleton
3:42.0,,,44-50,,J. O'Bryant misses 2-pt shot from 18 ft (block by D. Cousins)
3:40.0,,,44-50,,Offensive rebound by J. Henson
3:39.0,,,44-52,2,J. Henson makes 2-pt shot at rim
3:28.0,D. Cousins misses 2-pt shot at rim,,44-52,,
3:27.0,,,44-52,,Defensive rebound by J. Henson
3:20.0,,,44-54,2,J. O'Bryant makes 2-pt shot at rim (assist by J. Gutierrez)
3:03.0,R. McCallum makes 3-pt shot from 23 ft (assist by R. Gay),3,47-54,,
2:50.0,,,47-54,,Shooting foul by D. Cousins (drawn by J. Henson)
2:50.0,Sacramento full timeout,,47-54,,
2:50.0,,,47-54,,G. Antetokounmpo enters the game for K. Middleton
2:50.0,,,47-54,,J. Dudley enters the game for J. O'Bryant
2:50.0,,,47-55,1,J. Henson makes free throw 1 of 2
2:50.0,D. Williams enters the game for B. McLemore,,47-55,,
2:50.0,R. Sessions enters the game for C. Landry,,47-55,,
2:50.0,,,47-56,1,J. Henson makes free throw 2 of 2
2:28.0,Turnover by D. Williams (bad pass; steal by J. Gutierrez),,47-56,,
2:28.0,,,47-56,,Turnover by J. Gutierrez (step out of bounds)
2:23.0,R. Gay misses 2-pt shot from 6 ft,,47-56,,
2:22.0,,,47-56,,Defensive rebound by G. Antetokounmpo
2:13.0,,,47-58,2,J. Henson makes 2-pt shot at rim (assist by J. Gutierrez)
1:52.0,D. Cousins makes 2-pt shot at rim (assist by R. McCallum),2,49-58,,
1:27.0,,,49-58,,Shooting foul by R. Sessions (drawn by J. Dudley)
1:27.0,,,49-59,1,J. Dudley makes free throw 1 of 2
1:27.0,,,49-60,1,J. Dudley makes free throw 2 of 2
1:10.0,D. Williams misses 3-pt shot from 25 ft,,49-60,,
1:09.0,,,49-60,,Defensive rebound by B. Knight
1:03.0,,,49-60,,Turnover by B. Knight (bad pass)
0:44.0,R. Sessions misses 2-pt shot from 4 ft,,49-60,,
0:43.0,,,49-60,,Defensive rebound by B. Knight
0:38.0,,,49-60,,J. Gutierrez misses 2-pt shot from 2 ft
0:36.0,,,49-60,,Offensive rebound by B. Knight
0:31.0,,,49-60,,J. Henson misses 2-pt shot from 5 ft
0:30.0,Defensive rebound by D. Cousins,,49-60,,
0:30.0,,,49-60,,Loose ball foul by J. Henson (drawn by D. Cousins)
0:30.0,D. Cousins makes free throw 1 of 2,1,50-60,,
0:30.0,D. Cousins makes free throw 2 of 2,1,51-60,,
0:10.0,,,51-60,,Turnover by G. Antetokounmpo (traveling)
0:03.0,Turnover by R. McCallum (step out of bounds),,51-60,,
0:00.0,,,51-60,,G. Antetokounmpo misses 3-pt shot from 32 ft
0:00.0,,,51-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,B. McLemore misses 2-pt shot at rim,,51-60,,
11:36.0,Offensive rebound by R. Gay,,51-60,,
11:28.0,Turnover by R. Gay (bad pass),,51-60,,
11:13.0,,,51-60,,K. Middleton misses 2-pt shot from 16 ft
11:12.0,Defensive rebound by D. Cousins,,51-60,,
11:00.0,Turnover by R. Sessions (bad pass; steal by G. Antetokounmpo),,51-60,,
10:57.0,,,51-62,2,G. Antetokounmpo makes 2-pt shot at rim
10:32.0,O. Casspi misses 3-pt shot from 23 ft,,51-62,,
10:29.0,,,51-62,,Defensive rebound by J. Dudley
10:22.0,,,51-62,,Offensive foul by G. Antetokounmpo
10:22.0,,,51-62,,Turnover by G. Antetokounmpo (offensive foul)
10:09.0,R. Gay makes 2-pt shot from 6 ft (assist by R. Sessions),2,53-62,,
9:51.0,,,53-62,,J. Henson misses 2-pt shot from 6 ft
9:50.0,Defensive rebound by O. Casspi,,53-62,,
9:40.0,O. Casspi makes 2-pt shot at rim (assist by R. Sessions),2,55-62,,
9:25.0,,,55-62,,B. Knight misses 3-pt shot from 25 ft
9:24.0,,,55-62,,Offensive rebound by K. Middleton
9:24.0,Loose ball foul by D. Cousins (drawn by K. Middleton),,55-62,,
9:18.0,,,55-62,,B. Knight misses 2-pt shot from 18 ft
9:17.0,Defensive rebound by D. Cousins,,55-62,,
9:06.0,R. Sessions misses 2-pt shot at rim,,55-62,,
9:05.0,Offensive rebound by O. Casspi,,55-62,,
9:03.0,O. Casspi makes 2-pt shot at rim,2,57-62,,
8:47.0,Personal foul by B. McLemore (drawn by K. Middleton),,57-62,,
8:43.0,,,57-62,,G. Antetokounmpo misses 2-pt shot at rim
8:41.0,Defensive rebound by R. Gay,,57-62,,
8:37.0,B. McLemore misses 2-pt shot at rim,,57-62,,
8:35.0,,,57-62,,Defensive rebound by J. Dudley
8:27.0,,,57-64,2,B. Knight makes 2-pt shot at rim
8:00.0,Shooting foul by J. Henson (drawn by D. Cousins),,57-64,,
8:00.0,D. Cousins makes free throw 1 of 2,1,58-64,,
8:00.0,D. Cousins makes free throw 2 of 2,1,59-64,,
7:48.0,,,59-64,,Turnover by B. Knight (lost ball)
7:30.0,,,59-64,,Shooting block foul by J. Henson (drawn by D. Cousins)
7:30.0,,,59-64,,Technical foul by J. Henson (drawn by D. Cousins)
7:30.0,R. Gay makes technical free throw,1,60-64,,
7:30.0,D. Cousins makes free throw 1 of 2,1,61-64,,
7:30.0,,,61-64,,Z. Pachulia enters the game for J. Henson
7:30.0,D. Cousins makes free throw 2 of 2,1,62-64,,
7:20.0,,,62-66,2,K. Middleton makes 2-pt shot from 18 ft (assist by B. Knight)
7:08.0,D. Cousins makes 2-pt shot at rim (assist by R. Sessions),2,64-66,,
6:55.0,,,64-66,,G. Antetokounmpo misses 2-pt shot from 1 ft
6:54.0,Defensive rebound by D. Cousins,,64-66,,
6:48.0,Turnover by D. Cousins (lost ball; steal by K. Middleton),,64-66,,
6:44.0,,,64-68,2,B. Knight makes 2-pt shot at rim (assist by K. Middleton)
6:23.0,Turnover by D. Cousins (bad pass),,64-68,,
6:20.0,,,64-68,,Turnover by B. Knight (bad pass; steal by B. McLemore)
6:00.0,O. Casspi misses 2-pt shot from 4 ft,,64-68,,
5:59.0,,,64-68,,Defensive rebound by Z. Pachulia
5:59.0,,,64-68,,Milwaukee full timeout
5:50.0,,,64-68,,Shooting foul by B. McLemore (drawn by K. Middleton)
5:50.0,,,64-69,1,K. Middleton makes free throw 1 of 2
5:50.0,D. Williams enters the game for B. McLemore,,64-69,,
5:50.0,,,64-70,1,K. Middleton makes free throw 2 of 2
5:24.0,R. Gay makes 3-pt shot from 25 ft (assist by D. Cousins),3,67-70,,
5:12.0,,,67-70,,K. Middleton misses 3-pt shot from 26 ft
5:11.0,Defensive rebound by D. Cousins,,67-70,,
5:04.0,Turnover by R. Sessions (bad pass),,67-70,,
4:52.0,,,67-72,2,Z. Pachulia makes 2-pt shot at rim (assist by B. Knight)
4:29.0,O. Casspi misses 2-pt shot from 5 ft,,67-72,,
4:27.0,,,67-72,,Defensive rebound by G. Antetokounmpo
4:21.0,,,67-74,2,G. Antetokounmpo makes 2-pt shot at rim
4:21.0,,,67-74,,Shooting foul by R. Gay (drawn by G. Antetokounmpo)
4:21.0,R. McCallum enters the game for R. Sessions,,67-74,,
4:21.0,,,67-74,,O. Mayo enters the game for K. Middleton
4:21.0,,,67-75,1,G. Antetokounmpo makes free throw 1 of 1
4:06.0,,,67-75,,Personal foul by Z. Pachulia (drawn by D. Cousins)
4:06.0,Personal foul by D. Cousins,,67-75,,
4:06.0,J. Thompson enters the game for D. Cousins,,67-75,,
3:59.0,,,67-75,,Personal foul by G. Antetokounmpo (drawn by R. Gay)
3:53.0,R. Gay misses 2-pt shot from 7 ft,,67-75,,
3:52.0,,,67-75,,Defensive rebound by Z. Pachulia
3:40.0,,,67-77,2,J. Dudley makes 2-pt shot at rim (assist by Z. Pachulia)
3:40.0,Sacramento full timeout,,67-77,,
3:36.0,C. Landry enters the game for O. Casspi,,67-77,,
3:19.0,Turnover by R. Gay (lost ball),,67-77,,
3:19.0,Jump ball: R. Gay vs. O. Mayo (B. Knight gains possession),,,,Jump ball: R. Gay vs. O. Mayo (B. Knight gains possession)
3:03.0,,,67-79,2,B. Knight makes 2-pt shot from 15 ft
2:38.0,R. McCallum misses 2-pt shot from 16 ft,,67-79,,
2:36.0,,,67-79,,Defensive rebound by J. Dudley
2:30.0,,,67-79,,O. Mayo misses 3-pt shot from 25 ft
2:29.0,Defensive rebound by R. Gay,,67-79,,
2:21.0,Turnover by R. Gay (lost ball; steal by G. Antetokounmpo),,67-79,,
2:18.0,,,67-81,2,B. Knight makes 2-pt shot at rim (assist by J. Dudley)
1:55.0,J. Thompson makes 2-pt shot from 19 ft (assist by R. McCallum),2,69-81,,
1:39.0,,,69-81,,B. Knight misses 3-pt shot from 26 ft
1:38.0,Defensive rebound by R. Gay,,69-81,,
1:27.0,,,69-81,,Shooting block foul by J. Dudley (drawn by D. Williams)
1:27.0,D. Williams misses free throw 1 of 2,,69-81,,
1:27.0,Offensive rebound by Team,,69-81,,
1:27.0,,,69-81,,J. O'Bryant enters the game for J. Dudley
1:27.0,D. Williams misses free throw 2 of 2,,69-81,,
1:26.0,,,69-81,,Defensive rebound by G. Antetokounmpo
1:12.0,,,69-84,3,B. Knight makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
0:51.0,D. Williams misses 3-pt shot from 27 ft,,69-84,,
0:49.0,Offensive rebound by R. Gay,,69-84,,
0:32.0,R. McCallum misses 3-pt shot from 26 ft,,69-84,,
0:29.0,,,69-84,,Defensive rebound by J. O'Bryant
0:07.0,,,69-87,3,B. Knight makes 3-pt shot from 25 ft
0:00.0,D. Williams misses 3-pt shot from 27 ft,,69-87,,
0:00.0,Offensive rebound by J. Thompson,,69-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,69-89,2,Z. Pachulia makes 2-pt shot from 15 ft (assist by J. Gutierrez)
11:18.0,R. McCallum misses 2-pt shot from 16 ft,,69-89,,
11:17.0,Offensive rebound by J. Thompson,,69-89,,
11:17.0,J. Thompson makes 2-pt shot from 1 ft,2,71-89,,
10:58.0,,,71-92,3,O. Mayo makes 3-pt shot from 23 ft (assist by J. O'Bryant)
10:41.0,D. Cousins makes 2-pt shot from 18 ft (assist by R. McCallum),2,73-92,,
10:21.0,,,73-94,2,J. Gutierrez makes 2-pt shot from 18 ft (assist by O. Mayo)
10:11.0,,,73-94,,Personal foul by J. Gutierrez (drawn by R. McCallum)
9:58.0,B. McLemore misses 3-pt shot from 23 ft,,73-94,,
9:57.0,,,73-94,,Defensive rebound by G. Antetokounmpo
9:45.0,,,73-94,,O. Mayo misses 2-pt shot from 15 ft
9:44.0,Defensive rebound by D. Cousins,,73-94,,
9:29.0,D. Cousins misses 2-pt shot at rim,,73-94,,
9:27.0,,,73-94,,Defensive rebound by Z. Pachulia
9:14.0,,,73-94,,Turnover by J. O'Bryant (lost ball; steal by J. Thompson)
9:11.0,,,73-94,,Personal foul by G. Antetokounmpo (drawn by D. Williams)
9:11.0,D. Williams makes free throw 1 of 2,1,74-94,,
9:11.0,R. Sessions enters the game for R. McCallum,,74-94,,
9:11.0,,,74-94,,K. Middleton enters the game for G. Antetokounmpo
9:11.0,D. Williams makes free throw 2 of 2,1,75-94,,
8:56.0,,,75-94,,K. Middleton misses 2-pt shot from 15 ft
8:55.0,Defensive rebound by D. Cousins,,75-94,,
8:37.0,D. Williams misses 2-pt shot from 15 ft,,75-94,,
8:36.0,Offensive rebound by J. Thompson,,75-94,,
8:36.0,Shooting foul by O. Mayo (drawn by J. Thompson),,75-94,,
8:36.0,Official timeout,,75-94,,
8:36.0,R. Gay enters the game for D. Williams,,75-94,,
8:36.0,J. Thompson makes free throw 1 of 2,1,76-94,,
8:36.0,J. Thompson misses free throw 2 of 2,,76-94,,
8:35.0,,,76-94,,Defensive rebound by J. Gutierrez
8:20.0,Shooting block foul by R. Gay (drawn by J. O'Bryant),,76-94,,
8:20.0,,,76-94,,J. O'Bryant misses free throw 1 of 2
8:20.0,,,76-94,,Offensive rebound by Team
8:20.0,,,76-94,,J. O'Bryant misses free throw 2 of 2
8:19.0,Defensive rebound by J. Thompson,,76-94,,
7:55.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. Sessions),2,78-94,,
7:38.0,,,78-94,,J. O'Bryant misses 2-pt shot at rim (block by J. Thompson)
7:35.0,Defensive rebound by R. Sessions,,78-94,,
7:34.0,B. McLemore makes 2-pt shot at rim (assist by R. Sessions),2,80-94,,
7:05.0,,,80-94,,Z. Pachulia misses 2-pt shot from 17 ft
7:04.0,Defensive rebound by D. Cousins,,80-94,,
7:02.0,,,80-94,,Personal foul by Z. Pachulia (drawn by R. Sessions)
7:02.0,,,80-94,,J. Dudley enters the game for J. O'Bryant
6:41.0,Turnover by D. Cousins (bad pass),,80-94,,
6:41.0,,,80-94,,J. Henson enters the game for Z. Pachulia
6:21.0,,,80-94,,Shooting foul by B. McLemore (drawn by O. Mayo)
6:21.0,,,80-95,1,O. Mayo makes free throw 1 of 3
6:21.0,,,80-96,1,O. Mayo makes free throw 2 of 3
6:21.0,,,80-97,1,O. Mayo makes free throw 3 of 3
6:04.0,B. McLemore misses 3-pt shot from 22 ft,,80-97,,
5:57.0,,,80-97,,Defensive rebound by J. Gutierrez
5:57.0,,,80-97,,Milwaukee full timeout
5:57.0,D. Williams enters the game for J. Thompson,,80-97,,
5:48.0,,,80-97,,K. Middleton misses 2-pt shot from 17 ft
5:46.0,Defensive rebound by D. Cousins,,80-97,,
5:28.0,D. Cousins misses 2-pt shot from 1 ft,,80-97,,
5:27.0,,,80-97,,Defensive rebound by J. Henson
5:13.0,,,80-97,,Turnover by J. Henson (lost ball; steal by D. Williams)
5:12.0,,,80-97,,Personal foul by J. Gutierrez (drawn by D. Williams)
5:12.0,D. Williams makes free throw 1 of 2,1,81-97,,
5:12.0,D. Williams makes free throw 2 of 2,1,82-97,,
4:52.0,,,82-97,,J. Henson misses 2-pt shot from 3 ft
