time,New Orleans,pts.away,score,pts.home,Orlando
11:18.0,Defensive rebound by J. Fredette,,22-19,,
11:02.0,A. Ajinca makes 2-pt shot from 17 ft (assist by J. Fredette),2,24-19,,
10:46.0,,,24-19,,A. Gordon misses 2-pt shot from 19 ft
10:44.0,,,24-19,,Offensive rebound by W. Green
10:34.0,,,24-21,2,A. Gordon makes 2-pt shot from 4 ft
10:20.0,L. Babbitt makes 2-pt shot from 20 ft (assist by R. Anderson),2,26-21,,
10:09.0,,,26-24,3,A. Nicholson makes 3-pt shot from 25 ft (assist by L. Ridnour)
9:50.0,A. Ajinca misses 2-pt shot from 13 ft,,26-24,,
9:50.0,,,26-24,,Defensive rebound by A. Gordon
9:44.0,,,26-26,2,L. Ridnour makes 2-pt shot at rim
9:18.0,Q. Pondexter makes 3-pt shot from 27 ft,3,29-26,,
9:01.0,,,29-26,,W. Green misses 2-pt shot from 13 ft
9:00.0,Defensive rebound by R. Anderson,,29-26,,
8:50.0,R. Anderson makes 3-pt shot from 26 ft (assist by Q. Pondexter),3,32-26,,
8:27.0,,,32-26,,W. Green misses 2-pt shot at rim
8:25.0,Defensive rebound by Q. Pondexter,,32-26,,
8:17.0,Shooting foul by W. Green (drawn by J. Fredette),,32-26,,
8:17.0,Official timeout,,32-26,,
8:17.0,J. Fredette makes free throw 1 of 2,1,33-26,,
8:17.0,,,33-26,,N. Vucevic enters the game for D. Dedmon
8:17.0,J. Fredette makes free throw 2 of 2,1,34-26,,
7:59.0,,,34-28,2,L. Ridnour makes 2-pt shot from 14 ft
7:44.0,R. Anderson misses 3-pt shot from 27 ft,,34-28,,
7:43.0,,,34-28,,Defensive rebound by N. Vucevic
7:31.0,,,34-30,2,N. Vucevic makes 2-pt shot from 7 ft
7:12.0,R. Anderson misses 2-pt shot from 1 ft,,34-30,,
7:11.0,,,34-30,,Defensive rebound by N. Vucevic
7:07.0,Violation by Q. Pondexter (kicked ball),,34-30,,
7:07.0,E. Gordon enters the game for L. Babbitt,,34-30,,
7:07.0,,,34-30,,V. Oladipo enters the game for A. Gordon
6:59.0,,,34-30,,Turnover by N. Vucevic (traveling)
6:46.0,Q. Pondexter makes 2-pt shot at rim,2,36-30,,
6:29.0,,,36-30,,Turnover by L. Ridnour (bad pass; steal by Q. Pondexter)
6:29.0,,,36-30,,Personal foul by V. Oladipo (drawn by Q. Pondexter)
6:29.0,A. Davis enters the game for A. Ajinca,,36-30,,
6:29.0,,,36-30,,K. O'Quinn enters the game for A. Nicholson
6:19.0,Shooting foul by V. Oladipo (drawn by R. Anderson),,36-30,,
6:19.0,R. Anderson makes free throw 1 of 2,1,37-30,,
6:19.0,,,37-30,,E. Payton enters the game for L. Ridnour
6:19.0,,,37-30,,E. Fournier enters the game for V. Oladipo
6:19.0,R. Anderson misses free throw 2 of 2,,37-30,,
6:18.0,,,37-30,,Defensive rebound by K. O'Quinn
6:03.0,,,37-30,,E. Fournier misses 2-pt shot from 19 ft
6:03.0,Defensive rebound by A. Davis,,37-30,,
5:52.0,A. Davis makes 2-pt shot at rim (assist by J. Fredette),2,39-30,,
5:52.0,,,39-30,,Orlando full timeout
5:52.0,,,39-30,,C. Frye enters the game for K. O'Quinn
5:36.0,,,39-30,,Turnover by N. Vucevic (lost ball; steal by R. Anderson)
5:31.0,Turnover by E. Gordon (bad pass),,39-30,,
5:09.0,,,39-32,2,E. Payton makes 2-pt shot from 7 ft
4:45.0,A. Davis misses 2-pt shot from 16 ft,,39-32,,
4:44.0,Offensive rebound by R. Anderson,,39-32,,
4:44.0,R. Anderson makes 2-pt shot at rim,2,41-32,,
4:36.0,,,41-32,,Shooting foul by J. Fredette (drawn by E. Payton)
4:36.0,,,41-32,,E. Payton misses free throw 1 of 2
4:36.0,,,41-32,,Offensive rebound by Team
4:36.0,T. Evans enters the game for Q. Pondexter,,41-32,,
4:36.0,,,41-33,1,E. Payton makes free throw 2 of 2
4:12.0,J. Fredette misses 2-pt shot from 20 ft,,41-33,,
4:10.0,,,41-33,,Defensive rebound by W. Green
4:03.0,,,41-33,,E. Fournier misses 3-pt shot from 23 ft
4:02.0,,,41-33,,Offensive rebound by N. Vucevic
3:58.0,,,41-33,,N. Vucevic misses 2-pt shot from 1 ft (block by A. Davis)
3:58.0,,,41-33,,Offensive rebound by Team
3:51.0,,,41-33,,C. Frye misses 2-pt shot from 17 ft
3:47.0,,,41-33,,Offensive rebound by N. Vucevic
3:47.0,,,41-33,,N. Vucevic misses 2-pt shot at rim
3:46.0,Defensive rebound by T. Evans,,41-33,,
3:39.0,R. Anderson misses 3-pt shot from 25 ft,,41-33,,
3:39.0,,,41-33,,Defensive rebound by W. Green
3:25.0,,,41-35,2,E. Fournier makes 2-pt shot from 2 ft (assist by W. Green)
3:25.0,New Orleans full timeout,,41-35,,
3:25.0,O. Asik enters the game for R. Anderson,,41-35,,
3:25.0,D. Cunningham enters the game for J. Fredette,,41-35,,
3:09.0,Turnover by A. Davis (lost ball),,41-35,,
2:53.0,,,41-35,,E. Fournier misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by D. Cunningham,,41-35,,
2:44.0,E. Gordon misses 3-pt shot from 25 ft,,41-35,,
2:43.0,,,41-35,,Defensive rebound by C. Frye
2:26.0,,,41-37,2,N. Vucevic makes 2-pt shot from 4 ft
2:07.0,D. Cunningham misses 2-pt shot from 18 ft,,41-37,,
2:06.0,,,41-37,,Defensive rebound by E. Payton
2:02.0,Violation by A. Davis (def goaltending),,41-37,,
2:02.0,,,41-39,2,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton)
1:43.0,A. Davis misses 2-pt shot from 5 ft,,41-39,,
1:41.0,,,41-39,,Defensive rebound by E. Payton
1:35.0,,,41-41,2,E. Payton makes 2-pt shot from 10 ft
1:16.0,A. Davis makes 2-pt shot from 16 ft (assist by E. Gordon),2,43-41,,
1:04.0,,,43-43,2,E. Fournier makes 2-pt shot at rim (assist by E. Payton)
0:49.0,,,43-43,,Personal foul by E. Payton (drawn by A. Davis)
0:40.0,A. Davis makes 2-pt shot from 18 ft (assist by T. Evans),2,45-43,,
0:23.0,,,45-43,,E. Fournier misses 2-pt shot from 18 ft
0:22.0,Defensive rebound by E. Gordon,,45-43,,
0:05.0,Shooting foul by E. Payton (drawn by T. Evans),,45-43,,
0:05.0,T. Evans makes free throw 1 of 2,1,46-43,,
0:05.0,T. Evans makes free throw 2 of 2,1,47-43,,
0:05.0,,,47-43,,Orlando full timeout
0:05.0,Q. Pondexter enters the game for D. Cunningham,,47-43,,
0:00.0,,,47-43,,N. Vucevic misses 2-pt shot from 1 ft (block by O. Asik)
0:00.0,,,47-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,47-43,,Shooting block foul by N. Vucevic (drawn by A. Davis)
11:44.0,A. Davis makes free throw 1 of 2,1,48-43,,
11:44.0,A. Davis misses free throw 2 of 2,,48-43,,
11:43.0,,,48-43,,Defensive rebound by C. Frye
11:23.0,,,48-43,,E. Fournier misses 3-pt shot from 23 ft
11:22.0,,,48-43,,Offensive rebound by N. Vucevic
11:22.0,,,48-45,2,N. Vucevic makes 2-pt shot at rim
11:01.0,A. Davis misses 2-pt shot from 7 ft,,48-45,,
11:00.0,,,48-45,,Defensive rebound by Team
10:44.0,,,48-47,2,V. Oladipo makes 2-pt shot from 12 ft
10:26.0,O. Asik misses 2-pt shot from 1 ft,,48-47,,
10:26.0,,,48-47,,Defensive rebound by N. Vucevic
10:05.0,,,48-49,2,C. Frye makes 2-pt shot from 4 ft
9:43.0,D. Cunningham makes 2-pt shot from 2 ft (assist by T. Evans),2,50-49,,
9:21.0,,,50-49,,V. Oladipo misses 2-pt shot from 16 ft
9:20.0,Defensive rebound by E. Gordon,,50-49,,
9:11.0,D. Cunningham makes 2-pt shot at rim (assist by E. Gordon),2,52-49,,
8:47.0,,,52-51,2,N. Vucevic makes 2-pt shot from 19 ft (assist by V. Oladipo)
8:31.0,A. Davis misses 2-pt shot from 4 ft,,52-51,,
8:30.0,,,52-51,,Defensive rebound by N. Vucevic
8:24.0,,,52-53,2,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton)
8:23.0,New Orleans full timeout,,52-53,,
8:03.0,Turnover by D. Cunningham (bad pass; steal by C. Frye),,52-53,,
7:58.0,Violation by D. Cunningham (kicked ball),,52-53,,
7:50.0,,,52-55,2,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton)
7:24.0,T. Evans misses 2-pt shot from 22 ft,,52-55,,
7:23.0,Offensive rebound by D. Cunningham,,52-55,,
7:06.0,O. Asik makes 2-pt shot at rim (assist by T. Evans),2,54-55,,
6:53.0,,,54-55,,C. Frye misses 3-pt shot from 24 ft
6:52.0,Defensive rebound by O. Asik,,54-55,,
6:43.0,T. Evans makes 2-pt shot at rim,2,56-55,,
6:34.0,,,56-55,,Turnover by V. Oladipo (bad pass; steal by O. Asik)
6:30.0,Shooting foul by C. Frye (drawn by A. Davis),,56-55,,
6:30.0,A. Davis makes free throw 1 of 2,1,57-55,,
6:30.0,Q. Pondexter enters the game for D. Cunningham,,57-55,,
6:30.0,A. Davis makes free throw 2 of 2,1,58-55,,
6:16.0,,,58-57,2,V. Oladipo makes 2-pt shot from 2 ft
6:02.0,A. Davis misses 2-pt shot from 20 ft,,58-57,,
6:01.0,,,58-57,,Defensive rebound by E. Fournier
5:46.0,,,58-59,2,E. Fournier makes 2-pt shot from 20 ft (assist by N. Vucevic)
5:27.0,A. Davis misses 2-pt shot from 2 ft (block by N. Vucevic),,58-59,,
5:25.0,,,58-59,,Defensive rebound by E. Fournier
5:21.0,,,58-61,2,E. Payton makes 2-pt shot from 2 ft (assist by E. Fournier)
5:04.0,Turnover by Q. Pondexter (traveling),,58-61,,
4:49.0,,,58-63,2,V. Oladipo makes 2-pt shot from 1 ft
4:32.0,O. Asik misses 2-pt shot from 2 ft (block by V. Oladipo),,58-63,,
4:31.0,,,58-63,,Defensive rebound by E. Fournier
4:27.0,,,58-65,2,E. Fournier makes 2-pt shot from 6 ft
4:27.0,New Orleans full timeout,,58-65,,
4:27.0,R. Anderson enters the game for O. Asik,,58-65,,
4:13.0,E. Gordon makes 3-pt shot from 23 ft (assist by T. Evans),3,61-65,,
4:03.0,Personal foul by Q. Pondexter (drawn by V. Oladipo),,61-65,,
3:46.0,,,61-65,,C. Frye misses 3-pt shot from 25 ft
3:45.0,Defensive rebound by T. Evans,,61-65,,
3:42.0,Shooting foul by C. Frye (drawn by Q. Pondexter),,61-65,,
3:42.0,Q. Pondexter makes free throw 1 of 2,1,62-65,,
3:42.0,,,62-65,,D. Dedmon enters the game for C. Frye
3:42.0,Q. Pondexter makes free throw 2 of 2,1,63-65,,
3:31.0,,,63-67,2,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton)
3:16.0,R. Anderson misses 3-pt shot from 24 ft,,63-67,,
3:14.0,,,63-67,,Defensive rebound by E. Payton
3:05.0,,,63-67,,W. Green enters the game for E. Fournier
3:05.0,,,63-67,,Orlando full timeout
2:59.0,,,63-67,,V. Oladipo misses 3-pt shot from 23 ft
2:58.0,Defensive rebound by E. Gordon,,63-67,,
2:46.0,T. Evans makes 2-pt shot at rim (assist by E. Gordon),2,65-67,,
2:32.0,,,65-67,,N. Vucevic misses 2-pt shot from 19 ft
2:31.0,Defensive rebound by T. Evans,,65-67,,
2:22.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,67-67,,
2:06.0,,,67-69,2,V. Oladipo makes 2-pt shot at rim (assist by E. Payton)
1:48.0,T. Evans makes 2-pt shot from 1 ft,2,69-69,,
1:34.0,,,69-69,,Shooting foul by T. Evans (drawn by E. Payton)
1:34.0,,,69-70,1,E. Payton makes free throw 1 of 2
1:34.0,,,69-70,,A. Nicholson enters the game for N. Vucevic
1:34.0,,,69-70,,E. Fournier enters the game for V. Oladipo
1:34.0,J. Fredette enters the game for E. Gordon,,69-70,,
1:34.0,,,69-70,,E. Payton misses free throw 2 of 2
1:32.0,Defensive rebound by A. Davis,,69-70,,
1:18.0,T. Evans misses 3-pt shot from 24 ft,,69-70,,
1:17.0,,,69-70,,Defensive rebound by D. Dedmon
1:09.0,Personal foul by Q. Pondexter (drawn by A. Nicholson),,69-70,,
1:09.0,,,69-70,,L. Ridnour enters the game for E. Payton
1:09.0,,,69-71,1,A. Nicholson makes free throw 1 of 2
1:09.0,,,69-71,,A. Nicholson misses free throw 2 of 2
1:09.0,,,69-71,,Offensive rebound by D. Dedmon
1:09.0,,,69-73,2,D. Dedmon makes 2-pt shot from 2 ft
0:53.0,Shooting foul by D. Dedmon (drawn by R. Anderson),,69-73,,
0:53.0,R. Anderson makes free throw 1 of 2,1,70-73,,
0:53.0,R. Anderson makes free throw 2 of 2,1,71-73,,
0:38.0,,,71-73,,L. Ridnour misses 2-pt shot from 19 ft
0:37.0,Defensive rebound by T. Evans,,71-73,,
0:28.0,J. Fredette misses 2-pt shot from 5 ft,,71-73,,
0:27.0,,,71-73,,Defensive rebound by L. Ridnour
0:03.0,,,71-73,,E. Fournier misses 2-pt shot from 1 ft
0:03.0,Defensive rebound by R. Anderson,,71-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,71-73,,Turnover by D. Dedmon (offensive goaltending)
11:29.0,R. Anderson makes 2-pt shot from 21 ft,2,73-73,,
11:19.0,,,73-75,2,W. Green makes 2-pt shot from 19 ft
11:09.0,Turnover by E. Gordon (back court),,73-75,,
10:43.0,,,73-77,2,D. Dedmon makes 2-pt shot at rim (assist by E. Fournier)
10:30.0,E. Gordon misses 2-pt shot from 1 ft,,73-77,,
10:30.0,,,73-77,,Defensive rebound by Team
10:08.0,,,73-80,3,W. Green makes 3-pt shot from 24 ft
9:50.0,R. Anderson misses 2-pt shot from 16 ft,,73-80,,
9:48.0,Offensive rebound by Q. Pondexter,,73-80,,
9:33.0,A. Ajinca misses 2-pt shot from 14 ft,,73-80,,
9:32.0,,,73-80,,Defensive rebound by D. Dedmon
9:18.0,,,73-82,2,W. Green makes 2-pt shot at rim (assist by D. Dedmon)
9:18.0,New Orleans full timeout,,73-82,,
9:18.0,A. Davis enters the game for A. Ajinca,,73-82,,
8:58.0,J. Fredette misses 3-pt shot from 24 ft,,73-82,,
8:58.0,,,73-82,,Defensive rebound by W. Green
8:40.0,,,73-82,,A. Nicholson misses 3-pt shot from 24 ft
8:40.0,Defensive rebound by Q. Pondexter,,73-82,,
8:35.0,Shooting foul by D. Dedmon (drawn by Q. Pondexter),,73-82,,
8:35.0,Q. Pondexter makes free throw 1 of 2,1,74-82,,
8:35.0,T. Evans enters the game for J. Fredette,,74-82,,
8:35.0,Q. Pondexter makes free throw 2 of 2,1,75-82,,
8:16.0,,,75-82,,L. Ridnour misses 3-pt shot from 24 ft
8:16.0,Defensive rebound by T. Evans,,75-82,,
8:12.0,,,75-82,,Personal block foul by W. Green (drawn by T. Evans)
8:12.0,,,75-82,,V. Oladipo enters the game for L. Ridnour
8:12.0,,,75-82,,N. Vucevic enters the game for D. Dedmon
8:03.0,Turnover by T. Evans (bad pass; steal by N. Vucevic),,75-82,,
8:02.0,Personal take foul by T. Evans (drawn by V. Oladipo),,75-82,,
7:41.0,,,75-85,3,E. Fournier makes 3-pt shot from 24 ft (assist by W. Green)
7:23.0,R. Anderson misses 3-pt shot from 26 ft,,75-85,,
7:22.0,,,75-85,,Defensive rebound by V. Oladipo
7:12.0,,,75-85,,V. Oladipo misses 3-pt shot from 25 ft
7:12.0,Defensive rebound by A. Davis,,75-85,,
7:00.0,E. Gordon misses 3-pt shot from 24 ft,,75-85,,
7:00.0,,,75-85,,Defensive rebound by V. Oladipo
6:42.0,,,75-87,2,A. Nicholson makes 2-pt shot from 5 ft (assist by W. Green)
6:20.0,T. Evans misses 3-pt shot from 24 ft,,75-87,,
6:20.0,,,75-87,,Defensive rebound by N. Vucevic
6:02.0,,,75-87,,Turnover by A. Nicholson (bad pass; steal by R. Anderson)
5:56.0,,,75-87,,Personal foul by A. Nicholson (drawn by A. Davis)
5:56.0,Official timeout,,75-87,,
5:56.0,,,75-87,,E. Payton enters the game for W. Green
5:48.0,A. Davis misses 2-pt shot from 16 ft,,75-87,,
5:47.0,,,75-87,,Defensive rebound by E. Fournier
5:32.0,,,75-87,,N. Vucevic misses 2-pt shot from 11 ft
5:31.0,Defensive rebound by T. Evans,,75-87,,
5:23.0,E. Gordon misses 2-pt shot from 9 ft,,75-87,,
5:23.0,,,75-87,,Defensive rebound by E. Fournier
5:19.0,,,75-89,2,V. Oladipo makes 2-pt shot at rim (assist by E. Fournier)
4:54.0,,,75-89,,Shooting block foul by N. Vucevic (drawn by T. Evans)
4:54.0,T. Evans makes free throw 1 of 2,1,76-89,,
4:54.0,T. Evans makes free throw 2 of 2,1,77-89,,
4:40.0,Personal foul by E. Gordon (drawn by A. Nicholson),,77-89,,
4:28.0,,,77-89,,E. Payton misses 2-pt shot from 1 ft (block by R. Anderson)
4:28.0,,,77-89,,Offensive rebound by Team
4:25.0,,,77-89,,N. Vucevic misses 2-pt shot from 18 ft
4:24.0,Defensive rebound by A. Davis,,77-89,,
4:19.0,,,77-89,,Personal foul by N. Vucevic (drawn by R. Anderson)
4:19.0,R. Anderson misses free throw 1 of 2,,77-89,,
4:19.0,Offensive rebound by Team,,77-89,,
4:19.0,R. Anderson makes free throw 2 of 2,1,78-89,,
3:55.0,,,78-89,,V. Oladipo misses 3-pt shot from 24 ft
3:54.0,,,78-89,,Offensive rebound by E. Payton
3:36.0,,,78-89,,N. Vucevic misses 2-pt shot from 19 ft
3:35.0,Defensive rebound by T. Evans,,78-89,,
3:28.0,T. Evans makes 2-pt shot at rim,2,80-89,,
3:23.0,,,80-89,,Orlando full timeout
3:10.0,,,80-91,2,N. Vucevic makes 2-pt shot from 4 ft
2:54.0,Shooting foul by N. Vucevic (drawn by Q. Pondexter),,80-91,,
2:54.0,Q. Pondexter makes free throw 1 of 2,1,81-91,,
2:54.0,Q. Pondexter makes free throw 2 of 2,1,82-91,,
2:48.0,Personal foul by T. Evans (drawn by E. Payton),,82-91,,
2:31.0,,,82-91,,E. Fournier misses 3-pt shot from 22 ft
2:31.0,Defensive rebound by A. Davis,,82-91,,
2:21.0,T. Evans misses 2-pt shot from 1 ft,,82-91,,
2:20.0,,,82-91,,Defensive rebound by N. Vucevic
2:06.0,,,82-91,,E. Payton misses 2-pt shot from 4 ft
2:05.0,,,82-91,,Offensive rebound by E. Payton
2:00.0,,,82-91,,A. Nicholson misses 2-pt shot from 2 ft
2:00.0,,,82-91,,Offensive rebound by N. Vucevic
2:00.0,,,82-93,2,N. Vucevic makes 2-pt shot at rim
1:44.0,R. Anderson misses 3-pt shot from 25 ft,,82-93,,
1:43.0,,,82-93,,Defensive rebound by N. Vucevic
1:27.0,Personal foul by E. Gordon (drawn by A. Nicholson),,82-93,,
1:27.0,A. Ajinca enters the game for A. Davis,,82-93,,
1:27.0,J. Withey enters the game for R. Anderson,,82-93,,
1:27.0,,,82-93,,Orlando full timeout
1:27.0,L. Babbitt enters the game for E. Gordon,,82-93,,
1:27.0,J. Fredette enters the game for T. Evans,,82-93,,
1:16.0,,,82-93,,E. Fournier misses 2-pt shot from 13 ft
1:16.0,Defensive rebound by A. Ajinca,,82-93,,
0:59.0,Q. Pondexter misses 3-pt shot from 24 ft,,82-93,,
0:58.0,,,82-93,,Defensive rebound by E. Fournier
0:37.0,,,82-95,2,E. Payton makes 2-pt shot at rim
0:26.0,L. Babbitt misses 2-pt shot from 15 ft,,82-95,,
0:25.0,Offensive rebound by J. Fredette,,82-95,,
0:20.0,L. Babbitt makes 2-pt shot from 2 ft,2,84-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
