time,Cleveland,pts.away,score,pts.home,Miami
0:59.0,,,22-26,,C. Andersen enters the game for H. Whiteside
0:59.0,,,22-26,,M. Beasley enters the game for L. Deng
0:59.0,L. James enters the game for J. Smith,,22-26,,
0:59.0,M. Dellavedova enters the game for K. Irving,,22-26,,
0:59.0,,,22-27,1,M. Chalmers makes free throw 2 of 2
0:34.0,L. James misses 3-pt shot from 24 ft,,22-27,,
0:33.0,,,22-27,,Defensive rebound by C. Andersen
0:19.0,,,22-27,,Turnover by C. Andersen (lost ball)
0:01.0,J. Jones misses 3-pt shot from 23 ft,,22-27,,
0:00.0,Offensive rebound by T. Mozgov,,22-27,,
0:00.0,T. Mozgov misses 2-pt shot at rim,,22-27,,
0:00.0,Offensive rebound by Team,,22-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,22-29,2,G. Dragic makes 2-pt shot from 9 ft
11:05.0,M. Dellavedova misses 2-pt shot from 18 ft,,22-29,,
11:04.0,,,22-29,,Defensive rebound by M. Chalmers
10:47.0,,,22-31,2,M. Chalmers makes 2-pt shot from 8 ft
10:24.0,L. James misses 2-pt shot from 1 ft,,22-31,,
10:23.0,,,22-31,,Defensive rebound by H. Walker
10:17.0,,,22-33,2,G. Dragic makes 2-pt shot from 6 ft
9:57.0,L. James makes 3-pt shot from 24 ft,3,25-33,,
9:38.0,,,25-33,,G. Dragic misses 2-pt shot from 1 ft (block by I. Shumpert)
9:37.0,Defensive rebound by T. Thompson,,25-33,,
9:20.0,T. Thompson misses 2-pt shot from 1 ft,,25-33,,
9:19.0,,,25-33,,Defensive rebound by H. Walker
9:08.0,,,25-33,,H. Walker misses 3-pt shot from 24 ft
9:07.0,Defensive rebound by T. Thompson,,25-33,,
9:05.0,,,25-33,,Personal foul by M. Beasley (drawn by M. Dellavedova)
9:05.0,K. Irving enters the game for M. Dellavedova,,25-33,,
8:51.0,K. Irving makes 2-pt shot from 12 ft,2,27-33,,
8:37.0,,,27-35,2,C. Andersen makes 2-pt shot at rim (assist by M. Beasley)
8:24.0,T. Thompson misses 2-pt shot from 3 ft,,27-35,,
8:23.0,,,27-35,,Defensive rebound by C. Andersen
8:13.0,,,27-35,,C. Andersen misses 3-pt shot from 24 ft
8:12.0,Defensive rebound by I. Shumpert,,27-35,,
8:04.0,J. Jones misses 3-pt shot from 23 ft,,27-35,,
8:03.0,,,27-35,,Defensive rebound by M. Beasley
7:51.0,,,27-35,,Offensive charge foul by M. Beasley
7:51.0,,,27-35,,Turnover by M. Beasley (offensive foul)
7:51.0,Official timeout,,27-35,,
7:51.0,J. Smith enters the game for T. Thompson,,27-35,,
7:51.0,T. Mozgov enters the game for J. Jones,,27-35,,
7:37.0,L. James misses 3-pt shot from 24 ft,,27-35,,
7:36.0,,,27-35,,Defensive rebound by H. Walker
7:17.0,,,27-35,,Turnover by G. Dragic (bad pass; steal by I. Shumpert)
7:13.0,,,27-35,,D. Wade enters the game for M. Chalmers
7:11.0,Shooting foul by G. Dragic (drawn by K. Irving),,27-35,,
7:11.0,K. Irving makes free throw 1 of 2,1,28-35,,
7:11.0,K. Irving makes free throw 2 of 2,1,29-35,,
6:54.0,,,29-35,,M. Beasley misses 2-pt shot from 19 ft
6:53.0,Defensive rebound by J. Smith,,29-35,,
6:46.0,Turnover by L. James (lost ball; steal by G. Dragic),,29-35,,
6:42.0,,,29-35,,Shooting foul by J. Smith (drawn by D. Wade)
6:42.0,,,29-36,1,D. Wade makes free throw 1 of 2
6:42.0,,,29-36,,H. Whiteside enters the game for C. Andersen
6:42.0,,,29-36,,L. Deng enters the game for M. Beasley
6:42.0,,,29-37,1,D. Wade makes free throw 2 of 2
6:31.0,K. Irving misses 3-pt shot from 24 ft,,29-37,,
6:30.0,,,29-37,,Defensive rebound by H. Walker
6:14.0,,,29-37,,D. Wade misses 2-pt shot from 18 ft
6:14.0,,,29-37,,Offensive rebound by Team
6:14.0,Personal foul by T. Mozgov (drawn by H. Whiteside),,29-37,,
6:14.0,J. Jones enters the game for L. James,,29-37,,
6:02.0,,,29-37,,Turnover by H. Walker (lost ball; steal by J. Jones)
5:57.0,I. Shumpert makes 2-pt shot at rim (assist by J. Smith),2,31-37,,
5:41.0,,,31-37,,Turnover by D. Wade (bad pass; steal by I. Shumpert)
5:35.0,I. Shumpert makes 2-pt shot from 1 ft,2,33-37,,
5:35.0,,,33-37,,Miami full timeout
5:15.0,,,33-39,2,D. Wade makes 2-pt shot from 9 ft
4:52.0,Turnover by J. Smith (lost ball; steal by G. Dragic),,33-39,,
4:47.0,,,33-41,2,D. Wade makes 2-pt shot at rim (assist by G. Dragic)
4:38.0,Turnover by I. Shumpert (bad pass),,33-41,,
4:38.0,,,33-41,,M. Chalmers enters the game for G. Dragic
4:22.0,,,33-41,,L. Deng misses 3-pt shot from 23 ft
4:21.0,Defensive rebound by J. Jones,,33-41,,
4:00.0,K. Irving misses 3-pt shot from 23 ft,,33-41,,
3:59.0,,,33-41,,Defensive rebound by L. Deng
3:49.0,,,33-43,2,M. Chalmers makes 2-pt shot from 4 ft
3:44.0,Cleveland full timeout,,33-43,,
3:44.0,L. James enters the game for I. Shumpert,,33-43,,
3:32.0,T. Mozgov misses 2-pt shot from 2 ft,,33-43,,
3:31.0,,,33-43,,Defensive rebound by L. Deng
3:23.0,,,33-45,2,D. Wade makes 2-pt shot from 5 ft
3:05.0,Shooting foul by H. Walker (drawn by L. James),,33-45,,
3:05.0,L. James misses free throw 1 of 2,,33-45,,
3:05.0,Offensive rebound by Team,,33-45,,
3:05.0,L. James misses free throw 2 of 2,,33-45,,
3:04.0,,,33-45,,Defensive rebound by M. Chalmers
2:50.0,,,33-47,2,D. Wade makes 2-pt shot from 18 ft (assist by H. Walker)
2:39.0,,,33-47,,Personal foul by H. Walker (drawn by J. Jones)
2:39.0,,,33-47,,G. Dragic enters the game for H. Walker
2:39.0,K. Perkins enters the game for T. Mozgov,,33-47,,
2:25.0,L. James misses 2-pt shot from 15 ft,,33-47,,
2:24.0,,,33-47,,Defensive rebound by L. Deng
2:11.0,,,33-47,,Shooting foul by K. Perkins (drawn by H. Whiteside)
2:11.0,,,33-49,2,H. Whiteside makes 2-pt shot from 8 ft
2:11.0,,,33-50,1,H. Whiteside makes free throw 1 of 1
1:56.0,K. Irving makes 2-pt shot from 2 ft,2,35-50,,
1:33.0,,,35-52,2,D. Wade makes 2-pt shot from 18 ft
1:17.0,K. Irving misses 3-pt shot from 24 ft,,35-52,,
1:16.0,Offensive rebound by J. Smith,,35-52,,
1:04.0,Turnover by L. James (lost ball; steal by D. Wade),,35-52,,
0:58.0,,,35-54,2,D. Wade makes 2-pt shot from 1 ft (assist by M. Chalmers)
0:58.0,Cleveland full timeout,,35-54,,
0:44.0,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving),3,38-54,,
0:23.0,,,38-54,,Shooting foul by J. Smith (drawn by D. Wade)
0:23.0,,,38-55,1,D. Wade makes free throw 1 of 2
0:23.0,,,38-55,,U. Haslem enters the game for H. Whiteside
0:23.0,,,38-56,1,D. Wade makes free throw 2 of 2
0:01.0,L. James misses 2-pt shot from 2 ft,,38-56,,
0:00.0,Offensive rebound by Team,,38-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,38-56,,L. Deng misses 2-pt shot from 15 ft
11:43.0,Defensive rebound by T. Thompson,,38-56,,
11:31.0,J. Smith misses 3-pt shot from 24 ft,,38-56,,
11:30.0,,,38-56,,Defensive rebound by U. Haslem
11:21.0,,,38-56,,H. Whiteside misses 2-pt shot from 4 ft
11:20.0,,,38-56,,Offensive rebound by L. Deng
11:19.0,,,38-58,2,L. Deng makes 2-pt shot from 1 ft
10:57.0,T. Mozgov misses 2-pt shot from 14 ft,,38-58,,
10:56.0,,,38-58,,Defensive rebound by L. Deng
10:44.0,,,38-58,,H. Whiteside misses 2-pt shot from 3 ft
10:43.0,Defensive rebound by T. Thompson,,38-58,,
10:36.0,Turnover by J. Smith (bad pass),,38-58,,
10:23.0,,,38-58,,H. Whiteside misses 2-pt shot from 3 ft
10:22.0,Defensive rebound by T. Mozgov,,38-58,,
10:12.0,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving),3,41-58,,
9:43.0,,,41-60,2,G. Dragic makes 2-pt shot from 2 ft (assist by U. Haslem)
9:28.0,,,41-60,,Personal foul by L. Deng (drawn by K. Irving)
9:19.0,L. James misses 3-pt shot from 24 ft,,41-60,,
9:18.0,,,41-60,,Defensive rebound by H. Whiteside
9:11.0,,,41-60,,Shooting foul by T. Mozgov (drawn by G. Dragic)
9:11.0,,,41-61,1,G. Dragic makes free throw 1 of 2
9:11.0,,,41-62,1,G. Dragic makes free throw 2 of 2
8:54.0,Turnover by K. Irving (bad pass),,41-62,,
8:42.0,,,41-64,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
8:24.0,T. Thompson misses 2-pt shot from 8 ft,,41-64,,
8:23.0,,,41-64,,Defensive rebound by H. Whiteside
8:19.0,,,41-64,,Turnover by G. Dragic (bad pass; steal by J. Smith)
8:16.0,J. Smith misses 2-pt shot from 2 ft,,41-64,,
8:15.0,Offensive rebound by Team,,41-64,,
8:06.0,Shooting foul by U. Haslem (drawn by T. Mozgov),,41-64,,
8:06.0,T. Mozgov makes free throw 1 of 2,1,42-64,,
8:06.0,T. Mozgov misses free throw 2 of 2,,42-64,,
8:05.0,,,42-64,,Defensive rebound by H. Whiteside
7:51.0,,,42-64,,G. Dragic misses 2-pt shot from 14 ft
7:50.0,Defensive rebound by T. Thompson,,42-64,,
7:41.0,Turnover by K. Irving (bad pass; steal by D. Wade),,42-64,,
7:38.0,,,42-64,,G. Dragic misses 2-pt shot from 2 ft (block by J. Smith)
7:37.0,Defensive rebound by Team,,42-64,,
7:22.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,44-64,,
6:51.0,,,44-66,2,D. Wade makes 2-pt shot from 9 ft
6:46.0,T. Mozgov makes 2-pt shot at rim (assist by K. Irving),2,46-66,,
6:28.0,,,46-69,3,L. Deng makes 3-pt shot from 24 ft (assist by G. Dragic)
6:20.0,J. Smith misses 3-pt shot from 25 ft,,46-69,,
6:19.0,,,46-69,,Defensive rebound by H. Whiteside
6:05.0,,,46-69,,D. Wade misses 2-pt shot from 16 ft
6:04.0,Defensive rebound by K. Irving,,46-69,,
6:02.0,Shooting foul by G. Dragic (drawn by K. Irving),,46-69,,
6:02.0,K. Irving misses free throw 1 of 2,,46-69,,
6:02.0,Offensive rebound by Team,,46-69,,
6:02.0,,,46-69,,M. Chalmers enters the game for G. Dragic
6:02.0,K. Irving misses free throw 2 of 2,,46-69,,
6:01.0,,,46-69,,Defensive rebound by H. Whiteside
5:43.0,,,46-71,2,M. Chalmers makes 2-pt shot from 8 ft
5:27.0,L. James makes 3-pt shot from 23 ft,3,49-71,,
5:08.0,,,49-73,2,D. Wade makes 2-pt shot from 9 ft (assist by M. Chalmers)
5:08.0,Cleveland full timeout,,49-73,,
5:08.0,J. Jones enters the game for L. James,,49-73,,
5:08.0,I. Shumpert enters the game for T. Mozgov,,49-73,,
4:57.0,Shooting foul by D. Wade (drawn by T. Thompson),,49-73,,
4:57.0,T. Thompson makes free throw 1 of 2,1,50-73,,
4:57.0,T. Thompson misses free throw 2 of 2,,50-73,,
4:56.0,,,50-73,,Defensive rebound by H. Whiteside
4:31.0,,,50-73,,H. Whiteside misses 2-pt shot from 7 ft
4:30.0,Defensive rebound by J. Smith,,50-73,,
4:27.0,Turnover by J. Smith (lost ball; steal by M. Chalmers),,50-73,,
4:21.0,,,50-73,,Turnover by D. Wade (lost ball)
4:10.0,K. Irving misses 3-pt shot from 24 ft,,50-73,,
4:08.0,,,50-73,,Defensive rebound by Team
4:08.0,,,50-73,,H. Walker enters the game for U. Haslem
4:00.0,Personal foul by J. Jones (drawn by H. Whiteside),,50-73,,
3:44.0,,,50-75,2,D. Wade makes 2-pt shot from 19 ft
3:24.0,I. Shumpert misses 2-pt shot from 3 ft (block by H. Whiteside),,50-75,,
3:23.0,,,50-75,,Defensive rebound by H. Walker
3:08.0,,,50-75,,Turnover by H. Walker (traveling)
2:56.0,,,50-75,,Personal foul by D. Wade (drawn by K. Irving)
2:56.0,,,50-75,,Miami full timeout
2:56.0,M. Dellavedova enters the game for J. Smith,,50-75,,
2:56.0,K. Irving makes free throw 1 of 2,1,51-75,,
2:56.0,K. Irving makes free throw 2 of 2,1,52-75,,
2:43.0,,,52-77,2,H. Whiteside makes 2-pt shot from 1 ft (assist by M. Chalmers)
2:43.0,,,52-77,,Shooting foul by M. Dellavedova (drawn by H. Whiteside)
2:43.0,,,52-77,,G. Dragic enters the game for D. Wade
2:43.0,,,52-77,,H. Whiteside misses free throw 1 of 1
2:42.0,Defensive rebound by I. Shumpert,,52-77,,
2:28.0,M. Dellavedova misses 3-pt shot from 24 ft,,52-77,,
2:27.0,Offensive rebound by Team,,52-77,,
2:27.0,,,52-77,,Loose ball foul by M. Chalmers (drawn by K. Irving)
2:27.0,K. Irving makes free throw 1 of 2,1,53-77,,
2:27.0,K. Irving makes free throw 2 of 2,1,54-77,,
2:25.0,,,54-77,,Turnover by H. Whiteside (bad pass; steal by M. Dellavedova)
2:15.0,K. Irving makes 3-pt shot from 23 ft (assist by J. Jones),3,57-77,,
1:58.0,,,57-77,,M. Chalmers misses 2-pt shot from 6 ft (block by K. Irving)
1:57.0,Defensive rebound by M. Dellavedova,,57-77,,
1:55.0,Offensive foul by J. Jones,,57-77,,
1:55.0,Turnover by J. Jones (offensive foul),,57-77,,
1:53.0,Personal foul by M. Dellavedova (drawn by G. Dragic),,57-77,,
1:36.0,,,57-80,3,H. Walker makes 3-pt shot from 25 ft (assist by L. Deng)
1:22.0,Shooting foul by M. Chalmers (drawn by K. Irving),,57-80,,
1:22.0,K. Irving makes free throw 1 of 3,1,58-80,,
1:22.0,K. Irving makes free throw 2 of 3,1,59-80,,
1:22.0,K. Irving makes free throw 3 of 3,1,60-80,,
1:12.0,Personal foul by M. Dellavedova (drawn by G. Dragic),,60-80,,
1:12.0,,,60-81,1,G. Dragic makes free throw 1 of 2
1:12.0,,,60-82,1,G. Dragic makes free throw 2 of 2
0:57.0,K. Irving misses 3-pt shot from 23 ft,,60-82,,
0:56.0,Offensive rebound by T. Thompson,,60-82,,
0:52.0,I. Shumpert makes 3-pt shot from 23 ft (assist by K. Irving),3,63-82,,
0:34.0,,,63-82,,M. Chalmers misses 3-pt shot from 23 ft
0:33.0,,,63-82,,Offensive rebound by Team
0:33.0,Loose ball foul by T. Thompson (drawn by H. Whiteside),,63-82,,
0:33.0,,,63-82,,H. Whiteside misses free throw 1 of 2
0:33.0,,,63-82,,Offensive rebound by Team
0:33.0,,,63-82,,M. Beasley enters the game for L. Deng
0:33.0,,,63-83,1,H. Whiteside makes free throw 2 of 2
0:24.0,K. Irving misses 2-pt shot from 14 ft,,63-83,,
0:23.0,,,63-83,,Defensive rebound by M. Chalmers
0:03.0,,,63-83,,H. Whiteside misses 2-pt shot from 2 ft
0:02.0,Defensive rebound by I. Shumpert,,63-83,,
0:01.0,I. Shumpert misses 3-pt shot from 26 ft,,63-83,,
0:00.0,Offensive rebound by Team,,63-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,L. James misses 2-pt shot from 18 ft,,63-83,,
11:42.0,,,63-83,,Defensive rebound by M. Chalmers
11:23.0,,,63-83,,G. Dragic misses 3-pt shot from 24 ft
11:22.0,Defensive rebound by J. Jones,,63-83,,
11:12.0,J. Jones makes 3-pt shot from 24 ft (assist by L. James),3,66-83,,
10:48.0,Personal foul by L. James (drawn by M. Beasley),,66-83,,
10:39.0,,,66-85,2,G. Dragic makes 2-pt shot from 2 ft
10:24.0,Turnover by L. James (bad pass),,66-85,,
10:09.0,,,66-87,2,C. Andersen makes 2-pt shot from 2 ft (assist by G. Dragic)
9:59.0,L. James misses 2-pt shot from 2 ft (block by C. Andersen),,66-87,,
9:58.0,,,66-87,,Defensive rebound by G. Dragic
9:57.0,Personal foul by J. Jones (drawn by G. Dragic),,66-87,,
9:57.0,T. Mozgov enters the game for T. Thompson,,66-87,,
9:57.0,K. Irving enters the game for M. Dellavedova,,66-87,,
9:47.0,,,66-87,,H. Walker misses 3-pt shot from 23 ft (block by J. Jones)
9:46.0,,,66-87,,Offensive rebound by M. Beasley
9:45.0,,,66-89,2,M. Beasley makes 2-pt shot at rim
9:38.0,,,66-89,,Personal foul by H. Walker (drawn by T. Mozgov)
9:30.0,,,66-89,,Personal foul by C. Andersen (drawn by L. James)
9:16.0,L. James misses 2-pt shot from 1 ft,,66-89,,
9:15.0,,,66-89,,Defensive rebound by G. Dragic
9:11.0,,,66-89,,Turnover by H. Walker (bad pass)
9:01.0,J. Jones misses 3-pt shot from 24 ft,,66-89,,
9:00.0,Offensive rebound by I. Shumpert,,66-89,,
8:48.0,L. James makes 2-pt shot at rim (assist by J. Jones),2,68-89,,
8:35.0,Personal foul by L. James (drawn by M. Beasley),,68-89,,
8:35.0,Official timeout,,68-89,,
8:35.0,S. Marion enters the game for I. Shumpert,,68-89,,
8:21.0,,,68-92,3,M. Chalmers makes 3-pt shot from 24 ft (assist by G. Dragic)
7:58.0,S. Marion misses 2-pt shot from 2 ft,,68-92,,
7:57.0,,,68-92,,Defensive rebound by M. Beasley
7:50.0,,,68-92,,G. Dragic misses 3-pt shot from 23 ft
7:49.0,Defensive rebound by K. Irving,,68-92,,
7:42.0,S. Marion misses 2-pt shot at rim,,68-92,,
7:41.0,Offensive rebound by Team,,68-92,,
7:34.0,Shooting foul by H. Walker (drawn by L. James),,68-92,,
7:34.0,L. James makes free throw 1 of 2,1,69-92,,
7:34.0,M. Dellavedova enters the game for K. Irving,,69-92,,
7:34.0,,,69-92,,L. Deng enters the game for H. Walker
7:34.0,L. James makes free throw 2 of 2,1,70-92,,
7:14.0,,,70-92,,C. Andersen misses 2-pt shot from 11 ft
7:13.0,Defensive rebound by T. Mozgov,,70-92,,
6:54.0,J. Jones misses 3-pt shot from 24 ft,,70-92,,
6:53.0,Offensive rebound by S. Marion,,70-92,,
6:52.0,S. Marion makes 2-pt shot from 4 ft,2,72-92,,
6:27.0,,,72-92,,M. Chalmers misses 3-pt shot from 24 ft
6:26.0,,,72-92,,Offensive rebound by C. Andersen
6:25.0,,,72-92,,Turnover by Team (shot clock)
6:09.0,Turnover by J. Jones (bad pass),,72-92,,
6:09.0,,,72-92,,D. Wade enters the game for M. Chalmers
5:51.0,,,72-94,2,M. Beasley makes 2-pt shot from 14 ft
5:38.0,J. Jones makes 3-pt shot from 23 ft (assist by L. James),3,75-94,,
5:36.0,,,75-94,,Miami full timeout
5:36.0,K. Perkins enters the game for T. Mozgov,,75-94,,
5:13.0,,,75-94,,M. Beasley misses 3-pt shot from 23 ft
5:12.0,,,75-94,,Offensive rebound by Team
5:12.0,,,75-94,,Turnover by Team (shot clock)
5:01.0,L. James makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,78-94,,
4:33.0,,,78-94,,M. Beasley misses 2-pt shot from 20 ft
4:32.0,,,78-94,,Offensive rebound by G. Dragic
4:22.0,,,78-94,,D. Wade misses 2-pt shot from 6 ft
4:21.0,Defensive rebound by K. Perkins,,78-94,,
4:19.0,Turnover by K. Perkins (lost ball; steal by D. Wade),,78-94,,
4:08.0,,,78-94,,M. Beasley misses 2-pt shot at rim
4:07.0,Defensive rebound by J. Jones,,78-94,,
3:50.0,L. James misses 3-pt shot from 24 ft,,78-94,,
3:49.0,Offensive rebound by L. James,,78-94,,
3:40.0,L. James makes 3-pt shot from 24 ft (assist by K. Perkins),3,81-94,,
3:25.0,,,81-96,2,G. Dragic makes 2-pt shot from 1 ft
3:15.0,L. James makes 2-pt shot at rim,2,83-96,,
3:06.0,,,83-96,,Shooting foul by K. Perkins (drawn by D. Wade)
3:06.0,,,83-97,1,D. Wade makes free throw 1 of 2
3:06.0,,,83-97,,H. Whiteside enters the game for C. Andersen
3:06.0,,,83-97,,H. Walker enters the game for M. Beasley
3:06.0,,,83-97,,D. Wade misses free throw 2 of 2
3:05.0,Defensive rebound by K. Perkins,,83-97,,
2:49.0,Shooting foul by G. Dragic (drawn by M. Dellavedova),,83-97,,
2:49.0,Cleveland full timeout,,83-97,,
2:49.0,M. Dellavedova makes free throw 1 of 2,1,84-97,,
2:49.0,M. Dellavedova makes free throw 2 of 2,1,85-97,,
2:41.0,Personal foul by K. Perkins (drawn by G. Dragic),,85-97,,
2:41.0,,,85-98,1,G. Dragic makes free throw 1 of 2
2:41.0,,,85-99,1,G. Dragic makes free throw 2 of 2
2:28.0,L. James makes 2-pt shot at rim,2,87-99,,
2:09.0,,,87-101,2,D. Wade makes 2-pt shot from 1 ft
1:57.0,Shooting foul by H. Whiteside (drawn by L. James),,87-101,,
1:57.0,L. James makes free throw 1 of 2,1,88-101,,
1:57.0,L. James makes free throw 2 of 2,1,89-101,,
1:35.0,,,89-101,,H. Walker misses 3-pt shot from 23 ft
1:34.0,Defensive rebound by L. James,,89-101,,
1:28.0,Turnover by L. James (lost ball; steal by D. Wade),,89-101,,
1:23.0,,,89-101,,Turnover by D. Wade (bad pass; steal by M. Dellavedova)
1:17.0,J. Jones misses 3-pt shot from 24 ft,,89-101,,
1:16.0,,,89-101,,Defensive rebound by H. Walker
0:58.0,,,89-103,2,H. Whiteside makes 2-pt shot from 3 ft (assist by D. Wade)
0:58.0,,,89-103,,Shooting foul by J. Jones (drawn by H. Whiteside)
