time,Oklahoma City,pts.away,score,pts.home,New Orleans
7:28.0,Personal foul by S. Adams (drawn by A. Davis),,10-13,,
7:23.0,,,10-13,,E. Gordon misses 2-pt shot from 3 ft (block by S. Ibaka)
7:19.0,Defensive rebound by R. Westbrook,,10-13,,
7:17.0,R. Westbrook makes 2-pt shot from 1 ft,2,12-13,,
7:17.0,Shooting foul by T. Evans (drawn by R. Westbrook),,12-13,,
7:17.0,,,12-13,,Q. Pondexter enters the game for T. Evans
7:17.0,R. Westbrook makes free throw 1 of 1,1,13-13,,
7:07.0,,,13-13,,Turnover by E. Gordon (bad pass; steal by R. Westbrook)
6:58.0,S. Ibaka misses 3-pt shot from 25 ft,,13-13,,
6:56.0,,,13-13,,Defensive rebound by D. Cunningham
6:47.0,,,13-13,,A. Davis misses 2-pt shot from 16 ft
6:46.0,Defensive rebound by D. Waiters,,13-13,,
6:42.0,D. Waiters makes 2-pt shot from 17 ft,2,15-13,,
6:18.0,,,15-13,,E. Gordon misses 3-pt shot from 24 ft
6:16.0,Defensive rebound by S. Adams,,15-13,,
6:07.0,Turnover by R. Westbrook (bad pass; steal by D. Cunningham),,15-13,,
5:58.0,,,15-13,,Q. Pondexter misses 3-pt shot from 23 ft
5:57.0,Defensive rebound by S. Ibaka,,15-13,,
5:49.0,R. Westbrook misses 2-pt shot from 10 ft,,15-13,,
5:47.0,,,15-13,,Defensive rebound by D. Cunningham
5:40.0,,,15-15,2,A. Davis makes 2-pt shot from 19 ft (assist by E. Gordon)
5:29.0,Oklahoma City full timeout,,15-15,,
5:29.0,A. Morrow enters the game for A. Roberson,,15-15,,
5:16.0,A. Morrow makes 2-pt shot from 2 ft,2,17-15,,
5:01.0,,,17-18,3,Q. Pondexter makes 3-pt shot from 24 ft (assist by E. Gordon)
4:39.0,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook),2,19-18,,
4:20.0,,,19-18,,Q. Pondexter misses 2-pt shot from 1 ft
4:17.0,,,19-18,,Offensive rebound by O. Asik
4:17.0,,,19-18,,O. Asik misses 2-pt shot from 2 ft
4:15.0,Defensive rebound by S. Adams,,19-18,,
4:07.0,R. Westbrook makes 2-pt shot from 14 ft,2,21-18,,
3:52.0,,,21-18,,A. Davis misses 2-pt shot from 17 ft
3:51.0,Defensive rebound by D. Waiters,,21-18,,
3:40.0,Turnover by D. Waiters (back court),,21-18,,
3:40.0,K. Perkins enters the game for S. Adams,,21-18,,
3:40.0,R. Jackson enters the game for D. Waiters,,21-18,,
3:40.0,,,21-18,,J. Fredette enters the game for D. Cunningham
3:40.0,,,21-18,,R. Anderson enters the game for O. Asik
3:22.0,,,21-20,2,A. Davis makes 2-pt shot at rim (assist by J. Fredette)
3:11.0,R. Westbrook makes 3-pt shot from 25 ft,3,24-20,,
2:51.0,,,24-20,,R. Anderson misses 3-pt shot from 23 ft
2:50.0,,,24-20,,Offensive rebound by Q. Pondexter
2:39.0,,,24-22,2,J. Fredette makes 2-pt shot from 5 ft (assist by R. Anderson)
2:27.0,R. Westbrook misses 2-pt shot from 1 ft,,24-22,,
2:26.0,,,24-22,,Defensive rebound by A. Davis
2:25.0,Personal foul by R. Westbrook (drawn by A. Davis),,24-22,,
2:25.0,,,24-22,,New Orleans full timeout
2:10.0,,,24-22,,Shooting foul by K. Perkins (drawn by A. Davis)
2:10.0,,,24-23,1,A. Davis makes free throw 1 of 2
2:10.0,,,24-24,1,A. Davis makes free throw 2 of 2
1:51.0,K. Perkins makes 2-pt shot from 2 ft,2,26-24,,
1:26.0,,,26-24,,J. Fredette misses 2-pt shot from 2 ft
1:26.0,Defensive rebound by Team,,26-24,,
1:11.0,R. Westbrook makes 2-pt shot from 1 ft,2,28-24,,
1:11.0,Shooting foul by R. Anderson (drawn by R. Westbrook),,28-24,,
1:11.0,R. Westbrook makes free throw 1 of 1,1,29-24,,
0:54.0,,,29-27,3,R. Anderson makes 3-pt shot from 25 ft (assist by E. Gordon)
0:37.0,A. Morrow makes 2-pt shot from 7 ft,2,31-27,,
0:26.0,,,31-29,2,R. Anderson makes 2-pt shot from 2 ft (assist by Q. Pondexter)
0:06.0,Turnover by R. Westbrook (lost ball; steal by R. Anderson),,31-29,,
0:00.0,,,31-29,,Q. Pondexter misses 3-pt shot from 26 ft
0:00.0,,,31-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,R. Jackson misses 2-pt shot from 16 ft,,31-29,,
11:49.0,,,31-29,,Defensive rebound by Team
11:31.0,,,31-31,2,A. Ajinca makes 2-pt shot from 4 ft (assist by Q. Pondexter)
11:08.0,R. Jackson misses 2-pt shot from 19 ft,,31-31,,
11:07.0,,,31-31,,Defensive rebound by T. Evans
11:00.0,Personal foul by D. Waiters (drawn by T. Evans),,31-31,,
10:57.0,Personal foul by D. Waiters (drawn by T. Evans),,31-31,,
10:51.0,,,31-31,,Offensive foul by A. Ajinca
10:51.0,,,31-31,,Turnover by A. Ajinca (offensive foul)
10:41.0,,,31-31,,Violation by R. Anderson (kicked ball)
10:35.0,D. Waiters misses 2-pt shot from 18 ft,,31-31,,
10:34.0,,,31-31,,Defensive rebound by A. Ajinca
10:28.0,,,31-31,,T. Evans misses 2-pt shot from 3 ft
10:26.0,,,31-31,,Offensive rebound by R. Anderson
10:13.0,,,31-31,,J. Fredette misses 3-pt shot from 23 ft
10:11.0,,,31-31,,Offensive rebound by Q. Pondexter
9:59.0,,,31-31,,R. Anderson misses 3-pt shot from 25 ft
9:57.0,Defensive rebound by K. Perkins,,31-31,,
9:45.0,D. Waiters makes 2-pt shot from 1 ft,2,33-31,,
9:31.0,,,33-33,2,Q. Pondexter makes 2-pt shot at rim (assist by T. Evans)
9:17.0,D. Waiters misses 2-pt shot from 1 ft (block by A. Ajinca),,33-33,,
9:17.0,,,33-33,,Defensive rebound by J. Fredette
9:12.0,,,33-33,,R. Anderson misses 3-pt shot from 24 ft
9:12.0,,,33-33,,Offensive rebound by Q. Pondexter
9:12.0,,,33-33,,D. Cunningham enters the game for J. Fredette
8:55.0,,,33-35,2,A. Ajinca makes 2-pt shot from 15 ft (assist by T. Evans)
8:48.0,Oklahoma City full timeout,,33-35,,
8:37.0,D. Waiters misses 2-pt shot from 15 ft,,33-35,,
8:37.0,Offensive rebound by N. Collison,,33-35,,
8:37.0,,,33-35,,Loose ball foul by D. Cunningham (drawn by N. Collison)
8:24.0,R. Jackson misses 3-pt shot from 24 ft,,33-35,,
8:23.0,,,33-35,,Defensive rebound by R. Anderson
8:06.0,,,33-35,,T. Evans misses 2-pt shot from 2 ft (block by K. Perkins)
8:06.0,,,33-35,,Offensive rebound by Team
8:06.0,R. Westbrook enters the game for D. Waiters,,33-35,,
8:00.0,,,33-37,2,R. Anderson makes 2-pt shot from 16 ft
7:43.0,R. Jackson makes 2-pt shot from 2 ft,2,35-37,,
7:27.0,,,35-37,,T. Evans misses 2-pt shot from 1 ft (block by K. Perkins)
7:25.0,Defensive rebound by N. Collison,,35-37,,
7:22.0,R. Westbrook misses 2-pt shot from 2 ft,,35-37,,
7:20.0,,,35-37,,Defensive rebound by Q. Pondexter
7:10.0,,,35-37,,D. Cunningham misses 2-pt shot from 20 ft
7:08.0,Defensive rebound by R. Jackson,,35-37,,
7:00.0,R. Jackson makes 2-pt shot from 7 ft,2,37-37,,
6:36.0,,,37-39,2,R. Anderson makes 2-pt shot from 2 ft (assist by D. Cunningham)
6:19.0,K. Perkins misses 2-pt shot from 3 ft,,37-39,,
6:17.0,,,37-39,,Defensive rebound by T. Evans
6:13.0,,,37-41,2,Q. Pondexter makes 2-pt shot at rim (assist by T. Evans)
5:57.0,R. Westbrook makes 2-pt shot at rim (assist by N. Collison),2,39-41,,
5:47.0,,,39-41,,New Orleans full timeout
5:47.0,S. Ibaka enters the game for N. Collison,,39-41,,
5:47.0,,,39-41,,A. Davis enters the game for A. Ajinca
5:36.0,,,39-41,,Turnover by R. Anderson (offensive goaltending)
5:23.0,A. Morrow misses 2-pt shot from 1 ft,,39-41,,
5:22.0,Offensive rebound by K. Perkins,,39-41,,
5:19.0,A. Morrow makes 2-pt shot from 1 ft (assist by K. Perkins),2,41-41,,
5:08.0,,,41-41,,Shooting foul by K. Perkins (drawn by A. Davis)
5:08.0,,,41-42,1,A. Davis makes free throw 1 of 2
5:08.0,,,41-42,,E. Gordon enters the game for Q. Pondexter
5:08.0,,,41-43,1,A. Davis makes free throw 2 of 2
4:56.0,R. Westbrook makes 2-pt shot from 7 ft,2,43-43,,
4:32.0,,,43-43,,A. Davis misses 2-pt shot from 17 ft
4:31.0,,,43-43,,Offensive rebound by T. Evans
4:28.0,,,43-43,,T. Evans misses 2-pt shot from 1 ft (block by S. Ibaka)
4:26.0,Defensive rebound by A. Morrow,,43-43,,
4:23.0,A. Morrow misses 3-pt shot from 24 ft,,43-43,,
4:20.0,Offensive rebound by A. Morrow,,43-43,,
4:19.0,A. Morrow misses 2-pt shot from 2 ft,,43-43,,
4:19.0,,,43-43,,Defensive rebound by A. Davis
4:19.0,Loose ball foul by K. Perkins (drawn by A. Davis),,43-43,,
4:19.0,S. Adams enters the game for K. Perkins,,43-43,,
4:19.0,,,43-43,,O. Asik enters the game for R. Anderson
4:19.0,D. Waiters enters the game for R. Jackson,,43-43,,
3:59.0,,,43-43,,T. Evans misses 3-pt shot from 24 ft
3:57.0,,,43-43,,Offensive rebound by D. Cunningham
3:54.0,,,43-45,2,D. Cunningham makes 2-pt shot from 2 ft
3:38.0,Turnover by R. Westbrook (lost ball; steal by T. Evans),,43-45,,
3:34.0,,,43-47,2,T. Evans makes 2-pt shot at rim
3:18.0,Turnover by R. Westbrook (lost ball),,43-47,,
3:04.0,,,43-47,,A. Davis misses 2-pt shot from 13 ft
3:03.0,Defensive rebound by R. Westbrook,,43-47,,
2:57.0,D. Waiters misses 3-pt shot from 23 ft,,43-47,,
2:55.0,Offensive rebound by S. Adams,,43-47,,
2:51.0,S. Adams misses 2-pt shot from 3 ft (block by O. Asik),,43-47,,
2:48.0,,,43-47,,Defensive rebound by A. Davis
2:44.0,,,43-47,,E. Gordon misses 3-pt shot from 25 ft
2:42.0,Defensive rebound by D. Waiters,,43-47,,
2:37.0,Turnover by D. Waiters (bad pass),,43-47,,
2:37.0,Official timeout,,43-47,,
2:37.0,R. Jackson enters the game for A. Morrow,,43-47,,
2:21.0,,,43-49,2,A. Davis makes 2-pt shot from 6 ft
2:04.0,R. Westbrook makes 2-pt shot from 11 ft (assist by S. Adams),2,45-49,,
1:42.0,,,45-49,,A. Davis misses 2-pt shot from 2 ft (block by S. Ibaka)
1:39.0,,,45-49,,Offensive rebound by E. Gordon
1:34.0,,,45-49,,T. Evans misses 2-pt shot from 3 ft
1:33.0,Defensive rebound by D. Waiters,,45-49,,
1:27.0,D. Waiters makes 2-pt shot from 1 ft,2,47-49,,
1:10.0,,,47-49,,A. Davis misses 2-pt shot from 15 ft
1:09.0,Defensive rebound by R. Jackson,,47-49,,
1:04.0,S. Adams makes 2-pt shot from 1 ft (assist by S. Ibaka),2,49-49,,
0:49.0,,,49-49,,A. Davis misses 2-pt shot from 2 ft
0:48.0,,,49-49,,Offensive rebound by O. Asik
0:48.0,,,49-51,2,O. Asik makes 2-pt shot from 2 ft
0:48.0,,,49-51,,Shooting foul by S. Adams (drawn by O. Asik)
0:48.0,,,49-51,,Q. Pondexter enters the game for T. Evans
0:48.0,,,49-52,1,O. Asik makes free throw 1 of 1
0:30.0,Turnover by S. Adams (lost ball; steal by E. Gordon),,49-52,,
0:26.0,,,49-54,2,E. Gordon makes 2-pt shot from 1 ft
0:05.0,R. Westbrook misses 3-pt shot from 26 ft,,49-54,,
0:04.0,Offensive rebound by S. Adams,,49-54,,
0:04.0,S. Adams makes 2-pt shot at rim,2,51-54,,
0:00.0,,,51-57,3,Q. Pondexter makes 3-pt shot from 25 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,D. Waiters misses 2-pt shot from 2 ft,,51-57,,
11:37.0,Offensive rebound by A. Roberson,,51-57,,
11:32.0,R. Westbrook misses 3-pt shot from 25 ft,,51-57,,
11:31.0,,,51-57,,Defensive rebound by O. Asik
11:15.0,,,51-59,2,A. Davis makes 2-pt shot from 1 ft (assist by E. Gordon)
10:54.0,S. Ibaka makes 2-pt shot from 1 ft (assist by R. Westbrook),2,53-59,,
10:41.0,,,53-61,2,A. Davis makes 2-pt shot at rim
10:24.0,R. Westbrook misses 2-pt shot from 2 ft,,53-61,,
10:22.0,,,53-61,,Defensive rebound by A. Davis
10:08.0,,,53-61,,Turnover by O. Asik (traveling)
10:00.0,,,53-61,,Personal foul by E. Gordon (drawn by R. Westbrook)
9:49.0,Shooting foul by E. Gordon (drawn by R. Westbrook),,53-61,,
9:49.0,R. Westbrook makes free throw 1 of 2,1,54-61,,
9:49.0,R. Westbrook makes free throw 2 of 2,1,55-61,,
9:41.0,Personal foul by S. Adams (drawn by A. Davis),,55-61,,
9:34.0,,,55-64,3,E. Gordon makes 3-pt shot from 26 ft (assist by T. Evans)
9:19.0,S. Ibaka misses 2-pt shot from 17 ft,,55-64,,
9:17.0,,,55-64,,Defensive rebound by E. Gordon
8:56.0,,,55-66,2,T. Evans makes 2-pt shot from 2 ft
8:55.0,Oklahoma City full timeout,,55-66,,
8:42.0,R. Westbrook misses 2-pt shot from 2 ft,,55-66,,
8:40.0,Offensive rebound by S. Adams,,55-66,,
8:40.0,S. Adams misses 2-pt shot from 2 ft,,55-66,,
8:40.0,Jump ball: S. Adams vs. A. Davis (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. A. Davis (S. Ibaka gains possession)
8:40.0,Offensive rebound by S. Adams,,55-66,,
8:19.0,R. Westbrook makes 2-pt shot from 14 ft (assist by S. Adams),2,57-66,,
8:01.0,,,57-66,,T. Evans misses 2-pt shot from 16 ft
8:00.0,Defensive rebound by R. Westbrook,,57-66,,
7:57.0,Offensive foul by S. Adams,,57-66,,
7:57.0,Turnover by S. Adams (offensive foul),,57-66,,
7:57.0,K. Perkins enters the game for S. Adams,,57-66,,
7:43.0,,,57-66,,T. Evans misses 3-pt shot from 25 ft
7:41.0,Defensive rebound by K. Perkins,,57-66,,
7:33.0,K. Perkins misses 2-pt shot from 15 ft,,57-66,,
7:31.0,,,57-66,,Defensive rebound by O. Asik
7:19.0,,,57-68,2,E. Gordon makes 2-pt shot from 14 ft (assist by A. Davis)
7:06.0,D. Waiters misses 2-pt shot from 15 ft,,57-68,,
7:05.0,,,57-68,,Defensive rebound by A. Davis
6:58.0,Personal foul by D. Waiters (drawn by T. Evans),,57-68,,
6:58.0,A. Morrow enters the game for A. Roberson,,57-68,,
6:48.0,,,57-68,,A. Davis misses 2-pt shot from 16 ft
6:47.0,Defensive rebound by S. Ibaka,,57-68,,
6:37.0,S. Ibaka makes 2-pt shot from 1 ft (assist by R. Westbrook),2,59-68,,
6:15.0,,,59-68,,A. Davis misses 2-pt shot from 3 ft
6:14.0,,,59-68,,Offensive rebound by O. Asik
6:09.0,,,59-68,,E. Gordon misses 3-pt shot from 22 ft (block by D. Waiters)
6:09.0,,,59-68,,Offensive rebound by Team
6:09.0,,,59-68,,Turnover by Team (shot clock)
5:46.0,R. Westbrook makes 3-pt shot from 24 ft (assist by D. Waiters),3,62-68,,
5:32.0,,,62-68,,Offensive foul by O. Asik
5:32.0,,,62-68,,Turnover by O. Asik (offensive foul)
5:32.0,,,62-68,,R. Anderson enters the game for O. Asik
5:32.0,,,62-68,,Q. Pondexter enters the game for D. Cunningham
5:12.0,A. Morrow misses 2-pt shot from 3 ft,,62-68,,
5:10.0,Offensive rebound by S. Ibaka,,62-68,,
5:10.0,S. Ibaka makes 2-pt shot from 2 ft,2,64-68,,
4:59.0,Personal foul by D. Waiters (drawn by A. Davis),,64-68,,
4:59.0,R. Jackson enters the game for D. Waiters,,64-68,,
4:53.0,,,64-68,,T. Evans misses 3-pt shot from 25 ft
4:51.0,Defensive rebound by R. Westbrook,,64-68,,
4:41.0,S. Ibaka makes 2-pt shot at rim (assist by K. Perkins),2,66-68,,
4:41.0,,,66-68,,New Orleans full timeout
4:27.0,,,66-70,2,R. Anderson makes 2-pt shot from 12 ft (assist by E. Gordon)
4:13.0,R. Westbrook makes 2-pt shot from 1 ft (assist by K. Perkins),2,68-70,,
3:57.0,,,68-73,3,R. Anderson makes 3-pt shot from 26 ft (assist by E. Gordon)
3:43.0,S. Ibaka makes 3-pt shot from 26 ft (assist by R. Westbrook),3,71-73,,
3:18.0,,,71-73,,R. Anderson misses 2-pt shot from 15 ft
3:17.0,Defensive rebound by R. Jackson,,71-73,,
3:09.0,Shooting foul by E. Gordon (drawn by R. Westbrook),,71-73,,
3:09.0,R. Westbrook makes free throw 1 of 2,1,72-73,,
3:09.0,R. Westbrook makes free throw 2 of 2,1,73-73,,
2:47.0,,,73-73,,T. Evans misses 2-pt shot from 1 ft
2:47.0,,,73-73,,Offensive rebound by R. Anderson
2:47.0,,,73-73,,Turnover by R. Anderson (offensive goaltending)
2:38.0,A. Morrow misses 3-pt shot from 24 ft,,73-73,,
2:35.0,,,73-73,,Defensive rebound by T. Evans
2:31.0,,,73-73,,T. Evans misses 2-pt shot from 2 ft (block by S. Ibaka)
2:28.0,Defensive rebound by R. Jackson,,73-73,,
2:19.0,K. Perkins makes 2-pt shot from 1 ft (assist by A. Morrow),2,75-73,,
2:08.0,,,75-73,,R. Anderson misses 2-pt shot from 2 ft (block by S. Ibaka)
2:06.0,Defensive rebound by K. Perkins,,75-73,,
1:48.0,R. Westbrook misses 3-pt shot from 25 ft,,75-73,,
1:45.0,,,75-73,,Defensive rebound by T. Evans
1:30.0,,,75-73,,A. Davis misses 2-pt shot from 16 ft
1:30.0,,,75-73,,Offensive rebound by Q. Pondexter
1:30.0,Loose ball foul by A. Morrow (drawn by Q. Pondexter),,75-73,,
1:30.0,,,75-73,,J. Fredette enters the game for T. Evans
1:19.0,,,75-73,,E. Gordon misses 2-pt shot from 2 ft
1:18.0,Defensive rebound by R. Jackson,,75-73,,
1:15.0,Turnover by R. Jackson (bad pass),,75-73,,
1:00.0,,,75-75,2,A. Davis makes 2-pt shot from 2 ft (assist by J. Fredette)
0:48.0,R. Westbrook misses 2-pt shot from 2 ft,,75-75,,
0:47.0,Offensive rebound by K. Perkins,,75-75,,
0:47.0,K. Perkins makes 2-pt shot from 1 ft,2,77-75,,
0:33.0,,,77-75,,Shooting foul by S. Ibaka (drawn by A. Davis)
0:33.0,,,77-75,,A. Davis misses free throw 1 of 2
0:33.0,,,77-75,,Offensive rebound by Team
0:33.0,,,77-76,1,A. Davis makes free throw 2 of 2
0:16.0,Turnover by R. Westbrook (back court),,77-76,,
0:03.0,,,77-76,,Personal foul by E. Gordon (drawn by R. Westbrook)
0:03.0,,,77-76,,D. Cunningham enters the game for J. Fredette
0:00.0,R. Westbrook misses 3-pt shot from 25 ft,,77-76,,
0:00.0,Offensive rebound by Team,,77-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,77-78,2,A. Davis makes 2-pt shot from 12 ft (assist by J. Fredette)
11:32.0,R. Jackson misses 2-pt shot from 16 ft,,77-78,,
11:30.0,,,77-78,,Defensive rebound by Q. Pondexter
11:16.0,,,77-78,,D. Cunningham misses 2-pt shot from 1 ft
11:15.0,,,77-78,,Offensive rebound by R. Anderson
11:13.0,,,77-78,,R. Anderson misses 2-pt shot from 1 ft
11:11.0,,,77-78,,Offensive rebound by D. Cunningham
10:53.0,,,77-78,,Q. Pondexter misses 3-pt shot from 23 ft
10:52.0,Defensive rebound by R. Jackson,,77-78,,
10:45.0,A. Morrow makes 2-pt shot from 1 ft (assist by R. Jackson),2,79-78,,
10:30.0,,,79-78,,J. Fredette misses 2-pt shot from 1 ft
10:28.0,Defensive rebound by K. Perkins,,79-78,,
10:07.0,Turnover by K. Perkins (lost ball; steal by R. Anderson),,79-78,,
9:57.0,,,79-78,,R. Anderson misses 3-pt shot from 25 ft
9:56.0,,,79-78,,Offensive rebound by Q. Pondexter
9:52.0,,,79-78,,Offensive foul by Q. Pondexter
9:52.0,,,79-78,,Turnover by Q. Pondexter (offensive foul)
9:52.0,,,79-78,,A. Ajinca enters the game for A. Davis
9:37.0,K. Perkins misses 2-pt shot from 1 ft,,79-78,,
9:35.0,,,79-78,,Defensive rebound by A. Ajinca
9:32.0,Personal foul by I. Smith (drawn by J. Fredette),,79-78,,
9:32.0,D. Waiters enters the game for I. Smith,,79-78,,
9:18.0,,,79-78,,Shooting foul by K. Perkins (drawn by R. Anderson)
9:18.0,,,79-78,,T. Evans enters the game for D. Cunningham
9:18.0,,,79-79,1,R. Anderson makes free throw 1 of 2
9:18.0,,,79-80,1,R. Anderson makes free throw 2 of 2
9:08.0,R. Jackson misses 2-pt shot from 1 ft,,79-80,,
9:06.0,,,79-80,,Defensive rebound by J. Fredette
8:49.0,,,79-80,,T. Evans misses 2-pt shot from 2 ft
8:48.0,,,79-80,,Offensive rebound by A. Ajinca
8:48.0,,,79-82,2,A. Ajinca makes 2-pt shot from 2 ft
8:41.0,A. Morrow makes 3-pt shot from 22 ft (assist by R. Jackson),3,82-82,,
8:33.0,Personal foul by S. Ibaka (drawn by R. Anderson),,82-82,,
8:33.0,Official timeout,,82-82,,
8:33.0,R. Westbrook enters the game for K. Perkins,,82-82,,
8:33.0,S. Adams enters the game for R. Jackson,,82-82,,
8:11.0,A. Morrow makes 3-pt shot from 22 ft,3,85-82,,
7:51.0,,,85-84,2,J. Fredette makes 2-pt shot from 3 ft
7:39.0,Turnover by D. Waiters (lost ball; steal by T. Evans),,85-84,,
7:30.0,,,85-84,,J. Fredette misses 3-pt shot from 22 ft
7:29.0,Defensive rebound by S. Adams,,85-84,,
7:20.0,Offensive foul by R. Westbrook,,85-84,,
7:20.0,Turnover by R. Westbrook (offensive foul),,85-84,,
7:20.0,,,85-84,,A. Davis enters the game for A. Ajinca
7:20.0,,,85-84,,E. Gordon enters the game for J. Fredette
7:08.0,,,85-86,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
7:07.0,Oklahoma City full timeout,,85-86,,
6:52.0,R. Westbrook makes 2-pt shot from 15 ft (assist by S. Adams),2,87-86,,
6:35.0,,,87-88,2,T. Evans makes 2-pt shot from 2 ft
6:14.0,R. Westbrook misses 2-pt shot from 1 ft,,87-88,,
6:12.0,,,87-88,,Defensive rebound by T. Evans
6:01.0,,,87-88,,A. Davis misses 2-pt shot from 16 ft
5:59.0,Defensive rebound by A. Morrow,,87-88,,
5:56.0,Shooting foul by E. Gordon (drawn by R. Westbrook),,87-88,,
5:56.0,R. Westbrook makes 2-pt shot from 1 ft,2,89-88,,
5:56.0,R. Westbrook misses free throw 1 of 1,,89-88,,
5:54.0,,,89-88,,Defensive rebound by A. Davis
5:39.0,,,89-91,3,R. Anderson makes 3-pt shot from 24 ft (assist by T. Evans)
5:22.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,91-91,,
4:59.0,,,91-91,,E. Gordon misses 2-pt shot from 2 ft
4:57.0,Defensive rebound by A. Morrow,,91-91,,
4:51.0,,,91-91,,Shooting block foul by R. Anderson (drawn by R. Westbrook)
4:51.0,R. Westbrook makes free throw 1 of 2,1,92-91,,
4:51.0,,,92-91,,O. Asik enters the game for Q. Pondexter
4:51.0,R. Westbrook misses free throw 2 of 2,,92-91,,
4:50.0,,,92-91,,Defensive rebound by A. Davis
4:32.0,,,92-91,,E. Gordon misses 2-pt shot from 13 ft
4:31.0,Defensive rebound by S. Adams,,92-91,,
4:22.0,R. Westbrook makes 2-pt shot from 2 ft,2,94-91,,
3:59.0,,,94-91,,R. Anderson misses 2-pt shot from 1 ft (block by S. Ibaka)
3:57.0,,,94-91,,Offensive rebound by O. Asik
3:55.0,,,94-91,,O. Asik misses 2-pt shot from 2 ft
3:51.0,Defensive rebound by S. Ibaka,,94-91,,
3:53.0,,,94-91,,R. Anderson misses 2-pt shot from 2 ft
3:42.0,,,94-91,,Defensive rebound by T. Evans
3:43.0,R. Westbrook misses 2-pt shot from 14 ft,,94-91,,
3:03.0,Defensive rebound by R. Westbrook,,94-91,,
3:29.0,,,94-91,,Turnover by T. Evans (lost ball; steal by D. Waiters)
3:25.0,D. Waiters makes 2-pt shot from 2 ft,2,96-91,,
3:25.0,,,96-91,,New Orleans full timeout
3:25.0,,,96-91,,D. Cunningham enters the game for O. Asik
3:04.0,,,96-91,,T. Evans misses 2-pt shot from 1 ft
2:24.0,Defensive rebound by S. Ibaka,,96-91,,
2:45.0,D. Waiters makes 2-pt shot from 7 ft,2,98-91,,
2:25.0,,,98-91,,A. Davis misses 2-pt shot from 11 ft
2:03.0,,,98-91,,Defensive rebound by D. Cunningham
2:04.0,D. Waiters misses 3-pt shot from 27 ft,,98-91,,
1:53.0,Defensive rebound by R. Westbrook,,98-91,,
1:57.0,,,98-91,,T. Evans misses 2-pt shot from 2 ft (block by R. Westbrook)
