time,Orlando,pts.away,score,pts.home,Philadelphia
4:59.0,Turnover by L. Ridnour (bad pass; steal by H. Sims),,19-15,,
4:52.0,,,19-15,,Turnover by T. Wroten (traveling)
4:46.0,,,19-15,,C. Johnson enters the game for H. Thompson
4:43.0,Turnover by T. Harris (bad pass; steal by H. Sims),,19-15,,
4:39.0,,,19-15,,Shooting foul by L. Ridnour (drawn by T. Wroten)
4:39.0,,,19-17,2,T. Wroten makes 2-pt shot from 3 ft
4:39.0,,,19-17,,M. Thomas enters the game for N. Noel
4:39.0,B. Gordon enters the game for E. Fournier,,19-17,,
4:39.0,,,19-18,1,T. Wroten makes free throw 1 of 1
4:21.0,A. Gordon makes 2-pt shot at rim,2,21-18,,
4:02.0,,,21-21,3,T. Wroten makes 3-pt shot from 25 ft
3:45.0,,,21-21,,Violation by H. Sims (kicked ball)
3:45.0,C. Frye enters the game for N. Vucevic,,21-21,,
3:45.0,,,21-21,,A. Shved enters the game for T. Wroten
3:36.0,L. Ridnour misses 3-pt shot from 24 ft,,21-21,,
3:32.0,,,21-21,,Defensive rebound by H. Sims
3:20.0,,,21-21,,M. Thomas misses 2-pt shot from 6 ft
3:18.0,Defensive rebound by L. Ridnour,,21-21,,
3:11.0,Turnover by A. Gordon (traveling),,21-21,,
3:11.0,,,21-21,,J. Sampson enters the game for H. Sims
3:00.0,,,21-21,,C. Johnson misses 3-pt shot from 24 ft
2:58.0,Defensive rebound by C. Frye,,21-21,,
2:51.0,T. Harris makes 2-pt shot at rim,2,23-21,,
2:30.0,,,23-23,2,J. Sampson makes 2-pt shot from 17 ft
2:23.0,Offensive foul by C. Frye,,23-23,,
2:23.0,Turnover by C. Frye (offensive foul),,23-23,,
2:23.0,D. Dedmon enters the game for T. Harris,,23-23,,
2:05.0,,,23-23,,J. Sampson misses 2-pt shot from 1 ft
2:03.0,Defensive rebound by A. Gordon,,23-23,,
1:58.0,A. Gordon misses 2-pt shot from 2 ft (block by C. Johnson),,23-23,,
1:58.0,Offensive rebound by A. Gordon,,23-23,,
1:58.0,Turnover by A. Gordon (lost ball),,23-23,,
1:47.0,,,23-23,,A. Shved misses 2-pt shot from 3 ft
1:45.0,Defensive rebound by A. Gordon,,23-23,,
1:23.0,Shooting foul by J. Sampson (drawn by B. Gordon),,23-23,,
1:23.0,B. Gordon makes free throw 1 of 2,1,24-23,,
1:23.0,B. Gordon makes free throw 2 of 2,1,25-23,,
1:13.0,,,25-23,,A. Shved misses 2-pt shot from 4 ft
1:11.0,Defensive rebound by C. Frye,,25-23,,
1:07.0,Turnover by D. Dedmon (lost ball),,25-23,,
0:57.0,,,25-25,2,K. McDaniels makes 2-pt shot from 6 ft
0:50.0,Shooting foul by C. Johnson (drawn by B. Gordon),,25-25,,
0:50.0,B. Gordon makes free throw 1 of 2,1,26-25,,
0:50.0,B. Gordon misses free throw 2 of 2,,26-25,,
0:49.0,,,26-25,,Defensive rebound by M. Thomas
0:36.0,,,26-25,,J. Sampson misses 2-pt shot from 18 ft
0:35.0,Defensive rebound by C. Frye,,26-25,,
0:13.0,B. Gordon misses 2-pt shot from 20 ft (block by J. Sampson),,26-25,,
0:11.0,,,26-25,,Defensive rebound by C. Johnson
0:01.0,,,26-28,3,A. Shved makes 3-pt shot from 25 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,26-30,2,B. Davies makes 2-pt shot from 1 ft (assist by A. Shved)
11:34.0,Offensive foul by D. Dedmon,,26-30,,
11:34.0,Turnover by D. Dedmon (offensive foul),,26-30,,
11:20.0,,,26-30,,N. Noel misses 2-pt shot from 4 ft
11:19.0,Defensive rebound by A. Gordon,,26-30,,
11:00.0,L. Ridnour misses 2-pt shot from 16 ft,,26-30,,
10:58.0,Offensive rebound by C. Frye,,26-30,,
10:57.0,C. Frye makes 2-pt shot from 14 ft,2,28-30,,
10:57.0,Shooting foul by B. Davies (drawn by C. Frye),,28-30,,
10:57.0,C. Frye makes free throw 1 of 1,1,29-30,,
10:44.0,,,29-30,,Shooting foul by C. Frye (drawn by B. Davies)
10:44.0,,,29-30,,B. Davies misses free throw 1 of 2
10:44.0,,,29-30,,Offensive rebound by Team
10:44.0,M. Harkless enters the game for A. Gordon,,29-30,,
10:44.0,,,29-30,,B. Davies misses free throw 2 of 2
10:43.0,Defensive rebound by B. Gordon,,29-30,,
10:34.0,B. Gordon makes 2-pt shot from 9 ft,2,31-30,,
10:21.0,,,31-30,,K. McDaniels misses 2-pt shot from 1 ft
10:19.0,Defensive rebound by C. Frye,,31-30,,
10:07.0,Turnover by D. Dedmon (3 sec),,31-30,,
9:56.0,,,31-30,,A. Shved misses 3-pt shot from 27 ft
9:54.0,Defensive rebound by D. Dedmon,,31-30,,
9:47.0,Shooting foul by A. Shved (drawn by B. Gordon),,31-30,,
9:47.0,B. Gordon makes free throw 1 of 2,1,32-30,,
9:47.0,,,32-30,,H. Thompson enters the game for C. Johnson
9:47.0,N. Vucevic enters the game for D. Dedmon,,32-30,,
9:47.0,B. Gordon makes free throw 2 of 2,1,33-30,,
9:33.0,,,33-30,,N. Noel misses 2-pt shot from 12 ft
9:31.0,Defensive rebound by M. Harkless,,33-30,,
9:20.0,Turnover by B. Gordon (bad pass; steal by H. Thompson),,33-30,,
9:16.0,,,33-32,2,A. Shved makes 2-pt shot at rim (assist by N. Noel)
8:50.0,L. Ridnour misses 3-pt shot from 26 ft,,33-32,,
8:48.0,,,33-32,,Defensive rebound by H. Thompson
8:44.0,,,33-32,,Shooting foul by M. Harkless (drawn by A. Shved)
8:44.0,Official timeout,,33-32,,
8:44.0,E. Fournier enters the game for L. Ridnour,,33-32,,
8:44.0,E. Payton enters the game for C. Frye,,33-32,,
8:44.0,T. Harris enters the game for B. Gordon,,33-32,,
8:44.0,,,33-33,1,A. Shved makes free throw 1 of 2
8:44.0,,,33-34,1,A. Shved makes free throw 2 of 2
8:23.0,T. Harris makes 2-pt shot from 1 ft (assist by N. Vucevic),2,35-34,,
8:09.0,,,35-34,,Turnover by N. Noel (back court)
8:09.0,,,35-34,,T. Wroten enters the game for A. Shved
7:59.0,Turnover by E. Payton (lost ball; steal by T. Wroten),,35-34,,
7:55.0,,,35-36,2,B. Davies makes 2-pt shot at rim (assist by T. Wroten)
7:37.0,M. Harkless makes 2-pt shot at rim (assist by E. Fournier),2,37-36,,
7:16.0,,,37-36,,Turnover by N. Noel (lost ball; steal by T. Harris)
7:11.0,T. Harris makes 2-pt shot from 2 ft,2,39-36,,
6:50.0,,,39-39,3,K. McDaniels makes 3-pt shot from 24 ft (assist by N. Noel)
6:37.0,E. Fournier misses 2-pt shot from 5 ft (block by N. Noel),,39-39,,
6:35.0,,,39-39,,Defensive rebound by B. Davies
6:30.0,,,39-39,,T. Wroten misses 2-pt shot from 1 ft
6:28.0,Defensive rebound by T. Harris,,39-39,,
6:24.0,E. Fournier misses 2-pt shot from 3 ft,,39-39,,
6:22.0,Offensive rebound by M. Harkless,,39-39,,
6:22.0,M. Harkless makes 2-pt shot from 1 ft,2,41-39,,
6:17.0,,,41-39,,Philadelphia full timeout
6:09.0,,,41-39,,Turnover by N. Noel (lost ball; steal by E. Payton)
6:04.0,E. Payton misses 2-pt shot from 5 ft (block by H. Thompson),,41-39,,
6:01.0,,,41-39,,Defensive rebound by H. Thompson
5:57.0,,,41-41,2,K. McDaniels makes 2-pt shot at rim (assist by T. Wroten)
5:57.0,,,41-41,,Shooting foul by M. Harkless (drawn by K. McDaniels)
5:57.0,,,41-41,,H. Sims enters the game for N. Noel
5:57.0,,,41-42,1,K. McDaniels makes free throw 1 of 1
5:38.0,Turnover by N. Vucevic (bad pass; steal by B. Davies),,41-42,,
5:36.0,,,41-42,,Turnover by T. Wroten (traveling)
5:29.0,T. Harris misses 3-pt shot from 25 ft,,41-42,,
5:27.0,,,41-42,,Defensive rebound by H. Sims
5:20.0,Personal foul by T. Harris (drawn by K. McDaniels),,41-42,,
5:20.0,,,41-42,,A. Shved enters the game for K. McDaniels
5:20.0,L. Ridnour enters the game for E. Payton,,41-42,,
5:14.0,,,41-44,2,B. Davies makes 2-pt shot from 12 ft (assist by A. Shved)
5:05.0,N. Vucevic makes 2-pt shot from 5 ft,2,43-44,,
4:28.0,,,43-44,,T. Wroten misses 2-pt shot from 14 ft
4:26.0,,,43-44,,Offensive rebound by B. Davies
4:26.0,,,43-46,2,B. Davies makes 2-pt shot at rim
4:16.0,Turnover by N. Vucevic (bad pass; steal by T. Wroten),,43-46,,
4:13.0,,,43-46,,Shooting foul by E. Fournier (drawn by T. Wroten)
4:13.0,,,43-46,,T. Wroten misses free throw 1 of 2
4:13.0,,,43-46,,Offensive rebound by Team
4:13.0,,,43-46,,L. Mbah a Moute enters the game for B. Davies
4:13.0,C. Frye enters the game for M. Harkless,,43-46,,
4:13.0,,,43-47,1,T. Wroten makes free throw 2 of 2
4:00.0,T. Harris misses 2-pt shot from 6 ft (block by H. Thompson),,43-47,,
3:58.0,,,43-47,,Defensive rebound by H. Sims
3:53.0,,,43-47,,A. Shved misses 3-pt shot from 24 ft
3:51.0,Defensive rebound by T. Harris,,43-47,,
3:40.0,C. Frye makes 3-pt shot from 26 ft (assist by L. Ridnour),3,46-47,,
3:20.0,,,46-47,,H. Sims misses 2-pt shot from 2 ft
3:19.0,Defensive rebound by T. Harris,,46-47,,
3:13.0,N. Vucevic makes 2-pt shot from 6 ft (assist by T. Harris),2,48-47,,
2:57.0,,,48-47,,Turnover by L. Mbah a Moute (lost ball; steal by C. Frye)
2:49.0,T. Harris makes 2-pt shot from 1 ft (assist by E. Fournier),2,50-47,,
2:36.0,,,50-47,,L. Mbah a Moute misses 2-pt shot from 2 ft
2:33.0,Defensive rebound by N. Vucevic,,50-47,,
2:26.0,Turnover by L. Ridnour (palming),,50-47,,
2:26.0,,,50-47,,C. Johnson enters the game for A. Shved
2:14.0,,,50-47,,L. Mbah a Moute misses 3-pt shot from 27 ft
2:12.0,Defensive rebound by L. Ridnour,,50-47,,
1:57.0,E. Fournier makes 2-pt shot from 7 ft,2,52-47,,
1:33.0,,,52-47,,C. Johnson misses 3-pt shot from 26 ft
1:32.0,,,52-47,,Offensive rebound by L. Mbah a Moute
1:30.0,,,52-47,,H. Sims misses 2-pt shot from 15 ft
1:29.0,Defensive rebound by E. Fournier,,52-47,,
1:18.0,T. Harris misses 3-pt shot from 27 ft,,52-47,,
1:15.0,Offensive rebound by Team,,52-47,,
1:05.0,E. Fournier misses 3-pt shot from 26 ft,,52-47,,
1:03.0,,,52-47,,Defensive rebound by Team
1:00.0,,,52-50,3,T. Wroten makes 3-pt shot from 24 ft
0:53.0,Turnover by C. Frye (bad pass; steal by H. Thompson),,52-50,,
0:41.0,,,52-50,,Shooting foul by E. Fournier (drawn by H. Thompson)
0:41.0,,,52-51,1,H. Thompson makes free throw 1 of 2
0:41.0,,,52-51,,N. Noel enters the game for H. Sims
0:41.0,,,52-51,,K. McDaniels enters the game for C. Johnson
0:41.0,,,52-52,1,H. Thompson makes free throw 2 of 2
0:27.0,L. Ridnour misses 3-pt shot from 27 ft,,52-52,,
0:24.0,,,52-52,,Defensive rebound by T. Wroten
0:18.0,,,52-52,,K. McDaniels misses 2-pt shot from 10 ft
0:17.0,Defensive rebound by C. Frye,,52-52,,
0:02.0,C. Frye misses 3-pt shot from 25 ft,,52-52,,
0:01.0,,,52-52,,Defensive rebound by H. Thompson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,52-52,,H. Thompson misses 3-pt shot from 27 ft (block by T. Harris)
11:39.0,,,52-52,,Offensive rebound by N. Noel
11:32.0,Loose ball foul by C. Frye (drawn by B. Davies),,52-52,,
11:26.0,,,52-54,2,B. Davies makes 2-pt shot from 14 ft
11:00.0,Turnover by N. Vucevic (3 sec),,52-54,,
10:45.0,,,52-54,,B. Davies misses 2-pt shot from 4 ft (block by N. Vucevic)
10:44.0,Defensive rebound by C. Frye,,52-54,,
10:36.0,T. Harris misses 3-pt shot from 24 ft,,52-54,,
10:34.0,,,52-54,,Defensive rebound by L. Mbah a Moute
10:27.0,,,52-54,,H. Thompson misses 3-pt shot from 27 ft
10:26.0,Defensive rebound by N. Vucevic,,52-54,,
10:14.0,E. Fournier misses 3-pt shot from 24 ft,,52-54,,
10:13.0,Offensive rebound by C. Frye,,52-54,,
10:12.0,C. Frye makes 2-pt shot at rim,2,54-54,,
9:57.0,,,54-56,2,N. Noel makes 2-pt shot from 2 ft (assist by L. Mbah a Moute)
9:33.0,Turnover by N. Vucevic (3 sec),,54-56,,
9:22.0,,,54-56,,L. Mbah a Moute misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by C. Frye,,54-56,,
9:13.0,,,54-56,,Personal foul by B. Davies (drawn by N. Vucevic)
9:13.0,Technical foul by N. Vucevic,,54-56,,
9:13.0,,,54-57,1,H. Thompson makes technical free throw
9:09.0,E. Fournier makes 3-pt shot from 26 ft (assist by N. Vucevic),3,57-57,,
8:54.0,,,57-60,3,T. Wroten makes 3-pt shot from 24 ft (assist by L. Mbah a Moute)
8:42.0,E. Fournier misses 2-pt shot from 16 ft,,57-60,,
8:41.0,,,57-60,,Defensive rebound by N. Noel
8:30.0,,,57-62,2,B. Davies makes 2-pt shot from 19 ft (assist by N. Noel)
8:16.0,Offensive foul by N. Vucevic,,57-62,,
8:16.0,Turnover by N. Vucevic (offensive foul),,57-62,,
8:16.0,,,57-62,,H. Sims enters the game for N. Noel
8:02.0,,,57-64,2,L. Mbah a Moute makes 2-pt shot at rim (assist by T. Wroten)
7:54.0,Orlando full timeout,,57-64,,
7:54.0,Violation by Team (delay of game),,57-64,,
7:38.0,C. Frye makes 2-pt shot from 7 ft,2,59-64,,
7:22.0,,,59-64,,T. Wroten misses 2-pt shot from 2 ft
7:20.0,Defensive rebound by E. Payton,,59-64,,
7:00.0,E. Payton makes 2-pt shot from 1 ft (assist by N. Vucevic),2,61-64,,
7:00.0,Shooting foul by T. Wroten (drawn by E. Payton),,61-64,,
7:00.0,,,61-64,,K. McDaniels enters the game for L. Mbah a Moute
7:00.0,E. Payton misses free throw 1 of 1,,61-64,,
7:00.0,Offensive rebound by E. Payton,,61-64,,
6:49.0,N. Vucevic misses 2-pt shot from 17 ft,,61-64,,
6:47.0,,,61-64,,Defensive rebound by B. Davies
6:32.0,,,61-64,,H. Thompson misses 2-pt shot from 4 ft
6:31.0,Defensive rebound by E. Fournier,,61-64,,
6:27.0,N. Vucevic misses 2-pt shot from 5 ft (block by K. McDaniels),,61-64,,
6:25.0,,,61-64,,Defensive rebound by H. Sims
6:11.0,,,61-66,2,B. Davies makes 2-pt shot from 1 ft (assist by T. Wroten)
6:05.0,N. Vucevic misses 2-pt shot from 17 ft,,61-66,,
6:03.0,,,61-66,,Defensive rebound by T. Wroten
5:56.0,,,61-69,3,B. Davies makes 3-pt shot from 25 ft (assist by T. Wroten)
5:38.0,C. Frye makes 3-pt shot from 27 ft (assist by E. Payton),3,64-69,,
5:02.0,,,64-69,,Shooting foul by N. Vucevic (drawn by H. Sims)
5:02.0,,,64-69,,H. Sims misses free throw 1 of 2
5:02.0,,,64-69,,Offensive rebound by Team
5:02.0,,,64-70,1,H. Sims makes free throw 2 of 2
4:56.0,,,64-70,,L. Mbah a Moute enters the game for B. Davies
4:56.0,M. Harkless enters the game for C. Frye,,64-70,,
4:46.0,T. Harris misses 2-pt shot from 14 ft (block by T. Wroten),,64-70,,
4:44.0,Offensive rebound by E. Payton,,64-70,,
4:44.0,E. Payton misses 2-pt shot from 11 ft,,64-70,,
4:43.0,Offensive rebound by T. Harris,,64-70,,
4:43.0,T. Harris makes 2-pt shot at rim,2,66-70,,
4:34.0,,,66-70,,Shooting foul by T. Harris (drawn by L. Mbah a Moute)
4:34.0,,,66-70,,L. Mbah a Moute misses free throw 1 of 2
4:34.0,,,66-70,,Offensive rebound by Team
4:34.0,B. Gordon enters the game for E. Fournier,,66-70,,
4:34.0,,,66-70,,L. Mbah a Moute misses free throw 2 of 2
4:34.0,,,66-70,,Offensive rebound by H. Thompson
4:25.0,,,66-70,,Shooting foul by M. Harkless (drawn by T. Wroten)
4:25.0,,,66-70,,T. Wroten misses free throw 1 of 2
4:25.0,,,66-70,,Offensive rebound by Team
4:25.0,,,66-71,1,T. Wroten makes free throw 2 of 2
4:01.0,M. Harkless misses 3-pt shot from 27 ft,,66-71,,
4:00.0,Offensive rebound by N. Vucevic,,66-71,,
3:58.0,N. Vucevic makes 2-pt shot from 2 ft,2,68-71,,
3:58.0,Shooting foul by H. Sims (drawn by N. Vucevic),,68-71,,
3:58.0,,,68-71,,A. Shved enters the game for H. Thompson
3:58.0,N. Vucevic makes free throw 1 of 1,1,69-71,,
3:44.0,,,69-71,,T. Wroten misses 2-pt shot from 1 ft
3:41.0,Defensive rebound by T. Harris,,69-71,,
3:29.0,B. Gordon makes 2-pt shot from 9 ft (assist by E. Payton),2,71-71,,
3:27.0,,,71-71,,Philadelphia full timeout
3:12.0,,,71-71,,A. Shved misses 2-pt shot from 5 ft
3:11.0,Defensive rebound by T. Harris,,71-71,,
3:01.0,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Payton),2,73-71,,
2:36.0,,,73-71,,K. McDaniels misses 2-pt shot from 17 ft
2:35.0,Defensive rebound by E. Payton,,73-71,,
2:11.0,T. Harris misses 2-pt shot from 20 ft,,73-71,,
2:10.0,,,73-71,,Defensive rebound by H. Sims
1:59.0,,,73-71,,K. McDaniels misses 3-pt shot from 23 ft
1:57.0,Defensive rebound by T. Harris,,73-71,,
1:39.0,Turnover by E. Payton (bad pass; steal by T. Wroten),,73-71,,
1:34.0,,,73-73,2,K. McDaniels makes 2-pt shot at rim (assist by T. Wroten)
1:10.0,,,73-73,,Personal foul by K. McDaniels (drawn by T. Harris)
1:10.0,,,73-73,,J. Sampson enters the game for L. Mbah a Moute
1:10.0,,,73-73,,M. Thomas enters the game for T. Wroten
1:10.0,,,73-73,,C. Johnson enters the game for H. Sims
1:07.0,Shooting foul by J. Sampson (drawn by T. Harris),,73-73,,
1:07.0,D. Dedmon enters the game for N. Vucevic,,73-73,,
1:07.0,T. Harris makes free throw 1 of 2,1,74-73,,
1:07.0,T. Harris makes free throw 2 of 2,1,75-73,,
0:56.0,,,75-75,2,M. Thomas makes 2-pt shot from 1 ft (assist by A. Shved)
0:40.0,T. Harris misses 2-pt shot from 9 ft (block by J. Sampson),,75-75,,
0:37.0,Offensive rebound by M. Harkless,,75-75,,
0:31.0,B. Gordon misses 3-pt shot from 26 ft,,75-75,,
0:29.0,,,75-75,,Defensive rebound by J. Sampson
0:05.0,,,75-75,,A. Shved misses 3-pt shot from 25 ft
0:05.0,Defensive rebound by Team,,75-75,,
0:02.0,T. Harris misses 2-pt shot from 3 ft,,75-75,,
0:02.0,Offensive rebound by D. Dedmon,,75-75,,
0:00.0,D. Dedmon misses 2-pt shot from 5 ft,,75-75,,
0:00.0,Offensive rebound by Team,,75-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,B. Gordon misses 2-pt shot from 11 ft,,75-75,,
11:34.0,,,75-75,,Defensive rebound by M. Thomas
11:34.0,Personal foul by B. Gordon (drawn by M. Thomas),,75-75,,
11:17.0,,,75-75,,C. Johnson misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by C. Frye,,75-75,,
10:57.0,C. Frye misses 2-pt shot from 6 ft,,75-75,,
10:56.0,Offensive rebound by M. Harkless,,75-75,,
10:56.0,M. Harkless makes 2-pt shot at rim,2,77-75,,
10:42.0,,,77-75,,A. Shved misses 2-pt shot at rim
10:41.0,Defensive rebound by D. Dedmon,,77-75,,
10:38.0,,,77-75,,Personal foul by M. Thomas (drawn by B. Gordon)
10:30.0,C. Frye misses 3-pt shot from 24 ft,,77-75,,
10:29.0,,,77-75,,Defensive rebound by K. McDaniels
10:15.0,,,77-75,,B. Davies misses 2-pt shot from 5 ft
10:15.0,,,77-75,,Offensive rebound by Team
10:06.0,,,77-75,,Shooting foul by L. Ridnour (drawn by A. Shved)
10:06.0,,,77-76,1,A. Shved makes free throw 1 of 2
10:06.0,,,77-77,1,A. Shved makes free throw 2 of 2
9:51.0,B. Gordon makes 2-pt shot from 8 ft (assist by C. Frye),2,79-77,,
9:35.0,,,79-77,,C. Johnson misses 2-pt shot from 8 ft
9:34.0,Defensive rebound by D. Dedmon,,79-77,,
9:24.0,B. Gordon misses 2-pt shot from 2 ft,,79-77,,
9:21.0,,,79-77,,Defensive rebound by B. Davies
9:14.0,,,79-77,,C. Johnson misses 3-pt shot from 22 ft
9:13.0,Defensive rebound by D. Dedmon,,79-77,,
9:13.0,Orlando full timeout,,79-77,,
9:13.0,,,79-77,,H. Thompson enters the game for C. Johnson
8:57.0,B. Gordon makes 2-pt shot from 7 ft,2,81-77,,
8:35.0,,,81-77,,K. McDaniels misses 2-pt shot from 1 ft
8:33.0,Defensive rebound by D. Dedmon,,81-77,,
8:24.0,B. Gordon makes 2-pt shot from 16 ft,2,83-77,,
8:08.0,,,83-77,,Turnover by K. McDaniels (bad pass; steal by M. Harkless)
7:53.0,L. Ridnour misses 2-pt shot from 17 ft (block by K. McDaniels),,83-77,,
7:50.0,,,83-77,,Defensive rebound by M. Thomas
7:47.0,,,83-77,,Turnover by M. Thomas (bad pass; steal by M. Harkless)
7:47.0,,,83-77,,Personal foul by B. Davies (drawn by C. Frye)
7:47.0,,,83-77,,T. Wroten enters the game for B. Davies
7:47.0,,,83-77,,L. Mbah a Moute enters the game for M. Thomas
7:47.0,,,83-77,,H. Sims enters the game for A. Shved
7:38.0,Offensive foul by B. Gordon,,83-77,,
7:38.0,Turnover by B. Gordon (offensive foul),,83-77,,
7:29.0,,,83-77,,Turnover by H. Sims (bad pass; steal by L. Ridnour)
7:19.0,,,83-77,,Personal foul by T. Wroten (drawn by L. Ridnour)
7:19.0,N. Vucevic enters the game for D. Dedmon,,83-77,,
7:16.0,Turnover by L. Ridnour (bad pass; steal by H. Thompson),,83-77,,
7:12.0,,,83-79,2,K. McDaniels makes 2-pt shot at rim (assist by H. Thompson)
6:53.0,B. Gordon misses 2-pt shot from 5 ft,,83-79,,
6:51.0,,,83-79,,Defensive rebound by H. Thompson
6:43.0,,,83-81,2,T. Wroten makes 2-pt shot from 1 ft
6:35.0,Orlando full timeout,,83-81,,
6:23.0,L. Ridnour makes 2-pt shot from 19 ft,2,85-81,,
6:05.0,,,85-81,,Turnover by H. Sims (3 sec)
6:05.0,E. Payton enters the game for L. Ridnour,,85-81,,
6:05.0,T. Harris enters the game for M. Harkless,,85-81,,
5:44.0,N. Vucevic misses 2-pt shot from 9 ft,,85-81,,
5:42.0,,,85-81,,Defensive rebound by H. Thompson
5:24.0,,,85-81,,L. Mbah a Moute misses 3-pt shot from 26 ft
5:21.0,Defensive rebound by N. Vucevic,,85-81,,
5:15.0,T. Harris misses 2-pt shot from 3 ft (block by K. McDaniels),,85-81,,
5:12.0,,,85-81,,Defensive rebound by H. Thompson
5:06.0,,,85-81,,Turnover by T. Wroten (palming)
5:06.0,Official timeout,,85-81,,
4:47.0,,,85-81,,Personal foul by H. Thompson (drawn by T. Harris)
