time,Utah,pts.away,score,pts.home,Detroit
6:00.0,D. Favors misses 2-pt shot from 4 ft,,38-34,,
6:00.0,Offensive rebound by E. Kanter,,38-34,,
6:00.0,Shooting foul by J. Smith (drawn by E. Kanter),,38-34,,
6:00.0,E. Kanter makes free throw 1 of 2,1,39-34,,
6:00.0,,,39-34,,B. Jennings enters the game for D. Augustin
6:00.0,,,39-34,,G. Monroe enters the game for K. Singler
6:00.0,E. Kanter makes free throw 2 of 2,1,40-34,,
5:48.0,,,40-34,,Detroit full timeout
5:48.0,A. Burks enters the game for J. Ingles,,40-34,,
5:37.0,,,40-34,,G. Monroe misses 2-pt shot from 7 ft
5:35.0,Defensive rebound by E. Kanter,,40-34,,
5:13.0,D. Favors misses 2-pt shot from 5 ft,,40-34,,
5:11.0,,,40-34,,Defensive rebound by G. Monroe
5:02.0,,,40-34,,A. Drummond misses 2-pt shot from 5 ft
5:00.0,,,40-34,,Offensive rebound by A. Drummond
4:52.0,,,40-34,,Turnover by G. Monroe (lost ball; steal by G. Hayward)
4:46.0,Turnover by T. Burke (bad pass; steal by B. Jennings),,40-34,,
4:43.0,,,40-36,2,A. Drummond makes 2-pt shot at rim (assist by B. Jennings)
4:34.0,Shooting foul by G. Monroe (drawn by D. Favors),,40-36,,
4:34.0,D. Favors misses free throw 1 of 2,,40-36,,
4:34.0,Offensive rebound by Team,,40-36,,
4:34.0,,,40-36,,K. Singler enters the game for A. Drummond
4:34.0,D. Favors makes free throw 2 of 2,1,41-36,,
4:18.0,,,41-36,,Shooting foul by D. Favors (drawn by G. Monroe)
4:18.0,,,41-37,1,G. Monroe makes free throw 1 of 2
4:18.0,,,41-37,,G. Monroe misses free throw 2 of 2
4:17.0,,,41-37,,Offensive rebound by J. Smith
4:12.0,,,41-37,,Turnover by B. Jennings (bad pass; steal by T. Burke)
4:10.0,Shooting foul by K. Caldwell-Pope (drawn by G. Hayward),,41-37,,
4:10.0,G. Hayward makes free throw 1 of 2,1,42-37,,
4:10.0,J. Ingles enters the game for T. Burke,,42-37,,
4:10.0,G. Hayward makes free throw 2 of 2,1,43-37,,
3:57.0,,,43-37,,J. Smith misses 2-pt shot from 3 ft
3:55.0,Defensive rebound by D. Favors,,43-37,,
3:43.0,D. Favors misses 2-pt shot from 4 ft,,43-37,,
3:42.0,,,43-37,,Defensive rebound by G. Monroe
3:29.0,,,43-37,,K. Caldwell-Pope misses 3-pt shot from 25 ft
3:27.0,Defensive rebound by D. Favors,,43-37,,
3:19.0,E. Kanter makes 2-pt shot from 19 ft (assist by A. Burks),2,45-37,,
2:53.0,,,45-40,3,B. Jennings makes 3-pt shot from 26 ft (assist by G. Monroe)
2:33.0,,,45-40,,Personal foul by K. Singler (drawn by J. Ingles)
2:33.0,Utah full timeout,,45-40,,
2:33.0,J. Ingles makes free throw 1 of 2,1,46-40,,
2:33.0,J. Ingles misses free throw 2 of 2,,46-40,,
2:32.0,,,46-40,,Defensive rebound by G. Monroe
2:17.0,,,46-42,2,G. Monroe makes 2-pt shot from 4 ft (assist by K. Singler)
1:52.0,Turnover by Team (shot clock),,46-42,,
1:35.0,,,46-45,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by J. Smith)
1:22.0,E. Kanter makes 2-pt shot from 15 ft (assist by A. Burks),2,48-45,,
1:10.0,,,48-47,2,J. Smith makes 2-pt shot from 8 ft (assist by B. Jennings)
1:00.0,A. Burks makes 2-pt shot from 13 ft,2,50-47,,
0:46.0,,,50-47,,K. Caldwell-Pope misses 2-pt shot from 7 ft
0:45.0,,,50-47,,Offensive rebound by J. Smith
0:43.0,,,50-50,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by J. Smith)
0:35.0,G. Hayward misses 3-pt shot from 26 ft,,50-50,,
0:33.0,Offensive rebound by E. Kanter,,50-50,,
0:31.0,E. Kanter makes 2-pt shot at rim,2,52-50,,
0:17.0,,,52-52,2,J. Smith makes 2-pt shot from 21 ft (assist by B. Jennings)
0:03.0,Offensive charge foul by D. Favors,,52-52,,
0:03.0,Turnover by D. Favors (offensive foul),,52-52,,
0:01.0,,,52-52,,B. Jennings misses 3-pt shot from 38 ft
0:00.0,,,52-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,52-52,,K. Caldwell-Pope misses 2-pt shot from 16 ft
11:44.0,Defensive rebound by G. Hayward,,52-52,,
11:25.0,G. Hayward misses 2-pt shot at rim,,52-52,,
11:22.0,,,52-52,,Defensive rebound by A. Drummond
11:12.0,,,52-52,,G. Monroe misses 2-pt shot from 1 ft
11:12.0,Defensive rebound by Team,,52-52,,
11:12.0,,,52-52,,Personal foul by A. Drummond (drawn by D. Favors)
10:51.0,D. Favors makes 2-pt shot from 4 ft (assist by G. Hayward),2,54-52,,
10:36.0,,,54-52,,Shooting foul by G. Hayward (drawn by G. Monroe)
10:36.0,,,54-54,2,G. Monroe makes 2-pt shot at rim
10:36.0,,,54-55,1,G. Monroe makes free throw 1 of 1
10:17.0,D. Favors misses 2-pt shot at rim,,54-55,,
10:16.0,,,54-55,,Defensive rebound by B. Jennings
10:07.0,,,54-57,2,B. Jennings makes 2-pt shot from 16 ft
10:04.0,Shooting foul by G. Monroe (drawn by A. Burks),,54-57,,
