time,Utah,pts.away,score,pts.home,Toronto
5:46.0,,,35-32,,T. Hansbrough misses 2-pt shot from 3 ft (block by G. Hayward)
5:44.0,Defensive rebound by R. Gobert,,35-32,,
5:27.0,G. Hayward makes 2-pt shot from 18 ft (assist by T. Booker),2,37-32,,
5:21.0,,,37-32,,Toronto full timeout
5:21.0,,,37-32,,J. Valanciunas enters the game for T. Hansbrough
5:21.0,,,37-32,,K. Lowry enters the game for L. Williams
5:21.0,A. Burks enters the game for T. Booker,,37-32,,
5:21.0,E. Kanter enters the game for D. Exum,,37-32,,
5:07.0,,,37-34,2,D. DeRozan makes 2-pt shot from 9 ft (assist by P. Patterson)
4:47.0,Shooting foul by P. Patterson (drawn by E. Kanter),,37-34,,
4:47.0,E. Kanter makes free throw 1 of 2,1,38-34,,
4:47.0,E. Kanter makes free throw 2 of 2,1,39-34,,
4:35.0,,,39-36,2,P. Patterson makes 2-pt shot from 9 ft (assist by D. DeRozan)
4:09.0,G. Hayward misses 2-pt shot from 13 ft,,39-36,,
4:07.0,Offensive rebound by Team,,39-36,,
4:07.0,Turnover by Team (shot clock),,39-36,,
3:57.0,,,39-36,,Offensive foul by P. Patterson
3:57.0,,,39-36,,Turnover by P. Patterson (offensive foul)
3:57.0,D. Favors enters the game for G. Hayward,,39-36,,
3:57.0,J. Ingles enters the game for R. Gobert,,39-36,,
3:57.0,,,39-36,,A. Johnson enters the game for P. Patterson
3:42.0,,,39-36,,Violation by J. Johnson (kicked ball)
3:42.0,,,39-36,,T. Ross enters the game for J. Johnson
3:33.0,D. Favors misses 2-pt shot from 17 ft,,39-36,,
3:33.0,,,39-36,,Defensive rebound by Team
3:33.0,Loose ball foul by E. Kanter (drawn by A. Johnson),,39-36,,
3:21.0,,,39-36,,J. Valanciunas misses 2-pt shot from 1 ft
3:20.0,Defensive rebound by D. Favors,,39-36,,
3:14.0,E. Kanter makes 2-pt shot at rim (assist by T. Burke),2,41-36,,
2:54.0,,,41-36,,Shooting foul by A. Burks (drawn by J. Valanciunas)
2:54.0,Utah full timeout,,41-36,,
2:54.0,G. Hayward enters the game for J. Ingles,,41-36,,
2:54.0,,,41-36,,J. Valanciunas misses free throw 1 of 2
2:54.0,,,41-36,,Offensive rebound by Team
2:54.0,,,41-36,,J. Valanciunas misses free throw 2 of 2
2:53.0,Defensive rebound by E. Kanter,,41-36,,
2:33.0,T. Burke makes 2-pt shot from 20 ft (assist by D. Favors),2,43-36,,
2:13.0,Violation by D. Favors (def goaltending),,43-36,,
2:13.0,,,43-38,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by T. Ross)
1:56.0,E. Kanter makes 2-pt shot from 4 ft,2,45-38,,
1:41.0,,,45-40,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by A. Johnson)
1:27.0,E. Kanter makes 2-pt shot from 19 ft (assist by T. Burke),2,47-40,,
1:12.0,,,47-42,2,K. Lowry makes 2-pt shot from 12 ft
0:55.0,,,47-42,,Personal foul by T. Ross (drawn by G. Hayward)
0:55.0,G. Hayward makes free throw 1 of 2,1,48-42,,
0:55.0,T. Booker enters the game for E. Kanter,,48-42,,
0:55.0,G. Hayward makes free throw 2 of 2,1,49-42,,
0:39.0,,,49-42,,J. Valanciunas misses 2-pt shot from 5 ft
0:36.0,,,49-42,,Offensive rebound by J. Valanciunas
0:36.0,Violation by D. Favors (def goaltending),,49-42,,
0:36.0,,,49-44,2,J. Valanciunas makes 2-pt shot from 1 ft
0:30.0,G. Hayward misses 2-pt shot from 13 ft,,49-44,,
0:29.0,,,49-44,,Defensive rebound by J. Valanciunas
0:10.0,,,49-46,2,K. Lowry makes 2-pt shot from 11 ft
0:03.0,Turnover by T. Burke (lost ball),,49-46,,
0:00.0,,,49-46,,K. Lowry misses 2-pt shot from 2 ft
0:00.0,,,49-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,49-48,2,K. Lowry makes 2-pt shot from 14 ft
11:24.0,Turnover by A. Burks (bad pass; steal by A. Johnson),,49-48,,
11:01.0,,,49-48,,T. Ross misses 3-pt shot from 24 ft
11:00.0,,,49-48,,Offensive rebound by A. Johnson
10:51.0,,,49-50,2,D. DeRozan makes 2-pt shot from 4 ft
10:36.0,Shooting foul by J. Valanciunas (drawn by T. Burke),,49-50,,
10:36.0,T. Burke makes free throw 1 of 2,1,50-50,,
10:36.0,T. Burke makes free throw 2 of 2,1,51-50,,
10:18.0,,,51-52,2,T. Ross makes 2-pt shot from 17 ft
10:00.0,T. Burke makes 2-pt shot from 4 ft,2,53-52,,
9:47.0,,,53-52,,Shooting foul by D. Favors (drawn by D. DeRozan)
9:47.0,,,53-53,1,D. DeRozan makes free throw 1 of 2
9:47.0,,,53-54,1,D. DeRozan makes free throw 2 of 2
9:32.0,T. Burke makes 2-pt shot from 5 ft,2,55-54,,
9:16.0,,,55-56,2,K. Lowry makes 2-pt shot from 21 ft
8:55.0,A. Burks misses 2-pt shot from 5 ft,,55-56,,
8:54.0,Offensive rebound by E. Kanter,,55-56,,
8:54.0,Jump ball: E. Kanter vs. K. Lowry (T. Burke gains possession),,,,Jump ball: E. Kanter vs. K. Lowry (T. Burke gains possession)
8:47.0,T. Burke misses 2-pt shot from 1 ft,,55-56,,
8:45.0,Offensive rebound by E. Kanter,,55-56,,
8:43.0,E. Kanter misses 2-pt shot from 2 ft,,55-56,,
8:42.0,,,55-56,,Defensive rebound by J. Valanciunas
8:36.0,Shooting block foul by E. Kanter (drawn by D. DeRozan),,55-56,,
8:36.0,,,55-57,1,D. DeRozan makes free throw 1 of 2
8:36.0,,,55-58,1,D. DeRozan makes free throw 2 of 2
8:21.0,G. Hayward misses 3-pt shot from 22 ft,,55-58,,
8:20.0,,,55-58,,Defensive rebound by J. Valanciunas
8:12.0,,,55-58,,D. DeRozan misses 2-pt shot from 1 ft
8:10.0,,,55-58,,Offensive rebound by J. Valanciunas
8:09.0,,,55-58,,J. Valanciunas misses 2-pt shot from 1 ft
8:03.0,Defensive rebound by D. Favors,,55-58,,
7:59.0,E. Kanter misses 2-pt shot from 1 ft,,55-58,,
7:58.0,,,55-58,,Defensive rebound by A. Johnson
7:50.0,,,55-58,,J. Valanciunas misses 2-pt shot from 1 ft
7:48.0,,,55-58,,Offensive rebound by D. DeRozan
7:46.0,,,55-60,2,D. DeRozan makes 2-pt shot from 1 ft
7:27.0,D. Favors makes 2-pt shot from 14 ft (assist by T. Burke),2,57-60,,
7:12.0,,,57-60,,T. Ross misses 3-pt shot from 25 ft
7:10.0,Defensive rebound by T. Burke,,57-60,,
7:05.0,Shooting foul by K. Lowry (drawn by G. Hayward),,57-60,,
7:05.0,G. Hayward makes free throw 1 of 2,1,58-60,,
7:05.0,G. Hayward misses free throw 2 of 2,,58-60,,
7:03.0,,,58-60,,Defensive rebound by J. Valanciunas
6:51.0,Personal foul by G. Hayward (drawn by D. DeRozan),,58-60,,
6:51.0,T. Booker enters the game for E. Kanter,,58-60,,
6:46.0,,,58-60,,Turnover by K. Lowry (bad pass)
6:33.0,A. Burks misses 2-pt shot from 8 ft,,58-60,,
6:31.0,Offensive rebound by A. Burks,,58-60,,
6:15.0,D. Favors makes 2-pt shot from 19 ft (assist by G. Hayward),2,60-60,,
6:00.0,Personal foul by D. Favors (drawn by J. Valanciunas),,60-60,,
6:00.0,D. Exum enters the game for T. Burke,,60-60,,
6:00.0,R. Gobert enters the game for D. Favors,,60-60,,
6:00.0,,,60-60,,Toronto full timeout
6:00.0,J. Ingles enters the game for G. Hayward,,60-60,,
5:54.0,,,60-60,,D. DeRozan misses 2-pt shot from 17 ft
5:53.0,Defensive rebound by A. Burks,,60-60,,
5:46.0,A. Burks misses 2-pt shot from 5 ft (block by A. Johnson),,60-60,,
5:44.0,,,60-60,,Defensive rebound by A. Johnson
5:44.0,Personal foul by R. Gobert (drawn by A. Johnson),,60-60,,
5:44.0,,,60-61,1,A. Johnson makes free throw 1 of 2
5:44.0,,,60-62,1,A. Johnson makes free throw 2 of 2
5:29.0,R. Gobert misses 2-pt shot from 1 ft,,60-62,,
5:28.0,,,60-62,,Defensive rebound by K. Lowry
5:19.0,,,60-64,2,K. Lowry makes 2-pt shot from 16 ft
5:19.0,,,60-64,,Shooting foul by D. Exum (drawn by K. Lowry)
5:19.0,,,60-65,1,K. Lowry makes free throw 1 of 1
4:56.0,A. Burks makes 2-pt shot from 2 ft,2,62-65,,
4:37.0,,,62-67,2,D. DeRozan makes 2-pt shot from 11 ft (assist by A. Johnson)
4:12.0,Shooting foul by K. Lowry (drawn by A. Burks),,62-67,,
4:12.0,A. Burks misses free throw 1 of 2,,62-67,,
4:12.0,Offensive rebound by Team,,62-67,,
4:12.0,A. Burks misses free throw 2 of 2,,62-67,,
4:11.0,,,62-67,,Defensive rebound by J. Valanciunas
3:59.0,,,62-69,2,T. Ross makes 2-pt shot at rim (assist by K. Lowry)
3:51.0,Utah full timeout,,62-69,,
3:46.0,,,62-69,,Shooting block foul by K. Lowry (drawn by A. Burks)
3:46.0,A. Burks misses free throw 1 of 2,,62-69,,
3:46.0,Offensive rebound by Team,,62-69,,
3:46.0,A. Burks makes free throw 2 of 2,1,63-69,,
3:25.0,Shooting block foul by J. Ingles (drawn by D. DeRozan),,63-69,,
3:25.0,,,63-69,,D. DeRozan misses free throw 1 of 2
3:25.0,,,63-69,,Offensive rebound by Team
3:25.0,,,63-69,,L. Williams enters the game for T. Ross
3:25.0,,,63-69,,P. Patterson enters the game for A. Johnson
3:25.0,,,63-70,1,D. DeRozan makes free throw 2 of 2
3:14.0,D. Exum misses 2-pt shot from 6 ft,,63-70,,
3:11.0,Offensive rebound by R. Gobert,,63-70,,
3:09.0,R. Gobert makes 2-pt shot at rim,2,65-70,,
2:59.0,,,65-70,,K. Lowry misses 2-pt shot from 19 ft
2:58.0,Defensive rebound by D. Exum,,65-70,,
2:51.0,D. Exum makes 2-pt shot from 9 ft,2,67-70,,
2:37.0,Personal foul by R. Gobert (drawn by J. Valanciunas),,67-70,,
2:37.0,,,67-71,1,J. Valanciunas makes free throw 1 of 2
2:37.0,,,67-71,,G. Vasquez enters the game for K. Lowry
2:37.0,,,67-71,,J. Valanciunas misses free throw 2 of 2
2:36.0,Defensive rebound by R. Gobert,,67-71,,
2:15.0,,,67-71,,Personal foul by L. Williams (drawn by D. Exum)
