time,Houston,pts.away,score,pts.home,Orlando
7:20.0,,,33-35,,C. Frye enters the game for K. O'Quinn
7:20.0,J. Harden enters the game for T. Ariza,,33-35,,
7:20.0,D. Howard enters the game for D. Motiejunas,,33-35,,
7:20.0,A. Shved misses free throw 2 of 2,,33-35,,
7:18.0,,,33-35,,Defensive rebound by C. Frye
7:03.0,,,33-37,2,B. Gordon makes 2-pt shot from 19 ft (assist by C. Frye)
6:48.0,A. Shved makes 3-pt shot from 24 ft (assist by D. Howard),3,36-37,,
6:41.0,Personal foul by A. Shved (drawn by E. Payton),,36-37,,
6:41.0,P. Beverley enters the game for A. Shved,,36-37,,
6:28.0,,,36-39,2,B. Gordon makes 2-pt shot from 10 ft (assist by C. Frye)
6:06.0,D. Howard makes 2-pt shot from 3 ft,2,38-39,,
5:59.0,,,38-39,,V. Oladipo misses 2-pt shot at rim
5:59.0,,,38-39,,Offensive rebound by N. Vucevic
5:59.0,,,38-39,,N. Vucevic misses 2-pt shot from 1 ft
5:59.0,,,38-39,,Offensive rebound by N. Vucevic
5:59.0,,,38-39,,N. Vucevic misses 2-pt shot from 1 ft
5:59.0,,,38-39,,Offensive rebound by N. Vucevic
5:58.0,,,38-39,,Shooting foul by J. Harden (drawn by N. Vucevic)
5:58.0,Official timeout,,38-39,,
5:58.0,,,38-40,1,N. Vucevic makes free throw 1 of 2
5:58.0,,,38-41,1,N. Vucevic makes free throw 2 of 2
5:40.0,P. Beverley makes 3-pt shot from 24 ft (assist by J. Smith),3,41-41,,
5:21.0,,,41-41,,N. Vucevic misses 2-pt shot from 18 ft
5:20.0,Defensive rebound by J. Harden,,41-41,,
5:10.0,J. Harden makes 2-pt shot from 2 ft,2,43-41,,
5:07.0,,,43-41,,Turnover by E. Payton (bad pass; steal by C. Brewer)
5:03.0,J. Harden makes 2-pt shot from 1 ft (assist by C. Brewer),2,45-41,,
4:52.0,,,45-43,2,N. Vucevic makes 2-pt shot from 5 ft (assist by C. Frye)
4:37.0,Turnover by J. Smith (bad pass),,45-43,,
4:31.0,,,45-43,,D. Marble enters the game for B. Gordon
4:31.0,T. Ariza enters the game for C. Brewer,,45-43,,
4:31.0,D. Motiejunas enters the game for J. Smith,,45-43,,
4:31.0,Loose ball foul by D. Motiejunas (drawn by C. Frye),,45-43,,
4:21.0,,,45-43,,Turnover by C. Frye (traveling)
4:09.0,D. Motiejunas misses 3-pt shot from 23 ft,,45-43,,
4:08.0,,,45-43,,Defensive rebound by D. Marble
3:58.0,,,45-43,,E. Payton misses 2-pt shot from 9 ft (block by P. Beverley)
3:57.0,Defensive rebound by P. Beverley,,45-43,,
3:54.0,Turnover by P. Beverley (bad pass; steal by V. Oladipo),,45-43,,
3:45.0,,,45-43,,C. Frye misses 3-pt shot from 22 ft
3:43.0,Defensive rebound by T. Ariza,,45-43,,
3:36.0,Turnover by J. Harden (bad pass; steal by N. Vucevic),,45-43,,
3:29.0,,,45-43,,E. Payton misses 2-pt shot from 2 ft
3:28.0,,,45-43,,Offensive rebound by C. Frye
3:28.0,,,45-43,,V. Oladipo misses 2-pt shot at rim
3:27.0,Defensive rebound by T. Ariza,,45-43,,
3:22.0,D. Howard makes 2-pt shot at rim (assist by T. Ariza),2,47-43,,
3:13.0,,,47-43,,Orlando full timeout
3:04.0,,,47-43,,E. Payton misses 2-pt shot from 1 ft
3:04.0,,,47-43,,Offensive rebound by N. Vucevic
3:04.0,,,47-45,2,N. Vucevic makes 2-pt shot at rim
2:37.0,D. Howard misses 2-pt shot from 7 ft,,47-45,,
2:36.0,,,47-45,,Defensive rebound by Team
2:36.0,Houston full timeout,,47-45,,
2:20.0,,,47-45,,C. Frye misses 3-pt shot from 25 ft
2:19.0,,,47-45,,Offensive rebound by D. Marble
2:14.0,,,47-48,3,V. Oladipo makes 3-pt shot from 24 ft (assist by D. Marble)
1:56.0,Turnover by D. Howard (bad pass; steal by V. Oladipo),,47-48,,
1:52.0,,,47-50,2,V. Oladipo makes 2-pt shot at rim
1:45.0,Turnover by P. Beverley (bad pass),,47-50,,
1:35.0,,,47-53,3,V. Oladipo makes 3-pt shot from 24 ft
1:22.0,Turnover by J. Harden (bad pass),,47-53,,
1:22.0,Houston full timeout,,47-53,,
1:07.0,,,47-53,,Turnover by D. Marble (bad pass; steal by J. Harden)
1:01.0,D. Motiejunas makes 2-pt shot at rim (assist by J. Harden),2,49-53,,
0:52.0,,,49-55,2,N. Vucevic makes 2-pt shot from 17 ft
0:39.0,Turnover by P. Beverley (bad pass; steal by N. Vucevic),,49-55,,
0:31.0,,,49-55,,D. Marble misses 3-pt shot from 24 ft
0:31.0,Defensive rebound by D. Howard,,49-55,,
0:09.0,P. Beverley makes 3-pt shot from 25 ft (assist by J. Harden),3,52-55,,
0:00.0,,,52-55,,V. Oladipo misses 2-pt shot from 3 ft
0:00.0,,,52-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,D. Howard makes 2-pt shot at rim (assist by D. Motiejunas),2,54-55,,
11:19.0,,,54-55,,E. Payton misses 2-pt shot from 4 ft
11:19.0,,,54-55,,Offensive rebound by Team
11:19.0,,,54-55,,Turnover by Team (shot clock)
11:08.0,P. Beverley misses 2-pt shot from 8 ft,,54-55,,
11:07.0,,,54-55,,Defensive rebound by C. Frye
10:56.0,,,54-55,,Shooting foul by T. Ariza (drawn by V. Oladipo)
10:56.0,,,54-56,1,V. Oladipo makes free throw 1 of 2
10:56.0,,,54-57,1,V. Oladipo makes free throw 2 of 2
10:43.0,Turnover by D. Motiejunas (bad pass; steal by C. Frye),,54-57,,
10:40.0,,,54-57,,Offensive charge foul by V. Oladipo
10:40.0,,,54-57,,Turnover by V. Oladipo (offensive foul)
10:23.0,Shooting foul by N. Vucevic (drawn by D. Howard),,54-57,,
10:23.0,D. Howard makes free throw 1 of 2,1,55-57,,
10:23.0,D. Howard makes free throw 2 of 2,1,56-57,,
10:09.0,,,56-57,,N. Vucevic misses 2-pt shot from 1 ft
10:08.0,,,56-57,,Offensive rebound by N. Vucevic
10:08.0,,,56-59,2,N. Vucevic makes 2-pt shot from 1 ft
9:51.0,P. Beverley misses 3-pt shot from 26 ft,,56-59,,
9:50.0,,,56-59,,Defensive rebound by C. Frye
9:29.0,,,56-61,2,V. Oladipo makes 2-pt shot from 17 ft
9:10.0,D. Howard misses 2-pt shot from 8 ft,,56-61,,
9:09.0,,,56-61,,Defensive rebound by N. Vucevic
8:58.0,,,56-64,3,C. Frye makes 3-pt shot from 25 ft (assist by N. Vucevic)
8:43.0,,,56-64,,Personal foul by E. Payton (drawn by D. Motiejunas)
8:36.0,J. Harden makes 3-pt shot from 25 ft (assist by D. Motiejunas),3,59-64,,
8:07.0,,,59-64,,Shooting foul by P. Beverley (drawn by D. Marble)
8:07.0,,,59-65,1,D. Marble makes free throw 1 of 3
8:07.0,,,59-66,1,D. Marble makes free throw 2 of 3
8:07.0,,,59-67,1,D. Marble makes free throw 3 of 3
7:51.0,T. Ariza makes 2-pt shot at rim (assist by J. Harden),2,61-67,,
7:45.0,,,61-69,2,E. Payton makes 2-pt shot at rim
7:42.0,Houston full timeout,,61-69,,
7:29.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,64-69,,
7:24.0,,,64-69,,D. Marble misses 2-pt shot at rim (block by T. Ariza)
7:24.0,,,64-69,,Offensive rebound by Team
7:08.0,,,64-69,,E. Payton misses 2-pt shot from 1 ft (block by P. Beverley)
7:08.0,Defensive rebound by Team,,64-69,,
6:43.0,Turnover by Team (shot clock),,64-69,,
6:27.0,,,64-72,3,V. Oladipo makes 3-pt shot from 24 ft (assist by E. Payton)
6:19.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,66-72,,
6:11.0,,,66-74,2,N. Vucevic makes 2-pt shot from 1 ft (assist by V. Oladipo)
6:11.0,,,66-74,,Shooting foul by J. Harden (drawn by N. Vucevic)
6:11.0,,,66-75,1,N. Vucevic makes free throw 1 of 1
5:49.0,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden),3,69-75,,
5:40.0,,,69-75,,C. Frye misses 3-pt shot from 25 ft
5:40.0,Defensive rebound by D. Howard,,69-75,,
5:25.0,J. Harden makes 2-pt shot at rim,2,71-75,,
5:12.0,,,71-75,,Turnover by E. Payton (bad pass; steal by J. Harden)
5:08.0,,,71-75,,Personal foul by C. Frye (drawn by D. Motiejunas)
5:08.0,C. Brewer enters the game for T. Ariza,,71-75,,
5:08.0,J. Smith enters the game for D. Motiejunas,,71-75,,
5:08.0,,,71-75,,E. Fournier enters the game for D. Marble
5:02.0,J. Harden misses 3-pt shot from 25 ft,,71-75,,
5:01.0,,,71-75,,Defensive rebound by N. Vucevic
4:51.0,,,71-75,,Turnover by N. Vucevic (bad pass; steal by J. Harden)
4:36.0,Shooting foul by E. Fournier (drawn by D. Howard),,71-75,,
4:36.0,D. Howard makes free throw 1 of 2,1,72-75,,
4:36.0,,,72-75,,L. Ridnour enters the game for E. Payton
4:36.0,D. Howard makes free throw 2 of 2,1,73-75,,
4:19.0,,,73-77,2,E. Fournier makes 2-pt shot from 1 ft
4:07.0,D. Howard makes 2-pt shot at rim (assist by J. Smith),2,75-77,,
3:48.0,,,75-79,2,L. Ridnour makes 2-pt shot from 18 ft
3:31.0,C. Brewer misses 3-pt shot from 24 ft,,75-79,,
3:31.0,Offensive rebound by J. Harden,,75-79,,
3:29.0,J. Harden makes 2-pt shot from 9 ft,2,77-79,,
3:29.0,,,77-79,,Orlando full timeout
3:07.0,,,77-79,,Turnover by L. Ridnour (bad pass)
2:46.0,J. Smith makes 2-pt shot from 6 ft,2,79-79,,
2:42.0,,,79-79,,Turnover by C. Frye (bad pass; steal by C. Brewer)
2:37.0,J. Smith misses 3-pt shot from 25 ft,,79-79,,
2:36.0,,,79-79,,Defensive rebound by V. Oladipo
2:27.0,,,79-79,,N. Vucevic misses 2-pt shot from 22 ft
2:27.0,Defensive rebound by J. Smith,,79-79,,
2:17.0,D. Howard makes 2-pt shot at rim (assist by J. Smith),2,81-79,,
2:16.0,Personal foul by C. Brewer (drawn by V. Oladipo),,81-79,,
2:16.0,A. Shved enters the game for P. Beverley,,81-79,,
2:16.0,,,81-79,,K. O'Quinn enters the game for N. Vucevic
2:16.0,D. Motiejunas enters the game for D. Howard,,81-79,,
2:03.0,,,81-79,,E. Fournier misses 3-pt shot from 23 ft
2:03.0,Defensive rebound by D. Motiejunas,,81-79,,
1:40.0,J. Smith misses 3-pt shot from 24 ft,,81-79,,
1:40.0,,,81-79,,Defensive rebound by L. Ridnour
1:36.0,,,81-79,,Shooting foul by J. Smith (drawn by V. Oladipo)
1:36.0,,,81-79,,V. Oladipo misses free throw 1 of 2
1:36.0,,,81-79,,Offensive rebound by Team
1:36.0,,,81-80,1,V. Oladipo makes free throw 2 of 2
1:20.0,C. Brewer misses 3-pt shot from 22 ft,,81-80,,
1:19.0,Offensive rebound by J. Smith,,81-80,,
1:18.0,,,81-80,,B. Gordon enters the game for V. Oladipo
1:14.0,J. Harden misses 3-pt shot from 25 ft,,81-80,,
1:14.0,Offensive rebound by J. Smith,,81-80,,
1:11.0,Turnover by J. Smith (bad pass; steal by L. Ridnour),,81-80,,
0:59.0,Personal foul by C. Brewer (drawn by B. Gordon),,81-80,,
0:59.0,,,81-81,1,B. Gordon makes free throw 1 of 2
0:59.0,,,81-81,,M. Harkless enters the game for C. Frye
0:59.0,,,81-82,1,B. Gordon makes free throw 2 of 2
0:39.0,J. Harden makes 2-pt shot at rim,2,83-82,,
0:32.0,Personal foul by J. Smith (drawn by E. Fournier),,83-82,,
0:32.0,,,83-83,1,E. Fournier makes free throw 1 of 2
0:32.0,,,83-83,,D. Marble enters the game for L. Ridnour
0:32.0,,,83-84,1,E. Fournier makes free throw 2 of 2
0:29.0,J. Harden makes 2-pt shot from 1 ft,2,85-84,,
0:06.0,,,85-84,,D. Marble misses 3-pt shot from 22 ft
0:05.0,Defensive rebound by J. Smith,,85-84,,
0:01.0,Turnover by J. Harden (lost ball; steal by E. Fournier),,85-84,,
0:00.0,,,85-84,,E. Fournier misses 3-pt shot from 41 ft
0:00.0,,,85-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,85-86,2,B. Gordon makes 2-pt shot from 15 ft
11:27.0,A. Shved misses 3-pt shot from 25 ft,,85-86,,
11:25.0,,,85-86,,Defensive rebound by M. Harkless
11:15.0,,,85-86,,E. Fournier misses 2-pt shot from 16 ft
11:15.0,Defensive rebound by T. Ariza,,85-86,,
11:07.0,C. Brewer makes 2-pt shot from 7 ft,2,87-86,,
10:40.0,,,87-86,,Turnover by Team (shot clock)
10:28.0,Shooting foul by K. O'Quinn (drawn by D. Motiejunas),,87-86,,
10:28.0,D. Motiejunas makes free throw 1 of 2,1,88-86,,
10:28.0,D. Motiejunas makes free throw 2 of 2,1,89-86,,
10:12.0,,,89-86,,B. Gordon misses 2-pt shot at rim
10:12.0,Defensive rebound by J. Smith,,89-86,,
10:11.0,Turnover by J. Smith (bad pass; steal by E. Fournier),,89-86,,
10:11.0,,,89-86,,Shooting foul by D. Motiejunas (drawn by E. Fournier)
10:11.0,,,89-86,,E. Fournier misses free throw 1 of 2
10:11.0,,,89-86,,Offensive rebound by Team
10:11.0,,,89-87,1,E. Fournier makes free throw 2 of 2
9:58.0,,,89-87,,Personal foul by L. Ridnour (drawn by J. Smith)
9:58.0,,,89-87,,V. Oladipo enters the game for E. Fournier
9:46.0,J. Smith misses 2-pt shot from 6 ft,,89-87,,
9:46.0,,,89-87,,Defensive rebound by L. Ridnour
9:32.0,Violation by D. Motiejunas (kicked ball),,89-87,,
9:32.0,,,89-87,,E. Payton enters the game for L. Ridnour
9:21.0,,,89-90,3,K. O'Quinn makes 3-pt shot from 23 ft (assist by V. Oladipo)
8:57.0,A. Shved misses 2-pt shot from 1 ft,,89-90,,
8:56.0,,,89-90,,Defensive rebound by E. Payton
8:53.0,,,89-90,,M. Harkless misses 2-pt shot from 1 ft (block by J. Smith)
8:53.0,,,89-90,,Offensive rebound by Team
8:53.0,Official timeout,,89-90,,
8:53.0,P. Beverley enters the game for A. Shved,,89-90,,
8:37.0,,,89-90,,M. Harkless misses 3-pt shot from 23 ft
8:36.0,Defensive rebound by D. Motiejunas,,89-90,,
8:26.0,D. Motiejunas makes 2-pt shot from 16 ft (assist by J. Smith),2,91-90,,
8:14.0,,,91-90,,C. Frye enters the game for K. O'Quinn
8:14.0,,,91-90,,N. Vucevic enters the game for M. Harkless
8:14.0,D. Howard enters the game for D. Motiejunas,,91-90,,
7:57.0,,,91-92,2,B. Gordon makes 2-pt shot from 16 ft
7:36.0,D. Howard makes 2-pt shot at rim,2,93-92,,
7:36.0,Shooting foul by N. Vucevic (drawn by D. Howard),,93-92,,
7:36.0,D. Howard makes free throw 1 of 1,1,94-92,,
7:23.0,,,94-92,,Shooting foul by D. Howard (drawn by E. Payton)
7:23.0,,,94-93,1,E. Payton makes free throw 1 of 2
7:23.0,J. Harden enters the game for T. Ariza,,94-93,,
7:23.0,Violation by J. Smith (lane),,94-93,,
7:23.0,,,94-94,1,E. Payton makes free throw 2 of 2
7:04.0,D. Howard misses 2-pt shot from 4 ft,,94-94,,
7:04.0,Offensive rebound by J. Smith,,94-94,,
7:04.0,J. Smith misses 2-pt shot from 1 ft,,94-94,,
7:02.0,,,94-94,,Defensive rebound by V. Oladipo
6:51.0,,,94-96,2,E. Payton makes 2-pt shot from 6 ft (assist by V. Oladipo)
6:36.0,J. Harden makes 2-pt shot at rim,2,96-96,,
6:30.0,,,96-96,,Turnover by E. Payton (lost ball; steal by P. Beverley)
6:26.0,Shooting foul by V. Oladipo (drawn by J. Harden),,96-96,,
6:26.0,J. Harden makes free throw 1 of 2,1,97-96,,
6:26.0,J. Harden makes free throw 2 of 2,1,98-96,,
6:15.0,,,98-98,2,N. Vucevic makes 2-pt shot from 16 ft
5:50.0,D. Howard misses 2-pt shot from 3 ft,,98-98,,
5:50.0,,,98-98,,Defensive rebound by E. Payton
5:36.0,,,98-100,2,V. Oladipo makes 2-pt shot at rim (assist by E. Payton)
5:34.0,Houston full timeout,,98-100,,
5:34.0,D. Motiejunas enters the game for J. Smith,,98-100,,
5:34.0,T. Ariza enters the game for C. Brewer,,98-100,,
5:19.0,,,98-100,,Personal foul by V. Oladipo (drawn by J. Harden)
5:19.0,J. Harden makes free throw 1 of 2,1,99-100,,
5:19.0,J. Harden makes free throw 2 of 2,1,100-100,,
5:05.0,,,100-100,,Turnover by V. Oladipo (bad pass; steal by J. Harden)
5:02.0,Turnover by J. Harden (offensive foul),,100-100,,
5:02.0,Offensive charge foul by J. Harden,,100-100,,
4:40.0,,,100-102,2,E. Payton makes 2-pt shot from 7 ft
4:15.0,D. Howard misses 2-pt shot from 1 ft,,100-102,,
