time,Dallas,pts.away,score,pts.home,Cleveland
1:10.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by R. Jefferson),2,26-23,,
0:53.0,,,26-25,2,S. Marion makes 2-pt shot from 1 ft (assist by M. Dellavedova)
0:32.0,D. Harris misses 3-pt shot from 26 ft,,26-25,,
0:31.0,,,26-25,,Defensive rebound by M. Miller
0:18.0,,,26-25,,Turnover by M. Dellavedova (lost ball; steal by R. Rondo)
0:13.0,Turnover by R. Jefferson (traveling),,26-25,,
0:05.0,,,26-25,,Turnover by D. Waiters (lost ball; steal by R. Rondo)
0:04.0,,,26-25,,Personal foul by D. Waiters (drawn by R. Jefferson)
0:04.0,R. Jefferson makes free throw 1 of 2,1,27-25,,
0:04.0,A. Aminu enters the game for D. Nowitzki,,27-25,,
0:04.0,R. Jefferson makes free throw 2 of 2,1,28-25,,
0:00.0,,,28-25,,D. Waiters misses 3-pt shot from 36 ft
0:00.0,,,28-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,D. Nowitzki makes 2-pt shot at rim,2,30-25,,
11:26.0,Personal foul by J. Barea (drawn by M. Dellavedova),,30-25,,
11:15.0,,,30-25,,K. Love misses 3-pt shot from 25 ft
11:14.0,Defensive rebound by D. Nowitzki,,30-25,,
11:07.0,Turnover by R. Rondo (bad pass; steal by K. Love),,30-25,,
10:59.0,,,30-25,,D. Waiters misses 3-pt shot from 23 ft
10:58.0,,,30-25,,Offensive rebound by D. Waiters
10:52.0,,,30-25,,D. Waiters misses 2-pt shot at rim
10:50.0,,,30-25,,Offensive rebound by S. Marion
10:50.0,,,30-25,,S. Marion misses 2-pt shot from 1 ft
10:48.0,Defensive rebound by A. Aminu,,30-25,,
10:36.0,J. Barea makes 2-pt shot at rim,2,32-25,,
10:16.0,,,32-27,2,S. Marion makes 2-pt shot at rim (assist by K. Love)
9:50.0,R. Rondo makes 2-pt shot from 19 ft,2,34-27,,
9:31.0,,,34-29,2,K. Love makes 2-pt shot from 16 ft (assist by D. Waiters)
9:20.0,R. Rondo misses 2-pt shot from 21 ft,,34-29,,
9:19.0,,,34-29,,Defensive rebound by Team
9:18.0,,,34-29,,K. Irving enters the game for D. Waiters
9:03.0,,,34-29,,K. Love misses 2-pt shot from 14 ft
9:00.0,Defensive rebound by R. Rondo,,34-29,,
8:57.0,R. Rondo misses 2-pt shot at rim,,34-29,,
8:55.0,Offensive rebound by A. Aminu,,34-29,,
8:51.0,D. Nowitzki makes 2-pt shot from 21 ft (assist by A. Aminu),2,36-29,,
8:51.0,Violation by Team (delay of game),,36-29,,
8:36.0,,,36-31,2,S. Marion makes 2-pt shot from 1 ft (assist by M. Dellavedova)
8:23.0,J. Barea makes 2-pt shot from 8 ft,2,38-31,,
8:13.0,,,38-34,3,K. Love makes 3-pt shot from 24 ft (assist by M. Miller)
8:05.0,Dallas full timeout,,38-34,,
8:05.0,C. Parsons enters the game for D. Nowitzki,,38-34,,
8:05.0,T. Chandler enters the game for G. Smith,,38-34,,
8:05.0,,,38-34,,T. Thompson enters the game for K. Love
7:55.0,T. Chandler misses 2-pt shot from 5 ft,,38-34,,
7:51.0,,,38-34,,Defensive rebound by M. Miller
7:42.0,,,38-34,,T. Thompson misses 2-pt shot from 5 ft (block by R. Rondo)
7:41.0,,,38-34,,Offensive rebound by T. Thompson
7:38.0,,,38-34,,S. Marion misses 2-pt shot from 10 ft
7:34.0,Defensive rebound by T. Chandler,,38-34,,
7:29.0,C. Parsons misses 3-pt shot from 24 ft,,38-34,,
7:28.0,,,38-34,,Defensive rebound by T. Thompson
7:22.0,,,38-34,,K. Irving misses 2-pt shot from 7 ft
7:21.0,Defensive rebound by A. Aminu,,38-34,,
7:05.0,J. Barea makes 3-pt shot from 24 ft,3,41-34,,
6:42.0,Personal foul by J. Barea (drawn by K. Irving),,41-34,,
6:42.0,M. Ellis enters the game for R. Rondo,,41-34,,
6:32.0,,,41-36,2,K. Irving makes 2-pt shot at rim
6:21.0,T. Chandler makes 2-pt shot at rim (assist by J. Barea),2,43-36,,
6:04.0,,,43-36,,M. Dellavedova misses 2-pt shot from 5 ft
6:01.0,,,43-36,,Offensive rebound by M. Dellavedova
5:58.0,,,43-39,3,M. Miller makes 3-pt shot from 24 ft (assist by M. Dellavedova)
5:44.0,C. Parsons makes 2-pt shot at rim (assist by J. Barea),2,45-39,,
5:35.0,,,45-39,,K. Irving misses 2-pt shot from 16 ft
5:34.0,Defensive rebound by C. Parsons,,45-39,,
5:26.0,A. Aminu makes 2-pt shot at rim (assist by J. Barea),2,47-39,,
5:09.0,Personal foul by J. Barea (drawn by M. Dellavedova),,47-39,,
5:09.0,Official timeout,,47-39,,
5:09.0,D. Harris enters the game for J. Barea,,47-39,,
5:09.0,,,47-39,,K. Love enters the game for S. Marion
4:55.0,,,47-39,,Turnover by Team (shot clock)
4:47.0,,,47-39,,Personal foul by T. Thompson (drawn by T. Chandler)
4:40.0,M. Ellis misses 2-pt shot from 7 ft,,47-39,,
4:39.0,,,47-39,,Defensive rebound by K. Love
4:24.0,,,47-39,,K. Love misses 2-pt shot from 4 ft
4:23.0,Defensive rebound by C. Parsons,,47-39,,
4:16.0,Shooting foul by K. Irving (drawn by C. Parsons),,47-39,,
4:16.0,C. Parsons makes free throw 1 of 2,1,48-39,,
4:16.0,,,48-39,,D. Waiters enters the game for M. Dellavedova
4:16.0,C. Parsons makes free throw 2 of 2,1,49-39,,
3:54.0,,,49-42,3,K. Love makes 3-pt shot from 23 ft (assist by K. Irving)
3:43.0,M. Ellis makes 2-pt shot from 1 ft,2,51-42,,
3:31.0,,,51-42,,D. Waiters misses 3-pt shot from 23 ft
3:29.0,,,51-42,,Offensive rebound by K. Love
3:11.0,,,51-42,,D. Waiters misses 2-pt shot from 1 ft (block by T. Chandler)
3:09.0,Defensive rebound by T. Chandler,,51-42,,
3:04.0,D. Harris makes 3-pt shot from 27 ft (assist by C. Parsons),3,54-42,,
2:56.0,,,54-42,,Cleveland full timeout
2:56.0,D. Nowitzki enters the game for T. Chandler,,54-42,,
2:56.0,R. Rondo enters the game for D. Harris,,54-42,,
2:56.0,G. Smith enters the game for A. Aminu,,54-42,,
2:56.0,,,54-42,,S. Marion enters the game for M. Miller
2:44.0,,,54-42,,K. Irving misses 3-pt shot from 24 ft
2:43.0,Defensive rebound by D. Nowitzki,,54-42,,
2:39.0,Shooting foul by K. Love (drawn by M. Ellis),,54-42,,
2:39.0,M. Ellis misses free throw 1 of 2,,54-42,,
2:39.0,Offensive rebound by Team,,54-42,,
2:39.0,M. Ellis makes free throw 2 of 2,1,55-42,,
2:24.0,,,55-42,,Turnover by K. Love (bad pass; steal by C. Parsons)
2:20.0,M. Ellis makes 2-pt shot at rim (assist by R. Rondo),2,57-42,,
2:01.0,,,57-42,,D. Waiters misses 3-pt shot from 25 ft
2:00.0,Defensive rebound by Team,,57-42,,
1:42.0,C. Parsons misses 3-pt shot from 26 ft,,57-42,,
1:41.0,,,57-42,,Defensive rebound by K. Love
1:25.0,,,57-42,,Shooting foul by G. Smith (drawn by T. Thompson)
1:25.0,,,57-42,,T. Thompson misses free throw 1 of 2
1:25.0,,,57-42,,Offensive rebound by Team
1:25.0,T. Chandler enters the game for G. Smith,,57-42,,
1:25.0,,,57-42,,T. Thompson misses free throw 2 of 2
1:24.0,Defensive rebound by D. Nowitzki,,57-42,,
1:09.0,D. Nowitzki misses 2-pt shot from 17 ft,,57-42,,
1:08.0,,,57-42,,Defensive rebound by D. Waiters
0:55.0,,,57-45,3,S. Marion makes 3-pt shot from 23 ft (assist by K. Irving)
0:32.0,M. Ellis misses 3-pt shot from 25 ft,,57-45,,
0:31.0,,,57-45,,Defensive rebound by T. Thompson
0:14.0,,,57-47,2,S. Marion makes 2-pt shot at rim (assist by D. Waiters)
0:03.0,,,57-47,,Personal foul by D. Waiters (drawn by M. Ellis)
0:03.0,,,57-47,,M. Dellavedova enters the game for D. Waiters
0:03.0,Dallas full timeout,,57-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,T. Chandler makes 2-pt shot at rim (assist by R. Rondo),2,59-47,,
11:22.0,,,59-47,,K. Irving misses 3-pt shot from 23 ft
11:21.0,Defensive rebound by T. Chandler,,59-47,,
11:06.0,Turnover by C. Parsons (bad pass; steal by T. Thompson),,59-47,,
10:58.0,,,59-49,2,T. Thompson makes 2-pt shot at rim (assist by K. Love)
10:32.0,C. Parsons makes 3-pt shot from 23 ft (assist by R. Rondo),3,62-49,,
10:18.0,,,62-51,2,K. Love makes 2-pt shot from 23 ft (assist by M. Dellavedova)
10:18.0,,,62-51,,Shooting foul by M. Ellis (drawn by K. Love)
10:18.0,,,62-52,1,K. Love makes free throw 1 of 1
10:02.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by R. Rondo),2,64-52,,
9:39.0,,,64-52,,M. Dellavedova misses 3-pt shot from 25 ft
9:38.0,Defensive rebound by T. Chandler,,64-52,,
9:32.0,,,64-52,,Violation by K. Irving (kicked ball)
9:25.0,M. Ellis misses 2-pt shot at rim,,64-52,,
9:24.0,,,64-52,,Defensive rebound by M. Dellavedova
9:14.0,,,64-52,,K. Love misses 3-pt shot from 25 ft
9:13.0,Defensive rebound by R. Rondo,,64-52,,
8:59.0,M. Ellis makes 2-pt shot at rim (assist by D. Nowitzki),2,66-52,,
8:39.0,Personal foul by M. Ellis (drawn by M. Dellavedova),,66-52,,
8:29.0,,,66-55,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by M. Miller)
8:09.0,M. Ellis misses 3-pt shot from 23 ft,,66-55,,
8:08.0,,,66-55,,Defensive rebound by T. Thompson
7:59.0,Personal foul by R. Rondo (drawn by M. Dellavedova),,66-55,,
7:59.0,,,66-55,,J. Harris enters the game for M. Miller
7:53.0,,,66-55,,K. Love misses 2-pt shot from 10 ft
7:52.0,Defensive rebound by T. Chandler,,66-55,,
7:35.0,T. Chandler makes 2-pt shot at rim (assist by R. Rondo),2,68-55,,
7:05.0,,,68-57,2,M. Dellavedova makes 2-pt shot from 8 ft (assist by T. Thompson)
6:53.0,R. Rondo makes 2-pt shot from 1 ft,2,70-57,,
6:42.0,,,70-57,,Shooting foul by C. Parsons (drawn by T. Thompson)
6:42.0,,,70-58,1,T. Thompson makes free throw 1 of 2
6:42.0,R. Jefferson enters the game for D. Nowitzki,,70-58,,
6:42.0,,,70-58,,S. Marion enters the game for K. Irving
6:42.0,,,70-59,1,T. Thompson makes free throw 2 of 2
6:30.0,C. Parsons makes 2-pt shot from 18 ft (assist by T. Chandler),2,72-59,,
6:15.0,,,72-59,,Turnover by S. Marion (bad pass; steal by M. Ellis)
6:09.0,M. Ellis makes 2-pt shot at rim (assist by C. Parsons),2,74-59,,
6:07.0,,,74-59,,Cleveland full timeout
5:49.0,,,74-59,,S. Marion misses 2-pt shot from 3 ft
5:48.0,,,74-59,,Offensive rebound by K. Love
5:45.0,,,74-59,,J. Harris misses 2-pt shot from 2 ft (block by M. Ellis)
5:45.0,,,74-59,,Offensive rebound by Team
5:44.0,Personal foul by R. Jefferson (drawn by K. Love),,74-59,,
5:44.0,,,74-60,1,K. Love makes free throw 1 of 2
5:44.0,,,74-61,1,K. Love makes free throw 2 of 2
5:32.0,T. Chandler makes 2-pt shot at rim (assist by C. Parsons),2,76-61,,
5:20.0,,,76-61,,Offensive foul by M. Dellavedova
5:20.0,,,76-61,,Turnover by M. Dellavedova (offensive foul)
5:08.0,,,76-61,,Personal foul by T. Thompson (drawn by R. Jefferson)
4:54.0,R. Jefferson makes 3-pt shot from 23 ft (assist by R. Rondo),3,79-61,,
4:45.0,,,79-63,2,K. Love makes 2-pt shot from 1 ft (assist by M. Dellavedova)
4:45.0,,,79-63,,Shooting foul by T. Chandler (drawn by K. Love)
4:45.0,,,79-63,,J. Jones enters the game for T. Thompson
4:45.0,,,79-63,,K. Love misses free throw 1 of 1
4:44.0,Defensive rebound by C. Parsons,,79-63,,
4:22.0,M. Ellis makes 3-pt shot from 26 ft (assist by R. Jefferson),3,82-63,,
3:59.0,,,82-63,,J. Harris misses 3-pt shot from 24 ft
3:58.0,Defensive rebound by R. Rondo,,82-63,,
3:44.0,C. Parsons misses 3-pt shot from 26 ft,,82-63,,
3:42.0,,,82-63,,Defensive rebound by S. Marion
3:30.0,,,82-66,3,J. Jones makes 3-pt shot from 23 ft (assist by M. Dellavedova)
3:29.0,Dallas full timeout,,82-66,,
3:29.0,,,82-66,,T. Thompson enters the game for K. Love
3:29.0,D. Harris enters the game for C. Parsons,,82-66,,
3:29.0,D. Nowitzki enters the game for T. Chandler,,82-66,,
3:29.0,A. Aminu enters the game for R. Rondo,,82-66,,
3:15.0,Turnover by M. Ellis (lost ball; steal by T. Thompson),,82-66,,
2:58.0,,,82-66,,S. Marion misses 2-pt shot from 6 ft (block by D. Harris)
2:58.0,,,82-66,,Offensive rebound by Team
2:50.0,,,82-66,,J. Harris misses 3-pt shot from 25 ft
2:50.0,,,82-66,,Offensive rebound by Team
2:50.0,,,82-66,,Turnover by Team (shot clock)
2:38.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Harris),3,85-66,,
2:18.0,,,85-66,,J. Jones misses 3-pt shot from 24 ft
2:17.0,Defensive rebound by A. Aminu,,85-66,,
2:05.0,D. Nowitzki misses 2-pt shot from 12 ft (block by J. Jones),,85-66,,
2:03.0,,,85-66,,Defensive rebound by T. Thompson
1:56.0,,,85-66,,Shooting foul by A. Aminu (drawn by J. Jones)
1:56.0,,,85-67,1,J. Jones makes free throw 1 of 3
1:56.0,,,85-68,1,J. Jones makes free throw 2 of 3
1:56.0,J. Barea enters the game for M. Ellis,,85-68,,
1:56.0,,,85-68,,D. Waiters enters the game for J. Harris
1:56.0,,,85-68,,A. Price enters the game for M. Dellavedova
1:56.0,,,85-69,1,J. Jones makes free throw 3 of 3
1:43.0,D. Nowitzki misses 3-pt shot from 26 ft,,85-69,,
1:42.0,,,85-69,,Defensive rebound by A. Price
1:26.0,,,85-69,,A. Price misses 2-pt shot from 18 ft
1:26.0,,,85-69,,Offensive rebound by Team
1:26.0,Loose ball foul by A. Aminu (drawn by T. Thompson),,85-69,,
1:26.0,,,85-69,,T. Thompson misses free throw 1 of 2
1:26.0,,,85-69,,Offensive rebound by Team
1:26.0,,,85-69,,T. Thompson misses free throw 2 of 2
1:25.0,Defensive rebound by D. Nowitzki,,85-69,,
1:06.0,J. Barea makes 2-pt shot from 18 ft,2,87-69,,
0:56.0,,,87-69,,D. Waiters misses 2-pt shot from 1 ft
0:56.0,,,87-69,,Offensive rebound by Team
0:54.0,,,87-69,,Turnover by D. Waiters (traveling)
0:35.0,D. Harris misses 2-pt shot from 2 ft,,87-69,,
0:33.0,Offensive rebound by A. Aminu,,87-69,,
0:33.0,Shooting foul by S. Marion (drawn by A. Aminu),,87-69,,
0:33.0,A. Aminu makes 2-pt shot at rim,2,89-69,,
0:33.0,A. Aminu misses free throw 1 of 1,,89-69,,
0:33.0,,,89-69,,Defensive rebound by S. Marion
0:17.0,,,89-71,2,S. Marion makes 2-pt shot at rim (assist by D. Waiters)
0:00.0,D. Harris misses 2-pt shot from 14 ft,,89-71,,
0:00.0,Offensive rebound by Team,,89-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,89-73,2,D. Waiters makes 2-pt shot at rim
11:20.0,D. Harris misses 3-pt shot from 26 ft,,89-73,,
11:19.0,,,89-73,,Defensive rebound by T. Thompson
11:10.0,,,89-75,2,D. Waiters makes 2-pt shot from 17 ft (assist by A. Price)
10:50.0,R. Jefferson makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,92-75,,
10:29.0,,,92-75,,D. Waiters misses 2-pt shot from 20 ft
10:29.0,Defensive rebound by Team,,92-75,,
10:29.0,,,92-75,,Loose ball foul by T. Thompson (drawn by D. Nowitzki)
10:12.0,R. Jefferson misses 2-pt shot from 5 ft (block by K. Love),,92-75,,
10:10.0,,,92-75,,Defensive rebound by J. Jones
10:05.0,,,92-75,,K. Love misses 2-pt shot at rim (block by R. Jefferson)
10:04.0,,,92-75,,Offensive rebound by K. Love
10:04.0,,,92-75,,Shooting foul by J. Barea (drawn by K. Love)
10:04.0,,,92-76,1,K. Love makes free throw 1 of 2
10:04.0,,,92-77,1,K. Love makes free throw 2 of 2
9:52.0,D. Nowitzki misses 2-pt shot from 11 ft,,92-77,,
9:51.0,,,92-77,,Defensive rebound by A. Price
9:44.0,,,92-79,2,D. Waiters makes 2-pt shot at rim (assist by A. Price)
9:26.0,J. Barea makes 2-pt shot from 7 ft,2,94-79,,
9:15.0,Personal foul by A. Aminu (drawn by K. Love),,94-79,,
9:15.0,T. Chandler enters the game for D. Nowitzki,,94-79,,
9:06.0,,,94-79,,D. Waiters misses 2-pt shot from 18 ft
9:05.0,Defensive rebound by A. Aminu,,94-79,,
8:54.0,Turnover by J. Barea (bad pass; steal by A. Price),,94-79,,
8:45.0,,,94-79,,J. Jones misses 3-pt shot from 23 ft
8:44.0,,,94-79,,Offensive rebound by T. Thompson
8:40.0,,,94-82,3,K. Love makes 3-pt shot from 25 ft (assist by A. Price)
8:39.0,Dallas full timeout,,94-82,,
8:15.0,R. Jefferson makes 3-pt shot from 25 ft (assist by D. Harris),3,97-82,,
7:53.0,,,97-82,,K. Love misses 3-pt shot from 24 ft
7:52.0,Defensive rebound by Team,,97-82,,
7:52.0,,,97-82,,Loose ball foul by T. Thompson (drawn by T. Chandler)
7:32.0,D. Harris makes 2-pt shot from 9 ft (assist by T. Chandler),2,99-82,,
7:22.0,Violation by R. Jefferson (kicked ball),,99-82,,
7:20.0,,,99-82,,Turnover by J. Jones (bad pass; steal by A. Aminu)
6:57.0,A. Aminu misses 2-pt shot from 8 ft,,99-82,,
6:56.0,,,99-82,,Defensive rebound by T. Thompson
6:54.0,,,99-82,,Turnover by T. Thompson (bad pass; steal by D. Harris)
6:41.0,Offensive charge foul by A. Aminu,,99-82,,
6:41.0,Turnover by A. Aminu (offensive foul),,99-82,,
6:41.0,,,99-82,,M. Dellavedova enters the game for J. Jones
6:15.0,,,99-82,,K. Love misses 2-pt shot from 12 ft
6:14.0,Defensive rebound by R. Jefferson,,99-82,,
6:09.0,D. Harris misses 3-pt shot from 25 ft,,99-82,,
6:07.0,,,99-82,,Defensive rebound by T. Thompson
5:58.0,Personal foul by D. Harris (drawn by T. Thompson),,99-82,,
5:58.0,Official timeout,,99-82,,
5:58.0,R. Rondo enters the game for D. Harris,,99-82,,
5:58.0,,,99-82,,A. Kirk enters the game for K. Love
5:52.0,,,99-84,2,D. Waiters makes 2-pt shot at rim (assist by M. Dellavedova)
5:27.0,R. Jefferson misses 2-pt shot from 11 ft,,99-84,,
5:25.0,,,99-84,,Defensive rebound by T. Thompson
5:05.0,,,99-84,,M. Dellavedova misses 2-pt shot from 10 ft
5:04.0,Defensive rebound by J. Barea,,99-84,,
4:55.0,Offensive foul by T. Chandler,,99-84,,
4:55.0,Turnover by T. Chandler (offensive foul),,99-84,,
4:55.0,,,99-84,,J. Harris enters the game for D. Waiters
4:55.0,,,99-84,,Cleveland full timeout
4:37.0,,,99-84,,A. Price misses 3-pt shot from 25 ft
4:36.0,Defensive rebound by R. Jefferson,,99-84,,
4:22.0,A. Aminu misses 2-pt shot from 3 ft (block by T. Thompson),,99-84,,
4:20.0,,,99-84,,Defensive rebound by M. Dellavedova
4:15.0,Personal foul by R. Rondo (drawn by T. Thompson),,99-84,,
4:15.0,,,99-84,,L. Amundson enters the game for T. Thompson
4:12.0,,,99-84,,Offensive foul by M. Dellavedova
4:12.0,,,99-84,,Turnover by M. Dellavedova (offensive foul)
3:59.0,Turnover by J. Barea (bad pass),,99-84,,
3:37.0,,,99-86,2,A. Price makes 2-pt shot from 8 ft
3:22.0,J. Barea makes 3-pt shot from 24 ft,3,102-86,,
3:04.0,,,102-86,,L. Amundson misses 2-pt shot from 4 ft
3:03.0,Defensive rebound by T. Chandler,,102-86,,
2:45.0,T. Chandler makes 2-pt shot at rim (assist by R. Rondo),2,104-86,,
2:33.0,,,104-86,,M. Dellavedova misses 2-pt shot from 7 ft
2:33.0,Defensive rebound by J. Barea,,104-86,,
2:33.0,Dallas full timeout,,104-86,,
2:33.0,,,104-86,,Cleveland full timeout
2:33.0,R. Felton enters the game for T. Chandler,,104-86,,
2:33.0,D. Powell enters the game for R. Rondo,,104-86,,
2:33.0,C. Villanueva enters the game for R. Jefferson,,104-86,,
2:30.0,,,104-86,,J. Jones enters the game for M. Dellavedova
2:15.0,J. Barea misses 3-pt shot from 24 ft,,104-86,,
2:14.0,,,104-86,,Defensive rebound by J. Jones
1:57.0,,,104-86,,A. Price misses 2-pt shot from 19 ft
1:56.0,Defensive rebound by C. Villanueva,,104-86,,
1:49.0,R. Felton misses 2-pt shot from 23 ft,,104-86,,
1:49.0,,,104-86,,Defensive rebound by Team
1:36.0,,,104-86,,A. Kirk misses 2-pt shot from 21 ft
1:35.0,Defensive rebound by D. Powell,,104-86,,
1:23.0,Turnover by C. Villanueva (bad pass; steal by J. Harris),,104-86,,
1:10.0,,,104-88,2,A. Price makes 2-pt shot from 8 ft
0:55.0,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea),2,106-88,,
0:43.0,,,106-90,2,A. Price makes 2-pt shot from 14 ft
0:34.0,C. Villanueva makes 3-pt shot from 24 ft (assist by R. Felton),3,109-90,,
0:16.0,,,109-90,,Turnover by L. Amundson (lost ball; steal by R. Felton)
0:00.0,End of 4th quarter,,,,End of 4th quarter
