time,San Antonio,pts.away,score,pts.home,Atlanta
9:57.0,Offensive rebound by T. Duncan,,64-43,,
9:49.0,T. Splitter makes 2-pt shot from 2 ft (assist by K. Leonard),2,66-43,,
9:29.0,,,66-43,,J. Teague misses 2-pt shot from 5 ft
9:28.0,Defensive rebound by D. Green,,66-43,,
9:20.0,T. Duncan makes 2-pt shot from 1 ft (assist by T. Splitter),2,68-43,,
9:19.0,,,68-43,,Atlanta full timeout
9:07.0,,,68-43,,A. Horford misses 2-pt shot from 1 ft
9:07.0,Defensive rebound by T. Duncan,,68-43,,
9:07.0,,,68-43,,Technical foul by Team
9:07.0,D. Green makes technical free throw,1,69-43,,
8:53.0,K. Leonard misses 2-pt shot from 3 ft,,69-43,,
8:52.0,,,69-43,,Defensive rebound by A. Horford
8:41.0,,,69-46,3,P. Millsap makes 3-pt shot from 24 ft (assist by A. Horford)
8:19.0,T. Splitter makes 2-pt shot from 1 ft (assist by T. Duncan),2,71-46,,
8:07.0,,,71-49,3,P. Millsap makes 3-pt shot from 24 ft (assist by J. Teague)
7:54.0,,,71-49,,Personal foul by P. Millsap (drawn by T. Parker)
7:44.0,Turnover by T. Splitter (bad pass; steal by P. Millsap),,71-49,,
7:32.0,,,71-51,2,P. Millsap makes 2-pt shot from 2 ft (assist by A. Horford)
7:29.0,San Antonio full timeout,,71-51,,
7:10.0,K. Leonard misses 3-pt shot from 23 ft,,71-51,,
7:09.0,Offensive rebound by T. Splitter,,71-51,,
7:08.0,T. Splitter misses 2-pt shot from 1 ft,,71-51,,
7:06.0,,,71-51,,Defensive rebound by P. Millsap
7:05.0,Personal block foul by D. Green (drawn by J. Teague),,71-51,,
6:55.0,,,71-51,,P. Millsap misses 2-pt shot at rim (block by T. Duncan)
6:53.0,Defensive rebound by K. Leonard,,71-51,,
6:50.0,T. Splitter makes 2-pt shot from 1 ft (assist by K. Leonard),2,73-51,,
6:37.0,,,73-54,3,P. Millsap makes 3-pt shot from 22 ft (assist by A. Horford)
6:11.0,D. Green misses 2-pt shot from 20 ft,,73-54,,
6:09.0,,,73-54,,Defensive rebound by D. Carroll
5:56.0,,,73-54,,A. Horford misses 2-pt shot from 19 ft
5:55.0,Defensive rebound by T. Duncan,,73-54,,
5:47.0,,,73-54,,Personal foul by A. Horford (drawn by T. Splitter)
5:47.0,,,73-54,,P. Antic enters the game for A. Horford
5:47.0,,,73-54,,K. Bazemore enters the game for K. Korver
5:47.0,B. Diaw enters the game for T. Splitter,,73-54,,
5:42.0,T. Parker makes 2-pt shot from 6 ft (assist by K. Leonard),2,75-54,,
5:25.0,,,75-56,2,J. Teague makes 2-pt shot from 7 ft (assist by D. Carroll)
5:08.0,T. Parker misses 2-pt shot from 19 ft,,75-56,,
5:07.0,,,75-56,,Defensive rebound by P. Millsap
4:59.0,,,75-56,,P. Antic misses 3-pt shot from 23 ft
4:58.0,Defensive rebound by K. Leonard,,75-56,,
4:54.0,Turnover by K. Leonard (lost ball; steal by D. Carroll),,75-56,,
4:49.0,,,75-58,2,J. Teague makes 2-pt shot from 1 ft
4:26.0,K. Leonard misses 2-pt shot from 6 ft,,75-58,,
4:24.0,,,75-58,,Defensive rebound by P. Antic
4:14.0,,,75-58,,D. Carroll misses 3-pt shot from 24 ft
4:13.0,Defensive rebound by D. Green,,75-58,,
4:10.0,Turnover by D. Green (bad pass; steal by D. Carroll),,75-58,,
4:07.0,,,75-58,,D. Schroder enters the game for J. Teague
4:07.0,P. Mills enters the game for T. Parker,,75-58,,
4:07.0,M. Belinelli enters the game for D. Green,,75-58,,
4:05.0,,,75-58,,D. Carroll misses 2-pt shot from 3 ft (block by T. Duncan)
4:03.0,,,75-58,,Offensive rebound by P. Millsap
3:52.0,,,75-58,,Turnover by D. Schroder (bad pass)
3:35.0,Offensive foul by T. Duncan,,75-58,,
3:35.0,Turnover by T. Duncan (offensive foul),,75-58,,
3:26.0,Personal foul by T. Duncan (drawn by P. Antic),,75-58,,
3:15.0,,,75-58,,P. Millsap misses 2-pt shot from 13 ft
3:12.0,Defensive rebound by T. Duncan,,75-58,,
3:03.0,T. Duncan makes 2-pt shot from 17 ft (assist by M. Belinelli),2,77-58,,
2:47.0,,,77-60,2,D. Schroder makes 2-pt shot from 1 ft
2:31.0,T. Duncan misses 2-pt shot from 14 ft,,77-60,,
2:30.0,,,77-60,,Defensive rebound by P. Millsap
2:15.0,,,77-60,,K. Korver enters the game for D. Carroll
2:15.0,,,77-60,,A. Horford enters the game for P. Millsap
2:15.0,T. Splitter enters the game for T. Duncan,,77-60,,
2:08.0,,,77-60,,Shooting foul by B. Diaw (drawn by P. Antic)
2:08.0,,,77-62,2,P. Antic makes 2-pt shot from 1 ft (assist by K. Korver)
2:08.0,,,77-63,1,P. Antic makes free throw 1 of 1
1:56.0,,,77-63,,Personal foul by A. Horford (drawn by K. Leonard)
1:49.0,Shooting foul by K. Bazemore (drawn by K. Leonard),,77-63,,
1:49.0,,,77-63,,Violation by K. Bazemore (lane)
1:49.0,K. Leonard makes free throw 1 of 2,1,78-63,,
1:49.0,K. Leonard makes free throw 2 of 2,1,79-63,,
1:34.0,,,79-63,,K. Korver misses 2-pt shot from 20 ft
1:33.0,Defensive rebound by M. Belinelli,,79-63,,
1:16.0,B. Diaw makes 2-pt shot from 2 ft (assist by T. Splitter),2,81-63,,
1:04.0,,,81-63,,A. Horford misses 2-pt shot from 2 ft
1:03.0,Defensive rebound by K. Leonard,,81-63,,
0:52.0,M. Belinelli misses 3-pt shot from 25 ft,,81-63,,
0:50.0,Offensive rebound by T. Splitter,,81-63,,
0:49.0,T. Splitter misses 2-pt shot at rim,,81-63,,
0:48.0,,,81-63,,Defensive rebound by K. Korver
0:43.0,Personal foul by P. Mills (drawn by D. Schroder),,81-63,,
0:29.0,,,81-65,2,P. Antic makes 2-pt shot from 1 ft (assist by D. Schroder)
0:03.0,M. Belinelli misses 2-pt shot from 21 ft (block by K. Korver),,81-65,,
0:02.0,Offensive rebound by K. Leonard,,81-65,,
0:02.0,K. Leonard makes 2-pt shot at rim,2,83-65,,
0:00.0,,,83-65,,D. Schroder misses 3-pt shot from 24 ft
0:00.0,,,83-65,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,B. Diaw misses 3-pt shot from 24 ft,,83-65,,
11:37.0,,,83-65,,Defensive rebound by K. Korver
11:26.0,,,83-65,,D. Schroder misses 2-pt shot from 18 ft
11:25.0,,,83-65,,Offensive rebound by D. Schroder
11:13.0,,,83-65,,K. Bazemore misses 2-pt shot from 3 ft
11:12.0,Defensive rebound by B. Diaw,,83-65,,
11:03.0,T. Splitter misses 2-pt shot from 1 ft,,83-65,,
11:02.0,,,83-65,,Defensive rebound by P. Antic
10:57.0,,,83-67,2,P. Antic makes 2-pt shot from 2 ft (assist by D. Schroder)
10:57.0,,,83-67,,Shooting foul by B. Diaw (drawn by P. Antic)
10:57.0,,,83-68,1,P. Antic makes free throw 1 of 1
10:43.0,D. Green makes 2-pt shot from 2 ft (assist by B. Diaw),2,85-68,,
10:29.0,,,85-68,,A. Horford misses 2-pt shot from 2 ft
10:28.0,Defensive rebound by D. Green,,85-68,,
10:26.0,Offensive foul by B. Diaw,,85-68,,
10:26.0,Turnover by B. Diaw (offensive foul),,85-68,,
10:26.0,C. Joseph enters the game for P. Mills,,85-68,,
10:16.0,,,85-70,2,D. Schroder makes 2-pt shot at rim
10:06.0,B. Diaw makes 2-pt shot at rim,2,87-70,,
9:53.0,,,87-72,2,A. Horford makes 2-pt shot from 16 ft
9:41.0,T. Splitter makes 2-pt shot from 1 ft,2,89-72,,
9:27.0,,,89-72,,D. Schroder misses 3-pt shot from 24 ft
9:25.0,Defensive rebound by M. Belinelli,,89-72,,
9:21.0,,,89-72,,Personal block foul by K. Korver (drawn by D. Green)
9:21.0,T. Duncan enters the game for T. Splitter,,89-72,,
9:21.0,,,89-72,,P. Millsap enters the game for P. Antic
9:21.0,,,89-72,,E. Brand enters the game for A. Horford
9:13.0,B. Diaw makes 2-pt shot from 3 ft (assist by D. Green),2,91-72,,
8:54.0,,,91-74,2,D. Schroder makes 2-pt shot from 3 ft
8:35.0,D. Green misses 2-pt shot from 20 ft,,91-74,,
8:33.0,,,91-74,,Defensive rebound by D. Schroder
8:25.0,,,91-76,2,D. Schroder makes 2-pt shot from 1 ft
8:24.0,San Antonio full timeout,,91-76,,
8:24.0,,,91-76,,J. Teague enters the game for K. Korver
8:24.0,,,91-76,,D. Carroll enters the game for K. Bazemore
8:24.0,T. Parker enters the game for C. Joseph,,91-76,,
8:08.0,D. Green makes 3-pt shot from 23 ft (assist by M. Belinelli),3,94-76,,
7:47.0,,,94-76,,P. Millsap misses 2-pt shot from 1 ft
7:46.0,Defensive rebound by T. Duncan,,94-76,,
7:40.0,B. Diaw makes 2-pt shot from 2 ft,2,96-76,,
7:14.0,,,96-76,,P. Millsap misses 2-pt shot from 1 ft
7:13.0,,,96-76,,Offensive rebound by P. Millsap
7:02.0,,,96-79,3,D. Carroll makes 3-pt shot from 23 ft (assist by D. Schroder)
6:46.0,B. Diaw makes 2-pt shot from 4 ft,2,98-79,,
6:22.0,,,98-82,3,D. Carroll makes 3-pt shot from 25 ft (assist by J. Teague)
6:01.0,B. Diaw makes 2-pt shot from 1 ft,2,100-82,,
5:49.0,,,100-85,3,D. Schroder makes 3-pt shot from 24 ft
5:29.0,D. Green misses 2-pt shot from 16 ft,,100-85,,
5:27.0,Offensive rebound by M. Belinelli,,100-85,,
5:11.0,B. Diaw makes 3-pt shot from 25 ft (assist by T. Parker),3,103-85,,
4:53.0,,,103-85,,Turnover by J. Teague (bad pass)
4:53.0,Official timeout,,103-85,,
4:53.0,K. Leonard enters the game for M. Belinelli,,103-85,,
4:53.0,,,103-85,,A. Horford enters the game for D. Schroder
4:53.0,,,103-85,,K. Korver enters the game for E. Brand
4:33.0,Turnover by B. Diaw (bad pass; steal by J. Teague),,103-85,,
4:27.0,,,103-87,2,D. Carroll makes 2-pt shot at rim (assist by J. Teague)
4:14.0,Turnover by K. Leonard (bad pass; steal by J. Teague),,103-87,,
4:14.0,Personal foul by K. Leonard (drawn by J. Teague),,103-87,,
4:03.0,,,103-87,,A. Horford misses 2-pt shot from 18 ft
4:01.0,Defensive rebound by D. Green,,103-87,,
3:38.0,K. Leonard makes 3-pt shot from 24 ft (assist by B. Diaw),3,106-87,,
3:25.0,,,106-87,,D. Carroll misses 3-pt shot from 24 ft
3:24.0,Defensive rebound by T. Duncan,,106-87,,
3:20.0,B. Diaw makes 2-pt shot from 1 ft (assist by T. Duncan),2,108-87,,
3:20.0,,,108-87,,Atlanta full timeout
3:20.0,,,108-87,,M. Muscala enters the game for D. Carroll
3:20.0,,,108-87,,J. Jenkins enters the game for P. Millsap
3:20.0,,,108-87,,A. Daye enters the game for A. Horford
3:20.0,,,108-87,,S. Mack enters the game for K. Korver
3:20.0,,,108-87,,E. Brand enters the game for J. Teague
3:20.0,K. Anderson enters the game for K. Leonard,,108-87,,
3:20.0,M. Bonner enters the game for T. Duncan,,108-87,,
3:20.0,P. Mills enters the game for D. Green,,108-87,,
3:20.0,C. Joseph enters the game for T. Parker,,108-87,,
3:20.0,R. Williams enters the game for B. Diaw,,108-87,,
3:08.0,,,108-87,,Turnover by S. Mack (bad pass; steal by C. Joseph)
2:49.0,P. Mills misses 2-pt shot from 2 ft,,108-87,,
2:47.0,Offensive rebound by M. Bonner,,108-87,,
2:47.0,M. Bonner makes 2-pt shot from 1 ft,2,110-87,,
2:39.0,,,110-87,,Turnover by E. Brand (bad pass)
2:24.0,K. Anderson misses 2-pt shot from 18 ft,,110-87,,
2:22.0,,,110-87,,Defensive rebound by M. Muscala
2:13.0,,,110-87,,A. Daye misses 2-pt shot from 12 ft
2:13.0,Defensive rebound by Team,,110-87,,
2:02.0,R. Williams makes 2-pt shot from 1 ft,2,112-87,,
1:52.0,,,112-90,3,J. Jenkins makes 3-pt shot from 24 ft (assist by S. Mack)
1:52.0,,,112-90,,Shooting foul by C. Joseph (drawn by J. Jenkins)
1:52.0,,,112-91,1,J. Jenkins makes free throw 1 of 1
1:33.0,R. Williams misses 3-pt shot from 23 ft,,112-91,,
1:32.0,,,112-91,,Defensive rebound by M. Muscala
1:14.0,,,112-91,,A. Daye misses 3-pt shot from 23 ft
1:13.0,,,112-91,,Offensive rebound by M. Muscala
1:13.0,,,112-93,2,M. Muscala makes 2-pt shot at rim
0:58.0,P. Mills misses 3-pt shot from 24 ft,,112-93,,
0:56.0,,,112-93,,Defensive rebound by A. Daye
0:35.0,,,112-93,,E. Brand misses 2-pt shot from 15 ft
0:33.0,Defensive rebound by K. Anderson,,112-93,,
0:16.0,K. Anderson makes 2-pt shot from 17 ft,2,114-93,,
0:09.0,,,114-95,2,M. Muscala makes 2-pt shot at rim (assist by J. Jenkins)
0:00.0,End of 4th quarter,,,,End of 4th quarter
