time,Oklahoma City,pts.away,score,pts.home,Miami
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,24-27,,C. Bosh misses 2-pt shot from 5 ft (block by K. Durant)
11:40.0,Defensive rebound by A. Morrow,,24-27,,
11:33.0,R. Jackson misses 2-pt shot from 1 ft (block by C. Andersen),,24-27,,
11:32.0,,,24-27,,Defensive rebound by N. Cole
11:24.0,,,24-27,,N. Cole misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by R. Jackson,,24-27,,
11:04.0,K. Durant makes 2-pt shot at rim,2,26-27,,
10:45.0,,,26-30,3,C. Andersen makes 3-pt shot from 23 ft (assist by S. Napier)
10:18.0,D. Waiters misses 3-pt shot from 23 ft,,26-30,,
10:17.0,,,26-30,,Defensive rebound by S. Napier
10:13.0,Personal foul by R. Jackson (drawn by S. Napier),,26-30,,
9:58.0,,,26-30,,S. Napier misses 3-pt shot from 24 ft
9:57.0,Defensive rebound by K. Perkins,,26-30,,
9:38.0,,,26-30,,Personal foul by N. Cole (drawn by K. Durant)
9:33.0,R. Jackson makes 2-pt shot from 15 ft,2,28-30,,
9:22.0,,,28-30,,Turnover by C. Bosh (lost ball; steal by K. Durant)
9:17.0,A. Morrow misses 3-pt shot from 25 ft,,28-30,,
9:09.0,,,28-30,,Defensive rebound by C. Andersen
9:00.0,,,28-33,3,C. Bosh makes 3-pt shot from 24 ft (assist by S. Napier)
8:43.0,R. Jackson makes 2-pt shot from 6 ft,2,30-33,,
8:27.0,,,30-35,2,D. Granger makes 2-pt shot from 20 ft (assist by S. Napier)
8:17.0,A. Morrow makes 2-pt shot from 1 ft,2,32-35,,
8:16.0,,,32-35,,Miami full timeout
8:16.0,R. Westbrook enters the game for D. Waiters,,32-35,,
8:16.0,,,32-35,,D. Wade enters the game for C. Bosh
8:16.0,,,32-35,,L. Deng enters the game for N. Cole
7:56.0,,,32-35,,L. Deng misses 3-pt shot from 22 ft
7:55.0,Defensive rebound by R. Westbrook,,32-35,,
7:49.0,A. Morrow misses 2-pt shot from 8 ft,,32-35,,
7:48.0,Offensive rebound by A. Morrow,,32-35,,
7:46.0,A. Morrow makes 2-pt shot from 10 ft,2,34-35,,
7:21.0,,,34-37,2,D. Wade makes 2-pt shot from 10 ft
7:03.0,K. Durant misses 3-pt shot from 24 ft,,34-37,,
7:02.0,,,34-37,,Defensive rebound by C. Andersen
6:55.0,,,34-37,,D. Wade misses 2-pt shot from 1 ft
6:54.0,Defensive rebound by Team,,34-37,,
6:54.0,,,34-37,,Loose ball foul by C. Andersen (drawn by K. Durant)
6:37.0,K. Perkins misses 2-pt shot from 2 ft,,34-37,,
6:36.0,,,34-37,,Defensive rebound by S. Napier
6:26.0,,,34-40,3,D. Granger makes 3-pt shot from 24 ft (assist by S. Napier)
6:19.0,Oklahoma City full timeout,,34-40,,
6:19.0,S. Ibaka enters the game for A. Morrow,,34-40,,
6:19.0,,,34-40,,H. Whiteside enters the game for S. Napier
6:19.0,,,34-40,,M. Chalmers enters the game for C. Andersen
6:13.0,K. Durant makes 2-pt shot from 13 ft,2,36-40,,
5:45.0,,,36-40,,D. Wade misses 2-pt shot from 18 ft
5:44.0,,,36-40,,Offensive rebound by Team
5:44.0,,,36-40,,Turnover by Team (shot clock)
5:27.0,K. Durant misses 2-pt shot from 1 ft,,36-40,,
5:26.0,Offensive rebound by K. Durant,,36-40,,
5:25.0,K. Durant makes 2-pt shot at rim,2,38-40,,
5:17.0,,,38-40,,Turnover by M. Chalmers (traveling)
5:06.0,K. Durant misses 2-pt shot from 11 ft,,38-40,,
5:05.0,Offensive rebound by R. Westbrook,,38-40,,
5:04.0,R. Westbrook misses 2-pt shot from 5 ft,,38-40,,
5:03.0,Offensive rebound by Team,,38-40,,
4:53.0,R. Westbrook makes 2-pt shot from 1 ft,2,40-40,,
4:53.0,Shooting foul by D. Wade (drawn by R. Westbrook),,40-40,,
4:53.0,R. Westbrook makes free throw 1 of 1,1,41-40,,
4:36.0,,,41-40,,D. Wade misses 3-pt shot from 23 ft
4:35.0,Defensive rebound by K. Durant,,41-40,,
4:27.0,K. Perkins misses 2-pt shot from 9 ft (block by H. Whiteside),,41-40,,
4:26.0,Offensive rebound by S. Ibaka,,41-40,,
4:20.0,S. Ibaka makes 3-pt shot from 23 ft (assist by K. Durant),3,44-40,,
4:17.0,,,44-40,,Miami full timeout
4:17.0,,,44-40,,Violation by Team (delay of game)
4:17.0,,,44-40,,C. Andersen enters the game for H. Whiteside
4:17.0,S. Adams enters the game for K. Perkins,,44-40,,
4:17.0,,,44-40,,C. Bosh enters the game for D. Granger
3:52.0,,,44-40,,C. Bosh misses 2-pt shot from 9 ft
3:51.0,Defensive rebound by S. Adams,,44-40,,
3:44.0,S. Ibaka makes 2-pt shot from 7 ft (assist by K. Durant),2,46-40,,
3:25.0,,,46-40,,L. Deng misses 3-pt shot from 25 ft
3:24.0,Defensive rebound by S. Ibaka,,46-40,,
3:20.0,Turnover by R. Westbrook (bad pass),,46-40,,
3:10.0,Personal foul by S. Ibaka (drawn by D. Wade),,46-40,,
2:59.0,,,46-40,,Shooting foul by S. Adams (drawn by L. Deng)
2:59.0,Official timeout,,46-40,,
2:59.0,D. Waiters enters the game for S. Adams,,46-40,,
2:59.0,K. Perkins enters the game for R. Jackson,,46-40,,
2:59.0,,,46-41,1,L. Deng makes free throw 1 of 2
2:59.0,,,46-42,1,L. Deng makes free throw 2 of 2
2:44.0,K. Durant misses 3-pt shot from 24 ft,,46-42,,
2:43.0,,,46-42,,Defensive rebound by C. Bosh
2:32.0,,,46-44,2,C. Bosh makes 2-pt shot from 1 ft
2:18.0,K. Durant makes 2-pt shot from 20 ft,2,48-44,,
2:06.0,Personal foul by K. Perkins (drawn by M. Chalmers),,48-44,,
2:06.0,N. Collison enters the game for K. Perkins,,48-44,,
1:59.0,Personal foul by N. Collison (drawn by D. Wade),,48-44,,
1:59.0,,,48-44,,D. Wade misses free throw 1 of 2
1:59.0,,,48-44,,Offensive rebound by Team
1:59.0,,,48-45,1,D. Wade makes free throw 2 of 2
1:49.0,Turnover by R. Westbrook (lost ball; steal by D. Wade),,48-45,,
1:43.0,,,48-47,2,D. Wade makes 2-pt shot at rim
1:30.0,R. Westbrook misses 2-pt shot from 1 ft,,48-47,,
1:29.0,Offensive rebound by N. Collison,,48-47,,
1:27.0,Shooting foul by C. Andersen (drawn by N. Collison),,48-47,,
1:27.0,N. Collison misses free throw 1 of 2,,48-47,,
1:27.0,Offensive rebound by Team,,48-47,,
1:27.0,,,48-47,,U. Haslem enters the game for C. Andersen
1:27.0,N. Collison makes free throw 2 of 2,1,49-47,,
1:10.0,,,49-47,,C. Bosh misses 2-pt shot from 15 ft
1:09.0,Defensive rebound by K. Durant,,49-47,,
1:03.0,R. Westbrook misses 2-pt shot from 18 ft,,49-47,,
1:02.0,,,49-47,,Defensive rebound by L. Deng
0:53.0,,,49-49,2,D. Wade makes 2-pt shot from 1 ft (assist by M. Chalmers)
0:47.0,Oklahoma City full timeout,,49-49,,
0:31.0,D. Waiters misses 2-pt shot from 20 ft,,49-49,,
0:30.0,,,49-49,,Defensive rebound by L. Deng
0:17.0,,,49-49,,Turnover by D. Wade (lost ball; steal by R. Westbrook)
0:10.0,Turnover by S. Ibaka (bad pass; steal by U. Haslem),,49-49,,
0:06.0,,,49-49,,Shooting foul by K. Durant (drawn by L. Deng)
0:06.0,,,49-50,1,L. Deng makes free throw 1 of 2
0:06.0,,,49-50,,N. Cole enters the game for D. Wade
0:06.0,,,49-50,,L. Deng misses free throw 2 of 2
0:06.0,Defensive rebound by K. Durant,,49-50,,
0:01.0,K. Durant misses 2-pt shot from 11 ft,,49-50,,
0:00.0,Offensive rebound by Team,,49-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,49-52,2,D. Wade makes 2-pt shot at rim
11:17.0,A. Roberson misses 3-pt shot from 22 ft,,49-52,,
11:16.0,Offensive rebound by R. Westbrook,,49-52,,
11:07.0,K. Durant misses 3-pt shot from 24 ft,,49-52,,
11:06.0,Offensive rebound by A. Roberson,,49-52,,
10:50.0,K. Durant makes 2-pt shot from 2 ft,2,51-52,,
10:30.0,,,51-55,3,M. Chalmers makes 3-pt shot from 24 ft (assist by C. Bosh)
10:13.0,S. Ibaka misses 2-pt shot from 5 ft,,51-55,,
10:12.0,,,51-55,,Defensive rebound by C. Bosh
9:58.0,,,51-57,2,D. Wade makes 2-pt shot from 19 ft (assist by M. Chalmers)
9:39.0,A. Roberson makes 3-pt shot from 23 ft (assist by R. Westbrook),3,54-57,,
9:12.0,,,54-57,,Turnover by Team (shot clock)
9:02.0,,,54-57,,Personal foul by L. Deng (drawn by K. Durant)
8:57.0,R. Westbrook makes 2-pt shot from 7 ft,2,56-57,,
8:43.0,,,56-57,,C. Bosh misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by K. Durant,,56-57,,
8:32.0,S. Ibaka misses 3-pt shot from 24 ft,,56-57,,
8:31.0,Offensive rebound by S. Adams,,56-57,,
8:23.0,R. Westbrook misses 2-pt shot from 11 ft,,56-57,,
8:22.0,Offensive rebound by Team,,56-57,,
8:16.0,S. Adams makes 2-pt shot at rim (assist by K. Durant),2,58-57,,
7:54.0,,,58-57,,M. Chalmers misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by R. Westbrook,,58-57,,
7:47.0,S. Adams makes 2-pt shot from 2 ft (assist by K. Durant),2,60-57,,
7:47.0,Shooting foul by M. Chalmers (drawn by S. Adams),,60-57,,
7:47.0,S. Adams misses free throw 1 of 1,,60-57,,
7:46.0,,,60-57,,Defensive rebound by C. Andersen
7:28.0,,,60-57,,C. Bosh misses 2-pt shot from 1 ft
7:27.0,Defensive rebound by R. Westbrook,,60-57,,
7:23.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,62-57,,
7:23.0,,,62-57,,Miami full timeout
7:16.0,Violation by R. Westbrook (kicked ball),,62-57,,
7:07.0,,,62-57,,D. Wade misses 2-pt shot from 1 ft
7:06.0,Defensive rebound by S. Adams,,62-57,,
7:01.0,K. Durant misses 3-pt shot from 25 ft,,62-57,,
7:00.0,,,62-57,,Defensive rebound by C. Bosh
6:44.0,,,62-59,2,C. Bosh makes 2-pt shot at rim (assist by D. Wade)
6:33.0,Offensive foul by S. Adams,,62-59,,
6:33.0,Turnover by S. Adams (offensive foul),,62-59,,
6:33.0,K. Perkins enters the game for S. Adams,,62-59,,
6:20.0,,,62-59,,Shooting foul by S. Ibaka (drawn by C. Bosh)
6:20.0,,,62-60,1,C. Bosh makes free throw 1 of 2
6:20.0,,,62-61,1,C. Bosh makes free throw 2 of 2
5:56.0,R. Westbrook misses 3-pt shot from 24 ft,,62-61,,
5:55.0,,,62-61,,Defensive rebound by C. Andersen
5:41.0,,,62-61,,Turnover by M. Chalmers (lost ball; steal by K. Durant)
5:36.0,R. Westbrook makes 2-pt shot at rim (assist by K. Durant),2,64-61,,
5:13.0,,,64-61,,D. Wade misses 2-pt shot from 19 ft
5:12.0,Defensive rebound by K. Durant,,64-61,,
5:06.0,K. Durant misses 3-pt shot from 24 ft,,64-61,,
5:05.0,,,64-61,,Defensive rebound by C. Andersen
4:57.0,Personal foul by R. Westbrook (drawn by M. Chalmers),,64-61,,
4:57.0,,,64-61,,U. Haslem enters the game for C. Andersen
4:49.0,,,64-61,,D. Wade misses 2-pt shot from 12 ft
4:48.0,Defensive rebound by A. Roberson,,64-61,,
4:44.0,Offensive foul by S. Ibaka,,64-61,,
4:44.0,Turnover by S. Ibaka (offensive foul),,64-61,,
4:44.0,,,64-61,,S. Napier enters the game for D. Wade
4:36.0,Personal foul by S. Ibaka (drawn by M. Chalmers),,64-61,,
4:36.0,D. Waiters enters the game for S. Ibaka,,64-61,,
4:36.0,N. Collison enters the game for A. Roberson,,64-61,,
4:19.0,,,64-61,,S. Napier misses 2-pt shot from 2 ft
4:18.0,Defensive rebound by K. Perkins,,64-61,,
4:03.0,K. Durant misses 3-pt shot from 26 ft,,64-61,,
4:02.0,,,64-61,,Defensive rebound by M. Chalmers
3:55.0,Personal foul by R. Westbrook (drawn by M. Chalmers),,64-61,,
3:39.0,,,64-64,3,L. Deng makes 3-pt shot from 24 ft (assist by U. Haslem)
3:22.0,K. Durant makes 2-pt shot at rim,2,66-64,,
3:03.0,,,66-64,,D. Granger enters the game for C. Bosh
3:03.0,A. Morrow enters the game for K. Durant,,66-64,,
3:00.0,,,66-64,,M. Chalmers misses 3-pt shot from 24 ft
2:59.0,Defensive rebound by A. Morrow,,66-64,,
2:46.0,K. Perkins misses 2-pt shot from 4 ft,,66-64,,
2:45.0,,,66-64,,Defensive rebound by U. Haslem
2:30.0,,,66-66,2,L. Deng makes 2-pt shot from 8 ft
2:30.0,,,66-66,,Technical foul by Team
2:30.0,Oklahoma City full timeout,,66-66,,
2:30.0,R. Westbrook makes technical free throw,1,67-66,,
2:16.0,D. Waiters makes 2-pt shot from 17 ft,2,69-66,,
2:07.0,Personal foul by D. Waiters (drawn by D. Granger),,69-66,,
2:07.0,,,69-67,1,D. Granger makes free throw 1 of 2
2:07.0,,,69-67,,C. Bosh enters the game for L. Deng
2:07.0,R. Jackson enters the game for R. Westbrook,,69-67,,
2:07.0,,,69-67,,D. Granger misses free throw 2 of 2
2:06.0,Defensive rebound by N. Collison,,69-67,,
1:44.0,R. Jackson makes 3-pt shot from 24 ft,3,72-67,,
1:18.0,,,72-67,,Turnover by S. Napier (bad pass)
1:03.0,D. Waiters misses 2-pt shot from 20 ft,,72-67,,
1:02.0,,,72-67,,Defensive rebound by U. Haslem
0:57.0,,,72-67,,Offensive charge foul by C. Bosh
0:57.0,,,72-67,,Turnover by C. Bosh (offensive foul)
0:49.0,Offensive foul by R. Jackson,,72-67,,
0:49.0,Turnover by R. Jackson (offensive foul),,72-67,,
0:32.0,,,72-67,,C. Bosh misses 2-pt shot from 20 ft
0:31.0,Defensive rebound by K. Perkins,,72-67,,
0:16.0,A. Morrow misses 3-pt shot from 24 ft,,72-67,,
0:15.0,Offensive rebound by N. Collison,,72-67,,
0:01.0,D. Waiters misses 2-pt shot from 19 ft,,72-67,,
0:00.0,,,72-67,,Defensive rebound by C. Bosh
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,A. Morrow makes 2-pt shot from 16 ft,2,74-67,,
11:12.0,,,74-67,,S. Williams misses 3-pt shot from 23 ft
11:11.0,Defensive rebound by N. Collison,,74-67,,
11:00.0,R. Jackson makes 2-pt shot from 17 ft,2,76-67,,
10:51.0,,,76-67,,D. Wade enters the game for S. Napier
10:44.0,,,76-70,3,S. Williams makes 3-pt shot from 24 ft (assist by N. Cole)
10:25.0,D. Waiters misses 2-pt shot from 10 ft,,76-70,,
10:24.0,,,76-70,,Defensive rebound by N. Cole
10:19.0,,,76-72,2,N. Cole makes 2-pt shot from 1 ft (assist by D. Wade)
10:16.0,Oklahoma City full timeout,,76-72,,
10:16.0,,,76-72,,C. Andersen enters the game for C. Bosh
10:16.0,K. Durant enters the game for N. Collison,,76-72,,
9:59.0,R. Jackson makes 2-pt shot from 17 ft,2,78-72,,
9:38.0,,,78-72,,Turnover by D. Wade (bad pass; steal by K. Durant)
9:33.0,K. Durant makes 2-pt shot at rim,2,80-72,,
9:30.0,Personal foul by R. Jackson (drawn by N. Cole),,80-72,,
9:15.0,,,80-72,,S. Williams misses 3-pt shot from 23 ft
9:14.0,Defensive rebound by R. Jackson,,80-72,,
9:08.0,A. Morrow misses 2-pt shot from 19 ft,,80-72,,
9:07.0,,,80-72,,Defensive rebound by D. Granger
8:55.0,,,80-72,,D. Granger misses 3-pt shot from 24 ft
8:54.0,Defensive rebound by K. Durant,,80-72,,
8:43.0,Turnover by R. Jackson (lost ball; steal by S. Williams),,80-72,,
8:37.0,,,80-74,2,D. Wade makes 2-pt shot from 1 ft (assist by N. Cole)
8:17.0,D. Waiters misses 3-pt shot from 24 ft,,80-74,,
8:16.0,,,80-74,,Defensive rebound by D. Granger
8:05.0,,,80-76,2,N. Cole makes 2-pt shot from 19 ft
8:05.0,Oklahoma City full timeout,,80-76,,
8:05.0,R. Westbrook enters the game for A. Morrow,,80-76,,
7:40.0,K. Durant misses 2-pt shot from 20 ft,,80-76,,
7:39.0,,,80-76,,Defensive rebound by D. Wade
7:29.0,,,80-78,2,C. Andersen makes 2-pt shot at rim (assist by N. Cole)
7:15.0,,,80-78,,Personal foul by D. Granger (drawn by K. Durant)
7:15.0,S. Ibaka enters the game for K. Perkins,,80-78,,
7:01.0,K. Durant misses 3-pt shot from 24 ft,,80-78,,
7:00.0,Offensive rebound by R. Westbrook,,80-78,,
6:52.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,82-78,,
6:32.0,,,82-78,,C. Andersen misses 2-pt shot from 1 ft
6:31.0,,,82-78,,Offensive rebound by S. Williams
6:17.0,,,82-80,2,C. Andersen makes 2-pt shot at rim (assist by D. Wade)
6:03.0,K. Durant misses 2-pt shot from 15 ft,,82-80,,
6:02.0,,,82-80,,Defensive rebound by S. Williams
5:51.0,,,82-80,,D. Wade misses 2-pt shot from 16 ft
5:50.0,Defensive rebound by S. Ibaka,,82-80,,
5:32.0,K. Durant misses 2-pt shot from 20 ft,,82-80,,
5:31.0,,,82-80,,Defensive rebound by N. Cole
5:12.0,,,82-80,,S. Williams misses 3-pt shot from 24 ft
5:11.0,Defensive rebound by R. Westbrook,,82-80,,
5:05.0,R. Westbrook makes 2-pt shot from 17 ft,2,84-80,,
5:05.0,,,84-80,,Miami full timeout
5:05.0,,,84-80,,C. Bosh enters the game for S. Williams
4:45.0,,,84-80,,N. Cole misses 2-pt shot from 17 ft
4:44.0,Defensive rebound by S. Ibaka,,84-80,,
4:26.0,R. Jackson misses 3-pt shot from 23 ft,,84-80,,
4:25.0,,,84-80,,Defensive rebound by N. Cole
4:06.0,,,84-80,,Turnover by C. Bosh (lost ball; steal by K. Durant)
3:52.0,D. Waiters misses 3-pt shot from 23 ft,,84-80,,
3:51.0,,,84-80,,Defensive rebound by D. Granger
3:38.0,,,84-82,2,D. Wade makes 2-pt shot from 20 ft
3:20.0,Turnover by S. Ibaka (3 sec),,84-82,,
3:20.0,,,84-82,,L. Deng enters the game for D. Granger
3:20.0,S. Adams enters the game for D. Waiters,,84-82,,
3:06.0,,,84-82,,D. Wade misses 2-pt shot from 16 ft
3:05.0,Defensive rebound by R. Westbrook,,84-82,,
3:04.0,,,84-82,,Personal foul by C. Andersen (drawn by K. Durant)
2:54.0,R. Jackson makes 3-pt shot from 24 ft (assist by R. Westbrook),3,87-82,,
2:31.0,,,87-82,,D. Wade misses 3-pt shot from 24 ft
2:30.0,Defensive rebound by Team,,87-82,,
2:30.0,,,87-82,,Miami full timeout
2:20.0,,,87-82,,Personal foul by N. Cole (drawn by R. Westbrook)
2:11.0,R. Westbrook makes 2-pt shot from 7 ft,2,89-82,,
1:57.0,,,89-82,,N. Cole misses 2-pt shot from 2 ft (block by S. Adams)
1:56.0,,,89-82,,Offensive rebound by C. Andersen
1:55.0,,,89-82,,C. Andersen misses 2-pt shot from 1 ft (block by S. Ibaka)
1:54.0,,,89-82,,Offensive rebound by Team
1:51.0,,,89-82,,Turnover by L. Deng (bad pass; steal by R. Westbrook)
1:49.0,R. Westbrook makes 2-pt shot from 1 ft,2,91-82,,
1:36.0,,,91-82,,Shooting foul by S. Ibaka (drawn by C. Bosh)
1:36.0,,,91-82,,C. Bosh misses free throw 1 of 2
1:36.0,,,91-82,,Offensive rebound by Team
1:36.0,,,91-83,1,C. Bosh makes free throw 2 of 2
1:19.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,93-83,,
1:19.0,,,93-83,,Miami full timeout
1:19.0,A. Roberson enters the game for K. Durant,,93-83,,
1:19.0,,,93-83,,D. Granger enters the game for L. Deng
1:14.0,,,93-86,3,D. Granger makes 3-pt shot from 25 ft (assist by D. Wade)
0:53.0,Turnover by R. Westbrook (step out of bounds),,93-86,,
0:40.0,,,93-86,,D. Granger misses 2-pt shot from 14 ft
0:39.0,Defensive rebound by A. Roberson,,93-86,,
0:37.0,,,93-86,,Personal foul by C. Bosh (drawn by R. Westbrook)
