time,Atlanta,pts.away,score,pts.home,Minnesota
7:51.0,,,11-6,2,T. Young makes 2-pt shot at rim (assist by N. Pekovic)
7:51.0,,,11-6,,Shooting foul by D. Carroll (drawn by T. Young)
7:51.0,,,11-7,1,T. Young makes free throw 1 of 1
7:42.0,Turnover by A. Horford (bad pass; steal by R. Rubio),,11-7,,
7:40.0,Loose ball foul by A. Horford (drawn by R. Rubio),,11-7,,
7:27.0,,,11-7,,A. Wiggins misses 2-pt shot from 1 ft
7:26.0,,,11-7,,Offensive rebound by N. Pekovic
7:26.0,,,11-7,,N. Pekovic misses 2-pt shot at rim
7:24.0,Defensive rebound by A. Horford,,11-7,,
7:10.0,P. Millsap makes 2-pt shot from 7 ft,2,13-7,,
6:55.0,,,13-7,,Shooting foul by A. Horford (drawn by A. Wiggins)
6:55.0,,,13-7,,A. Wiggins misses free throw 1 of 2
6:55.0,,,13-7,,Offensive rebound by Team
6:55.0,E. Brand enters the game for A. Horford,,13-7,,
6:55.0,,,13-8,1,A. Wiggins makes free throw 2 of 2
6:36.0,D. Carroll makes 3-pt shot from 22 ft (assist by P. Millsap),3,16-8,,
6:24.0,,,16-11,3,K. Martin makes 3-pt shot from 24 ft (assist by R. Rubio)
6:00.0,Turnover by J. Teague (discontinued dribble),,16-11,,
5:52.0,,,16-13,2,K. Martin makes 2-pt shot at rim (assist by R. Rubio)
5:38.0,D. Carroll makes 2-pt shot from 1 ft,2,18-13,,
5:23.0,,,18-13,,A. Wiggins misses 2-pt shot at rim
5:22.0,,,18-13,,Offensive rebound by A. Wiggins
5:22.0,,,18-15,2,A. Wiggins makes 2-pt shot at rim
5:12.0,P. Millsap makes 3-pt shot from 24 ft (assist by E. Brand),3,21-15,,
4:48.0,,,21-17,2,A. Wiggins makes 2-pt shot from 17 ft (assist by R. Rubio)
4:26.0,E. Brand misses 2-pt shot from 10 ft,,21-17,,
4:25.0,,,21-17,,Defensive rebound by R. Rubio
4:17.0,,,21-19,2,N. Pekovic makes 2-pt shot from 4 ft (assist by A. Wiggins)
4:15.0,Atlanta full timeout,,21-19,,
4:15.0,,,21-19,,M. Williams enters the game for R. Rubio
4:15.0,,,21-19,,S. Muhammad enters the game for K. Martin
4:15.0,K. Bazemore enters the game for K. Korver,,21-19,,
3:59.0,P. Millsap makes 2-pt shot from 11 ft,2,23-19,,
3:37.0,,,23-19,,T. Young misses 3-pt shot from 24 ft
3:35.0,,,23-19,,Offensive rebound by A. Wiggins
3:30.0,,,23-21,2,S. Muhammad makes 2-pt shot from 16 ft (assist by T. Young)
3:20.0,,,23-21,,Personal foul by M. Williams (drawn by J. Teague)
3:20.0,D. Schroder enters the game for J. Teague,,23-21,,
3:18.0,,,23-21,,Personal foul by T. Young (drawn by P. Millsap)
3:05.0,D. Schroder misses 3-pt shot from 26 ft,,23-21,,
3:01.0,Offensive rebound by P. Millsap,,23-21,,
3:01.0,P. Millsap makes 2-pt shot at rim,2,25-21,,
2:46.0,,,25-21,,S. Muhammad misses 2-pt shot from 8 ft
2:45.0,,,25-21,,Offensive rebound by N. Pekovic
2:44.0,,,25-21,,N. Pekovic misses 2-pt shot from 1 ft (block by E. Brand)
2:43.0,,,25-21,,Offensive rebound by S. Muhammad
2:42.0,,,25-23,2,S. Muhammad makes 2-pt shot at rim
2:42.0,,,25-23,,Shooting foul by P. Millsap (drawn by S. Muhammad)
2:42.0,,,25-23,,G. Dieng enters the game for N. Pekovic
2:42.0,M. Scott enters the game for E. Brand,,25-23,,
2:42.0,,,25-23,,S. Muhammad misses free throw 1 of 1
2:42.0,Defensive rebound by K. Bazemore,,25-23,,
2:24.0,D. Schroder makes 2-pt shot from 1 ft,2,27-23,,
2:09.0,,,27-23,,Shooting foul by K. Bazemore (drawn by A. Wiggins)
2:09.0,,,27-24,1,A. Wiggins makes free throw 1 of 2
2:09.0,,,27-25,1,A. Wiggins makes free throw 2 of 2
1:59.0,P. Millsap misses 2-pt shot from 7 ft (block by G. Dieng),,27-25,,
1:58.0,,,27-25,,Defensive rebound by T. Young
1:56.0,,,27-25,,Turnover by S. Muhammad (lost ball; steal by K. Bazemore)
1:40.0,D. Schroder misses 2-pt shot from 1 ft,,27-25,,
1:39.0,,,27-25,,Defensive rebound by T. Young
1:37.0,,,27-27,2,S. Muhammad makes 2-pt shot from 4 ft (assist by T. Young)
1:37.0,,,27-27,,Shooting foul by K. Bazemore (drawn by S. Muhammad)
1:37.0,,,27-28,1,S. Muhammad makes free throw 1 of 1
1:15.0,D. Schroder misses 2-pt shot at rim (block by G. Dieng),,27-28,,
1:13.0,,,27-28,,Defensive rebound by M. Williams
1:10.0,,,27-28,,Turnover by T. Young (lost ball; steal by D. Carroll)
1:04.0,M. Scott makes 2-pt shot at rim (assist by D. Schroder),2,29-28,,
0:42.0,,,29-28,,G. Dieng misses 2-pt shot at rim
0:41.0,Defensive rebound by P. Millsap,,29-28,,
0:32.0,P. Millsap misses 3-pt shot from 24 ft,,29-28,,
0:31.0,,,29-28,,Defensive rebound by G. Dieng
0:08.0,,,29-28,,T. Young misses 2-pt shot from 10 ft
0:07.0,,,29-28,,Offensive rebound by T. Young
0:06.0,,,29-28,,T. Young misses 2-pt shot at rim
0:05.0,,,29-28,,Offensive rebound by G. Dieng
0:05.0,,,29-30,2,G. Dieng makes 2-pt shot at rim
0:04.0,,,29-30,,Personal take foul by M. Williams (drawn by D. Schroder)
0:04.0,K. Korver enters the game for D. Carroll,,29-30,,
0:00.0,M. Scott makes 3-pt shot from 23 ft (assist by P. Millsap),3,32-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,A. Horford misses 2-pt shot from 17 ft,,32-30,,
11:33.0,,,32-30,,Defensive rebound by S. Muhammad
11:18.0,,,32-32,2,A. Wiggins makes 2-pt shot from 14 ft (assist by M. Williams)
11:02.0,K. Bazemore makes 2-pt shot from 1 ft (assist by M. Scott),2,34-32,,
10:48.0,,,34-32,,A. Wiggins misses 2-pt shot from 16 ft
10:46.0,,,34-32,,Offensive rebound by T. Young
10:43.0,,,34-32,,S. Muhammad misses 2-pt shot from 8 ft
10:42.0,,,34-32,,Offensive rebound by A. Wiggins
10:35.0,,,34-34,2,M. Williams makes 2-pt shot from 19 ft
10:21.0,M. Scott misses 2-pt shot from 16 ft,,34-34,,
10:20.0,,,34-34,,Defensive rebound by G. Dieng
10:11.0,,,34-34,,M. Williams misses 2-pt shot from 15 ft
10:10.0,Defensive rebound by A. Horford,,34-34,,
10:04.0,K. Bazemore misses 2-pt shot from 13 ft,,34-34,,
10:02.0,,,34-34,,Defensive rebound by S. Muhammad
9:46.0,,,34-36,2,T. Young makes 2-pt shot from 16 ft (assist by M. Williams)
9:33.0,A. Horford misses 2-pt shot from 19 ft,,34-36,,
9:31.0,,,34-36,,Defensive rebound by S. Muhammad
9:21.0,,,34-36,,M. Williams misses 3-pt shot from 24 ft
9:19.0,,,34-36,,Offensive rebound by S. Muhammad
9:06.0,,,34-39,3,S. Muhammad makes 3-pt shot from 22 ft (assist by T. Young)
8:48.0,M. Scott misses 2-pt shot from 9 ft,,34-39,,
8:47.0,,,34-39,,Defensive rebound by G. Dieng
8:33.0,,,34-41,2,M. Williams makes 2-pt shot from 19 ft (assist by T. Young)
8:33.0,Atlanta full timeout,,34-41,,
8:33.0,,,34-41,,K. Martin enters the game for A. Wiggins
8:33.0,,,34-41,,A. Bennett enters the game for T. Young
8:33.0,J. Teague enters the game for D. Schroder,,34-41,,
8:17.0,K. Bazemore makes 2-pt shot from 4 ft,2,36-41,,
7:55.0,,,36-43,2,M. Williams makes 2-pt shot from 14 ft
7:46.0,,,36-43,,Violation by G. Dieng (def goaltending)
7:46.0,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague),2,38-43,,
7:29.0,,,38-43,,S. Muhammad misses 3-pt shot from 23 ft
7:28.0,,,38-43,,Offensive rebound by K. Martin
7:06.0,,,38-43,,A. Bennett misses 2-pt shot from 19 ft
7:05.0,,,38-43,,Offensive rebound by G. Dieng
7:05.0,,,38-45,2,G. Dieng makes 2-pt shot at rim
6:40.0,A. Horford makes 2-pt shot from 5 ft,2,40-45,,
6:14.0,,,40-45,,S. Muhammad misses 2-pt shot from 15 ft
6:12.0,Defensive rebound by K. Bazemore,,40-45,,
6:06.0,K. Korver makes 3-pt shot from 24 ft (assist by K. Bazemore),3,43-45,,
6:06.0,,,43-45,,Minnesota full timeout
6:06.0,,,43-45,,Z. LaVine enters the game for S. Muhammad
5:53.0,,,43-45,,K. Martin misses 2-pt shot from 15 ft
5:52.0,Defensive rebound by A. Horford,,43-45,,
5:37.0,Shooting foul by M. Williams (drawn by A. Horford),,43-45,,
5:37.0,A. Horford misses free throw 1 of 2,,43-45,,
5:37.0,Offensive rebound by Team,,43-45,,
5:37.0,,,43-45,,R. Rubio enters the game for M. Williams
5:37.0,P. Millsap enters the game for M. Scott,,43-45,,
5:37.0,D. Carroll enters the game for K. Korver,,43-45,,
5:37.0,A. Horford makes free throw 2 of 2,1,44-45,,
5:25.0,M. Scott enters the game for A. Horford,,44-45,,
5:24.0,,,44-45,,Shooting foul by M. Scott (drawn by A. Bennett)
5:24.0,,,44-45,,A. Bennett misses free throw 1 of 2
5:24.0,,,44-45,,Offensive rebound by Team
5:24.0,,,44-46,1,A. Bennett makes free throw 2 of 2
5:07.0,K. Bazemore misses 2-pt shot from 14 ft,,44-46,,
5:04.0,,,44-46,,Defensive rebound by A. Bennett
4:51.0,,,44-46,,A. Bennett misses 2-pt shot from 17 ft
4:50.0,,,44-46,,Offensive rebound by Team
4:50.0,Loose ball foul by J. Teague (drawn by K. Martin),,44-46,,
4:45.0,,,44-48,2,K. Martin makes 2-pt shot from 16 ft (assist by A. Bennett)
4:29.0,K. Bazemore misses 2-pt shot from 5 ft (block by A. Bennett),,44-48,,
4:27.0,,,44-48,,Defensive rebound by G. Dieng
4:24.0,Personal foul by J. Teague (drawn by R. Rubio),,44-48,,
4:18.0,,,44-48,,K. Martin misses 3-pt shot from 24 ft
4:17.0,Defensive rebound by P. Millsap,,44-48,,
4:09.0,J. Teague makes 2-pt shot from 11 ft,2,46-48,,
3:54.0,,,46-48,,R. Rubio misses 2-pt shot from 1 ft
3:53.0,Defensive rebound by Team,,46-48,,
3:53.0,K. Korver enters the game for K. Bazemore,,46-48,,
3:53.0,,,46-48,,A. Wiggins enters the game for Z. LaVine
3:42.0,P. Millsap makes 2-pt shot at rim,2,48-48,,
3:37.0,,,48-48,,Turnover by R. Rubio (bad pass)
3:19.0,D. Carroll makes 2-pt shot at rim (assist by P. Millsap),2,50-48,,
3:19.0,,,50-48,,Minnesota full timeout
3:19.0,,,50-48,,T. Young enters the game for A. Bennett
3:08.0,,,50-48,,R. Rubio misses 2-pt shot from 21 ft
3:07.0,Defensive rebound by P. Millsap,,50-48,,
2:49.0,Turnover by P. Millsap (lost ball; steal by R. Rubio),,50-48,,
2:44.0,,,50-48,,R. Rubio misses 2-pt shot at rim
2:42.0,,,50-48,,Offensive rebound by A. Wiggins
2:42.0,,,50-50,2,A. Wiggins makes 2-pt shot at rim
2:33.0,M. Scott misses 3-pt shot from 24 ft,,50-50,,
2:32.0,Offensive rebound by D. Carroll,,50-50,,
2:30.0,Atlanta full timeout,,50-50,,
2:30.0,,,50-50,,N. Pekovic enters the game for G. Dieng
2:30.0,A. Horford enters the game for M. Scott,,50-50,,
2:24.0,K. Korver misses 3-pt shot from 24 ft,,50-50,,
2:22.0,,,50-50,,Defensive rebound by Team
2:06.0,,,50-50,,T. Young misses 2-pt shot from 14 ft
2:05.0,Defensive rebound by D. Carroll,,50-50,,
1:51.0,D. Carroll makes 2-pt shot from 2 ft (assist by A. Horford),2,52-50,,
1:29.0,,,52-53,3,R. Rubio makes 3-pt shot from 24 ft (assist by K. Martin)
1:17.0,K. Korver makes 3-pt shot from 26 ft (assist by J. Teague),3,55-53,,
1:00.0,,,55-53,,N. Pekovic misses 2-pt shot from 12 ft
1:00.0,Defensive rebound by K. Korver,,55-53,,
0:48.0,J. Teague makes 2-pt shot at rim (assist by A. Horford),2,57-53,,
0:34.0,,,57-53,,R. Rubio misses 2-pt shot from 16 ft
0:32.0,Defensive rebound by K. Korver,,57-53,,
0:11.0,A. Horford misses 2-pt shot from 16 ft,,57-53,,
0:10.0,,,57-53,,Defensive rebound by N. Pekovic
0:04.0,,,57-53,,R. Rubio misses 3-pt shot from 24 ft
0:03.0,,,57-53,,Offensive rebound by T. Young
0:02.0,Loose ball foul by P. Millsap (drawn by T. Young),,57-53,,
0:02.0,E. Brand enters the game for A. Horford,,57-53,,
0:02.0,D. Schroder enters the game for J. Teague,,57-53,,
0:02.0,K. Bazemore enters the game for P. Millsap,,57-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,D. Carroll misses 2-pt shot from 2 ft,,57-53,,
11:41.0,,,57-53,,Defensive rebound by K. Martin
11:25.0,,,57-53,,R. Rubio misses 2-pt shot from 17 ft
11:23.0,Defensive rebound by J. Teague,,57-53,,
11:21.0,,,57-53,,Personal foul by T. Young (drawn by J. Teague)
11:15.0,,,57-53,,Violation by K. Martin (kicked ball)
11:10.0,J. Teague misses 2-pt shot from 16 ft,,57-53,,
11:10.0,Offensive rebound by Team,,57-53,,
11:10.0,,,57-53,,Loose ball foul by K. Martin (drawn by D. Carroll)
10:56.0,Shooting foul by A. Wiggins (drawn by P. Millsap),,57-53,,
10:56.0,P. Millsap makes free throw 1 of 2,1,58-53,,
10:56.0,P. Millsap makes free throw 2 of 2,1,59-53,,
10:46.0,,,59-53,,Turnover by A. Wiggins (lost ball; steal by D. Carroll)
10:41.0,D. Carroll makes 2-pt shot at rim (assist by P. Millsap),2,61-53,,
10:40.0,,,61-53,,Minnesota full timeout
10:25.0,,,61-53,,K. Martin misses 2-pt shot from 14 ft
10:23.0,,,61-53,,Offensive rebound by A. Wiggins
10:23.0,,,61-53,,A. Wiggins misses 2-pt shot from 1 ft
10:21.0,Defensive rebound by D. Carroll,,61-53,,
10:16.0,K. Korver makes 3-pt shot from 22 ft (assist by A. Horford),3,64-53,,
10:02.0,,,64-53,,N. Pekovic misses 2-pt shot from 2 ft (block by A. Horford)
10:01.0,Defensive rebound by Team,,64-53,,
9:47.0,Turnover by J. Teague (bad pass),,64-53,,
9:31.0,,,64-55,2,N. Pekovic makes 2-pt shot from 1 ft (assist by T. Young)
9:24.0,,,64-55,,Personal foul by N. Pekovic (drawn by J. Teague)
9:17.0,P. Millsap misses 2-pt shot from 6 ft,,64-55,,
9:15.0,,,64-55,,Defensive rebound by N. Pekovic
9:08.0,,,64-55,,Turnover by N. Pekovic (lost ball; steal by P. Millsap)
9:02.0,A. Horford misses 2-pt shot at rim (block by A. Wiggins),,64-55,,
9:00.0,Offensive rebound by A. Horford,,64-55,,
8:59.0,A. Horford makes 2-pt shot from 5 ft,2,66-55,,
8:43.0,,,66-57,2,T. Young makes 2-pt shot at rim
8:28.0,A. Horford misses 2-pt shot from 19 ft,,66-57,,
8:27.0,,,66-57,,Defensive rebound by T. Young
8:21.0,,,66-59,2,T. Young makes 2-pt shot from 6 ft
8:06.0,J. Teague makes 3-pt shot from 24 ft (assist by P. Millsap),3,69-59,,
7:51.0,Personal foul by D. Carroll (drawn by R. Rubio),,69-59,,
7:39.0,,,69-61,2,A. Wiggins makes 2-pt shot from 7 ft
7:26.0,A. Horford makes 2-pt shot from 7 ft (assist by J. Teague),2,71-61,,
7:03.0,,,71-63,2,N. Pekovic makes 2-pt shot from 5 ft (assist by R. Rubio)
6:45.0,Turnover by P. Millsap (lost ball; steal by T. Young),,71-63,,
6:41.0,E. Brand enters the game for A. Horford,,71-63,,
6:38.0,,,71-63,,K. Martin misses 2-pt shot from 15 ft (block by K. Korver)
6:37.0,,,71-63,,Offensive rebound by K. Martin
6:34.0,,,71-63,,K. Martin misses 2-pt shot from 3 ft (block by E. Brand)
6:32.0,,,71-63,,Offensive rebound by K. Martin
6:30.0,,,71-63,,A. Wiggins misses 3-pt shot from 23 ft
6:29.0,Defensive rebound by Team,,71-63,,
6:22.0,K. Korver misses 3-pt shot from 23 ft,,71-63,,
6:21.0,,,71-63,,Defensive rebound by A. Wiggins
6:11.0,,,71-63,,N. Pekovic misses 2-pt shot from 12 ft
6:10.0,Defensive rebound by P. Millsap,,71-63,,
6:06.0,Shooting foul by K. Martin (drawn by J. Teague),,71-63,,
6:06.0,J. Teague makes free throw 1 of 2,1,72-63,,
6:06.0,K. Bazemore enters the game for K. Korver,,72-63,,
6:06.0,,,72-63,,A. Bennett enters the game for T. Young
6:06.0,,,72-63,,S. Muhammad enters the game for K. Martin
6:06.0,J. Teague makes free throw 2 of 2,1,73-63,,
5:47.0,,,73-63,,Turnover by N. Pekovic (bad pass; steal by K. Bazemore)
5:47.0,,,73-63,,Personal foul by S. Muhammad (drawn by D. Carroll)
5:47.0,,,73-63,,Minnesota full timeout
5:47.0,D. Carroll makes free throw 1 of 2,1,74-63,,
5:47.0,D. Carroll makes free throw 2 of 2,1,75-63,,
5:33.0,Personal foul by P. Millsap (drawn by A. Bennett),,75-63,,
5:33.0,,,75-63,,M. Williams enters the game for R. Rubio
5:19.0,,,75-63,,S. Muhammad misses 3-pt shot from 23 ft
5:15.0,,,75-63,,Offensive rebound by N. Pekovic
5:15.0,,,75-63,,Shooting foul by K. Bazemore (drawn by N. Pekovic)
5:15.0,,,75-64,1,N. Pekovic makes free throw 1 of 2
5:15.0,,,75-65,1,N. Pekovic makes free throw 2 of 2
5:00.0,J. Teague misses 2-pt shot from 6 ft,,75-65,,
4:59.0,,,75-65,,Defensive rebound by N. Pekovic
4:53.0,,,75-65,,Turnover by S. Muhammad (bad pass; steal by J. Teague)
4:48.0,D. Carroll makes 2-pt shot at rim (assist by J. Teague),2,77-65,,
4:19.0,,,77-65,,S. Muhammad misses 3-pt shot from 22 ft
4:18.0,Defensive rebound by P. Millsap,,77-65,,
4:12.0,K. Bazemore misses 3-pt shot from 24 ft,,77-65,,
4:10.0,,,77-65,,Defensive rebound by Team
4:10.0,,,77-65,,G. Dieng enters the game for N. Pekovic
4:10.0,M. Scott enters the game for P. Millsap,,77-65,,
3:54.0,,,77-65,,A. Wiggins misses 3-pt shot from 24 ft
3:53.0,Defensive rebound by E. Brand,,77-65,,
3:38.0,Shooting foul by A. Wiggins (drawn by D. Carroll),,77-65,,
3:38.0,D. Carroll makes free throw 1 of 2,1,78-65,,
3:38.0,D. Schroder enters the game for J. Teague,,78-65,,
3:38.0,D. Carroll makes free throw 2 of 2,1,79-65,,
3:33.0,Personal foul by D. Schroder (drawn by M. Williams),,79-65,,
3:19.0,,,79-65,,Shooting foul by E. Brand (drawn by A. Bennett)
3:19.0,,,79-65,,A. Bennett misses free throw 1 of 2
3:19.0,,,79-65,,Offensive rebound by Team
3:19.0,,,79-66,1,A. Bennett makes free throw 2 of 2
2:56.0,D. Schroder makes 2-pt shot from 2 ft,2,81-66,,
2:31.0,,,81-66,,A. Wiggins misses 2-pt shot from 20 ft
2:30.0,Defensive rebound by M. Scott,,81-66,,
2:24.0,D. Carroll makes 3-pt shot from 24 ft (assist by M. Scott),3,84-66,,
2:13.0,,,84-66,,Minnesota full timeout
2:05.0,,,84-68,2,S. Muhammad makes 2-pt shot from 6 ft
1:42.0,M. Scott misses 2-pt shot from 4 ft,,84-68,,
1:41.0,,,84-68,,Defensive rebound by S. Muhammad
1:21.0,,,84-68,,M. Williams misses 2-pt shot from 20 ft
1:19.0,,,84-68,,Offensive rebound by A. Bennett
1:00.0,Shooting block foul by D. Schroder (drawn by S. Muhammad),,84-68,,
1:00.0,,,84-69,1,S. Muhammad makes free throw 1 of 2
1:00.0,A. Horford enters the game for E. Brand,,84-69,,
1:00.0,K. Korver enters the game for D. Carroll,,84-69,,
1:00.0,,,84-69,,S. Muhammad misses free throw 2 of 2
1:00.0,Defensive rebound by K. Bazemore,,84-69,,
0:45.0,M. Scott misses 3-pt shot from 24 ft,,84-69,,
0:44.0,,,84-69,,Defensive rebound by G. Dieng
0:35.0,Personal foul by K. Korver (drawn by S. Muhammad),,84-69,,
0:35.0,,,84-70,1,S. Muhammad makes free throw 1 of 2
0:35.0,,,84-70,,S. Muhammad misses free throw 2 of 2
0:34.0,,,84-70,,Offensive rebound by G. Dieng
0:31.0,,,84-70,,G. Dieng misses 2-pt shot from 6 ft
0:30.0,,,84-70,,Offensive rebound by G. Dieng
0:10.0,,,84-70,,Turnover by A. Wiggins (bad pass; steal by K. Korver)
0:06.0,Shooting foul by A. Wiggins (drawn by D. Schroder),,84-70,,
0:06.0,D. Schroder makes free throw 1 of 2,1,85-70,,
0:06.0,D. Schroder makes free throw 2 of 2,1,86-70,,
0:01.0,,,86-72,2,S. Muhammad makes 2-pt shot from 9 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,86-72,,Turnover by A. Wiggins (bad pass; steal by A. Horford)
11:41.0,D. Schroder misses 2-pt shot at rim,,86-72,,
11:40.0,Offensive rebound by M. Scott,,86-72,,
11:40.0,M. Scott misses 2-pt shot from 2 ft (block by G. Dieng),,86-72,,
11:38.0,Offensive rebound by M. Scott,,86-72,,
11:32.0,M. Scott makes 3-pt shot from 23 ft (assist by K. Bazemore),3,89-72,,
11:12.0,,,89-72,,S. Muhammad misses 2-pt shot from 12 ft
11:11.0,Defensive rebound by D. Schroder,,89-72,,
11:10.0,,,89-72,,Personal foul by M. Williams (drawn by D. Schroder)
11:10.0,,,89-72,,K. Martin enters the game for A. Wiggins
11:01.0,K. Korver misses 2-pt shot from 17 ft,,89-72,,
10:59.0,,,89-72,,Defensive rebound by G. Dieng
10:38.0,,,89-75,3,K. Martin makes 3-pt shot from 24 ft (assist by G. Dieng)
10:22.0,,,89-75,,Personal foul by A. Bennett (drawn by D. Schroder)
10:22.0,,,89-75,,R. Rubio enters the game for M. Williams
10:22.0,,,89-75,,T. Young enters the game for A. Bennett
10:17.0,D. Schroder makes 2-pt shot from 18 ft,2,91-75,,
10:01.0,,,91-77,2,K. Martin makes 2-pt shot from 18 ft (assist by R. Rubio)
9:42.0,D. Schroder misses 2-pt shot from 3 ft,,91-77,,
9:40.0,,,91-77,,Defensive rebound by G. Dieng
9:34.0,,,91-77,,Shooting foul by K. Bazemore (drawn by K. Martin)
9:34.0,,,91-78,1,K. Martin makes free throw 1 of 2
9:34.0,,,91-79,1,K. Martin makes free throw 2 of 2
9:23.0,K. Korver misses 3-pt shot from 24 ft,,91-79,,
9:21.0,,,91-79,,Defensive rebound by K. Martin
9:03.0,,,91-79,,G. Dieng misses 2-pt shot from 3 ft
9:00.0,Defensive rebound by A. Horford,,91-79,,
8:51.0,A. Horford misses 2-pt shot from 2 ft (block by G. Dieng),,91-79,,
8:50.0,Offensive rebound by Team,,91-79,,
8:50.0,Atlanta full timeout,,91-79,,
8:50.0,J. Teague enters the game for K. Bazemore,,91-79,,
8:45.0,A. Horford makes 2-pt shot from 1 ft (assist by M. Scott),2,93-79,,
8:45.0,Shooting foul by R. Rubio (drawn by A. Horford),,93-79,,
8:45.0,A. Horford makes free throw 1 of 1,1,94-79,,
8:36.0,,,94-79,,Turnover by K. Martin (lost ball; steal by M. Scott)
8:15.0,K. Korver misses 3-pt shot from 25 ft,,94-79,,
8:14.0,,,94-79,,Defensive rebound by S. Muhammad
8:12.0,,,94-79,,Turnover by S. Muhammad (bad pass; steal by D. Schroder)
8:08.0,A. Horford makes 2-pt shot at rim (assist by D. Schroder),2,96-79,,
7:51.0,,,96-79,,R. Rubio misses 3-pt shot from 22 ft
7:49.0,Defensive rebound by K. Korver,,96-79,,
7:41.0,J. Teague misses 2-pt shot from 12 ft,,96-79,,
7:40.0,,,96-79,,Defensive rebound by G. Dieng
7:35.0,,,96-79,,Shooting foul by D. Schroder (drawn by K. Martin)
7:35.0,,,96-80,1,K. Martin makes free throw 1 of 2
7:35.0,P. Millsap enters the game for M. Scott,,96-80,,
7:35.0,D. Carroll enters the game for K. Korver,,96-80,,
7:35.0,,,96-81,1,K. Martin makes free throw 2 of 2
7:21.0,Shooting foul by G. Dieng (drawn by A. Horford),,96-81,,
7:21.0,A. Horford makes free throw 1 of 2,1,97-81,,
7:21.0,A. Horford makes free throw 2 of 2,1,98-81,,
7:12.0,,,98-81,,Turnover by T. Young (lost ball; steal by J. Teague)
7:10.0,Turnover by J. Teague (bad pass; steal by T. Young),,98-81,,
7:02.0,,,98-83,2,R. Rubio makes 2-pt shot from 17 ft (assist by G. Dieng)
6:43.0,D. Carroll misses 2-pt shot at rim,,98-83,,
6:41.0,Offensive rebound by A. Horford,,98-83,,
6:38.0,A. Horford misses 2-pt shot at rim (block by G. Dieng),,98-83,,
6:37.0,Offensive rebound by A. Horford,,98-83,,
6:36.0,A. Horford makes 2-pt shot from 1 ft,2,100-83,,
6:34.0,,,100-83,,Minnesota full timeout
6:34.0,,,100-83,,A. Wiggins enters the game for S. Muhammad
6:34.0,,,100-83,,N. Pekovic enters the game for G. Dieng
6:34.0,E. Brand enters the game for A. Horford,,100-83,,
6:25.0,,,100-83,,Turnover by R. Rubio (bad pass; steal by D. Carroll)
6:00.0,Turnover by Team (shot clock),,100-83,,
5:50.0,,,100-85,2,R. Rubio makes 2-pt shot from 21 ft (assist by A. Wiggins)
5:50.0,,,100-85,,Shooting foul by J. Teague (drawn by R. Rubio)
5:50.0,,,100-86,1,R. Rubio makes free throw 1 of 1
