time,Philadelphia,pts.away,score,pts.home,Indiana
4:55.0,J. Grant makes free throw 2 of 2,1,9-15,,
4:46.0,,,9-15,,S. Hill misses 3-pt shot from 24 ft
4:44.0,Defensive rebound by J. Grant,,9-15,,
4:31.0,N. Noel misses 2-pt shot from 19 ft,,9-15,,
4:30.0,,,9-15,,Defensive rebound by G. Hill
4:18.0,,,9-15,,D. West misses 2-pt shot from 12 ft
4:15.0,Defensive rebound by J. Grant,,9-15,,
4:03.0,J. Grant misses 3-pt shot from 26 ft,,9-15,,
4:01.0,Offensive rebound by J. Grant,,9-15,,
3:57.0,Shooting foul by R. Hibbert (drawn by N. Noel),,9-15,,
3:57.0,,,9-15,,Indiana full timeout
3:57.0,,,9-15,,I. Mahinmi enters the game for R. Hibbert
3:57.0,,,9-15,,R. Stuckey enters the game for S. Hill
3:57.0,N. Noel makes free throw 1 of 2,1,10-15,,
3:57.0,N. Noel makes free throw 2 of 2,1,11-15,,
3:44.0,,,11-15,,Turnover by R. Stuckey (lost ball; steal by J. Grant)
3:41.0,Turnover by N. Noel (discontinued dribble),,11-15,,
3:41.0,J. McGee enters the game for N. Noel,,11-15,,
3:24.0,,,11-15,,C. Miles misses 2-pt shot from 17 ft
3:24.0,Defensive rebound by Team,,11-15,,
3:24.0,,,11-15,,Loose ball foul by I. Mahinmi (drawn by J. McGee)
3:10.0,H. Thompson makes 2-pt shot from 1 ft,2,13-15,,
2:57.0,,,13-17,2,G. Hill makes 2-pt shot from 3 ft
2:40.0,I. Smith makes 3-pt shot from 24 ft (assist by H. Thompson),3,16-17,,
2:28.0,,,16-17,,Offensive foul by I. Mahinmi
2:28.0,,,16-17,,Turnover by I. Mahinmi (offensive foul)
2:28.0,,,16-17,,C. Watson enters the game for G. Hill
2:13.0,J. McGee makes 2-pt shot at rim (assist by J. Grant),2,18-17,,
2:01.0,,,18-17,,Shooting foul by T. Robinson (drawn by D. West)
2:01.0,,,18-18,1,D. West makes free throw 1 of 2
2:01.0,,,18-18,,D. West misses free throw 2 of 2
2:01.0,Defensive rebound by J. McGee,,18-18,,
1:43.0,H. Thompson misses 2-pt shot from 19 ft,,18-18,,
1:42.0,,,18-18,,Defensive rebound by I. Mahinmi
1:32.0,,,18-18,,Turnover by C. Watson (bad pass)
1:20.0,Turnover by H. Thompson (bad pass; steal by C. Miles),,18-18,,
1:18.0,,,18-20,2,C. Miles makes 2-pt shot at rim
1:18.0,,,18-20,,Shooting foul by J. Grant (drawn by C. Miles)
1:18.0,,,18-20,,L. Scola enters the game for D. West
1:18.0,,,18-21,1,C. Miles makes free throw 1 of 1
1:03.0,T. Robinson misses 2-pt shot from 2 ft,,18-21,,
1:02.0,,,18-21,,Defensive rebound by L. Scola
0:57.0,,,18-23,2,I. Mahinmi makes 2-pt shot at rim (assist by R. Stuckey)
0:53.0,I. Smith makes 2-pt shot from 2 ft,2,20-23,,
0:43.0,Personal block foul by J. Grant (drawn by R. Stuckey),,20-23,,
0:43.0,,,20-24,1,R. Stuckey makes free throw 1 of 2
0:43.0,J. Sampson enters the game for J. Grant,,20-24,,
0:43.0,,,20-25,1,R. Stuckey makes free throw 2 of 2
0:33.0,I. Smith makes 2-pt shot from 9 ft,2,22-25,,
0:16.0,,,22-27,2,L. Scola makes 2-pt shot from 19 ft (assist by R. Stuckey)
0:05.0,I. Smith makes 2-pt shot from 4 ft,2,24-27,,
0:00.0,,,24-27,,C. Miles misses 3-pt shot from 29 ft
0:00.0,,,24-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Shooting foul by L. Scola (drawn by T. Robinson),,24-27,,
11:50.0,T. Robinson misses free throw 1 of 2,,24-27,,
11:50.0,Offensive rebound by Team,,24-27,,
11:50.0,T. Robinson makes free throw 2 of 2,1,25-27,,
11:32.0,,,25-29,2,R. Stuckey makes 2-pt shot from 18 ft
11:22.0,Turnover by I. Smith (bad pass; steal by L. Scola),,25-29,,
11:18.0,,,25-31,2,R. Stuckey makes 2-pt shot from 1 ft (assist by L. Scola)
10:59.0,J. McGee misses 2-pt shot from 20 ft,,25-31,,
10:58.0,,,25-31,,Defensive rebound by Team
10:47.0,,,25-33,2,C. Watson makes 2-pt shot from 18 ft
10:40.0,Philadelphia full timeout,,25-33,,
10:36.0,I. Smith misses 2-pt shot from 9 ft,,25-33,,
10:34.0,,,25-33,,Defensive rebound by L. Scola
10:18.0,,,25-33,,L. Scola misses 2-pt shot from 21 ft
10:17.0,Defensive rebound by J. Sampson,,25-33,,
10:05.0,T. Robinson makes 2-pt shot from 6 ft,2,27-33,,
9:59.0,,,27-33,,R. Stuckey misses 2-pt shot at rim (block by J. Sampson)
9:58.0,,,27-33,,Offensive rebound by Team
9:56.0,,,27-35,2,I. Mahinmi makes 2-pt shot at rim (assist by C. Miles)
9:38.0,Shooting foul by I. Mahinmi (drawn by J. McGee),,27-35,,
9:38.0,J. McGee misses free throw 1 of 2,,27-35,,
9:38.0,Offensive rebound by Team,,27-35,,
9:38.0,,,27-35,,R. Hibbert enters the game for I. Mahinmi
9:38.0,J. McGee makes free throw 2 of 2,1,28-35,,
9:17.0,,,28-35,,L. Scola misses 2-pt shot from 7 ft
9:16.0,,,28-35,,Offensive rebound by R. Hibbert
9:14.0,,,28-35,,R. Hibbert misses 2-pt shot at rim (block by J. McGee)
9:12.0,Defensive rebound by I. Smith,,28-35,,
9:04.0,R. Covington enters the game for H. Thompson,,28-35,,
8:54.0,T. Robinson makes 2-pt shot from 5 ft (assist by I. Smith),2,30-35,,
8:39.0,,,30-37,2,R. Stuckey makes 2-pt shot from 18 ft (assist by C. Miles)
8:39.0,,,30-37,,Shooting foul by J. Sampson (drawn by R. Stuckey)
8:39.0,Official timeout,,30-37,,
8:39.0,,,30-38,1,R. Stuckey makes free throw 1 of 1
8:31.0,Turnover by J. McGee (lost ball; steal by R. Stuckey),,30-38,,
8:11.0,,,30-38,,C. Watson misses 3-pt shot from 26 ft
8:10.0,Defensive rebound by J. Sampson,,30-38,,
8:04.0,J. Sampson makes 2-pt shot from 1 ft,2,32-38,,
7:45.0,,,32-40,2,R. Hibbert makes 2-pt shot at rim (assist by C. Watson)
7:45.0,,,32-40,,Shooting foul by J. Sampson (drawn by R. Hibbert)
7:45.0,N. Noel enters the game for J. McGee,,32-40,,
7:45.0,J. Richardson enters the game for I. Smith,,32-40,,
7:45.0,,,32-40,,R. Hibbert misses free throw 1 of 1
7:45.0,Defensive rebound by N. Noel,,32-40,,
7:25.0,R. Covington misses 3-pt shot from 27 ft,,32-40,,
7:24.0,,,32-40,,Defensive rebound by C. Watson
7:18.0,,,32-40,,Turnover by R. Stuckey (traveling)
7:03.0,R. Covington misses 2-pt shot at rim (block by R. Hibbert),,32-40,,
7:01.0,Offensive rebound by T. Robinson,,32-40,,
7:00.0,T. Robinson makes 2-pt shot from 1 ft,2,34-40,,
6:44.0,Personal foul by J. Sampson (drawn by L. Scola),,34-40,,
6:44.0,,,34-40,,G. Hill enters the game for C. Watson
6:44.0,L. Mbah a Moute enters the game for T. Robinson,,34-40,,
6:44.0,I. Canaan enters the game for J. Sampson,,34-40,,
6:37.0,,,34-40,,L. Scola misses 2-pt shot from 2 ft
6:36.0,,,34-40,,Offensive rebound by R. Hibbert
6:36.0,,,34-40,,R. Hibbert misses 2-pt shot from 1 ft
6:35.0,,,34-40,,Offensive rebound by L. Scola
6:35.0,,,34-42,2,L. Scola makes 2-pt shot at rim
6:14.0,L. Mbah a Moute misses 2-pt shot from 1 ft (block by R. Hibbert),,34-42,,
6:12.0,,,34-42,,Defensive rebound by C. Miles
5:59.0,,,34-44,2,L. Scola makes 2-pt shot at rim (assist by G. Hill)
5:59.0,Shooting block foul by N. Noel (drawn by L. Scola),,34-44,,
5:59.0,,,34-44,,Indiana full timeout
5:59.0,,,34-45,1,L. Scola makes free throw 1 of 1
5:34.0,I. Canaan misses 2-pt shot from 18 ft,,34-45,,
5:34.0,Offensive rebound by Team,,34-45,,
5:34.0,Turnover by Team (shot clock),,34-45,,
5:17.0,,,34-45,,C. Miles misses 3-pt shot from 27 ft
5:16.0,,,34-45,,Offensive rebound by R. Stuckey
5:10.0,,,34-48,3,R. Stuckey makes 3-pt shot from 27 ft
4:59.0,L. Mbah a Moute misses 3-pt shot from 26 ft,,34-48,,
4:56.0,,,34-48,,Defensive rebound by R. Stuckey
4:51.0,,,34-50,2,R. Hibbert makes 2-pt shot at rim (assist by R. Stuckey)
4:50.0,Philadelphia full timeout,,34-50,,
4:29.0,J. Richardson misses 3-pt shot from 26 ft,,34-50,,
4:28.0,Offensive rebound by L. Mbah a Moute,,34-50,,
4:27.0,Shooting foul by R. Hibbert (drawn by L. Mbah a Moute),,34-50,,
4:27.0,L. Mbah a Moute misses free throw 1 of 2,,34-50,,
4:27.0,Offensive rebound by Team,,34-50,,
4:27.0,L. Mbah a Moute misses free throw 2 of 2,,34-50,,
4:26.0,Offensive rebound by Team,,34-50,,
4:26.0,,,34-50,,Loose ball foul by L. Scola (drawn by R. Covington)
4:17.0,R. Covington makes 2-pt shot from 2 ft,2,36-50,,
4:00.0,,,36-53,3,G. Hill makes 3-pt shot from 26 ft (assist by L. Scola)
3:46.0,I. Canaan makes 2-pt shot from 17 ft,2,38-53,,
3:28.0,,,38-55,2,L. Scola makes 2-pt shot from 6 ft
3:12.0,L. Mbah a Moute makes 2-pt shot from 21 ft,2,40-55,,
2:57.0,Personal block foul by R. Covington (drawn by C. Miles),,40-55,,
2:57.0,,,40-56,1,C. Miles makes free throw 1 of 2
2:57.0,T. Robinson enters the game for L. Mbah a Moute,,40-56,,
2:57.0,,,40-56,,D. West enters the game for L. Scola
2:57.0,,,40-56,,C. Miles misses free throw 2 of 2
2:57.0,Defensive rebound by T. Robinson,,40-56,,
2:41.0,Turnover by J. Richardson (lost ball; steal by R. Stuckey),,40-56,,
2:39.0,,,40-56,,Turnover by R. Stuckey (lost ball; steal by J. Richardson)
2:36.0,N. Noel misses 2-pt shot at rim,,40-56,,
2:35.0,,,40-56,,Defensive rebound by R. Hibbert
2:26.0,,,40-56,,G. Hill misses 2-pt shot from 2 ft (block by I. Canaan)
2:24.0,Defensive rebound by I. Canaan,,40-56,,
2:19.0,J. Richardson misses 3-pt shot from 24 ft,,40-56,,
2:17.0,Offensive rebound by N. Noel,,40-56,,
2:17.0,N. Noel makes 2-pt shot at rim,2,42-56,,
2:01.0,,,42-56,,R. Stuckey misses 2-pt shot from 5 ft
2:00.0,Defensive rebound by J. Richardson,,42-56,,
1:52.0,J. Richardson misses 2-pt shot from 16 ft,,42-56,,
1:50.0,Offensive rebound by N. Noel,,42-56,,
1:50.0,,,42-56,,Personal foul by G. Hill (drawn by N. Noel)
1:50.0,N. Noel makes free throw 1 of 2,1,43-56,,
1:50.0,,,43-56,,S. Hill enters the game for C. Miles
1:50.0,N. Noel makes free throw 2 of 2,1,44-56,,
1:28.0,,,44-56,,Turnover by G. Hill (lost ball; steal by I. Canaan)
1:20.0,J. Richardson misses 2-pt shot from 1 ft (block by R. Hibbert),,44-56,,
1:18.0,,,44-56,,Defensive rebound by G. Hill
1:01.0,,,44-56,,R. Stuckey misses 2-pt shot from 19 ft
1:00.0,,,44-56,,Offensive rebound by R. Stuckey
0:58.0,,,44-56,,Shooting foul by J. Richardson (drawn by D. West)
0:58.0,,,44-56,,D. West misses free throw 1 of 2
0:58.0,,,44-56,,Offensive rebound by Team
0:58.0,,,44-56,,L. Allen enters the game for R. Hibbert
0:58.0,,,44-57,1,D. West makes free throw 2 of 2
0:40.0,Shooting foul by D. West (drawn by N. Noel),,44-57,,
0:40.0,N. Noel makes free throw 1 of 2,1,45-57,,
0:40.0,N. Noel makes free throw 2 of 2,1,46-57,,
0:27.0,,,46-59,2,G. Hill makes 2-pt shot from 16 ft
0:05.0,I. Canaan misses 3-pt shot from 24 ft,,46-59,,
0:04.0,,,46-59,,Defensive rebound by S. Hill
0:00.0,,,46-59,,Turnover by S. Hill (lost ball; steal by J. Richardson)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,R. Covington misses 3-pt shot from 23 ft,,46-59,,
11:47.0,,,46-59,,Defensive rebound by G. Hill
11:32.0,,,46-59,,C. Miles misses 2-pt shot from 14 ft
11:31.0,,,46-59,,Offensive rebound by R. Hibbert
11:30.0,,,46-59,,R. Hibbert misses 2-pt shot at rim (block by N. Noel)
11:30.0,Defensive rebound by I. Smith,,46-59,,
11:25.0,I. Smith misses 2-pt shot at rim,,46-59,,
11:24.0,,,46-59,,Defensive rebound by R. Hibbert
10:59.0,,,46-59,,D. West misses 2-pt shot from 1 ft (block by N. Noel)
10:59.0,,,46-59,,Offensive rebound by Team
10:59.0,,,46-59,,Turnover by Team (shot clock)
10:49.0,Turnover by R. Covington (bad pass),,46-59,,
10:35.0,,,46-59,,D. West misses 2-pt shot from 22 ft
10:32.0,Defensive rebound by N. Noel,,46-59,,
10:22.0,,,46-59,,Personal foul by S. Hill (drawn by N. Noel)
10:18.0,I. Smith misses 2-pt shot from 1 ft (block by R. Hibbert),,46-59,,
10:16.0,,,46-59,,Defensive rebound by R. Hibbert
10:02.0,,,46-61,2,R. Hibbert makes 2-pt shot from 11 ft
9:45.0,Turnover by N. Noel (bad pass),,46-61,,
9:33.0,,,46-63,2,S. Hill makes 2-pt shot from 15 ft
9:32.0,Philadelphia full timeout,,46-63,,
9:15.0,R. Covington misses 2-pt shot from 11 ft,,46-63,,
9:14.0,,,46-63,,Defensive rebound by R. Hibbert
9:12.0,,,46-63,,Indiana full timeout
8:55.0,J. Richardson makes 2-pt shot at rim (assist by N. Noel),2,48-63,,
8:43.0,,,48-63,,C. Miles misses 2-pt shot from 1 ft
8:42.0,Defensive rebound by J. Richardson,,48-63,,
8:34.0,J. Richardson misses 3-pt shot from 26 ft,,48-63,,
8:33.0,Offensive rebound by I. Smith,,48-63,,
8:27.0,I. Smith makes 2-pt shot from 1 ft,2,50-63,,
8:10.0,,,50-63,,C. Miles misses 3-pt shot from 23 ft
8:09.0,Defensive rebound by N. Noel,,50-63,,
8:04.0,I. Smith misses 2-pt shot from 1 ft,,50-63,,
8:03.0,,,50-63,,Defensive rebound by D. West
7:56.0,,,50-63,,S. Hill misses 2-pt shot from 1 ft (block by N. Noel)
7:54.0,Defensive rebound by I. Smith,,50-63,,
7:49.0,R. Covington makes 3-pt shot from 27 ft (assist by I. Smith),3,53-63,,
7:27.0,Personal foul by R. Covington (drawn by S. Hill),,53-63,,
7:16.0,,,53-65,2,G. Hill makes 2-pt shot from 16 ft
6:57.0,R. Covington makes 3-pt shot from 26 ft (assist by I. Smith),3,56-65,,
6:28.0,,,56-65,,D. West misses 2-pt shot from 6 ft
6:28.0,Defensive rebound by Team,,56-65,,
6:10.0,R. Covington makes 2-pt shot from 1 ft,2,58-65,,
6:10.0,,,58-65,,Indiana full timeout
5:53.0,,,58-67,2,D. West makes 2-pt shot from 17 ft (assist by G. Hill)
5:29.0,I. Smith misses 2-pt shot from 2 ft (block by D. West),,58-67,,
5:28.0,,,58-67,,Defensive rebound by C. Miles
5:10.0,,,58-67,,G. Hill misses 2-pt shot from 16 ft
5:09.0,Defensive rebound by N. Noel,,58-67,,
5:00.0,Turnover by L. Mbah a Moute (bad pass; steal by C. Miles),,58-67,,
4:51.0,,,58-67,,S. Hill misses 3-pt shot from 25 ft
4:50.0,,,58-67,,Offensive rebound by G. Hill
4:50.0,Personal foul by L. Mbah a Moute (drawn by G. Hill),,58-67,,
4:50.0,,,58-67,,I. Mahinmi enters the game for R. Hibbert
4:50.0,,,58-67,,R. Stuckey enters the game for C. Miles
4:50.0,J. Grant enters the game for L. Mbah a Moute,,58-67,,
4:50.0,T. Robinson enters the game for J. Richardson,,58-67,,
4:43.0,,,58-67,,G. Hill misses 2-pt shot from 18 ft
4:43.0,Defensive rebound by J. Grant,,58-67,,
4:35.0,Turnover by R. Covington (traveling),,58-67,,
4:11.0,,,58-69,2,I. Mahinmi makes 2-pt shot from 3 ft
3:54.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,60-69,,
3:29.0,,,60-69,,S. Hill misses 2-pt shot at rim
3:28.0,Defensive rebound by R. Covington,,60-69,,
3:22.0,R. Covington makes 2-pt shot from 1 ft,2,62-69,,
3:18.0,Personal take foul by I. Smith (drawn by G. Hill),,62-69,,
3:18.0,Philadelphia full timeout,,62-69,,
3:18.0,H. Thompson enters the game for R. Covington,,62-69,,
3:18.0,,,62-69,,C. Watson enters the game for G. Hill
3:06.0,,,62-71,2,D. West makes 2-pt shot from 17 ft (assist by R. Stuckey)
2:52.0,N. Noel misses 2-pt shot from 3 ft (block by D. West),,62-71,,
2:52.0,Offensive rebound by Team,,62-71,,
2:43.0,T. Robinson misses 2-pt shot from 2 ft,,62-71,,
2:42.0,,,62-71,,Defensive rebound by I. Mahinmi
2:29.0,,,62-71,,Turnover by S. Hill (lost ball; steal by J. Grant)
2:25.0,T. Robinson misses 2-pt shot at rim (block by R. Stuckey),,62-71,,
2:25.0,,,62-71,,Defensive rebound by Team
2:11.0,,,62-71,,C. Watson misses 3-pt shot from 25 ft
2:09.0,Defensive rebound by N. Noel,,62-71,,
1:58.0,T. Robinson makes 2-pt shot from 1 ft (assist by I. Smith),2,64-71,,
1:58.0,Shooting foul by S. Hill (drawn by T. Robinson),,64-71,,
1:58.0,J. Sampson enters the game for N. Noel,,64-71,,
1:58.0,,,64-71,,D. Rudez enters the game for S. Hill
1:58.0,T. Robinson misses free throw 1 of 1,,64-71,,
1:58.0,,,64-71,,Defensive rebound by I. Mahinmi
1:37.0,,,64-71,,D. West misses 2-pt shot from 17 ft
1:37.0,,,64-71,,Offensive rebound by Team
1:36.0,I. Canaan enters the game for I. Smith,,64-71,,
1:27.0,,,64-71,,R. Stuckey misses 2-pt shot from 16 ft
1:25.0,,,64-71,,Offensive rebound by D. West
1:16.0,Jump ball: H. Thompson vs. D. West (C. Watson gains possession),,,,Jump ball: H. Thompson vs. D. West (C. Watson gains possession)
1:05.0,,,64-73,2,C. Watson makes 2-pt shot from 18 ft
0:51.0,T. Robinson misses 2-pt shot from 17 ft,,64-73,,
0:50.0,,,64-73,,Defensive rebound by C. Watson
0:38.0,Personal foul by J. Grant (drawn by I. Mahinmi),,64-73,,
0:36.0,,,64-73,,D. Rudez misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by J. Grant,,64-73,,
0:24.0,Turnover by H. Thompson (bad pass; steal by R. Stuckey),,64-73,,
0:19.0,,,64-73,,R. Stuckey misses 2-pt shot from 1 ft
0:17.0,Defensive rebound by J. Sampson,,64-73,,
0:00.0,T. Robinson misses 2-pt shot from 19 ft,,64-73,,
0:00.0,Offensive rebound by Team,,64-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,64-73,,R. Stuckey misses 2-pt shot from 2 ft
11:43.0,Defensive rebound by T. Robinson,,64-73,,
11:35.0,J. Grant misses 2-pt shot from 4 ft (block by L. Scola),,64-73,,
11:33.0,Offensive rebound by T. Robinson,,64-73,,
11:30.0,J. Sampson misses 3-pt shot from 22 ft,,64-73,,
11:29.0,,,64-73,,Defensive rebound by C. Watson
11:21.0,,,64-73,,C. Watson misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by T. Robinson,,64-73,,
11:09.0,Offensive foul by T. Robinson,,64-73,,
11:09.0,Turnover by T. Robinson (offensive foul),,64-73,,
10:55.0,,,64-75,2,L. Scola makes 2-pt shot from 19 ft (assist by C. Watson)
10:41.0,J. Grant makes 2-pt shot at rim,2,66-75,,
10:28.0,,,66-77,2,L. Scola makes 2-pt shot from 18 ft (assist by C. Watson)
10:18.0,J. Grant misses 3-pt shot from 26 ft,,66-77,,
10:17.0,,,66-77,,Defensive rebound by R. Stuckey
10:08.0,Personal foul by J. Sampson (drawn by L. Scola),,66-77,,
10:06.0,Personal foul by I. Canaan (drawn by C. Watson),,66-77,,
9:52.0,,,66-77,,R. Stuckey misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by T. Robinson,,66-77,,
9:50.0,,,66-77,,Personal foul by I. Mahinmi (drawn by T. Robinson)
9:35.0,H. Thompson makes 2-pt shot from 1 ft,2,68-77,,
9:15.0,,,68-77,,R. Stuckey misses 2-pt shot from 16 ft
9:14.0,Defensive rebound by T. Robinson,,68-77,,
9:07.0,I. Canaan makes 3-pt shot from 28 ft (assist by T. Robinson),3,71-77,,
8:54.0,,,71-77,,L. Scola misses 2-pt shot from 20 ft
8:52.0,Defensive rebound by T. Robinson,,71-77,,
8:45.0,T. Robinson misses 2-pt shot at rim,,71-77,,
8:44.0,,,71-77,,Defensive rebound by C. Watson
8:39.0,,,71-77,,Shooting foul by T. Robinson (drawn by C. Watson)
8:39.0,Official timeout,,71-77,,
8:39.0,N. Noel enters the game for J. Grant,,71-77,,
8:39.0,L. Mbah a Moute enters the game for T. Robinson,,71-77,,
8:39.0,J. Richardson enters the game for J. Sampson,,71-77,,
8:39.0,,,71-78,1,C. Watson makes free throw 1 of 2
8:39.0,,,71-79,1,C. Watson makes free throw 2 of 2
8:31.0,Shooting foul by R. Stuckey (drawn by J. Richardson),,71-79,,
8:31.0,J. Richardson makes free throw 1 of 2,1,72-79,,
8:31.0,J. Richardson misses free throw 2 of 2,,72-79,,
8:31.0,,,72-79,,Defensive rebound by Team
8:31.0,Loose ball foul by N. Noel (drawn by I. Mahinmi),,72-79,,
8:14.0,,,72-79,,Turnover by D. Rudez (step out of bounds)
8:01.0,J. Richardson misses 2-pt shot from 20 ft,,72-79,,
8:00.0,,,72-79,,Defensive rebound by L. Scola
7:40.0,,,72-79,,C. Watson misses 2-pt shot from 17 ft
7:39.0,Defensive rebound by J. Richardson,,72-79,,
7:18.0,I. Canaan misses 3-pt shot from 27 ft,,72-79,,
7:17.0,Offensive rebound by Team,,72-79,,
7:17.0,,,72-79,,R. Hibbert enters the game for I. Mahinmi
7:17.0,,,72-79,,G. Hill enters the game for D. Rudez
7:15.0,N. Noel misses 2-pt shot from 16 ft,,72-79,,
7:14.0,,,72-79,,Defensive rebound by C. Watson
7:06.0,Personal foul by I. Canaan (drawn by C. Watson),,72-79,,
7:06.0,,,72-80,1,C. Watson makes free throw 1 of 2
7:06.0,,,72-80,,C. Miles enters the game for R. Stuckey
7:06.0,,,72-81,1,C. Watson makes free throw 2 of 2
6:49.0,J. Richardson makes 2-pt shot from 4 ft,2,74-81,,
6:31.0,,,74-81,,R. Hibbert misses 2-pt shot from 7 ft
6:29.0,,,74-81,,Offensive rebound by L. Scola
6:18.0,,,74-81,,C. Miles misses 2-pt shot from 19 ft
6:17.0,,,74-81,,Offensive rebound by R. Hibbert
6:17.0,Loose ball foul by N. Noel (drawn by R. Hibbert),,74-81,,
6:17.0,,,74-82,1,R. Hibbert makes free throw 1 of 2
6:17.0,,,74-83,1,R. Hibbert makes free throw 2 of 2
6:17.0,Philadelphia full timeout,,74-83,,
6:17.0,,,74-83,,R. Stuckey enters the game for C. Watson
6:09.0,H. Thompson misses 3-pt shot from 27 ft,,74-83,,
