time,Minnesota,pts.away,score,pts.home,LA Lakers
7:03.0,Z. LaVine makes free throw 1 of 2,1,30-38,,
7:03.0,,,30-38,,J. Lin enters the game for R. Price
7:03.0,,,30-38,,K. Bryant enters the game for W. Johnson
7:03.0,Z. LaVine makes free throw 2 of 2,1,31-38,,
6:46.0,,,31-40,2,R. Sacre makes 2-pt shot from 11 ft (assist by W. Ellington)
6:31.0,T. Young misses 2-pt shot from 17 ft,,31-40,,
6:29.0,,,31-40,,Defensive rebound by K. Bryant
6:20.0,Personal foul by C. Brewer (drawn by K. Bryant),,31-40,,
6:20.0,,,31-40,,J. Hill enters the game for R. Sacre
6:12.0,,,31-40,,K. Bryant misses 2-pt shot from 6 ft
6:11.0,Defensive rebound by Z. LaVine,,31-40,,
6:01.0,Z. LaVine makes 2-pt shot from 7 ft,2,33-40,,
5:47.0,,,33-42,2,J. Lin makes 2-pt shot from 1 ft
5:34.0,T. Young misses 3-pt shot from 24 ft,,33-42,,
5:33.0,,,33-42,,Defensive rebound by W. Ellington
5:29.0,Personal foul by G. Dieng (drawn by J. Lin),,33-42,,
5:29.0,,,33-42,,LA Lakers full timeout
5:29.0,R. Hummel enters the game for G. Dieng,,33-42,,
5:29.0,A. Wiggins enters the game for C. Budinger,,33-42,,
5:19.0,,,33-42,,Turnover by J. Hill (lost ball; steal by C. Brewer)
5:16.0,Z. LaVine makes 2-pt shot at rim (assist by C. Brewer),2,35-42,,
5:16.0,Shooting foul by J. Lin (drawn by Z. LaVine),,35-42,,
5:16.0,Z. LaVine makes free throw 1 of 1,1,36-42,,
5:05.0,,,36-44,2,J. Hill makes 2-pt shot at rim (assist by J. Lin)
4:50.0,T. Young makes 2-pt shot from 1 ft (assist by Z. LaVine),2,38-44,,
4:35.0,,,38-44,,Turnover by J. Lin (bad pass; steal by R. Hummel)
4:29.0,Z. LaVine makes 2-pt shot from 1 ft (assist by C. Brewer),2,40-44,,
4:14.0,,,40-44,,K. Bryant misses 2-pt shot from 3 ft
4:12.0,Defensive rebound by A. Wiggins,,40-44,,
4:09.0,T. Young misses 2-pt shot from 1 ft,,40-44,,
4:09.0,Offensive rebound by Team,,40-44,,
4:09.0,,,40-44,,Loose ball foul by C. Boozer (drawn by T. Young)
4:09.0,T. Young misses free throw 1 of 2,,40-44,,
4:09.0,Offensive rebound by Team,,40-44,,
4:09.0,,,40-44,,W. Johnson enters the game for W. Ellington
4:09.0,T. Young makes free throw 2 of 2,1,41-44,,
3:58.0,Personal foul by T. Young (drawn by C. Boozer),,41-44,,
3:47.0,,,41-44,,J. Hill misses 2-pt shot from 2 ft
3:45.0,Defensive rebound by C. Brewer,,41-44,,
3:40.0,C. Brewer makes 2-pt shot at rim,2,43-44,,
3:31.0,,,43-47,3,J. Lin makes 3-pt shot from 24 ft
3:15.0,T. Young makes 2-pt shot from 1 ft (assist by Z. LaVine),2,45-47,,
3:06.0,,,45-49,2,J. Lin makes 2-pt shot from 1 ft
2:50.0,Z. LaVine makes 2-pt shot from 19 ft,2,47-49,,
2:32.0,,,47-52,3,W. Johnson makes 3-pt shot from 23 ft (assist by J. Hill)
2:13.0,Z. LaVine makes 3-pt shot from 25 ft,3,50-52,,
2:02.0,,,50-52,,Shooting foul by R. Hummel (drawn by K. Bryant)
2:02.0,Minnesota full timeout,,50-52,,
2:02.0,,,50-52,,K. Bryant misses free throw 1 of 2
2:02.0,,,50-52,,Offensive rebound by Team
2:02.0,,,50-53,1,K. Bryant makes free throw 2 of 2
1:46.0,Turnover by T. Young (lost ball; steal by C. Boozer),,50-53,,
1:40.0,,,50-55,2,C. Boozer makes 2-pt shot at rim (assist by K. Bryant)
1:26.0,Turnover by Z. LaVine (lost ball; steal by J. Lin),,50-55,,
1:20.0,,,50-55,,C. Boozer misses 2-pt shot at rim
1:18.0,Defensive rebound by A. Wiggins,,50-55,,
1:14.0,Z. LaVine makes 2-pt shot at rim (assist by A. Wiggins),2,52-55,,
0:54.0,,,52-55,,J. Hill misses 2-pt shot from 15 ft
0:49.0,Defensive rebound by A. Wiggins,,52-55,,
0:45.0,M. Williams enters the game for C. Brewer,,52-55,,
0:37.0,R. Hummel makes 2-pt shot from 14 ft (assist by T. Young),2,54-55,,
0:25.0,,,54-58,3,W. Johnson makes 3-pt shot from 25 ft (assist by K. Bryant)
0:17.0,Minnesota full timeout,,54-58,,
0:17.0,,,54-58,,W. Ellington enters the game for C. Boozer
0:05.0,Turnover by T. Young (lost ball; steal by W. Johnson),,54-58,,
0:00.0,,,54-58,,Turnover by W. Johnson (lost ball; steal by R. Hummel)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Shooting foul by C. Boozer (drawn by T. Young),,54-58,,
11:50.0,T. Young makes free throw 1 of 2,1,55-58,,
11:50.0,T. Young makes free throw 2 of 2,1,56-58,,
11:34.0,,,56-58,,J. Hill misses 2-pt shot from 4 ft
11:32.0,Defensive rebound by G. Dieng,,56-58,,
11:27.0,T. Young makes 2-pt shot from 1 ft (assist by C. Brewer),2,58-58,,
11:14.0,,,58-60,2,C. Boozer makes 2-pt shot from 1 ft (assist by W. Johnson)
10:56.0,T. Young makes 2-pt shot at rim (assist by M. Williams),2,60-60,,
10:43.0,,,60-62,2,J. Hill makes 2-pt shot at rim (assist by J. Lin)
10:19.0,Turnover by A. Wiggins (lost ball),,60-62,,
10:04.0,,,60-62,,K. Bryant misses 2-pt shot from 19 ft
10:03.0,,,60-62,,Offensive rebound by Team
9:55.0,,,60-65,3,W. Johnson makes 3-pt shot from 22 ft (assist by J. Lin)
9:34.0,C. Brewer makes 2-pt shot from 1 ft (assist by G. Dieng),2,62-65,,
9:21.0,,,62-65,,C. Boozer misses 2-pt shot from 2 ft
9:18.0,Defensive rebound by T. Young,,62-65,,
9:13.0,C. Brewer makes 2-pt shot from 1 ft (assist by M. Williams),2,64-65,,
8:57.0,,,64-67,2,W. Johnson makes 2-pt shot from 1 ft (assist by J. Lin)
8:57.0,Violation by G. Dieng (def goaltending),,64-67,,
8:52.0,Turnover by M. Williams (bad pass; steal by J. Lin),,64-67,,
8:44.0,,,64-67,,W. Johnson misses 3-pt shot from 23 ft
8:43.0,,,64-67,,Offensive rebound by C. Boozer
8:43.0,,,64-67,,Shooting foul by T. Young (drawn by C. Boozer)
8:43.0,,,64-68,1,C. Boozer makes free throw 1 of 2
8:43.0,Minnesota full timeout,,64-68,,
8:43.0,,,64-69,1,C. Boozer makes free throw 2 of 2
8:35.0,,,64-69,,Violation by W. Johnson (def goaltending)
8:35.0,C. Brewer makes 2-pt shot from 1 ft (assist by M. Williams),2,66-69,,
8:24.0,,,66-69,,K. Bryant misses 2-pt shot from 2 ft
8:18.0,,,66-69,,Offensive rebound by K. Bryant
8:18.0,,,66-69,,K. Bryant misses 2-pt shot at rim
8:15.0,,,66-69,,Offensive rebound by J. Hill
8:10.0,,,66-71,2,J. Lin makes 2-pt shot from 12 ft (assist by J. Hill)
7:54.0,A. Wiggins misses 2-pt shot from 9 ft,,66-71,,
7:53.0,,,66-71,,Defensive rebound by C. Boozer
7:49.0,,,66-73,2,W. Johnson makes 2-pt shot at rim (assist by J. Lin)
7:49.0,,,66-73,,Shooting foul by C. Brewer (drawn by W. Johnson)
7:49.0,,,66-74,1,W. Johnson makes free throw 1 of 1
7:36.0,C. Brewer misses 3-pt shot from 22 ft,,66-74,,
7:34.0,,,66-74,,Defensive rebound by C. Boozer
7:24.0,,,66-74,,J. Lin misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by Team,,66-74,,
7:16.0,Shooting foul by J. Lin (drawn by M. Williams),,66-74,,
7:16.0,M. Williams makes free throw 1 of 3,1,67-74,,
7:16.0,M. Williams makes free throw 2 of 3,1,68-74,,
7:16.0,M. Williams makes free throw 3 of 3,1,69-74,,
6:54.0,,,69-74,,J. Hill misses 2-pt shot from 2 ft
6:50.0,,,69-74,,Offensive rebound by C. Boozer
6:50.0,,,69-76,2,C. Boozer makes 2-pt shot at rim
6:37.0,T. Young makes 2-pt shot from 2 ft (assist by M. Williams),2,71-76,,
6:22.0,,,71-76,,K. Bryant misses 2-pt shot from 2 ft
6:20.0,Defensive rebound by C. Brewer,,71-76,,
6:14.0,M. Williams makes 3-pt shot from 24 ft (assist by C. Brewer),3,74-76,,
6:05.0,,,74-76,,Shooting foul by G. Dieng (drawn by K. Bryant)
6:05.0,,,74-76,,K. Bryant misses free throw 1 of 2
6:05.0,,,74-76,,Offensive rebound by Team
6:05.0,Z. LaVine enters the game for A. Wiggins,,74-76,,
6:05.0,A. Bennett enters the game for G. Dieng,,74-76,,
6:05.0,,,74-77,1,K. Bryant makes free throw 2 of 2
6:01.0,C. Brewer makes 2-pt shot from 2 ft (assist by M. Williams),2,76-77,,
6:01.0,Shooting foul by K. Bryant (drawn by C. Brewer),,76-77,,
6:01.0,,,76-77,,N. Young enters the game for C. Boozer
6:01.0,C. Brewer makes free throw 1 of 1,1,77-77,,
5:52.0,,,77-77,,Shooting foul by C. Brewer (drawn by K. Bryant)
5:52.0,,,77-78,1,K. Bryant makes free throw 1 of 2
5:52.0,,,77-79,1,K. Bryant makes free throw 2 of 2
5:38.0,T. Young makes 2-pt shot from 1 ft (assist by M. Williams),2,79-79,,
5:24.0,,,79-81,2,J. Lin makes 2-pt shot from 2 ft
5:05.0,M. Williams misses 2-pt shot from 16 ft,,79-81,,
4:59.0,,,79-81,,Defensive rebound by K. Bryant
4:45.0,,,79-81,,Turnover by W. Johnson (bad pass)
4:35.0,Turnover by T. Young (lost ball; steal by J. Lin),,79-81,,
4:29.0,,,79-81,,Turnover by K. Bryant (lost ball; steal by M. Williams)
4:23.0,Z. LaVine makes 2-pt shot from 1 ft (assist by C. Brewer),2,81-81,,
4:17.0,,,81-83,2,K. Bryant makes 2-pt shot from 1 ft (assist by J. Lin)
3:57.0,Shooting foul by J. Lin (drawn by T. Young),,81-83,,
3:57.0,T. Young makes free throw 1 of 2,1,82-83,,
3:57.0,C. Budinger enters the game for M. Williams,,82-83,,
3:57.0,T. Young makes free throw 2 of 2,1,83-83,,
3:33.0,,,83-85,2,K. Bryant makes 2-pt shot from 1 ft
3:15.0,Z. LaVine makes 2-pt shot from 19 ft,2,85-85,,
3:01.0,,,85-87,2,J. Lin makes 2-pt shot from 6 ft
2:50.0,Z. LaVine misses 2-pt shot from 12 ft,,85-87,,
2:48.0,,,85-87,,Defensive rebound by J. Hill
2:38.0,,,85-87,,Violation by K. Bryant (kicked ball)
2:38.0,,,85-87,,LA Lakers full timeout
2:38.0,R. Hummel enters the game for T. Young,,85-87,,
2:38.0,,,85-87,,E. Davis enters the game for J. Hill
2:28.0,,,85-89,2,K. Bryant makes 2-pt shot from 11 ft
2:09.0,C. Brewer misses 2-pt shot from 3 ft,,85-89,,
2:07.0,,,85-89,,Defensive rebound by E. Davis
1:56.0,,,85-91,2,E. Davis makes 2-pt shot at rim (assist by J. Lin)
1:33.0,Turnover by A. Bennett (lost ball; steal by K. Bryant),,85-91,,
1:30.0,,,85-91,,Turnover by J. Lin (traveling)
1:30.0,,,85-91,,W. Ellington enters the game for K. Bryant
1:14.0,Z. LaVine makes 2-pt shot from 1 ft (assist by C. Budinger),2,87-91,,
1:14.0,Shooting foul by E. Davis (drawn by Z. LaVine),,87-91,,
1:14.0,Z. LaVine makes free throw 1 of 1,1,88-91,,
1:02.0,,,88-91,,J. Lin misses 2-pt shot at rim (block by R. Hummel)
1:00.0,,,88-91,,Offensive rebound by E. Davis
0:59.0,,,88-93,2,E. Davis makes 2-pt shot at rim
0:48.0,A. Bennett makes 2-pt shot from 18 ft (assist by Z. LaVine),2,90-93,,
0:38.0,,,90-96,3,J. Lin makes 3-pt shot from 24 ft
0:25.0,Z. LaVine makes 3-pt shot from 24 ft,3,93-96,,
0:03.0,,,93-96,,W. Ellington misses 2-pt shot from 13 ft
0:02.0,,,93-96,,Offensive rebound by E. Davis
0:01.0,,,93-96,,J. Lin misses 3-pt shot from 24 ft
0:00.0,,,93-96,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,93-98,2,E. Davis makes 2-pt shot from 7 ft (assist by N. Young)
11:26.0,C. Budinger makes 3-pt shot from 24 ft (assist by G. Dieng),3,96-98,,
11:11.0,,,96-100,2,N. Young makes 2-pt shot from 15 ft
10:56.0,S. Muhammad makes 2-pt shot from 10 ft (assist by Z. LaVine),2,98-100,,
10:37.0,,,98-100,,W. Ellington misses 2-pt shot from 20 ft
10:35.0,Defensive rebound by C. Budinger,,98-100,,
10:25.0,R. Hummel makes 3-pt shot from 23 ft (assist by G. Dieng),3,101-100,,
10:09.0,,,101-100,,N. Young misses 2-pt shot from 5 ft
10:08.0,Defensive rebound by C. Budinger,,101-100,,
9:59.0,S. Muhammad misses 2-pt shot from 9 ft,,101-100,,
9:59.0,,,101-100,,Defensive rebound by Team
9:39.0,,,101-100,,R. Price misses 2-pt shot from 5 ft
9:38.0,Defensive rebound by G. Dieng,,101-100,,
9:30.0,,,101-100,,Personal foul by N. Young (drawn by G. Dieng)
9:22.0,S. Muhammad misses 2-pt shot from 8 ft,,101-100,,
9:20.0,Offensive rebound by R. Hummel,,101-100,,
9:16.0,R. Hummel misses 2-pt shot from 19 ft,,101-100,,
9:14.0,,,101-100,,Defensive rebound by N. Young
9:13.0,,,101-100,,Turnover by N. Young (bad pass)
9:01.0,Turnover by Z. LaVine (lost ball; steal by R. Price),,101-100,,
8:55.0,,,101-102,2,W. Johnson makes 2-pt shot from 1 ft (assist by R. Price)
8:55.0,Minnesota full timeout,,101-102,,
8:55.0,M. Williams enters the game for Z. LaVine,,101-102,,
8:46.0,C. Budinger misses 2-pt shot from 20 ft,,101-102,,
8:45.0,,,101-102,,Defensive rebound by R. Price
8:28.0,,,101-104,2,N. Young makes 2-pt shot from 19 ft
8:06.0,R. Hummel makes 2-pt shot from 17 ft (assist by G. Dieng),2,103-104,,
7:47.0,,,103-104,,N. Young misses 2-pt shot from 11 ft
7:46.0,,,103-104,,Offensive rebound by E. Davis
7:41.0,,,103-104,,W. Ellington misses 3-pt shot from 24 ft
7:39.0,,,103-104,,Offensive rebound by W. Johnson
7:37.0,,,103-104,,Shooting foul by R. Hummel (drawn by E. Davis)
7:37.0,,,103-104,,E. Davis misses free throw 1 of 2
7:37.0,,,103-104,,Offensive rebound by Team
7:37.0,C. Brewer enters the game for S. Muhammad,,103-104,,
7:37.0,,,103-104,,E. Davis misses free throw 2 of 2
7:34.0,,,103-104,,Offensive rebound by W. Johnson
7:28.0,,,103-107,3,N. Young makes 3-pt shot from 24 ft (assist by R. Price)
7:16.0,T. Young enters the game for R. Hummel,,103-107,,
7:16.0,Jump ball: C. Brewer vs. N. Young,,,,Jump ball: C. Brewer vs. N. Young
7:14.0,Loose ball foul by C. Brewer (drawn by N. Young),,103-107,,
7:14.0,Turnover by C. Brewer (lost ball),,103-107,,
6:57.0,,,103-107,,R. Price misses 2-pt shot from 20 ft
6:55.0,Defensive rebound by G. Dieng,,103-107,,
6:47.0,C. Brewer makes 2-pt shot from 1 ft (assist by G. Dieng),2,105-107,,
6:35.0,,,105-109,2,W. Ellington makes 2-pt shot from 18 ft (assist by R. Price)
6:16.0,C. Brewer misses 2-pt shot from 1 ft (block by E. Davis),,105-109,,
6:13.0,,,105-109,,Defensive rebound by E. Davis
6:12.0,,,105-109,,Shooting foul by T. Young (drawn by N. Young)
6:12.0,,,105-110,1,N. Young makes free throw 1 of 2
6:12.0,A. Wiggins enters the game for C. Budinger,,105-110,,
6:12.0,,,105-110,,J. Lin enters the game for R. Price
6:12.0,,,105-110,,K. Bryant enters the game for W. Ellington
6:12.0,,,105-110,,J. Hill enters the game for E. Davis
6:12.0,,,105-111,1,N. Young makes free throw 2 of 2
5:54.0,G. Dieng makes 2-pt shot from 2 ft (assist by M. Williams),2,107-111,,
5:41.0,,,107-113,2,N. Young makes 2-pt shot at rim (assist by J. Lin)
5:20.0,M. Williams misses 2-pt shot from 19 ft,,107-113,,
5:19.0,,,107-113,,Defensive rebound by J. Hill
5:03.0,,,107-115,2,N. Young makes 2-pt shot at rim (assist by K. Bryant)
5:03.0,Minnesota full timeout,,107-115,,
5:03.0,Z. LaVine enters the game for C. Brewer,,107-115,,
4:46.0,Z. LaVine misses 2-pt shot from 16 ft,,107-115,,
4:44.0,Offensive rebound by G. Dieng,,107-115,,
4:43.0,Shooting foul by W. Johnson (drawn by G. Dieng),,107-115,,
4:43.0,G. Dieng makes free throw 1 of 2,1,108-115,,
4:43.0,G. Dieng makes free throw 2 of 2,1,109-115,,
4:35.0,,,109-115,,Offensive charge foul by J. Lin
4:35.0,,,109-115,,Turnover by J. Lin (offensive foul)
4:17.0,M. Williams makes 3-pt shot from 24 ft (assist by G. Dieng),3,112-115,,
3:55.0,,,112-115,,J. Lin misses 3-pt shot from 24 ft
3:53.0,,,112-115,,Offensive rebound by Team
3:45.0,,,112-115,,LA Lakers full timeout
3:45.0,,,112-115,,W. Ellington enters the game for J. Lin
3:34.0,,,112-115,,W. Ellington misses 3-pt shot from 23 ft
3:29.0,,,112-115,,Offensive rebound by W. Ellington
3:15.0,,,112-115,,N. Young misses 2-pt shot from 19 ft
3:09.0,Defensive rebound by T. Young,,112-115,,
