time,Phoenix,pts.away,score,pts.home,Detroit
7:38.0,,,6-8,2,B. Jennings makes 2-pt shot from 1 ft (assist by G. Monroe)
7:25.0,M. Morris misses 2-pt shot from 16 ft,,6-8,,
7:24.0,Offensive rebound by M. Plumlee,,6-8,,
7:24.0,,,6-8,,Loose ball foul by A. Drummond (drawn by M. Plumlee)
7:24.0,,,6-8,,C. Butler enters the game for A. Drummond
7:13.0,M. Morris misses 2-pt shot from 17 ft,,6-8,,
7:13.0,,,6-8,,Defensive rebound by Team
7:13.0,Loose ball foul by M. Plumlee (drawn by G. Monroe),,6-8,,
6:56.0,,,6-8,,Turnover by J. Smith (lost ball; steal by M. Morris)
6:51.0,G. Dragic makes 2-pt shot from 1 ft,2,8-8,,
6:36.0,,,8-8,,B. Jennings misses 2-pt shot from 13 ft
6:35.0,,,8-8,,Offensive rebound by G. Monroe
6:34.0,,,8-8,,G. Monroe misses 2-pt shot at rim
6:34.0,Defensive rebound by M. Plumlee,,8-8,,
6:27.0,Turnover by E. Bledsoe (lost ball; steal by K. Caldwell-Pope),,8-8,,
6:22.0,,,8-10,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by B. Jennings)
6:12.0,Shooting foul by K. Caldwell-Pope (drawn by E. Bledsoe),,8-10,,
6:12.0,E. Bledsoe misses free throw 1 of 2,,8-10,,
6:12.0,Offensive rebound by Team,,8-10,,
6:12.0,E. Bledsoe makes free throw 2 of 2,1,9-10,,
5:55.0,,,9-12,2,G. Monroe makes 2-pt shot at rim (assist by B. Jennings)
5:37.0,G. Dragic misses 3-pt shot from 22 ft,,9-12,,
5:36.0,,,9-12,,Defensive rebound by K. Caldwell-Pope
5:23.0,,,9-12,,J. Smith misses 2-pt shot from 5 ft (block by M. Morris)
5:22.0,Defensive rebound by G. Dragic,,9-12,,
5:16.0,M. Morris makes 2-pt shot at rim (assist by G. Dragic),2,11-12,,
5:02.0,,,11-14,2,G. Monroe makes 2-pt shot at rim (assist by J. Smith)
4:53.0,G. Dragic makes 2-pt shot at rim,2,13-14,,
4:46.0,,,13-14,,Detroit full timeout
4:46.0,A. Len enters the game for M. Morris,,13-14,,
4:46.0,P. Tucker enters the game for M. Plumlee,,13-14,,
4:29.0,,,13-14,,K. Caldwell-Pope misses 3-pt shot from 27 ft
4:27.0,Defensive rebound by M. Morris,,13-14,,
4:22.0,E. Bledsoe makes 2-pt shot at rim,2,15-14,,
4:06.0,Personal foul by G. Dragic (drawn by G. Monroe),,15-14,,
4:06.0,I. Thomas enters the game for G. Dragic,,15-14,,
3:52.0,,,15-14,,Turnover by Team (shot clock)
3:44.0,Shooting foul by K. Caldwell-Pope (drawn by E. Bledsoe),,15-14,,
3:44.0,E. Bledsoe misses free throw 1 of 2,,15-14,,
3:44.0,Offensive rebound by Team,,15-14,,
3:44.0,,,15-14,,S. Dinwiddie enters the game for K. Caldwell-Pope
3:44.0,E. Bledsoe makes free throw 2 of 2,1,16-14,,
3:29.0,,,16-14,,C. Butler misses 3-pt shot from 24 ft
3:28.0,Defensive rebound by A. Len,,16-14,,
3:18.0,M. Morris misses 3-pt shot from 25 ft,,16-14,,
3:17.0,,,16-14,,Defensive rebound by G. Monroe
3:06.0,,,16-14,,Shooting foul by A. Len (drawn by B. Jennings)
3:06.0,,,16-15,1,B. Jennings makes free throw 1 of 2
3:06.0,,,16-15,,B. Jennings misses free throw 2 of 2
3:06.0,,,16-15,,Offensive rebound by J. Smith
3:01.0,,,16-15,,Turnover by J. Smith (lost ball; steal by I. Thomas)
2:50.0,P. Tucker misses 3-pt shot from 25 ft,,16-15,,
2:49.0,,,16-15,,Defensive rebound by S. Dinwiddie
2:34.0,,,16-15,,S. Dinwiddie misses 3-pt shot from 26 ft
2:33.0,Defensive rebound by A. Len,,16-15,,
2:14.0,I. Thomas misses 2-pt shot from 9 ft,,16-15,,
2:11.0,,,16-15,,Defensive rebound by J. Smith
2:06.0,,,16-15,,B. Jennings misses 3-pt shot from 23 ft
2:05.0,,,16-15,,Offensive rebound by J. Smith
1:57.0,,,16-18,3,C. Butler makes 3-pt shot from 26 ft (assist by J. Smith)
1:48.0,Phoenix full timeout,,16-18,,
1:48.0,,,16-18,,D. Augustin enters the game for B. Jennings
1:48.0,,,16-18,,A. Drummond enters the game for G. Monroe
1:48.0,G. Green enters the game for M. Morris,,16-18,,
1:48.0,T. Warren enters the game for E. Bledsoe,,16-18,,
1:35.0,I. Thomas makes 3-pt shot from 26 ft,3,19-18,,
1:19.0,,,19-18,,Shooting foul by A. Len (drawn by A. Drummond)
1:19.0,,,19-18,,A. Drummond misses free throw 1 of 2
1:19.0,,,19-18,,Offensive rebound by Team
1:19.0,M. Plumlee enters the game for A. Len,,19-18,,
1:19.0,,,19-18,,A. Drummond misses free throw 2 of 2
1:18.0,Defensive rebound by P. Tucker,,19-18,,
1:08.0,Turnover by I. Thomas (lost ball; steal by D. Augustin),,19-18,,
0:58.0,,,19-18,,A. Drummond misses 2-pt shot at rim
0:57.0,Defensive rebound by P. Tucker,,19-18,,
0:42.0,T. Warren makes 2-pt shot at rim (assist by G. Green),2,21-18,,
0:29.0,Personal foul by P. Tucker (drawn by J. Smith),,21-18,,
0:29.0,,,21-18,,J. Smith misses free throw 1 of 2
0:29.0,,,21-18,,Offensive rebound by Team
0:29.0,,,21-19,1,J. Smith makes free throw 2 of 2
0:09.0,I. Thomas misses 2-pt shot from 6 ft,,21-19,,
0:08.0,,,21-19,,Defensive rebound by A. Drummond
0:07.0,,,21-19,,Turnover by A. Drummond (lost ball; steal by T. Warren)
0:01.0,G. Green misses 3-pt shot from 26 ft,,21-19,,
0:00.0,Offensive rebound by Team,,21-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Turnover by T. Warren (lost ball; steal by D. Augustin),,21-19,,
11:44.0,,,21-19,,D. Augustin misses 2-pt shot at rim (block by G. Green)
11:43.0,Defensive rebound by I. Thomas,,21-19,,
11:35.0,G. Green misses 2-pt shot from 17 ft,,21-19,,
11:34.0,,,21-19,,Defensive rebound by A. Drummond
11:14.0,,,21-19,,J. Jerebko misses 2-pt shot from 1 ft
11:13.0,,,21-19,,Offensive rebound by Team
11:05.0,,,21-19,,C. Butler misses 3-pt shot from 23 ft
11:02.0,Defensive rebound by I. Thomas,,21-19,,
10:56.0,T. Warren misses 2-pt shot from 3 ft,,21-19,,
10:55.0,,,21-19,,Defensive rebound by J. Jerebko
10:47.0,,,21-21,2,A. Drummond makes 2-pt shot at rim (assist by D. Augustin)
10:28.0,G. Green misses 3-pt shot from 23 ft,,21-21,,
10:28.0,Offensive rebound by Team,,21-21,,
10:28.0,,,21-21,,Loose ball foul by A. Drummond (drawn by M. Plumlee)
10:28.0,,,21-21,,G. Monroe enters the game for A. Drummond
10:19.0,G. Green makes 2-pt shot at rim (assist by I. Thomas),2,23-21,,
10:03.0,,,23-23,2,G. Monroe makes 2-pt shot from 6 ft
9:49.0,I. Thomas misses 2-pt shot from 2 ft (block by J. Jerebko),,23-23,,
9:47.0,,,23-23,,Defensive rebound by C. Butler
9:36.0,,,23-25,2,D. Augustin makes 2-pt shot at rim
9:09.0,Turnover by Team (shot clock),,23-25,,
8:57.0,,,23-25,,Turnover by D. Augustin (lost ball; steal by G. Green)
8:52.0,G. Green makes 2-pt shot at rim (assist by I. Thomas),2,25-25,,
8:28.0,,,25-25,,G. Monroe misses 2-pt shot from 4 ft
8:26.0,,,25-25,,Offensive rebound by J. Jerebko
8:21.0,,,25-25,,S. Dinwiddie misses 3-pt shot from 26 ft
8:20.0,Defensive rebound by M. Plumlee,,25-25,,
8:08.0,G. Green makes 2-pt shot from 11 ft,2,27-25,,
7:48.0,,,27-27,2,G. Monroe makes 2-pt shot at rim (assist by D. Augustin)
7:48.0,,,27-27,,Shooting foul by M. Plumlee (drawn by G. Monroe)
7:48.0,Official timeout,,27-27,,
7:48.0,,,27-27,,K. Caldwell-Pope enters the game for C. Butler
7:48.0,,,27-27,,K. Singler enters the game for S. Dinwiddie
7:48.0,G. Dragic enters the game for M. Plumlee,,27-27,,
7:48.0,M. Morris enters the game for T. Warren,,27-27,,
7:48.0,,,27-27,,G. Monroe misses free throw 1 of 1
7:46.0,Defensive rebound by M. Morris,,27-27,,
7:31.0,Shooting foul by J. Jerebko (drawn by P. Tucker),,27-27,,
7:31.0,P. Tucker makes free throw 1 of 2,1,28-27,,
7:31.0,P. Tucker makes free throw 2 of 2,1,29-27,,
7:16.0,,,29-29,2,K. Caldwell-Pope makes 2-pt shot from 17 ft
7:06.0,Turnover by I. Thomas (bad pass; steal by J. Jerebko),,29-29,,
6:52.0,,,29-29,,K. Caldwell-Pope misses 3-pt shot from 27 ft
6:51.0,Defensive rebound by I. Thomas,,29-29,,
6:41.0,G. Green misses 2-pt shot from 10 ft,,29-29,,
6:40.0,,,29-29,,Defensive rebound by G. Monroe
6:30.0,,,29-29,,D. Augustin misses 2-pt shot from 3 ft
6:29.0,Defensive rebound by P. Tucker,,29-29,,
6:23.0,I. Thomas misses 2-pt shot from 13 ft,,29-29,,
6:21.0,,,29-29,,Defensive rebound by G. Monroe
6:10.0,,,29-29,,Offensive charge foul by K. Caldwell-Pope
6:10.0,,,29-29,,Turnover by K. Caldwell-Pope (offensive foul)
6:10.0,E. Bledsoe enters the game for I. Thomas,,29-29,,
6:10.0,,,29-29,,B. Jennings enters the game for K. Caldwell-Pope
6:10.0,,,29-29,,Technical foul by K. Caldwell-Pope
6:10.0,Technical foul by M. Morris,,29-29,,
5:49.0,G. Green misses 2-pt shot from 4 ft,,29-29,,
5:48.0,Offensive rebound by P. Tucker,,29-29,,
5:47.0,E. Bledsoe misses 3-pt shot from 26 ft,,29-29,,
5:47.0,,,29-29,,Defensive rebound by Team
5:47.0,M. Morris enters the game for G. Green,,29-29,,
5:47.0,,,29-29,,Detroit full timeout
5:36.0,,,29-31,2,K. Singler makes 2-pt shot from 1 ft
5:09.0,P. Tucker makes 2-pt shot from 8 ft,2,31-31,,
4:53.0,,,31-31,,G. Monroe misses 2-pt shot from 1 ft
4:52.0,Defensive rebound by E. Bledsoe,,31-31,,
4:52.0,,,31-31,,Personal foul by G. Monroe (drawn by E. Bledsoe)
4:40.0,G. Dragic makes 2-pt shot at rim (assist by M. Morris),2,33-31,,
4:22.0,,,33-31,,G. Monroe misses 2-pt shot from 4 ft
4:21.0,Defensive rebound by E. Bledsoe,,33-31,,
4:11.0,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe),2,35-31,,
3:43.0,,,35-34,3,J. Jerebko makes 3-pt shot from 28 ft (assist by K. Singler)
3:23.0,P. Tucker makes 2-pt shot from 17 ft (assist by G. Dragic),2,37-34,,
3:04.0,,,37-34,,K. Singler misses 2-pt shot from 21 ft
3:04.0,Defensive rebound by G. Dragic,,37-34,,
2:53.0,M. Morris misses 2-pt shot from 14 ft,,37-34,,
2:52.0,,,37-34,,Defensive rebound by K. Singler
2:44.0,,,37-34,,Shooting foul by M. Morris (drawn by D. Augustin)
2:44.0,Phoenix full timeout,,37-34,,
2:44.0,,,37-34,,J. Smith enters the game for J. Jerebko
2:44.0,,,37-35,1,D. Augustin makes free throw 1 of 2
2:44.0,,,37-36,1,D. Augustin makes free throw 2 of 2
2:30.0,E. Bledsoe makes 2-pt shot from 7 ft,2,39-36,,
2:06.0,,,39-39,3,K. Singler makes 3-pt shot from 26 ft (assist by B. Jennings)
1:44.0,P. Tucker misses 3-pt shot from 26 ft,,39-39,,
1:43.0,,,39-39,,Defensive rebound by G. Monroe
1:25.0,,,39-39,,J. Smith misses 2-pt shot from 13 ft
1:24.0,Defensive rebound by P. Tucker,,39-39,,
1:13.0,P. Tucker makes 2-pt shot from 19 ft (assist by E. Bledsoe),2,41-39,,
0:59.0,,,41-41,2,D. Augustin makes 2-pt shot at rim (assist by J. Smith)
0:45.0,Turnover by M. Morris (traveling),,41-41,,
0:31.0,,,41-41,,D. Augustin misses 2-pt shot from 1 ft (block by E. Bledsoe)
0:30.0,,,41-41,,Offensive rebound by G. Monroe
0:30.0,,,41-43,2,G. Monroe makes 2-pt shot at rim
0:06.0,P. Tucker makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,44-43,,
0:02.0,Personal foul by E. Bledsoe (drawn by D. Augustin),,44-43,,
0:01.0,,,44-43,,Detroit full timeout
0:01.0,A. Len enters the game for M. Morris,,44-43,,
0:01.0,,,44-43,,B. Jennings misses 3-pt shot from 24 ft
0:00.0,,,44-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,Offensive foul by M. Plumlee,,44-43,,
11:51.0,Turnover by M. Plumlee (offensive foul),,44-43,,
11:34.0,,,44-43,,A. Drummond misses 2-pt shot at rim
11:33.0,,,44-43,,Offensive rebound by A. Drummond
11:31.0,,,44-43,,A. Drummond misses 2-pt shot at rim
11:30.0,Defensive rebound by Team,,44-43,,
11:09.0,G. Dragic makes 2-pt shot from 13 ft,2,46-43,,
10:55.0,,,46-43,,Turnover by A. Drummond (lost ball; steal by M. Morris)
10:46.0,Turnover by G. Dragic (bad pass; steal by K. Caldwell-Pope),,46-43,,
10:40.0,,,46-45,2,K. Caldwell-Pope makes 2-pt shot from 6 ft
10:23.0,M. Morris makes 2-pt shot from 17 ft,2,48-45,,
10:02.0,Personal foul by M. Morris (drawn by G. Monroe),,48-45,,
10:02.0,,,48-45,,C. Butler enters the game for A. Drummond
10:02.0,,,48-46,1,G. Monroe makes free throw 1 of 2
10:02.0,,,48-47,1,G. Monroe makes free throw 2 of 2
9:50.0,,,48-47,,Personal foul by C. Butler (drawn by M. Morris)
9:40.0,E. Bledsoe makes 2-pt shot at rim,2,50-47,,
9:18.0,,,50-47,,C. Butler misses 3-pt shot from 24 ft
9:14.0,Defensive rebound by E. Bledsoe,,50-47,,
9:06.0,M. Morris makes 3-pt shot from 24 ft (assist by M. Morris),3,53-47,,
8:53.0,,,53-49,2,B. Jennings makes 2-pt shot at rim
8:41.0,G. Dragic misses 2-pt shot from 16 ft,,53-49,,
8:41.0,,,53-49,,Defensive rebound by Team
8:20.0,Personal foul by M. Morris (drawn by J. Smith),,53-49,,
8:20.0,P. Tucker enters the game for M. Morris,,53-49,,
8:10.0,,,53-49,,C. Butler misses 2-pt shot from 14 ft
8:09.0,Defensive rebound by E. Bledsoe,,53-49,,
8:03.0,G. Dragic misses 2-pt shot from 9 ft,,53-49,,
8:02.0,,,53-49,,Defensive rebound by J. Smith
7:53.0,,,53-49,,B. Jennings misses 3-pt shot from 26 ft
7:52.0,Defensive rebound by M. Plumlee,,53-49,,
7:35.0,E. Bledsoe makes 2-pt shot from 9 ft,2,55-49,,
7:19.0,,,55-49,,G. Monroe misses 2-pt shot at rim
7:18.0,Defensive rebound by M. Plumlee,,55-49,,
7:08.0,M. Morris misses 2-pt shot from 13 ft,,55-49,,
7:07.0,,,55-49,,Defensive rebound by G. Monroe
7:03.0,,,55-49,,Turnover by G. Monroe (bad pass; steal by M. Morris)
6:54.0,E. Bledsoe misses 3-pt shot from 26 ft,,55-49,,
6:53.0,,,55-49,,Defensive rebound by G. Monroe
6:42.0,,,55-49,,B. Jennings misses 2-pt shot from 3 ft
6:41.0,Defensive rebound by M. Plumlee,,55-49,,
6:41.0,,,55-49,,Personal foul by B. Jennings (drawn by M. Plumlee)
6:41.0,,,55-49,,Technical foul by G. Monroe
6:41.0,E. Bledsoe makes technical free throw,1,56-49,,
6:41.0,,,56-49,,A. Drummond enters the game for G. Monroe
6:27.0,M. Plumlee makes 2-pt shot from 4 ft (assist by P. Tucker),2,58-49,,
6:14.0,,,58-51,2,J. Smith makes 2-pt shot at rim (assist by B. Jennings)
6:14.0,,,58-51,,Shooting foul by M. Plumlee (drawn by J. Smith)
6:14.0,A. Len enters the game for M. Plumlee,,58-51,,
6:14.0,,,58-51,,J. Smith misses free throw 1 of 1
6:14.0,Defensive rebound by P. Tucker,,58-51,,
6:00.0,M. Morris misses 3-pt shot from 25 ft,,58-51,,
5:59.0,,,58-51,,Defensive rebound by A. Drummond
5:49.0,,,58-51,,Turnover by B. Jennings (step out of bounds)
5:49.0,,,58-51,,Detroit full timeout
5:27.0,Offensive charge foul by A. Len,,58-51,,
5:27.0,Turnover by A. Len (offensive foul),,58-51,,
5:05.0,,,58-51,,J. Smith misses 2-pt shot from 4 ft
5:04.0,Defensive rebound by E. Bledsoe,,58-51,,
5:00.0,Turnover by E. Bledsoe (lost ball; steal by B. Jennings),,58-51,,
4:51.0,,,58-53,2,C. Butler makes 2-pt shot from 15 ft (assist by B. Jennings)
4:43.0,Turnover by G. Dragic (lost ball; steal by B. Jennings),,58-53,,
4:39.0,,,58-55,2,B. Jennings makes 2-pt shot at rim (assist by A. Drummond)
4:21.0,P. Tucker makes 3-pt shot from 26 ft (assist by G. Dragic),3,61-55,,
4:04.0,Personal foul by E. Bledsoe (drawn by A. Drummond),,61-55,,
4:04.0,,,61-55,,J. Jerebko enters the game for J. Smith
4:04.0,I. Thomas enters the game for E. Bledsoe,,61-55,,
3:48.0,,,61-57,2,B. Jennings makes 2-pt shot at rim
3:28.0,I. Thomas misses 2-pt shot from 16 ft,,61-57,,
3:27.0,,,61-57,,Defensive rebound by C. Butler
3:12.0,,,61-59,2,B. Jennings makes 2-pt shot from 1 ft
2:48.0,G. Dragic misses 2-pt shot from 11 ft,,61-59,,
2:47.0,,,61-59,,Defensive rebound by A. Drummond
2:40.0,Personal foul by P. Tucker (drawn by B. Jennings),,61-59,,
2:40.0,Phoenix full timeout,,61-59,,
2:40.0,G. Green enters the game for M. Morris,,61-59,,
2:40.0,,,61-60,1,B. Jennings makes free throw 1 of 2
2:40.0,,,61-61,1,B. Jennings makes free throw 2 of 2
2:16.0,A. Len makes 2-pt shot at rim (assist by G. Green),2,63-61,,
1:52.0,,,63-61,,K. Caldwell-Pope misses 2-pt shot from 9 ft
1:51.0,Defensive rebound by P. Tucker,,63-61,,
1:40.0,I. Thomas misses 2-pt shot from 23 ft,,63-61,,
1:38.0,,,63-61,,Defensive rebound by A. Drummond
1:22.0,,,63-61,,K. Caldwell-Pope misses 2-pt shot from 16 ft
1:21.0,,,63-61,,Offensive rebound by J. Jerebko
1:14.0,,,63-63,2,B. Jennings makes 2-pt shot at rim
1:14.0,,,63-63,,Shooting foul by A. Len (drawn by B. Jennings)
1:14.0,,,63-63,,S. Dinwiddie enters the game for K. Caldwell-Pope
1:14.0,,,63-64,1,B. Jennings makes free throw 1 of 1
0:56.0,G. Green misses 2-pt shot from 17 ft,,63-64,,
0:54.0,,,63-64,,Defensive rebound by A. Drummond
0:32.0,,,63-64,,S. Dinwiddie misses 2-pt shot from 4 ft
0:31.0,Defensive rebound by G. Green,,63-64,,
0:21.0,A. Len makes 2-pt shot from 16 ft (assist by G. Green),2,65-64,,
0:02.0,,,65-64,,C. Butler misses 3-pt shot from 25 ft
0:00.0,,,65-64,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,65-64,,Turnover by D. Augustin (lost ball)
11:22.0,G. Green makes 2-pt shot from 16 ft,2,67-64,,
11:17.0,,,67-64,,Turnover by S. Dinwiddie (bad pass; steal by A. Len)
11:06.0,A. Len makes 2-pt shot from 20 ft (assist by G. Green),2,69-64,,
10:46.0,,,69-64,,A. Drummond misses 2-pt shot from 5 ft
10:44.0,,,69-64,,Offensive rebound by J. Jerebko
10:43.0,,,69-66,2,J. Jerebko makes 2-pt shot at rim
10:21.0,E. Bledsoe misses 2-pt shot from 15 ft,,69-66,,
10:20.0,,,69-66,,Defensive rebound by J. Jerebko
9:58.0,,,69-66,,Turnover by A. Drummond (3 sec)
9:38.0,Shooting foul by S. Dinwiddie (drawn by E. Bledsoe),,69-66,,
9:38.0,E. Bledsoe makes free throw 1 of 2,1,70-66,,
9:38.0,E. Bledsoe makes free throw 2 of 2,1,71-66,,
9:22.0,,,71-68,2,J. Jerebko makes 2-pt shot from 17 ft (assist by S. Dinwiddie)
9:10.0,I. Thomas misses 2-pt shot from 6 ft,,71-68,,
9:10.0,Offensive rebound by A. Len,,71-68,,
9:10.0,,,71-68,,Loose ball foul by J. Jerebko (drawn by A. Len)
9:10.0,M. Plumlee enters the game for A. Len,,71-68,,
8:53.0,Turnover by G. Green (traveling),,71-68,,
8:53.0,Official timeout,,71-68,,
8:36.0,,,71-68,,A. Drummond misses 2-pt shot from 6 ft
8:35.0,Defensive rebound by M. Plumlee,,71-68,,
8:11.0,P. Tucker makes 2-pt shot from 15 ft,2,73-68,,
7:47.0,,,73-68,,J. Jerebko misses 2-pt shot at rim
7:46.0,Defensive rebound by M. Plumlee,,73-68,,
7:42.0,E. Bledsoe misses 2-pt shot from 4 ft,,73-68,,
7:38.0,Offensive rebound by G. Green,,73-68,,
7:37.0,G. Green misses 3-pt shot from 25 ft,,73-68,,
7:36.0,,,73-68,,Defensive rebound by D. Augustin
7:33.0,,,73-68,,Shooting foul by E. Bledsoe (drawn by S. Dinwiddie)
7:33.0,,,73-69,1,S. Dinwiddie makes free throw 1 of 2
7:33.0,M. Morris enters the game for P. Tucker,,73-69,,
7:33.0,,,73-69,,G. Monroe enters the game for J. Jerebko
7:33.0,,,73-70,1,S. Dinwiddie makes free throw 2 of 2
7:13.0,Shooting foul by G. Monroe (drawn by I. Thomas),,73-70,,
7:13.0,I. Thomas makes free throw 1 of 2,1,74-70,,
7:13.0,,,74-70,,K. Caldwell-Pope enters the game for S. Dinwiddie
7:13.0,I. Thomas makes free throw 2 of 2,1,75-70,,
6:52.0,,,75-70,,G. Monroe misses 2-pt shot from 5 ft
6:51.0,Defensive rebound by M. Plumlee,,75-70,,
6:42.0,I. Thomas misses 2-pt shot from 9 ft,,75-70,,
6:41.0,,,75-70,,Defensive rebound by G. Monroe
6:26.0,,,75-70,,Turnover by G. Monroe (bad pass; steal by E. Bledsoe)
6:21.0,E. Bledsoe makes 2-pt shot at rim (assist by M. Morris),2,77-70,,
6:19.0,,,77-70,,Detroit full timeout
6:19.0,,,77-70,,B. Jennings enters the game for D. Augustin
5:57.0,,,77-73,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by G. Monroe)
5:34.0,G. Green makes 2-pt shot from 16 ft,2,79-73,,
5:14.0,,,79-73,,B. Jennings misses 3-pt shot from 26 ft
5:13.0,Defensive rebound by Team,,79-73,,
4:49.0,M. Plumlee misses 2-pt shot from 5 ft,,79-73,,
4:48.0,,,79-73,,Defensive rebound by A. Drummond
4:38.0,,,79-75,2,G. Monroe makes 2-pt shot from 5 ft (assist by B. Jennings)
4:24.0,Offensive charge foul by M. Plumlee,,79-75,,
4:24.0,Turnover by M. Plumlee (offensive foul),,79-75,,
4:24.0,A. Len enters the game for M. Plumlee,,79-75,,
4:12.0,,,79-75,,G. Monroe misses 2-pt shot from 4 ft
4:10.0,Defensive rebound by A. Len,,79-75,,
3:54.0,G. Green makes 2-pt shot from 12 ft,2,81-75,,
3:35.0,,,81-75,,K. Caldwell-Pope misses 2-pt shot from 17 ft
3:34.0,Defensive rebound by G. Green,,81-75,,
3:24.0,,,81-75,,Personal foul by B. Jennings (drawn by I. Thomas)
3:24.0,,,81-75,,J. Jerebko enters the game for A. Drummond
3:24.0,G. Dragic enters the game for I. Thomas,,81-75,,
3:13.0,M. Morris makes 2-pt shot from 20 ft (assist by E. Bledsoe),2,83-75,,
3:13.0,,,83-75,,Detroit full timeout
2:56.0,,,83-75,,Shooting foul by G. Green (drawn by G. Monroe)
2:56.0,Phoenix full timeout,,83-75,,
2:56.0,,,83-75,,D. Augustin enters the game for K. Singler
2:56.0,,,83-76,1,G. Monroe makes free throw 1 of 2
2:56.0,,,83-77,1,G. Monroe makes free throw 2 of 2
2:34.0,M. Morris misses 2-pt shot from 12 ft,,83-77,,
2:33.0,,,83-77,,Defensive rebound by G. Monroe
2:25.0,,,83-77,,G. Monroe misses 2-pt shot from 6 ft
2:23.0,Defensive rebound by M. Morris,,83-77,,
2:21.0,Turnover by E. Bledsoe (traveling),,83-77,,
2:11.0,,,83-77,,B. Jennings misses 3-pt shot from 26 ft
2:10.0,Defensive rebound by Team,,83-77,,
1:52.0,G. Dragic makes 2-pt shot from 12 ft (assist by A. Len),2,85-77,,
1:42.0,,,85-80,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by B. Jennings)
1:22.0,Turnover by G. Green (lost ball; steal by K. Caldwell-Pope),,85-80,,
1:13.0,,,85-80,,K. Caldwell-Pope misses 3-pt shot from 26 ft
1:12.0,,,85-80,,Offensive rebound by G. Monroe
1:09.0,,,85-83,3,B. Jennings makes 3-pt shot from 25 ft (assist by G. Monroe)
1:09.0,Phoenix full timeout,,85-83,,
0:55.0,Turnover by A. Len (lost ball; steal by G. Monroe),,85-83,,
0:54.0,Personal foul by A. Len (drawn by G. Monroe),,85-83,,
