time,Milwaukee,pts.away,score,pts.home,Miami
5:22.0,B. Knight misses 2-pt shot from 1 ft,,15-12,,
5:21.0,,,15-12,,Defensive rebound by C. Bosh
5:11.0,,,15-12,,C. Bosh misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by L. Sanders,,15-12,,
5:05.0,Turnover by J. Dudley (bad pass; steal by C. Bosh),,15-12,,
5:03.0,,,15-12,,Shooting foul by L. Sanders (drawn by L. Deng)
5:03.0,,,15-12,,Miami full timeout
5:03.0,J. Henson enters the game for L. Sanders,,15-12,,
5:03.0,K. Middleton enters the game for J. Dudley,,15-12,,
5:03.0,,,15-13,1,L. Deng makes free throw 1 of 2
5:03.0,,,15-14,1,L. Deng makes free throw 2 of 2
4:44.0,Turnover by J. Henson (lost ball; steal by N. Cole),,15-14,,
4:34.0,,,15-14,,L. Deng misses 3-pt shot from 24 ft
4:33.0,Defensive rebound by B. Knight,,15-14,,
4:22.0,Turnover by J. Henson (bad pass; steal by N. Cole),,15-14,,
4:06.0,,,15-14,,N. Cole misses 2-pt shot from 2 ft
4:05.0,Defensive rebound by J. Parker,,15-14,,
3:55.0,J. Henson misses 2-pt shot from 4 ft,,15-14,,
3:54.0,,,15-14,,Defensive rebound by C. Bosh
3:34.0,,,15-17,3,J. Ennis makes 3-pt shot from 25 ft (assist by C. Bosh)
3:18.0,,,15-17,,Violation by C. Andersen (kicked ball)
3:18.0,,,15-17,,S. Napier enters the game for N. Cole
3:18.0,,,15-17,,M. Chalmers enters the game for C. Bosh
3:03.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,15-17,,
3:02.0,,,15-17,,Defensive rebound by C. Andersen
2:39.0,,,15-20,3,S. Napier makes 3-pt shot from 24 ft (assist by L. Deng)
2:32.0,Milwaukee full timeout,,15-20,,
2:32.0,O. Mayo enters the game for G. Antetokounmpo,,15-20,,
2:32.0,Z. Pachulia enters the game for J. Henson,,15-20,,
2:27.0,J. Parker makes 2-pt shot at rim (assist by Z. Pachulia),2,17-20,,
2:10.0,,,17-20,,Turnover by L. Deng (lost ball; steal by Z. Pachulia)
1:55.0,J. Parker misses 2-pt shot from 19 ft,,17-20,,
1:54.0,,,17-20,,Defensive rebound by S. Napier
1:38.0,,,17-22,2,S. Napier makes 2-pt shot from 1 ft
1:22.0,B. Knight misses 3-pt shot from 24 ft,,17-22,,
1:21.0,Offensive rebound by Z. Pachulia,,17-22,,
1:09.0,B. Knight makes 2-pt shot from 17 ft,2,19-22,,
0:50.0,,,19-22,,L. Deng misses 2-pt shot from 18 ft
0:49.0,,,19-22,,Offensive rebound by Team
0:49.0,Loose ball foul by K. Middleton (drawn by C. Andersen),,19-22,,
0:41.0,,,19-22,,Shooting foul by B. Knight (drawn by C. Andersen)
0:41.0,,,19-22,,C. Andersen misses free throw 1 of 2
0:41.0,,,19-22,,Offensive rebound by Team
0:41.0,J. Bayless enters the game for B. Knight,,19-22,,
0:41.0,,,19-22,,C. Andersen misses free throw 2 of 2
0:40.0,Defensive rebound by K. Middleton,,19-22,,
0:32.0,O. Mayo misses 3-pt shot from 25 ft,,19-22,,
0:31.0,,,19-22,,Defensive rebound by L. Deng
0:10.0,Personal foul by J. Bayless (drawn by S. Napier),,19-22,,
0:10.0,,,19-22,,S. Napier misses free throw 1 of 2
0:10.0,,,19-22,,Offensive rebound by Team
0:10.0,,,19-23,1,S. Napier makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,19-23,,Turnover by M. Chalmers (bad pass; steal by K. Middleton)
11:32.0,J. Bayless misses 3-pt shot from 23 ft,,19-23,,
11:31.0,,,19-23,,Defensive rebound by S. Napier
11:24.0,,,19-25,2,J. Ennis makes 2-pt shot from 1 ft (assist by M. Chalmers)
11:05.0,E. Ilyasova makes 2-pt shot at rim (assist by O. Mayo),2,21-25,,
10:51.0,,,21-27,2,S. Napier makes 2-pt shot from 1 ft
10:23.0,K. Middleton makes 2-pt shot from 21 ft,2,23-27,,
10:10.0,,,23-27,,C. Bosh misses 2-pt shot from 18 ft
10:09.0,Defensive rebound by Z. Pachulia,,23-27,,
9:55.0,,,23-27,,U. Haslem enters the game for C. Andersen
9:51.0,K. Middleton misses 2-pt shot from 18 ft,,23-27,,
9:50.0,,,23-27,,Defensive rebound by S. Napier
9:39.0,Violation by Z. Pachulia (kicked ball),,23-27,,
9:26.0,,,23-29,2,J. Ennis makes 2-pt shot from 17 ft (assist by C. Bosh)
9:10.0,E. Ilyasova misses 3-pt shot from 24 ft,,23-29,,
9:09.0,,,23-29,,Defensive rebound by Team
9:00.0,,,23-29,,Turnover by C. Bosh (bad pass)
8:49.0,O. Mayo makes 2-pt shot from 1 ft,2,25-29,,
8:49.0,Shooting foul by U. Haslem (drawn by O. Mayo),,25-29,,
8:49.0,Official timeout,,25-29,,
8:49.0,J. Dudley enters the game for K. Middleton,,25-29,,
8:49.0,O. Mayo misses free throw 1 of 1,,25-29,,
8:48.0,,,25-29,,Defensive rebound by J. Ennis
8:24.0,,,25-29,,C. Bosh misses 2-pt shot from 19 ft
8:23.0,Defensive rebound by Team,,25-29,,
8:08.0,Turnover by J. Bayless (bad pass; steal by J. Ennis),,25-29,,
8:00.0,Personal foul by E. Ilyasova (drawn by C. Bosh),,25-29,,
8:00.0,N. Wolters enters the game for J. Bayless,,25-29,,
7:49.0,,,25-31,2,U. Haslem makes 2-pt shot from 3 ft (assist by J. Ennis)
7:41.0,Offensive charge foul by Z. Pachulia,,25-31,,
7:41.0,Turnover by Z. Pachulia (offensive foul),,25-31,,
7:27.0,Personal foul by N. Wolters (drawn by S. Napier),,25-31,,
7:15.0,,,25-31,,J. Ennis misses 3-pt shot from 24 ft
7:14.0,Defensive rebound by Team,,25-31,,
7:06.0,,,25-31,,Personal foul by U. Haslem (drawn by Z. Pachulia)
7:06.0,,,25-31,,S. Williams enters the game for C. Bosh
7:02.0,Z. Pachulia makes 2-pt shot from 1 ft,2,27-31,,
6:48.0,,,27-31,,Turnover by U. Haslem (lost ball)
6:48.0,,,27-31,,L. Deng enters the game for J. Ennis
6:37.0,Z. Pachulia misses 2-pt shot from 17 ft,,27-31,,
6:36.0,,,27-31,,Defensive rebound by L. Deng
6:23.0,,,27-31,,U. Haslem misses 2-pt shot from 17 ft
6:22.0,Defensive rebound by N. Wolters,,27-31,,
6:16.0,Z. Pachulia misses 3-pt shot from 24 ft,,27-31,,
6:15.0,,,27-31,,Defensive rebound by S. Williams
6:09.0,,,27-34,3,L. Deng makes 3-pt shot from 22 ft (assist by S. Napier)
5:48.0,O. Mayo misses 3-pt shot from 24 ft,,27-34,,
5:47.0,,,27-34,,Defensive rebound by S. Williams
5:43.0,,,27-36,2,M. Chalmers makes 2-pt shot from 1 ft (assist by S. Williams)
5:43.0,,,27-36,,Shooting foul by J. Dudley (drawn by M. Chalmers)
5:43.0,,,27-36,,Miami full timeout
5:43.0,J. Parker enters the game for J. Dudley,,27-36,,
5:43.0,G. Antetokounmpo enters the game for O. Mayo,,27-36,,
5:43.0,B. Knight enters the game for Z. Pachulia,,27-36,,
5:43.0,L. Sanders enters the game for E. Ilyasova,,27-36,,
5:43.0,,,27-36,,M. Chalmers misses free throw 1 of 1
5:42.0,Defensive rebound by J. Parker,,27-36,,
5:22.0,L. Sanders misses 2-pt shot from 10 ft,,27-36,,
5:21.0,,,27-36,,Defensive rebound by U. Haslem
5:04.0,,,27-36,,L. Deng misses 2-pt shot from 2 ft
5:03.0,,,27-36,,Offensive rebound by S. Williams
4:51.0,,,27-38,2,M. Chalmers makes 2-pt shot from 16 ft
4:26.0,L. Sanders misses 2-pt shot from 8 ft,,27-38,,
4:25.0,Offensive rebound by Team,,27-38,,
4:25.0,,,27-38,,J. Ennis enters the game for M. Chalmers
4:23.0,Turnover by B. Knight (lost ball; steal by L. Deng),,27-38,,
4:17.0,,,27-38,,S. Williams misses 3-pt shot from 24 ft
4:16.0,,,27-38,,Offensive rebound by J. Ennis
4:03.0,,,27-38,,S. Williams misses 3-pt shot from 22 ft
4:02.0,Defensive rebound by N. Wolters,,27-38,,
3:59.0,G. Antetokounmpo makes 2-pt shot at rim (assist by B. Knight),2,29-38,,
3:56.0,,,29-38,,Turnover by S. Napier (bad pass)
3:42.0,J. Parker misses 2-pt shot from 9 ft,,29-38,,
3:41.0,,,29-38,,Defensive rebound by U. Haslem
3:24.0,,,29-38,,Turnover by U. Haslem (lost ball; steal by G. Antetokounmpo)
3:21.0,,,29-38,,Shooting block foul by S. Williams (drawn by G. Antetokounmpo)
3:21.0,G. Antetokounmpo makes free throw 1 of 2,1,30-38,,
3:21.0,,,30-38,,N. Cole enters the game for S. Napier
3:21.0,,,30-38,,C. Bosh enters the game for S. Williams
3:21.0,G. Antetokounmpo misses free throw 2 of 2,,30-38,,
3:20.0,,,30-38,,Defensive rebound by U. Haslem
2:57.0,,,30-38,,Shooting foul by L. Sanders (drawn by C. Bosh)
2:57.0,Milwaukee full timeout,,30-38,,
2:57.0,,,30-38,,C. Andersen enters the game for U. Haslem
2:57.0,Z. Pachulia enters the game for L. Sanders,,30-38,,
2:57.0,,,30-39,1,C. Bosh makes free throw 1 of 2
2:57.0,,,30-40,1,C. Bosh makes free throw 2 of 2
2:35.0,J. Parker misses 2-pt shot from 17 ft,,30-40,,
2:34.0,,,30-40,,Defensive rebound by N. Cole
2:13.0,,,30-42,2,L. Deng makes 2-pt shot at rim (assist by C. Bosh)
1:56.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,32-42,,
1:40.0,Personal foul by G. Antetokounmpo (drawn by L. Deng),,32-42,,
1:40.0,,,32-42,,L. Deng misses free throw 1 of 2
1:40.0,,,32-42,,Offensive rebound by Team
1:40.0,,,32-42,,M. Chalmers enters the game for J. Ennis
1:40.0,,,32-43,1,L. Deng makes free throw 2 of 2
1:29.0,J. Parker makes 2-pt shot from 2 ft,2,34-43,,
1:04.0,,,34-43,,C. Bosh misses 3-pt shot from 23 ft
1:03.0,Defensive rebound by N. Wolters,,34-43,,
0:55.0,B. Knight misses 2-pt shot from 21 ft,,34-43,,
0:54.0,,,34-43,,Defensive rebound by L. Deng
0:37.0,,,34-43,,M. Chalmers misses 2-pt shot from 5 ft
0:36.0,Defensive rebound by Z. Pachulia,,34-43,,
0:35.0,,,34-43,,Personal foul by M. Chalmers (drawn by Z. Pachulia)
0:26.0,Z. Pachulia makes 2-pt shot at rim (assist by G. Antetokounmpo),2,36-43,,
0:21.0,,,36-43,,Miami full timeout
0:21.0,,,36-43,,J. Ennis enters the game for C. Andersen
0:07.0,,,36-45,2,M. Chalmers makes 2-pt shot from 2 ft
0:07.0,,,36-45,,Shooting foul by G. Antetokounmpo (drawn by M. Chalmers)
0:07.0,,,36-46,1,M. Chalmers makes free throw 1 of 1
0:02.0,G. Antetokounmpo makes 2-pt shot at rim,2,38-46,,
0:02.0,,,38-46,,Turnover by C. Bosh (bad pass; steal by N. Wolters)
0:01.0,N. Wolters misses 2-pt shot from 19 ft,,38-46,,
0:00.0,Offensive rebound by Team,,38-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,38-46,,C. Bosh misses 2-pt shot from 19 ft
11:46.0,Defensive rebound by G. Antetokounmpo,,38-46,,
11:30.0,Shooting foul by C. Bosh (drawn by J. Parker),,38-46,,
11:30.0,J. Parker makes free throw 1 of 2,1,39-46,,
11:30.0,J. Parker misses free throw 2 of 2,,39-46,,
11:29.0,,,39-46,,Defensive rebound by S. Williams
11:11.0,,,39-46,,Turnover by N. Cole (bad pass; steal by K. Middleton)
11:05.0,Turnover by B. Knight (bad pass; steal by M. Chalmers),,39-46,,
11:00.0,,,39-46,,Turnover by M. Chalmers (bad pass; steal by J. Parker)
10:57.0,L. Sanders makes 2-pt shot from 1 ft (assist by J. Parker),2,41-46,,
10:38.0,,,41-46,,M. Chalmers misses 2-pt shot from 2 ft
10:37.0,Defensive rebound by J. Parker,,41-46,,
10:32.0,J. Parker misses 2-pt shot from 3 ft (block by C. Bosh),,41-46,,
10:30.0,,,41-46,,Defensive rebound by L. Deng
10:20.0,,,41-49,3,M. Chalmers makes 3-pt shot from 24 ft (assist by N. Cole)
10:01.0,K. Middleton makes 2-pt shot from 14 ft,2,43-49,,
9:43.0,,,43-49,,N. Cole misses 2-pt shot from 19 ft
9:42.0,Defensive rebound by L. Sanders,,43-49,,
9:27.0,L. Sanders makes 2-pt shot from 4 ft,2,45-49,,
9:27.0,,,45-49,,Miami full timeout
9:06.0,,,45-49,,L. Deng misses 3-pt shot from 23 ft
9:05.0,Defensive rebound by B. Knight,,45-49,,
8:52.0,Turnover by G. Antetokounmpo (bad pass; steal by L. Deng),,45-49,,
8:39.0,,,45-49,,C. Bosh misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by G. Antetokounmpo,,45-49,,
8:30.0,K. Middleton misses 3-pt shot from 22 ft,,45-49,,
8:29.0,,,45-49,,Defensive rebound by C. Bosh
8:05.0,,,45-49,,C. Bosh misses 2-pt shot from 15 ft
8:04.0,Defensive rebound by J. Parker,,45-49,,
7:59.0,,,45-49,,Personal foul by M. Chalmers (drawn by J. Parker)
7:53.0,Shooting foul by L. Deng (drawn by L. Sanders),,45-49,,
7:53.0,L. Sanders misses free throw 1 of 2,,45-49,,
7:53.0,Offensive rebound by Team,,45-49,,
7:53.0,L. Sanders misses free throw 2 of 2,,45-49,,
7:53.0,Offensive rebound by Team,,45-49,,
7:49.0,L. Sanders misses 2-pt shot at rim (block by C. Bosh),,45-49,,
7:48.0,,,45-49,,Defensive rebound by M. Chalmers
7:27.0,,,45-49,,N. Cole misses 2-pt shot from 1 ft (block by K. Middleton)
7:26.0,,,45-49,,Offensive rebound by L. Deng
7:22.0,,,45-49,,L. Deng misses 2-pt shot at rim
7:21.0,Defensive rebound by L. Sanders,,45-49,,
7:20.0,,,45-49,,Violation by S. Williams (def goaltending)
7:20.0,B. Knight makes 2-pt shot from 1 ft,2,47-49,,
7:08.0,,,47-49,,Turnover by M. Chalmers (bad pass)
6:50.0,K. Middleton makes 3-pt shot from 24 ft (assist by B. Knight),3,50-49,,
6:31.0,,,50-52,3,N. Cole makes 3-pt shot from 24 ft (assist by L. Deng)
6:09.0,Turnover by B. Knight (discontinued dribble),,50-52,,
6:09.0,,,50-52,,C. Andersen enters the game for S. Williams
6:09.0,,,50-52,,J. Ennis enters the game for M. Chalmers
5:50.0,,,50-52,,Turnover by C. Andersen (bad pass; steal by G. Antetokounmpo)
5:43.0,K. Middleton misses 2-pt shot from 1 ft (block by C. Andersen),,50-52,,
5:42.0,,,50-52,,Defensive rebound by C. Andersen
5:36.0,,,50-52,,L. Deng misses 2-pt shot from 1 ft
5:35.0,Defensive rebound by J. Parker,,50-52,,
5:25.0,L. Sanders makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,52-52,,
5:25.0,Shooting foul by C. Andersen (drawn by L. Sanders),,52-52,,
5:25.0,L. Sanders makes free throw 1 of 1,1,53-52,,
5:07.0,,,53-52,,C. Bosh misses 2-pt shot from 17 ft
5:06.0,Defensive rebound by B. Knight,,53-52,,
4:56.0,Turnover by K. Middleton (bad pass; steal by L. Deng),,53-52,,
4:50.0,,,53-52,,Turnover by L. Deng (bad pass; steal by K. Middleton)
4:50.0,,,53-52,,Personal foul by L. Deng (drawn by B. Knight)
4:50.0,B. Knight makes free throw 1 of 2,1,54-52,,
4:50.0,,,54-52,,S. Napier enters the game for N. Cole
4:50.0,B. Knight makes free throw 2 of 2,1,55-52,,
4:43.0,Personal foul by B. Knight (drawn by S. Napier),,55-52,,
4:36.0,,,55-52,,J. Ennis misses 2-pt shot from 1 ft
4:35.0,Defensive rebound by K. Middleton,,55-52,,
4:27.0,K. Middleton misses 3-pt shot from 23 ft,,55-52,,
4:27.0,,,55-52,,Defensive rebound by Team
4:27.0,Loose ball foul by L. Sanders (drawn by C. Andersen),,55-52,,
4:27.0,Z. Pachulia enters the game for L. Sanders,,55-52,,
4:07.0,,,55-52,,C. Bosh misses 2-pt shot from 14 ft
4:06.0,,,55-52,,Offensive rebound by C. Andersen
3:54.0,,,55-52,,Turnover by S. Napier (lost ball; steal by B. Knight)
3:51.0,,,55-52,,Violation by C. Andersen (def goaltending)
3:51.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by B. Knight),2,57-52,,
3:27.0,,,57-52,,Shooting foul by K. Middleton (drawn by C. Bosh)
3:27.0,,,57-53,1,C. Bosh makes free throw 1 of 2
3:27.0,,,57-53,,M. Chalmers enters the game for L. Deng
3:27.0,,,57-54,1,C. Bosh makes free throw 2 of 2
3:21.0,,,57-54,,Violation by C. Andersen (def goaltending)
3:21.0,B. Knight makes 2-pt shot from 1 ft,2,59-54,,
3:08.0,Personal foul by K. Middleton (drawn by M. Chalmers),,59-54,,
2:52.0,,,59-54,,C. Bosh misses 2-pt shot at rim
2:51.0,Defensive rebound by Z. Pachulia,,59-54,,
2:38.0,Turnover by G. Antetokounmpo (traveling),,59-54,,
2:38.0,Milwaukee full timeout,,59-54,,
2:38.0,O. Mayo enters the game for J. Parker,,59-54,,
2:23.0,,,59-56,2,M. Chalmers makes 2-pt shot from 16 ft
2:06.0,G. Antetokounmpo misses 2-pt shot from 11 ft,,59-56,,
2:05.0,,,59-56,,Defensive rebound by J. Ennis
1:45.0,,,59-59,3,C. Bosh makes 3-pt shot from 25 ft (assist by J. Ennis)
1:33.0,B. Knight misses 2-pt shot from 1 ft (block by C. Bosh),,59-59,,
1:32.0,,,59-59,,Defensive rebound by S. Napier
1:23.0,,,59-59,,C. Bosh misses 2-pt shot at rim
1:22.0,Defensive rebound by G. Antetokounmpo,,59-59,,
1:11.0,O. Mayo makes 2-pt shot from 8 ft,2,61-59,,
0:44.0,,,61-59,,Turnover by C. Andersen (bad pass; steal by O. Mayo)
0:36.0,B. Knight misses 3-pt shot from 24 ft,,61-59,,
0:35.0,Offensive rebound by G. Antetokounmpo,,61-59,,
0:33.0,Turnover by G. Antetokounmpo (lost ball; steal by C. Andersen),,61-59,,
0:13.0,,,61-59,,M. Chalmers misses 2-pt shot from 8 ft
0:11.0,Defensive rebound by B. Knight,,61-59,,
0:02.0,Shooting foul by M. Chalmers (drawn by K. Middleton),,61-59,,
0:02.0,K. Middleton makes free throw 1 of 3,1,62-59,,
0:02.0,K. Middleton makes free throw 2 of 3,1,63-59,,
0:02.0,J. Bayless enters the game for B. Knight,,63-59,,
0:02.0,E. Ilyasova enters the game for G. Antetokounmpo,,63-59,,
0:02.0,K. Middleton makes free throw 3 of 3,1,64-59,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Turnover by O. Mayo (bad pass),,64-59,,
11:26.0,,,64-59,,Shooting foul by E. Ilyasova (drawn by C. Andersen)
11:26.0,,,64-59,,C. Andersen misses free throw 1 of 2
11:26.0,,,64-59,,Offensive rebound by Team
11:26.0,,,64-60,1,C. Andersen makes free throw 2 of 2
11:04.0,O. Mayo makes 2-pt shot from 11 ft,2,66-60,,
10:48.0,,,66-63,3,S. Williams makes 3-pt shot from 24 ft (assist by M. Chalmers)
10:29.0,Z. Pachulia makes 2-pt shot from 12 ft,2,68-63,,
10:29.0,Shooting foul by C. Andersen (drawn by Z. Pachulia),,68-63,,
10:29.0,Z. Pachulia makes free throw 1 of 1,1,69-63,,
10:14.0,,,69-65,2,S. Napier makes 2-pt shot from 18 ft
10:04.0,N. Wolters makes 2-pt shot from 1 ft,2,71-65,,
10:04.0,Shooting foul by J. Ennis (drawn by N. Wolters),,71-65,,
10:04.0,,,71-65,,U. Haslem enters the game for C. Andersen
10:04.0,N. Wolters makes free throw 1 of 1,1,72-65,,
9:46.0,,,72-65,,S. Napier misses 3-pt shot from 24 ft
9:45.0,Defensive rebound by E. Ilyasova,,72-65,,
9:35.0,O. Mayo makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,74-65,,
9:34.0,,,74-65,,Miami full timeout
9:34.0,,,74-65,,L. Deng enters the game for J. Ennis
9:34.0,,,74-65,,C. Bosh enters the game for U. Haslem
9:14.0,Personal foul by J. Bayless (drawn by S. Napier),,74-65,,
8:58.0,,,74-65,,M. Chalmers misses 2-pt shot from 20 ft
8:57.0,Defensive rebound by O. Mayo,,74-65,,
8:49.0,,,74-65,,Personal foul by M. Chalmers (drawn by N. Wolters)
8:40.0,Z. Pachulia makes 2-pt shot from 13 ft (assist by O. Mayo),2,76-65,,
8:39.0,Violation by Team (delay of game),,76-65,,
8:35.0,Personal foul by N. Wolters (drawn by M. Chalmers),,76-65,,
8:14.0,,,76-68,3,S. Williams makes 3-pt shot from 24 ft (assist by M. Chalmers)
7:57.0,Offensive foul by Z. Pachulia,,76-68,,
7:57.0,Turnover by Z. Pachulia (offensive foul),,76-68,,
7:50.0,,,76-68,,Shooting foul by Z. Pachulia (drawn by C. Bosh)
7:50.0,,,76-68,,C. Bosh misses free throw 1 of 2
7:50.0,,,76-68,,Offensive rebound by Team
7:50.0,,,76-68,,C. Bosh misses free throw 2 of 2
7:49.0,Defensive rebound by O. Mayo,,76-68,,
7:25.0,Z. Pachulia misses 2-pt shot from 18 ft,,76-68,,
7:24.0,,,76-68,,Defensive rebound by S. Napier
7:14.0,,,76-68,,M. Chalmers misses 2-pt shot from 10 ft
7:13.0,Defensive rebound by E. Ilyasova,,76-68,,
7:05.0,J. Bayless misses 2-pt shot from 20 ft,,76-68,,
7:04.0,Offensive rebound by Team,,76-68,,
7:04.0,,,76-68,,Loose ball foul by L. Deng (drawn by Z. Pachulia)
6:50.0,O. Mayo misses 3-pt shot from 23 ft,,76-68,,
6:49.0,,,76-68,,Defensive rebound by S. Williams
6:38.0,,,76-70,2,S. Williams makes 2-pt shot from 1 ft
6:22.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by O. Mayo),2,78-70,,
6:07.0,,,78-70,,M. Chalmers misses 2-pt shot from 1 ft
6:06.0,Defensive rebound by Team,,78-70,,
5:59.0,,,78-70,,Personal foul by M. Chalmers (drawn by N. Wolters)
5:59.0,Official timeout,,78-70,,
5:59.0,,,78-70,,N. Cole enters the game for M. Chalmers
5:59.0,J. Parker enters the game for E. Ilyasova,,78-70,,
5:59.0,N. Wolters misses free throw 1 of 2,,78-70,,
5:59.0,Offensive rebound by Team,,78-70,,
5:59.0,N. Wolters misses free throw 2 of 2,,78-70,,
5:58.0,,,78-70,,Defensive rebound by S. Williams
5:39.0,,,78-70,,C. Bosh misses 3-pt shot from 24 ft
5:38.0,Defensive rebound by J. Parker,,78-70,,
5:24.0,O. Mayo misses 2-pt shot from 19 ft,,78-70,,
5:23.0,,,78-70,,Defensive rebound by S. Williams
5:14.0,,,78-70,,Shooting foul by O. Mayo (drawn by C. Bosh)
5:14.0,,,78-70,,C. Bosh misses free throw 1 of 2
5:14.0,,,78-70,,Offensive rebound by Team
5:14.0,B. Knight enters the game for N. Wolters,,78-70,,
5:14.0,G. Antetokounmpo enters the game for O. Mayo,,78-70,,
5:14.0,,,78-71,1,C. Bosh makes free throw 2 of 2
4:56.0,J. Bayless misses 3-pt shot from 25 ft,,78-71,,
4:55.0,Offensive rebound by Z. Pachulia,,78-71,,
4:51.0,J. Parker misses 3-pt shot from 25 ft,,78-71,,
4:50.0,,,78-71,,Defensive rebound by N. Cole
4:40.0,,,78-71,,Turnover by N. Cole (lost ball; steal by J. Parker)
4:34.0,J. Parker misses 2-pt shot from 10 ft,,78-71,,
4:33.0,,,78-71,,Defensive rebound by C. Bosh
4:16.0,,,78-71,,Turnover by S. Napier (lost ball)
3:53.0,Z. Pachulia misses 2-pt shot from 11 ft,,78-71,,
3:51.0,,,78-71,,Defensive rebound by S. Williams
3:41.0,,,78-74,3,S. Williams makes 3-pt shot from 24 ft (assist by N. Cole)
3:18.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by C. Bosh),,78-74,,
3:17.0,Offensive rebound by J. Bayless,,78-74,,
3:12.0,B. Knight makes 3-pt shot from 24 ft (assist by J. Bayless),3,81-74,,
2:56.0,Violation by Z. Pachulia (kicked ball),,81-74,,
2:56.0,Milwaukee full timeout,,81-74,,
2:56.0,,,81-74,,M. Chalmers enters the game for S. Napier
2:56.0,L. Sanders enters the game for Z. Pachulia,,81-74,,
2:40.0,,,81-77,3,N. Cole makes 3-pt shot from 25 ft (assist by M. Chalmers)
2:18.0,B. Knight makes 3-pt shot from 23 ft,3,84-77,,
