time,Portland,pts.away,score,pts.home,Chicago
8:40.0,,,30-37,3,A. Brooks makes 3-pt shot from 25 ft (assist by K. Hinrich)
8:21.0,Turnover by D. Lillard (bad pass; steal by K. Hinrich),,30-37,,
8:16.0,,,30-37,,N. Mirotic misses 2-pt shot from 1 ft
8:14.0,,,30-37,,Offensive rebound by T. Gibson
8:14.0,,,30-37,,T. Gibson misses 2-pt shot from 2 ft (block by C. Kaman)
8:12.0,,,30-37,,Offensive rebound by A. Brooks
8:00.0,,,30-37,,T. Gibson misses 2-pt shot at rim
7:58.0,,,30-37,,Offensive rebound by N. Mirotic
7:58.0,,,30-37,,N. Mirotic misses 2-pt shot from 2 ft
7:57.0,,,30-37,,Offensive rebound by Team
7:57.0,R. Lopez enters the game for C. Kaman,,30-37,,
7:54.0,,,30-40,3,N. Mirotic makes 3-pt shot from 24 ft (assist by K. Hinrich)
7:37.0,D. Lillard misses 2-pt shot from 21 ft,,30-40,,
7:35.0,Offensive rebound by M. Leonard,,30-40,,
7:32.0,D. Lillard makes 3-pt shot from 22 ft (assist by M. Leonard),3,33-40,,
7:18.0,,,33-40,,Shooting foul by D. Lillard (drawn by N. Mirotic)
7:18.0,,,33-41,1,N. Mirotic makes free throw 1 of 2
7:18.0,L. Aldridge enters the game for M. Leonard,,33-41,,
7:18.0,,,33-42,1,N. Mirotic makes free throw 2 of 2
7:01.0,D. Lillard misses 2-pt shot from 16 ft,,33-42,,
7:00.0,,,33-42,,Defensive rebound by T. Gibson
6:53.0,,,33-44,2,K. Hinrich makes 2-pt shot from 19 ft
6:52.0,Portland full timeout,,33-44,,
6:52.0,,,33-44,,D. Rose enters the game for A. Brooks
6:37.0,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Lillard),2,35-44,,
6:19.0,,,35-44,,T. Gibson misses 2-pt shot from 2 ft
6:18.0,Defensive rebound by L. Aldridge,,35-44,,
6:09.0,L. Aldridge misses 2-pt shot from 20 ft,,35-44,,
6:08.0,,,35-44,,Defensive rebound by N. Mirotic
5:55.0,,,35-44,,D. Rose misses 2-pt shot from 18 ft
5:54.0,Defensive rebound by N. Batum,,35-44,,
5:44.0,N. Batum misses 2-pt shot from 20 ft,,35-44,,
5:42.0,,,35-44,,Defensive rebound by M. Dunleavy
5:39.0,,,35-46,2,N. Mirotic makes 2-pt shot from 1 ft (assist by D. Rose)
5:23.0,R. Lopez makes 2-pt shot from 1 ft (assist by A. Crabbe),2,37-46,,
5:06.0,,,37-46,,Shooting foul by R. Lopez (drawn by T. Gibson)
5:06.0,,,37-46,,Chicago full timeout
5:06.0,,,37-46,,P. Gasol enters the game for N. Mirotic
5:06.0,W. Matthews enters the game for A. Crabbe,,37-46,,
5:06.0,,,37-47,1,T. Gibson makes free throw 1 of 2
5:06.0,,,37-48,1,T. Gibson makes free throw 2 of 2
4:50.0,,,37-48,,Personal foul by T. Gibson (drawn by L. Aldridge)
4:50.0,,,37-48,,J. Butler enters the game for K. Hinrich
4:42.0,Shooting foul by P. Gasol (drawn by L. Aldridge),,37-48,,
4:42.0,L. Aldridge makes free throw 1 of 2,1,38-48,,
4:42.0,L. Aldridge makes free throw 2 of 2,1,39-48,,
4:26.0,,,39-50,2,D. Rose makes 2-pt shot from 2 ft
4:07.0,D. Lillard makes 2-pt shot from 2 ft (assist by N. Batum),2,41-50,,
3:47.0,,,41-50,,J. Butler misses 2-pt shot from 21 ft
3:46.0,,,41-50,,Offensive rebound by P. Gasol
3:45.0,,,41-52,2,J. Butler makes 2-pt shot from 1 ft (assist by P. Gasol)
3:45.0,,,41-52,,Shooting foul by L. Aldridge (drawn by J. Butler)
3:45.0,,,41-53,1,J. Butler makes free throw 1 of 1
3:22.0,N. Batum misses 2-pt shot from 17 ft,,41-53,,
3:20.0,,,41-53,,Defensive rebound by J. Butler
3:08.0,,,41-53,,D. Rose misses 3-pt shot from 25 ft
3:07.0,Defensive rebound by W. Matthews,,41-53,,
2:55.0,W. Matthews makes 2-pt shot from 14 ft,2,43-53,,
2:29.0,,,43-53,,D. Rose misses 2-pt shot from 5 ft
2:27.0,,,43-53,,Offensive rebound by Team
2:27.0,,,43-53,,Chicago full timeout
2:22.0,Personal foul by R. Lopez (drawn by P. Gasol),,43-53,,
2:22.0,,,43-53,,P. Gasol misses free throw 1 of 2
2:22.0,,,43-53,,Offensive rebound by Team
2:22.0,C. Kaman enters the game for R. Lopez,,43-53,,
2:22.0,,,43-53,,P. Gasol misses free throw 2 of 2
2:20.0,Defensive rebound by L. Aldridge,,43-53,,
2:04.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Lillard),3,46-53,,
1:45.0,,,46-55,2,D. Rose makes 2-pt shot from 6 ft
1:32.0,D. Lillard makes 2-pt shot from 2 ft,2,48-55,,
1:26.0,,,48-55,,Turnover by D. Rose (lost ball)
1:14.0,L. Aldridge misses 2-pt shot from 18 ft,,48-55,,
1:13.0,,,48-55,,Defensive rebound by T. Gibson
0:54.0,,,48-57,2,J. Butler makes 2-pt shot from 6 ft
0:35.0,D. Lillard makes 3-pt shot from 24 ft,3,51-57,,
0:22.0,,,51-59,2,P. Gasol makes 2-pt shot from 5 ft (assist by D. Rose)
0:03.0,L. Aldridge misses 2-pt shot from 17 ft,,51-59,,
0:01.0,,,51-59,,Defensive rebound by M. Dunleavy
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,L. Aldridge makes 2-pt shot from 8 ft,2,53-59,,
11:21.0,,,53-61,2,J. Butler makes 2-pt shot from 9 ft (assist by P. Gasol)
11:07.0,N. Batum misses 2-pt shot from 21 ft,,53-61,,
11:06.0,,,53-61,,Defensive rebound by J. Butler
10:56.0,,,53-63,2,D. Rose makes 2-pt shot from 12 ft
10:31.0,W. Matthews misses 3-pt shot from 25 ft,,53-63,,
10:29.0,Offensive rebound by N. Batum,,53-63,,
10:21.0,L. Aldridge misses 2-pt shot from 22 ft,,53-63,,
10:20.0,,,53-63,,Defensive rebound by D. Rose
10:15.0,,,53-65,2,D. Rose makes 2-pt shot from 1 ft
10:01.0,L. Aldridge makes 2-pt shot from 2 ft (assist by D. Lillard),2,55-65,,
9:39.0,,,55-67,2,P. Gasol makes 2-pt shot from 11 ft
9:20.0,N. Batum makes 2-pt shot from 21 ft (assist by R. Lopez),2,57-67,,
8:59.0,,,57-67,,J. Butler misses 2-pt shot from 6 ft
8:57.0,Defensive rebound by D. Lillard,,57-67,,
8:47.0,L. Aldridge makes 2-pt shot from 15 ft,2,59-67,,
8:29.0,,,59-67,,D. Rose misses 2-pt shot from 10 ft
8:28.0,Defensive rebound by R. Lopez,,59-67,,
8:16.0,R. Lopez misses 2-pt shot from 9 ft,,59-67,,
8:15.0,,,59-67,,Defensive rebound by D. Rose
8:11.0,,,59-67,,Shooting foul by L. Aldridge (drawn by T. Gibson)
8:11.0,,,59-67,,T. Gibson misses free throw 1 of 2
8:11.0,,,59-67,,Offensive rebound by Team
8:11.0,,,59-67,,T. Gibson misses free throw 2 of 2
8:10.0,Defensive rebound by L. Aldridge,,59-67,,
8:03.0,Turnover by D. Lillard (lost ball),,59-67,,
7:49.0,,,59-67,,Turnover by M. Dunleavy (bad pass; steal by R. Lopez)
7:45.0,Shooting foul by D. Rose (drawn by D. Lillard),,59-67,,
7:45.0,D. Lillard makes free throw 1 of 2,1,60-67,,
7:45.0,D. Lillard makes free throw 2 of 2,1,61-67,,
7:36.0,,,61-67,,D. Rose misses 2-pt shot from 2 ft (block by L. Aldridge)
7:36.0,,,61-67,,Offensive rebound by Team
7:23.0,,,61-67,,M. Dunleavy misses 3-pt shot from 23 ft
7:22.0,Defensive rebound by L. Aldridge,,61-67,,
7:09.0,L. Aldridge makes 2-pt shot from 9 ft,2,63-67,,
6:50.0,,,63-67,,T. Gibson misses 2-pt shot from 8 ft (block by L. Aldridge)
6:50.0,,,63-67,,Offensive rebound by Team
6:46.0,,,63-67,,J. Butler misses 2-pt shot from 17 ft
6:45.0,Defensive rebound by N. Batum,,63-67,,
6:37.0,N. Batum makes 2-pt shot from 19 ft,2,65-67,,
6:16.0,,,65-69,2,M. Dunleavy makes 2-pt shot from 20 ft (assist by D. Rose)
6:04.0,D. Lillard makes 2-pt shot from 1 ft,2,67-69,,
5:59.0,,,67-69,,Offensive charge foul by D. Rose
5:59.0,,,67-69,,Turnover by D. Rose (offensive foul)
5:59.0,,,67-69,,Chicago full timeout
5:46.0,L. Aldridge misses 2-pt shot from 13 ft,,67-69,,
5:45.0,,,67-69,,Defensive rebound by P. Gasol
5:24.0,,,67-69,,D. Rose misses 2-pt shot from 2 ft
5:23.0,,,67-69,,Offensive rebound by T. Gibson
5:21.0,,,67-71,2,D. Rose makes 2-pt shot from 1 ft (assist by P. Gasol)
5:00.0,W. Matthews misses 2-pt shot from 1 ft (block by J. Butler),,67-71,,
4:58.0,,,67-71,,Defensive rebound by P. Gasol
4:53.0,,,67-74,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by P. Gasol)
4:35.0,N. Batum makes 3-pt shot from 25 ft (assist by D. Lillard),3,70-74,,
4:07.0,,,70-76,2,P. Gasol makes 2-pt shot from 19 ft (assist by M. Dunleavy)
3:50.0,L. Aldridge misses 2-pt shot from 17 ft,,70-76,,
3:50.0,Offensive rebound by R. Lopez,,70-76,,
3:50.0,,,70-76,,Personal foul by M. Dunleavy (drawn by R. Lopez)
3:50.0,C. Kaman enters the game for R. Lopez,,70-76,,
3:50.0,S. Blake enters the game for W. Matthews,,70-76,,
3:50.0,,,70-76,,K. Hinrich enters the game for D. Rose
3:42.0,S. Blake misses 2-pt shot from 21 ft,,70-76,,
3:41.0,,,70-76,,Defensive rebound by J. Butler
3:28.0,,,70-76,,K. Hinrich misses 2-pt shot from 17 ft
3:27.0,,,70-76,,Offensive rebound by J. Butler
3:27.0,,,70-78,2,J. Butler makes 2-pt shot from 1 ft
3:02.0,S. Blake makes 3-pt shot from 23 ft (assist by L. Aldridge),3,73-78,,
3:02.0,Shooting foul by T. Gibson (drawn by S. Blake),,73-78,,
3:02.0,S. Blake misses free throw 1 of 1,,73-78,,
3:01.0,,,73-78,,Defensive rebound by P. Gasol
2:48.0,,,73-78,,Shooting foul by L. Aldridge (drawn by T. Gibson)
2:48.0,Portland full timeout,,73-78,,
2:48.0,A. Crabbe enters the game for D. Lillard,,73-78,,
2:48.0,,,73-79,1,T. Gibson makes free throw 1 of 2
2:48.0,,,73-80,1,T. Gibson makes free throw 2 of 2
2:33.0,C. Kaman misses 2-pt shot from 14 ft,,73-80,,
2:32.0,,,73-80,,Defensive rebound by P. Gasol
2:17.0,,,73-80,,T. Gibson misses 2-pt shot from 5 ft
2:16.0,Defensive rebound by L. Aldridge,,73-80,,
1:55.0,S. Blake makes 3-pt shot from 24 ft (assist by N. Batum),3,76-80,,
1:35.0,,,76-82,2,P. Gasol makes 2-pt shot from 2 ft
1:10.0,S. Blake makes 2-pt shot from 1 ft,2,78-82,,
0:45.0,,,78-82,,Turnover by Team (shot clock)
0:45.0,,,78-82,,A. Brooks enters the game for M. Dunleavy
0:45.0,D. Lillard enters the game for N. Batum,,78-82,,
0:31.0,S. Blake misses 3-pt shot from 23 ft,,78-82,,
0:31.0,Offensive rebound by Team,,78-82,,
0:21.0,D. Lillard misses 2-pt shot from 17 ft,,78-82,,
0:20.0,,,78-82,,Defensive rebound by P. Gasol
0:02.0,,,78-82,,J. Butler misses 2-pt shot from 3 ft
0:01.0,,,78-82,,Offensive rebound by A. Brooks
0:01.0,,,78-82,,A. Brooks misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by L. Aldridge,,78-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,78-84,2,A. Brooks makes 2-pt shot at rim
11:17.0,D. Lillard misses 3-pt shot from 24 ft,,78-84,,
11:14.0,Offensive rebound by J. Freeland,,78-84,,
11:14.0,J. Freeland makes 2-pt shot from 1 ft,2,80-84,,
10:56.0,,,80-84,,A. Brooks misses 3-pt shot from 23 ft
10:55.0,Defensive rebound by D. Lillard,,80-84,,
10:50.0,Offensive foul by C. Kaman,,80-84,,
10:50.0,Turnover by C. Kaman (offensive foul),,80-84,,
10:28.0,,,80-84,,Shooting foul by C. Kaman (drawn by T. Gibson)
10:28.0,,,80-85,1,T. Gibson makes free throw 1 of 2
10:28.0,,,80-86,1,T. Gibson makes free throw 2 of 2
10:07.0,C. Kaman misses 2-pt shot from 6 ft,,80-86,,
10:02.0,,,80-86,,Defensive rebound by K. Hinrich
10:00.0,,,80-88,2,N. Mirotic makes 2-pt shot from 2 ft
9:46.0,,,80-88,,Def 3 sec tech foul by T. Gibson
9:46.0,D. Lillard misses technical free throw,,80-88,,
9:46.0,Offensive rebound by Team,,80-88,,
9:40.0,D. Lillard makes 3-pt shot from 24 ft,3,83-88,,
9:23.0,,,83-90,2,T. Gibson makes 2-pt shot from 1 ft (assist by A. Brooks)
9:12.0,D. Lillard makes 2-pt shot from 1 ft,2,85-90,,
8:58.0,,,85-90,,K. Hinrich misses 3-pt shot from 25 ft
8:56.0,,,85-90,,Offensive rebound by N. Mirotic
8:54.0,,,85-90,,Turnover by N. Mirotic (lost ball; steal by S. Blake)
8:37.0,J. Freeland makes 2-pt shot from 19 ft (assist by C. Kaman),2,87-90,,
8:21.0,,,87-92,2,A. Brooks makes 2-pt shot from 1 ft
8:01.0,J. Freeland misses 2-pt shot from 11 ft,,87-92,,
8:00.0,,,87-92,,Defensive rebound by J. Butler
7:49.0,,,87-94,2,A. Brooks makes 2-pt shot from 1 ft
7:49.0,Portland full timeout,,87-94,,
7:49.0,L. Aldridge enters the game for D. Lillard,,87-94,,
7:49.0,N. Batum enters the game for J. Freeland,,87-94,,
7:49.0,R. Lopez enters the game for C. Kaman,,87-94,,
7:38.0,,,87-94,,Violation by K. Hinrich (kicked ball)
7:37.0,Shooting foul by K. Hinrich (drawn by W. Matthews),,87-94,,
7:37.0,W. Matthews misses free throw 1 of 2,,87-94,,
7:37.0,Offensive rebound by Team,,87-94,,
7:37.0,,,87-94,,D. Rose enters the game for K. Hinrich
7:37.0,W. Matthews makes free throw 2 of 2,1,88-94,,
7:25.0,,,88-96,2,D. Rose makes 2-pt shot from 6 ft (assist by A. Brooks)
7:04.0,W. Matthews misses 3-pt shot from 24 ft,,88-96,,
7:03.0,,,88-96,,Defensive rebound by N. Mirotic
6:52.0,,,88-96,,D. Rose misses 2-pt shot from 8 ft
6:51.0,Defensive rebound by N. Batum,,88-96,,
6:41.0,L. Aldridge misses 2-pt shot from 19 ft,,88-96,,
6:40.0,,,88-96,,Defensive rebound by J. Butler
6:21.0,,,88-98,2,A. Brooks makes 2-pt shot from 11 ft
6:04.0,,,88-98,,Def 3 sec tech foul by N. Mirotic
6:04.0,S. Blake makes technical free throw,1,89-98,,
6:04.0,D. Lillard enters the game for S. Blake,,89-98,,
5:49.0,N. Batum misses 2-pt shot from 21 ft (block by N. Mirotic),,89-98,,
5:49.0,Offensive rebound by Team,,89-98,,
5:49.0,Turnover by Team (shot clock),,89-98,,
5:49.0,,,89-98,,Chicago full timeout
5:36.0,,,89-100,2,A. Brooks makes 2-pt shot from 10 ft
5:14.0,D. Lillard makes 2-pt shot from 2 ft (assist by L. Aldridge),2,91-100,,
4:52.0,,,91-100,,J. Butler misses 3-pt shot from 22 ft
4:51.0,Defensive rebound by D. Lillard,,91-100,,
4:39.0,R. Lopez misses 2-pt shot from 7 ft,,91-100,,
4:38.0,,,91-100,,Defensive rebound by J. Butler
4:25.0,,,91-102,2,D. Rose makes 2-pt shot from 7 ft
4:11.0,D. Lillard makes 3-pt shot from 26 ft,3,94-102,,
4:07.0,,,94-102,,Chicago full timeout
4:07.0,,,94-102,,P. Gasol enters the game for N. Mirotic
3:49.0,,,94-104,2,D. Rose makes 2-pt shot from 2 ft
3:34.0,D. Lillard makes 3-pt shot from 24 ft,3,97-104,,
3:12.0,,,97-106,2,D. Rose makes 2-pt shot from 11 ft
3:01.0,D. Lillard misses 2-pt shot from 2 ft (block by J. Butler),,97-106,,
2:58.0,,,97-106,,Defensive rebound by T. Gibson
2:51.0,,,97-108,2,A. Brooks makes 2-pt shot from 1 ft (assist by D. Rose)
2:30.0,N. Batum misses 3-pt shot from 25 ft,,97-108,,
2:29.0,Offensive rebound by R. Lopez,,97-108,,
2:29.0,R. Lopez makes 2-pt shot from 2 ft,2,99-108,,
2:04.0,,,99-108,,D. Rose misses 3-pt shot from 25 ft
2:03.0,,,99-108,,Offensive rebound by T. Gibson
1:40.0,,,99-108,,Turnover by A. Brooks (offensive foul)
1:40.0,,,99-108,,Offensive charge foul by A. Brooks
1:40.0,,,99-108,,Chicago full timeout
1:40.0,,,99-108,,K. Hinrich enters the game for A. Brooks
1:40.0,Portland full timeout,,99-108,,
1:32.0,Shooting foul by P. Gasol (drawn by L. Aldridge),,99-108,,
1:32.0,L. Aldridge makes free throw 1 of 2,1,100-108,,
1:32.0,L. Aldridge makes free throw 2 of 2,1,101-108,,
1:13.0,,,101-108,,T. Gibson misses 2-pt shot from 3 ft (block by R. Lopez)
1:12.0,Defensive rebound by R. Lopez,,101-108,,
1:09.0,D. Lillard makes 3-pt shot from 24 ft (assist by N. Batum),3,104-108,,
0:50.0,,,104-110,2,D. Rose makes 2-pt shot from 22 ft
0:50.0,Portland full timeout,,104-110,,
0:50.0,,,104-110,,N. Mirotic enters the game for P. Gasol
0:50.0,S. Blake enters the game for R. Lopez,,104-110,,
0:46.0,D. Lillard misses 3-pt shot from 26 ft,,104-110,,
0:46.0,,,104-110,,Defensive rebound by N. Mirotic
0:45.0,Personal foul by W. Matthews (drawn by N. Mirotic),,104-110,,
0:38.0,Personal take foul by S. Blake (drawn by J. Butler),,104-110,,
0:38.0,,,104-111,1,J. Butler makes free throw 1 of 2
0:38.0,R. Lopez enters the game for S. Blake,,104-111,,
0:38.0,,,104-111,,P. Gasol enters the game for N. Mirotic
0:38.0,,,104-112,1,J. Butler makes free throw 2 of 2
0:29.0,D. Lillard makes 2-pt shot from 2 ft,2,106-112,,
0:28.0,Personal take foul by R. Lopez (drawn by K. Hinrich),,106-112,,
0:28.0,,,106-112,,K. Hinrich misses free throw 1 of 2
0:28.0,,,106-112,,Offensive rebound by Team
0:28.0,,,106-113,1,K. Hinrich makes free throw 2 of 2
0:19.0,N. Batum misses 3-pt shot from 27 ft,,106-113,,
0:18.0,Offensive rebound by W. Matthews,,106-113,,
0:18.0,W. Matthews misses 2-pt shot from 2 ft,,106-113,,
0:17.0,Offensive rebound by R. Lopez,,106-113,,
0:17.0,R. Lopez misses 2-pt shot from 1 ft,,106-113,,
