time,Memphis,pts.away,score,pts.home,Atlanta
5:38.0,Defensive rebound by J. Leuer,,30-31,,
5:26.0,Turnover by K. Koufos (bad pass; steal by K. Bazemore),,30-31,,
5:20.0,,,30-34,3,K. Korver makes 3-pt shot from 24 ft (assist by K. Bazemore)
5:19.0,Memphis full timeout,,30-34,,
5:19.0,T. Allen enters the game for V. Carter,,30-34,,
5:19.0,M. Gasol enters the game for K. Koufos,,30-34,,
5:19.0,M. Conley enters the game for B. Udrih,,30-34,,
5:19.0,,,30-34,,D. Carroll enters the game for K. Korver
5:19.0,,,30-34,,P. Millsap enters the game for M. Scott
5:02.0,Turnover by M. Gasol (lost ball; steal by D. Carroll),,30-34,,
4:37.0,,,30-34,,P. Millsap misses 2-pt shot from 16 ft (block by M. Gasol)
4:35.0,Defensive rebound by M. Conley,,30-34,,
4:33.0,T. Allen makes 2-pt shot at rim (assist by M. Conley),2,32-34,,
4:07.0,,,32-37,3,P. Antic makes 3-pt shot from 25 ft (assist by J. Teague)
3:50.0,Q. Pondexter misses 2-pt shot from 7 ft,,32-37,,
3:49.0,Offensive rebound by Q. Pondexter,,32-37,,
3:46.0,J. Leuer misses 2-pt shot from 19 ft,,32-37,,
3:44.0,,,32-37,,Defensive rebound by K. Bazemore
3:24.0,Shooting block foul by M. Gasol (drawn by P. Millsap),,32-37,,
3:24.0,,,32-38,1,P. Millsap makes free throw 1 of 2
3:24.0,T. Prince enters the game for J. Leuer,,32-38,,
3:24.0,C. Lee enters the game for Q. Pondexter,,32-38,,
3:24.0,,,32-38,,P. Millsap misses free throw 2 of 2
3:23.0,Defensive rebound by T. Allen,,32-38,,
3:08.0,T. Allen misses 2-pt shot from 3 ft (block by D. Carroll),,32-38,,
3:05.0,,,32-38,,Defensive rebound by K. Bazemore
2:55.0,,,32-41,3,J. Teague makes 3-pt shot from 24 ft
2:46.0,M. Conley makes 2-pt shot from 4 ft,2,34-41,,
2:46.0,Shooting foul by J. Teague (drawn by M. Conley),,34-41,,
2:46.0,Official timeout,,34-41,,
2:46.0,,,34-41,,K. Korver enters the game for K. Bazemore
2:46.0,M. Conley makes free throw 1 of 1,1,35-41,,
2:34.0,,,35-44,3,P. Antic makes 3-pt shot from 24 ft (assist by P. Millsap)
2:16.0,C. Lee makes 3-pt shot from 23 ft (assist by M. Gasol),3,38-44,,
1:59.0,,,38-47,3,D. Carroll makes 3-pt shot from 24 ft (assist by J. Teague)
1:45.0,Turnover by M. Conley (lost ball; steal by J. Teague),,38-47,,
1:40.0,,,38-49,2,J. Teague makes 2-pt shot at rim
1:38.0,Memphis full timeout,,38-49,,
1:38.0,,,38-49,,A. Horford enters the game for P. Antic
1:17.0,M. Gasol makes 2-pt shot from 14 ft,2,40-49,,
1:01.0,,,40-49,,P. Millsap misses 3-pt shot from 24 ft
1:00.0,Defensive rebound by Team,,40-49,,
0:51.0,M. Gasol misses 2-pt shot from 4 ft,,40-49,,
0:49.0,Offensive rebound by M. Gasol,,40-49,,
0:49.0,Shooting foul by P. Millsap (drawn by M. Gasol),,40-49,,
0:49.0,M. Gasol makes free throw 1 of 2,1,41-49,,
0:49.0,M. Gasol makes free throw 2 of 2,1,42-49,,
0:31.0,,,42-49,,J. Teague misses 2-pt shot from 3 ft
0:30.0,Defensive rebound by T. Prince,,42-49,,
0:24.0,C. Lee makes 2-pt shot from 16 ft (assist by M. Conley),2,44-49,,
0:06.0,Personal take foul by M. Conley (drawn by J. Teague),,44-49,,
0:06.0,,,44-49,,Atlanta full timeout
0:01.0,,,44-49,,Turnover by J. Teague (bad pass)
0:00.0,M. Conley misses 3-pt shot from 40 ft (block by J. Teague),,44-49,,
0:00.0,Offensive rebound by Team,,44-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,44-49,,K. Korver misses 3-pt shot from 23 ft (block by M. Gasol)
11:37.0,,,44-49,,Offensive rebound by A. Horford
11:35.0,,,44-49,,Turnover by K. Korver (bad pass; steal by M. Gasol)
11:33.0,Shooting foul by D. Carroll (drawn by C. Lee),,44-49,,
11:33.0,C. Lee makes free throw 1 of 2,1,45-49,,
11:33.0,C. Lee makes free throw 2 of 2,1,46-49,,
11:11.0,,,46-49,,A. Horford misses 2-pt shot from 4 ft
11:09.0,Defensive rebound by M. Gasol,,46-49,,
10:48.0,M. Conley misses 3-pt shot from 24 ft,,46-49,,
10:47.0,Offensive rebound by T. Allen,,46-49,,
10:46.0,T. Allen makes 2-pt shot at rim,2,48-49,,
10:37.0,Personal block foul by K. Koufos (drawn by J. Teague),,48-49,,
10:32.0,,,48-49,,A. Horford misses 2-pt shot from 20 ft
10:30.0,Defensive rebound by M. Conley,,48-49,,
10:21.0,Turnover by T. Allen (bad pass; steal by A. Horford),,48-49,,
10:21.0,Personal foul by T. Allen (drawn by D. Carroll),,48-49,,
10:07.0,,,48-49,,Turnover by K. Korver (lost ball)
9:45.0,M. Gasol makes 2-pt shot from 10 ft,2,50-49,,
9:30.0,,,50-49,,D. Carroll misses 2-pt shot from 5 ft
9:28.0,Defensive rebound by M. Conley,,50-49,,
9:23.0,T. Allen misses 2-pt shot from 1 ft,,50-49,,
9:22.0,,,50-49,,Defensive rebound by P. Millsap
9:18.0,,,50-49,,Atlanta full timeout
9:18.0,,,50-49,,T. Sefolosha enters the game for D. Carroll
9:12.0,,,50-51,2,J. Teague makes 2-pt shot from 7 ft
8:51.0,C. Lee misses 3-pt shot from 24 ft,,50-51,,
8:50.0,,,50-51,,Defensive rebound by J. Teague
8:41.0,,,50-51,,A. Horford misses 2-pt shot from 4 ft
8:40.0,Defensive rebound by T. Allen,,50-51,,
8:36.0,,,50-51,,Personal foul by J. Teague (drawn by M. Conley)
8:27.0,Turnover by M. Conley (lost ball; steal by P. Millsap),,50-51,,
8:27.0,Personal foul by M. Conley (drawn by P. Millsap),,50-51,,
8:10.0,Personal foul by M. Gasol (drawn by P. Millsap),,50-51,,
8:02.0,,,50-54,3,K. Korver makes 3-pt shot from 22 ft (assist by A. Horford)
7:42.0,M. Gasol misses 2-pt shot from 6 ft,,50-54,,
7:42.0,Offensive rebound by Team,,50-54,,
7:36.0,M. Conley makes 3-pt shot from 24 ft (assist by M. Gasol),3,53-54,,
7:21.0,,,53-54,,P. Millsap misses 2-pt shot from 7 ft
7:19.0,Defensive rebound by K. Koufos,,53-54,,
7:09.0,T. Allen misses 2-pt shot from 4 ft,,53-54,,
7:07.0,,,53-54,,Defensive rebound by J. Teague
6:55.0,,,53-54,,P. Millsap misses 2-pt shot from 4 ft
6:53.0,Defensive rebound by M. Conley,,53-54,,
6:34.0,M. Conley misses 2-pt shot from 3 ft,,53-54,,
6:34.0,,,53-54,,Defensive rebound by Team
6:34.0,Loose ball foul by K. Koufos (drawn by P. Millsap),,53-54,,
6:34.0,,,53-55,1,P. Millsap makes free throw 1 of 2
6:34.0,T. Prince enters the game for K. Koufos,,53-55,,
6:34.0,,,53-56,1,P. Millsap makes free throw 2 of 2
6:15.0,C. Lee misses 2-pt shot from 19 ft,,53-56,,
6:12.0,,,53-56,,Defensive rebound by P. Millsap
5:54.0,,,53-58,2,A. Horford makes 2-pt shot from 6 ft (assist by P. Millsap)
5:33.0,,,53-58,,Personal foul by J. Teague (drawn by M. Conley)
5:33.0,,,53-58,,P. Antic enters the game for A. Horford
5:33.0,V. Carter enters the game for T. Allen,,53-58,,
5:23.0,M. Conley misses 2-pt shot from 5 ft,,53-58,,
5:23.0,Offensive rebound by Team,,53-58,,
5:10.0,M. Gasol misses 2-pt shot from 1 ft,,53-58,,
5:09.0,,,53-58,,Defensive rebound by P. Antic
5:03.0,,,53-60,2,P. Antic makes 2-pt shot from 1 ft (assist by J. Teague)
4:57.0,Memphis full timeout,,53-60,,
4:57.0,,,53-60,,D. Schroder enters the game for J. Teague
4:41.0,Turnover by C. Lee (bad pass),,53-60,,
4:31.0,,,53-60,,Turnover by P. Millsap (bad pass; steal by M. Conley)
4:22.0,C. Lee misses 2-pt shot from 2 ft,,53-60,,
4:21.0,,,53-60,,Defensive rebound by P. Millsap
4:05.0,,,53-60,,Offensive charge foul by P. Millsap
4:05.0,,,53-60,,Turnover by P. Millsap (offensive foul)
3:51.0,Turnover by C. Lee (lost ball; steal by K. Korver),,53-60,,
3:42.0,,,53-60,,Shooting foul by V. Carter (drawn by T. Sefolosha)
3:42.0,,,53-61,1,T. Sefolosha makes free throw 1 of 2
3:42.0,,,53-61,,D. Carroll enters the game for K. Korver
3:42.0,B. Udrih enters the game for C. Lee,,53-61,,
3:42.0,,,53-62,1,T. Sefolosha makes free throw 2 of 2
3:28.0,Turnover by M. Conley (bad pass; steal by P. Antic),,53-62,,
3:28.0,Personal foul by M. Gasol (drawn by P. Antic),,53-62,,
3:28.0,,,53-63,1,P. Antic makes free throw 1 of 2
3:28.0,,,53-64,1,P. Antic makes free throw 2 of 2
3:15.0,M. Gasol makes 2-pt shot at rim (assist by T. Prince),2,55-64,,
2:56.0,,,55-64,,D. Schroder misses 2-pt shot from 14 ft (block by T. Prince)
2:54.0,Defensive rebound by B. Udrih,,55-64,,
2:47.0,Turnover by M. Gasol (kicked ball),,55-64,,
2:26.0,,,55-64,,P. Millsap misses 2-pt shot from 15 ft
2:24.0,Defensive rebound by M. Conley,,55-64,,
2:13.0,T. Prince misses 3-pt shot from 25 ft,,55-64,,
2:12.0,,,55-64,,Defensive rebound by P. Millsap
2:04.0,,,55-64,,D. Carroll misses 3-pt shot from 23 ft
2:03.0,Defensive rebound by M. Conley,,55-64,,
1:54.0,M. Conley makes 2-pt shot from 1 ft,2,57-64,,
1:36.0,,,57-67,3,P. Antic makes 3-pt shot from 23 ft (assist by D. Schroder)
1:16.0,M. Conley misses 2-pt shot from 1 ft,,57-67,,
1:15.0,,,57-67,,Defensive rebound by P. Antic
1:09.0,,,57-67,,T. Sefolosha misses 2-pt shot from 1 ft
1:08.0,,,57-67,,Offensive rebound by P. Millsap
1:08.0,,,57-69,2,P. Millsap makes 2-pt shot at rim
1:01.0,Memphis full timeout,,57-69,,
1:01.0,,,57-69,,M. Scott enters the game for P. Antic
1:01.0,,,57-69,,A. Horford enters the game for P. Millsap
1:01.0,N. Calathes enters the game for M. Gasol,,57-69,,
1:01.0,J. Leuer enters the game for M. Conley,,57-69,,
0:54.0,T. Prince misses 2-pt shot from 5 ft,,57-69,,
0:53.0,,,57-69,,Defensive rebound by M. Scott
0:40.0,,,57-69,,Shooting foul by B. Udrih (drawn by D. Schroder)
0:40.0,,,57-69,,D. Schroder misses free throw 1 of 2
0:40.0,,,57-69,,Offensive rebound by Team
0:40.0,,,57-70,1,D. Schroder makes free throw 2 of 2
0:35.0,,,57-70,,Personal foul by D. Schroder (drawn by B. Udrih)
0:29.0,J. Leuer makes 2-pt shot at rim (assist by N. Calathes),2,59-70,,
0:08.0,,,59-70,,D. Schroder misses 2-pt shot from 1 ft
0:06.0,Defensive rebound by N. Calathes,,59-70,,
0:02.0,N. Calathes misses 3-pt shot from 24 ft,,59-70,,
0:01.0,,,59-70,,Defensive rebound by T. Sefolosha
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:58.0,Violation by Team (jump ball),,59-70,,
11:43.0,T. Prince makes 2-pt shot from 5 ft,2,61-70,,
11:21.0,,,61-70,,Turnover by D. Schroder (lost ball; steal by B. Udrih)
11:14.0,J. Leuer makes 2-pt shot from 2 ft (assist by B. Udrih),2,63-70,,
11:06.0,Personal foul by J. Leuer (drawn by A. Horford),,63-70,,
11:06.0,,,63-70,,J. Teague enters the game for D. Schroder
10:54.0,,,63-70,,Shooting foul by J. Leuer (drawn by A. Horford)
10:54.0,,,63-71,1,A. Horford makes free throw 1 of 2
10:54.0,,,63-72,1,A. Horford makes free throw 2 of 2
10:42.0,T. Prince makes 2-pt shot from 17 ft (assist by N. Calathes),2,65-72,,
10:19.0,,,65-72,,A. Horford misses 2-pt shot from 2 ft
10:17.0,,,65-72,,Offensive rebound by A. Horford
10:16.0,,,65-74,2,A. Horford makes 2-pt shot from 1 ft
9:59.0,,,65-74,,Personal foul by D. Carroll (drawn by J. Leuer)
9:59.0,,,65-74,,K. Bazemore enters the game for T. Sefolosha
9:59.0,K. Koufos enters the game for J. Leuer,,65-74,,
9:46.0,T. Prince misses 2-pt shot from 16 ft,,65-74,,
9:44.0,,,65-74,,Defensive rebound by M. Scott
9:31.0,,,65-74,,D. Carroll misses 3-pt shot from 23 ft
9:29.0,Defensive rebound by K. Koufos,,65-74,,
9:19.0,N. Calathes makes 2-pt shot from 5 ft,2,67-74,,
8:59.0,,,67-74,,J. Teague misses 3-pt shot from 24 ft
8:57.0,Defensive rebound by K. Koufos,,67-74,,
8:45.0,B. Udrih misses 2-pt shot from 15 ft (block by K. Bazemore),,67-74,,
8:43.0,,,67-74,,Defensive rebound by K. Bazemore
8:39.0,,,67-74,,D. Carroll misses 2-pt shot from 6 ft
8:37.0,,,67-74,,Offensive rebound by M. Scott
8:36.0,,,67-74,,M. Scott misses 2-pt shot from 1 ft
8:35.0,,,67-74,,Offensive rebound by M. Scott
8:25.0,,,67-74,,A. Horford misses 2-pt shot from 15 ft
8:23.0,Defensive rebound by Team,,67-74,,
8:23.0,Official timeout,,67-74,,
8:23.0,,,67-74,,K. Korver enters the game for D. Carroll
8:10.0,,,67-74,,Personal foul by K. Bazemore (drawn by V. Carter)
8:02.0,V. Carter makes 2-pt shot from 20 ft,2,69-74,,
7:47.0,,,69-74,,M. Scott misses 2-pt shot from 11 ft
7:45.0,Defensive rebound by K. Koufos,,69-74,,
7:32.0,N. Calathes makes 3-pt shot from 24 ft (assist by B. Udrih),3,72-74,,
7:18.0,,,72-76,2,A. Horford makes 2-pt shot from 1 ft (assist by K. Korver)
7:01.0,N. Calathes misses 3-pt shot from 25 ft,,72-76,,
6:59.0,,,72-76,,Defensive rebound by M. Scott
6:47.0,,,72-76,,J. Teague misses 2-pt shot from 2 ft
6:45.0,Defensive rebound by K. Koufos,,72-76,,
6:42.0,Shooting foul by K. Bazemore (drawn by B. Udrih),,72-76,,
6:42.0,B. Udrih makes free throw 1 of 2,1,73-76,,
6:42.0,,,73-76,,P. Millsap enters the game for M. Scott
6:42.0,,,73-76,,P. Antic enters the game for A. Horford
6:42.0,M. Gasol enters the game for K. Koufos,,73-76,,
6:42.0,M. Conley enters the game for V. Carter,,73-76,,
6:42.0,B. Udrih makes free throw 2 of 2,1,74-76,,
6:24.0,,,74-76,,J. Teague misses 2-pt shot from 3 ft
6:23.0,Defensive rebound by M. Gasol,,74-76,,
6:15.0,N. Calathes makes 2-pt shot from 3 ft (assist by M. Gasol),2,76-76,,
6:03.0,Violation by M. Gasol (kicked ball),,76-76,,
6:03.0,,,76-76,,Atlanta full timeout
6:03.0,,,76-76,,D. Carroll enters the game for K. Bazemore
5:57.0,,,76-76,,Shooting foul by M. Conley (drawn by J. Teague)
5:57.0,,,76-77,1,J. Teague makes free throw 1 of 2
5:57.0,,,76-78,1,J. Teague makes free throw 2 of 2
5:44.0,T. Prince misses 2-pt shot from 15 ft,,76-78,,
5:40.0,,,76-78,,Defensive rebound by D. Carroll
5:18.0,,,76-80,2,P. Millsap makes 2-pt shot from 1 ft
4:57.0,T. Prince makes 2-pt shot from 20 ft (assist by M. Conley),2,78-80,,
4:39.0,Personal foul by M. Gasol (drawn by P. Antic),,78-80,,
4:39.0,C. Lee enters the game for B. Udrih,,78-80,,
4:28.0,,,78-80,,P. Millsap misses 2-pt shot from 3 ft
4:27.0,Defensive rebound by M. Gasol,,78-80,,
4:07.0,,,78-80,,Shooting block foul by P. Millsap (drawn by T. Prince)
4:07.0,T. Prince makes free throw 1 of 2,1,79-80,,
4:07.0,T. Prince makes free throw 2 of 2,1,80-80,,
4:00.0,Personal foul by N. Calathes (drawn by J. Teague),,80-80,,
4:00.0,,,80-81,1,J. Teague makes free throw 1 of 2
4:00.0,,,80-81,,A. Horford enters the game for P. Antic
4:00.0,,,80-82,1,J. Teague makes free throw 2 of 2
3:39.0,M. Conley makes 2-pt shot from 2 ft,2,82-82,,
3:15.0,,,82-84,2,J. Teague makes 2-pt shot from 4 ft
2:58.0,,,82-84,,Personal foul by A. Horford (drawn by M. Gasol)
2:58.0,Memphis full timeout,,82-84,,
2:58.0,M. Gasol makes free throw 1 of 2,1,83-84,,
2:58.0,M. Gasol makes free throw 2 of 2,1,84-84,,
2:35.0,,,84-86,2,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague)
2:19.0,Turnover by M. Conley (lost ball; steal by K. Korver),,84-86,,
2:19.0,Jump ball: M. Conley vs. K. Korver (D. Carroll gains possession),,,,Jump ball: M. Conley vs. K. Korver (D. Carroll gains possession)
2:01.0,,,84-86,,K. Korver misses 3-pt shot from 25 ft
2:00.0,Defensive rebound by M. Gasol,,84-86,,
1:35.0,M. Gasol misses 2-pt shot from 14 ft,,84-86,,
1:34.0,,,84-86,,Defensive rebound by P. Millsap
1:19.0,,,84-89,3,J. Teague makes 3-pt shot from 24 ft (assist by A. Horford)
1:09.0,N. Calathes misses 3-pt shot from 24 ft,,84-89,,
1:06.0,,,84-89,,Defensive rebound by P. Millsap
1:00.0,,,84-92,3,K. Korver makes 3-pt shot from 23 ft (assist by A. Horford)
1:00.0,Memphis full timeout,,84-92,,
0:50.0,C. Lee misses 3-pt shot from 25 ft,,84-92,,
0:48.0,,,84-92,,Defensive rebound by K. Korver
0:29.0,,,84-94,2,J. Teague makes 2-pt shot from 1 ft
0:21.0,N. Calathes misses 2-pt shot from 8 ft,,84-94,,
0:17.0,,,84-94,,Defensive rebound by K. Korver
