time,Golden State,pts.away,score,pts.home,New York
5:00.0,D. Lee enters the game for A. Bogut,,14-10,,
4:55.0,,,14-10,,L. Galloway misses 2-pt shot from 4 ft (block by D. Green)
4:54.0,,,14-10,,Offensive rebound by Team
4:53.0,,,14-10,,Turnover by Team (shot clock)
4:39.0,D. Green makes 3-pt shot from 25 ft (assist by H. Barnes),3,17-10,,
4:21.0,,,17-10,,T. Hardaway misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by D. Lee,,17-10,,
4:06.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,20-10,,
3:51.0,,,20-12,2,L. Galloway makes 2-pt shot at rim (assist by A. Stoudemire)
3:43.0,,,20-12,,Personal foul by L. Galloway (drawn by S. Curry)
3:43.0,S. Livingston enters the game for S. Curry,,20-12,,
3:43.0,,,20-12,,S. Larkin enters the game for L. Galloway
3:28.0,D. Green makes 3-pt shot from 25 ft (assist by D. Lee),3,23-12,,
3:05.0,,,23-14,2,A. Stoudemire makes 2-pt shot from 3 ft
3:05.0,,,23-14,,Shooting foul by D. Lee (drawn by A. Stoudemire)
3:05.0,A. Iguodala enters the game for H. Barnes,,23-14,,
3:05.0,,,23-14,,Q. Acy enters the game for J. Smith
3:05.0,,,23-15,1,A. Stoudemire makes free throw 1 of 1
2:48.0,K. Thompson misses 2-pt shot from 2 ft,,23-15,,
2:47.0,,,23-15,,Defensive rebound by T. Hardaway
2:27.0,,,23-17,2,Q. Acy makes 2-pt shot from 22 ft (assist by S. Larkin)
2:23.0,Golden State full timeout,,23-17,,
2:23.0,,,23-17,,T. Wear enters the game for L. Thomas
2:07.0,D. Lee makes 2-pt shot from 1 ft (assist by S. Livingston),2,25-17,,
2:07.0,Shooting foul by T. Wear (drawn by D. Lee),,25-17,,
2:07.0,D. Lee makes free throw 1 of 1,1,26-17,,
1:51.0,,,26-17,,A. Stoudemire misses 2-pt shot from 11 ft
1:50.0,Defensive rebound by D. Green,,26-17,,
1:28.0,S. Livingston makes 2-pt shot from 9 ft,2,28-17,,
1:09.0,,,28-17,,Q. Acy misses 2-pt shot from 20 ft
1:08.0,Defensive rebound by K. Thompson,,28-17,,
0:57.0,,,28-17,,Personal foul by T. Hardaway (drawn by D. Lee)
0:57.0,D. Lee makes free throw 1 of 2,1,29-17,,
0:57.0,M. Speights enters the game for D. Green,,29-17,,
0:57.0,D. Lee makes free throw 2 of 2,1,30-17,,
0:34.0,,,30-17,,A. Stoudemire misses 2-pt shot from 6 ft (block by A. Iguodala)
0:33.0,Defensive rebound by D. Lee,,30-17,,
0:29.0,K. Thompson misses 3-pt shot from 25 ft,,30-17,,
0:27.0,Offensive rebound by K. Thompson,,30-17,,
0:25.0,M. Speights makes 2-pt shot from 8 ft (assist by K. Thompson),2,32-17,,
0:04.0,,,32-17,,S. Larkin misses 3-pt shot from 24 ft
0:02.0,,,32-17,,Offensive rebound by A. Stoudemire
0:01.0,,,32-19,2,A. Stoudemire makes 2-pt shot from 1 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,S. Livingston misses 2-pt shot from 9 ft,,32-19,,
11:41.0,Offensive rebound by D. Lee,,32-19,,
11:38.0,Shooting foul by C. Aldrich (drawn by D. Lee),,32-19,,
11:38.0,D. Lee makes free throw 1 of 2,1,33-19,,
11:38.0,D. Lee makes free throw 2 of 2,1,34-19,,
11:23.0,Personal foul by L. Barbosa (drawn by S. Larkin),,34-19,,
11:15.0,,,34-19,,T. Hardaway misses 2-pt shot from 11 ft
11:14.0,,,34-19,,Offensive rebound by C. Aldrich
11:14.0,,,34-19,,C. Aldrich misses 2-pt shot from 1 ft
11:13.0,,,34-19,,Offensive rebound by C. Aldrich
11:04.0,,,34-22,3,T. Hardaway makes 3-pt shot from 23 ft (assist by C. Early)
10:50.0,M. Speights misses 2-pt shot from 20 ft,,34-22,,
10:49.0,,,34-22,,Defensive rebound by T. Hardaway
10:42.0,,,34-22,,Turnover by T. Hardaway (traveling)
10:27.0,L. Barbosa makes 3-pt shot from 23 ft (assist by D. Lee),3,37-22,,
10:18.0,,,37-22,,Turnover by S. Larkin (bad pass; steal by A. Iguodala)
10:13.0,A. Iguodala makes 2-pt shot at rim,2,39-22,,
10:12.0,,,39-22,,New York full timeout
10:01.0,Personal foul by S. Livingston (drawn by T. Hardaway),,39-22,,
9:56.0,,,39-22,,Turnover by T. Hardaway (lost ball; steal by S. Livingston)
9:49.0,Offensive foul by M. Speights,,39-22,,
9:49.0,Turnover by M. Speights (offensive foul),,39-22,,
9:34.0,,,39-22,,T. Hardaway misses 2-pt shot from 19 ft
9:33.0,,,39-22,,Offensive rebound by Q. Acy
9:18.0,,,39-22,,Q. Acy misses 2-pt shot from 2 ft
9:17.0,Defensive rebound by M. Speights,,39-22,,
9:00.0,D. Lee makes 2-pt shot from 4 ft,2,41-22,,
9:00.0,Shooting foul by Q. Acy (drawn by D. Lee),,41-22,,
9:00.0,,,41-22,,J. Calderon enters the game for S. Larkin
9:00.0,,,41-22,,J. Smith enters the game for Q. Acy
9:00.0,,,41-22,,L. Thomas enters the game for C. Early
9:00.0,D. Lee makes free throw 1 of 1,1,42-22,,
8:37.0,,,42-22,,Turnover by J. Calderon (bad pass; steal by S. Livingston)
8:32.0,Turnover by A. Iguodala (lost ball; steal by J. Calderon),,42-22,,
8:24.0,,,42-22,,T. Hardaway misses 2-pt shot from 3 ft
8:23.0,Defensive rebound by A. Iguodala,,42-22,,
8:19.0,Turnover by L. Barbosa (bad pass; steal by T. Hardaway),,42-22,,
8:17.0,Personal foul by D. Lee (drawn by T. Hardaway),,42-22,,
8:10.0,,,42-22,,L. Galloway enters the game for T. Hardaway
8:04.0,,,42-22,,C. Aldrich misses 2-pt shot from 5 ft
8:03.0,Defensive rebound by D. Lee,,42-22,,
7:49.0,M. Speights misses 2-pt shot from 4 ft,,42-22,,
7:48.0,,,42-22,,Defensive rebound by J. Smith
7:39.0,,,42-24,2,C. Aldrich makes 2-pt shot from 1 ft (assist by L. Galloway)
7:16.0,L. Barbosa misses 3-pt shot from 24 ft,,42-24,,
7:15.0,,,42-24,,Defensive rebound by J. Smith
7:03.0,,,42-26,2,J. Calderon makes 2-pt shot from 1 ft (assist by C. Aldrich)
7:02.0,Golden State full timeout,,42-26,,
7:02.0,D. Green enters the game for D. Lee,,42-26,,
7:02.0,S. Curry enters the game for S. Livingston,,42-26,,
6:42.0,M. Speights makes 2-pt shot from 3 ft (assist by L. Barbosa),2,44-26,,
6:29.0,,,44-28,2,L. Thomas makes 2-pt shot from 16 ft
6:08.0,,,44-28,,Personal foul by L. Thomas (drawn by A. Iguodala)
6:02.0,Shooting foul by C. Aldrich (drawn by M. Speights),,44-28,,
6:02.0,M. Speights makes free throw 1 of 2,1,45-28,,
6:02.0,,,45-28,,L. Amundson enters the game for C. Aldrich
6:02.0,M. Speights makes free throw 2 of 2,1,46-28,,
5:52.0,Personal foul by L. Barbosa (drawn by J. Calderon),,46-28,,
5:52.0,K. Thompson enters the game for L. Barbosa,,46-28,,
5:47.0,,,46-28,,L. Galloway misses 2-pt shot from 2 ft
5:46.0,Defensive rebound by D. Green,,46-28,,
5:40.0,D. Green makes 2-pt shot at rim (assist by A. Iguodala),2,48-28,,
5:40.0,Shooting foul by L. Amundson (drawn by D. Green),,48-28,,
5:40.0,,,48-28,,A. Stoudemire enters the game for L. Amundson
5:40.0,D. Green makes free throw 1 of 1,1,49-28,,
5:29.0,,,49-28,,Shooting foul by A. Iguodala (drawn by L. Thomas)
5:29.0,,,49-29,1,L. Thomas makes free throw 1 of 2
5:29.0,A. Bogut enters the game for M. Speights,,49-29,,
5:29.0,,,49-30,1,L. Thomas makes free throw 2 of 2
5:13.0,D. Green makes 3-pt shot from 26 ft (assist by A. Bogut),3,52-30,,
4:58.0,,,52-30,,Turnover by A. Stoudemire (lost ball; steal by D. Green)
4:54.0,H. Barnes enters the game for A. Iguodala,,52-30,,
4:54.0,K. Thompson makes flagrant free throw 1 of 2,1,53-30,,
4:54.0,K. Thompson makes flagrant free throw 2 of 2,1,54-30,,
4:50.0,Turnover by S. Curry (bad pass),,54-30,,
4:34.0,,,54-30,,Turnover by L. Thomas (lost ball; steal by H. Barnes)
4:31.0,Turnover by H. Barnes (traveling),,54-30,,
4:12.0,,,54-32,2,J. Smith makes 2-pt shot at rim
4:02.0,D. Green misses 3-pt shot from 25 ft,,54-32,,
4:01.0,,,54-32,,Defensive rebound by J. Calderon
3:59.0,,,54-32,,J. Calderon misses flagrant free throw 1 of 2
3:59.0,,,54-32,,Offensive rebound by Team
3:59.0,,,54-33,1,J. Calderon makes flagrant free throw 2 of 2
3:43.0,,,54-36,3,L. Galloway makes 3-pt shot from 25 ft (assist by A. Stoudemire)
3:19.0,D. Green makes 2-pt shot from 18 ft (assist by A. Bogut),2,56-36,,
3:08.0,,,56-36,,A. Stoudemire misses 2-pt shot from 7 ft
3:07.0,Defensive rebound by D. Green,,56-36,,
2:52.0,Turnover by S. Curry (lost ball; steal by L. Galloway),,56-36,,
2:40.0,,,56-38,2,A. Stoudemire makes 2-pt shot from 1 ft
2:40.0,,,56-38,,Shooting foul by A. Bogut (drawn by A. Stoudemire)
2:40.0,Official timeout,,56-38,,
2:40.0,,,56-38,,Q. Acy enters the game for J. Smith
2:40.0,,,56-39,1,A. Stoudemire makes free throw 1 of 1
2:20.0,K. Thompson misses 2-pt shot from 3 ft,,56-39,,
2:19.0,,,56-39,,Defensive rebound by A. Stoudemire
1:56.0,,,56-42,3,J. Calderon makes 3-pt shot from 23 ft (assist by Q. Acy)
1:42.0,S. Curry misses 2-pt shot at rim,,56-42,,
1:41.0,Offensive rebound by A. Bogut,,56-42,,
1:41.0,A. Bogut misses 2-pt shot from 1 ft,,56-42,,
1:40.0,,,56-42,,Defensive rebound by Q. Acy
1:28.0,,,56-44,2,A. Stoudemire makes 2-pt shot from 11 ft (assist by J. Calderon)
1:20.0,Shooting foul by A. Stoudemire (drawn by A. Bogut),,56-44,,
1:20.0,A. Bogut makes free throw 1 of 2,1,57-44,,
1:20.0,A. Bogut misses free throw 2 of 2,,57-44,,
1:20.0,,,57-44,,Defensive rebound by Team
1:20.0,Loose ball foul by H. Barnes (drawn by A. Stoudemire),,57-44,,
1:20.0,,,57-45,1,A. Stoudemire makes free throw 1 of 2
1:20.0,,,57-45,,A. Stoudemire misses free throw 2 of 2
1:19.0,Defensive rebound by D. Green,,57-45,,
1:02.0,,,57-45,,Violation by A. Stoudemire (def goaltending)
1:02.0,D. Green makes 2-pt shot from 2 ft (assist by H. Barnes),2,59-45,,
0:50.0,,,59-45,,Turnover by A. Stoudemire (lost ball; steal by S. Curry)
0:44.0,S. Curry makes 2-pt shot from 1 ft,2,61-45,,
0:23.0,,,61-48,3,L. Galloway makes 3-pt shot from 25 ft (assist by Q. Acy)
0:05.0,S. Curry makes 3-pt shot from 26 ft,3,64-48,,
0:04.0,,,64-48,,L. Thomas misses 2-pt shot from 19 ft
0:02.0,Defensive rebound by S. Curry,,64-48,,
0:01.0,S. Curry misses 3-pt shot from 50 ft,,64-48,,
0:00.0,Offensive rebound by Team,,64-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,H. Barnes makes 2-pt shot from 11 ft,2,66-48,,
11:19.0,,,66-48,,L. Galloway misses 2-pt shot from 22 ft
11:18.0,Defensive rebound by A. Bogut,,66-48,,
11:12.0,D. Green misses 2-pt shot from 1 ft,,66-48,,
11:11.0,,,66-48,,Defensive rebound by L. Galloway
11:01.0,,,66-50,2,J. Smith makes 2-pt shot from 18 ft (assist by L. Galloway)
10:41.0,D. Green makes 2-pt shot from 12 ft (assist by A. Bogut),2,68-50,,
10:23.0,,,68-52,2,L. Amundson makes 2-pt shot from 4 ft (assist by J. Smith)
10:05.0,H. Barnes makes 2-pt shot from 11 ft,2,70-52,,
9:55.0,,,70-52,,L. Galloway misses 3-pt shot from 24 ft
9:54.0,Defensive rebound by A. Bogut,,70-52,,
9:47.0,S. Curry misses 3-pt shot from 25 ft,,70-52,,
9:46.0,,,70-52,,Defensive rebound by J. Calderon
9:31.0,,,70-52,,L. Galloway misses 2-pt shot from 2 ft
9:30.0,Defensive rebound by H. Barnes,,70-52,,
9:26.0,S. Curry makes 2-pt shot at rim (assist by H. Barnes),2,72-52,,
9:06.0,,,72-52,,Turnover by L. Thomas (lost ball)
8:56.0,A. Bogut makes 2-pt shot at rim (assist by K. Thompson),2,74-52,,
8:55.0,,,74-52,,New York full timeout
8:55.0,,,74-52,,T. Hardaway enters the game for L. Amundson
8:55.0,,,74-52,,S. Larkin enters the game for L. Galloway
8:40.0,,,74-52,,Shooting foul by A. Bogut (drawn by J. Smith)
8:40.0,,,74-53,1,J. Smith makes free throw 1 of 2
8:40.0,,,74-54,1,J. Smith makes free throw 2 of 2
8:26.0,Shooting foul by S. Larkin (drawn by S. Curry),,74-54,,
8:26.0,S. Curry makes 3-pt shot from 26 ft (assist by H. Barnes),3,77-54,,
8:26.0,S. Curry misses free throw 1 of 1,,77-54,,
8:25.0,,,77-54,,Defensive rebound by J. Smith
8:07.0,,,77-56,2,L. Thomas makes 2-pt shot from 19 ft (assist by T. Hardaway)
7:55.0,Turnover by K. Thompson (bad pass),,77-56,,
7:36.0,,,77-59,3,J. Calderon makes 3-pt shot from 26 ft (assist by J. Smith)
7:35.0,Golden State full timeout,,77-59,,
7:13.0,S. Curry misses 2-pt shot at rim,,77-59,,
7:12.0,Offensive rebound by D. Green,,77-59,,
7:12.0,D. Green makes 2-pt shot from 1 ft,2,79-59,,
6:52.0,,,79-59,,L. Thomas misses 2-pt shot from 4 ft
6:51.0,,,79-59,,Offensive rebound by S. Larkin
6:32.0,,,79-59,,Shooting foul by A. Bogut (drawn by J. Smith)
6:32.0,,,79-60,1,J. Smith makes free throw 1 of 2
6:32.0,D. Lee enters the game for A. Bogut,,79-60,,
6:32.0,,,79-61,1,J. Smith makes free throw 2 of 2
6:23.0,K. Thompson misses 2-pt shot from 16 ft,,79-61,,
6:22.0,,,79-61,,Defensive rebound by Team
6:07.0,,,79-61,,L. Thomas misses 2-pt shot from 15 ft
6:06.0,Defensive rebound by D. Lee,,79-61,,
5:52.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Lee),3,82-61,,
5:39.0,,,82-61,,S. Larkin misses 2-pt shot from 2 ft
5:38.0,Defensive rebound by D. Lee,,82-61,,
5:34.0,Shooting foul by S. Larkin (drawn by K. Thompson),,82-61,,
5:34.0,K. Thompson makes free throw 1 of 2,1,83-61,,
5:34.0,,,83-61,,A. Stoudemire enters the game for J. Smith
5:34.0,A. Iguodala enters the game for H. Barnes,,83-61,,
5:34.0,K. Thompson makes free throw 2 of 2,1,84-61,,
5:18.0,,,84-63,2,L. Thomas makes 2-pt shot from 19 ft (assist by A. Stoudemire)
4:57.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. Lee),2,86-63,,
4:43.0,,,86-63,,Turnover by A. Stoudemire (lost ball)
4:43.0,M. Speights enters the game for D. Green,,86-63,,
4:31.0,K. Thompson misses 2-pt shot from 20 ft,,86-63,,
4:30.0,,,86-63,,Defensive rebound by L. Thomas
4:12.0,,,86-63,,A. Stoudemire misses 2-pt shot from 5 ft
4:11.0,Defensive rebound by D. Lee,,86-63,,
4:03.0,Shooting foul by T. Hardaway (drawn by S. Curry),,86-63,,
4:03.0,S. Curry misses free throw 1 of 2,,86-63,,
4:03.0,Offensive rebound by Team,,86-63,,
4:03.0,,,86-63,,L. Galloway enters the game for J. Calderon
4:03.0,S. Curry makes free throw 2 of 2,1,87-63,,
3:40.0,,,87-63,,L. Galloway misses 2-pt shot from 19 ft
3:39.0,,,87-63,,Offensive rebound by A. Stoudemire
3:39.0,,,87-63,,A. Stoudemire misses 2-pt shot from 1 ft
3:38.0,Defensive rebound by D. Lee,,87-63,,
3:27.0,K. Thompson misses 2-pt shot from 11 ft,,87-63,,
3:26.0,Offensive rebound by Team,,87-63,,
3:26.0,,,87-63,,Loose ball foul by T. Hardaway (drawn by M. Speights)
3:26.0,S. Livingston enters the game for S. Curry,,87-63,,
3:08.0,K. Thompson makes 2-pt shot from 10 ft,2,89-63,,
2:54.0,,,89-65,2,T. Hardaway makes 2-pt shot from 1 ft (assist by S. Larkin)
2:35.0,K. Thompson misses 2-pt shot from 11 ft,,89-65,,
2:34.0,,,89-65,,Defensive rebound by L. Thomas
2:26.0,,,89-68,3,S. Larkin makes 3-pt shot from 24 ft
2:10.0,D. Lee misses 2-pt shot from 16 ft,,89-68,,
2:09.0,,,89-68,,Defensive rebound by Team
2:00.0,Personal foul by M. Speights (drawn by A. Stoudemire),,89-68,,
1:46.0,,,89-70,2,S. Larkin makes 2-pt shot at rim
1:33.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. Lee),2,91-70,,
1:10.0,,,91-70,,L. Thomas misses 2-pt shot from 2 ft
1:09.0,,,91-70,,Offensive rebound by A. Stoudemire
1:09.0,,,91-70,,A. Stoudemire misses 2-pt shot at rim
1:08.0,,,91-70,,Offensive rebound by A. Stoudemire
1:08.0,,,91-70,,A. Stoudemire misses 2-pt shot at rim
1:07.0,,,91-70,,Offensive rebound by A. Stoudemire
1:07.0,Violation by M. Speights (def goaltending),,91-70,,
1:07.0,,,91-72,2,A. Stoudemire makes 2-pt shot at rim
0:53.0,K. Thompson misses 2-pt shot from 7 ft,,91-72,,
0:52.0,,,91-72,,Defensive rebound by L. Thomas
0:38.0,Violation by A. Iguodala (kicked ball),,91-72,,
0:32.0,,,91-72,,T. Hardaway misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by D. Lee,,91-72,,
0:12.0,Turnover by S. Livingston (lost ball; steal by S. Larkin),,91-72,,
0:07.0,,,91-74,2,T. Hardaway makes 2-pt shot at rim (assist by S. Larkin)
0:01.0,A. Iguodala misses 2-pt shot from 7 ft,,91-74,,
0:00.0,Offensive rebound by Team,,91-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,91-74,,S. Larkin misses 2-pt shot from 1 ft
11:43.0,,,91-74,,Offensive rebound by S. Larkin
11:35.0,,,91-74,,T. Hardaway misses 3-pt shot from 26 ft
11:34.0,,,91-74,,Offensive rebound by L. Galloway
11:20.0,,,91-74,,Turnover by T. Hardaway (traveling)
11:07.0,,,91-74,,Personal foul by L. Galloway (drawn by S. Livingston)
11:00.0,M. Speights makes 2-pt shot from 3 ft,2,93-74,,
10:43.0,,,93-74,,Turnover by J. Smith (traveling)
10:31.0,Shooting foul by Q. Acy (drawn by M. Speights),,93-74,,
10:31.0,M. Speights makes free throw 1 of 2,1,94-74,,
10:31.0,M. Speights makes free throw 2 of 2,1,95-74,,
10:12.0,Loose ball foul by D. Lee (drawn by J. Smith),,95-74,,
10:04.0,,,95-76,2,L. Galloway makes 2-pt shot from 19 ft
10:04.0,,,95-76,,Shooting foul by L. Barbosa (drawn by L. Galloway)
10:04.0,,,95-77,1,L. Galloway makes free throw 1 of 1
9:59.0,Turnover by S. Livingston (lost ball),,95-77,,
9:46.0,,,95-80,3,L. Galloway makes 3-pt shot from 25 ft (assist by J. Smith)
9:27.0,M. Speights misses 2-pt shot from 21 ft,,95-80,,
9:26.0,Offensive rebound by D. Lee,,95-80,,
9:15.0,A. Iguodala misses 3-pt shot from 23 ft,,95-80,,
9:14.0,,,95-80,,Defensive rebound by J. Smith
9:03.0,,,95-83,3,T. Hardaway makes 3-pt shot from 24 ft (assist by S. Larkin)
8:41.0,M. Speights misses 2-pt shot from 2 ft,,95-83,,
8:40.0,Offensive rebound by M. Speights,,95-83,,
8:39.0,M. Speights misses 2-pt shot at rim,,95-83,,
8:38.0,,,95-83,,Defensive rebound by L. Galloway
8:33.0,,,95-83,,Shooting foul by S. Livingston (drawn by L. Galloway)
8:33.0,Official timeout,,95-83,,
8:33.0,K. Thompson enters the game for A. Iguodala,,95-83,,
8:33.0,D. Green enters the game for M. Speights,,95-83,,
8:33.0,,,95-83,,L. Galloway misses free throw 1 of 2
8:33.0,,,95-83,,Offensive rebound by Team
8:33.0,,,95-84,1,L. Galloway makes free throw 2 of 2
8:18.0,Turnover by K. Thompson (bad pass; steal by S. Larkin),,95-84,,
8:12.0,,,95-84,,L. Galloway misses 3-pt shot from 26 ft
8:11.0,Defensive rebound by S. Livingston,,95-84,,
7:57.0,K. Thompson misses 2-pt shot from 12 ft,,95-84,,
7:56.0,,,95-84,,Defensive rebound by J. Smith
7:36.0,,,95-84,,L. Galloway misses 2-pt shot from 1 ft
7:35.0,,,95-84,,Offensive rebound by Q. Acy
7:35.0,,,95-86,2,Q. Acy makes 2-pt shot at rim
7:26.0,,,95-86,,Violation by L. Galloway (kicked ball)
7:26.0,S. Curry enters the game for S. Livingston,,95-86,,
7:21.0,K. Thompson misses 3-pt shot from 24 ft,,95-86,,
7:20.0,,,95-86,,Defensive rebound by J. Smith
7:10.0,,,95-86,,S. Larkin misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by D. Green,,95-86,,
7:00.0,S. Curry misses 2-pt shot from 10 ft,,95-86,,
6:59.0,,,95-86,,Defensive rebound by J. Smith
6:35.0,,,95-86,,Turnover by Team (shot clock)
6:15.0,L. Barbosa misses 3-pt shot from 23 ft,,95-86,,
6:14.0,Offensive rebound by S. Curry,,95-86,,
6:06.0,Turnover by S. Curry (back court),,95-86,,
6:06.0,H. Barnes enters the game for D. Lee,,95-86,,
5:53.0,,,95-88,2,S. Larkin makes 2-pt shot from 1 ft
5:35.0,S. Curry misses 2-pt shot from 19 ft,,95-88,,
5:34.0,,,95-88,,Defensive rebound by Q. Acy
5:30.0,,,95-88,,J. Smith misses 2-pt shot from 5 ft
5:29.0,,,95-88,,Offensive rebound by Team
5:29.0,Loose ball foul by H. Barnes (drawn by J. Smith),,95-88,,
5:29.0,,,95-88,,New York full timeout
5:29.0,A. Iguodala enters the game for L. Barbosa,,95-88,,
5:12.0,,,95-88,,L. Galloway misses 3-pt shot from 25 ft
5:11.0,Defensive rebound by A. Iguodala,,95-88,,
4:57.0,K. Thompson misses 2-pt shot from 2 ft (block by Q. Acy),,95-88,,
4:56.0,,,95-88,,Defensive rebound by J. Smith
4:42.0,,,95-88,,L. Galloway misses 2-pt shot at rim
4:41.0,Defensive rebound by S. Curry,,95-88,,
4:25.0,Turnover by D. Green (bad pass; steal by S. Larkin),,95-88,,
4:20.0,,,95-90,2,S. Larkin makes 2-pt shot from 1 ft
4:07.0,K. Thompson misses 3-pt shot from 24 ft,,95-90,,
4:06.0,Offensive rebound by D. Green,,95-90,,
4:04.0,Shooting foul by T. Hardaway (drawn by H. Barnes),,95-90,,
4:04.0,H. Barnes makes free throw 1 of 2,1,96-90,,
4:04.0,,,96-90,,L. Thomas enters the game for T. Hardaway
4:04.0,H. Barnes misses free throw 2 of 2,,96-90,,
4:04.0,,,96-90,,Defensive rebound by J. Smith
3:41.0,,,96-90,,Q. Acy misses 2-pt shot at rim
3:40.0,,,96-90,,Offensive rebound by Q. Acy
3:38.0,,,96-90,,Q. Acy misses 2-pt shot at rim
3:37.0,Defensive rebound by D. Green,,96-90,,
3:28.0,H. Barnes misses 2-pt shot at rim,,96-90,,
3:27.0,Offensive rebound by A. Iguodala,,96-90,,
3:27.0,A. Iguodala makes 2-pt shot at rim,2,98-90,,
3:27.0,,,98-90,,New York full timeout
3:27.0,,,98-90,,T. Hardaway enters the game for Q. Acy
3:03.0,,,98-90,,S. Larkin misses 2-pt shot at rim
3:02.0,Defensive rebound by D. Green,,98-90,,
