time,LA Clippers,pts.away,score,pts.home,Chicago
7:37.0,M. Barnes makes 2-pt shot from 2 ft,2,10-7,,
7:21.0,,,10-7,,J. Butler misses 3-pt shot from 24 ft
7:21.0,,,10-7,,Offensive rebound by J. Noah
7:21.0,Personal foul by J. Redick (drawn by J. Noah),,10-7,,
7:09.0,,,10-7,,J. Butler misses 2-pt shot from 15 ft
7:08.0,Defensive rebound by D. Jordan,,10-7,,
6:50.0,S. Hawes makes 2-pt shot from 9 ft,2,12-7,,
6:32.0,,,12-7,,M. Dunleavy misses 2-pt shot from 2 ft (block by D. Jordan)
6:30.0,Defensive rebound by M. Barnes,,12-7,,
6:14.0,S. Hawes misses 3-pt shot from 24 ft,,12-7,,
6:13.0,,,12-7,,Defensive rebound by J. Noah
5:58.0,,,12-7,,A. Brooks misses 2-pt shot at rim
5:57.0,,,12-7,,Offensive rebound by J. Noah
5:57.0,,,12-9,2,J. Noah makes 2-pt shot from 2 ft
5:39.0,M. Barnes misses 2-pt shot from 21 ft,,12-9,,
5:39.0,,,12-9,,Defensive rebound by Team
5:39.0,,,12-9,,Chicago full timeout
5:18.0,,,12-9,,P. Gasol misses 2-pt shot from 22 ft
5:17.0,Defensive rebound by Team,,12-9,,
5:12.0,C. Paul makes 2-pt shot from 19 ft,2,14-9,,
4:55.0,,,14-9,,Turnover by A. Brooks (bad pass; steal by J. Redick)
4:45.0,J. Redick makes 3-pt shot from 24 ft (assist by S. Hawes),3,17-9,,
4:31.0,,,17-9,,A. Brooks misses 2-pt shot from 2 ft
4:30.0,Defensive rebound by S. Hawes,,17-9,,
4:25.0,M. Barnes misses 2-pt shot from 1 ft,,17-9,,
4:24.0,Offensive rebound by C. Paul,,17-9,,
4:09.0,C. Paul misses 2-pt shot from 21 ft,,17-9,,
4:08.0,,,17-9,,Defensive rebound by J. Noah
4:01.0,,,17-9,,Turnover by J. Noah (lost ball)
4:01.0,,,17-9,,K. Hinrich enters the game for A. Brooks
4:01.0,,,17-9,,N. Mirotic enters the game for J. Noah
3:44.0,Turnover by C. Paul (bad pass; steal by K. Hinrich),,17-9,,
3:43.0,Personal foul by J. Redick (drawn by N. Mirotic),,17-9,,
3:43.0,J. Crawford enters the game for J. Redick,,17-9,,
3:26.0,,,17-11,2,N. Mirotic makes 2-pt shot from 19 ft
3:09.0,Shooting foul by M. Dunleavy (drawn by M. Barnes),,17-11,,
3:09.0,M. Barnes makes free throw 1 of 2,1,18-11,,
3:09.0,G. Davis enters the game for S. Hawes,,18-11,,
3:09.0,,,18-11,,T. Snell enters the game for M. Dunleavy
3:09.0,M. Barnes misses free throw 2 of 2,,18-11,,
3:07.0,,,18-11,,Defensive rebound by P. Gasol
2:54.0,Personal foul by G. Davis (drawn by N. Mirotic),,18-11,,
2:54.0,LA Clippers full timeout,,18-11,,
2:46.0,,,18-11,,J. Butler misses 2-pt shot from 8 ft
2:45.0,Defensive rebound by D. Jordan,,18-11,,
2:31.0,G. Davis makes 2-pt shot from 2 ft (assist by C. Paul),2,20-11,,
2:07.0,,,20-11,,Turnover by K. Hinrich (bad pass; steal by D. Jordan)
2:01.0,C. Paul makes 2-pt shot from 20 ft,2,22-11,,
1:46.0,,,22-13,2,P. Gasol makes 2-pt shot from 14 ft (assist by T. Snell)
1:26.0,G. Davis misses 2-pt shot from 9 ft,,22-13,,
1:25.0,Offensive rebound by D. Jordan,,22-13,,
1:23.0,D. Jordan makes 2-pt shot from 2 ft,2,24-13,,
1:05.0,,,24-16,3,T. Snell makes 3-pt shot from 23 ft (assist by P. Gasol)
0:44.0,M. Barnes misses 2-pt shot from 9 ft,,24-16,,
0:43.0,,,24-16,,Defensive rebound by P. Gasol
0:34.0,,,24-16,,Shooting foul by J. Crawford (drawn by J. Butler)
0:34.0,,,24-17,1,J. Butler makes free throw 1 of 2
0:34.0,A. Rivers enters the game for G. Davis,,24-17,,
0:34.0,,,24-18,1,J. Butler makes free throw 2 of 2
0:31.0,C. Paul makes 2-pt shot from 15 ft,2,26-18,,
0:05.0,,,26-18,,K. Hinrich misses 2-pt shot from 18 ft
0:03.0,Defensive rebound by D. Jordan,,26-18,,
0:00.0,J. Crawford misses 3-pt shot from 33 ft,,26-18,,
0:00.0,Offensive rebound by Team,,26-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,S. Hawes misses 2-pt shot from 20 ft,,26-18,,
11:40.0,,,26-18,,Defensive rebound by T. Snell
11:29.0,,,26-18,,K. Hinrich misses 3-pt shot from 24 ft
11:28.0,,,26-18,,Offensive rebound by J. Butler
11:27.0,,,26-18,,Shooting foul by S. Hawes (drawn by N. Mirotic)
11:27.0,,,26-18,,N. Mirotic misses free throw 1 of 2
11:27.0,,,26-18,,Offensive rebound by Team
11:27.0,,,26-19,1,N. Mirotic makes free throw 2 of 2
11:11.0,Turnover by M. Barnes (bad pass),,26-19,,
10:57.0,,,26-22,3,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Butler)
10:44.0,J. Crawford misses 3-pt shot from 25 ft,,26-22,,
10:43.0,,,26-22,,Defensive rebound by N. Mirotic
10:28.0,,,26-22,,J. Butler misses 2-pt shot from 12 ft
10:27.0,,,26-22,,Offensive rebound by N. Mirotic
10:18.0,,,26-22,,T. Snell misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by M. Barnes,,26-22,,
10:01.0,J. Crawford misses 3-pt shot from 25 ft,,26-22,,
10:00.0,Offensive rebound by S. Hawes,,26-22,,
9:53.0,A. Rivers misses 2-pt shot from 19 ft,,26-22,,
9:52.0,,,26-22,,Defensive rebound by J. Butler
9:48.0,,,26-24,2,N. Mirotic makes 2-pt shot at rim (assist by J. Butler)
9:47.0,LA Clippers full timeout,,26-24,,
9:47.0,J. Hamilton enters the game for M. Barnes,,26-24,,
9:23.0,Turnover by Team (shot clock),,26-24,,
9:23.0,H. Turkoglu enters the game for S. Hawes,,26-24,,
9:07.0,,,26-26,2,J. Butler makes 2-pt shot at rim (assist by J. Noah)
8:40.0,A. Rivers misses 2-pt shot from 10 ft,,26-26,,
8:38.0,Offensive rebound by A. Rivers,,26-26,,
8:37.0,A. Rivers misses 2-pt shot from 1 ft,,26-26,,
8:36.0,Offensive rebound by A. Rivers,,26-26,,
8:27.0,A. Rivers misses 2-pt shot at rim,,26-26,,
8:25.0,,,26-26,,Defensive rebound by K. Hinrich
8:10.0,Personal foul by J. Hamilton (drawn by N. Mirotic),,26-26,,
8:10.0,D. Jordan enters the game for G. Davis,,26-26,,
8:10.0,J. Redick enters the game for J. Hamilton,,26-26,,
8:06.0,,,26-26,,Shooting foul by H. Turkoglu (drawn by J. Noah)
8:06.0,,,26-26,,J. Noah misses free throw 1 of 2
8:06.0,,,26-26,,Offensive rebound by Team
8:06.0,,,26-26,,M. Dunleavy enters the game for J. Butler
8:06.0,,,26-27,1,J. Noah makes free throw 2 of 2
7:49.0,H. Turkoglu makes 2-pt shot from 2 ft,2,28-27,,
7:33.0,,,28-29,2,N. Mirotic makes 2-pt shot from 20 ft
7:18.0,J. Crawford misses 2-pt shot from 17 ft,,28-29,,
7:15.0,,,28-29,,Defensive rebound by T. Snell
7:02.0,,,28-29,,J. Noah misses 2-pt shot from 17 ft
7:01.0,Defensive rebound by A. Rivers,,28-29,,
6:52.0,Turnover by D. Jordan (lost ball; steal by K. Hinrich),,28-29,,
6:46.0,,,28-29,,N. Mirotic misses 2-pt shot from 2 ft
6:44.0,,,28-29,,Offensive rebound by K. Hinrich
6:39.0,,,28-29,,K. Hinrich misses 3-pt shot from 25 ft
6:39.0,,,28-29,,Offensive rebound by J. Noah
6:39.0,,,28-29,,Shooting foul by A. Rivers (drawn by J. Noah)
6:39.0,,,28-30,1,J. Noah makes free throw 1 of 2
6:39.0,C. Paul enters the game for A. Rivers,,28-30,,
6:39.0,,,28-30,,J. Noah misses free throw 2 of 2
6:38.0,Defensive rebound by D. Jordan,,28-30,,
6:30.0,J. Redick makes 2-pt shot from 1 ft,2,30-30,,
6:13.0,,,30-32,2,N. Mirotic makes 2-pt shot from 1 ft (assist by T. Snell)
5:44.0,C. Paul misses 3-pt shot from 22 ft,,30-32,,
5:43.0,,,30-32,,Defensive rebound by M. Dunleavy
5:34.0,,,30-32,,N. Mirotic misses 2-pt shot from 3 ft
5:33.0,Defensive rebound by D. Jordan,,30-32,,
5:27.0,H. Turkoglu makes 3-pt shot from 24 ft (assist by C. Paul),3,33-32,,
5:11.0,,,33-32,,K. Hinrich misses 2-pt shot from 11 ft
5:11.0,,,33-32,,Offensive rebound by J. Noah
5:11.0,,,33-32,,Shooting foul by D. Jordan (drawn by J. Noah)
5:11.0,,,33-32,,Chicago full timeout
5:11.0,,,33-33,1,J. Noah makes free throw 1 of 2
5:11.0,,,33-34,1,J. Noah makes free throw 2 of 2
4:53.0,H. Turkoglu misses 3-pt shot from 24 ft,,33-34,,
4:53.0,,,33-34,,Defensive rebound by Team
4:29.0,,,33-34,,J. Noah misses 2-pt shot from 2 ft
4:27.0,Defensive rebound by D. Jordan,,33-34,,
4:26.0,,,33-34,,Personal foul by N. Mirotic (drawn by C. Paul)
4:10.0,J. Crawford misses 2-pt shot from 22 ft,,33-34,,
4:09.0,Offensive rebound by D. Jordan,,33-34,,
4:08.0,D. Jordan makes 2-pt shot at rim,2,35-34,,
3:50.0,,,35-34,,N. Mirotic misses 2-pt shot from 3 ft (block by D. Jordan)
3:48.0,Defensive rebound by C. Paul,,35-34,,
3:43.0,J. Crawford misses 2-pt shot from 1 ft,,35-34,,
3:42.0,,,35-34,,Defensive rebound by M. Dunleavy
3:29.0,,,35-34,,K. Hinrich misses 2-pt shot from 11 ft
3:28.0,Defensive rebound by D. Jordan,,35-34,,
3:22.0,C. Paul makes 2-pt shot from 16 ft,2,37-34,,
3:12.0,,,37-34,,Chicago full timeout
3:12.0,S. Hawes enters the game for J. Crawford,,37-34,,
3:12.0,M. Barnes enters the game for H. Turkoglu,,37-34,,
3:12.0,,,37-34,,P. Gasol enters the game for J. Noah
3:12.0,,,37-34,,A. Brooks enters the game for K. Hinrich
3:12.0,,,37-34,,J. Butler enters the game for T. Snell
2:54.0,,,37-34,,M. Dunleavy misses 2-pt shot from 1 ft
2:53.0,Defensive rebound by D. Jordan,,37-34,,
2:43.0,S. Hawes misses 3-pt shot from 25 ft,,37-34,,
2:43.0,Offensive rebound by Team,,37-34,,
2:35.0,J. Redick misses 2-pt shot from 20 ft,,37-34,,
2:34.0,Offensive rebound by D. Jordan,,37-34,,
2:31.0,M. Barnes misses 2-pt shot from 3 ft,,37-34,,
2:30.0,,,37-34,,Defensive rebound by N. Mirotic
2:14.0,,,37-34,,P. Gasol misses 2-pt shot from 1 ft
2:13.0,,,37-34,,Offensive rebound by P. Gasol
2:13.0,,,37-36,2,P. Gasol makes 2-pt shot from 1 ft
1:55.0,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul),2,39-36,,
1:41.0,,,39-38,2,A. Brooks makes 2-pt shot from 2 ft
1:31.0,C. Paul makes 2-pt shot from 15 ft,2,41-38,,
1:12.0,,,41-38,,J. Butler misses 3-pt shot from 24 ft
1:11.0,Defensive rebound by C. Paul,,41-38,,
1:05.0,J. Redick misses 2-pt shot from 20 ft,,41-38,,
1:04.0,Offensive rebound by S. Hawes,,41-38,,
1:04.0,S. Hawes misses 2-pt shot from 3 ft,,41-38,,
1:03.0,,,41-38,,Defensive rebound by M. Dunleavy
0:50.0,,,41-38,,Shooting foul by D. Jordan (drawn by N. Mirotic)
0:50.0,,,41-39,1,N. Mirotic makes free throw 1 of 2
0:50.0,J. Crawford enters the game for S. Hawes,,41-39,,
0:50.0,,,41-39,,N. Mirotic misses free throw 2 of 2
0:49.0,Defensive rebound by J. Redick,,41-39,,
0:41.0,C. Paul makes 2-pt shot from 2 ft,2,43-39,,
0:35.0,,,43-41,2,A. Brooks makes 2-pt shot from 2 ft
0:30.0,C. Paul misses 2-pt shot from 14 ft,,43-41,,
0:28.0,,,43-41,,Defensive rebound by N. Mirotic
0:09.0,,,43-41,,N. Mirotic misses 2-pt shot from 10 ft (block by M. Barnes)
0:08.0,Defensive rebound by D. Jordan,,43-41,,
0:05.0,LA Clippers full timeout,,43-41,,
0:05.0,,,43-41,,K. Hinrich enters the game for M. Dunleavy
0:05.0,,,43-41,,T. Snell enters the game for P. Gasol
0:05.0,,,43-41,,J. Noah enters the game for A. Brooks
0:05.0,,,43-41,,M. Dunleavy enters the game for N. Mirotic
0:05.0,,,43-41,,Personal take foul by K. Hinrich (drawn by C. Paul)
0:00.0,J. Crawford misses 3-pt shot from 26 ft,,43-41,,
0:00.0,Offensive rebound by Team,,43-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,M. Barnes misses 3-pt shot from 24 ft,,43-41,,
11:37.0,,,43-41,,Defensive rebound by P. Gasol
11:22.0,,,43-41,,Shooting foul by M. Barnes (drawn by J. Noah)
11:22.0,,,43-42,1,J. Noah makes free throw 1 of 2
11:22.0,,,43-43,1,J. Noah makes free throw 2 of 2
11:08.0,C. Paul misses 2-pt shot from 17 ft,,43-43,,
11:06.0,,,43-43,,Defensive rebound by J. Noah
10:49.0,,,43-43,,P. Gasol misses 2-pt shot from 16 ft
10:48.0,Defensive rebound by S. Hawes,,43-43,,
10:40.0,S. Hawes makes 3-pt shot from 24 ft (assist by C. Paul),3,46-43,,
10:23.0,,,46-46,3,J. Butler makes 3-pt shot from 25 ft (assist by J. Noah)
10:08.0,S. Hawes makes 2-pt shot from 22 ft (assist by C. Paul),2,48-46,,
9:53.0,Personal foul by M. Barnes (drawn by J. Butler),,48-46,,
9:48.0,,,48-46,,Shooting foul by D. Jordan (drawn by J. Noah)
9:48.0,,,48-47,1,J. Noah makes free throw 1 of 2
9:48.0,,,48-47,,J. Noah misses free throw 2 of 2
9:47.0,,,48-47,,Offensive rebound by Team
9:33.0,,,48-49,2,J. Noah makes 2-pt shot at rim (assist by P. Gasol)
9:24.0,,,48-49,,T. Snell enters the game for J. Butler
9:16.0,S. Hawes misses 2-pt shot from 7 ft,,48-49,,
9:15.0,,,48-49,,Defensive rebound by P. Gasol
9:07.0,,,48-52,3,A. Brooks makes 3-pt shot from 24 ft
9:06.0,LA Clippers full timeout,,48-52,,
9:06.0,J. Crawford enters the game for M. Barnes,,48-52,,
8:49.0,J. Crawford makes 2-pt shot from 21 ft (assist by C. Paul),2,50-52,,
8:28.0,,,50-54,2,A. Brooks makes 2-pt shot from 6 ft
8:13.0,Turnover by S. Hawes (offensive goaltending),,50-54,,
7:51.0,,,50-54,,A. Brooks misses 2-pt shot from 22 ft
7:50.0,,,50-54,,Offensive rebound by P. Gasol
7:50.0,,,50-54,,P. Gasol misses 2-pt shot from 3 ft
7:49.0,,,50-54,,Offensive rebound by T. Snell
7:48.0,,,50-54,,T. Snell misses 2-pt shot from 1 ft
7:48.0,,,50-54,,Offensive rebound by T. Snell
7:48.0,,,50-54,,Shooting foul by C. Paul (drawn by T. Snell)
7:48.0,,,50-55,1,T. Snell makes free throw 1 of 2
7:48.0,,,50-56,1,T. Snell makes free throw 2 of 2
7:38.0,Shooting foul by A. Brooks (drawn by C. Paul),,50-56,,
7:38.0,C. Paul misses free throw 1 of 2,,50-56,,
7:38.0,Offensive rebound by Team,,50-56,,
7:38.0,C. Paul makes free throw 2 of 2,1,51-56,,
7:20.0,Personal foul by S. Hawes (drawn by T. Snell),,51-56,,
7:20.0,,,51-57,1,T. Snell makes free throw 1 of 2
7:20.0,,,51-58,1,T. Snell makes free throw 2 of 2
7:07.0,C. Paul makes 2-pt shot from 12 ft,2,53-58,,
6:53.0,,,53-61,3,T. Snell makes 3-pt shot from 25 ft (assist by J. Noah)
6:33.0,S. Hawes makes 2-pt shot from 2 ft (assist by C. Paul),2,55-61,,
6:17.0,,,55-61,,P. Gasol misses 2-pt shot from 15 ft
6:16.0,Defensive rebound by S. Hawes,,55-61,,
6:06.0,C. Paul makes 2-pt shot from 17 ft,2,57-61,,
5:45.0,,,57-61,,A. Brooks misses 2-pt shot from 2 ft (block by S. Hawes)
5:45.0,,,57-61,,Offensive rebound by Team
5:40.0,,,57-61,,P. Gasol misses 2-pt shot from 20 ft
5:39.0,Defensive rebound by S. Hawes,,57-61,,
5:30.0,C. Paul makes 2-pt shot from 18 ft,2,59-61,,
5:29.0,,,59-61,,Chicago full timeout
5:10.0,,,59-61,,A. Brooks misses 3-pt shot from 25 ft
5:09.0,Defensive rebound by S. Hawes,,59-61,,
4:58.0,S. Hawes makes 3-pt shot from 23 ft (assist by C. Paul),3,62-61,,
4:39.0,,,62-61,,Turnover by T. Snell (bad pass; steal by J. Crawford)
4:29.0,J. Redick misses 3-pt shot from 25 ft,,62-61,,
4:28.0,,,62-61,,Defensive rebound by P. Gasol
4:07.0,,,62-61,,J. Noah misses 2-pt shot from 2 ft (block by S. Hawes)
4:06.0,,,62-61,,Offensive rebound by P. Gasol
4:06.0,,,62-61,,P. Gasol misses 2-pt shot at rim
4:04.0,Defensive rebound by S. Hawes,,62-61,,
3:58.0,J. Redick misses 3-pt shot from 27 ft,,62-61,,
3:57.0,,,62-61,,Defensive rebound by T. Snell
3:50.0,,,62-61,,J. Noah misses 2-pt shot from 2 ft (block by S. Hawes)
3:48.0,,,62-61,,Offensive rebound by T. Snell
3:45.0,,,62-64,3,A. Brooks makes 3-pt shot from 25 ft (assist by M. Dunleavy)
3:29.0,J. Crawford makes 2-pt shot from 14 ft (assist by C. Paul),2,64-64,,
3:10.0,,,64-67,3,T. Snell makes 3-pt shot from 23 ft (assist by P. Gasol)
2:51.0,J. Redick misses 3-pt shot from 25 ft,,64-67,,
2:49.0,,,64-67,,Defensive rebound by P. Gasol
2:44.0,Personal foul by C. Paul (drawn by A. Brooks),,64-67,,
2:44.0,,,64-68,1,A. Brooks makes free throw 1 of 2
2:44.0,,,64-68,,N. Mirotic enters the game for J. Noah
2:44.0,M. Barnes enters the game for S. Hawes,,64-68,,
2:44.0,A. Rivers enters the game for J. Redick,,64-68,,
2:44.0,,,64-69,1,A. Brooks makes free throw 2 of 2
2:29.0,J. Crawford misses 3-pt shot from 24 ft,,64-69,,
2:28.0,,,64-69,,Defensive rebound by N. Mirotic
2:15.0,,,64-69,,T. Snell misses 2-pt shot from 14 ft (block by M. Barnes)
2:15.0,Defensive rebound by Team,,64-69,,
2:15.0,,,64-69,,K. Hinrich enters the game for A. Brooks
2:07.0,M. Barnes makes 3-pt shot from 25 ft (assist by C. Paul),3,67-69,,
1:50.0,,,67-69,,P. Gasol misses 2-pt shot from 5 ft (block by J. Crawford)
1:48.0,Defensive rebound by D. Jordan,,67-69,,
1:33.0,J. Crawford misses 2-pt shot from 22 ft,,67-69,,
1:32.0,,,67-69,,Defensive rebound by P. Gasol
1:23.0,,,67-69,,Turnover by N. Mirotic (bad pass)
1:12.0,J. Crawford misses 2-pt shot from 2 ft,,67-69,,
1:11.0,,,67-69,,Defensive rebound by P. Gasol
1:04.0,,,67-69,,N. Mirotic misses 3-pt shot from 24 ft
1:03.0,,,67-69,,Offensive rebound by M. Dunleavy
1:00.0,,,67-69,,N. Mirotic misses 3-pt shot from 24 ft
0:59.0,Defensive rebound by D. Jordan,,67-69,,
0:37.0,C. Paul misses 3-pt shot from 22 ft,,67-69,,
0:36.0,Offensive rebound by D. Jordan,,67-69,,
0:27.0,J. Crawford makes 2-pt shot from 6 ft,2,69-69,,
0:06.0,,,69-69,,Turnover by T. Snell (lost ball)
0:06.0,J. Redick enters the game for D. Jordan,,69-69,,
0:06.0,,,69-69,,E. Moore enters the game for P. Gasol
0:05.0,,,69-69,,Personal take foul by K. Hinrich (drawn by C. Paul)
0:04.0,Turnover by M. Barnes (bad pass),,69-69,,
0:04.0,,,69-69,,P. Gasol enters the game for K. Hinrich
0:04.0,,,69-69,,A. Brooks enters the game for E. Moore
0:04.0,D. Jordan enters the game for C. Paul,,69-69,,
0:00.0,,,69-69,,A. Brooks misses 3-pt shot from 25 ft
0:00.0,,,69-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,69-69,,N. Mirotic misses 3-pt shot from 25 ft
11:47.0,Defensive rebound by J. Redick,,69-69,,
11:32.0,Shooting foul by M. Dunleavy (drawn by J. Crawford),,69-69,,
11:32.0,J. Crawford makes free throw 1 of 2,1,70-69,,
11:32.0,J. Crawford makes free throw 2 of 2,1,71-69,,
11:19.0,,,71-69,,Turnover by T. Snell (traveling)
11:06.0,J. Redick misses 2-pt shot from 19 ft,,71-69,,
11:05.0,,,71-69,,Defensive rebound by N. Mirotic
10:57.0,,,71-69,,K. Hinrich misses 2-pt shot from 14 ft
10:56.0,Defensive rebound by J. Redick,,71-69,,
10:41.0,A. Rivers misses 2-pt shot from 6 ft,,71-69,,
10:39.0,,,71-69,,Defensive rebound by J. Noah
10:34.0,Personal foul by J. Redick (drawn by J. Noah),,71-69,,
10:34.0,,,71-69,,A. Brooks enters the game for M. Dunleavy
10:17.0,,,71-69,,A. Brooks misses 2-pt shot from 4 ft (block by G. Davis)
10:17.0,,,71-69,,Offensive rebound by Team
10:16.0,,,71-69,,Turnover by Team (shot clock)
10:04.0,J. Crawford misses 2-pt shot from 17 ft,,71-69,,
10:03.0,,,71-69,,Defensive rebound by N. Mirotic
9:54.0,,,71-71,2,N. Mirotic makes 2-pt shot at rim (assist by J. Noah)
9:54.0,,,71-71,,Shooting foul by M. Barnes (drawn by N. Mirotic)
9:54.0,,,71-71,,N. Mirotic misses free throw 1 of 1
9:53.0,Defensive rebound by M. Barnes,,71-71,,
9:42.0,J. Redick makes 2-pt shot from 18 ft (assist by A. Rivers),2,73-71,,
9:17.0,,,73-73,2,N. Mirotic makes 2-pt shot from 22 ft (assist by A. Brooks)
9:02.0,Turnover by G. Davis (bad pass),,73-73,,
8:48.0,,,73-73,,Shooting foul by M. Barnes (drawn by N. Mirotic)
8:48.0,,,73-75,2,N. Mirotic makes 2-pt shot from 2 ft (assist by J. Noah)
8:48.0,,,73-75,,Chicago full timeout
8:48.0,,,73-76,1,N. Mirotic makes free throw 1 of 1
8:36.0,A. Rivers makes 2-pt shot from 17 ft,2,75-76,,
8:22.0,Personal foul by A. Rivers (drawn by N. Mirotic),,75-76,,
8:22.0,D. Jordan enters the game for G. Davis,,75-76,,
8:08.0,,,75-76,,Turnover by K. Hinrich (bad pass; steal by A. Rivers)
8:02.0,J. Crawford makes 3-pt shot from 23 ft (assist by M. Barnes),3,78-76,,
7:38.0,,,78-76,,A. Brooks misses 2-pt shot from 2 ft
7:37.0,Defensive rebound by D. Jordan,,78-76,,
7:21.0,M. Barnes misses 2-pt shot from 6 ft,,78-76,,
7:20.0,,,78-76,,Defensive rebound by J. Noah
7:08.0,Personal foul by J. Redick (drawn by N. Mirotic),,78-76,,
7:08.0,,,78-77,1,N. Mirotic makes free throw 1 of 2
7:08.0,C. Paul enters the game for A. Rivers,,78-77,,
7:08.0,,,78-78,1,N. Mirotic makes free throw 2 of 2
6:58.0,J. Crawford makes 2-pt shot from 20 ft,2,80-78,,
6:41.0,,,80-78,,Turnover by A. Brooks (back court)
6:37.0,Turnover by J. Crawford (kicked ball),,80-78,,
6:15.0,,,80-78,,A. Brooks misses 2-pt shot from 3 ft
6:15.0,,,80-78,,Offensive rebound by J. Noah
6:15.0,,,80-78,,J. Noah misses 2-pt shot from 2 ft
6:12.0,Defensive rebound by D. Jordan,,80-78,,
6:12.0,,,80-78,,Personal foul by N. Mirotic (drawn by D. Jordan)
5:53.0,C. Paul makes 2-pt shot from 18 ft,2,82-78,,
5:27.0,,,82-78,,N. Mirotic misses 2-pt shot from 15 ft
5:26.0,Defensive rebound by C. Paul,,82-78,,
5:25.0,,,82-78,,Personal block foul by A. Brooks (drawn by C. Paul)
5:25.0,,,82-78,,Chicago full timeout
5:25.0,,,82-78,,P. Gasol enters the game for J. Noah
5:04.0,C. Paul misses 3-pt shot from 25 ft,,82-78,,
5:03.0,Offensive rebound by J. Redick,,82-78,,
4:59.0,Shooting foul by N. Mirotic (drawn by D. Jordan),,82-78,,
4:59.0,D. Jordan misses free throw 1 of 2,,82-78,,
4:59.0,Offensive rebound by Team,,82-78,,
4:59.0,D. Jordan makes free throw 2 of 2,1,83-78,,
4:47.0,,,83-78,,N. Mirotic misses 3-pt shot from 23 ft (block by M. Barnes)
4:45.0,Defensive rebound by J. Redick,,83-78,,
4:32.0,M. Barnes misses 3-pt shot from 25 ft,,83-78,,
4:31.0,,,83-78,,Defensive rebound by N. Mirotic
4:12.0,,,83-80,2,N. Mirotic makes 2-pt shot from 11 ft (assist by P. Gasol)
4:05.0,,,83-80,,Personal take foul by P. Gasol (drawn by D. Jordan)
4:05.0,D. Jordan makes free throw 1 of 2,1,84-80,,
4:05.0,D. Jordan misses free throw 2 of 2,,84-80,,
4:04.0,,,84-80,,Defensive rebound by P. Gasol
3:48.0,,,84-80,,P. Gasol misses 2-pt shot from 6 ft
