time,Boston,pts.away,score,pts.home,Toronto
3:02.0,M. Thornton enters the game for J. Crowder,,19-11,,
3:02.0,,,19-12,1,L. Williams makes free throw 2 of 2
2:58.0,Boston full timeout,,19-12,,
2:58.0,,,19-12,,G. Vasquez enters the game for J. Johnson
2:58.0,B. Bass enters the game for J. Sullinger,,19-12,,
2:53.0,K. Olynyk makes 2-pt shot from 2 ft (assist by E. Turner),2,21-12,,
2:40.0,Shooting block foul by B. Bass (drawn by K. Lowry),,21-12,,
2:40.0,,,21-13,1,K. Lowry makes free throw 1 of 2
2:40.0,,,21-14,1,K. Lowry makes free throw 2 of 2
2:26.0,A. Bradley misses 2-pt shot from 5 ft,,21-14,,
2:25.0,,,21-14,,Defensive rebound by P. Patterson
2:16.0,,,21-17,3,P. Patterson makes 3-pt shot from 25 ft (assist by L. Williams)
2:04.0,Offensive charge foul by E. Turner,,21-17,,
2:04.0,Turnover by E. Turner (offensive foul),,21-17,,
2:04.0,M. Smart enters the game for E. Turner,,21-17,,
1:52.0,,,21-19,2,K. Lowry makes 2-pt shot from 1 ft (assist by P. Patterson)
1:30.0,M. Smart makes 3-pt shot from 23 ft (assist by B. Bass),3,24-19,,
1:18.0,,,24-19,,L. Williams misses 3-pt shot from 26 ft
1:17.0,Defensive rebound by M. Thornton,,24-19,,
1:08.0,A. Bradley misses 2-pt shot from 2 ft,,24-19,,
1:07.0,,,24-19,,Defensive rebound by T. Hansbrough
0:52.0,,,24-19,,T. Hansbrough misses 2-pt shot from 4 ft
0:51.0,Defensive rebound by B. Bass,,24-19,,
0:44.0,K. Olynyk makes 2-pt shot from 1 ft (assist by M. Thornton),2,26-19,,
0:26.0,,,26-19,,Turnover by G. Vasquez (bad pass; steal by M. Smart)
0:20.0,Turnover by M. Smart (bad pass; steal by L. Williams),,26-19,,
0:00.0,,,26-19,,L. Williams misses 2-pt shot from 19 ft
0:00.0,,,26-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,26-19,,P. Patterson misses 3-pt shot from 25 ft
11:46.0,Defensive rebound by M. Thornton,,26-19,,
11:35.0,B. Bass makes 2-pt shot from 17 ft (assist by P. Pressey),2,28-19,,
11:14.0,,,28-21,2,J. Valanciunas makes 2-pt shot at rim (assist by P. Patterson)
10:56.0,M. Thornton misses 2-pt shot from 4 ft (block by P. Patterson),,28-21,,
10:56.0,Offensive rebound by Team,,28-21,,
10:53.0,B. Bass misses 2-pt shot from 3 ft,,28-21,,
10:52.0,,,28-21,,Defensive rebound by G. Vasquez
10:43.0,,,28-21,,L. Williams misses 2-pt shot from 3 ft
10:42.0,Defensive rebound by M. Smart,,28-21,,
10:36.0,Turnover by K. Olynyk (traveling),,28-21,,
10:23.0,,,28-21,,L. Williams misses 3-pt shot from 24 ft
10:22.0,Defensive rebound by K. Olynyk,,28-21,,
10:09.0,K. Olynyk makes 2-pt shot at rim (assist by M. Smart),2,30-21,,
9:48.0,,,30-24,3,L. Williams makes 3-pt shot from 22 ft (assist by G. Vasquez)
9:30.0,B. Bass misses 2-pt shot from 14 ft,,30-24,,
9:29.0,,,30-24,,Defensive rebound by G. Vasquez
9:13.0,,,30-27,3,T. Ross makes 3-pt shot from 27 ft (assist by J. Valanciunas)
8:55.0,B. Bass makes 2-pt shot from 3 ft (assist by K. Olynyk),2,32-27,,
8:55.0,Shooting foul by J. Valanciunas (drawn by B. Bass),,32-27,,
8:55.0,Official timeout,,32-27,,
8:55.0,,,32-27,,A. Johnson enters the game for J. Valanciunas
8:55.0,B. Bass misses free throw 1 of 1,,32-27,,
8:54.0,,,32-27,,Defensive rebound by P. Patterson
8:34.0,,,32-27,,Turnover by L. Williams (bad pass; steal by K. Olynyk)
8:29.0,K. Olynyk misses 2-pt shot from 4 ft,,32-27,,
8:27.0,,,32-27,,Defensive rebound by P. Patterson
8:21.0,,,32-29,2,A. Johnson makes 2-pt shot at rim (assist by T. Ross)
7:58.0,B. Bass misses 2-pt shot from 16 ft,,32-29,,
7:56.0,Offensive rebound by Team,,32-29,,
7:56.0,,,32-29,,Loose ball foul by A. Johnson (drawn by K. Olynyk)
7:53.0,Turnover by M. Thornton (lost ball; steal by A. Johnson),,32-29,,
7:47.0,,,32-29,,T. Ross misses 3-pt shot from 26 ft
7:46.0,Defensive rebound by B. Bass,,32-29,,
7:39.0,,,32-29,,Shooting block foul by T. Ross (drawn by K. Olynyk)
7:39.0,K. Olynyk makes free throw 1 of 2,1,33-29,,
7:39.0,J. Crowder enters the game for M. Thornton,,33-29,,
7:39.0,K. Olynyk makes free throw 2 of 2,1,34-29,,
7:24.0,,,34-31,2,A. Johnson makes 2-pt shot from 2 ft (assist by L. Williams)
7:16.0,P. Pressey makes 2-pt shot from 3 ft,2,36-31,,
7:00.0,,,36-31,,P. Patterson misses 2-pt shot from 18 ft
6:59.0,Defensive rebound by J. Crowder,,36-31,,
6:42.0,,,36-31,,Personal block foul by A. Johnson (drawn by B. Bass)
6:42.0,T. Zeller enters the game for K. Olynyk,,36-31,,
6:42.0,,,36-31,,K. Lowry enters the game for L. Williams
6:42.0,,,36-31,,T. Hansbrough enters the game for P. Patterson
6:36.0,M. Smart makes 2-pt shot from 17 ft (assist by B. Bass),2,38-31,,
6:14.0,,,38-31,,A. Johnson misses 2-pt shot from 6 ft
6:13.0,Defensive rebound by T. Zeller,,38-31,,
5:57.0,Offensive charge foul by B. Bass,,38-31,,
5:57.0,Turnover by B. Bass (offensive foul),,38-31,,
5:57.0,,,38-31,,Toronto full timeout
5:57.0,,,38-31,,J. Johnson enters the game for T. Ross
5:49.0,,,38-31,,Turnover by A. Johnson (bad pass)
5:35.0,B. Bass makes 2-pt shot at rim (assist by J. Crowder),2,40-31,,
5:15.0,,,40-34,3,G. Vasquez makes 3-pt shot from 25 ft (assist by K. Lowry)
4:59.0,P. Pressey misses 3-pt shot from 26 ft,,40-34,,
4:58.0,,,40-34,,Defensive rebound by G. Vasquez
4:46.0,,,40-34,,A. Johnson misses 2-pt shot from 4 ft (block by J. Crowder)
4:43.0,Defensive rebound by M. Smart,,40-34,,
4:37.0,Turnover by J. Crowder (bad pass),,40-34,,
4:37.0,Loose ball foul by T. Zeller (drawn by K. Lowry),,40-34,,
4:37.0,A. Bradley enters the game for B. Bass,,40-34,,
4:37.0,J. Sullinger enters the game for P. Pressey,,40-34,,
4:18.0,,,40-34,,K. Lowry misses 2-pt shot from 12 ft
4:17.0,,,40-34,,Offensive rebound by T. Hansbrough
4:13.0,,,40-34,,Offensive charge foul by J. Johnson
4:13.0,,,40-34,,Turnover by J. Johnson (offensive foul)
3:58.0,T. Zeller misses 2-pt shot from 4 ft (block by T. Hansbrough),,40-34,,
3:56.0,,,40-34,,Defensive rebound by G. Vasquez
3:41.0,,,40-34,,G. Vasquez misses 3-pt shot from 26 ft
3:40.0,,,40-34,,Offensive rebound by K. Lowry
3:35.0,,,40-37,3,K. Lowry makes 3-pt shot from 24 ft
3:28.0,Boston full timeout,,40-37,,
3:28.0,,,40-37,,L. Williams enters the game for G. Vasquez
3:20.0,Turnover by A. Bradley (bad pass),,40-37,,
3:20.0,E. Turner enters the game for M. Smart,,40-37,,
3:02.0,,,40-37,,K. Lowry misses 2-pt shot from 19 ft
3:01.0,,,40-37,,Offensive rebound by Team
3:00.0,,,40-39,2,L. Williams makes 2-pt shot from 1 ft (assist by K. Lowry)
3:00.0,,,40-39,,Shooting foul by E. Turner (drawn by L. Williams)
3:00.0,,,40-40,1,L. Williams makes free throw 1 of 1
2:45.0,Turnover by J. Crowder (lost ball; steal by T. Hansbrough),,40-40,,
2:40.0,,,40-40,,J. Johnson misses 2-pt shot from 1 ft
2:39.0,,,40-40,,Offensive rebound by T. Hansbrough
2:36.0,,,40-40,,T. Hansbrough misses 2-pt shot from 1 ft
2:35.0,,,40-40,,Offensive rebound by T. Hansbrough
2:27.0,,,40-40,,J. Johnson misses 2-pt shot from 3 ft
2:26.0,Defensive rebound by J. Sullinger,,40-40,,
2:20.0,Turnover by E. Turner (lost ball; steal by L. Williams),,40-40,,
2:17.0,,,40-40,,Shooting foul by J. Sullinger (drawn by A. Johnson)
2:17.0,,,40-41,1,A. Johnson makes free throw 1 of 2
2:17.0,,,40-42,1,A. Johnson makes free throw 2 of 2
2:03.0,Turnover by E. Turner (bad pass; steal by K. Lowry),,40-42,,
1:50.0,,,40-42,,Offensive charge foul by A. Johnson
1:50.0,,,40-42,,Turnover by A. Johnson (offensive foul)
1:50.0,B. Bass enters the game for T. Zeller,,40-42,,
1:50.0,,,40-42,,P. Patterson enters the game for A. Johnson
1:34.0,A. Bradley misses 3-pt shot from 24 ft,,40-42,,
1:33.0,,,40-42,,Defensive rebound by L. Williams
1:28.0,,,40-42,,Shooting foul by B. Bass (drawn by J. Johnson)
1:28.0,,,40-43,1,J. Johnson makes free throw 1 of 2
1:28.0,M. Smart enters the game for J. Crowder,,40-43,,
1:28.0,,,40-43,,J. Johnson misses free throw 2 of 2
1:27.0,Defensive rebound by B. Bass,,40-43,,
1:06.0,A. Bradley makes 3-pt shot from 26 ft (assist by B. Bass),3,43-43,,
1:00.0,,,43-43,,Shooting foul by J. Sullinger (drawn by T. Hansbrough)
1:00.0,,,43-44,1,T. Hansbrough makes free throw 1 of 2
1:00.0,,,43-45,1,T. Hansbrough makes free throw 2 of 2
0:39.0,A. Bradley misses 2-pt shot from 18 ft,,43-45,,
0:38.0,,,43-45,,Defensive rebound by P. Patterson
0:30.0,,,43-45,,L. Williams misses 2-pt shot from 4 ft
0:29.0,Defensive rebound by E. Turner,,43-45,,
0:24.0,Boston full timeout,,43-45,,
0:24.0,K. Olynyk enters the game for B. Bass,,43-45,,
0:20.0,Turnover by M. Smart (lost ball; steal by P. Patterson),,43-45,,
0:18.0,,,43-47,2,L. Williams makes 2-pt shot at rim (assist by P. Patterson)
0:00.0,M. Smart misses 3-pt shot from 25 ft (block by J. Johnson),,43-47,,
0:00.0,,,43-47,,Defensive rebound by P. Patterson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,43-49,2,A. Johnson makes 2-pt shot from 2 ft (assist by T. Ross)
11:30.0,A. Bradley makes 2-pt shot from 18 ft (assist by J. Sullinger),2,45-49,,
11:14.0,,,45-49,,T. Ross misses 2-pt shot from 13 ft
11:13.0,Defensive rebound by T. Zeller,,45-49,,
11:03.0,T. Zeller makes 2-pt shot from 4 ft (assist by E. Turner),2,47-49,,
10:48.0,,,47-49,,Turnover by T. Ross (lost ball; steal by A. Bradley)
10:43.0,E. Turner makes 2-pt shot at rim (assist by A. Bradley),2,49-49,,
10:21.0,,,49-49,,T. Ross misses 2-pt shot at rim
10:20.0,Defensive rebound by J. Crowder,,49-49,,
10:14.0,Shooting foul by A. Johnson (drawn by J. Crowder),,49-49,,
10:14.0,J. Crowder misses free throw 1 of 2,,49-49,,
10:14.0,Offensive rebound by Team,,49-49,,
10:14.0,,,49-49,,P. Patterson enters the game for A. Johnson
10:14.0,J. Crowder makes free throw 2 of 2,1,50-49,,
10:03.0,,,50-51,2,J. Johnson makes 2-pt shot from 2 ft
9:48.0,Shooting foul by T. Ross (drawn by A. Bradley),,50-51,,
9:48.0,A. Bradley misses free throw 1 of 2,,50-51,,
9:48.0,Offensive rebound by Team,,50-51,,
9:48.0,A. Bradley makes free throw 2 of 2,1,51-51,,
9:35.0,,,51-53,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
9:18.0,A. Bradley makes 2-pt shot from 16 ft (assist by J. Sullinger),2,53-53,,
9:01.0,,,53-53,,T. Ross misses 2-pt shot from 19 ft
9:00.0,Defensive rebound by J. Sullinger,,53-53,,
8:47.0,J. Sullinger makes 2-pt shot from 12 ft (assist by E. Turner),2,55-53,,
8:28.0,,,55-56,3,T. Ross makes 3-pt shot from 23 ft (assist by J. Valanciunas)
8:09.0,J. Sullinger misses 3-pt shot from 26 ft,,55-56,,
8:08.0,,,55-56,,Defensive rebound by J. Johnson
7:56.0,,,55-56,,J. Valanciunas misses 2-pt shot from 1 ft
7:55.0,,,55-56,,Offensive rebound by J. Valanciunas
7:53.0,,,55-58,2,J. Valanciunas makes 2-pt shot from 1 ft
7:39.0,J. Sullinger misses 2-pt shot from 4 ft,,55-58,,
7:38.0,,,55-58,,Defensive rebound by P. Patterson
7:29.0,Personal block foul by J. Crowder (drawn by P. Patterson),,55-58,,
7:23.0,,,55-58,,K. Lowry misses 2-pt shot from 16 ft
7:22.0,Defensive rebound by J. Sullinger,,55-58,,
7:10.0,E. Turner misses 3-pt shot from 25 ft,,55-58,,
7:08.0,,,55-58,,Defensive rebound by P. Patterson
7:01.0,,,55-60,2,J. Valanciunas makes 2-pt shot at rim (assist by J. Johnson)
6:43.0,T. Zeller misses 2-pt shot from 5 ft,,55-60,,
6:42.0,Offensive rebound by J. Crowder,,55-60,,
6:40.0,J. Crowder makes 2-pt shot at rim,2,57-60,,
6:30.0,,,57-60,,T. Ross misses 3-pt shot from 27 ft
6:29.0,,,57-60,,Offensive rebound by J. Valanciunas
6:27.0,,,57-62,2,J. Valanciunas makes 2-pt shot from 1 ft
6:11.0,T. Zeller misses 2-pt shot from 1 ft (block by J. Valanciunas),,57-62,,
6:10.0,,,57-62,,Defensive rebound by J. Johnson
6:05.0,,,57-62,,K. Lowry misses 3-pt shot from 25 ft
6:04.0,,,57-62,,Offensive rebound by P. Patterson
5:47.0,,,57-62,,Toronto full timeout
5:46.0,Jump ball: E. Turner vs. J. Valanciunas,,,,Jump ball: E. Turner vs. J. Valanciunas
5:41.0,,,57-64,2,P. Patterson makes 2-pt shot from 11 ft
5:16.0,J. Crowder misses 2-pt shot from 3 ft,,57-64,,
5:15.0,Offensive rebound by E. Turner,,57-64,,
5:10.0,A. Bradley misses 3-pt shot from 24 ft,,57-64,,
5:08.0,,,57-64,,Defensive rebound by J. Valanciunas
5:02.0,,,57-66,2,J. Johnson makes 2-pt shot from 2 ft (assist by K. Lowry)
4:52.0,Offensive charge foul by J. Sullinger,,57-66,,
4:52.0,Turnover by J. Sullinger (offensive foul),,57-66,,
4:52.0,M. Smart enters the game for J. Sullinger,,57-66,,
4:52.0,K. Olynyk enters the game for E. Turner,,57-66,,
4:52.0,,,57-66,,L. Williams enters the game for T. Ross
4:52.0,M. Thornton enters the game for J. Crowder,,57-66,,
4:43.0,Personal block foul by M. Smart (drawn by K. Lowry),,57-66,,
4:35.0,,,57-68,2,J. Johnson makes 2-pt shot from 6 ft
4:24.0,,,57-68,,Shooting block foul by J. Johnson (drawn by K. Olynyk)
4:24.0,K. Olynyk misses free throw 1 of 2,,57-68,,
4:24.0,Offensive rebound by Team,,57-68,,
4:24.0,K. Olynyk makes free throw 2 of 2,1,58-68,,
4:13.0,,,58-68,,P. Patterson misses 3-pt shot from 23 ft
4:12.0,Defensive rebound by A. Bradley,,58-68,,
4:04.0,T. Zeller misses 2-pt shot from 3 ft (block by J. Valanciunas),,58-68,,
4:04.0,Offensive rebound by T. Zeller,,58-68,,
4:04.0,,,58-68,,G. Vasquez enters the game for J. Johnson
4:03.0,Jump ball: J. Valanciunas vs. T. Zeller (M. Thornton gains possession),,,,Jump ball: J. Valanciunas vs. T. Zeller (M. Thornton gains possession)
3:55.0,Turnover by K. Olynyk (3 sec),,58-68,,
3:31.0,,,58-71,3,P. Patterson makes 3-pt shot from 22 ft (assist by G. Vasquez)
3:12.0,K. Olynyk makes 3-pt shot from 25 ft,3,61-71,,
3:02.0,,,61-74,3,G. Vasquez makes 3-pt shot from 23 ft (assist by L. Williams)
2:48.0,A. Bradley misses 2-pt shot from 14 ft,,61-74,,
2:47.0,,,61-74,,Defensive rebound by K. Lowry
2:36.0,,,61-76,2,K. Lowry makes 2-pt shot from 17 ft
2:35.0,Boston full timeout,,61-76,,
2:35.0,P. Pressey enters the game for T. Zeller,,61-76,,
2:35.0,E. Turner enters the game for A. Bradley,,61-76,,
2:35.0,B. Bass enters the game for M. Thornton,,61-76,,
2:22.0,Offensive foul by B. Bass,,61-76,,
2:22.0,Turnover by B. Bass (offensive foul),,61-76,,
2:22.0,,,61-76,,T. Hansbrough enters the game for J. Valanciunas
2:12.0,,,61-76,,K. Lowry misses 2-pt shot from 1 ft
2:11.0,Defensive rebound by E. Turner,,61-76,,
2:04.0,,,61-76,,Personal foul by T. Hansbrough (drawn by K. Olynyk)
1:50.0,B. Bass misses 2-pt shot from 6 ft (block by P. Patterson),,61-76,,
1:48.0,,,61-76,,Defensive rebound by T. Hansbrough
1:30.0,,,61-76,,G. Vasquez misses 2-pt shot from 3 ft
1:29.0,Defensive rebound by E. Turner,,61-76,,
1:23.0,E. Turner makes 2-pt shot from 1 ft,2,63-76,,
1:13.0,Personal foul by P. Pressey (drawn by L. Williams),,63-76,,
1:13.0,,,63-76,,J. Johnson enters the game for K. Lowry
0:59.0,,,63-78,2,L. Williams makes 2-pt shot from 7 ft
0:49.0,K. Olynyk makes 2-pt shot from 2 ft,2,65-78,,
0:33.0,,,65-78,,L. Williams misses 3-pt shot from 26 ft
0:32.0,,,65-78,,Offensive rebound by J. Johnson
0:32.0,,,65-80,2,J. Johnson makes 2-pt shot from 1 ft
0:20.0,Turnover by K. Olynyk (lost ball),,65-80,,
0:01.0,,,65-80,,L. Williams misses 3-pt shot from 23 ft
0:00.0,,,65-80,,Offensive rebound by P. Patterson
0:00.0,,,65-82,2,P. Patterson makes 2-pt shot from 4 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,B. Bass misses 2-pt shot from 13 ft,,65-82,,
11:46.0,Offensive rebound by B. Bass,,65-82,,
11:36.0,P. Pressey misses 2-pt shot from 3 ft,,65-82,,
11:35.0,Offensive rebound by Team,,65-82,,
11:25.0,K. Olynyk makes 2-pt shot from 16 ft,2,67-82,,
11:07.0,,,67-82,,G. Vasquez misses 3-pt shot from 24 ft
11:06.0,Defensive rebound by K. Olynyk,,67-82,,
10:56.0,E. Turner misses 2-pt shot from 1 ft,,67-82,,
10:55.0,,,67-82,,Defensive rebound by J. Johnson
10:45.0,,,67-85,3,L. Williams makes 3-pt shot from 23 ft
10:26.0,B. Bass makes 2-pt shot at rim (assist by M. Smart),2,69-85,,
10:12.0,,,69-85,,Turnover by G. Vasquez (bad pass; steal by B. Bass)
10:08.0,B. Bass makes 2-pt shot at rim,2,71-85,,
9:43.0,,,71-85,,G. Vasquez misses 2-pt shot from 4 ft
9:42.0,Defensive rebound by P. Pressey,,71-85,,
9:39.0,,,71-85,,Shooting block foul by L. Williams (drawn by P. Pressey)
9:39.0,P. Pressey makes free throw 1 of 2,1,72-85,,
9:39.0,,,72-85,,A. Johnson enters the game for P. Patterson
9:39.0,P. Pressey makes free throw 2 of 2,1,73-85,,
9:26.0,,,73-85,,L. Williams misses 2-pt shot from 20 ft
9:25.0,Defensive rebound by B. Bass,,73-85,,
9:11.0,M. Smart misses 3-pt shot from 23 ft,,73-85,,
9:10.0,Offensive rebound by B. Bass,,73-85,,
9:09.0,M. Smart makes 2-pt shot from 1 ft (assist by B. Bass),2,75-85,,
9:09.0,Shooting foul by T. Hansbrough (drawn by M. Smart),,75-85,,
9:09.0,M. Smart misses free throw 1 of 1,,75-85,,
9:09.0,Offensive rebound by Team,,75-85,,
9:09.0,,,75-85,,Loose ball foul by T. Hansbrough (drawn by M. Smart)
9:01.0,E. Turner misses 2-pt shot from 3 ft,,75-85,,
9:00.0,Offensive rebound by M. Smart,,75-85,,
8:57.0,M. Smart makes 2-pt shot at rim,2,77-85,,
8:49.0,,,77-85,,Toronto full timeout
8:49.0,,,77-85,,K. Lowry enters the game for G. Vasquez
8:44.0,,,77-87,2,K. Lowry makes 2-pt shot from 3 ft
8:21.0,K. Olynyk misses 3-pt shot from 26 ft,,77-87,,
8:20.0,,,77-87,,Defensive rebound by J. Johnson
8:07.0,,,77-87,,T. Hansbrough misses 2-pt shot from 2 ft (block by K. Olynyk)
8:07.0,,,77-87,,Offensive rebound by T. Hansbrough
8:07.0,,,77-87,,Shooting foul by K. Olynyk (drawn by T. Hansbrough)
8:07.0,,,77-88,1,T. Hansbrough makes free throw 1 of 2
8:07.0,,,77-89,1,T. Hansbrough makes free throw 2 of 2
7:58.0,,,77-89,,Personal block foul by A. Johnson (drawn by K. Olynyk)
7:58.0,,,77-89,,J. Valanciunas enters the game for T. Hansbrough
7:51.0,E. Turner misses 2-pt shot from 19 ft,,77-89,,
7:50.0,,,77-89,,Defensive rebound by J. Valanciunas
7:45.0,,,77-89,,Shooting foul by M. Smart (drawn by L. Williams)
7:45.0,,,77-89,,L. Williams misses free throw 1 of 3
7:45.0,,,77-89,,Offensive rebound by Team
7:45.0,,,77-90,1,L. Williams makes free throw 2 of 3
7:45.0,A. Bradley enters the game for E. Turner,,77-90,,
7:45.0,,,77-91,1,L. Williams makes free throw 3 of 3
7:32.0,Turnover by P. Pressey (bad pass),,77-91,,
7:18.0,,,77-91,,L. Williams misses 3-pt shot from 26 ft
7:17.0,Defensive rebound by K. Olynyk,,77-91,,
7:12.0,Shooting foul by J. Johnson (drawn by M. Smart),,77-91,,
7:12.0,M. Smart misses free throw 1 of 2,,77-91,,
7:12.0,Offensive rebound by Team,,77-91,,
7:12.0,J. Sullinger enters the game for B. Bass,,77-91,,
7:12.0,M. Smart makes free throw 2 of 2,1,78-91,,
6:55.0,,,78-94,3,K. Lowry makes 3-pt shot from 25 ft
6:41.0,J. Sullinger misses 3-pt shot from 25 ft,,78-94,,
6:40.0,,,78-94,,Defensive rebound by K. Lowry
6:23.0,,,78-97,3,A. Johnson makes 3-pt shot from 23 ft (assist by K. Lowry)
6:03.0,Turnover by K. Olynyk (lost ball; steal by K. Lowry),,78-97,,
5:47.0,,,78-97,,Turnover by L. Williams (bad pass)
5:47.0,,,78-97,,Loose ball foul by K. Lowry (drawn by A. Bradley)
5:47.0,Official timeout,,78-97,,
5:47.0,J. Young enters the game for P. Pressey,,78-97,,
5:47.0,A. Bradley makes free throw 1 of 2,1,79-97,,
5:47.0,A. Bradley makes free throw 2 of 2,1,80-97,,
