time,Dallas,pts.away,score,pts.home,Houston
6:15.0,,,32-37,,T. Jones misses 2-pt shot from 4 ft
6:12.0,Defensive rebound by T. Chandler,,32-37,,
6:05.0,R. Rondo misses 2-pt shot from 6 ft,,32-37,,
6:03.0,Offensive rebound by T. Chandler,,32-37,,
6:03.0,T. Chandler makes 2-pt shot from 1 ft,2,34-37,,
5:40.0,,,34-40,3,J. Terry makes 3-pt shot from 26 ft (assist by T. Ariza)
5:29.0,T. Chandler makes 2-pt shot at rim (assist by R. Rondo),2,36-40,,
5:20.0,,,36-40,,J. Harden misses 2-pt shot from 16 ft
5:19.0,Defensive rebound by R. Jefferson,,36-40,,
5:09.0,D. Nowitzki makes 2-pt shot from 6 ft,2,38-40,,
4:52.0,,,38-40,,Turnover by T. Ariza (bad pass; steal by T. Chandler)
4:45.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by R. Rondo),2,40-40,,
4:44.0,,,40-40,,Houston full timeout
4:22.0,,,40-40,,Turnover by C. Capela (bad pass)
4:12.0,R. Rondo makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,42-40,,
4:00.0,,,42-42,2,T. Jones makes 2-pt shot from 1 ft (assist by J. Harden)
4:00.0,,,42-42,,Shooting foul by D. Nowitzki (drawn by T. Jones)
4:00.0,,,42-42,,J. Smith enters the game for C. Capela
4:00.0,,,42-42,,T. Jones misses free throw 1 of 1
4:00.0,Defensive rebound by D. Nowitzki,,42-42,,
3:42.0,D. Nowitzki makes 2-pt shot from 13 ft,2,44-42,,
3:30.0,,,44-44,2,J. Smith makes 2-pt shot from 1 ft (assist by T. Jones)
3:14.0,D. Nowitzki makes 2-pt shot from 13 ft,2,46-44,,
2:58.0,,,46-46,2,T. Jones makes 2-pt shot from 15 ft
2:45.0,Turnover by D. Nowitzki (bad pass; steal by T. Ariza),,46-46,,
2:40.0,Dallas full timeout,,46-46,,
2:40.0,,,46-47,1,T. Ariza makes flagrant free throw 1 of 2
2:40.0,C. Parsons enters the game for R. Jefferson,,46-47,,
2:40.0,,,46-48,1,T. Ariza makes flagrant free throw 2 of 2
2:29.0,,,46-48,,Turnover by J. Smith (traveling)
2:10.0,R. Rondo makes 3-pt shot from 24 ft (assist by M. Ellis),3,49-48,,
1:55.0,,,49-48,,J. Terry misses 3-pt shot from 23 ft
1:54.0,,,49-48,,Offensive rebound by T. Jones
1:50.0,,,49-48,,T. Jones misses 2-pt shot from 5 ft
1:49.0,Defensive rebound by T. Chandler,,49-48,,
1:43.0,R. Rondo makes 2-pt shot from 18 ft,2,51-48,,
1:27.0,,,51-50,2,T. Jones makes 2-pt shot from 1 ft (assist by T. Ariza)
1:15.0,R. Rondo misses 2-pt shot from 5 ft,,51-50,,
1:13.0,Offensive rebound by T. Chandler,,51-50,,
1:13.0,T. Chandler makes 2-pt shot at rim,2,53-50,,
0:57.0,,,53-52,2,T. Jones makes 2-pt shot at rim (assist by J. Harden)
0:48.0,Turnover by T. Chandler (lost ball; steal by J. Harden),,53-52,,
0:44.0,,,53-52,,Shooting foul by D. Nowitzki (drawn by J. Harden)
0:44.0,,,53-53,1,J. Harden makes free throw 1 of 2
0:44.0,C. Villanueva enters the game for D. Nowitzki,,53-53,,
0:44.0,,,53-54,1,J. Harden makes free throw 2 of 2
0:33.0,R. Rondo makes 2-pt shot from 3 ft,2,55-54,,
0:30.0,Personal foul by C. Villanueva (drawn by J. Harden),,55-54,,
0:30.0,,,55-55,1,J. Harden makes free throw 1 of 2
0:30.0,,,55-55,,C. Brewer enters the game for J. Terry
0:30.0,,,55-56,1,J. Harden makes free throw 2 of 2
0:18.0,M. Ellis misses 2-pt shot from 6 ft,,55-56,,
0:17.0,,,55-56,,Defensive rebound by T. Ariza
0:11.0,,,55-59,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
0:02.0,,,55-59,,Personal foul by T. Jones (drawn by R. Rondo)
0:00.0,C. Villanueva misses 3-pt shot from 29 ft,,55-59,,
0:00.0,Offensive rebound by Team,,55-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,C. Parsons misses 2-pt shot from 2 ft (block by D. Howard),,55-59,,
11:37.0,,,55-59,,Defensive rebound by T. Jones
11:31.0,,,55-61,2,T. Jones makes 2-pt shot from 2 ft
11:12.0,Turnover by T. Chandler (3 sec),,55-61,,
11:02.0,,,55-63,2,D. Howard makes 2-pt shot at rim (assist by T. Jones)
10:48.0,R. Rondo misses 2-pt shot from 6 ft,,55-63,,
10:47.0,,,55-63,,Defensive rebound by J. Terry
10:37.0,,,55-65,2,D. Howard makes 2-pt shot from 3 ft (assist by J. Harden)
10:37.0,Dallas full timeout,,55-65,,
10:18.0,C. Parsons misses 3-pt shot from 25 ft,,55-65,,
10:17.0,,,55-65,,Defensive rebound by T. Jones
10:11.0,,,55-65,,J. Harden misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by T. Chandler,,55-65,,
10:03.0,D. Nowitzki makes 3-pt shot from 27 ft (assist by M. Ellis),3,58-65,,
10:03.0,Shooting foul by J. Terry (drawn by D. Nowitzki),,58-65,,
10:03.0,D. Nowitzki makes free throw 1 of 1,1,59-65,,
9:44.0,,,59-65,,Shooting foul by M. Ellis (drawn by J. Harden)
9:44.0,,,59-66,1,J. Harden makes free throw 1 of 2
9:44.0,,,59-67,1,J. Harden makes free throw 2 of 2
9:27.0,M. Ellis makes 3-pt shot from 25 ft (assist by C. Parsons),3,62-67,,
9:18.0,,,62-67,,T. Ariza misses 2-pt shot from 18 ft
9:17.0,Defensive rebound by D. Nowitzki,,62-67,,
9:07.0,Turnover by D. Nowitzki (bad pass; steal by T. Jones),,62-67,,
9:00.0,,,62-70,3,J. Terry makes 3-pt shot from 25 ft (assist by T. Jones)
8:36.0,D. Nowitzki misses 2-pt shot from 15 ft,,62-70,,
8:35.0,,,62-70,,Defensive rebound by D. Howard
8:23.0,,,62-70,,J. Terry misses 3-pt shot from 24 ft
8:22.0,Defensive rebound by T. Chandler,,62-70,,
8:18.0,Turnover by R. Rondo (bad pass; steal by D. Howard),,62-70,,
8:08.0,,,62-70,,T. Jones misses 2-pt shot from 8 ft
8:08.0,Defensive rebound by Team,,62-70,,
8:08.0,,,62-70,,Loose ball foul by D. Howard (drawn by D. Nowitzki)
8:08.0,,,62-70,,J. Smith enters the game for T. Jones
8:04.0,,,62-70,,C. Capela enters the game for D. Howard
7:56.0,R. Rondo misses 2-pt shot from 5 ft,,62-70,,
7:54.0,Offensive rebound by T. Chandler,,62-70,,
7:43.0,M. Ellis misses 2-pt shot from 9 ft,,62-70,,
7:43.0,,,62-70,,Defensive rebound by C. Capela
7:38.0,,,62-72,2,J. Harden makes 2-pt shot from 1 ft
7:36.0,Dallas full timeout,,62-72,,
7:36.0,Technical foul by Team,,62-72,,
7:36.0,,,62-73,1,J. Harden makes technical free throw
7:16.0,R. Rondo misses 2-pt shot from 2 ft,,62-73,,
7:15.0,Offensive rebound by T. Chandler,,62-73,,
7:15.0,T. Chandler makes 2-pt shot from 1 ft,2,64-73,,
7:02.0,,,64-76,3,J. Terry makes 3-pt shot from 25 ft (assist by J. Harden)
6:46.0,M. Ellis misses 2-pt shot from 5 ft,,64-76,,
6:44.0,,,64-76,,Defensive rebound by J. Terry
6:39.0,,,64-76,,J. Harden misses 2-pt shot from 1 ft
6:37.0,Defensive rebound by D. Nowitzki,,64-76,,
6:36.0,Turnover by D. Nowitzki (bad pass; steal by J. Terry),,64-76,,
6:33.0,,,64-78,2,J. Harden makes 2-pt shot from 1 ft (assist by J. Terry)
6:16.0,D. Nowitzki makes 2-pt shot from 1 ft (assist by R. Rondo),2,66-78,,
6:04.0,,,66-80,2,C. Capela makes 2-pt shot at rim (assist by J. Smith)
5:40.0,R. Rondo misses 2-pt shot from 2 ft,,66-80,,
5:39.0,,,66-80,,Defensive rebound by Team
5:39.0,,,66-80,,P. Prigioni enters the game for J. Terry
5:27.0,,,66-80,,J. Smith misses 2-pt shot from 3 ft
5:27.0,Defensive rebound by T. Chandler,,66-80,,
5:21.0,M. Ellis misses 3-pt shot from 23 ft,,66-80,,
5:20.0,,,66-80,,Defensive rebound by J. Smith
5:01.0,,,66-80,,J. Smith misses 3-pt shot from 26 ft
5:01.0,Defensive rebound by Team,,66-80,,
5:01.0,,,66-80,,Loose ball foul by C. Capela (drawn by D. Nowitzki)
5:01.0,A. Aminu enters the game for D. Nowitzki,,66-80,,
5:01.0,A. Stoudemire enters the game for T. Chandler,,66-80,,
5:01.0,J. Barea enters the game for R. Rondo,,66-80,,
4:47.0,A. Stoudemire makes 2-pt shot from 3 ft (assist by J. Barea),2,68-80,,
4:30.0,,,68-80,,J. Smith misses 2-pt shot from 8 ft
4:29.0,Defensive rebound by C. Parsons,,68-80,,
4:15.0,A. Stoudemire misses 2-pt shot from 3 ft (block by C. Capela),,68-80,,
4:13.0,Offensive rebound by A. Aminu,,68-80,,
4:13.0,A. Aminu makes 2-pt shot from 1 ft,2,70-80,,
4:00.0,,,70-80,,Turnover by J. Harden (bad pass; steal by A. Aminu)
3:55.0,Turnover by J. Barea (bad pass; steal by P. Prigioni),,70-80,,
3:55.0,Loose ball foul by A. Aminu (drawn by P. Prigioni),,70-80,,
3:36.0,,,70-80,,T. Ariza misses 2-pt shot from 6 ft
3:35.0,Defensive rebound by C. Parsons,,70-80,,
3:24.0,C. Parsons misses 2-pt shot from 8 ft,,70-80,,
3:23.0,,,70-80,,Defensive rebound by J. Smith
3:19.0,,,70-80,,Houston full timeout
3:19.0,,,70-80,,C. Brewer enters the game for T. Ariza
3:03.0,,,70-80,,C. Capela misses 2-pt shot from 2 ft
3:01.0,,,70-80,,Offensive rebound by C. Capela
3:00.0,,,70-82,2,C. Capela makes 2-pt shot from 1 ft
2:36.0,A. Stoudemire misses 2-pt shot from 13 ft,,70-82,,
2:35.0,,,70-82,,Defensive rebound by J. Harden
2:23.0,,,70-82,,J. Smith misses 2-pt shot from 16 ft
2:22.0,Defensive rebound by C. Parsons,,70-82,,
2:15.0,Turnover by C. Parsons (lost ball; steal by P. Prigioni),,70-82,,
2:08.0,,,70-82,,C. Brewer misses 2-pt shot from 11 ft
2:07.0,,,70-82,,Offensive rebound by J. Smith
2:06.0,,,70-84,2,J. Smith makes 2-pt shot at rim
1:42.0,A. Stoudemire makes 2-pt shot from 11 ft,2,72-84,,
1:21.0,,,72-84,,J. Smith misses 2-pt shot from 6 ft
1:19.0,Defensive rebound by A. Stoudemire,,72-84,,
1:14.0,J. Barea misses 2-pt shot from 17 ft,,72-84,,
1:13.0,,,72-84,,Defensive rebound by C. Capela
0:57.0,,,72-84,,C. Capela misses 2-pt shot at rim
0:56.0,Defensive rebound by A. Aminu,,72-84,,
0:46.0,,,72-84,,Personal foul by J. Smith (drawn by A. Stoudemire)
0:46.0,D. Nowitzki enters the game for C. Parsons,,72-84,,
0:46.0,,,72-84,,T. Jones enters the game for J. Smith
0:33.0,A. Stoudemire misses 2-pt shot from 16 ft,,72-84,,
0:32.0,Offensive rebound by Team,,72-84,,
0:32.0,,,72-84,,Loose ball foul by P. Prigioni (drawn by D. Nowitzki)
0:32.0,D. Nowitzki makes free throw 1 of 2,1,73-84,,
0:32.0,D. Nowitzki makes free throw 2 of 2,1,74-84,,
0:08.0,,,74-84,,J. Harden misses 2-pt shot from 10 ft
0:07.0,Defensive rebound by A. Aminu,,74-84,,
0:00.0,M. Ellis makes 3-pt shot from 25 ft,3,77-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,77-84,,T. Jones misses 3-pt shot from 27 ft
11:43.0,Defensive rebound by A. Aminu,,77-84,,
11:30.0,M. Ellis makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,79-84,,
11:15.0,,,79-84,,P. Prigioni misses 3-pt shot from 25 ft
11:14.0,,,79-84,,Offensive rebound by T. Jones
11:10.0,,,79-84,,Shooting foul by A. Stoudemire (drawn by T. Ariza)
11:10.0,,,79-85,1,T. Ariza makes free throw 1 of 2
11:10.0,,,79-86,1,T. Ariza makes free throw 2 of 2
10:54.0,Shooting foul by P. Prigioni (drawn by A. Stoudemire),,79-86,,
10:54.0,A. Stoudemire makes free throw 1 of 2,1,80-86,,
10:54.0,A. Stoudemire makes free throw 2 of 2,1,81-86,,
10:40.0,,,81-86,,C. Brewer misses 2-pt shot from 5 ft (block by M. Ellis)
10:39.0,,,81-86,,Offensive rebound by Team
10:36.0,,,81-86,,C. Brewer misses 2-pt shot from 15 ft
10:35.0,Defensive rebound by A. Aminu,,81-86,,
10:19.0,M. Ellis misses 2-pt shot from 20 ft,,81-86,,
10:18.0,Offensive rebound by J. Barea,,81-86,,
10:15.0,,,81-86,,Personal foul by C. Brewer (drawn by D. Nowitzki)
10:02.0,A. Stoudemire misses 2-pt shot from 3 ft,,81-86,,
10:01.0,,,81-86,,Defensive rebound by D. Howard
9:57.0,Personal block foul by J. Barea (drawn by C. Brewer),,81-86,,
9:49.0,,,81-88,2,D. Howard makes 2-pt shot from 1 ft
9:41.0,M. Ellis misses 2-pt shot from 1 ft,,81-88,,
9:40.0,,,81-88,,Defensive rebound by D. Howard
9:35.0,,,81-88,,C. Brewer misses 2-pt shot from 3 ft (block by A. Aminu)
9:34.0,,,81-88,,Offensive rebound by Team
9:34.0,T. Chandler enters the game for A. Stoudemire,,81-88,,
9:34.0,R. Rondo enters the game for M. Ellis,,81-88,,
9:23.0,,,81-88,,D. Howard misses 2-pt shot from 7 ft
9:22.0,,,81-88,,Offensive rebound by Team
9:14.0,,,81-90,2,T. Ariza makes 2-pt shot from 23 ft (assist by C. Brewer)
9:01.0,A. Aminu misses 2-pt shot from 4 ft (block by D. Howard),,81-90,,
8:58.0,Offensive rebound by T. Chandler,,81-90,,
8:57.0,T. Chandler misses 2-pt shot from 1 ft,,81-90,,
8:56.0,,,81-90,,Defensive rebound by D. Howard
8:50.0,,,81-90,,P. Prigioni misses 3-pt shot from 25 ft
8:49.0,Defensive rebound by T. Chandler,,81-90,,
8:45.0,,,81-90,,Personal foul by P. Prigioni (drawn by D. Nowitzki)
8:45.0,Dallas full timeout,,81-90,,
8:45.0,C. Parsons enters the game for A. Aminu,,81-90,,
8:27.0,D. Nowitzki makes 2-pt shot from 12 ft,2,83-90,,
8:02.0,,,83-90,,T. Jones misses 2-pt shot from 4 ft (block by T. Chandler)
8:00.0,,,83-90,,Offensive rebound by T. Jones
7:58.0,,,83-93,3,C. Brewer makes 3-pt shot from 25 ft (assist by T. Jones)
7:37.0,R. Rondo makes 2-pt shot from 21 ft (assist by C. Parsons),2,85-93,,
7:24.0,,,85-95,2,P. Prigioni makes 2-pt shot from 14 ft
