time,Sacramento,pts.away,score,pts.home,Utah
4:17.0,,,8-17,,Defensive rebound by R. Gobert
3:54.0,,,8-19,2,R. Gobert makes 2-pt shot at rim (assist by D. Favors)
3:48.0,Sacramento full timeout,,8-19,,
3:48.0,R. Evans enters the game for J. Thompson,,8-19,,
3:42.0,B. McLemore misses 2-pt shot from 5 ft,,8-19,,
3:42.0,Offensive rebound by Team,,8-19,,
3:39.0,R. Evans misses 2-pt shot from 4 ft (block by R. Gobert),,8-19,,
3:37.0,,,8-19,,Defensive rebound by D. Favors
3:33.0,,,8-19,,G. Hayward misses 2-pt shot from 2 ft (block by D. Cousins)
3:30.0,Defensive rebound by B. McLemore,,8-19,,
3:20.0,B. McLemore makes 2-pt shot at rim (assist by R. Sessions),2,10-19,,
3:09.0,,,10-21,2,T. Burke makes 2-pt shot from 17 ft
2:41.0,D. Cousins makes 2-pt shot from 8 ft,2,12-21,,
2:32.0,,,12-21,,Utah full timeout
2:32.0,O. Casspi enters the game for R. Gay,,12-21,,
2:32.0,R. McCallum enters the game for R. Sessions,,12-21,,
2:32.0,,,12-21,,S. Novak enters the game for G. Hayward
2:13.0,,,12-21,,S. Novak misses 3-pt shot from 30 ft
2:13.0,Defensive rebound by Team,,12-21,,
1:58.0,D. Cousins misses 2-pt shot from 19 ft,,12-21,,
1:55.0,,,12-21,,Defensive rebound by E. Millsap
1:51.0,,,12-21,,Shooting foul by B. McLemore (drawn by E. Millsap)
1:51.0,,,12-22,1,E. Millsap makes free throw 1 of 2
1:51.0,,,12-22,,E. Kanter enters the game for D. Favors
1:51.0,N. Stauskas enters the game for B. McLemore,,12-22,,
1:51.0,,,12-23,1,E. Millsap makes free throw 2 of 2
1:40.0,Shooting foul by R. Gobert (drawn by D. Cousins),,12-23,,
1:40.0,D. Cousins misses free throw 1 of 2,,12-23,,
1:40.0,Offensive rebound by Team,,12-23,,
1:40.0,,,12-23,,D. Exum enters the game for E. Millsap
1:40.0,D. Cousins makes free throw 2 of 2,1,13-23,,
1:26.0,,,13-23,,E. Kanter misses 3-pt shot from 23 ft
1:25.0,Defensive rebound by R. Evans,,13-23,,
1:10.0,R. Evans makes 2-pt shot from 2 ft (assist by D. Cousins),2,15-23,,
0:54.0,,,15-25,2,T. Burke makes 2-pt shot from 18 ft
0:35.0,R. McCallum misses 3-pt shot from 24 ft,,15-25,,
0:33.0,,,15-25,,Defensive rebound by E. Kanter
0:26.0,,,15-25,,T. Burke misses 3-pt shot from 24 ft
0:24.0,,,15-25,,Offensive rebound by R. Gobert
0:07.0,,,15-25,,Offensive foul by E. Kanter
0:07.0,,,15-25,,Turnover by E. Kanter (offensive foul)
0:03.0,Offensive foul by R. Evans,,15-25,,
0:03.0,Turnover by R. Evans (offensive foul),,15-25,,
0:00.0,,,15-25,,T. Burke misses 2-pt shot from 17 ft
0:00.0,,,15-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,15-25,,D. Exum misses 3-pt shot from 24 ft
11:35.0,Defensive rebound by R. Evans,,15-25,,
11:14.0,R. Evans misses 2-pt shot from 4 ft,,15-25,,
11:12.0,Offensive rebound by R. Evans,,15-25,,
10:57.0,C. Landry misses 2-pt shot from 21 ft,,15-25,,
10:56.0,,,15-25,,Defensive rebound by R. Gobert
10:55.0,Personal foul by R. Evans (drawn by R. Gobert),,15-25,,
10:43.0,,,15-25,,T. Burke misses 2-pt shot from 17 ft
10:41.0,Defensive rebound by R. McCallum,,15-25,,
10:35.0,O. Casspi misses 2-pt shot from 3 ft,,15-25,,
10:33.0,Offensive rebound by R. Evans,,15-25,,
10:33.0,R. Evans makes 2-pt shot from 1 ft,2,17-25,,
10:18.0,,,17-25,,S. Novak misses 3-pt shot from 25 ft
10:16.0,,,17-25,,Offensive rebound by E. Kanter
10:12.0,,,17-27,2,E. Kanter makes 2-pt shot from 7 ft
9:54.0,C. Landry makes 2-pt shot from 19 ft (assist by R. McCallum),2,19-27,,
9:37.0,,,19-27,,Turnover by D. Exum (lost ball)
9:24.0,O. Casspi misses 2-pt shot from 3 ft (block by R. Gobert),,19-27,,
9:24.0,Offensive rebound by Team,,19-27,,
9:21.0,Shooting foul by R. Gobert (drawn by O. Casspi),,19-27,,
9:21.0,O. Casspi makes free throw 1 of 2,1,20-27,,
9:21.0,,,20-27,,D. Favors enters the game for R. Gobert
9:21.0,O. Casspi misses free throw 2 of 2,,20-27,,
9:18.0,Offensive rebound by C. Landry,,20-27,,
9:12.0,O. Casspi misses 2-pt shot from 3 ft,,20-27,,
9:10.0,Offensive rebound by R. Evans,,20-27,,
9:07.0,R. Evans misses 2-pt shot from 3 ft,,20-27,,
9:05.0,Offensive rebound by O. Casspi,,20-27,,
9:05.0,O. Casspi misses 2-pt shot from 1 ft,,20-27,,
9:03.0,Offensive rebound by R. Evans,,20-27,,
9:00.0,R. Evans misses 2-pt shot from 2 ft (block by D. Favors),,20-27,,
8:57.0,,,20-27,,Defensive rebound by T. Burke
8:53.0,,,20-29,2,T. Burke makes 2-pt shot from 1 ft
8:41.0,,,20-29,,Personal foul by T. Burke (drawn by R. McCallum)
8:41.0,Official timeout,,20-29,,
8:41.0,R. Gay enters the game for O. Casspi,,20-29,,
8:41.0,D. Cousins enters the game for R. Evans,,20-29,,
8:41.0,,,20-29,,G. Hayward enters the game for S. Novak
8:31.0,D. Cousins makes 2-pt shot from 19 ft (assist by R. McCallum),2,22-29,,
8:14.0,,,22-29,,Shooting foul by C. Landry (drawn by D. Favors)
8:14.0,,,22-31,2,D. Favors makes 2-pt shot from 3 ft (assist by G. Hayward)
8:14.0,,,22-32,1,D. Favors makes free throw 1 of 1
8:01.0,R. Gay makes 2-pt shot at rim,2,24-32,,
7:43.0,,,24-32,,T. Burke misses 2-pt shot from 18 ft
7:42.0,Defensive rebound by N. Stauskas,,24-32,,
7:38.0,D. Cousins makes 2-pt shot at rim (assist by N. Stauskas),2,26-32,,
7:19.0,,,26-34,2,G. Hayward makes 2-pt shot from 15 ft
6:58.0,R. Gay misses 2-pt shot from 14 ft,,26-34,,
6:56.0,,,26-34,,Defensive rebound by E. Kanter
6:44.0,,,26-34,,E. Kanter misses 2-pt shot from 16 ft
6:42.0,,,26-34,,Offensive rebound by D. Favors
6:42.0,,,26-36,2,D. Favors makes 2-pt shot from 1 ft
6:29.0,D. Cousins makes 2-pt shot from 17 ft (assist by R. McCallum),2,28-36,,
6:17.0,,,28-36,,Utah full timeout
6:17.0,J. Thompson enters the game for C. Landry,,28-36,,
6:17.0,,,28-36,,E. Millsap enters the game for T. Burke
6:07.0,,,28-38,2,D. Favors makes 2-pt shot from 10 ft
5:43.0,N. Stauskas misses 3-pt shot from 22 ft,,28-38,,
5:41.0,,,28-38,,Defensive rebound by E. Kanter
5:35.0,,,28-38,,G. Hayward misses 2-pt shot from 6 ft (block by D. Cousins)
5:33.0,Defensive rebound by D. Cousins,,28-38,,
5:26.0,Shooting foul by E. Millsap (drawn by J. Thompson),,28-38,,
5:26.0,J. Thompson makes free throw 1 of 2,1,29-38,,
5:26.0,R. Sessions enters the game for N. Stauskas,,29-38,,
5:26.0,B. McLemore enters the game for R. McCallum,,29-38,,
5:26.0,J. Thompson misses free throw 2 of 2,,29-38,,
5:25.0,Offensive rebound by Team,,29-38,,
5:17.0,R. Gay misses 2-pt shot from 18 ft,,29-38,,
5:16.0,,,29-38,,Defensive rebound by E. Kanter
5:00.0,,,29-38,,Turnover by E. Kanter (traveling)
4:49.0,B. McLemore makes 3-pt shot from 23 ft (assist by R. Sessions),3,32-38,,
4:30.0,,,32-41,3,G. Hayward makes 3-pt shot from 25 ft (assist by D. Favors)
4:15.0,R. Sessions misses 2-pt shot from 11 ft,,32-41,,
4:14.0,,,32-41,,Defensive rebound by D. Favors
4:04.0,,,32-44,3,G. Hayward makes 3-pt shot from 25 ft (assist by D. Favors)
3:44.0,Turnover by B. McLemore (bad pass; steal by E. Kanter),,32-44,,
3:32.0,,,32-44,,D. Favors misses 2-pt shot from 17 ft
3:30.0,Defensive rebound by J. Thompson,,32-44,,
3:26.0,,,32-44,,Personal foul by D. Favors (drawn by D. Cousins)
3:26.0,,,32-44,,T. Burke enters the game for D. Exum
3:15.0,D. Cousins misses 2-pt shot from 19 ft,,32-44,,
3:14.0,,,32-44,,Defensive rebound by T. Burke
3:05.0,,,32-44,,E. Millsap misses 2-pt shot from 11 ft (block by B. McLemore)
3:03.0,Defensive rebound by R. Sessions,,32-44,,
2:53.0,D. Cousins misses 2-pt shot from 2 ft,,32-44,,
2:52.0,Offensive rebound by Team,,32-44,,
2:52.0,Sacramento full timeout,,32-44,,
2:52.0,,,32-44,,D. Exum enters the game for E. Millsap
2:50.0,B. McLemore misses 2-pt shot from 19 ft,,32-44,,
2:49.0,,,32-44,,Defensive rebound by E. Kanter
2:36.0,,,32-44,,Turnover by G. Hayward (bad pass; steal by B. McLemore)
2:32.0,B. McLemore makes 2-pt shot at rim,2,34-44,,
2:11.0,,,34-44,,Turnover by E. Kanter (traveling)
1:58.0,B. McLemore misses 3-pt shot from 25 ft,,34-44,,
1:57.0,,,34-44,,Defensive rebound by E. Kanter
1:42.0,,,34-47,3,D. Exum makes 3-pt shot from 23 ft (assist by T. Burke)
1:29.0,Shooting foul by T. Burke (drawn by R. Sessions),,34-47,,
1:29.0,R. Sessions misses free throw 1 of 2,,34-47,,
1:29.0,Offensive rebound by Team,,34-47,,
1:29.0,,,34-47,,E. Millsap enters the game for T. Burke
1:29.0,R. Sessions makes free throw 2 of 2,1,35-47,,
1:10.0,,,35-49,2,E. Millsap makes 2-pt shot from 14 ft
0:56.0,,,35-49,,Personal foul by D. Exum (drawn by R. Gay)
0:56.0,R. Gay makes free throw 1 of 2,1,36-49,,
0:56.0,R. Gay makes free throw 2 of 2,1,37-49,,
0:35.0,,,37-49,,D. Favors misses 2-pt shot from 12 ft
0:34.0,,,37-49,,Offensive rebound by E. Millsap
0:33.0,Personal foul by R. Sessions (drawn by E. Millsap),,37-49,,
0:33.0,,,37-49,,Utah full timeout
0:30.0,,,37-49,,G. Hayward misses 3-pt shot from 25 ft (block by R. Gay)
0:27.0,Defensive rebound by D. Cousins,,37-49,,
0:09.0,,,37-49,,I. Clark enters the game for D. Exum
0:09.0,N. Stauskas enters the game for J. Thompson,,37-49,,
0:05.0,R. Sessions makes 2-pt shot from 18 ft,2,39-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,39-51,2,G. Hayward makes 2-pt shot from 15 ft
11:20.0,Turnover by D. Cousins (bad pass; steal by E. Millsap),,39-51,,
11:17.0,,,39-51,,E. Millsap misses 2-pt shot from 2 ft
11:14.0,,,39-51,,Offensive rebound by E. Kanter
11:14.0,,,39-53,2,E. Kanter makes 2-pt shot from 1 ft
11:00.0,Turnover by R. Gay (lost ball; steal by G. Hayward),,39-53,,
10:50.0,,,39-53,,E. Kanter misses 2-pt shot from 20 ft
10:49.0,Defensive rebound by Team,,39-53,,
10:41.0,D. Cousins misses 2-pt shot from 2 ft,,39-53,,
10:39.0,,,39-53,,Defensive rebound by D. Exum
10:34.0,,,39-55,2,E. Kanter makes 2-pt shot from 1 ft (assist by D. Exum)
10:34.0,Sacramento full timeout,,39-55,,
10:18.0,R. Gay misses 2-pt shot from 12 ft,,39-55,,
10:18.0,,,39-55,,Defensive rebound by Team
10:18.0,Personal foul by D. Cousins (drawn by E. Kanter),,39-55,,
9:54.0,,,39-57,2,D. Favors makes 2-pt shot from 17 ft (assist by E. Millsap)
9:40.0,D. Cousins misses 2-pt shot from 2 ft,,39-57,,
9:39.0,,,39-57,,Defensive rebound by D. Favors
9:26.0,,,39-57,,D. Favors misses 2-pt shot from 19 ft
9:25.0,Defensive rebound by J. Thompson,,39-57,,
9:20.0,,,39-57,,Personal foul by D. Favors (drawn by D. Cousins)
9:07.0,R. Sessions makes 2-pt shot from 10 ft (assist by R. Gay),2,41-57,,
8:54.0,,,41-59,2,G. Hayward makes 2-pt shot from 1 ft (assist by D. Favors)
8:54.0,,,41-59,,Shooting foul by J. Thompson (drawn by G. Hayward)
8:54.0,,,41-60,1,G. Hayward makes free throw 1 of 1
8:44.0,D. Cousins misses 2-pt shot from 19 ft,,41-60,,
8:43.0,,,41-60,,Defensive rebound by E. Millsap
8:36.0,,,41-62,2,E. Kanter makes 2-pt shot from 15 ft
8:20.0,B. McLemore misses 3-pt shot from 24 ft,,41-62,,
8:19.0,,,41-62,,Defensive rebound by E. Kanter
8:13.0,,,41-62,,G. Hayward misses 3-pt shot from 24 ft
8:11.0,,,41-62,,Offensive rebound by D. Favors
8:11.0,,,41-62,,D. Favors misses 2-pt shot from 1 ft (block by J. Thompson)
8:11.0,,,41-62,,Offensive rebound by Team
8:11.0,O. Casspi enters the game for J. Thompson,,41-62,,
8:11.0,R. Evans enters the game for R. Gay,,41-62,,
8:01.0,,,41-64,2,D. Favors makes 2-pt shot at rim (assist by D. Exum)
7:41.0,Turnover by O. Casspi (bad pass),,41-64,,
7:20.0,,,41-64,,D. Favors misses 2-pt shot from 6 ft
7:17.0,Defensive rebound by D. Cousins,,41-64,,
7:16.0,,,41-64,,Personal foul by D. Exum (drawn by R. Sessions)
7:16.0,,,41-64,,T. Burke enters the game for D. Exum
7:08.0,B. McLemore makes 2-pt shot from 17 ft,2,43-64,,
6:46.0,,,43-64,,Shooting foul by D. Cousins (drawn by E. Kanter)
6:46.0,,,43-65,1,E. Kanter makes free throw 1 of 2
6:46.0,,,43-65,,E. Kanter misses free throw 2 of 2
6:42.0,Defensive rebound by R. Evans,,43-65,,
6:31.0,,,43-65,,Personal foul by E. Kanter (drawn by D. Cousins)
6:31.0,,,43-65,,R. Gobert enters the game for E. Kanter
6:29.0,Shooting foul by D. Favors (drawn by D. Cousins),,43-65,,
6:29.0,D. Cousins makes 2-pt shot from 1 ft,2,45-65,,
6:29.0,D. Cousins makes free throw 1 of 1,1,46-65,,
6:06.0,,,46-65,,T. Burke misses 2-pt shot from 20 ft
6:05.0,Defensive rebound by R. Evans,,46-65,,
5:54.0,,,46-65,,Personal foul by D. Favors (drawn by R. Evans)
5:54.0,R. Evans makes free throw 1 of 2,1,47-65,,
5:54.0,,,47-65,,E. Kanter enters the game for D. Favors
5:54.0,R. Evans misses free throw 2 of 2,,47-65,,
5:54.0,,,47-65,,Defensive rebound by Team
5:54.0,Loose ball foul by R. Evans (drawn by E. Kanter),,47-65,,
5:31.0,,,47-65,,E. Kanter misses 2-pt shot from 8 ft
5:29.0,,,47-65,,Offensive rebound by R. Gobert
5:29.0,,,47-67,2,R. Gobert makes 2-pt shot at rim
5:08.0,D. Cousins makes 2-pt shot from 1 ft,2,49-67,,
5:08.0,Shooting foul by R. Gobert (drawn by D. Cousins),,49-67,,
5:08.0,D. Cousins misses free throw 1 of 1,,49-67,,
5:06.0,,,49-67,,Defensive rebound by R. Gobert
4:56.0,,,49-67,,Shooting foul by D. Cousins (drawn by R. Gobert)
4:56.0,,,49-67,,R. Gobert misses free throw 1 of 2
4:56.0,,,49-67,,Offensive rebound by Team
4:56.0,,,49-67,,S. Novak enters the game for G. Hayward
4:56.0,,,49-67,,R. Gobert misses free throw 2 of 2
4:54.0,,,49-67,,Offensive rebound by E. Kanter
4:54.0,,,49-67,,E. Kanter misses 2-pt shot from 2 ft
4:51.0,Defensive rebound by D. Cousins,,49-67,,
4:46.0,R. Sessions makes 2-pt shot from 1 ft,2,51-67,,
4:26.0,,,51-67,,E. Kanter misses 2-pt shot from 17 ft
4:25.0,Defensive rebound by D. Cousins,,51-67,,
4:11.0,D. Cousins misses 2-pt shot from 20 ft,,51-67,,
4:10.0,,,51-67,,Defensive rebound by T. Burke
3:51.0,,,51-69,2,T. Burke makes 2-pt shot from 2 ft
3:23.0,B. McLemore misses 2-pt shot from 18 ft,,51-69,,
3:19.0,Offensive rebound by R. Sessions,,51-69,,
3:15.0,O. Casspi makes 2-pt shot from 3 ft,2,53-69,,
3:07.0,,,53-69,,Utah full timeout
3:07.0,R. McCallum enters the game for R. Sessions,,53-69,,
3:07.0,R. Gay enters the game for B. McLemore,,53-69,,
2:51.0,,,53-69,,T. Burke misses 3-pt shot from 24 ft
2:50.0,Defensive rebound by R. Evans,,53-69,,
2:46.0,,,53-69,,Personal foul by S. Novak (drawn by D. Cousins)
2:46.0,D. Cousins makes free throw 1 of 2,1,54-69,,
2:46.0,D. Cousins makes free throw 2 of 2,1,55-69,,
2:21.0,,,55-69,,E. Kanter misses 2-pt shot from 15 ft
2:21.0,,,55-69,,Offensive rebound by Team
2:21.0,,,55-69,,Turnover by Team (shot clock)
2:09.0,,,55-69,,Personal foul by S. Novak (drawn by D. Cousins)
2:09.0,D. Cousins makes free throw 1 of 2,1,56-69,,
2:09.0,,,56-69,,D. Exum enters the game for T. Burke
2:09.0,,,56-69,,G. Hayward enters the game for S. Novak
2:09.0,D. Cousins makes free throw 2 of 2,1,57-69,,
1:44.0,,,57-69,,G. Hayward misses 3-pt shot from 28 ft
1:43.0,Defensive rebound by R. Gay,,57-69,,
1:35.0,O. Casspi misses 2-pt shot from 3 ft,,57-69,,
1:32.0,,,57-69,,Defensive rebound by E. Millsap
1:22.0,,,57-71,2,E. Kanter makes 2-pt shot from 2 ft
1:02.0,R. McCallum makes 2-pt shot from 2 ft (assist by D. Cousins),2,59-71,,
0:43.0,,,59-73,2,G. Hayward makes 2-pt shot from 8 ft
0:28.0,Shooting foul by R. Gobert (drawn by D. Cousins),,59-73,,
0:28.0,D. Cousins misses free throw 1 of 2,,59-73,,
0:28.0,Offensive rebound by Team,,59-73,,
0:28.0,D. Cousins makes free throw 2 of 2,1,60-73,,
0:07.0,,,60-73,,Turnover by G. Hayward (lost ball; steal by R. Evans)
0:06.0,,,60-73,,Personal foul by G. Hayward (drawn by R. Evans)
0:06.0,R. Evans misses free throw 1 of 2,,60-73,,
0:06.0,Offensive rebound by Team,,60-73,,
0:06.0,J. Thompson enters the game for D. Cousins,,60-73,,
0:06.0,R. Evans makes free throw 2 of 2,1,61-73,,
0:01.0,,,61-75,2,G. Hayward makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Offensive charge foul by R. Gay,,61-75,,
11:43.0,Turnover by R. Gay (offensive foul),,61-75,,
11:21.0,,,61-77,2,T. Booker makes 2-pt shot from 20 ft (assist by T. Burke)
11:06.0,Shooting foul by D. Exum (drawn by O. Casspi),,61-77,,
11:06.0,O. Casspi makes free throw 1 of 2,1,62-77,,
11:06.0,O. Casspi makes free throw 2 of 2,1,63-77,,
10:48.0,,,63-79,2,D. Favors makes 2-pt shot from 2 ft (assist by G. Hayward)
10:34.0,O. Casspi misses 3-pt shot from 24 ft,,63-79,,
10:32.0,Offensive rebound by J. Thompson,,63-79,,
10:32.0,J. Thompson makes 2-pt shot from 1 ft,2,65-79,,
10:11.0,,,65-81,2,D. Exum makes 2-pt shot from 5 ft
9:54.0,Turnover by R. McCallum (bad pass; steal by D. Exum),,65-81,,
9:48.0,,,65-83,2,T. Burke makes 2-pt shot from 1 ft (assist by D. Exum)
9:47.0,Sacramento full timeout,,65-83,,
9:47.0,D. Cousins enters the game for R. Evans,,65-83,,
9:47.0,R. Sessions enters the game for R. McCallum,,65-83,,
9:47.0,B. McLemore enters the game for O. Casspi,,65-83,,
9:32.0,B. McLemore misses 2-pt shot from 20 ft,,65-83,,
9:29.0,Offensive rebound by J. Thompson,,65-83,,
9:25.0,J. Thompson makes 2-pt shot at rim,2,67-83,,
9:02.0,,,67-83,,Shooting foul by D. Cousins (drawn by D. Favors)
9:02.0,,,67-83,,D. Favors misses free throw 1 of 2
9:02.0,,,67-83,,Offensive rebound by Team
9:02.0,,,67-83,,E. Millsap enters the game for D. Exum
9:02.0,,,67-84,1,D. Favors makes free throw 2 of 2
8:47.0,D. Cousins misses 2-pt shot from 19 ft,,67-84,,
8:46.0,,,67-84,,Defensive rebound by D. Favors
8:35.0,,,67-84,,Offensive foul by D. Favors
8:35.0,,,67-84,,Turnover by D. Favors (offensive foul)
8:35.0,,,67-84,,R. Gobert enters the game for D. Favors
8:27.0,Turnover by D. Cousins (traveling),,67-84,,
8:16.0,Personal foul by D. Cousins (drawn by G. Hayward),,67-84,,
8:16.0,O. Casspi enters the game for R. Gay,,67-84,,
8:09.0,,,67-87,3,T. Booker makes 3-pt shot from 25 ft (assist by G. Hayward)
7:50.0,R. Sessions misses 3-pt shot from 24 ft,,67-87,,
7:50.0,Offensive rebound by Team,,67-87,,
7:50.0,,,67-87,,Personal foul by R. Gobert (drawn by D. Cousins)
7:50.0,,,67-87,,E. Kanter enters the game for R. Gobert
7:45.0,Turnover by R. Sessions (lost ball),,67-87,,
7:31.0,,,67-87,,G. Hayward misses 2-pt shot from 3 ft
7:31.0,,,67-87,,Offensive rebound by E. Millsap
7:31.0,,,67-87,,Shooting foul by J. Thompson (drawn by E. Millsap)
7:31.0,,,67-88,1,E. Millsap makes free throw 1 of 2
7:31.0,,,67-88,,E. Millsap misses free throw 2 of 2
7:29.0,Defensive rebound by O. Casspi,,67-88,,
7:11.0,B. McLemore makes 3-pt shot from 24 ft (assist by R. Sessions),3,70-88,,
6:56.0,,,70-88,,T. Burke misses 2-pt shot from 3 ft
6:54.0,,,70-88,,Offensive rebound by Team
6:54.0,Technical foul by Team,,70-88,,
6:54.0,,,70-88,,T. Burke misses technical free throw
6:54.0,,,70-88,,Offensive rebound by Team
6:42.0,,,70-88,,G. Hayward misses 2-pt shot from 9 ft
6:41.0,Defensive rebound by D. Cousins,,70-88,,
6:35.0,D. Cousins makes 2-pt shot from 11 ft (assist by O. Casspi),2,72-88,,
6:35.0,Shooting foul by T. Booker (drawn by D. Cousins),,72-88,,
6:35.0,D. Cousins misses free throw 1 of 1,,72-88,,
6:33.0,Offensive rebound by Team,,72-88,,
6:27.0,Turnover by D. Cousins (bad pass; steal by G. Hayward),,72-88,,
6:21.0,,,72-90,2,T. Booker makes 2-pt shot at rim (assist by T. Burke)
6:03.0,D. Cousins misses 2-pt shot from 2 ft,,72-90,,
6:02.0,Offensive rebound by D. Cousins,,72-90,,
6:02.0,D. Cousins misses 2-pt shot from 2 ft,,72-90,,
5:58.0,Offensive rebound by J. Thompson,,72-90,,
5:55.0,J. Thompson makes 2-pt shot at rim,2,74-90,,
5:50.0,Violation by R. Sessions (kicked ball),,74-90,,
5:50.0,Official timeout,,74-90,,
5:50.0,,,74-90,,D. Favors enters the game for E. Kanter
5:42.0,,,74-90,,G. Hayward misses 3-pt shot from 23 ft
5:39.0,Defensive rebound by D. Cousins,,74-90,,
5:25.0,,,74-90,,Personal foul by T. Booker (drawn by D. Cousins)
5:25.0,,,74-90,,D. Exum enters the game for T. Burke
5:23.0,,,74-90,,Personal foul by E. Millsap (drawn by O. Casspi)
5:23.0,O. Casspi makes free throw 1 of 2,1,75-90,,
5:23.0,O. Casspi makes free throw 2 of 2,1,76-90,,
5:12.0,,,76-92,2,D. Favors makes 2-pt shot at rim (assist by D. Exum)
4:59.0,Offensive charge foul by D. Cousins,,76-92,,
4:59.0,Turnover by D. Cousins (offensive foul),,76-92,,
4:59.0,R. Evans enters the game for D. Cousins,,76-92,,
4:46.0,,,76-94,2,G. Hayward makes 2-pt shot from 18 ft
4:27.0,O. Casspi makes 2-pt shot from 9 ft,2,78-94,,
