time,Indiana,pts.away,score,pts.home,Milwaukee
9:08.0,Defensive rebound by I. Mahinmi,,83-92,,
8:53.0,Turnover by G. Hill (lost ball; steal by M. Carter-Williams),,83-92,,
8:45.0,Personal foul by L. Allen (drawn by E. Ilyasova),,83-92,,
8:45.0,Official timeout,,83-92,,
8:38.0,,,83-92,,O. Mayo misses 2-pt shot at rim (block by I. Mahinmi)
8:36.0,Defensive rebound by L. Allen,,83-92,,
8:22.0,G. Hill makes 3-pt shot from 27 ft (assist by C. Watson),3,86-92,,
7:59.0,,,86-94,2,E. Ilyasova makes 2-pt shot from 16 ft (assist by O. Mayo)
7:34.0,Indiana full timeout,,86-94,,
7:34.0,S. Hill enters the game for D. Rudez,,86-94,,
7:33.0,S. Hill misses 2-pt shot from 3 ft,,86-94,,
7:33.0,Offensive rebound by Team,,86-94,,
7:32.0,Turnover by Team (shot clock),,86-94,,
7:20.0,,,86-94,,O. Mayo misses 3-pt shot from 22 ft
7:19.0,Defensive rebound by L. Allen,,86-94,,
6:59.0,C. Watson misses 3-pt shot from 25 ft,,86-94,,
6:58.0,Offensive rebound by S. Hill,,86-94,,
6:53.0,G. Hill makes 3-pt shot from 23 ft (assist by S. Hill),3,89-94,,
6:34.0,,,89-94,,Offensive charge foul by G. Antetokounmpo
6:34.0,,,89-94,,Turnover by G. Antetokounmpo (offensive foul)
6:34.0,L. Scola enters the game for L. Allen,,89-94,,
6:34.0,,,89-94,,K. Middleton enters the game for O. Mayo
6:18.0,G. Hill misses 3-pt shot from 26 ft,,89-94,,
6:17.0,,,89-94,,Defensive rebound by M. Carter-Williams
6:05.0,,,89-94,,M. Carter-Williams misses 2-pt shot from 1 ft
6:04.0,Defensive rebound by I. Mahinmi,,89-94,,
5:42.0,G. Hill makes 3-pt shot from 25 ft (assist by C. Watson),3,92-94,,
5:25.0,,,92-94,,Shooting foul by I. Mahinmi (drawn by M. Carter-Williams)
5:25.0,,,92-96,2,M. Carter-Williams makes 2-pt shot at rim
