time,Washington,pts.away,score,pts.home,Atlanta
6:20.0,B. Beal misses 2-pt shot from 2 ft,,27-39,,
6:19.0,,,27-39,,Defensive rebound by P. Millsap
6:19.0,Personal foul by K. Humphries (drawn by P. Millsap),,27-39,,
6:19.0,N. Hilario enters the game for K. Humphries,,27-39,,
6:19.0,J. Wall enters the game for G. Temple,,27-39,,
6:15.0,,,27-39,,Atlanta full timeout
6:07.0,,,27-39,,Offensive charge foul by J. Teague
6:07.0,,,27-39,,Turnover by J. Teague (offensive foul)
5:43.0,J. Wall makes 3-pt shot from 22 ft (assist by B. Beal),3,30-39,,
5:22.0,,,30-41,2,P. Millsap makes 2-pt shot from 2 ft (assist by K. Korver)
5:02.0,J. Wall makes 3-pt shot from 23 ft (assist by B. Beal),3,33-41,,
4:49.0,,,33-43,2,D. Carroll makes 2-pt shot from 1 ft (assist by K. Korver)
4:49.0,,,33-43,,Shooting foul by B. Beal (drawn by D. Carroll)
4:49.0,,,33-43,,A. Horford enters the game for M. Scott
4:49.0,,,33-44,1,D. Carroll makes free throw 1 of 1
4:36.0,Shooting foul by D. Carroll (drawn by N. Hilario),,33-44,,
4:36.0,N. Hilario makes free throw 1 of 2,1,34-44,,
4:36.0,,,34-44,,K. Bazemore enters the game for D. Carroll
4:36.0,N. Hilario makes free throw 2 of 2,1,35-44,,
4:20.0,,,35-46,2,J. Teague makes 2-pt shot from 1 ft (assist by K. Korver)
3:59.0,N. Hilario makes 2-pt shot from 2 ft (assist by J. Wall),2,37-46,,
3:37.0,,,37-48,2,A. Horford makes 2-pt shot from 15 ft (assist by P. Millsap)
3:30.0,Shooting foul by K. Bazemore (drawn by P. Pierce),,37-48,,
3:30.0,P. Pierce makes free throw 1 of 2,1,38-48,,
3:30.0,P. Pierce makes free throw 2 of 2,1,39-48,,
3:13.0,,,39-48,,K. Korver misses 3-pt shot from 22 ft
3:11.0,Defensive rebound by P. Pierce,,39-48,,
3:01.0,Turnover by K. Seraphin (lost ball; steal by A. Horford),,39-48,,
2:50.0,,,39-48,,Shooting foul by P. Pierce (drawn by J. Teague)
2:50.0,Washington full timeout,,39-48,,
2:50.0,,,39-48,,D. Schroder enters the game for K. Korver
2:50.0,M. Gortat enters the game for P. Pierce,,39-48,,
2:50.0,M. Webster enters the game for K. Seraphin,,39-48,,
2:50.0,,,39-49,1,J. Teague makes free throw 1 of 2
2:50.0,,,39-49,,J. Teague misses free throw 2 of 2
2:50.0,Defensive rebound by N. Hilario,,39-49,,
2:27.0,J. Wall makes 2-pt shot at rim (assist by N. Hilario),2,41-49,,
2:02.0,,,41-49,,J. Teague misses 2-pt shot from 6 ft
2:00.0,,,41-49,,Offensive rebound by A. Horford
2:00.0,,,41-49,,A. Horford misses 2-pt shot at rim
2:00.0,,,41-49,,Offensive rebound by A. Horford
2:00.0,,,41-51,2,A. Horford makes 2-pt shot at rim
2:00.0,,,41-51,,Shooting foul by M. Gortat (drawn by A. Horford)
2:00.0,,,41-52,1,A. Horford makes free throw 1 of 1
1:50.0,Turnover by M. Gortat (lost ball; steal by P. Millsap),,41-52,,
1:41.0,,,41-54,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
1:24.0,N. Hilario misses 2-pt shot from 16 ft,,41-54,,
1:22.0,,,41-54,,Defensive rebound by K. Bazemore
1:18.0,,,41-54,,K. Korver enters the game for D. Schroder
1:15.0,,,41-56,2,J. Teague makes 2-pt shot from 1 ft (assist by A. Horford)
1:15.0,,,41-56,,Shooting foul by M. Webster (drawn by J. Teague)
1:15.0,,,41-57,1,J. Teague makes free throw 1 of 1
0:59.0,N. Hilario makes 2-pt shot at rim (assist by J. Wall),2,43-57,,
0:59.0,,,43-57,,Atlanta full timeout
0:59.0,K. Seraphin enters the game for M. Gortat,,43-57,,
0:59.0,,,43-57,,D. Carroll enters the game for K. Bazemore
0:39.0,,,43-59,2,J. Teague makes 2-pt shot from 7 ft
0:28.0,M. Webster makes 3-pt shot from 23 ft (assist by J. Wall),3,46-59,,
0:09.0,,,46-59,,A. Horford misses 2-pt shot from 17 ft
0:08.0,Defensive rebound by J. Wall,,46-59,,
0:01.0,J. Wall misses 3-pt shot from 24 ft,,46-59,,
0:01.0,,,46-59,,Defensive rebound by K. Korver
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Turnover by J. Wall (bad pass; steal by P. Millsap),,46-59,,
11:45.0,,,46-59,,Turnover by P. Millsap (lost ball)
11:35.0,M. Gortat makes 2-pt shot from 11 ft (assist by J. Wall),2,48-59,,
11:23.0,,,48-59,,Shooting foul by J. Wall (drawn by J. Teague)
11:23.0,,,48-59,,J. Teague misses free throw 1 of 2
11:23.0,,,48-59,,Offensive rebound by Team
11:23.0,,,48-60,1,J. Teague makes free throw 2 of 2
11:05.0,M. Gortat makes 2-pt shot from 10 ft,2,50-60,,
11:00.0,Personal foul by N. Hilario (drawn by P. Millsap),,50-60,,
10:47.0,,,50-62,2,A. Horford makes 2-pt shot from 18 ft (assist by J. Teague)
10:32.0,B. Beal makes 2-pt shot from 9 ft,2,52-62,,
10:22.0,Personal foul by M. Gortat (drawn by A. Horford),,52-62,,
10:13.0,,,52-64,2,P. Millsap makes 2-pt shot from 11 ft (assist by J. Teague)
9:51.0,Shooting foul by P. Millsap (drawn by M. Gortat),,52-64,,
9:51.0,M. Gortat makes free throw 1 of 2,1,53-64,,
