time,Oklahoma City,pts.away,score,pts.home,Atlanta
4:22.0,,,41-36,,A. Horford misses 2-pt shot at rim
4:20.0,,,41-36,,Offensive rebound by A. Horford
4:19.0,,,41-38,2,A. Horford makes 2-pt shot at rim
3:56.0,Shooting foul by A. Horford (drawn by D. Waiters),,41-38,,
3:56.0,D. Waiters makes free throw 1 of 2,1,42-38,,
3:56.0,S. Adams enters the game for R. Jackson,,42-38,,
3:56.0,D. Waiters makes free throw 2 of 2,1,43-38,,
3:42.0,,,43-40,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
3:27.0,Jump ball: S. Adams vs. P. Millsap (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. P. Millsap (R. Westbrook gains possession)
3:16.0,S. Adams misses 2-pt shot from 2 ft,,43-40,,
3:15.0,,,43-40,,Defensive rebound by A. Horford
2:54.0,,,43-40,,D. Carroll misses 3-pt shot from 26 ft
2:51.0,,,43-40,,Offensive rebound by A. Horford
2:49.0,,,43-40,,Turnover by K. Bazemore (lost ball; steal by S. Ibaka)
2:43.0,S. Ibaka makes 2-pt shot at rim (assist by D. Waiters),2,45-40,,
2:32.0,,,45-42,2,J. Teague makes 2-pt shot at rim
2:24.0,Oklahoma City full timeout,,45-42,,
2:19.0,R. Westbrook misses 2-pt shot from 2 ft,,45-42,,
2:18.0,,,45-42,,Defensive rebound by J. Teague
2:13.0,,,45-44,2,J. Teague makes 2-pt shot at rim
1:50.0,R. Westbrook misses 2-pt shot from 10 ft,,45-44,,
1:47.0,,,45-44,,Defensive rebound by P. Millsap
1:44.0,,,45-46,2,K. Bazemore makes 2-pt shot at rim (assist by D. Carroll)
1:34.0,Oklahoma City full timeout,,45-46,,
1:20.0,S. Ibaka misses 2-pt shot from 1 ft,,45-46,,
1:19.0,,,45-46,,Defensive rebound by P. Millsap
1:06.0,,,45-46,,Turnover by P. Millsap (lost ball)
1:06.0,,,45-46,,K. Korver enters the game for K. Bazemore
0:55.0,K. Durant misses 2-pt shot from 16 ft,,45-46,,
0:53.0,Offensive rebound by S. Ibaka,,45-46,,
0:48.0,K. Durant misses 2-pt shot from 17 ft,,45-46,,
0:46.0,Offensive rebound by Team,,45-46,,
0:36.0,D. Waiters makes 2-pt shot from 22 ft,2,47-46,,
0:28.0,,,47-46,,Turnover by J. Teague (bad pass; steal by D. Waiters)
0:05.0,Turnover by K. Durant (bad pass; steal by P. Millsap),,47-46,,
0:01.0,,,47-48,2,K. Korver makes 2-pt shot at rim (assist by P. Millsap)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,47-50,2,P. Millsap makes 2-pt shot from 1 ft
11:16.0,A. Roberson makes 3-pt shot from 25 ft (assist by S. Adams),3,50-50,,
10:57.0,,,50-50,,Turnover by P. Millsap (traveling)
10:39.0,S. Ibaka misses 3-pt shot from 25 ft,,50-50,,
10:38.0,Offensive rebound by Team,,50-50,,
10:36.0,S. Ibaka misses 2-pt shot from 1 ft (block by A. Horford),,50-50,,
10:34.0,Offensive rebound by S. Adams,,50-50,,
10:31.0,Turnover by S. Ibaka (lost ball),,50-50,,
10:21.0,,,50-50,,Turnover by A. Horford (bad pass)
10:08.0,S. Adams misses 2-pt shot from 1 ft,,50-50,,
10:07.0,,,50-50,,Defensive rebound by P. Millsap
9:52.0,,,50-52,2,P. Millsap makes 2-pt shot from 1 ft
9:40.0,K. Durant makes 2-pt shot from 2 ft (assist by R. Westbrook),2,52-52,,
9:21.0,,,52-55,3,J. Teague makes 3-pt shot from 24 ft
9:09.0,K. Durant misses 2-pt shot from 20 ft,,52-55,,
9:08.0,Offensive rebound by S. Adams,,52-55,,
8:55.0,R. Westbrook makes 2-pt shot from 1 ft (assist by A. Roberson),2,54-55,,
8:49.0,,,54-55,,Shooting foul by A. Roberson (drawn by J. Teague)
8:49.0,,,54-56,1,J. Teague makes free throw 1 of 2
8:49.0,,,54-57,1,J. Teague makes free throw 2 of 2
8:31.0,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook),2,56-57,,
8:16.0,,,56-59,2,J. Teague makes 2-pt shot from 1 ft
7:57.0,Turnover by R. Westbrook (lost ball; steal by A. Horford),,56-59,,
7:43.0,,,56-61,2,J. Teague makes 2-pt shot at rim (assist by A. Horford)
7:32.0,S. Ibaka misses 2-pt shot from 17 ft,,56-61,,
7:31.0,,,56-61,,Defensive rebound by K. Korver
7:10.0,,,56-61,,A. Horford misses 2-pt shot from 6 ft
7:10.0,Defensive rebound by Team,,56-61,,
6:56.0,K. Durant misses 2-pt shot from 14 ft,,56-61,,
6:55.0,,,56-61,,Defensive rebound by K. Korver
6:45.0,Personal foul by R. Westbrook (drawn by J. Teague),,56-61,,
6:37.0,,,56-63,2,P. Millsap makes 2-pt shot at rim (assist by J. Teague)
6:37.0,Oklahoma City full timeout,,56-63,,
6:25.0,K. Durant misses 2-pt shot from 17 ft,,56-63,,
6:23.0,Offensive rebound by S. Adams,,56-63,,
6:22.0,S. Adams makes 2-pt shot at rim,2,58-63,,
6:06.0,,,58-63,,P. Millsap misses 2-pt shot from 10 ft
6:04.0,Defensive rebound by K. Durant,,58-63,,
6:03.0,Turnover by K. Durant (lost ball; steal by P. Millsap),,58-63,,
5:57.0,,,58-66,3,D. Carroll makes 3-pt shot from 23 ft (assist by P. Millsap)
5:46.0,S. Ibaka makes 2-pt shot from 18 ft (assist by R. Westbrook),2,60-66,,
5:33.0,,,60-66,,Turnover by P. Millsap (bad pass; steal by R. Westbrook)
5:31.0,,,60-66,,Personal block foul by J. Teague (drawn by R. Westbrook)
5:31.0,,,60-66,,T. Sefolosha enters the game for K. Korver
5:31.0,A. Morrow enters the game for A. Roberson,,60-66,,
5:31.0,,,60-66,,P. Antic enters the game for A. Horford
5:22.0,K. Durant makes 2-pt shot from 3 ft (assist by R. Westbrook),2,62-66,,
4:52.0,,,62-66,,J. Teague misses 2-pt shot from 4 ft (block by S. Ibaka)
4:52.0,,,62-66,,Offensive rebound by Team
4:52.0,,,62-66,,Turnover by Team (shot clock)
4:36.0,Offensive foul by S. Adams,,62-66,,
4:36.0,Turnover by S. Adams (offensive foul),,62-66,,
4:22.0,,,62-66,,P. Millsap misses 3-pt shot from 23 ft
4:21.0,Defensive rebound by S. Adams,,62-66,,
4:12.0,R. Westbrook makes 2-pt shot from 6 ft,2,64-66,,
3:48.0,,,64-66,,J. Teague misses 2-pt shot from 3 ft
3:46.0,Defensive rebound by S. Ibaka,,64-66,,
3:39.0,K. Durant misses 3-pt shot from 24 ft,,64-66,,
3:38.0,,,64-66,,Defensive rebound by P. Antic
3:34.0,,,64-66,,Atlanta full timeout
3:34.0,,,64-66,,D. Schroder enters the game for J. Teague
3:34.0,D. Waiters enters the game for S. Ibaka,,64-66,,
3:20.0,,,64-68,2,P. Antic makes 2-pt shot at rim (assist by D. Schroder)
2:58.0,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook),2,66-68,,
2:52.0,Personal foul by S. Adams (drawn by P. Antic),,66-68,,
2:52.0,K. Perkins enters the game for S. Adams,,66-68,,
2:45.0,,,66-71,3,D. Schroder makes 3-pt shot from 25 ft
2:22.0,R. Westbrook makes 3-pt shot from 26 ft,3,69-71,,
1:57.0,,,69-71,,P. Millsap misses 2-pt shot from 2 ft (block by K. Durant)
1:55.0,,,69-71,,Offensive rebound by P. Millsap
1:52.0,,,69-74,3,P. Antic makes 3-pt shot from 26 ft (assist by P. Millsap)
1:36.0,R. Westbrook misses 3-pt shot from 25 ft,,69-74,,
1:35.0,,,69-74,,Defensive rebound by P. Millsap
1:26.0,,,69-74,,Turnover by T. Sefolosha (lost ball; steal by D. Waiters)
1:20.0,Turnover by D. Waiters (step out of bounds),,69-74,,
1:20.0,,,69-74,,A. Horford enters the game for P. Millsap
1:20.0,,,69-74,,K. Korver enters the game for D. Carroll
1:20.0,R. Jackson enters the game for R. Westbrook,,69-74,,
1:04.0,,,69-76,2,T. Sefolosha makes 2-pt shot at rim (assist by D. Schroder)
0:51.0,Shooting foul by D. Schroder (drawn by K. Perkins),,69-76,,
0:51.0,K. Perkins makes free throw 1 of 2,1,70-76,,
0:51.0,K. Perkins misses free throw 2 of 2,,70-76,,
0:50.0,,,70-76,,Defensive rebound by T. Sefolosha
0:33.0,,,70-76,,D. Schroder misses 2-pt shot from 2 ft (block by K. Perkins)
0:30.0,Defensive rebound by R. Jackson,,70-76,,
0:25.0,R. Jackson makes 2-pt shot from 2 ft,2,72-76,,
0:05.0,,,72-78,2,A. Horford makes 2-pt shot from 1 ft (assist by D. Schroder)
0:05.0,,,72-78,,Shooting foul by K. Perkins (drawn by A. Horford)
0:05.0,,,72-78,,K. Bazemore enters the game for K. Korver
0:05.0,,,72-78,,D. Carroll enters the game for P. Antic
0:05.0,,,72-79,1,A. Horford makes free throw 1 of 1
0:00.0,R. Jackson makes 3-pt shot from 25 ft,3,75-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,Shooting foul by P. Antic (drawn by K. Durant),,75-79,,
11:41.0,K. Durant makes free throw 1 of 2,1,76-79,,
11:41.0,K. Durant misses free throw 2 of 2,,76-79,,
11:39.0,,,76-79,,Defensive rebound by A. Horford
11:27.0,Violation by R. Jackson (def goaltending),,76-79,,
11:27.0,,,76-81,2,D. Schroder makes 2-pt shot at rim (assist by P. Antic)
11:04.0,K. Durant misses 3-pt shot from 24 ft,,76-81,,
11:02.0,,,76-81,,Defensive rebound by D. Schroder
10:53.0,,,76-81,,D. Schroder misses 3-pt shot from 24 ft
10:51.0,Defensive rebound by K. Durant,,76-81,,
10:39.0,R. Jackson misses 3-pt shot from 24 ft,,76-81,,
10:37.0,,,76-81,,Defensive rebound by A. Horford
10:33.0,,,76-81,,Shooting foul by R. Jackson (drawn by D. Schroder)
10:33.0,,,76-82,1,D. Schroder makes free throw 1 of 2
10:33.0,,,76-82,,M. Scott enters the game for P. Antic
10:33.0,,,76-83,1,D. Schroder makes free throw 2 of 2
10:22.0,,,76-83,,Personal foul by T. Sefolosha (drawn by K. Durant)
10:17.0,K. Durant misses 3-pt shot from 24 ft,,76-83,,
10:16.0,,,76-83,,Defensive rebound by D. Schroder
10:08.0,,,76-85,2,A. Horford makes 2-pt shot from 2 ft (assist by D. Schroder)
10:08.0,Oklahoma City full timeout,,76-85,,
10:08.0,S. Ibaka enters the game for K. Durant,,76-85,,
10:08.0,,,76-85,,K. Bazemore enters the game for T. Sefolosha
9:51.0,D. Waiters misses 2-pt shot from 22 ft,,76-85,,
9:50.0,,,76-85,,Defensive rebound by A. Horford
9:35.0,,,76-85,,D. Schroder misses 2-pt shot from 19 ft
9:33.0,Defensive rebound by K. Perkins,,76-85,,
9:10.0,Turnover by Team (shot clock),,76-85,,
8:51.0,,,76-87,2,D. Schroder makes 2-pt shot from 2 ft (assist by A. Horford)
8:34.0,A. Morrow misses 2-pt shot from 6 ft,,76-87,,
8:32.0,,,76-87,,Defensive rebound by A. Horford
8:22.0,,,76-87,,D. Schroder misses 3-pt shot from 24 ft
8:18.0,Defensive rebound by R. Jackson,,76-87,,
8:11.0,S. Ibaka makes 3-pt shot from 24 ft (assist by R. Jackson),3,79-87,,
7:54.0,,,79-87,,A. Horford misses 2-pt shot from 19 ft
7:52.0,Defensive rebound by S. Ibaka,,79-87,,
7:34.0,,,79-87,,P. Millsap enters the game for A. Horford
7:34.0,,,79-87,,P. Antic enters the game for M. Scott
7:34.0,R. Westbrook enters the game for K. Perkins,,79-87,,
7:34.0,K. Durant enters the game for A. Morrow,,79-87,,
7:31.0,R. Jackson misses 2-pt shot from 2 ft (block by P. Millsap),,79-87,,
7:30.0,Offensive rebound by R. Jackson,,79-87,,
7:27.0,R. Jackson misses 3-pt shot from 23 ft,,79-87,,
7:26.0,,,79-87,,Defensive rebound by P. Millsap
7:06.0,,,79-87,,P. Millsap misses 2-pt shot from 12 ft
7:03.0,,,79-87,,Offensive rebound by K. Bazemore
7:03.0,Personal foul by R. Westbrook (drawn by K. Bazemore),,79-87,,
7:03.0,,,79-87,,J. Teague enters the game for D. Schroder
6:52.0,,,79-87,,P. Antic misses 3-pt shot from 24 ft
6:49.0,,,79-87,,Offensive rebound by P. Millsap
6:48.0,,,79-89,2,P. Millsap makes 2-pt shot at rim
6:36.0,R. Jackson misses 2-pt shot from 1 ft,,79-89,,
6:36.0,,,79-89,,Defensive rebound by Team
6:25.0,,,79-92,3,P. Millsap makes 3-pt shot from 24 ft (assist by J. Teague)
6:24.0,Oklahoma City full timeout,,79-92,,
6:24.0,,,79-92,,D. Carroll enters the game for K. Korver
6:24.0,S. Adams enters the game for D. Waiters,,79-92,,
6:16.0,S. Ibaka misses 2-pt shot from 19 ft,,79-92,,
6:15.0,,,79-92,,Defensive rebound by K. Bazemore
6:11.0,Personal foul by S. Ibaka (drawn by P. Millsap),,79-92,,
5:53.0,,,79-94,2,P. Millsap makes 2-pt shot from 7 ft
5:39.0,K. Durant makes 3-pt shot from 22 ft (assist by R. Westbrook),3,82-94,,
5:20.0,,,82-94,,Shooting foul by S. Ibaka (drawn by P. Millsap)
5:20.0,,,82-95,1,P. Millsap makes free throw 1 of 2
5:20.0,,,82-96,1,P. Millsap makes free throw 2 of 2
5:11.0,,,82-96,,Personal foul by D. Carroll (drawn by K. Durant)
4:55.0,Turnover by Team (shot clock),,82-96,,
4:42.0,,,82-96,,K. Bazemore misses 2-pt shot from 1 ft (block by S. Adams)
4:40.0,,,82-96,,Offensive rebound by P. Antic
4:37.0,,,82-96,,P. Antic misses 2-pt shot at rim
4:36.0,Defensive rebound by S. Adams,,82-96,,
4:34.0,K. Durant misses 3-pt shot from 25 ft,,82-96,,
4:34.0,Offensive rebound by Team,,82-96,,
4:33.0,,,82-96,,Personal foul by D. Carroll (drawn by K. Durant)
4:28.0,R. Westbrook makes 2-pt shot from 7 ft,2,84-96,,
4:18.0,,,84-96,,J. Teague misses 2-pt shot from 1 ft
4:17.0,Defensive rebound by R. Westbrook,,84-96,,
4:14.0,Shooting foul by K. Bazemore (drawn by K. Durant),,84-96,,
4:14.0,K. Durant makes free throw 1 of 2,1,85-96,,
4:14.0,,,85-96,,A. Horford enters the game for P. Antic
4:14.0,K. Durant misses free throw 2 of 2,,85-96,,
4:13.0,Offensive rebound by Team,,85-96,,
4:09.0,K. Durant misses 3-pt shot from 22 ft,,85-96,,
4:08.0,,,85-96,,Defensive rebound by P. Millsap
3:47.0,,,85-96,,A. Horford misses 3-pt shot from 23 ft
3:46.0,,,85-96,,Offensive rebound by D. Carroll
3:28.0,,,85-96,,K. Bazemore misses 3-pt shot from 25 ft
3:26.0,Defensive rebound by S. Adams,,85-96,,
3:18.0,Turnover by R. Westbrook (bad pass; steal by K. Bazemore),,85-96,,
3:12.0,,,85-98,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
3:11.0,Oklahoma City full timeout,,85-98,,
3:11.0,,,85-98,,K. Korver enters the game for K. Bazemore
2:59.0,Shooting foul by K. Korver (drawn by S. Adams),,85-98,,
2:59.0,S. Adams misses free throw 1 of 2,,85-98,,
2:59.0,Offensive rebound by Team,,85-98,,
2:59.0,S. Adams makes free throw 2 of 2,1,86-98,,
2:37.0,,,86-98,,P. Millsap misses 2-pt shot from 19 ft
