time,San Antonio,pts.away,score,pts.home,Houston
7:48.0,Turnover by D. Green (bad pass; steal by J. Harden),,2-12,,
7:43.0,,,2-12,,Shooting foul by A. Baynes (drawn by D. Howard)
7:43.0,,,2-13,1,D. Howard makes free throw 1 of 2
7:43.0,B. Diaw enters the game for A. Baynes,,2-13,,
7:43.0,Violation by Team (delay of game),,2-13,,
7:43.0,,,2-13,,D. Howard misses free throw 2 of 2
7:43.0,Defensive rebound by K. Leonard,,2-13,,
7:31.0,T. Duncan makes 2-pt shot at rim (assist by T. Parker),2,4-13,,
7:10.0,,,4-15,2,J. Harden makes 2-pt shot from 16 ft
6:58.0,K. Leonard misses 2-pt shot from 3 ft (block by D. Howard),,4-15,,
6:56.0,,,4-15,,Defensive rebound by T. Ariza
6:45.0,,,4-15,,J. Harden misses 2-pt shot at rim
6:44.0,,,4-15,,Offensive rebound by T. Jones
6:44.0,,,4-15,,T. Jones misses 2-pt shot from 1 ft
6:42.0,,,4-15,,Offensive rebound by T. Jones
6:41.0,,,4-15,,T. Jones misses 2-pt shot from 2 ft (block by T. Duncan)
6:38.0,,,4-15,,Offensive rebound by T. Jones
6:37.0,,,4-15,,Shooting foul by D. Green (drawn by D. Howard)
6:37.0,,,4-16,1,D. Howard makes free throw 1 of 2
6:37.0,,,4-17,1,D. Howard makes free throw 2 of 2
6:18.0,T. Duncan makes 2-pt shot from 7 ft,2,6-17,,
6:05.0,,,6-17,,Shooting foul by T. Duncan (drawn by D. Howard)
6:05.0,,,6-18,1,D. Howard makes free throw 1 of 2
6:05.0,M. Ginobili enters the game for D. Green,,6-18,,
6:05.0,,,6-18,,P. Prigioni enters the game for J. Terry
6:05.0,,,6-18,,D. Howard misses free throw 2 of 2
6:05.0,Defensive rebound by Team,,6-18,,
5:44.0,M. Ginobili misses 2-pt shot from 15 ft,,6-18,,
5:42.0,,,6-18,,Defensive rebound by T. Jones
5:41.0,,,6-18,,Turnover by T. Jones (bad pass)
5:41.0,,,6-18,,Houston full timeout
5:41.0,,,6-18,,J. Smith enters the game for D. Howard
5:19.0,M. Ginobili makes 2-pt shot from 17 ft (assist by T. Duncan),2,8-18,,
5:04.0,,,8-18,,Shooting foul by B. Diaw (drawn by T. Jones)
5:04.0,,,8-19,1,T. Jones makes free throw 1 of 2
5:04.0,J. Ayres enters the game for T. Duncan,,8-19,,
5:04.0,,,8-20,1,T. Jones makes free throw 2 of 2
4:51.0,,,8-20,,Personal foul by J. Smith (drawn by J. Ayres)
4:51.0,,,8-20,,C. Brewer enters the game for T. Jones
4:41.0,B. Diaw makes 2-pt shot from 2 ft,2,10-20,,
4:31.0,Shooting block foul by J. Ayres (drawn by J. Harden),,10-20,,
4:31.0,,,10-20,,J. Harden misses free throw 1 of 2
4:31.0,,,10-20,,Offensive rebound by Team
4:31.0,C. Joseph enters the game for T. Parker,,10-20,,
4:31.0,,,10-21,1,J. Harden makes free throw 2 of 2
4:15.0,K. Leonard makes 2-pt shot from 12 ft,2,12-21,,
4:08.0,M. Belinelli enters the game for K. Leonard,,12-21,,
4:01.0,,,12-23,2,J. Smith makes 2-pt shot at rim (assist by C. Brewer)
3:44.0,Turnover by M. Ginobili (bad pass; steal by J. Harden),,12-23,,
3:42.0,,,12-23,,Shooting foul by M. Ginobili (drawn by J. Harden)
3:42.0,,,12-24,1,J. Harden makes free throw 1 of 2
3:42.0,,,12-25,1,J. Harden makes free throw 2 of 2
3:27.0,J. Ayres makes 2-pt shot from 2 ft (assist by B. Diaw),2,14-25,,
3:00.0,,,14-25,,C. Brewer misses 2-pt shot from 5 ft
2:58.0,Defensive rebound by M. Ginobili,,14-25,,
2:54.0,Offensive charge foul by C. Joseph,,14-25,,
2:54.0,Turnover by C. Joseph (offensive foul),,14-25,,
2:54.0,San Antonio full timeout,,14-25,,
2:54.0,,,14-25,,N. Johnson enters the game for T. Ariza
2:43.0,,,14-27,2,C. Brewer makes 2-pt shot from 2 ft (assist by J. Smith)
2:17.0,B. Diaw misses 3-pt shot from 25 ft,,14-27,,
2:15.0,Offensive rebound by C. Joseph,,14-27,,
2:08.0,,,14-27,,Personal block foul by J. Smith (drawn by M. Ginobili)
1:55.0,M. Belinelli makes 3-pt shot from 22 ft (assist by B. Diaw),3,17-27,,
1:42.0,,,17-27,,Turnover by J. Smith (bad pass; steal by M. Belinelli)
1:29.0,C. Joseph makes 2-pt shot from 4 ft (assist by B. Diaw),2,19-27,,
1:16.0,,,19-27,,C. Brewer misses 3-pt shot from 24 ft
1:15.0,Defensive rebound by J. Ayres,,19-27,,
1:03.0,B. Diaw misses 2-pt shot from 6 ft (block by J. Smith),,19-27,,
1:01.0,Offensive rebound by J. Ayres,,19-27,,
0:59.0,M. Ginobili makes 2-pt shot from 1 ft (assist by M. Belinelli),2,21-27,,
0:49.0,,,21-27,,Shooting foul by J. Ayres (drawn by J. Harden)
0:49.0,,,21-28,1,J. Harden makes free throw 1 of 2
0:49.0,,,21-28,,J. Harden misses free throw 2 of 2
0:49.0,Defensive rebound by J. Ayres,,21-28,,
0:31.0,B. Diaw makes 2-pt shot from 9 ft,2,23-28,,
0:10.0,,,23-30,2,J. Harden makes 2-pt shot from 17 ft
0:03.0,M. Ginobili misses 3-pt shot from 25 ft,,23-30,,
0:01.0,,,23-30,,Defensive rebound by N. Johnson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,23-30,,Personal foul by C. Brewer (drawn by M. Ginobili)
11:32.0,B. Diaw makes 2-pt shot from 13 ft,2,25-30,,
11:16.0,,,25-30,,Turnover by N. Johnson (bad pass; steal by M. Ginobili)
10:58.0,M. Ginobili makes 2-pt shot from 20 ft,2,27-30,,
10:46.0,,,27-30,,Turnover by C. Brewer (lost ball)
10:30.0,B. Diaw misses 2-pt shot from 7 ft,,27-30,,
10:28.0,,,27-30,,Defensive rebound by D. Howard
10:17.0,,,27-30,,N. Johnson misses 3-pt shot from 23 ft
10:16.0,Defensive rebound by B. Diaw,,27-30,,
10:07.0,J. Ayres makes 2-pt shot from 8 ft (assist by M. Ginobili),2,29-30,,
9:49.0,,,29-32,2,T. Jones makes 2-pt shot from 1 ft (assist by D. Howard)
9:49.0,San Antonio full timeout,,29-32,,
9:49.0,,,29-32,,T. Ariza enters the game for N. Johnson
9:49.0,M. Bonner enters the game for B. Diaw,,29-32,,
9:49.0,K. Leonard enters the game for M. Ginobili,,29-32,,
9:24.0,J. Ayres misses 2-pt shot from 12 ft,,29-32,,
9:23.0,,,29-32,,Defensive rebound by D. Howard
9:02.0,,,29-32,,D. Howard misses 2-pt shot from 6 ft
9:01.0,,,29-32,,Offensive rebound by C. Brewer
9:01.0,,,29-32,,Shooting foul by K. Leonard (drawn by C. Brewer)
9:01.0,,,29-32,,C. Brewer misses free throw 1 of 2
9:01.0,,,29-32,,Offensive rebound by Team
9:01.0,,,29-32,,J. Terry enters the game for P. Prigioni
9:01.0,,,29-33,1,C. Brewer makes free throw 2 of 2
8:43.0,Shooting foul by J. Terry (drawn by C. Joseph),,29-33,,
8:43.0,C. Joseph makes free throw 1 of 2,1,30-33,,
8:43.0,A. Baynes enters the game for J. Ayres,,30-33,,
8:43.0,C. Joseph misses free throw 2 of 2,,30-33,,
8:43.0,,,30-33,,Defensive rebound by D. Howard
8:24.0,,,30-33,,Turnover by D. Howard (bad pass; steal by K. Leonard)
8:13.0,M. Bonner misses 3-pt shot from 23 ft,,30-33,,
8:12.0,,,30-33,,Defensive rebound by D. Howard
7:53.0,,,30-33,,T. Jones misses 2-pt shot from 6 ft
7:53.0,Defensive rebound by Team,,30-33,,
7:53.0,,,30-33,,Loose ball foul by T. Jones (drawn by M. Bonner)
7:53.0,T. Parker enters the game for C. Joseph,,30-33,,
7:53.0,,,30-33,,J. Smith enters the game for D. Howard
7:40.0,M. Belinelli makes 2-pt shot from 21 ft,2,32-33,,
7:24.0,,,32-33,,Turnover by C. Brewer (bad pass; steal by K. Leonard)
7:19.0,K. Leonard misses 2-pt shot from 2 ft,,32-33,,
7:17.0,,,32-33,,Defensive rebound by J. Smith
7:12.0,,,32-33,,J. Smith misses 3-pt shot from 24 ft
7:10.0,Defensive rebound by A. Baynes,,32-33,,
6:55.0,T. Parker misses 2-pt shot from 11 ft,,32-33,,
6:53.0,,,32-33,,Defensive rebound by J. Smith
6:42.0,,,32-35,2,J. Smith makes 2-pt shot from 6 ft
6:34.0,Turnover by K. Leonard (bad pass; steal by J. Smith),,32-35,,
6:31.0,,,32-37,2,J. Smith makes 2-pt shot at rim
6:06.0,M. Belinelli misses 3-pt shot from 29 ft,,32-37,,
6:05.0,,,32-37,,Defensive rebound by C. Brewer
6:01.0,,,32-37,,Shooting foul by M. Bonner (drawn by C. Brewer)
6:01.0,,,32-38,1,C. Brewer makes free throw 1 of 2
6:01.0,T. Duncan enters the game for A. Baynes,,32-38,,
6:01.0,,,32-38,,J. Dorsey enters the game for T. Jones
6:01.0,,,32-39,1,C. Brewer makes free throw 2 of 2
5:46.0,K. Leonard misses 2-pt shot from 1 ft,,32-39,,
5:44.0,Offensive rebound by K. Leonard,,32-39,,
5:43.0,K. Leonard misses 2-pt shot from 1 ft,,32-39,,
5:41.0,,,32-39,,Defensive rebound by C. Brewer
5:36.0,,,32-39,,Turnover by T. Ariza (traveling)
5:36.0,Official timeout,,32-39,,
5:36.0,,,32-39,,J. Harden enters the game for C. Brewer
5:36.0,D. Green enters the game for M. Belinelli,,32-39,,
5:28.0,,,32-39,,Personal foul by T. Ariza (drawn by K. Leonard)
5:18.0,T. Duncan makes 2-pt shot from 5 ft,2,34-39,,
5:01.0,,,34-39,,J. Harden misses 2-pt shot from 12 ft
4:58.0,Defensive rebound by K. Leonard,,34-39,,
4:58.0,,,34-39,,Personal foul by J. Harden (drawn by K. Leonard)
4:58.0,K. Leonard makes free throw 1 of 2,1,35-39,,
4:58.0,K. Leonard makes free throw 2 of 2,1,36-39,,
4:40.0,,,36-39,,J. Terry misses 2-pt shot from 22 ft
4:39.0,,,36-39,,Offensive rebound by J. Dorsey
4:33.0,,,36-39,,J. Smith misses 2-pt shot from 9 ft
4:31.0,Jump ball: J. Dorsey vs. K. Leonard,,,,Jump ball: J. Dorsey vs. K. Leonard
4:31.0,,,36-39,,Offensive rebound by Team
4:31.0,Violation by Team (jump ball),,36-39,,
4:19.0,,,36-39,,J. Smith misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by K. Leonard,,36-39,,
4:13.0,K. Leonard misses 2-pt shot from 1 ft,,36-39,,
4:11.0,,,36-39,,Defensive rebound by J. Dorsey
4:07.0,,,36-42,3,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden)
3:46.0,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker),2,38-42,,
3:29.0,,,38-42,,J. Harden misses 2-pt shot at rim
3:27.0,Defensive rebound by T. Duncan,,38-42,,
3:13.0,T. Duncan makes 2-pt shot from 5 ft,2,40-42,,
3:06.0,,,40-42,,Houston full timeout
3:06.0,A. Baynes enters the game for M. Bonner,,40-42,,
3:06.0,,,40-42,,D. Howard enters the game for J. Smith
3:06.0,,,40-42,,T. Jones enters the game for J. Dorsey
2:52.0,,,40-42,,Turnover by T. Jones (bad pass)
2:30.0,T. Parker misses 2-pt shot from 19 ft,,40-42,,
2:29.0,,,40-42,,Defensive rebound by D. Howard
2:23.0,,,40-45,3,J. Harden makes 3-pt shot from 25 ft
1:58.0,D. Green misses 3-pt shot from 23 ft,,40-45,,
1:57.0,,,40-45,,Defensive rebound by D. Howard
1:37.0,,,40-45,,Turnover by J. Harden (lost ball; steal by K. Leonard)
1:35.0,Turnover by T. Duncan (lost ball; steal by J. Harden),,40-45,,
1:31.0,,,40-45,,Turnover by T. Jones (bad pass)
1:18.0,,,40-45,,Personal foul by T. Jones (drawn by A. Baynes)
1:18.0,A. Baynes makes free throw 1 of 2,1,41-45,,
1:18.0,A. Baynes makes free throw 2 of 2,1,42-45,,
1:05.0,,,42-45,,T. Ariza misses 3-pt shot from 23 ft
1:04.0,Defensive rebound by T. Parker,,42-45,,
0:55.0,D. Green misses 2-pt shot from 12 ft,,42-45,,
0:54.0,Offensive rebound by T. Duncan,,42-45,,
0:39.0,K. Leonard makes 2-pt shot from 13 ft,2,44-45,,
0:19.0,,,44-48,3,J. Terry makes 3-pt shot from 24 ft (assist by J. Harden)
0:00.0,A. Baynes makes 2-pt shot from 9 ft (assist by T. Parker),2,46-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,46-48,,Personal foul by J. Terry (drawn by T. Parker)
11:37.0,Turnover by A. Baynes (lost ball; steal by D. Howard),,46-48,,
11:32.0,,,46-48,,J. Harden misses 2-pt shot from 1 ft
11:30.0,Defensive rebound by D. Green,,46-48,,
11:23.0,Turnover by D. Green (bad pass; steal by T. Ariza),,46-48,,
11:03.0,,,46-50,2,T. Jones makes 2-pt shot from 8 ft
10:41.0,T. Duncan makes 2-pt shot from 19 ft (assist by D. Green),2,48-50,,
10:15.0,,,48-53,3,T. Jones makes 3-pt shot from 26 ft (assist by J. Harden)
9:55.0,T. Duncan makes 2-pt shot from 1 ft (assist by A. Baynes),2,50-53,,
9:44.0,,,50-53,,J. Harden misses 2-pt shot from 18 ft
9:43.0,Defensive rebound by T. Duncan,,50-53,,
9:25.0,,,50-53,,Violation by D. Howard (def goaltending)
9:25.0,T. Parker makes 2-pt shot from 7 ft,2,52-53,,
9:04.0,,,52-55,2,T. Jones makes 2-pt shot from 8 ft
8:52.0,T. Parker misses 2-pt shot from 7 ft,,52-55,,
8:51.0,Offensive rebound by A. Baynes,,52-55,,
8:50.0,A. Baynes makes 2-pt shot at rim,2,54-55,,
8:26.0,,,54-55,,T. Jones misses 2-pt shot at rim
8:25.0,,,54-55,,Offensive rebound by D. Howard
8:24.0,,,54-57,2,D. Howard makes 2-pt shot from 2 ft
8:15.0,K. Leonard makes 2-pt shot from 22 ft,2,56-57,,
7:57.0,,,56-57,,J. Terry misses 3-pt shot from 24 ft
7:56.0,Defensive rebound by K. Leonard,,56-57,,
7:50.0,D. Green misses 3-pt shot from 22 ft,,56-57,,
7:49.0,Offensive rebound by T. Duncan,,56-57,,
7:49.0,Shooting foul by T. Jones (drawn by T. Duncan),,56-57,,
7:49.0,T. Duncan misses free throw 1 of 2,,56-57,,
7:49.0,Offensive rebound by Team,,56-57,,
7:49.0,T. Duncan makes free throw 2 of 2,1,57-57,,
7:31.0,,,57-57,,Shooting foul by A. Baynes (drawn by D. Howard)
7:31.0,,,57-58,1,D. Howard makes free throw 1 of 2
7:31.0,,,57-59,1,D. Howard makes free throw 2 of 2
7:17.0,T. Parker misses 2-pt shot from 17 ft,,57-59,,
7:15.0,,,57-59,,Defensive rebound by D. Howard
7:06.0,,,57-59,,J. Harden misses 2-pt shot from 3 ft (block by T. Duncan)
7:06.0,,,57-59,,Offensive rebound by Team
7:01.0,,,57-61,2,T. Ariza makes 2-pt shot from 1 ft
6:47.0,K. Leonard makes 2-pt shot from 14 ft,2,59-61,,
6:40.0,Personal foul by A. Baynes (drawn by D. Howard),,59-61,,
6:40.0,,,59-61,,J. Dorsey enters the game for D. Howard
6:40.0,M. Ginobili enters the game for D. Green,,59-61,,
6:40.0,B. Diaw enters the game for A. Baynes,,59-61,,
6:33.0,,,59-63,2,T. Jones makes 2-pt shot at rim (assist by J. Harden)
6:14.0,Shooting foul by J. Dorsey (drawn by T. Duncan),,59-63,,
6:14.0,T. Duncan misses free throw 1 of 2,,59-63,,
6:14.0,Offensive rebound by Team,,59-63,,
6:14.0,T. Duncan makes free throw 2 of 2,1,60-63,,
6:02.0,,,60-63,,Shooting foul by T. Duncan (drawn by T. Jones)
6:02.0,,,60-63,,T. Jones misses free throw 1 of 2
6:02.0,,,60-63,,Offensive rebound by Team
6:02.0,San Antonio full timeout,,60-63,,
6:02.0,P. Mills enters the game for T. Parker,,60-63,,
6:02.0,,,60-64,1,T. Jones makes free throw 2 of 2
5:39.0,M. Ginobili misses 3-pt shot from 31 ft,,60-64,,
5:39.0,,,60-64,,Defensive rebound by Team
5:19.0,,,60-64,,J. Terry misses 3-pt shot from 24 ft
5:18.0,Defensive rebound by T. Duncan,,60-64,,
5:01.0,,,60-64,,Personal block foul by J. Dorsey (drawn by M. Ginobili)
5:01.0,,,60-64,,P. Prigioni enters the game for J. Terry
4:50.0,K. Leonard makes 2-pt shot from 9 ft,2,62-64,,
4:40.0,Personal foul by M. Ginobili (drawn by J. Dorsey),,62-64,,
4:40.0,,,62-64,,J. Smith enters the game for J. Dorsey
4:25.0,,,62-64,,J. Harden misses 3-pt shot from 25 ft
4:25.0,Defensive rebound by Team,,62-64,,
4:25.0,,,62-64,,Loose ball foul by P. Prigioni (drawn by P. Mills)
4:25.0,P. Mills makes free throw 1 of 2,1,63-64,,
4:25.0,P. Mills makes free throw 2 of 2,1,64-64,,
4:24.0,Personal take foul by B. Diaw (drawn by J. Smith),,64-64,,
4:24.0,,,64-64,,J. Smith misses free throw 1 of 2
4:24.0,,,64-64,,Offensive rebound by Team
4:24.0,,,64-64,,J. Smith misses free throw 2 of 2
4:22.0,Defensive rebound by Team,,64-64,,
4:06.0,Turnover by M. Ginobili (bad pass; steal by P. Prigioni),,64-64,,
3:59.0,,,64-67,3,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden)
3:37.0,K. Leonard misses 3-pt shot from 25 ft,,64-67,,
3:36.0,,,64-67,,Defensive rebound by J. Smith
3:29.0,,,64-67,,Turnover by J. Smith (bad pass; steal by M. Ginobili)
3:24.0,Shooting foul by J. Smith (drawn by T. Duncan),,64-67,,
3:24.0,T. Duncan misses free throw 1 of 2,,64-67,,
3:24.0,Offensive rebound by Team,,64-67,,
3:24.0,T. Duncan makes free throw 2 of 2,1,65-67,,
3:22.0,Personal take foul by P. Mills (drawn by J. Smith),,65-67,,
3:22.0,,,65-68,1,J. Smith makes free throw 1 of 2
3:22.0,,,65-68,,J. Smith misses free throw 2 of 2
3:22.0,Defensive rebound by B. Diaw,,65-68,,
3:09.0,P. Mills makes 3-pt shot from 25 ft (assist by M. Ginobili),3,68-68,,
2:59.0,,,68-71,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
2:49.0,T. Duncan makes 2-pt shot at rim (assist by M. Ginobili),2,70-71,,
2:43.0,Personal take foul by P. Mills (drawn by J. Smith),,70-71,,
2:43.0,,,70-71,,Houston full timeout
2:43.0,,,70-71,,C. Brewer enters the game for T. Jones
2:43.0,D. Green enters the game for B. Diaw,,70-71,,
2:43.0,,,70-71,,J. Smith misses free throw 1 of 2
2:43.0,,,70-71,,Offensive rebound by Team
2:43.0,,,70-71,,J. Smith misses free throw 2 of 2
2:41.0,Defensive rebound by D. Green,,70-71,,
2:24.0,D. Green misses 3-pt shot from 24 ft,,70-71,,
2:23.0,,,70-71,,Defensive rebound by J. Smith
2:19.0,Personal take foul by P. Mills (drawn by J. Smith),,70-71,,
2:19.0,,,70-72,1,J. Smith makes free throw 1 of 2
2:19.0,,,70-72,,J. Smith misses free throw 2 of 2
2:19.0,Defensive rebound by M. Ginobili,,70-72,,
1:58.0,T. Duncan makes 2-pt shot from 7 ft (assist by D. Green),2,72-72,,
1:54.0,Personal take foul by K. Leonard (drawn by J. Smith),,72-72,,
1:54.0,,,72-73,1,J. Smith makes free throw 1 of 2
1:54.0,,,72-73,,J. Smith misses free throw 2 of 2
1:54.0,,,72-73,,Offensive rebound by C. Brewer
1:48.0,,,72-73,,J. Harden misses 3-pt shot from 27 ft
1:47.0,,,72-73,,Offensive rebound by Team
1:47.0,,,72-73,,T. Jones enters the game for J. Smith
1:38.0,,,72-73,,J. Harden misses 2-pt shot from 13 ft
1:35.0,Jump ball: T. Jones vs. P. Mills (C. Brewer gains possession),,,,Jump ball: T. Jones vs. P. Mills (C. Brewer gains possession)
1:35.0,,,72-73,,Offensive rebound by Team
1:17.0,,,72-75,2,C. Brewer makes 2-pt shot from 9 ft (assist by T. Jones)
0:56.0,M. Ginobili misses 2-pt shot from 6 ft,,72-75,,
0:56.0,Offensive rebound by T. Duncan,,72-75,,
0:56.0,T. Duncan makes 2-pt shot from 1 ft,2,74-75,,
0:44.0,,,74-75,,Turnover by J. Harden (bad pass; steal by K. Leonard)
0:39.0,P. Mills makes 3-pt shot from 24 ft (assist by K. Leonard),3,77-75,,
0:31.0,,,77-75,,J. Harden misses 2-pt shot from 1 ft
0:29.0,Defensive rebound by K. Leonard,,77-75,,
0:20.0,P. Mills makes 3-pt shot from 22 ft (assist by D. Green),3,80-75,,
0:00.0,,,80-75,,J. Harden misses 2-pt shot from 18 ft
0:00.0,,,80-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,80-75,,Turnover by J. Smith (bad pass; steal by A. Baynes)
11:42.0,A. Baynes makes 2-pt shot from 3 ft (assist by M. Ginobili),2,82-75,,
11:42.0,Shooting foul by J. Smith (drawn by A. Baynes),,82-75,,
11:42.0,A. Baynes misses free throw 1 of 1,,82-75,,
11:42.0,,,82-75,,Defensive rebound by D. Howard
11:27.0,Personal foul by A. Baynes (drawn by D. Howard),,82-75,,
11:27.0,Technical foul by A. Baynes (drawn by D. Howard),,82-75,,
11:27.0,,,82-76,1,J. Terry makes technical free throw
11:26.0,,,82-76,,Offensive foul by D. Howard
11:26.0,,,82-76,,Turnover by D. Howard (offensive foul)
11:16.0,,,82-76,,Personal foul by J. Terry (drawn by P. Mills)
11:05.0,Turnover by M. Ginobili (bad pass; steal by D. Howard),,82-76,,
11:01.0,,,82-76,,Turnover by T. Ariza (bad pass; steal by M. Belinelli)
10:55.0,Shooting foul by T. Ariza (drawn by A. Baynes),,82-76,,
10:55.0,A. Baynes makes 2-pt shot from 2 ft (assist by B. Diaw),2,84-76,,
10:55.0,A. Baynes makes free throw 1 of 1,1,85-76,,
10:39.0,,,85-76,,Offensive charge foul by D. Howard
10:39.0,,,85-76,,Turnover by D. Howard (offensive foul)
10:33.0,Turnover by P. Mills (traveling),,85-76,,
10:24.0,,,85-76,,Shooting foul by M. Ginobili (drawn by D. Howard)
10:24.0,,,85-78,2,D. Howard makes 2-pt shot from 1 ft (assist by J. Smith)
10:24.0,,,85-78,,D. Howard misses free throw 1 of 1
10:24.0,,,85-78,,Offensive rebound by T. Ariza
10:16.0,,,85-78,,J. Smith misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by M. Belinelli,,85-78,,
10:09.0,B. Diaw misses 2-pt shot from 2 ft,,85-78,,
10:08.0,Offensive rebound by B. Diaw,,85-78,,
10:08.0,B. Diaw misses 2-pt shot from 2 ft,,85-78,,
10:07.0,Offensive rebound by A. Baynes,,85-78,,
10:07.0,A. Baynes misses 2-pt shot at rim,,85-78,,
10:06.0,,,85-78,,Defensive rebound by D. Howard
9:52.0,,,85-78,,Shooting foul by M. Ginobili (drawn by C. Brewer)
9:52.0,,,85-79,1,C. Brewer makes free throw 1 of 2
9:52.0,,,85-79,,P. Prigioni enters the game for J. Terry
9:52.0,,,85-80,1,C. Brewer makes free throw 2 of 2
9:38.0,M. Belinelli misses 3-pt shot from 25 ft,,85-80,,
9:37.0,,,85-80,,Defensive rebound by Team
9:29.0,,,85-83,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Smith)
9:29.0,,,85-83,,Loose ball foul by D. Howard (drawn by B. Diaw)
9:29.0,San Antonio full timeout,,85-83,,
9:29.0,K. Leonard enters the game for M. Ginobili,,85-83,,
9:13.0,P. Mills makes 2-pt shot from 20 ft,2,87-83,,
9:13.0,Loose ball foul by A. Baynes (drawn by D. Howard),,87-83,,
9:13.0,T. Duncan enters the game for A. Baynes,,87-83,,
8:58.0,,,87-83,,J. Smith misses 2-pt shot from 12 ft
8:56.0,,,87-83,,Offensive rebound by D. Howard
8:56.0,,,87-83,,D. Howard misses 2-pt shot at rim
8:54.0,Defensive rebound by T. Duncan,,87-83,,
8:36.0,T. Duncan makes 2-pt shot from 1 ft (assist by P. Mills),2,89-83,,
8:21.0,,,89-85,2,P. Prigioni makes 2-pt shot from 14 ft
8:05.0,Offensive foul by T. Duncan,,89-85,,
8:05.0,Turnover by T. Duncan (offensive foul),,89-85,,
8:05.0,D. Green enters the game for M. Belinelli,,89-85,,
8:05.0,,,89-85,,J. Harden enters the game for D. Howard
7:57.0,,,89-85,,Turnover by P. Prigioni (bad pass; steal by P. Mills)
7:55.0,Offensive foul by P. Mills,,89-85,,
7:55.0,Turnover by P. Mills (offensive foul),,89-85,,
7:53.0,Personal take foul by B. Diaw (drawn by J. Smith),,89-85,,
7:53.0,,,89-86,1,J. Smith makes free throw 1 of 2
7:53.0,,,89-87,1,J. Smith makes free throw 2 of 2
7:36.0,B. Diaw makes 2-pt shot from 1 ft (assist by P. Mills),2,91-87,,
7:28.0,Personal take foul by D. Green (drawn by J. Smith),,91-87,,
7:28.0,,,91-88,1,J. Smith makes free throw 1 of 2
7:28.0,,,91-89,1,J. Smith makes free throw 2 of 2
7:19.0,,,91-89,,Personal foul by P. Prigioni (drawn by P. Mills)
7:19.0,P. Mills makes free throw 1 of 2,1,92-89,,
7:19.0,P. Mills misses free throw 2 of 2,,92-89,,
7:19.0,,,92-89,,Defensive rebound by J. Harden
7:18.0,Loose ball foul by B. Diaw (drawn by J. Smith),,92-89,,
7:18.0,,,92-89,,J. Smith misses free throw 1 of 2
7:18.0,,,92-89,,Offensive rebound by Team
7:18.0,,,92-90,1,J. Smith makes free throw 2 of 2
