time,LA Lakers,pts.away,score,pts.home,Washington
4:27.0,Defensive rebound by Team,,15-18,,
4:26.0,,,15-18,,R. Butler enters the game for P. Pierce
4:15.0,J. Lin misses 2-pt shot from 16 ft,,15-18,,
4:13.0,Offensive rebound by E. Davis,,15-18,,
4:06.0,K. Bryant makes 2-pt shot from 18 ft,2,17-18,,
3:48.0,,,17-18,,M. Gortat misses 2-pt shot from 12 ft
3:47.0,Defensive rebound by E. Davis,,17-18,,
3:39.0,Shooting foul by M. Gortat (drawn by E. Davis),,17-18,,
3:39.0,E. Davis misses free throw 1 of 2,,17-18,,
3:39.0,Offensive rebound by Team,,17-18,,
3:39.0,R. Price enters the game for W. Johnson,,17-18,,
3:39.0,N. Young enters the game for J. Hill,,17-18,,
3:39.0,R. Sacre enters the game for J. Lin,,17-18,,
3:39.0,,,17-18,,D. Gooden enters the game for K. Humphries
3:39.0,E. Davis makes free throw 2 of 2,1,18-18,,
3:24.0,,,18-20,2,M. Gortat makes 2-pt shot at rim (assist by B. Beal)
3:16.0,,,18-20,,Violation by J. Wall (kicked ball)
3:06.0,K. Bryant misses 2-pt shot from 16 ft,,18-20,,
3:05.0,,,18-20,,Defensive rebound by R. Butler
2:59.0,,,18-22,2,J. Wall makes 2-pt shot from 15 ft
2:39.0,N. Young misses 2-pt shot from 3 ft,,18-22,,
2:38.0,,,18-22,,Defensive rebound by R. Butler
2:30.0,,,18-22,,D. Gooden misses 3-pt shot from 25 ft
2:29.0,Defensive rebound by E. Davis,,18-22,,
2:09.0,K. Bryant makes 2-pt shot from 11 ft,2,20-22,,
2:09.0,Shooting foul by B. Beal (drawn by K. Bryant),,20-22,,
2:09.0,LA Lakers full timeout,,20-22,,
2:09.0,K. Bryant makes free throw 1 of 1,1,21-22,,
1:59.0,,,21-22,,Offensive foul by D. Gooden
1:59.0,,,21-22,,Turnover by D. Gooden (offensive foul)
1:59.0,,,21-22,,O. Porter enters the game for B. Beal
1:42.0,K. Bryant makes 3-pt shot from 24 ft,3,24-22,,
1:28.0,,,24-22,,M. Gortat misses 2-pt shot from 7 ft
1:27.0,Defensive rebound by E. Davis,,24-22,,
1:16.0,K. Bryant makes 3-pt shot from 27 ft,3,27-22,,
1:00.0,,,27-25,3,R. Butler makes 3-pt shot from 25 ft (assist by J. Wall)
0:49.0,K. Bryant misses 3-pt shot from 26 ft,,27-25,,
0:48.0,Offensive rebound by E. Davis,,27-25,,
0:48.0,E. Davis makes 2-pt shot from 2 ft,2,29-25,,
0:48.0,Shooting foul by O. Porter (drawn by E. Davis),,29-25,,
0:48.0,W. Ellington enters the game for K. Bryant,,29-25,,
0:48.0,,,29-25,,K. Seraphin enters the game for M. Gortat
0:48.0,E. Davis makes free throw 1 of 1,1,30-25,,
0:39.0,Def 3 sec tech foul by R. Sacre,,30-25,,
0:39.0,,,30-25,,J. Wall misses technical free throw
0:39.0,,,30-25,,Offensive rebound by Team
0:28.0,,,30-25,,Shooting foul by R. Price (drawn by J. Wall)
0:28.0,,,30-26,1,J. Wall makes free throw 1 of 2
0:28.0,,,30-27,1,J. Wall makes free throw 2 of 2
0:09.0,N. Young makes 3-pt shot from 27 ft,3,33-27,,
0:01.0,,,33-27,,Turnover by J. Wall (bad pass; steal by E. Davis)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,R. Sacre misses 2-pt shot from 5 ft,,33-27,,
11:45.0,,,33-27,,Defensive rebound by O. Porter
11:29.0,,,33-27,,Shooting foul by N. Young (drawn by R. Butler)
11:29.0,,,33-28,1,R. Butler makes free throw 1 of 2
11:29.0,,,33-29,1,R. Butler makes free throw 2 of 2
11:06.0,R. Sacre misses 2-pt shot from 15 ft,,33-29,,
11:05.0,Offensive rebound by E. Davis,,33-29,,
10:59.0,N. Young makes 3-pt shot from 27 ft (assist by R. Price),3,36-29,,
10:39.0,,,36-29,,K. Seraphin misses 2-pt shot from 4 ft
10:38.0,Defensive rebound by R. Sacre,,36-29,,
10:23.0,N. Young misses 2-pt shot from 22 ft,,36-29,,
10:22.0,,,36-29,,Defensive rebound by D. Gooden
10:10.0,,,36-29,,O. Porter misses 2-pt shot from 4 ft
10:10.0,,,36-29,,Offensive rebound by Team
10:10.0,Loose ball foul by E. Davis (drawn by K. Seraphin),,36-29,,
10:10.0,W. Johnson enters the game for N. Young,,36-29,,
9:55.0,,,36-32,3,R. Butler makes 3-pt shot from 26 ft (assist by K. Seraphin)
9:33.0,W. Johnson misses 2-pt shot from 21 ft,,36-32,,
9:33.0,,,36-32,,Defensive rebound by Team
9:33.0,Loose ball foul by E. Davis (drawn by K. Seraphin),,36-32,,
9:18.0,,,36-32,,O. Porter misses 2-pt shot from 16 ft
9:17.0,,,36-32,,Offensive rebound by Team
9:17.0,C. Boozer enters the game for E. Davis,,36-32,,
9:09.0,,,36-32,,Turnover by K. Seraphin (lost ball; steal by C. Boozer)
8:59.0,Turnover by R. Price (bad pass),,36-32,,
8:59.0,Official timeout,,36-32,,
8:59.0,N. Young enters the game for W. Johnson,,36-32,,
8:44.0,,,36-32,,Turnover by A. Miller (bad pass; steal by W. Ellington)
8:22.0,R. Price makes 3-pt shot from 28 ft (assist by R. Sacre),3,39-32,,
8:01.0,,,39-34,2,O. Porter makes 2-pt shot from 4 ft (assist by A. Miller)
7:42.0,R. Sacre makes 2-pt shot from 13 ft,2,41-34,,
7:30.0,,,41-34,,A. Miller misses 2-pt shot from 1 ft
7:29.0,Defensive rebound by R. Price,,41-34,,
7:23.0,N. Young makes 3-pt shot from 22 ft (assist by R. Price),3,44-34,,
7:10.0,,,44-34,,B. Beal enters the game for O. Porter
7:02.0,,,44-34,,B. Beal misses 2-pt shot from 16 ft
7:01.0,Defensive rebound by R. Sacre,,44-34,,
6:49.0,R. Sacre misses 2-pt shot from 17 ft,,44-34,,
6:48.0,,,44-34,,Defensive rebound by D. Gooden
6:44.0,Personal foul by N. Young (drawn by A. Miller),,44-34,,
6:44.0,,,44-34,,J. Wall enters the game for A. Miller
6:44.0,J. Hill enters the game for R. Sacre,,44-34,,
6:44.0,W. Johnson enters the game for N. Young,,44-34,,
6:44.0,K. Bryant enters the game for W. Ellington,,44-34,,
6:34.0,,,44-34,,R. Butler misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by C. Boozer,,44-34,,
6:17.0,C. Boozer misses 2-pt shot from 12 ft,,44-34,,
6:16.0,,,44-34,,Defensive rebound by R. Butler
6:03.0,,,44-34,,D. Gooden misses 3-pt shot from 26 ft
6:02.0,,,44-34,,Offensive rebound by K. Seraphin
6:02.0,,,44-36,2,K. Seraphin makes 2-pt shot at rim
6:02.0,,,44-36,,Shooting foul by C. Boozer (drawn by K. Seraphin)
6:02.0,,,44-36,,P. Pierce enters the game for R. Butler
6:02.0,,,44-36,,K. Humphries enters the game for D. Gooden
6:02.0,,,44-36,,K. Seraphin misses free throw 1 of 1
6:01.0,Defensive rebound by J. Hill,,44-36,,
5:45.0,W. Johnson makes 3-pt shot from 26 ft (assist by R. Price),3,47-36,,
5:29.0,,,47-38,2,P. Pierce makes 2-pt shot from 1 ft (assist by J. Wall)
5:11.0,K. Bryant misses 3-pt shot from 26 ft,,47-38,,
5:10.0,,,47-38,,Defensive rebound by K. Humphries
4:56.0,,,47-38,,P. Pierce misses 3-pt shot from 26 ft
4:55.0,Defensive rebound by W. Johnson,,47-38,,
4:46.0,Shooting foul by K. Humphries (drawn by K. Bryant),,47-38,,
4:46.0,,,47-38,,Washington full timeout
4:46.0,,,47-38,,M. Gortat enters the game for K. Seraphin
4:46.0,J. Lin enters the game for R. Price,,47-38,,
4:46.0,K. Bryant makes free throw 1 of 2,1,48-38,,
4:46.0,K. Bryant misses free throw 2 of 2,,48-38,,
4:46.0,,,48-38,,Defensive rebound by K. Humphries
4:27.0,,,48-38,,B. Beal misses 2-pt shot from 19 ft
4:26.0,,,48-38,,Offensive rebound by P. Pierce
4:23.0,,,48-40,2,P. Pierce makes 2-pt shot from 1 ft
4:10.0,Turnover by C. Boozer (lost ball),,48-40,,
4:00.0,,,48-40,,J. Wall misses 2-pt shot from 17 ft
3:58.0,Defensive rebound by K. Bryant,,48-40,,
3:44.0,J. Hill misses 2-pt shot from 6 ft,,48-40,,
3:42.0,,,48-40,,Defensive rebound by K. Humphries
3:36.0,,,48-40,,P. Pierce misses 3-pt shot from 24 ft
3:34.0,,,48-40,,Offensive rebound by M. Gortat
3:31.0,,,48-42,2,B. Beal makes 2-pt shot at rim (assist by M. Gortat)
3:14.0,J. Lin misses 3-pt shot from 26 ft,,48-42,,
3:13.0,,,48-42,,Defensive rebound by K. Humphries
3:06.0,,,48-44,2,P. Pierce makes 2-pt shot from 2 ft (assist by J. Wall)
3:06.0,,,48-44,,Shooting foul by J. Lin (drawn by P. Pierce)
3:06.0,,,48-45,1,P. Pierce makes free throw 1 of 1
3:06.0,Turnover by J. Lin (lost ball),,48-45,,
3:06.0,E. Davis enters the game for C. Boozer,,48-45,,
2:59.0,,,48-47,2,M. Gortat makes 2-pt shot at rim (assist by B. Beal)
2:39.0,K. Bryant makes 2-pt shot from 17 ft,2,50-47,,
2:24.0,,,50-47,,P. Pierce misses 2-pt shot from 15 ft
2:23.0,,,50-47,,Offensive rebound by K. Humphries
2:08.0,,,50-47,,J. Wall misses 2-pt shot at rim
2:07.0,Defensive rebound by J. Hill,,50-47,,
1:56.0,K. Bryant makes 2-pt shot from 15 ft,2,52-47,,
1:45.0,Personal foul by K. Bryant (drawn by B. Beal),,52-47,,
1:45.0,LA Lakers full timeout,,52-47,,
1:45.0,,,52-48,1,B. Beal makes free throw 1 of 2
1:45.0,,,52-49,1,B. Beal makes free throw 2 of 2
1:24.0,K. Bryant misses 2-pt shot from 11 ft (block by P. Pierce),,52-49,,
1:23.0,,,52-49,,Defensive rebound by M. Gortat
1:16.0,,,52-52,3,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall)
0:55.0,J. Hill misses 2-pt shot from 15 ft,,52-52,,
0:54.0,,,52-52,,Defensive rebound by J. Wall
0:47.0,,,52-54,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
0:38.0,Turnover by J. Lin (bad pass),,52-54,,
0:27.0,,,52-54,,K. Humphries misses 2-pt shot from 15 ft
0:26.0,Defensive rebound by Team,,52-54,,
0:24.0,,,52-54,,Loose ball foul by K. Humphries (drawn by E. Davis)
0:24.0,,,52-54,,D. Gooden enters the game for K. Humphries
0:02.0,J. Lin misses 3-pt shot from 27 ft (block by J. Wall),,52-54,,
0:01.0,,,52-54,,Defensive rebound by P. Pierce
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,C. Boozer misses 2-pt shot from 3 ft,,52-54,,
11:43.0,,,52-54,,Defensive rebound by J. Wall
11:39.0,,,52-56,2,J. Wall makes 2-pt shot from 1 ft
11:39.0,,,52-56,,Shooting foul by J. Lin (drawn by J. Wall)
11:39.0,,,52-57,1,J. Wall makes free throw 1 of 1
11:25.0,J. Lin misses 3-pt shot from 26 ft,,52-57,,
11:24.0,Offensive rebound by J. Lin,,52-57,,
11:11.0,,,52-57,,Personal foul by K. Humphries (drawn by C. Boozer)
10:56.0,J. Lin misses 2-pt shot from 16 ft,,52-57,,
10:55.0,,,52-57,,Defensive rebound by M. Gortat
10:48.0,,,52-57,,J. Wall misses 2-pt shot from 17 ft
10:47.0,Defensive rebound by J. Hill,,52-57,,
10:37.0,K. Bryant misses 3-pt shot from 26 ft,,52-57,,
10:36.0,,,52-57,,Defensive rebound by M. Gortat
10:12.0,,,52-57,,P. Pierce misses 2-pt shot from 14 ft
10:11.0,Defensive rebound by J. Hill,,52-57,,
9:58.0,J. Hill misses 2-pt shot from 15 ft,,52-57,,
9:57.0,,,52-57,,Defensive rebound by M. Gortat
9:47.0,,,52-59,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
9:32.0,J. Lin misses 3-pt shot from 25 ft,,52-59,,
9:31.0,,,52-59,,Defensive rebound by J. Wall
9:24.0,,,52-61,2,J. Wall makes 2-pt shot from 19 ft
9:21.0,LA Lakers full timeout,,52-61,,
9:04.0,K. Bryant misses 2-pt shot from 19 ft,,52-61,,
9:03.0,,,52-61,,Defensive rebound by K. Humphries
8:44.0,,,52-61,,K. Humphries misses 2-pt shot from 2 ft (block by W. Johnson)
8:40.0,Defensive rebound by K. Bryant,,52-61,,
8:32.0,Shooting foul by P. Pierce (drawn by K. Bryant),,52-61,,
8:32.0,K. Bryant makes free throw 1 of 2,1,53-61,,
8:32.0,K. Bryant makes free throw 2 of 2,1,54-61,,
8:21.0,,,54-63,2,M. Gortat makes 2-pt shot from 5 ft (assist by P. Pierce)
8:09.0,Offensive foul by K. Bryant,,54-63,,
8:09.0,Turnover by K. Bryant (offensive foul),,54-63,,
7:52.0,,,54-65,2,P. Pierce makes 2-pt shot from 18 ft (assist by J. Wall)
7:28.0,C. Boozer makes 2-pt shot from 14 ft (assist by J. Lin),2,56-65,,
7:10.0,,,56-65,,J. Wall misses 2-pt shot from 17 ft
7:09.0,,,56-65,,Offensive rebound by K. Humphries
7:00.0,,,56-65,,P. Pierce misses 3-pt shot from 26 ft
6:58.0,Defensive rebound by C. Boozer,,56-65,,
6:51.0,J. Hill makes 2-pt shot from 1 ft (assist by K. Bryant),2,58-65,,
6:26.0,,,58-65,,M. Gortat misses 2-pt shot from 7 ft
6:24.0,Defensive rebound by K. Bryant,,58-65,,
6:18.0,J. Hill makes 2-pt shot from 1 ft (assist by K. Bryant),2,60-65,,
6:18.0,,,60-65,,Washington full timeout
6:10.0,,,60-65,,Turnover by J. Wall (lost ball; steal by K. Bryant)
6:08.0,,,60-65,,Clear path foul by J. Wall
6:08.0,K. Bryant misses clear path free throw 1 of 2,,60-65,,
6:08.0,Offensive rebound by Team,,60-65,,
6:08.0,K. Bryant makes clear path free throw 2 of 2,1,61-65,,
5:56.0,W. Johnson misses 3-pt shot from 25 ft,,61-65,,
5:55.0,,,61-65,,Defensive rebound by K. Humphries
5:50.0,,,61-65,,J. Wall misses 2-pt shot at rim (block by J. Lin)
5:50.0,,,61-65,,Offensive rebound by Team
5:40.0,,,61-67,2,P. Pierce makes 2-pt shot from 1 ft (assist by B. Beal)
5:40.0,,,61-67,,Shooting foul by C. Boozer (drawn by P. Pierce)
5:40.0,,,61-67,,P. Pierce misses free throw 1 of 1
5:38.0,Defensive rebound by C. Boozer,,61-67,,
5:26.0,C. Boozer misses 2-pt shot from 18 ft,,61-67,,
5:25.0,,,61-67,,Defensive rebound by J. Wall
5:18.0,,,61-69,2,K. Humphries makes 2-pt shot from 1 ft (assist by J. Wall)
5:03.0,Turnover by J. Lin (bad pass; steal by M. Gortat),,61-69,,
4:48.0,,,61-71,2,K. Humphries makes 2-pt shot from 17 ft (assist by J. Wall)
4:45.0,LA Lakers full timeout,,61-71,,
4:45.0,N. Young enters the game for W. Johnson,,61-71,,
4:32.0,Shooting foul by P. Pierce (drawn by K. Bryant),,61-71,,
4:32.0,K. Bryant makes free throw 1 of 3,1,62-71,,
4:32.0,K. Bryant makes free throw 2 of 3,1,63-71,,
4:32.0,E. Davis enters the game for C. Boozer,,63-71,,
4:32.0,K. Bryant misses free throw 3 of 3,,63-71,,
4:30.0,,,63-71,,Defensive rebound by K. Humphries
4:17.0,,,63-73,2,M. Gortat makes 2-pt shot at rim (assist by B. Beal)
4:01.0,K. Bryant misses 2-pt shot from 1 ft,,63-73,,
4:00.0,,,63-73,,Defensive rebound by K. Humphries
3:52.0,,,63-73,,J. Wall misses 2-pt shot from 18 ft
3:51.0,Defensive rebound by J. Hill,,63-73,,
3:44.0,,,63-73,,Personal foul by J. Wall (drawn by K. Bryant)
3:44.0,K. Bryant makes free throw 1 of 2,1,64-73,,
3:44.0,R. Sacre enters the game for J. Hill,,64-73,,
3:44.0,R. Price enters the game for J. Lin,,64-73,,
3:44.0,K. Bryant makes free throw 2 of 2,1,65-73,,
3:30.0,,,65-75,2,B. Beal makes 2-pt shot from 18 ft (assist by M. Gortat)
3:11.0,K. Bryant misses 2-pt shot from 20 ft,,65-75,,
3:10.0,,,65-75,,Defensive rebound by M. Gortat
2:55.0,,,65-75,,P. Pierce misses 3-pt shot from 26 ft
2:54.0,Defensive rebound by R. Price,,65-75,,
2:49.0,Offensive foul by R. Price,,65-75,,
2:49.0,Turnover by R. Price (offensive foul),,65-75,,
2:39.0,,,65-77,2,B. Beal makes 2-pt shot from 20 ft
2:22.0,N. Young misses 3-pt shot from 26 ft,,65-77,,
2:21.0,,,65-77,,Defensive rebound by K. Humphries
2:14.0,,,65-77,,P. Pierce misses 2-pt shot at rim (block by R. Sacre)
2:13.0,,,65-77,,Offensive rebound by P. Pierce
2:00.0,,,65-77,,K. Humphries misses 2-pt shot from 20 ft
1:59.0,,,65-77,,Offensive rebound by P. Pierce
1:59.0,,,65-77,,Shooting foul by K. Bryant (drawn by P. Pierce)
1:59.0,,,65-78,1,P. Pierce makes free throw 1 of 2
1:59.0,,,65-78,,P. Pierce misses free throw 2 of 2
1:57.0,Defensive rebound by E. Davis,,65-78,,
1:46.0,E. Davis misses 2-pt shot from 2 ft,,65-78,,
1:45.0,Offensive rebound by R. Sacre,,65-78,,
1:42.0,R. Sacre misses 2-pt shot from 5 ft,,65-78,,
1:42.0,Offensive rebound by Team,,65-78,,
1:42.0,,,65-78,,R. Butler enters the game for P. Pierce
1:42.0,W. Ellington enters the game for K. Bryant,,65-78,,
1:38.0,N. Young makes 2-pt shot from 16 ft,2,67-78,,
1:19.0,,,67-78,,B. Beal misses 2-pt shot from 19 ft (block by N. Young)
1:18.0,Defensive rebound by W. Ellington,,67-78,,
1:07.0,R. Sacre misses 2-pt shot from 6 ft,,67-78,,
1:06.0,,,67-78,,Defensive rebound by K. Humphries
0:52.0,Violation by R. Price (kicked ball),,67-78,,
0:52.0,,,67-78,,D. Gooden enters the game for K. Humphries
0:52.0,,,67-78,,O. Porter enters the game for B. Beal
0:48.0,,,67-78,,O. Porter misses 2-pt shot from 16 ft
0:47.0,Defensive rebound by E. Davis,,67-78,,
0:35.0,R. Price makes 2-pt shot from 17 ft (assist by R. Sacre),2,69-78,,
0:13.0,,,69-78,,J. Wall misses 2-pt shot from 21 ft
0:12.0,Defensive rebound by R. Sacre,,69-78,,
0:02.0,N. Young misses 3-pt shot from 25 ft,,69-78,,
0:00.0,,,69-78,,Defensive rebound by D. Gooden
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,69-78,,K. Seraphin misses 2-pt shot from 1 ft
11:36.0,Defensive rebound by N. Young,,69-78,,
11:23.0,W. Ellington misses 2-pt shot from 20 ft,,69-78,,
11:22.0,,,69-78,,Defensive rebound by Team
11:10.0,,,69-78,,Shooting foul by E. Davis (drawn by O. Porter)
11:10.0,,,69-79,1,O. Porter makes free throw 1 of 2
11:10.0,,,69-80,1,O. Porter makes free throw 2 of 2
10:56.0,W. Ellington misses 3-pt shot from 25 ft,,69-80,,
10:55.0,,,69-80,,Defensive rebound by D. Gooden
10:38.0,,,69-80,,O. Porter misses 2-pt shot from 3 ft (block by E. Davis)
10:35.0,Defensive rebound by R. Sacre,,69-80,,
10:31.0,N. Young makes 3-pt shot from 25 ft (assist by R. Price),3,72-80,,
10:17.0,,,72-80,,R. Butler misses 2-pt shot from 2 ft (block by R. Sacre)
10:14.0,Defensive rebound by N. Young,,72-80,,
10:10.0,N. Young makes 3-pt shot from 26 ft,3,75-80,,
9:55.0,,,75-80,,Turnover by A. Miller (bad pass)
9:45.0,Turnover by N. Young (lost ball; steal by R. Butler),,75-80,,
9:39.0,,,75-82,2,A. Miller makes 2-pt shot from 1 ft (assist by R. Butler)
9:25.0,R. Sacre makes 2-pt shot from 11 ft,2,77-82,,
9:03.0,Personal block foul by R. Sacre (drawn by R. Butler),,77-82,,
8:56.0,Personal foul by E. Davis (drawn by D. Gooden),,77-82,,
8:56.0,Official timeout,,77-82,,
8:56.0,,,77-82,,B. Beal enters the game for O. Porter
8:44.0,,,77-84,2,B. Beal makes 2-pt shot from 1 ft
8:31.0,N. Young misses 2-pt shot from 18 ft,,77-84,,
8:30.0,,,77-84,,Defensive rebound by R. Butler
8:15.0,Personal foul by E. Davis (drawn by B. Beal),,77-84,,
8:08.0,,,77-84,,Turnover by B. Beal (bad pass; steal by R. Price)
7:58.0,W. Ellington misses 2-pt shot from 19 ft,,77-84,,
7:57.0,,,77-84,,Defensive rebound by D. Gooden
7:46.0,,,77-84,,Turnover by A. Miller (bad pass; steal by N. Young)
7:40.0,N. Young makes 2-pt shot from 2 ft,2,79-84,,
7:20.0,,,79-86,2,R. Butler makes 2-pt shot from 17 ft (assist by A. Miller)
7:02.0,R. Price makes 3-pt shot from 26 ft (assist by R. Sacre),3,82-86,,
6:41.0,,,82-88,2,K. Seraphin makes 2-pt shot from 18 ft (assist by A. Miller)
6:22.0,R. Sacre makes 2-pt shot from 6 ft,2,84-88,,
6:04.0,,,84-90,2,A. Miller makes 2-pt shot from 1 ft (assist by B. Beal)
5:57.0,Shooting foul by B. Beal (drawn by N. Young),,84-90,,
5:57.0,,,84-90,,Washington full timeout
5:57.0,,,84-90,,J. Wall enters the game for D. Gooden
5:57.0,,,84-90,,M. Gortat enters the game for K. Seraphin
5:57.0,,,84-90,,K. Humphries enters the game for A. Miller
5:57.0,K. Bryant enters the game for E. Davis,,84-90,,
5:57.0,C. Boozer enters the game for W. Ellington,,84-90,,
5:57.0,N. Young makes free throw 1 of 2,1,85-90,,
5:57.0,N. Young makes free throw 2 of 2,1,86-90,,
5:34.0,,,86-93,3,B. Beal makes 3-pt shot from 24 ft (assist by K. Humphries)
5:14.0,R. Sacre misses 2-pt shot from 18 ft,,86-93,,
5:13.0,Offensive rebound by C. Boozer,,86-93,,
5:11.0,Turnover by C. Boozer (lost ball; steal by K. Humphries),,86-93,,
4:55.0,,,86-93,,B. Beal misses 2-pt shot from 18 ft
4:54.0,,,86-93,,Offensive rebound by M. Gortat
4:26.0,,,86-93,,J. Wall misses 3-pt shot from 26 ft
4:26.0,,,86-93,,Offensive rebound by M. Gortat
4:26.0,Personal foul by R. Price (drawn by M. Gortat),,86-93,,
4:26.0,,,86-94,1,M. Gortat makes free throw 1 of 2
4:26.0,W. Johnson enters the game for R. Sacre,,86-94,,
4:26.0,,,86-95,1,M. Gortat makes free throw 2 of 2
4:13.0,K. Bryant misses 2-pt shot from 13 ft,,86-95,,
4:12.0,Offensive rebound by Team,,86-95,,
4:05.0,N. Young misses 2-pt shot from 12 ft,,86-95,,
4:04.0,,,86-95,,Defensive rebound by M. Gortat
3:50.0,,,86-97,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
3:37.0,C. Boozer makes 2-pt shot at rim (assist by K. Bryant),2,88-97,,
3:13.0,,,88-97,,B. Beal misses 2-pt shot from 13 ft
3:12.0,Defensive rebound by K. Bryant,,88-97,,
3:06.0,R. Price makes 3-pt shot from 25 ft (assist by W. Johnson),3,91-97,,
2:44.0,,,91-97,,Turnover by J. Wall (bad pass; steal by R. Price)
2:37.0,W. Johnson misses 3-pt shot from 23 ft,,91-97,,
2:35.0,,,91-97,,Defensive rebound by K. Humphries
2:17.0,,,91-97,,J. Wall misses 2-pt shot from 16 ft
2:16.0,,,91-97,,Offensive rebound by K. Humphries
