time,Detroit,pts.away,score,pts.home,Dallas
9:03.0,,,35-33,2,R. Rondo makes 2-pt shot at rim
8:46.0,D. Augustin makes 2-pt shot from 9 ft,2,37-33,,
8:26.0,,,37-35,2,D. Nowitzki makes 2-pt shot from 14 ft (assist by R. Rondo)
8:12.0,J. Meeks misses 2-pt shot from 7 ft,,37-35,,
8:11.0,Offensive rebound by A. Drummond,,37-35,,
8:11.0,A. Drummond makes 2-pt shot at rim,2,39-35,,
7:56.0,,,39-35,,Turnover by R. Rondo (bad pass; steal by C. Butler)
7:40.0,A. Tolliver makes 3-pt shot from 22 ft (assist by C. Butler),3,42-35,,
7:39.0,,,42-35,,Dallas full timeout
7:39.0,,,42-35,,T. Chandler enters the game for D. Nowitzki
7:39.0,,,42-35,,M. Ellis enters the game for R. Rondo
7:39.0,,,42-35,,C. Parsons enters the game for G. Smith
7:29.0,,,42-35,,Shooting foul by A. Tolliver (drawn by T. Chandler)
7:29.0,,,42-35,,T. Chandler misses free throw 1 of 2
7:29.0,,,42-35,,Offensive rebound by Team
7:29.0,,,42-36,1,T. Chandler makes free throw 2 of 2
7:16.0,A. Drummond makes 2-pt shot at rim (assist by D. Augustin),2,44-36,,
7:03.0,,,44-38,2,J. Barea makes 2-pt shot from 6 ft
6:37.0,A. Drummond misses 2-pt shot from 4 ft,,44-38,,
6:35.0,,,44-38,,Defensive rebound by M. Ellis
6:31.0,,,44-38,,Turnover by M. Ellis (bad pass)
6:31.0,,,44-38,,D. Harris enters the game for J. Barea
6:16.0,D. Augustin misses 2-pt shot from 1 ft,,44-38,,
6:15.0,,,44-38,,Defensive rebound by D. Harris
6:06.0,,,44-40,2,C. Parsons makes 2-pt shot from 6 ft
5:46.0,C. Butler misses 3-pt shot from 24 ft,,44-40,,
5:46.0,,,44-40,,Defensive rebound by C. Parsons
5:46.0,Loose ball foul by A. Tolliver (drawn by C. Parsons),,44-40,,
5:46.0,Official timeout,,44-40,,
5:33.0,,,44-40,,M. Ellis misses 2-pt shot from 14 ft
5:32.0,Defensive rebound by A. Drummond,,44-40,,
5:16.0,D. Augustin makes 3-pt shot from 25 ft,3,47-40,,
5:07.0,,,47-43,3,D. Harris makes 3-pt shot from 24 ft (assist by M. Ellis)
4:48.0,D. Augustin misses 2-pt shot from 4 ft (block by M. Ellis),,47-43,,
4:46.0,,,47-43,,Defensive rebound by T. Chandler
4:40.0,,,47-43,,M. Ellis misses 3-pt shot from 24 ft
4:39.0,,,47-43,,Offensive rebound by T. Chandler
4:34.0,,,47-43,,D. Harris misses 3-pt shot from 24 ft
4:33.0,Defensive rebound by D. Augustin,,47-43,,
4:24.0,J. Meeks misses 2-pt shot from 1 ft,,47-43,,
4:22.0,Offensive rebound by A. Drummond,,47-43,,
4:22.0,A. Drummond misses 2-pt shot from 1 ft,,47-43,,
4:21.0,,,47-43,,Defensive rebound by T. Chandler
4:09.0,,,47-43,,R. Jefferson misses 3-pt shot from 22 ft
4:08.0,Defensive rebound by C. Butler,,47-43,,
3:57.0,D. Augustin misses 3-pt shot from 24 ft,,47-43,,
3:56.0,,,47-43,,Defensive rebound by D. Harris
3:47.0,,,47-45,2,C. Parsons makes 2-pt shot from 4 ft (assist by D. Harris)
3:39.0,Detroit full timeout,,47-45,,
3:39.0,B. Jennings enters the game for C. Butler,,47-45,,
3:39.0,K. Singler enters the game for D. Augustin,,47-45,,
3:21.0,J. Meeks makes 3-pt shot from 24 ft (assist by K. Singler),3,50-45,,
3:03.0,,,50-45,,C. Parsons misses 3-pt shot from 24 ft
3:02.0,Defensive rebound by B. Jennings,,50-45,,
2:53.0,K. Singler misses 3-pt shot from 22 ft,,50-45,,
2:52.0,,,50-45,,Defensive rebound by M. Ellis
2:45.0,,,50-45,,R. Jefferson misses 2-pt shot from 9 ft
2:44.0,Defensive rebound by A. Drummond,,50-45,,
2:41.0,Shooting foul by D. Harris (drawn by J. Meeks),,50-45,,
2:41.0,J. Meeks makes free throw 1 of 2,1,51-45,,
2:41.0,,,51-45,,R. Rondo enters the game for D. Harris
2:41.0,,,51-45,,D. Nowitzki enters the game for R. Jefferson
2:41.0,G. Monroe enters the game for A. Tolliver,,51-45,,
2:41.0,J. Meeks makes free throw 2 of 2,1,52-45,,
2:28.0,,,52-45,,C. Parsons misses 2-pt shot at rim
2:26.0,Defensive rebound by G. Monroe,,52-45,,
2:14.0,K. Singler misses 3-pt shot from 24 ft,,52-45,,
2:13.0,,,52-45,,Defensive rebound by R. Rondo
2:11.0,,,52-45,,Turnover by R. Rondo (bad pass)
1:51.0,Turnover by K. Singler (bad pass; steal by T. Chandler),,52-45,,
1:44.0,,,52-45,,Turnover by M. Ellis (traveling)
1:29.0,A. Drummond misses 2-pt shot from 1 ft (block by D. Nowitzki),,52-45,,
1:29.0,Offensive rebound by Team,,52-45,,
1:27.0,J. Meeks misses 2-pt shot from 12 ft,,52-45,,
1:26.0,,,52-45,,Defensive rebound by T. Chandler
1:19.0,,,52-45,,Shooting foul by A. Drummond (drawn by M. Ellis)
1:19.0,,,52-46,1,M. Ellis makes free throw 1 of 2
1:19.0,J. Anthony enters the game for A. Drummond,,52-46,,
1:19.0,,,52-47,1,M. Ellis makes free throw 2 of 2
0:58.0,K. Singler misses 3-pt shot from 24 ft,,52-47,,
0:57.0,,,52-47,,Defensive rebound by T. Chandler
0:43.0,,,52-49,2,T. Chandler makes 2-pt shot at rim (assist by R. Rondo)
0:28.0,Turnover by K. Singler (step out of bounds),,52-49,,
0:07.0,,,52-49,,M. Ellis misses 3-pt shot from 23 ft
0:06.0,Defensive rebound by G. Monroe,,52-49,,
0:00.0,B. Jennings misses 2-pt shot from 2 ft,,52-49,,
0:00.0,Offensive rebound by G. Monroe,,52-49,,
0:00.0,G. Monroe makes 2-pt shot at rim,2,54-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,54-49,,Turnover by D. Nowitzki (bad pass; steal by K. Singler)
11:44.0,Turnover by G. Monroe (lost ball),,54-49,,
11:32.0,,,54-51,2,D. Nowitzki makes 2-pt shot from 14 ft (assist by R. Rondo)
11:12.0,G. Monroe makes 2-pt shot from 1 ft (assist by B. Jennings),2,56-51,,
10:55.0,,,56-51,,R. Rondo misses 2-pt shot from 16 ft
10:53.0,Defensive rebound by A. Drummond,,56-51,,
10:45.0,,,56-51,,Personal foul by C. Parsons (drawn by K. Singler)
10:32.0,B. Jennings makes 2-pt shot from 1 ft (assist by G. Monroe),2,58-51,,
10:22.0,,,58-51,,Turnover by R. Rondo (lost ball; steal by B. Jennings)
10:14.0,B. Jennings misses 2-pt shot from 13 ft,,58-51,,
10:13.0,,,58-51,,Defensive rebound by T. Chandler
10:09.0,,,58-51,,M. Ellis misses 2-pt shot from 1 ft
10:07.0,Defensive rebound by G. Monroe,,58-51,,
9:41.0,G. Monroe makes 2-pt shot from 1 ft,2,60-51,,
9:26.0,,,60-51,,R. Rondo misses 2-pt shot from 17 ft
9:25.0,Defensive rebound by A. Drummond,,60-51,,
9:12.0,G. Monroe misses 2-pt shot from 8 ft,,60-51,,
9:10.0,,,60-51,,Defensive rebound by T. Chandler
9:01.0,,,60-53,2,D. Nowitzki makes 2-pt shot from 21 ft (assist by C. Parsons)
8:42.0,K. Caldwell-Pope makes 2-pt shot from 17 ft,2,62-53,,
8:20.0,,,62-53,,D. Nowitzki misses 2-pt shot from 20 ft
8:19.0,Defensive rebound by A. Drummond,,62-53,,
8:11.0,Turnover by G. Monroe (bad pass; steal by D. Nowitzki),,62-53,,
8:02.0,,,62-55,2,D. Nowitzki makes 2-pt shot from 12 ft (assist by M. Ellis)
7:42.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,62-55,,
7:40.0,,,62-55,,Defensive rebound by T. Chandler
7:33.0,,,62-55,,M. Ellis misses 2-pt shot from 9 ft
7:33.0,Defensive rebound by A. Drummond,,62-55,,
7:22.0,B. Jennings misses 2-pt shot from 3 ft (block by T. Chandler),,62-55,,
7:20.0,,,62-55,,Defensive rebound by R. Rondo
7:16.0,Shooting block foul by G. Monroe (drawn by D. Nowitzki),,62-55,,
7:16.0,,,62-55,,D. Nowitzki misses free throw 1 of 2
7:16.0,,,62-55,,Offensive rebound by Team
7:16.0,,,62-56,1,D. Nowitzki makes free throw 2 of 2
6:52.0,K. Singler misses 2-pt shot from 12 ft,,62-56,,
6:52.0,Offensive rebound by Team,,62-56,,
6:52.0,Turnover by Team (shot clock),,62-56,,
6:40.0,,,62-56,,D. Nowitzki misses 2-pt shot from 15 ft
6:39.0,Defensive rebound by K. Singler,,62-56,,
6:22.0,K. Singler makes 2-pt shot at rim (assist by G. Monroe),2,64-56,,
6:20.0,,,64-56,,Dallas full timeout
6:20.0,,,64-56,,C. Villanueva enters the game for D. Nowitzki
6:20.0,,,64-56,,D. Harris enters the game for R. Rondo
6:07.0,,,64-58,2,C. Villanueva makes 2-pt shot from 18 ft (assist by T. Chandler)
5:40.0,Turnover by K. Caldwell-Pope (lost ball; steal by D. Harris),,64-58,,
5:33.0,,,64-58,,M. Ellis misses 3-pt shot from 22 ft
5:31.0,Defensive rebound by A. Drummond,,64-58,,
5:18.0,G. Monroe makes 2-pt shot at rim (assist by B. Jennings),2,66-58,,
5:04.0,,,66-58,,C. Villanueva misses 3-pt shot from 24 ft
5:03.0,,,66-58,,Offensive rebound by T. Chandler
4:56.0,,,66-60,2,M. Ellis makes 2-pt shot from 14 ft
4:38.0,K. Caldwell-Pope misses 2-pt shot from 14 ft,,66-60,,
4:37.0,,,66-60,,Defensive rebound by T. Chandler
4:33.0,Personal block foul by K. Caldwell-Pope (drawn by M. Ellis),,66-60,,
4:33.0,J. Jerebko enters the game for G. Monroe,,66-60,,
4:26.0,,,66-60,,Turnover by C. Villanueva (bad pass)
4:02.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,66-60,,
4:01.0,,,66-60,,Defensive rebound by T. Chandler
3:54.0,,,66-60,,M. Ellis misses 2-pt shot from 19 ft
3:52.0,Defensive rebound by A. Drummond,,66-60,,
3:41.0,J. Jerebko misses 2-pt shot from 17 ft,,66-60,,
3:40.0,,,66-60,,Defensive rebound by D. Harris
3:32.0,,,66-62,2,C. Villanueva makes 2-pt shot from 6 ft
3:13.0,B. Jennings makes 2-pt shot from 21 ft,2,68-62,,
2:58.0,,,68-62,,D. Harris misses 2-pt shot from 16 ft
2:57.0,,,68-62,,Offensive rebound by T. Chandler
2:48.0,,,68-62,,C. Villanueva misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by Team,,68-62,,
2:48.0,Detroit full timeout,,68-62,,
2:48.0,,,68-62,,G. Smith enters the game for T. Chandler
2:48.0,J. Meeks enters the game for K. Singler,,68-62,,
2:48.0,C. Butler enters the game for K. Caldwell-Pope,,68-62,,
2:34.0,J. Meeks misses 2-pt shot from 17 ft,,68-62,,
2:32.0,Offensive rebound by A. Drummond,,68-62,,
2:32.0,A. Drummond makes 2-pt shot at rim,2,70-62,,
2:17.0,,,70-62,,C. Parsons misses 2-pt shot from 16 ft
2:16.0,Defensive rebound by C. Butler,,70-62,,
2:06.0,B. Jennings misses 2-pt shot from 19 ft,,70-62,,
2:05.0,,,70-62,,Defensive rebound by C. Parsons
1:49.0,,,70-62,,C. Parsons misses 2-pt shot from 7 ft
1:48.0,Defensive rebound by A. Drummond,,70-62,,
1:39.0,B. Jennings misses 3-pt shot from 24 ft,,70-62,,
1:37.0,Offensive rebound by J. Jerebko,,70-62,,
1:37.0,J. Jerebko misses 2-pt shot from 2 ft,,70-62,,
1:35.0,,,70-62,,Defensive rebound by M. Ellis
1:32.0,,,70-64,2,C. Villanueva makes 2-pt shot at rim (assist by M. Ellis)
1:04.0,A. Drummond misses 2-pt shot from 13 ft (block by G. Smith),,70-64,,
1:03.0,Offensive rebound by A. Drummond,,70-64,,
1:02.0,A. Drummond misses 2-pt shot from 20 ft,,70-64,,
1:00.0,Offensive rebound by B. Jennings,,70-64,,
0:45.0,B. Jennings makes 2-pt shot from 4 ft,2,72-64,,
0:33.0,,,72-66,2,D. Harris makes 2-pt shot from 2 ft
0:33.0,Shooting block foul by A. Drummond (drawn by D. Harris),,72-66,,
0:33.0,,,72-66,,R. Jefferson enters the game for C. Parsons
0:33.0,,,72-66,,D. Nowitzki enters the game for M. Ellis
0:33.0,,,72-66,,R. Rondo enters the game for C. Villanueva
0:33.0,,,72-66,,D. Harris misses free throw 1 of 1
0:33.0,,,72-66,,Offensive rebound by R. Jefferson
0:12.0,Violation by A. Drummond (def goaltending),,72-66,,
0:12.0,,,72-68,2,D. Harris makes 2-pt shot from 1 ft
0:05.0,,,72-68,,Personal take foul by D. Harris (drawn by B. Jennings)
0:05.0,,,72-68,,A. Aminu enters the game for D. Nowitzki
0:05.0,,,72-68,,J. Barea enters the game for D. Harris
0:00.0,B. Jennings makes 2-pt shot from 1 ft,2,74-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,C. Butler misses 3-pt shot from 28 ft,,74-68,,
11:33.0,,,74-68,,Defensive rebound by G. Smith
11:16.0,,,74-68,,D. Nowitzki misses 2-pt shot from 15 ft
11:15.0,Defensive rebound by G. Monroe,,74-68,,
10:58.0,G. Monroe makes 2-pt shot from 6 ft,2,76-68,,
10:31.0,,,76-68,,D. Nowitzki misses 2-pt shot from 18 ft
10:31.0,Defensive rebound by C. Butler,,76-68,,
10:27.0,J. Meeks misses 2-pt shot at rim,,76-68,,
10:27.0,,,76-68,,Defensive rebound by D. Nowitzki
10:27.0,Loose ball foul by G. Monroe (drawn by D. Nowitzki),,76-68,,
10:27.0,,,76-68,,J. Barea enters the game for D. Harris
10:15.0,,,76-70,2,R. Rondo makes 2-pt shot from 8 ft
9:59.0,G. Monroe misses 2-pt shot from 5 ft,,76-70,,
9:58.0,,,76-70,,Defensive rebound by R. Rondo
9:49.0,,,76-70,,Turnover by R. Rondo (bad pass; steal by C. Butler)
9:45.0,D. Augustin makes 2-pt shot from 2 ft,2,78-70,,
9:45.0,Shooting foul by G. Smith (drawn by D. Augustin),,78-70,,
9:45.0,D. Augustin makes free throw 1 of 1,1,79-70,,
9:32.0,,,79-72,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by R. Rondo)
9:09.0,J. Jerebko makes 2-pt shot from 22 ft (assist by J. Meeks),2,81-72,,
8:59.0,,,81-74,2,G. Smith makes 2-pt shot at rim (assist by R. Rondo)
8:34.0,Turnover by D. Augustin (lost ball),,81-74,,
8:34.0,Official timeout,,81-74,,
8:34.0,,,81-74,,T. Chandler enters the game for G. Smith
8:22.0,,,81-76,2,D. Nowitzki makes 2-pt shot from 21 ft (assist by J. Barea)
8:10.0,Offensive foul by D. Augustin,,81-76,,
8:10.0,Turnover by D. Augustin (offensive foul),,81-76,,
8:10.0,Technical foul by D. Augustin,,81-76,,
8:10.0,,,81-77,1,D. Nowitzki makes technical free throw
7:53.0,,,81-77,,R. Rondo misses 2-pt shot from 18 ft
7:52.0,Defensive rebound by J. Jerebko,,81-77,,
7:43.0,D. Augustin makes 3-pt shot from 23 ft,3,84-77,,
7:30.0,,,84-77,,J. Barea misses 2-pt shot from 9 ft
7:28.0,Defensive rebound by G. Monroe,,84-77,,
7:22.0,D. Augustin makes 3-pt shot from 24 ft (assist by G. Monroe),3,87-77,,
7:22.0,,,87-77,,Dallas full timeout
7:22.0,,,87-77,,C. Villanueva enters the game for D. Nowitzki
7:22.0,,,87-77,,M. Ellis enters the game for R. Rondo
7:22.0,,,87-77,,D. Harris enters the game for R. Jefferson
7:22.0,,,87-77,,C. Parsons enters the game for J. Barea
7:07.0,,,87-77,,M. Ellis misses 2-pt shot from 17 ft
7:06.0,Defensive rebound by J. Jerebko,,87-77,,
6:49.0,J. Meeks misses 2-pt shot from 18 ft,,87-77,,
6:47.0,Offensive rebound by J. Jerebko,,87-77,,
6:47.0,J. Jerebko makes 2-pt shot at rim,2,89-77,,
6:31.0,,,89-80,3,C. Parsons makes 3-pt shot from 22 ft (assist by C. Villanueva)
6:09.0,D. Augustin makes 2-pt shot from 2 ft,2,91-80,,
6:09.0,Shooting foul by C. Parsons (drawn by D. Augustin),,91-80,,
6:09.0,,,91-80,,Technical foul by C. Parsons (drawn by D. Augustin)
6:09.0,D. Augustin makes technical free throw,1,92-80,,
6:09.0,D. Augustin makes free throw 1 of 1,1,93-80,,
5:59.0,,,93-82,2,M. Ellis makes 2-pt shot from 14 ft
5:42.0,D. Augustin makes 2-pt shot from 1 ft,2,95-82,,
5:37.0,Personal take foul by J. Jerebko (drawn by D. Harris),,95-82,,
5:37.0,,,95-82,,D. Nowitzki enters the game for C. Villanueva
5:26.0,,,95-84,2,M. Ellis makes 2-pt shot from 1 ft
5:10.0,D. Augustin misses 2-pt shot from 6 ft,,95-84,,
5:09.0,,,95-84,,Defensive rebound by T. Chandler
5:03.0,,,95-84,,D. Harris misses 2-pt shot from 2 ft
5:02.0,,,95-84,,Offensive rebound by M. Ellis
5:02.0,,,95-84,,M. Ellis misses 2-pt shot from 1 ft
5:01.0,,,95-84,,Offensive rebound by T. Chandler
4:56.0,,,95-84,,D. Nowitzki misses 3-pt shot from 24 ft
4:55.0,Defensive rebound by G. Monroe,,95-84,,
4:40.0,D. Augustin makes 2-pt shot from 6 ft (assist by J. Jerebko),2,97-84,,
4:39.0,,,97-84,,Dallas full timeout
