time,Washington,pts.away,score,pts.home,Philadelphia
5:33.0,,,12-19,,Shooting foul by M. Gortat (drawn by L. Mbah a Moute)
5:33.0,,,12-19,,L. Mbah a Moute misses free throw 1 of 2
5:33.0,,,12-19,,Offensive rebound by Team
5:33.0,,,12-19,,L. Mbah a Moute misses free throw 2 of 2
5:32.0,,,12-19,,Offensive rebound by R. Covington
5:12.0,,,12-19,,I. Canaan misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by G. Temple,,12-19,,
5:00.0,J. Wall makes 2-pt shot from 20 ft,2,14-19,,
4:49.0,,,14-19,,L. Mbah a Moute misses 3-pt shot from 25 ft
4:48.0,,,14-19,,Offensive rebound by I. Canaan
4:45.0,,,14-19,,Turnover by L. Mbah a Moute (bad pass)
4:45.0,,,14-19,,T. Robinson enters the game for L. Mbah a Moute
4:34.0,J. Wall makes 2-pt shot from 12 ft,2,16-19,,
4:25.0,,,16-21,2,I. Canaan makes 2-pt shot from 1 ft (assist by N. Noel)
4:17.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall),3,19-21,,
4:13.0,,,19-21,,Shooting foul by O. Porter (drawn by R. Covington)
4:13.0,,,19-22,1,R. Covington makes free throw 1 of 2
4:13.0,,,19-22,,I. Smith enters the game for I. Canaan
4:13.0,R. Butler enters the game for G. Temple,,19-22,,
4:13.0,,,19-23,1,R. Covington makes free throw 2 of 2
4:00.0,J. Wall misses 2-pt shot from 1 ft,,19-23,,
3:57.0,Offensive rebound by D. Gooden,,19-23,,
3:57.0,D. Gooden misses 2-pt shot from 1 ft,,19-23,,
3:57.0,Offensive rebound by Team,,19-23,,
3:57.0,,,19-23,,J. Grant enters the game for R. Covington
3:44.0,D. Gooden misses 2-pt shot from 20 ft,,19-23,,
3:44.0,,,19-23,,Defensive rebound by Team
3:26.0,,,19-23,,Turnover by J. Grant (bad pass; steal by J. Wall)
3:20.0,J. Wall makes 2-pt shot from 1 ft,2,21-23,,
3:04.0,,,21-23,,H. Thompson misses 2-pt shot from 1 ft
3:02.0,Defensive rebound by D. Gooden,,21-23,,
2:54.0,R. Butler misses 3-pt shot from 25 ft,,21-23,,
2:52.0,,,21-23,,Defensive rebound by T. Robinson
2:42.0,,,21-25,2,T. Robinson makes 2-pt shot from 19 ft (assist by H. Thompson)
2:30.0,Shooting foul by T. Robinson (drawn by R. Butler),,21-25,,
2:30.0,R. Butler makes free throw 1 of 2,1,22-25,,
2:30.0,,,22-25,,J. McGee enters the game for N. Noel
2:30.0,R. Sessions enters the game for J. Wall,,22-25,,
2:30.0,M. Webster enters the game for O. Porter,,22-25,,
2:30.0,R. Butler makes free throw 2 of 2,1,23-25,,
2:14.0,,,23-25,,Shooting foul by D. Gooden (drawn by J. Grant)
2:14.0,,,23-25,,J. Grant misses free throw 1 of 2
2:14.0,,,23-25,,Offensive rebound by Team
2:14.0,,,23-26,1,J. Grant makes free throw 2 of 2
1:52.0,R. Sessions misses 2-pt shot from 4 ft,,23-26,,
1:51.0,,,23-26,,Defensive rebound by J. McGee
1:41.0,,,23-26,,T. Robinson misses 2-pt shot from 20 ft
1:40.0,Defensive rebound by M. Gortat,,23-26,,
1:33.0,D. Gooden misses 2-pt shot from 18 ft,,23-26,,
1:31.0,,,23-26,,Defensive rebound by I. Smith
1:24.0,,,23-26,,J. Grant misses 3-pt shot from 23 ft
1:22.0,Defensive rebound by D. Gooden,,23-26,,
1:16.0,M. Gortat makes 2-pt shot from 1 ft (assist by R. Sessions),2,25-26,,
0:59.0,,,25-26,,I. Smith misses 2-pt shot from 3 ft (block by M. Gortat)
0:58.0,,,25-26,,Offensive rebound by Team
0:58.0,K. Seraphin enters the game for M. Gortat,,25-26,,
0:50.0,,,25-28,2,H. Thompson makes 2-pt shot from 14 ft (assist by I. Smith)
0:38.0,Turnover by K. Seraphin (lost ball),,25-28,,
0:30.0,,,25-28,,I. Smith misses 2-pt shot from 9 ft
0:29.0,Defensive rebound by K. Seraphin,,25-28,,
0:04.0,R. Sessions misses 2-pt shot from 14 ft,,25-28,,
0:03.0,,,25-28,,Defensive rebound by J. Grant
0:00.0,,,25-28,,J. Grant misses 3-pt shot from 37 ft
0:00.0,,,25-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,25-28,,H. Thompson misses 2-pt shot from 3 ft
11:46.0,,,25-28,,Offensive rebound by T. Robinson
11:46.0,,,25-28,,T. Robinson misses 2-pt shot at rim
11:45.0,Defensive rebound by R. Sessions,,25-28,,
11:40.0,R. Sessions misses 2-pt shot from 3 ft,,25-28,,
11:38.0,,,25-28,,Defensive rebound by I. Smith
11:32.0,,,25-28,,Turnover by I. Smith (bad pass)
11:15.0,K. Seraphin misses 2-pt shot from 7 ft,,25-28,,
11:13.0,,,25-28,,Defensive rebound by H. Thompson
10:57.0,,,25-28,,I. Smith misses 2-pt shot from 15 ft
10:56.0,,,25-28,,Offensive rebound by T. Robinson
10:54.0,,,25-28,,T. Robinson misses 2-pt shot from 4 ft
10:53.0,Defensive rebound by M. Webster,,25-28,,
10:50.0,R. Sessions makes 2-pt shot from 2 ft,2,27-28,,
10:50.0,Shooting foul by H. Thompson (drawn by R. Sessions),,27-28,,
10:50.0,R. Sessions makes free throw 1 of 1,1,28-28,,
10:31.0,,,28-28,,J. Grant misses 2-pt shot from 16 ft
10:29.0,Defensive rebound by R. Sessions,,28-28,,
10:19.0,R. Sessions makes 2-pt shot at rim (assist by R. Butler),2,30-28,,
10:16.0,,,30-28,,Philadelphia full timeout
10:16.0,,,30-28,,H. Sims enters the game for T. Robinson
10:12.0,,,30-28,,J. Richardson enters the game for J. McGee
9:58.0,,,30-28,,Turnover by J. Grant (bad pass)
9:51.0,R. Butler misses 2-pt shot from 15 ft,,30-28,,
9:49.0,,,30-28,,Defensive rebound by J. Richardson
9:39.0,,,30-28,,J. Richardson misses 2-pt shot from 14 ft
9:37.0,Defensive rebound by K. Seraphin,,30-28,,
9:27.0,R. Sessions makes 2-pt shot from 3 ft,2,32-28,,
9:18.0,,,32-28,,I. Smith misses 2-pt shot from 6 ft
9:16.0,Defensive rebound by R. Butler,,32-28,,
9:01.0,Turnover by D. Gooden (bad pass; steal by J. Grant),,32-28,,
8:53.0,Personal foul by R. Sessions (drawn by J. Grant),,32-28,,
8:53.0,N. Hilario enters the game for D. Gooden,,32-28,,
8:53.0,,,32-28,,R. Covington enters the game for H. Thompson
8:53.0,,,32-28,,I. Smith misses 2-pt shot at rim (block by K. Seraphin)
8:52.0,Defensive rebound by R. Sessions,,32-28,,
8:44.0,R. Butler misses 3-pt shot from 25 ft,,32-28,,
8:42.0,,,32-28,,Defensive rebound by R. Covington
8:14.0,,,32-28,,Shooting foul by R. Sessions (drawn by H. Sims)
8:14.0,,,32-29,1,H. Sims makes free throw 1 of 2
8:14.0,,,32-30,1,H. Sims makes free throw 2 of 2
7:58.0,R. Butler makes 3-pt shot from 26 ft (assist by R. Sessions),3,35-30,,
7:40.0,,,35-33,3,J. Grant makes 3-pt shot from 26 ft (assist by I. Smith)
7:23.0,Shooting foul by R. Covington (drawn by R. Sessions),,35-33,,
7:23.0,R. Sessions makes free throw 1 of 2,1,36-33,,
7:23.0,,,36-33,,N. Noel enters the game for J. Grant
7:23.0,O. Porter enters the game for M. Webster,,36-33,,
7:23.0,J. Wall enters the game for R. Sessions,,36-33,,
7:23.0,R. Sessions misses free throw 2 of 2,,36-33,,
7:23.0,Offensive rebound by Team,,36-33,,
7:09.0,J. Wall misses 2-pt shot from 16 ft,,36-33,,
7:08.0,,,36-33,,Defensive rebound by N. Noel
7:00.0,,,36-33,,Shooting foul by N. Hilario (drawn by N. Noel)
7:00.0,,,36-34,1,N. Noel makes free throw 1 of 2
7:00.0,M. Gortat enters the game for N. Hilario,,36-34,,
7:00.0,,,36-34,,N. Noel misses free throw 2 of 2
6:59.0,Defensive rebound by M. Gortat,,36-34,,
6:35.0,J. Wall misses 3-pt shot from 25 ft,,36-34,,
6:33.0,,,36-34,,Defensive rebound by Team
6:18.0,,,36-34,,H. Sims misses 2-pt shot from 20 ft
6:17.0,Defensive rebound by R. Butler,,36-34,,
6:04.0,O. Porter misses 3-pt shot from 23 ft,,36-34,,
6:02.0,Offensive rebound by Team,,36-34,,
5:50.0,O. Porter misses 2-pt shot from 12 ft,,36-34,,
5:49.0,,,36-34,,Defensive rebound by H. Sims
5:42.0,,,36-34,,Philadelphia full timeout
5:42.0,Official timeout,,36-34,,
5:42.0,,,36-34,,I. Canaan enters the game for I. Smith
5:33.0,,,36-37,3,R. Covington makes 3-pt shot from 24 ft (assist by J. Richardson)
5:33.0,,,36-37,,Shooting foul by O. Porter (drawn by R. Covington)
5:33.0,,,36-38,1,R. Covington makes free throw 1 of 1
5:18.0,R. Butler makes 2-pt shot from 18 ft (assist by J. Wall),2,38-38,,
4:46.0,,,38-38,,I. Canaan misses 3-pt shot from 25 ft
4:44.0,Defensive rebound by M. Gortat,,38-38,,
4:40.0,,,38-38,,Shooting block foul by J. Richardson (drawn by J. Wall)
4:40.0,J. Wall makes free throw 1 of 2,1,39-38,,
4:40.0,,,39-38,,L. Mbah a Moute enters the game for H. Sims
4:40.0,J. Wall makes free throw 2 of 2,1,40-38,,
4:23.0,,,40-38,,I. Canaan misses 3-pt shot from 24 ft
4:20.0,Defensive rebound by R. Butler,,40-38,,
4:13.0,J. Wall misses 2-pt shot from 2 ft,,40-38,,
4:11.0,,,40-38,,Defensive rebound by R. Covington
4:08.0,,,40-38,,J. Richardson misses 3-pt shot from 26 ft
4:06.0,Defensive rebound by J. Wall,,40-38,,
4:00.0,J. Wall misses 2-pt shot from 1 ft,,40-38,,
3:57.0,,,40-38,,Defensive rebound by N. Noel
3:36.0,,,40-40,2,N. Noel makes 2-pt shot from 14 ft (assist by J. Richardson)
3:23.0,M. Gortat misses 2-pt shot from 9 ft (block by N. Noel),,40-40,,
3:21.0,,,40-40,,Defensive rebound by I. Canaan
3:16.0,,,40-40,,I. Canaan misses 2-pt shot from 2 ft (block by J. Wall)
3:15.0,Defensive rebound by O. Porter,,40-40,,
3:15.0,,,40-40,,Personal foul by N. Noel (drawn by O. Porter)
3:15.0,G. Temple enters the game for R. Butler,,40-40,,
3:15.0,Washington full timeout,,40-40,,
2:58.0,J. Wall misses 2-pt shot from 6 ft,,40-40,,
2:56.0,,,40-40,,Defensive rebound by N. Noel
2:49.0,,,40-40,,L. Mbah a Moute misses 3-pt shot from 25 ft
2:48.0,,,40-40,,Offensive rebound by N. Noel
2:33.0,,,40-43,3,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by J. Richardson)
2:15.0,G. Temple misses 2-pt shot from 6 ft,,40-43,,
2:15.0,Offensive rebound by Team,,40-43,,
2:15.0,,,40-43,,Loose ball foul by N. Noel (drawn by M. Gortat)
2:15.0,R. Butler enters the game for O. Porter,,40-43,,
2:15.0,M. Gortat misses free throw 1 of 2,,40-43,,
2:15.0,Offensive rebound by Team,,40-43,,
2:15.0,,,40-43,,H. Thompson enters the game for J. Richardson
2:15.0,M. Gortat misses free throw 2 of 2,,40-43,,
2:14.0,,,40-43,,Defensive rebound by N. Noel
2:01.0,,,40-43,,R. Covington misses 2-pt shot from 16 ft
1:58.0,,,40-43,,Offensive rebound by N. Noel
1:58.0,,,40-45,2,N. Noel makes 2-pt shot at rim
1:36.0,R. Butler misses 3-pt shot from 25 ft,,40-45,,
1:33.0,Offensive rebound by J. Wall,,40-45,,
1:33.0,J. Wall makes 2-pt shot from 1 ft,2,42-45,,
1:19.0,,,42-45,,Shooting foul by M. Gortat (drawn by R. Covington)
1:19.0,,,42-46,1,R. Covington makes free throw 1 of 2
1:19.0,D. Blair enters the game for M. Gortat,,42-46,,
1:19.0,,,42-47,1,R. Covington makes free throw 2 of 2
1:04.0,J. Wall misses 2-pt shot from 1 ft (block by L. Mbah a Moute),,42-47,,
1:01.0,,,42-47,,Defensive rebound by R. Covington
0:57.0,,,42-47,,L. Mbah a Moute misses 2-pt shot from 18 ft
0:54.0,Defensive rebound by D. Blair,,42-47,,
0:44.0,Offensive foul by K. Seraphin,,42-47,,
0:44.0,Turnover by K. Seraphin (offensive foul),,42-47,,
0:33.0,,,42-47,,R. Covington misses 3-pt shot from 22 ft (block by G. Temple)
0:31.0,Defensive rebound by R. Butler,,42-47,,
0:06.0,J. Wall misses 2-pt shot from 1 ft,,42-47,,
0:03.0,Offensive rebound by D. Blair,,42-47,,
0:03.0,D. Blair misses 2-pt shot from 1 ft,,42-47,,
0:02.0,,,42-47,,Defensive rebound by L. Mbah a Moute
0:00.0,,,42-47,,I. Canaan misses 2-pt shot from 16 ft
0:00.0,,,42-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,42-47,,Turnover by N. Noel (bad pass)
11:51.0,,,42-47,,Personal foul by J. Richardson (drawn by G. Temple)
11:40.0,O. Porter makes 2-pt shot from 17 ft (assist by J. Wall),2,44-47,,
11:20.0,Personal foul by G. Temple (drawn by J. Richardson),,44-47,,
11:08.0,,,44-47,,J. Richardson misses 3-pt shot from 28 ft
11:06.0,Defensive rebound by N. Hilario,,44-47,,
10:56.0,M. Gortat makes 2-pt shot from 2 ft (assist by G. Temple),2,46-47,,
10:41.0,,,46-47,,L. Mbah a Moute misses 3-pt shot from 26 ft
10:39.0,Defensive rebound by J. Wall,,46-47,,
10:30.0,Turnover by J. Wall (bad pass; steal by L. Mbah a Moute),,46-47,,
10:14.0,,,46-47,,R. Covington misses 3-pt shot from 24 ft
10:13.0,Defensive rebound by N. Hilario,,46-47,,
10:01.0,,,46-47,,Personal foul by N. Noel (drawn by N. Hilario)
9:57.0,J. Wall misses 2-pt shot from 18 ft,,46-47,,
9:55.0,,,46-47,,Defensive rebound by L. Mbah a Moute
9:49.0,,,46-47,,Turnover by I. Canaan (lost ball)
9:31.0,N. Hilario misses 2-pt shot from 9 ft,,46-47,,
9:29.0,Offensive rebound by M. Gortat,,46-47,,
9:27.0,M. Gortat makes 2-pt shot at rim,2,48-47,,
9:18.0,,,48-47,,N. Noel misses 2-pt shot from 6 ft
9:17.0,Defensive rebound by N. Hilario,,48-47,,
9:13.0,Shooting foul by I. Canaan (drawn by J. Wall),,48-47,,
9:13.0,J. Wall makes free throw 1 of 2,1,49-47,,
9:13.0,J. Wall makes free throw 2 of 2,1,50-47,,
9:06.0,,,50-47,,I. Canaan misses 2-pt shot from 1 ft (block by G. Temple)
9:06.0,,,50-47,,Offensive rebound by Team
8:52.0,,,50-47,,I. Canaan misses 3-pt shot from 26 ft
8:50.0,Defensive rebound by M. Gortat,,50-47,,
8:28.0,M. Gortat misses 2-pt shot from 12 ft,,50-47,,
8:26.0,,,50-47,,Defensive rebound by L. Mbah a Moute
8:09.0,,,50-47,,Turnover by J. Richardson (lost ball; steal by J. Wall)
8:05.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,52-47,,
8:05.0,Shooting foul by R. Covington (drawn by O. Porter),,52-47,,
8:05.0,O. Porter makes free throw 1 of 1,1,53-47,,
8:05.0,,,53-47,,Philadelphia full timeout
8:05.0,,,53-47,,I. Smith enters the game for I. Canaan
7:48.0,,,53-47,,Turnover by L. Mbah a Moute (bad pass; steal by N. Hilario)
7:41.0,G. Temple misses 3-pt shot from 24 ft,,53-47,,
7:40.0,,,53-47,,Defensive rebound by R. Covington
7:26.0,Personal foul by N. Hilario (drawn by N. Noel),,53-47,,
7:26.0,D. Gooden enters the game for N. Hilario,,53-47,,
7:17.0,,,53-50,3,J. Richardson makes 3-pt shot from 23 ft
6:58.0,O. Porter misses 2-pt shot from 17 ft,,53-50,,
6:57.0,Offensive rebound by D. Gooden,,53-50,,
6:57.0,D. Gooden makes 2-pt shot from 2 ft,2,55-50,,
6:38.0,,,55-53,3,R. Covington makes 3-pt shot from 23 ft (assist by I. Smith)
6:22.0,Turnover by M. Gortat (lost ball; steal by N. Noel),,55-53,,
6:17.0,,,55-55,2,I. Smith makes 2-pt shot from 2 ft (assist by J. Richardson)
5:55.0,J. Wall misses 2-pt shot from 16 ft,,55-55,,
5:52.0,,,55-55,,Defensive rebound by J. Richardson
5:42.0,,,55-55,,J. Richardson misses 3-pt shot from 27 ft
5:40.0,Defensive rebound by M. Gortat,,55-55,,
5:35.0,D. Gooden misses 2-pt shot from 15 ft,,55-55,,
5:34.0,,,55-55,,Defensive rebound by N. Noel
5:25.0,,,55-55,,Shooting foul by G. Temple (drawn by I. Smith)
5:25.0,,,55-56,1,I. Smith makes free throw 1 of 2
5:25.0,,,55-56,,H. Thompson enters the game for J. Richardson
5:25.0,,,55-56,,I. Smith misses free throw 2 of 2
5:24.0,Defensive rebound by M. Gortat,,55-56,,
5:10.0,M. Gortat misses 2-pt shot from 2 ft (block by N. Noel),,55-56,,
5:08.0,,,55-56,,Defensive rebound by H. Thompson
5:03.0,,,55-56,,R. Covington misses 3-pt shot from 25 ft
5:02.0,Defensive rebound by Team,,55-56,,
4:41.0,O. Porter misses 2-pt shot from 23 ft,,55-56,,
4:39.0,,,55-56,,Defensive rebound by N. Noel
4:29.0,,,55-56,,Turnover by I. Smith (bad pass; steal by O. Porter)
4:25.0,J. Wall makes 2-pt shot at rim (assist by G. Temple),2,57-56,,
3:59.0,,,57-56,,R. Covington misses 3-pt shot from 25 ft
3:57.0,Defensive rebound by M. Gortat,,57-56,,
3:39.0,Turnover by J. Wall (bad pass; steal by N. Noel),,57-56,,
3:37.0,Personal foul by D. Gooden (drawn by H. Thompson),,57-56,,
3:37.0,,,57-56,,J. Grant enters the game for R. Covington
3:37.0,,,57-56,,T. Robinson enters the game for L. Mbah a Moute
3:37.0,,,57-56,,J. McGee enters the game for N. Noel
3:36.0,R. Butler enters the game for G. Temple,,57-56,,
3:27.0,,,57-56,,I. Smith misses 2-pt shot from 11 ft
3:23.0,,,57-56,,Offensive rebound by T. Robinson
3:23.0,,,57-58,2,T. Robinson makes 2-pt shot from 1 ft
3:04.0,J. Wall misses 2-pt shot from 11 ft,,57-58,,
3:03.0,,,57-58,,Defensive rebound by T. Robinson
2:46.0,,,57-58,,T. Robinson misses 2-pt shot from 19 ft
2:44.0,Defensive rebound by R. Butler,,57-58,,
2:34.0,R. Butler makes 2-pt shot from 16 ft (assist by J. Wall),2,59-58,,
2:08.0,,,59-60,2,J. Grant makes 2-pt shot from 1 ft
2:07.0,Washington full timeout,,59-60,,
2:07.0,K. Seraphin enters the game for J. Wall,,59-60,,
2:07.0,R. Sessions enters the game for M. Gortat,,59-60,,
1:49.0,R. Butler misses 2-pt shot from 19 ft,,59-60,,
1:49.0,Offensive rebound by Team,,59-60,,
1:49.0,,,59-60,,Loose ball foul by T. Robinson (drawn by D. Gooden)
1:49.0,D. Gooden makes free throw 1 of 2,1,60-60,,
1:49.0,D. Gooden makes free throw 2 of 2,1,61-60,,
1:34.0,,,61-60,,H. Thompson misses 3-pt shot from 26 ft
1:33.0,,,61-60,,Offensive rebound by T. Robinson
1:14.0,,,61-60,,J. Grant misses 3-pt shot from 26 ft
1:12.0,Defensive rebound by D. Gooden,,61-60,,
1:01.0,R. Butler misses 3-pt shot from 25 ft,,61-60,,
1:00.0,,,61-60,,Defensive rebound by T. Robinson
0:43.0,,,61-63,3,H. Thompson makes 3-pt shot from 25 ft (assist by T. Robinson)
0:31.0,Turnover by O. Porter (step out of bounds),,61-63,,
0:18.0,,,61-63,,I. Smith misses 2-pt shot from 12 ft
0:15.0,Defensive rebound by D. Gooden,,61-63,,
0:02.0,O. Porter misses 3-pt shot from 23 ft,,61-63,,
0:00.0,,,61-63,,Defensive rebound by T. Robinson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Turnover by R. Sessions (lost ball),,61-63,,
11:33.0,,,61-63,,Shooting foul by D. Gooden (drawn by T. Robinson)
11:33.0,,,61-64,1,T. Robinson makes free throw 1 of 2
11:33.0,,,61-65,1,T. Robinson makes free throw 2 of 2
11:14.0,K. Seraphin misses 2-pt shot from 15 ft,,61-65,,
11:12.0,,,61-65,,Defensive rebound by I. Smith
11:03.0,,,61-65,,Offensive foul by T. Robinson
11:03.0,,,61-65,,Turnover by T. Robinson (offensive foul)
11:03.0,N. Hilario enters the game for D. Gooden,,61-65,,
11:03.0,J. Wall enters the game for O. Porter,,61-65,,
11:03.0,,,61-65,,I. Canaan enters the game for I. Smith
10:53.0,R. Butler misses 2-pt shot from 14 ft,,61-65,,
10:51.0,Offensive rebound by N. Hilario,,61-65,,
10:45.0,Turnover by N. Hilario (bad pass),,61-65,,
10:26.0,,,61-65,,J. Grant misses 2-pt shot from 3 ft
10:25.0,,,61-65,,Offensive rebound by J. McGee
10:25.0,,,61-65,,J. McGee misses 2-pt shot from 1 ft
10:24.0,,,61-65,,Offensive rebound by T. Robinson
10:24.0,,,61-65,,Shooting foul by K. Seraphin (drawn by T. Robinson)
10:24.0,,,61-65,,T. Robinson misses free throw 1 of 2
10:24.0,,,61-65,,Offensive rebound by Team
10:24.0,,,61-66,1,T. Robinson makes free throw 2 of 2
10:13.0,Turnover by J. Wall (bad pass; steal by T. Robinson),,61-66,,
10:10.0,,,61-67,1,T. Robinson makes flagrant free throw 1 of 2
10:10.0,,,61-68,1,T. Robinson makes flagrant free throw 2 of 2
10:02.0,,,61-68,,Shooting foul by K. Seraphin (drawn by J. McGee)
10:02.0,,,61-68,,J. McGee misses free throw 1 of 2
10:02.0,,,61-68,,Offensive rebound by Team
10:02.0,,,61-68,,R. Covington enters the game for H. Thompson
10:02.0,,,61-69,1,J. McGee makes free throw 2 of 2
9:43.0,K. Seraphin misses 2-pt shot from 15 ft,,61-69,,
9:41.0,,,61-69,,Defensive rebound by I. Canaan
9:34.0,,,61-69,,J. McGee misses 2-pt shot from 15 ft
9:32.0,Defensive rebound by J. Wall,,61-69,,
9:24.0,,,61-69,,H. Thompson enters the game for R. Covington
9:24.0,O. Porter enters the game for R. Butler,,61-69,,
9:16.0,O. Porter makes 2-pt shot from 12 ft (assist by J. Wall),2,63-69,,
8:55.0,,,63-69,,T. Robinson misses 2-pt shot from 17 ft
8:54.0,Defensive rebound by J. Wall,,63-69,,
8:42.0,R. Sessions misses 2-pt shot from 15 ft,,63-69,,
8:41.0,Offensive rebound by K. Seraphin,,63-69,,
8:41.0,,,63-69,,Loose ball foul by J. Grant (drawn by K. Seraphin)
8:41.0,Official timeout,,63-69,,
8:41.0,,,63-69,,N. Noel enters the game for J. McGee
8:41.0,,,63-69,,L. Mbah a Moute enters the game for T. Robinson
8:41.0,M. Gortat enters the game for K. Seraphin,,63-69,,
8:30.0,O. Porter makes 2-pt shot from 8 ft (assist by J. Wall),2,65-69,,
8:13.0,,,65-72,3,J. Grant makes 3-pt shot from 25 ft (assist by L. Mbah a Moute)
7:59.0,Shooting foul by I. Canaan (drawn by R. Sessions),,65-72,,
7:59.0,R. Sessions makes free throw 1 of 2,1,66-72,,
7:59.0,R. Sessions makes free throw 2 of 2,1,67-72,,
7:39.0,,,67-72,,Offensive charge foul by J. Grant
7:39.0,,,67-72,,Turnover by J. Grant (offensive foul)
7:26.0,J. Wall misses 2-pt shot from 16 ft,,67-72,,
7:24.0,Offensive rebound by M. Gortat,,67-72,,
7:16.0,R. Sessions makes 3-pt shot from 25 ft (assist by J. Wall),3,70-72,,
7:07.0,,,70-72,,Turnover by N. Noel (traveling)
6:55.0,M. Gortat misses 2-pt shot from 16 ft,,70-72,,
6:54.0,,,70-72,,Defensive rebound by Team
6:54.0,,,70-72,,I. Smith enters the game for I. Canaan
6:36.0,,,70-72,,N. Noel misses 2-pt shot from 9 ft
6:36.0,Defensive rebound by Team,,70-72,,
6:21.0,O. Porter misses 2-pt shot from 20 ft,,70-72,,
6:19.0,,,70-72,,Defensive rebound by J. Grant
6:13.0,,,70-72,,Turnover by J. Grant (bad pass)
5:54.0,R. Sessions misses 2-pt shot from 12 ft,,70-72,,
5:52.0,,,70-72,,Defensive rebound by L. Mbah a Moute
5:49.0,,,70-72,,Shooting foul by M. Gortat (drawn by I. Smith)
5:49.0,,,70-72,,Philadelphia full timeout
5:49.0,,,70-72,,J. Richardson enters the game for H. Thompson
5:49.0,,,70-72,,I. Smith misses free throw 1 of 2
