time,Atlanta,pts.away,score,pts.home,Memphis
2:38.0,D. Schroder makes 3-pt shot from 24 ft,3,14-18,,
2:11.0,,,14-18,,T. Allen misses 2-pt shot from 22 ft
2:10.0,Defensive rebound by K. Bazemore,,14-18,,
1:54.0,M. Scott misses 3-pt shot from 25 ft,,14-18,,
1:53.0,,,14-18,,Defensive rebound by C. Lee
1:42.0,,,14-18,,Z. Randolph misses 2-pt shot from 1 ft
1:40.0,Defensive rebound by D. Carroll,,14-18,,
1:30.0,D. Carroll misses 3-pt shot from 25 ft,,14-18,,
1:29.0,,,14-18,,Defensive rebound by K. Koufos
1:19.0,,,14-18,,K. Koufos misses 2-pt shot from 8 ft
1:19.0,Defensive rebound by Team,,14-18,,
1:19.0,,,14-18,,Loose ball foul by Z. Randolph (drawn by P. Antic)
1:19.0,,,14-18,,J. Leuer enters the game for Z. Randolph
1:19.0,,,14-18,,N. Calathes enters the game for C. Lee
1:19.0,A. Horford enters the game for D. Carroll,,14-18,,
1:19.0,K. Korver enters the game for P. Antic,,14-18,,
1:06.0,A. Horford misses 2-pt shot at rim,,14-18,,
1:05.0,,,14-18,,Defensive rebound by N. Calathes
0:52.0,,,14-20,2,B. Udrih makes 2-pt shot from 17 ft
0:41.0,M. Scott makes 2-pt shot at rim (assist by D. Schroder),2,16-20,,
0:23.0,,,16-20,,K. Koufos misses 2-pt shot from 19 ft
0:22.0,Defensive rebound by A. Horford,,16-20,,
0:01.0,D. Schroder misses 2-pt shot from 21 ft,,16-20,,
0:00.0,Offensive rebound by Team,,16-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,16-20,,T. Allen misses 2-pt shot at rim
11:44.0,,,16-20,,Offensive rebound by K. Koufos
11:44.0,,,16-20,,Shooting foul by K. Bazemore (drawn by K. Koufos)
11:44.0,,,16-21,1,K. Koufos makes free throw 1 of 2
11:44.0,,,16-22,1,K. Koufos makes free throw 2 of 2
11:28.0,K. Bazemore misses 3-pt shot from 22 ft,,16-22,,
11:27.0,,,16-22,,Defensive rebound by N. Calathes
11:13.0,,,16-22,,B. Udrih misses 3-pt shot from 25 ft
11:12.0,Defensive rebound by D. Schroder,,16-22,,
10:58.0,K. Bazemore misses 3-pt shot from 22 ft,,16-22,,
10:57.0,Offensive rebound by M. Scott,,16-22,,
10:47.0,D. Schroder makes 2-pt shot from 1 ft,2,18-22,,
10:47.0,Shooting foul by N. Calathes (drawn by D. Schroder),,18-22,,
10:47.0,D. Schroder makes free throw 1 of 1,1,19-22,,
10:28.0,,,19-22,,B. Udrih misses 2-pt shot from 21 ft
10:27.0,,,19-22,,Offensive rebound by T. Allen
10:14.0,,,19-22,,N. Calathes misses 2-pt shot from 19 ft
10:13.0,,,19-22,,Offensive rebound by Team
10:10.0,,,19-24,2,J. Leuer makes 2-pt shot from 13 ft (assist by T. Allen)
9:57.0,A. Horford misses 2-pt shot from 19 ft,,19-24,,
9:55.0,,,19-24,,Defensive rebound by J. Leuer
9:44.0,,,19-24,,B. Udrih misses 2-pt shot from 9 ft
9:42.0,,,19-24,,Offensive rebound by T. Allen
9:42.0,,,19-26,2,T. Allen makes 2-pt shot at rim
9:13.0,D. Schroder misses 3-pt shot from 22 ft,,19-26,,
9:12.0,,,19-26,,Defensive rebound by N. Calathes
9:06.0,,,19-26,,N. Calathes misses 2-pt shot at rim
9:03.0,Jump ball: T. Allen vs. K. Bazemore,,,,Jump ball: T. Allen vs. K. Bazemore
9:03.0,Defensive rebound by Team,,19-26,,
8:54.0,Shooting foul by K. Koufos (drawn by A. Horford),,19-26,,
8:54.0,Atlanta full timeout,,19-26,,
8:54.0,A. Horford makes free throw 1 of 2,1,20-26,,
8:54.0,A. Horford makes free throw 2 of 2,1,21-26,,
8:41.0,,,21-26,,K. Koufos misses 2-pt shot at rim
8:40.0,Defensive rebound by K. Bazemore,,21-26,,
8:32.0,M. Scott makes 3-pt shot from 25 ft (assist by D. Schroder),3,24-26,,
8:18.0,,,24-28,2,B. Udrih makes 2-pt shot from 20 ft (assist by N. Calathes)
8:04.0,Turnover by D. Schroder (lost ball; steal by N. Calathes),,24-28,,
8:00.0,,,24-30,2,J. Leuer makes 2-pt shot at rim (assist by N. Calathes)
7:45.0,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Schroder),3,27-30,,
7:23.0,,,27-30,,B. Udrih misses 2-pt shot from 15 ft
7:22.0,,,27-30,,Offensive rebound by J. Leuer
7:07.0,,,27-30,,J. Leuer misses 3-pt shot from 25 ft
7:06.0,,,27-30,,Offensive rebound by K. Koufos
7:06.0,,,27-32,2,K. Koufos makes 2-pt shot from 1 ft
6:50.0,Turnover by A. Horford (lost ball; steal by T. Allen),,27-32,,
6:42.0,,,27-32,,B. Udrih misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by A. Horford,,27-32,,
6:37.0,,,27-32,,J. Green enters the game for T. Allen
6:37.0,,,27-32,,M. Gasol enters the game for K. Koufos
6:37.0,D. Carroll enters the game for A. Horford,,27-32,,
6:37.0,J. Teague enters the game for K. Bazemore,,27-32,,
6:37.0,P. Millsap enters the game for D. Schroder,,27-32,,
6:21.0,J. Teague makes 2-pt shot from 17 ft,2,29-32,,
6:00.0,,,29-32,,N. Calathes misses 3-pt shot from 24 ft
5:59.0,Defensive rebound by P. Millsap,,29-32,,
5:43.0,Shooting foul by J. Leuer (drawn by D. Carroll),,29-32,,
5:43.0,,,29-32,,Memphis full timeout
5:43.0,P. Antic enters the game for K. Korver,,29-32,,
5:43.0,K. Bazemore enters the game for M. Scott,,29-32,,
5:43.0,,,29-32,,M. Conley enters the game for B. Udrih
5:43.0,,,29-32,,Z. Randolph enters the game for J. Leuer
5:43.0,D. Carroll makes free throw 1 of 2,1,30-32,,
5:43.0,D. Carroll makes free throw 2 of 2,1,31-32,,
5:27.0,,,31-32,,J. Green misses 2-pt shot from 18 ft
5:25.0,Defensive rebound by P. Antic,,31-32,,
5:12.0,Shooting foul by J. Green (drawn by K. Bazemore),,31-32,,
5:12.0,K. Bazemore makes free throw 1 of 2,1,32-32,,
5:12.0,,,32-32,,C. Lee enters the game for N. Calathes
5:12.0,K. Bazemore makes free throw 2 of 2,1,33-32,,
4:54.0,,,33-34,2,Z. Randolph makes 2-pt shot at rim (assist by M. Gasol)
4:41.0,J. Teague makes 2-pt shot from 1 ft,2,35-34,,
4:23.0,,,35-34,,Z. Randolph misses 2-pt shot from 1 ft
4:22.0,Defensive rebound by P. Antic,,35-34,,
4:16.0,,,35-34,,Violation by J. Green (kicked ball)
4:05.0,P. Millsap makes 2-pt shot from 6 ft,2,37-34,,
3:55.0,Personal foul by D. Carroll (drawn by J. Green),,37-34,,
3:41.0,,,37-34,,M. Gasol misses 2-pt shot from 6 ft
3:39.0,Defensive rebound by P. Millsap,,37-34,,
3:34.0,Turnover by P. Millsap (bad pass; steal by Z. Randolph),,37-34,,
3:30.0,,,37-36,2,C. Lee makes 2-pt shot at rim (assist by Z. Randolph)
3:28.0,Atlanta full timeout,,37-36,,
3:28.0,A. Horford enters the game for D. Carroll,,37-36,,
3:28.0,K. Korver enters the game for P. Millsap,,37-36,,
3:03.0,K. Korver misses 3-pt shot from 23 ft,,37-36,,
3:02.0,,,37-36,,Defensive rebound by C. Lee
2:45.0,,,37-36,,M. Gasol misses 2-pt shot from 1 ft
2:43.0,,,37-36,,Offensive rebound by Z. Randolph
2:43.0,,,37-36,,Z. Randolph misses 2-pt shot at rim
2:41.0,Defensive rebound by A. Horford,,37-36,,
2:35.0,K. Bazemore misses 2-pt shot from 1 ft,,37-36,,
2:34.0,,,37-36,,Defensive rebound by M. Gasol
2:26.0,,,37-38,2,M. Conley makes 2-pt shot at rim
2:17.0,J. Teague misses 2-pt shot at rim,,37-38,,
2:16.0,,,37-38,,Defensive rebound by Z. Randolph
1:58.0,,,37-38,,Z. Randolph misses 2-pt shot from 12 ft
1:57.0,Defensive rebound by K. Korver,,37-38,,
1:50.0,J. Teague makes 2-pt shot at rim,2,39-38,,
1:25.0,,,39-38,,M. Conley misses 3-pt shot from 26 ft
1:24.0,Defensive rebound by K. Bazemore,,39-38,,
1:16.0,A. Horford makes 2-pt shot from 18 ft (assist by J. Teague),2,41-38,,
1:15.0,,,41-38,,Memphis full timeout
1:00.0,,,41-40,2,M. Gasol makes 2-pt shot from 8 ft (assist by Z. Randolph)
0:48.0,P. Antic misses 3-pt shot from 25 ft,,41-40,,
0:47.0,,,41-40,,Defensive rebound by Z. Randolph
0:40.0,,,41-40,,Turnover by M. Conley (bad pass; steal by P. Antic)
0:29.0,P. Antic makes 2-pt shot from 1 ft (assist by J. Teague),2,43-40,,
0:10.0,,,43-42,2,M. Conley makes 2-pt shot from 8 ft
0:01.0,J. Teague misses 3-pt shot from 28 ft,,43-42,,
0:00.0,Offensive rebound by Team,,43-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,43-44,2,Z. Randolph makes 2-pt shot at rim (assist by M. Gasol)
11:23.0,A. Horford makes 2-pt shot from 14 ft (assist by J. Teague),2,45-44,,
11:10.0,,,45-44,,J. Green misses 3-pt shot from 24 ft
11:09.0,,,45-44,,Offensive rebound by Z. Randolph
11:07.0,Personal foul by J. Teague (drawn by Z. Randolph),,45-44,,
11:03.0,,,45-44,,C. Lee misses 2-pt shot at rim
11:02.0,Defensive rebound by A. Horford,,45-44,,
10:56.0,Shooting foul by M. Conley (drawn by J. Teague),,45-44,,
10:56.0,J. Teague makes free throw 1 of 2,1,46-44,,
10:56.0,J. Teague misses free throw 2 of 2,,46-44,,
10:55.0,,,46-44,,Defensive rebound by Z. Randolph
10:32.0,,,46-46,2,M. Conley makes 2-pt shot from 7 ft
10:16.0,P. Millsap misses 2-pt shot from 13 ft,,46-46,,
10:15.0,,,46-46,,Defensive rebound by M. Gasol
9:57.0,,,46-46,,J. Green misses 2-pt shot at rim (block by P. Millsap)
9:54.0,Defensive rebound by D. Carroll,,46-46,,
9:48.0,D. Carroll misses 3-pt shot from 23 ft,,46-46,,
9:46.0,Offensive rebound by D. Carroll,,46-46,,
9:37.0,D. Carroll makes 3-pt shot from 23 ft (assist by J. Teague),3,49-46,,
9:13.0,,,49-46,,Shooting foul by A. Horford (drawn by M. Gasol)
9:13.0,,,49-47,1,M. Gasol makes free throw 1 of 2
9:13.0,,,49-48,1,M. Gasol makes free throw 2 of 2
8:58.0,Turnover by J. Teague (lost ball; steal by M. Conley),,49-48,,
8:57.0,Violation by J. Teague (kicked ball),,49-48,,
8:41.0,,,49-48,,C. Lee misses 3-pt shot from 24 ft
8:40.0,Defensive rebound by A. Horford,,49-48,,
8:31.0,P. Millsap misses 2-pt shot at rim,,49-48,,
8:30.0,,,49-48,,Defensive rebound by M. Gasol
8:26.0,,,49-50,2,J. Green makes 2-pt shot at rim (assist by M. Conley)
8:11.0,A. Horford misses 2-pt shot from 10 ft,,49-50,,
8:10.0,,,49-50,,Defensive rebound by Z. Randolph
7:57.0,,,49-50,,M. Conley misses 2-pt shot from 20 ft
7:56.0,Defensive rebound by A. Horford,,49-50,,
7:51.0,,,49-50,,Violation by M. Gasol (kicked ball)
7:44.0,Turnover by J. Teague (bad pass; steal by Z. Randolph),,49-50,,
7:40.0,,,49-50,,C. Lee misses 2-pt shot at rim
7:38.0,Defensive rebound by K. Korver,,49-50,,
7:30.0,J. Teague misses 2-pt shot at rim (block by M. Gasol),,49-50,,
7:28.0,Offensive rebound by A. Horford,,49-50,,
7:27.0,A. Horford misses 2-pt shot at rim,,49-50,,
7:27.0,,,49-50,,Defensive rebound by Team
7:11.0,,,49-50,,M. Gasol misses 2-pt shot from 12 ft
7:08.0,,,49-50,,Offensive rebound by J. Green
7:08.0,,,49-52,2,J. Green makes 2-pt shot at rim
7:08.0,Atlanta full timeout,,49-52,,
6:47.0,D. Carroll makes 2-pt shot from 4 ft,2,51-52,,
6:29.0,,,51-52,,M. Gasol misses 2-pt shot from 1 ft (block by P. Millsap)
6:28.0,Defensive rebound by A. Horford,,51-52,,
6:25.0,Turnover by A. Horford (bad pass; steal by M. Conley),,51-52,,
6:22.0,,,51-54,2,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Conley)
6:16.0,D. Carroll makes 3-pt shot from 25 ft (assist by J. Teague),3,54-54,,
5:55.0,,,54-54,,J. Green misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by D. Carroll,,54-54,,
5:45.0,K. Korver makes 3-pt shot from 26 ft (assist by D. Carroll),3,57-54,,
5:34.0,,,57-54,,Memphis full timeout
5:34.0,K. Bazemore enters the game for A. Horford,,57-54,,
5:34.0,P. Antic enters the game for K. Korver,,57-54,,
5:34.0,,,57-54,,T. Allen enters the game for J. Green
5:23.0,,,57-54,,C. Lee misses 2-pt shot from 20 ft
5:21.0,,,57-54,,Offensive rebound by Z. Randolph
5:21.0,,,57-54,,Z. Randolph misses 2-pt shot at rim
5:19.0,Defensive rebound by P. Millsap,,57-54,,
5:13.0,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap),2,59-54,,
4:57.0,,,59-54,,Turnover by C. Lee (bad pass)
4:49.0,P. Millsap misses 2-pt shot from 15 ft,,59-54,,
4:47.0,,,59-54,,Defensive rebound by Z. Randolph
4:42.0,,,59-54,,Shooting foul by P. Millsap (drawn by M. Conley)
4:42.0,,,59-55,1,M. Conley makes free throw 1 of 2
4:42.0,,,59-56,1,M. Conley makes free throw 2 of 2
4:25.0,J. Teague makes 2-pt shot from 1 ft,2,61-56,,
4:07.0,,,61-56,,T. Allen misses 2-pt shot at rim
4:06.0,Defensive rebound by K. Bazemore,,61-56,,
4:04.0,Shooting foul by C. Lee (drawn by J. Teague),,61-56,,
4:04.0,J. Teague makes free throw 1 of 2,1,62-56,,
4:04.0,,,62-56,,B. Udrih enters the game for M. Conley
4:04.0,J. Teague makes free throw 2 of 2,1,63-56,,
3:51.0,,,63-56,,Z. Randolph misses 2-pt shot from 2 ft
3:50.0,,,63-56,,Offensive rebound by Team
3:50.0,Loose ball foul by K. Bazemore (drawn by T. Allen),,63-56,,
3:50.0,D. Schroder enters the game for J. Teague,,63-56,,
3:45.0,,,63-58,2,Z. Randolph makes 2-pt shot from 1 ft
3:26.0,K. Bazemore misses 2-pt shot from 6 ft,,63-58,,
3:24.0,,,63-58,,Defensive rebound by Z. Randolph
3:19.0,Jump ball: K. Bazemore vs. B. Udrih (D. Schroder gains possession),,,,Jump ball: K. Bazemore vs. B. Udrih (D. Schroder gains possession)
3:19.0,,,63-58,,Turnover by B. Udrih (lost ball; steal by K. Bazemore)
3:08.0,D. Carroll misses 3-pt shot from 25 ft,,63-58,,
3:07.0,,,63-58,,Defensive rebound by T. Allen
2:55.0,,,63-58,,Turnover by M. Gasol (bad pass)
2:46.0,,,63-58,,Personal foul by C. Lee (drawn by D. Carroll)
2:35.0,D. Schroder misses 2-pt shot from 7 ft,,63-58,,
2:34.0,,,63-58,,Defensive rebound by M. Gasol
2:18.0,,,63-58,,T. Allen misses 2-pt shot from 1 ft (block by P. Antic)
2:15.0,,,63-58,,Offensive rebound by B. Udrih
2:13.0,,,63-58,,Shooting foul by D. Schroder (drawn by B. Udrih)
2:13.0,,,63-59,1,B. Udrih makes free throw 1 of 2
2:13.0,K. Korver enters the game for D. Carroll,,63-59,,
2:13.0,,,63-60,1,B. Udrih makes free throw 2 of 2
2:03.0,,,63-60,,K. Koufos enters the game for Z. Randolph
2:01.0,D. Schroder misses 2-pt shot from 13 ft,,63-60,,
2:00.0,,,63-60,,Defensive rebound by K. Koufos
1:47.0,,,63-62,2,M. Gasol makes 2-pt shot at rim
1:29.0,D. Schroder misses 2-pt shot at rim,,63-62,,
1:27.0,,,63-62,,Defensive rebound by M. Gasol
1:23.0,,,63-62,,Shooting foul by K. Korver (drawn by T. Allen)
1:23.0,,,63-62,,T. Allen misses free throw 1 of 2
1:23.0,,,63-62,,Offensive rebound by Team
1:23.0,A. Horford enters the game for P. Millsap,,63-62,,
1:23.0,,,63-62,,M. Conley enters the game for C. Lee
1:23.0,,,63-63,1,T. Allen makes free throw 2 of 2
1:09.0,P. Antic misses 3-pt shot from 24 ft,,63-63,,
1:08.0,,,63-63,,Defensive rebound by Team
0:57.0,,,63-65,2,M. Conley makes 2-pt shot at rim
0:33.0,D. Schroder makes 3-pt shot from 25 ft (assist by A. Horford),3,66-65,,
0:26.0,,,66-65,,Turnover by K. Koufos (bad pass; steal by K. Korver)
0:21.0,K. Bazemore misses 2-pt shot at rim,,66-65,,
0:20.0,,,66-65,,Defensive rebound by Team
0:20.0,,,66-65,,C. Lee enters the game for T. Allen
0:20.0,D. Carroll enters the game for K. Korver,,66-65,,
0:05.0,,,66-65,,M. Conley misses 2-pt shot from 1 ft
0:04.0,,,66-65,,Offensive rebound by K. Koufos
0:04.0,,,66-67,2,K. Koufos makes 2-pt shot at rim
0:02.0,Offensive foul by A. Horford,,66-67,,
0:02.0,Turnover by A. Horford (offensive foul),,66-67,,
0:02.0,,,66-67,,J. Green enters the game for B. Udrih
0:00.0,,,66-69,2,K. Koufos makes 2-pt shot at rim (assist by M. Conley)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,J. Teague makes 2-pt shot from 8 ft,2,68-69,,
11:19.0,,,68-69,,Turnover by B. Udrih (lost ball; steal by K. Bazemore)
11:14.0,K. Bazemore makes 2-pt shot at rim,2,70-69,,
11:02.0,,,70-71,2,T. Allen makes 2-pt shot at rim (assist by M. Gasol)
10:50.0,K. Korver makes 3-pt shot from 25 ft (assist by K. Bazemore),3,73-71,,
10:30.0,Def 3 sec tech foul by M. Scott,,73-71,,
10:30.0,,,73-72,1,M. Conley makes technical free throw
10:16.0,,,73-75,3,M. Conley makes 3-pt shot from 25 ft
10:02.0,M. Scott misses 2-pt shot from 15 ft,,73-75,,
10:01.0,,,73-75,,Defensive rebound by M. Gasol
9:43.0,Personal foul by K. Bazemore (drawn by M. Gasol),,73-75,,
9:37.0,,,73-78,3,M. Conley makes 3-pt shot from 25 ft (assist by B. Udrih)
9:18.0,J. Teague makes 2-pt shot from 7 ft,2,75-78,,
9:01.0,,,75-78,,M. Gasol misses 2-pt shot from 16 ft
9:00.0,,,75-78,,Offensive rebound by T. Allen
8:57.0,,,75-80,2,K. Koufos makes 2-pt shot at rim (assist by T. Allen)
8:49.0,Atlanta full timeout,,75-80,,
8:30.0,A. Horford misses 2-pt shot from 8 ft (block by K. Koufos),,75-80,,
8:30.0,,,75-80,,Defensive rebound by M. Gasol
8:05.0,,,75-80,,M. Gasol misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by A. Horford,,75-80,,
7:55.0,A. Horford misses 2-pt shot from 21 ft,,75-80,,
7:54.0,,,75-80,,Defensive rebound by K. Koufos
7:42.0,,,75-82,2,M. Gasol makes 2-pt shot from 19 ft (assist by B. Udrih)
7:26.0,M. Scott makes 3-pt shot from 25 ft (assist by K. Bazemore),3,78-82,,
7:05.0,,,78-82,,M. Gasol misses 2-pt shot from 9 ft
7:03.0,Defensive rebound by K. Korver,,78-82,,
6:49.0,K. Bazemore makes 3-pt shot from 22 ft (assist by A. Horford),3,81-82,,
6:48.0,,,81-82,,Memphis full timeout
6:48.0,,,81-82,,N. Calathes enters the game for M. Gasol
6:48.0,,,81-82,,Z. Randolph enters the game for M. Conley
6:48.0,,,81-82,,C. Lee enters the game for B. Udrih
6:48.0,P. Millsap enters the game for A. Horford,,81-82,,
6:48.0,D. Carroll enters the game for J. Teague,,81-82,,
6:31.0,,,81-82,,N. Calathes misses 2-pt shot from 1 ft (block by P. Millsap)
6:29.0,Defensive rebound by P. Millsap,,81-82,,
6:17.0,K. Bazemore misses 2-pt shot from 5 ft,,81-82,,
6:15.0,,,81-82,,Defensive rebound by Z. Randolph
5:54.0,,,81-82,,Shooting foul by K. Korver (drawn by Z. Randolph)
5:54.0,,,81-82,,Z. Randolph misses free throw 1 of 2
5:54.0,,,81-82,,Offensive rebound by Team
5:54.0,,,81-83,1,Z. Randolph makes free throw 2 of 2
5:40.0,K. Korver misses 3-pt shot from 25 ft,,81-83,,
5:39.0,,,81-83,,Defensive rebound by K. Koufos
5:28.0,,,81-83,,C. Lee misses 2-pt shot from 10 ft
5:25.0,Defensive rebound by P. Millsap,,81-83,,
5:24.0,J. Teague enters the game for K. Korver,,81-83,,
5:12.0,,,81-83,,Personal foul by N. Calathes (drawn by J. Teague)
5:12.0,,,81-83,,J. Green enters the game for K. Koufos
5:00.0,P. Millsap misses 2-pt shot from 8 ft,,81-83,,
4:59.0,,,81-83,,Defensive rebound by J. Green
4:52.0,,,81-83,,Turnover by N. Calathes (bad pass; steal by P. Millsap)
4:46.0,K. Korver enters the game for K. Bazemore,,81-83,,
4:30.0,J. Teague makes 2-pt shot from 7 ft,2,83-83,,
4:24.0,Personal take foul by M. Scott (drawn by N. Calathes),,83-83,,
4:24.0,D. Schroder enters the game for J. Teague,,83-83,,
4:24.0,,,83-83,,M. Conley enters the game for N. Calathes
4:10.0,,,83-86,3,J. Green makes 3-pt shot from 23 ft (assist by M. Conley)
3:56.0,M. Scott misses 2-pt shot from 7 ft,,83-86,,
3:55.0,,,83-86,,Defensive rebound by C. Lee
3:47.0,,,83-86,,C. Lee misses 2-pt shot from 16 ft
3:46.0,,,83-86,,Offensive rebound by J. Green
3:43.0,,,83-86,,J. Green misses 2-pt shot from 1 ft
3:42.0,,,83-86,,Offensive rebound by J. Green
3:40.0,,,83-86,,J. Green misses 2-pt shot at rim (block by K. Korver)
3:39.0,Defensive rebound by K. Korver,,83-86,,
3:25.0,M. Scott makes 3-pt shot from 25 ft (assist by D. Carroll),3,86-86,,
3:00.0,,,86-86,,Z. Randolph misses 2-pt shot from 19 ft
2:59.0,Defensive rebound by D. Carroll,,86-86,,
2:48.0,D. Carroll misses 2-pt shot from 1 ft (block by T. Allen),,86-86,,
2:48.0,Offensive rebound by Team,,86-86,,
2:48.0,Atlanta full timeout,,86-86,,
2:48.0,,,86-86,,M. Gasol enters the game for C. Lee
2:48.0,J. Teague enters the game for D. Schroder,,86-86,,
2:48.0,A. Horford enters the game for M. Scott,,86-86,,
2:44.0,Turnover by A. Horford (bad pass),,86-86,,
2:30.0,,,86-86,,Z. Randolph misses 2-pt shot from 1 ft
2:28.0,,,86-86,,Offensive rebound by T. Allen
2:28.0,,,86-88,2,T. Allen makes 2-pt shot at rim
2:14.0,P. Millsap misses 2-pt shot from 5 ft,,86-88,,
2:13.0,,,86-88,,Defensive rebound by Team
1:57.0,,,86-88,,Turnover by T. Allen (offensive goaltending)
1:46.0,Turnover by K. Korver (back court),,86-88,,
1:29.0,,,86-88,,Shooting foul by D. Carroll (drawn by J. Green)
1:29.0,,,86-89,1,J. Green makes free throw 1 of 2
