time,Memphis,pts.away,score,pts.home,New Orleans
7:21.0,,,8-16,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Holiday)
7:05.0,C. Lee makes 2-pt shot from 20 ft (assist by M. Conley),2,10-16,,
6:47.0,,,10-16,,Shooting foul by Z. Randolph (drawn by A. Davis)
6:47.0,,,10-17,1,A. Davis makes free throw 1 of 2
6:47.0,T. Prince enters the game for T. Allen,,10-17,,
6:47.0,,,10-18,1,A. Davis makes free throw 2 of 2
6:24.0,Z. Randolph makes 2-pt shot from 1 ft,2,12-18,,
6:17.0,,,12-20,2,E. Gordon makes 2-pt shot from 2 ft (assist by J. Holiday)
6:17.0,Memphis full timeout,,12-20,,
6:17.0,B. Udrih enters the game for M. Conley,,12-20,,
6:01.0,C. Lee misses 2-pt shot from 20 ft,,12-20,,
6:00.0,Offensive rebound by Z. Randolph,,12-20,,
5:57.0,Z. Randolph makes 2-pt shot at rim,2,14-20,,
5:34.0,,,14-22,2,A. Davis makes 2-pt shot from 14 ft (assist by E. Gordon)
5:17.0,M. Gasol makes 2-pt shot from 2 ft,2,16-22,,
4:59.0,,,16-22,,Turnover by O. Asik (3 sec)
4:59.0,,,16-22,,T. Evans enters the game for E. Gordon
4:45.0,T. Prince misses 2-pt shot from 2 ft,,16-22,,
4:44.0,,,16-22,,Defensive rebound by A. Davis
4:22.0,,,16-25,3,J. Holiday makes 3-pt shot from 24 ft (assist by T. Evans)
4:05.0,B. Udrih misses 3-pt shot from 25 ft,,16-25,,
4:04.0,,,16-25,,Defensive rebound by A. Davis
3:54.0,,,16-25,,J. Holiday misses 2-pt shot from 20 ft
3:52.0,Defensive rebound by T. Prince,,16-25,,
3:38.0,M. Gasol makes 2-pt shot from 7 ft,2,18-25,,
3:19.0,,,18-25,,A. Davis misses 2-pt shot from 20 ft
3:18.0,Defensive rebound by C. Lee,,18-25,,
3:02.0,M. Gasol misses 2-pt shot from 18 ft,,18-25,,
3:01.0,,,18-25,,Defensive rebound by T. Evans
2:52.0,,,18-27,2,T. Evans makes 2-pt shot at rim
2:30.0,T. Prince misses 2-pt shot from 11 ft,,18-27,,
2:28.0,Offensive rebound by Z. Randolph,,18-27,,
2:26.0,Z. Randolph misses 2-pt shot from 2 ft (block by D. Cunningham),,18-27,,
2:24.0,,,18-27,,Defensive rebound by T. Evans
2:18.0,,,18-27,,D. Cunningham misses 2-pt shot from 20 ft
2:17.0,Defensive rebound by B. Udrih,,18-27,,
2:05.0,Shooting foul by T. Evans (drawn by M. Gasol),,18-27,,
2:05.0,,,18-27,,New Orleans full timeout
2:05.0,,,18-27,,R. Anderson enters the game for D. Cunningham
2:05.0,,,18-27,,A. Rivers enters the game for O. Asik
2:05.0,,,18-27,,L. Babbitt enters the game for J. Holiday
2:05.0,J. Leuer enters the game for Z. Randolph,,18-27,,
2:05.0,M. Gasol misses free throw 1 of 2,,18-27,,
2:05.0,Offensive rebound by Team,,18-27,,
2:05.0,M. Gasol makes free throw 2 of 2,1,19-27,,
1:48.0,,,19-27,,T. Evans misses 2-pt shot from 2 ft
1:47.0,,,19-27,,Offensive rebound by R. Anderson
1:47.0,,,19-29,2,R. Anderson makes 2-pt shot from 1 ft
1:31.0,Turnover by M. Gasol (bad pass),,19-29,,
1:14.0,,,19-29,,R. Anderson misses 3-pt shot from 26 ft
1:13.0,Defensive rebound by C. Lee,,19-29,,
1:06.0,C. Lee misses 2-pt shot from 8 ft,,19-29,,
1:06.0,Offensive rebound by M. Gasol,,19-29,,
1:06.0,,,19-29,,Loose ball foul by A. Davis (drawn by M. Gasol)
1:06.0,T. Allen enters the game for B. Udrih,,19-29,,
1:06.0,M. Conley enters the game for C. Lee,,19-29,,
1:06.0,,,19-29,,A. Ajinca enters the game for A. Davis
0:50.0,Turnover by T. Prince (bad pass),,19-29,,
0:33.0,,,19-29,,A. Rivers misses 2-pt shot from 8 ft
0:32.0,Defensive rebound by M. Gasol,,19-29,,
0:17.0,T. Prince misses 2-pt shot from 10 ft (block by A. Rivers),,19-29,,
0:15.0,Offensive rebound by T. Allen,,19-29,,
0:14.0,T. Allen misses 2-pt shot at rim (block by A. Ajinca),,19-29,,
0:13.0,,,19-29,,Defensive rebound by T. Evans
0:10.0,,,19-29,,Shooting foul by T. Allen (drawn by T. Evans)
0:10.0,,,19-30,1,T. Evans makes free throw 1 of 2
0:10.0,,,19-31,1,T. Evans makes free throw 2 of 2
0:01.0,M. Conley misses 2-pt shot from 16 ft,,19-31,,
0:00.0,,,19-31,,Defensive rebound by A. Ajinca
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,V. Carter misses 3-pt shot from 25 ft,,19-31,,
11:34.0,Offensive rebound by J. Leuer,,19-31,,
11:30.0,M. Conley makes 3-pt shot from 25 ft (assist by J. Leuer),3,22-31,,
11:09.0,,,22-31,,L. Babbitt misses 2-pt shot from 18 ft
11:08.0,Defensive rebound by J. Leuer,,22-31,,
11:05.0,,,22-31,,Personal foul by A. Rivers (drawn by T. Allen)
10:51.0,V. Carter makes 2-pt shot from 21 ft (assist by K. Koufos),2,24-31,,
10:34.0,,,24-31,,Shooting foul by T. Allen (drawn by T. Evans)
10:34.0,,,24-32,1,T. Evans makes free throw 1 of 2
10:34.0,,,24-33,1,T. Evans makes free throw 2 of 2
10:21.0,M. Conley misses 2-pt shot from 3 ft,,24-33,,
10:20.0,,,24-33,,Defensive rebound by R. Anderson
10:05.0,,,24-33,,L. Babbitt misses 3-pt shot from 25 ft
10:04.0,Defensive rebound by K. Koufos,,24-33,,
9:53.0,M. Conley misses 3-pt shot from 25 ft,,24-33,,
9:52.0,,,24-33,,Defensive rebound by L. Babbitt
9:33.0,,,24-33,,L. Babbitt misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by T. Allen,,24-33,,
9:22.0,Shooting foul by A. Rivers (drawn by M. Conley),,24-33,,
9:22.0,M. Conley makes free throw 1 of 2,1,25-33,,
9:22.0,,,25-33,,E. Gordon enters the game for L. Babbitt
9:22.0,M. Conley makes free throw 2 of 2,1,26-33,,
9:04.0,,,26-33,,R. Anderson misses 2-pt shot from 6 ft
9:04.0,Defensive rebound by K. Koufos,,26-33,,
9:04.0,,,26-33,,Loose ball foul by A. Ajinca (drawn by K. Koufos)
8:51.0,Turnover by K. Koufos (lost ball; steal by E. Gordon),,26-33,,
8:43.0,,,26-33,,E. Gordon misses 2-pt shot from 19 ft
8:42.0,Defensive rebound by J. Leuer,,26-33,,
8:37.0,Turnover by M. Conley (traveling),,26-33,,
8:37.0,Official timeout,,26-33,,
8:25.0,,,26-33,,Turnover by E. Gordon (lost ball; steal by T. Allen)
8:21.0,T. Allen makes 2-pt shot from 2 ft,2,28-33,,
8:02.0,,,28-33,,T. Evans misses 2-pt shot from 3 ft (block by J. Leuer)
8:01.0,Defensive rebound by J. Leuer,,28-33,,
7:46.0,Shooting foul by A. Ajinca (drawn by K. Koufos),,28-33,,
7:46.0,K. Koufos makes free throw 1 of 2,1,29-33,,
7:46.0,,,29-33,,J. Holiday enters the game for A. Rivers
7:46.0,,,29-33,,O. Asik enters the game for A. Ajinca
7:46.0,K. Koufos makes free throw 2 of 2,1,30-33,,
7:32.0,,,30-33,,J. Holiday misses 3-pt shot from 26 ft
7:31.0,Defensive rebound by Team,,30-33,,
7:15.0,V. Carter makes 2-pt shot from 18 ft,2,32-33,,
7:07.0,,,32-33,,Turnover by R. Anderson (offensive foul)
7:07.0,,,32-33,,Offensive foul by R. Anderson
6:45.0,V. Carter misses 3-pt shot from 24 ft,,32-33,,
6:42.0,,,32-33,,Defensive rebound by Team
6:24.0,,,32-36,3,R. Anderson makes 3-pt shot from 26 ft (assist by J. Holiday)
6:10.0,M. Conley misses 2-pt shot from 1 ft,,32-36,,
6:09.0,,,32-36,,Defensive rebound by T. Evans
6:04.0,,,32-38,2,T. Evans makes 2-pt shot from 1 ft
5:47.0,V. Carter misses 2-pt shot from 2 ft,,32-38,,
5:46.0,,,32-38,,Defensive rebound by T. Evans
5:36.0,,,32-40,2,T. Evans makes 2-pt shot from 2 ft (assist by J. Holiday)
5:36.0,Memphis full timeout,,32-40,,
5:36.0,M. Gasol enters the game for J. Leuer,,32-40,,
5:36.0,Z. Randolph enters the game for K. Koufos,,32-40,,
5:13.0,M. Gasol makes 2-pt shot from 14 ft,2,34-40,,
4:55.0,,,34-40,,R. Anderson misses 2-pt shot from 16 ft
4:54.0,Defensive rebound by V. Carter,,34-40,,
4:41.0,,,34-40,,Loose ball foul by O. Asik (drawn by V. Carter)
4:41.0,V. Carter makes free throw 1 of 2,1,35-40,,
4:41.0,,,35-40,,A. Davis enters the game for R. Anderson
4:41.0,V. Carter misses free throw 2 of 2,,35-40,,
4:40.0,,,35-40,,Defensive rebound by A. Davis
4:26.0,,,35-40,,Shooting foul by M. Gasol (drawn by A. Davis)
4:26.0,,,35-41,1,A. Davis makes free throw 1 of 2
4:26.0,,,35-41,,R. Anderson enters the game for O. Asik
4:26.0,,,35-41,,D. Cunningham enters the game for E. Gordon
4:26.0,B. Udrih enters the game for M. Conley,,35-41,,
4:26.0,,,35-42,1,A. Davis makes free throw 2 of 2
4:06.0,B. Udrih misses 2-pt shot from 19 ft,,35-42,,
4:04.0,,,35-42,,Defensive rebound by J. Holiday
3:59.0,,,35-45,3,R. Anderson makes 3-pt shot from 25 ft (assist by T. Evans)
3:38.0,V. Carter misses 3-pt shot from 25 ft,,35-45,,
3:36.0,,,35-45,,Defensive rebound by J. Holiday
3:26.0,,,35-45,,D. Cunningham misses 2-pt shot from 21 ft
3:25.0,,,35-45,,Offensive rebound by A. Davis
3:13.0,,,35-45,,A. Davis misses 2-pt shot from 7 ft
3:12.0,Defensive rebound by M. Gasol,,35-45,,
3:06.0,V. Carter misses 3-pt shot from 26 ft,,35-45,,
3:04.0,Offensive rebound by Z. Randolph,,35-45,,
3:03.0,Z. Randolph makes 2-pt shot from 2 ft,2,37-45,,
2:47.0,Personal foul by B. Udrih (drawn by J. Holiday),,37-45,,
2:47.0,,,37-45,,New Orleans full timeout
2:47.0,C. Lee enters the game for V. Carter,,37-45,,
2:47.0,T. Prince enters the game for T. Allen,,37-45,,
2:36.0,,,37-45,,Turnover by R. Anderson (lost ball; steal by Z. Randolph)
2:16.0,Z. Randolph misses 2-pt shot from 16 ft,,37-45,,
2:15.0,,,37-45,,Defensive rebound by D. Cunningham
2:00.0,,,37-45,,Shooting foul by C. Lee (drawn by T. Evans)
2:00.0,,,37-46,1,T. Evans makes free throw 1 of 2
2:00.0,,,37-46,,T. Evans misses free throw 2 of 2
1:59.0,Defensive rebound by Z. Randolph,,37-46,,
1:45.0,B. Udrih misses 2-pt shot from 3 ft (block by D. Cunningham),,37-46,,
1:44.0,,,37-46,,Defensive rebound by A. Davis
1:42.0,,,37-48,2,T. Evans makes 2-pt shot from 1 ft
1:42.0,,,37-48,,Shooting foul by C. Lee (drawn by T. Evans)
1:42.0,,,37-48,,T. Evans misses free throw 1 of 1
1:41.0,Defensive rebound by T. Prince,,37-48,,
1:19.0,M. Gasol makes 2-pt shot from 18 ft,2,39-48,,
1:02.0,,,39-48,,Turnover by R. Anderson (traveling)
1:02.0,M. Conley enters the game for B. Udrih,,39-48,,
1:02.0,,,39-48,,A. Ajinca enters the game for A. Davis
0:43.0,C. Lee misses 3-pt shot from 26 ft,,39-48,,
0:42.0,,,39-48,,Defensive rebound by T. Evans
0:29.0,,,39-48,,J. Holiday misses 3-pt shot from 25 ft
0:28.0,,,39-48,,Offensive rebound by D. Cunningham
0:11.0,,,39-48,,T. Evans misses 2-pt shot from 21 ft
0:10.0,,,39-48,,Offensive rebound by A. Ajinca
0:08.0,,,39-48,,A. Ajinca misses 2-pt shot from 1 ft
0:08.0,,,39-48,,Offensive rebound by A. Ajinca
0:08.0,,,39-50,2,A. Ajinca makes 2-pt shot from 1 ft
0:03.0,Turnover by M. Conley (lost ball; steal by J. Holiday),,39-50,,
0:00.0,,,39-52,2,J. Holiday makes 2-pt shot from 2 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Turnover by Z. Randolph (bad pass),,39-52,,
11:30.0,,,39-52,,Turnover by D. Cunningham (bad pass; steal by Z. Randolph)
11:15.0,M. Gasol misses 2-pt shot from 19 ft,,39-52,,
11:13.0,,,39-52,,Defensive rebound by J. Holiday
11:07.0,,,39-52,,Turnover by E. Gordon (bad pass; steal by M. Conley)
11:01.0,,,39-52,,Personal foul by J. Holiday (drawn by M. Gasol)
11:01.0,M. Gasol makes free throw 1 of 2,1,40-52,,
11:01.0,M. Gasol misses free throw 2 of 2,,40-52,,
10:59.0,,,40-52,,Defensive rebound by O. Asik
10:47.0,,,40-54,2,A. Davis makes 2-pt shot from 19 ft (assist by O. Asik)
10:29.0,M. Gasol makes 2-pt shot from 11 ft (assist by M. Conley),2,42-54,,
10:09.0,,,42-54,,D. Cunningham misses 2-pt shot from 3 ft (block by T. Allen)
10:07.0,Defensive rebound by Z. Randolph,,42-54,,
9:56.0,C. Lee makes 2-pt shot from 16 ft (assist by Z. Randolph),2,44-54,,
9:31.0,,,44-54,,A. Davis misses 2-pt shot from 20 ft
9:29.0,,,44-54,,Offensive rebound by D. Cunningham
9:27.0,,,44-54,,Shooting foul by M. Gasol (drawn by A. Davis)
9:27.0,,,44-55,1,A. Davis makes free throw 1 of 2
9:27.0,,,44-56,1,A. Davis makes free throw 2 of 2
9:08.0,T. Allen misses 3-pt shot from 23 ft,,44-56,,
9:07.0,Offensive rebound by Z. Randolph,,44-56,,
9:02.0,C. Lee misses 2-pt shot from 11 ft,,44-56,,
9:02.0,Offensive rebound by Team,,44-56,,
9:02.0,,,44-56,,Loose ball foul by J. Holiday (drawn by T. Allen)
8:49.0,M. Conley makes 3-pt shot from 25 ft (assist by C. Lee),3,47-56,,
8:40.0,Shooting block foul by M. Conley (drawn by J. Holiday),,47-56,,
8:40.0,,,47-57,1,J. Holiday makes free throw 1 of 2
8:40.0,,,47-58,1,J. Holiday makes free throw 2 of 2
8:30.0,Shooting foul by J. Holiday (drawn by T. Allen),,47-58,,
8:30.0,T. Allen makes free throw 1 of 2,1,48-58,,
8:30.0,T. Allen makes free throw 2 of 2,1,49-58,,
8:19.0,,,49-60,2,A. Davis makes 2-pt shot from 13 ft (assist by D. Cunningham)
8:10.0,Offensive foul by M. Gasol,,49-60,,
8:10.0,Turnover by M. Gasol (offensive foul),,49-60,,
8:10.0,K. Koufos enters the game for M. Gasol,,49-60,,
7:57.0,,,49-62,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
7:37.0,C. Lee misses 2-pt shot from 17 ft,,49-62,,
7:36.0,Offensive rebound by K. Koufos,,49-62,,
7:36.0,K. Koufos makes 2-pt shot from 1 ft,2,51-62,,
7:36.0,Shooting foul by E. Gordon (drawn by K. Koufos),,51-62,,
7:36.0,K. Koufos makes free throw 1 of 1,1,52-62,,
7:26.0,,,52-62,,A. Davis misses 2-pt shot from 18 ft
7:25.0,Defensive rebound by T. Allen,,52-62,,
7:11.0,K. Koufos makes 2-pt shot from 6 ft (assist by Z. Randolph),2,54-62,,
6:53.0,,,54-64,2,J. Holiday makes 2-pt shot from 16 ft
6:35.0,M. Conley makes 2-pt shot from 10 ft,2,56-64,,
6:35.0,Shooting foul by E. Gordon (drawn by M. Conley),,56-64,,
6:35.0,M. Conley makes free throw 1 of 1,1,57-64,,
6:22.0,,,57-64,,J. Holiday misses 3-pt shot from 24 ft
6:21.0,Defensive rebound by Z. Randolph,,57-64,,
6:11.0,M. Conley misses 2-pt shot from 5 ft (block by A. Davis),,57-64,,
6:09.0,,,57-64,,Defensive rebound by O. Asik
5:58.0,,,57-64,,A. Davis misses 2-pt shot from 20 ft
5:57.0,,,57-64,,Offensive rebound by D. Cunningham
5:55.0,,,57-64,,New Orleans full timeout
5:55.0,,,57-64,,R. Anderson enters the game for O. Asik
5:41.0,,,57-64,,A. Davis misses 2-pt shot from 13 ft (block by K. Koufos)
5:40.0,Defensive rebound by M. Conley,,57-64,,
5:22.0,M. Conley misses 3-pt shot from 26 ft,,57-64,,
5:21.0,,,57-64,,Defensive rebound by E. Gordon
5:15.0,,,57-67,3,R. Anderson makes 3-pt shot from 24 ft (assist by E. Gordon)
4:48.0,Z. Randolph misses 2-pt shot from 6 ft (block by A. Davis),,57-67,,
4:46.0,Offensive rebound by Z. Randolph,,57-67,,
4:43.0,Z. Randolph makes 2-pt shot from 1 ft,2,59-67,,
4:33.0,,,59-70,3,E. Gordon makes 3-pt shot from 22 ft (assist by R. Anderson)
4:13.0,T. Allen makes 2-pt shot at rim (assist by M. Conley),2,61-70,,
3:56.0,,,61-70,,R. Anderson misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by C. Lee,,61-70,,
3:42.0,M. Conley misses 2-pt shot from 1 ft,,61-70,,
3:41.0,Offensive rebound by Z. Randolph,,61-70,,
3:41.0,Shooting foul by A. Davis (drawn by Z. Randolph),,61-70,,
3:41.0,Z. Randolph misses free throw 1 of 2,,61-70,,
3:41.0,Offensive rebound by Team,,61-70,,
3:41.0,V. Carter enters the game for T. Allen,,61-70,,
3:41.0,,,61-70,,T. Evans enters the game for D. Cunningham
3:41.0,Z. Randolph makes free throw 2 of 2,1,62-70,,
3:25.0,,,62-72,2,R. Anderson makes 2-pt shot from 8 ft (assist by J. Holiday)
3:04.0,K. Koufos misses 2-pt shot from 7 ft (block by A. Davis),,62-72,,
3:03.0,Offensive rebound by Z. Randolph,,62-72,,
3:03.0,Turnover by Z. Randolph (traveling),,62-72,,
3:03.0,T. Prince enters the game for Z. Randolph,,62-72,,
2:52.0,,,62-72,,J. Holiday misses 2-pt shot from 18 ft
2:51.0,Defensive rebound by K. Koufos,,62-72,,
2:41.0,M. Conley misses 2-pt shot from 5 ft,,62-72,,
2:40.0,,,62-72,,Defensive rebound by R. Anderson
2:32.0,,,62-72,,Shooting foul by V. Carter (drawn by J. Holiday)
2:32.0,Memphis full timeout,,62-72,,
2:32.0,,,62-73,1,J. Holiday makes free throw 1 of 2
2:32.0,B. Udrih enters the game for M. Conley,,62-73,,
2:32.0,,,62-74,1,J. Holiday makes free throw 2 of 2
2:11.0,B. Udrih makes 3-pt shot from 23 ft (assist by T. Prince),3,65-74,,
1:55.0,,,65-74,,R. Anderson misses 2-pt shot from 9 ft
1:54.0,Defensive rebound by K. Koufos,,65-74,,
1:41.0,T. Prince misses 2-pt shot from 13 ft,,65-74,,
1:41.0,,,65-74,,Defensive rebound by R. Anderson
1:30.0,,,65-77,3,R. Anderson makes 3-pt shot from 25 ft (assist by T. Evans)
1:15.0,Shooting foul by T. Evans (drawn by V. Carter),,65-77,,
1:15.0,V. Carter makes free throw 1 of 2,1,66-77,,
1:15.0,,,66-77,,A. Rivers enters the game for J. Holiday
1:15.0,V. Carter makes free throw 2 of 2,1,67-77,,
1:01.0,,,67-80,3,E. Gordon makes 3-pt shot from 25 ft (assist by A. Davis)
0:41.0,B. Udrih makes 2-pt shot from 17 ft (assist by T. Prince),2,69-80,,
0:17.0,,,69-82,2,A. Davis makes 2-pt shot from 3 ft (assist by T. Evans)
0:01.0,B. Udrih makes 2-pt shot from 1 ft,2,71-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,71-82,,R. Anderson misses 2-pt shot from 3 ft
11:43.0,,,71-82,,Offensive rebound by A. Davis
11:43.0,,,71-84,2,A. Davis makes 2-pt shot at rim
11:23.0,K. Koufos makes 2-pt shot from 2 ft (assist by B. Udrih),2,73-84,,
10:56.0,,,73-84,,T. Evans misses 2-pt shot from 21 ft
10:55.0,Defensive rebound by K. Koufos,,73-84,,
10:40.0,T. Prince misses 2-pt shot from 12 ft,,73-84,,
10:39.0,,,73-84,,Defensive rebound by A. Davis
10:18.0,,,73-84,,R. Anderson misses 3-pt shot from 26 ft
10:17.0,Defensive rebound by K. Koufos,,73-84,,
10:06.0,V. Carter misses 2-pt shot from 20 ft,,73-84,,
10:05.0,,,73-84,,Defensive rebound by D. Cunningham
10:00.0,Personal foul by K. Koufos (drawn by A. Davis),,73-84,,
10:00.0,N. Calathes enters the game for C. Lee,,73-84,,
9:52.0,,,73-86,2,T. Evans makes 2-pt shot from 1 ft
9:35.0,V. Carter makes 2-pt shot from 10 ft,2,75-86,,
9:16.0,,,75-86,,Turnover by A. Rivers (bad pass; steal by K. Koufos)
9:10.0,B. Udrih makes 2-pt shot from 18 ft (assist by N. Calathes),2,77-86,,
9:09.0,,,77-86,,New Orleans full timeout
8:48.0,,,77-86,,A. Davis misses 2-pt shot from 10 ft
8:46.0,,,77-86,,Offensive rebound by R. Anderson
8:46.0,,,77-88,2,R. Anderson makes 2-pt shot from 1 ft
8:20.0,Turnover by Team (shot clock),,77-88,,
8:02.0,,,77-88,,T. Evans misses 2-pt shot from 17 ft
8:01.0,,,77-88,,Offensive rebound by D. Cunningham
7:51.0,,,77-88,,A. Davis misses 2-pt shot from 16 ft
7:50.0,,,77-88,,Offensive rebound by Team
7:50.0,T. Allen enters the game for N. Calathes,,77-88,,
7:50.0,M. Conley enters the game for B. Udrih,,77-88,,
7:39.0,,,77-88,,Turnover by A. Davis (bad pass; steal by T. Allen)
7:36.0,T. Allen misses 2-pt shot from 1 ft,,77-88,,
7:34.0,,,77-88,,Defensive rebound by T. Evans
7:30.0,,,77-88,,T. Evans misses 2-pt shot from 1 ft (block by K. Koufos)
7:28.0,,,77-88,,Offensive rebound by T. Evans
7:26.0,,,77-88,,T. Evans misses 2-pt shot at rim
7:26.0,,,77-88,,Offensive rebound by A. Rivers
7:26.0,Personal foul by T. Prince (drawn by A. Rivers),,77-88,,
7:26.0,M. Gasol enters the game for K. Koufos,,77-88,,
7:26.0,,,77-88,,J. Holiday enters the game for A. Rivers
7:26.0,,,77-88,,O. Asik enters the game for A. Davis
7:18.0,,,77-88,,Shooting foul by T. Prince (drawn by O. Asik)
7:18.0,,,77-89,1,O. Asik makes free throw 1 of 2
7:18.0,,,77-89,,O. Asik misses free throw 2 of 2
7:17.0,Defensive rebound by V. Carter,,77-89,,
7:01.0,M. Gasol makes 2-pt shot from 9 ft,2,79-89,,
6:40.0,,,79-91,2,R. Anderson makes 2-pt shot from 1 ft (assist by J. Holiday)
6:25.0,,,79-91,,Personal foul by O. Asik (drawn by M. Gasol)
6:25.0,Z. Randolph enters the game for V. Carter,,79-91,,
6:17.0,M. Conley makes 2-pt shot from 2 ft,2,81-91,,
6:02.0,,,81-93,2,J. Holiday makes 2-pt shot from 17 ft
5:43.0,Shooting foul by O. Asik (drawn by M. Gasol),,81-93,,
5:43.0,Official timeout,,81-93,,
5:43.0,M. Gasol makes free throw 1 of 2,1,82-93,,
5:43.0,M. Gasol misses free throw 2 of 2,,82-93,,
5:43.0,,,82-93,,Defensive rebound by O. Asik
5:24.0,,,82-93,,D. Cunningham misses 2-pt shot from 21 ft
5:23.0,Defensive rebound by Team,,82-93,,
5:23.0,,,82-93,,Loose ball foul by O. Asik (drawn by Z. Randolph)
5:23.0,,,82-93,,A. Davis enters the game for O. Asik
5:02.0,M. Gasol misses 2-pt shot from 15 ft,,82-93,,
5:01.0,,,82-93,,Defensive rebound by A. Davis
4:37.0,,,82-93,,R. Anderson misses 2-pt shot from 3 ft
4:36.0,Defensive rebound by T. Prince,,82-93,,
4:28.0,Z. Randolph misses 2-pt shot from 18 ft,,82-93,,
4:26.0,,,82-93,,Defensive rebound by T. Evans
4:04.0,,,82-93,,R. Anderson misses 3-pt shot from 25 ft
4:04.0,Defensive rebound by Z. Randolph,,82-93,,
3:51.0,M. Conley misses 2-pt shot from 10 ft,,82-93,,
3:49.0,,,82-93,,Defensive rebound by A. Davis
3:46.0,,,82-93,,Shooting foul by T. Prince (drawn by T. Evans)
3:46.0,,,82-94,1,T. Evans makes free throw 1 of 2
3:46.0,,,82-94,,T. Evans misses free throw 2 of 2
3:44.0,Defensive rebound by M. Gasol,,82-94,,
3:25.0,T. Allen makes 3-pt shot from 23 ft (assist by M. Conley),3,85-94,,
3:16.0,,,85-96,2,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday)
2:53.0,M. Conley misses 3-pt shot from 23 ft (block by T. Evans),,85-96,,
2:52.0,Offensive rebound by M. Conley,,85-96,,
2:50.0,M. Conley makes 2-pt shot from 1 ft,2,87-96,,
2:38.0,,,87-96,,T. Evans misses 2-pt shot from 3 ft
2:38.0,,,87-96,,Offensive rebound by Team
2:38.0,Memphis full timeout,,87-96,,
2:38.0,,,87-96,,E. Gordon enters the game for D. Cunningham
2:16.0,,,87-99,3,J. Holiday makes 3-pt shot from 25 ft (assist by T. Evans)
2:00.0,T. Prince makes 3-pt shot from 25 ft (assist by M. Conley),3,90-99,,
1:44.0,,,90-101,2,T. Evans makes 2-pt shot from 3 ft
1:33.0,T. Prince makes 3-pt shot from 22 ft (assist by M. Conley),3,93-101,,
1:20.0,,,93-103,2,T. Evans makes 2-pt shot from 1 ft
