time,San Antonio,pts.away,score,pts.home,LA Lakers
10:43.0,,,32-26,,Defensive rebound by Team
10:43.0,Loose ball foul by A. Baynes (drawn by R. Sacre),,32-26,,
10:32.0,,,32-26,,R. Kelly misses 2-pt shot from 6 ft
10:28.0,Defensive rebound by D. Green,,32-26,,
10:21.0,B. Diaw makes 3-pt shot from 24 ft (assist by C. Joseph),3,35-26,,
10:01.0,,,35-26,,R. Sacre misses 2-pt shot from 17 ft
10:00.0,Defensive rebound by C. Joseph,,35-26,,
9:49.0,M. Ginobili misses 2-pt shot from 3 ft,,35-26,,
9:48.0,Offensive rebound by Team,,35-26,,
9:48.0,T. Parker enters the game for C. Joseph,,35-26,,
9:48.0,K. Anderson enters the game for D. Green,,35-26,,
9:39.0,A. Baynes misses 2-pt shot from 2 ft (block by E. Davis),,35-26,,
9:37.0,,,35-26,,Defensive rebound by J. Clarkson
9:37.0,Personal take foul by M. Ginobili (drawn by J. Clarkson),,35-26,,
9:23.0,,,35-26,,E. Davis misses 2-pt shot from 5 ft
9:22.0,Defensive rebound by A. Baynes,,35-26,,
9:08.0,K. Anderson misses 2-pt shot from 19 ft,,35-26,,
9:07.0,,,35-26,,Defensive rebound by J. Lin
8:47.0,Official timeout,,35-26,,
8:47.0,K. Leonard enters the game for M. Ginobili,,35-26,,
8:45.0,,,35-26,,R. Kelly misses 2-pt shot from 16 ft
8:44.0,Defensive rebound by B. Diaw,,35-26,,
8:34.0,K. Leonard makes 2-pt shot from 8 ft (assist by T. Parker),2,37-26,,
8:11.0,,,37-26,,J. Clarkson misses 3-pt shot from 24 ft
8:10.0,Defensive rebound by K. Anderson,,37-26,,
7:48.0,K. Anderson misses 3-pt shot from 25 ft,,37-26,,
7:47.0,,,37-26,,Defensive rebound by R. Sacre
7:41.0,,,37-26,,Turnover by J. Lin (lost ball; steal by K. Leonard)
7:36.0,K. Leonard makes 2-pt shot at rim,2,39-26,,
7:19.0,,,39-26,,Turnover by J. Lin (lost ball; steal by K. Leonard)
7:16.0,Shooting foul by J. Clarkson (drawn by K. Leonard),,39-26,,
7:16.0,K. Leonard misses free throw 1 of 2,,39-26,,
7:16.0,Offensive rebound by Team,,39-26,,
7:16.0,,,39-26,,K. Bryant enters the game for J. Clarkson
7:16.0,,,39-26,,J. Hill enters the game for E. Davis
7:16.0,K. Leonard misses free throw 2 of 2,,39-26,,
7:15.0,,,39-26,,Defensive rebound by J. Hill
6:54.0,,,39-29,3,R. Kelly makes 3-pt shot from 24 ft (assist by K. Bryant)
6:36.0,Turnover by T. Parker (lost ball; steal by R. Kelly),,39-29,,
6:28.0,,,39-29,,J. Lin misses 3-pt shot from 24 ft
6:26.0,,,39-29,,Offensive rebound by J. Hill
6:11.0,,,39-29,,R. Sacre misses 2-pt shot from 15 ft
6:09.0,,,39-29,,Offensive rebound by J. Hill
6:00.0,Personal foul by K. Leonard (drawn by K. Bryant),,39-29,,
6:00.0,T. Duncan enters the game for A. Baynes,,39-29,,
5:48.0,,,39-29,,J. Lin misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by K. Leonard,,39-29,,
5:37.0,San Antonio full timeout,,39-29,,
5:37.0,,,39-29,,C. Boozer enters the game for R. Sacre
5:37.0,M. Bonner enters the game for B. Diaw,,39-29,,
5:24.0,K. Anderson misses 3-pt shot from 24 ft,,39-29,,
5:23.0,,,39-29,,Defensive rebound by J. Hill
5:05.0,Personal foul by T. Duncan (drawn by J. Hill),,39-29,,
5:05.0,,,39-30,1,J. Hill makes free throw 1 of 2
5:05.0,,,39-30,,W. Johnson enters the game for R. Kelly
5:05.0,C. Joseph enters the game for K. Anderson,,39-30,,
5:05.0,,,39-31,1,J. Hill makes free throw 2 of 2
4:56.0,D. Green enters the game for K. Leonard,,39-31,,
4:42.0,T. Parker misses 2-pt shot from 19 ft,,39-31,,
4:40.0,,,39-31,,Defensive rebound by C. Boozer
4:24.0,,,39-31,,Turnover by K. Bryant (bad pass; steal by C. Joseph)
4:20.0,,,39-31,,Shooting block foul by J. Lin (drawn by C. Joseph)
4:20.0,C. Joseph makes free throw 1 of 2,1,40-31,,
4:20.0,C. Joseph makes free throw 2 of 2,1,41-31,,
4:02.0,,,41-33,2,J. Lin makes 2-pt shot from 1 ft (assist by K. Bryant)
3:35.0,D. Green misses 3-pt shot from 24 ft,,41-33,,
3:34.0,,,41-33,,Defensive rebound by W. Johnson
3:29.0,,,41-33,,Offensive foul by C. Boozer
3:29.0,,,41-33,,Turnover by C. Boozer (offensive foul)
3:14.0,C. Joseph misses 2-pt shot from 2 ft,,41-33,,
3:13.0,,,41-33,,Defensive rebound by J. Hill
3:06.0,,,41-33,,J. Hill misses 2-pt shot from 14 ft
3:03.0,Defensive rebound by T. Parker,,41-33,,
2:52.0,D. Green misses 2-pt shot from 11 ft,,41-33,,
2:52.0,,,41-33,,Defensive rebound by Team
2:52.0,,,41-33,,LA Lakers full timeout
2:52.0,B. Diaw enters the game for M. Bonner,,41-33,,
2:52.0,K. Leonard enters the game for C. Joseph,,41-33,,
2:39.0,,,41-33,,Shooting foul by K. Leonard (drawn by W. Johnson)
2:39.0,,,41-34,1,W. Johnson makes free throw 1 of 2
2:39.0,M. Ginobili enters the game for K. Leonard,,41-34,,
2:39.0,,,41-35,1,W. Johnson makes free throw 2 of 2
2:16.0,T. Duncan makes 2-pt shot from 3 ft (assist by T. Parker),2,43-35,,
1:59.0,,,43-35,,Turnover by J. Hill (bad pass; steal by M. Ginobili)
1:46.0,M. Ginobili makes 2-pt shot at rim (assist by T. Duncan),2,45-35,,
1:19.0,,,45-35,,W. Johnson misses 3-pt shot from 24 ft
1:18.0,,,45-35,,Offensive rebound by C. Boozer
1:14.0,,,45-35,,C. Boozer misses 2-pt shot at rim
1:14.0,,,45-35,,Offensive rebound by J. Hill
1:14.0,,,45-35,,J. Hill misses 2-pt shot from 1 ft
1:14.0,,,45-35,,Offensive rebound by J. Hill
1:14.0,,,45-35,,J. Hill misses 2-pt shot from 1 ft
1:14.0,,,45-35,,Offensive rebound by J. Hill
1:14.0,,,45-35,,Shooting foul by M. Ginobili (drawn by J. Hill)
1:14.0,,,45-35,,J. Hill misses free throw 1 of 2
1:14.0,,,45-35,,Offensive rebound by Team
1:14.0,C. Joseph enters the game for D. Green,,45-35,,
1:14.0,,,45-35,,J. Hill misses free throw 2 of 2
1:12.0,Defensive rebound by T. Duncan,,45-35,,
1:00.0,,,45-35,,Personal foul by K. Bryant (drawn by T. Duncan)
0:46.0,C. Joseph makes 2-pt shot from 9 ft (assist by M. Ginobili),2,47-35,,
0:31.0,,,47-35,,K. Bryant misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by T. Duncan,,47-35,,
0:07.0,B. Diaw misses 3-pt shot from 23 ft,,47-35,,
0:05.0,,,47-35,,Defensive rebound by J. Lin
0:01.0,,,47-35,,Turnover by W. Johnson (lost ball)
0:00.0,M. Ginobili misses 3-pt shot from 50 ft,,47-35,,
0:00.0,Offensive rebound by Team,,47-35,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,47-35,,Shooting foul by M. Bonner (drawn by C. Boozer)
11:50.0,,,47-36,1,C. Boozer makes free throw 1 of 2
11:50.0,,,47-37,1,C. Boozer makes free throw 2 of 2
11:29.0,M. Bonner misses 2-pt shot from 21 ft,,47-37,,
11:25.0,,,47-37,,Defensive rebound by J. Lin
11:08.0,,,47-37,,K. Bryant misses 2-pt shot from 12 ft
11:06.0,,,47-37,,Offensive rebound by C. Boozer
11:02.0,,,47-39,2,C. Boozer makes 2-pt shot at rim
10:46.0,Shooting foul by C. Boozer (drawn by M. Bonner),,47-39,,
10:46.0,M. Bonner makes free throw 1 of 2,1,48-39,,
10:46.0,M. Bonner makes free throw 2 of 2,1,49-39,,
10:34.0,,,49-39,,K. Bryant misses 2-pt shot from 19 ft
10:31.0,Defensive rebound by T. Duncan,,49-39,,
10:26.0,M. Bonner makes 3-pt shot from 25 ft (assist by T. Parker),3,52-39,,
10:05.0,,,52-39,,J. Hill misses 2-pt shot from 3 ft (block by K. Leonard)
10:03.0,Defensive rebound by T. Duncan,,52-39,,
10:02.0,Shooting foul by J. Lin (drawn by T. Parker),,52-39,,
10:02.0,T. Parker makes free throw 1 of 2,1,53-39,,
10:02.0,T. Parker makes free throw 2 of 2,1,54-39,,
9:50.0,,,54-41,2,J. Hill makes 2-pt shot from 18 ft (assist by J. Lin)
9:39.0,Turnover by T. Parker (bad pass; steal by J. Lin),,54-41,,
9:32.0,,,54-43,2,C. Boozer makes 2-pt shot from 2 ft (assist by K. Bryant)
9:15.0,T. Duncan misses 2-pt shot from 11 ft,,54-43,,
9:09.0,,,54-43,,Defensive rebound by C. Boozer
9:03.0,,,54-43,,J. Hill misses 2-pt shot from 16 ft
9:01.0,,,54-43,,Offensive rebound by W. Johnson
8:57.0,,,54-45,2,J. Lin makes 2-pt shot from 13 ft (assist by W. Johnson)
8:42.0,Turnover by K. Leonard (bad pass; steal by C. Boozer),,54-45,,
8:29.0,,,54-47,2,C. Boozer makes 2-pt shot from 15 ft (assist by K. Bryant)
8:28.0,San Antonio full timeout,,54-47,,
8:28.0,B. Diaw enters the game for M. Bonner,,54-47,,
8:08.0,T. Parker makes 2-pt shot from 1 ft (assist by D. Green),2,56-47,,
7:51.0,,,56-47,,C. Boozer misses 2-pt shot from 9 ft
7:49.0,Defensive rebound by T. Duncan,,56-47,,
7:35.0,B. Diaw misses 2-pt shot from 1 ft,,56-47,,
7:30.0,,,56-47,,Defensive rebound by J. Hill
7:21.0,,,56-47,,J. Hill misses 2-pt shot from 17 ft
7:20.0,Defensive rebound by T. Parker,,56-47,,
7:17.0,Turnover by T. Parker (lost ball),,56-47,,
7:17.0,M. Ginobili enters the game for K. Leonard,,56-47,,
7:06.0,,,56-47,,Shooting foul by D. Green (drawn by K. Bryant)
7:06.0,,,56-47,,K. Bryant misses free throw 1 of 2
7:06.0,,,56-47,,Offensive rebound by Team
7:06.0,,,56-48,1,K. Bryant makes free throw 2 of 2
6:46.0,T. Duncan makes 2-pt shot from 2 ft,2,58-48,,
6:36.0,,,58-48,,K. Bryant misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by T. Duncan,,58-48,,
6:21.0,M. Ginobili misses 2-pt shot from 11 ft,,58-48,,
6:18.0,,,58-48,,Defensive rebound by K. Bryant
6:07.0,,,58-50,2,J. Hill makes 2-pt shot at rim (assist by W. Johnson)
5:55.0,T. Duncan makes 2-pt shot at rim (assist by T. Parker),2,60-50,,
5:37.0,,,60-50,,Turnover by K. Bryant (lost ball; steal by T. Duncan)
5:17.0,D. Green misses 3-pt shot from 26 ft,,60-50,,
5:14.0,,,60-50,,Defensive rebound by C. Boozer
5:01.0,,,60-52,2,C. Boozer makes 2-pt shot at rim (assist by J. Lin)
4:42.0,B. Diaw misses 2-pt shot from 17 ft,,60-52,,
4:40.0,,,60-52,,Defensive rebound by W. Johnson
4:32.0,,,60-52,,K. Bryant misses 2-pt shot from 8 ft
4:31.0,Defensive rebound by B. Diaw,,60-52,,
4:24.0,M. Ginobili misses 2-pt shot from 3 ft (block by W. Johnson),,60-52,,
4:21.0,,,60-52,,Defensive rebound by K. Bryant
4:19.0,,,60-52,,Turnover by K. Bryant (bad pass)
4:19.0,,,60-52,,LA Lakers full timeout
4:19.0,,,60-52,,J. Clarkson enters the game for J. Hill
4:19.0,,,60-52,,E. Davis enters the game for J. Lin
4:19.0,C. Joseph enters the game for T. Duncan,,60-52,,
4:19.0,A. Baynes enters the game for T. Parker,,60-52,,
4:07.0,,,60-52,,Shooting block foul by E. Davis (drawn by M. Ginobili)
4:07.0,M. Ginobili makes free throw 1 of 2,1,61-52,,
4:07.0,M. Ginobili makes free throw 2 of 2,1,62-52,,
3:50.0,,,62-52,,K. Bryant misses 3-pt shot from 25 ft
3:49.0,Defensive rebound by C. Joseph,,62-52,,
3:33.0,D. Green misses 3-pt shot from 26 ft,,62-52,,
3:31.0,,,62-52,,Defensive rebound by E. Davis
3:10.0,,,62-52,,C. Boozer misses 2-pt shot from 18 ft
3:09.0,Defensive rebound by C. Joseph,,62-52,,
3:05.0,B. Diaw makes 2-pt shot at rim (assist by C. Joseph),2,64-52,,
2:57.0,,,64-52,,Turnover by E. Davis (bad pass; steal by D. Green)
2:48.0,D. Green misses 3-pt shot from 23 ft,,64-52,,
2:45.0,Offensive rebound by A. Baynes,,64-52,,
2:45.0,A. Baynes misses 2-pt shot from 1 ft,,64-52,,
2:43.0,,,64-52,,Defensive rebound by E. Davis
2:36.0,,,64-52,,Shooting foul by A. Baynes (drawn by C. Boozer)
2:36.0,,,64-52,,C. Boozer misses free throw 1 of 2
2:36.0,,,64-52,,Offensive rebound by Team
2:36.0,,,64-53,1,C. Boozer makes free throw 2 of 2
2:21.0,B. Diaw misses 2-pt shot from 8 ft,,64-53,,
2:18.0,,,64-53,,Defensive rebound by J. Clarkson
2:10.0,,,64-53,,Shooting foul by A. Baynes (drawn by J. Clarkson)
2:10.0,,,64-54,1,J. Clarkson makes free throw 1 of 2
2:10.0,,,64-55,1,J. Clarkson makes free throw 2 of 2
1:56.0,B. Diaw misses 3-pt shot from 25 ft,,64-55,,
1:55.0,,,64-55,,Defensive rebound by K. Bryant
1:44.0,Shooting block foul by A. Baynes (drawn by K. Bryant),,64-55,,
1:44.0,,,64-56,1,K. Bryant makes free throw 1 of 2
1:44.0,T. Parker enters the game for D. Green,,64-56,,
1:44.0,,,64-57,1,K. Bryant makes free throw 2 of 2
1:27.0,C. Joseph misses 2-pt shot from 16 ft,,64-57,,
1:25.0,Offensive rebound by A. Baynes,,64-57,,
1:08.0,B. Diaw misses 2-pt shot from 2 ft,,64-57,,
1:06.0,,,64-57,,Defensive rebound by C. Boozer
0:56.0,,,64-57,,Shooting foul by T. Parker (drawn by E. Davis)
0:56.0,,,64-57,,E. Davis misses free throw 1 of 2
0:56.0,,,64-57,,Offensive rebound by Team
0:56.0,,,64-57,,E. Davis misses free throw 2 of 2
0:55.0,Defensive rebound by B. Diaw,,64-57,,
0:42.0,T. Parker makes 2-pt shot from 11 ft (assist by C. Joseph),2,66-57,,
0:25.0,,,66-57,,K. Bryant misses 2-pt shot from 11 ft
0:24.0,Defensive rebound by M. Ginobili,,66-57,,
0:05.0,T. Parker makes 2-pt shot at rim,2,68-57,,
0:00.0,,,68-57,,J. Clarkson misses 2-pt shot from 11 ft
0:00.0,,,68-57,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,B. Diaw misses 2-pt shot from 20 ft,,68-57,,
11:32.0,Offensive rebound by A. Baynes,,68-57,,
11:17.0,T. Parker misses 2-pt shot from 20 ft,,68-57,,
11:15.0,,,68-57,,Defensive rebound by R. Kelly
10:59.0,,,68-59,2,K. Bryant makes 2-pt shot from 18 ft (assist by R. Kelly)
10:47.0,,,68-59,,Def 3 sec tech foul by R. Kelly
10:47.0,T. Parker makes technical free throw,1,69-59,,
10:37.0,M. Ginobili misses 2-pt shot from 17 ft,,69-59,,
10:34.0,Offensive rebound by M. Ginobili,,69-59,,
10:23.0,B. Diaw misses 2-pt shot from 21 ft,,69-59,,
10:22.0,Offensive rebound by B. Diaw,,69-59,,
10:12.0,T. Parker misses 2-pt shot from 3 ft,,69-59,,
10:11.0,Offensive rebound by B. Diaw,,69-59,,
10:06.0,A. Baynes makes 2-pt shot from 4 ft (assist by B. Diaw),2,71-59,,
9:52.0,M. Bonner enters the game for B. Diaw,,71-59,,
9:52.0,K. Leonard enters the game for M. Ginobili,,71-59,,
9:44.0,,,71-59,,K. Bryant misses 3-pt shot from 24 ft
9:43.0,Defensive rebound by A. Baynes,,71-59,,
9:32.0,Shooting foul by R. Kelly (drawn by A. Baynes),,71-59,,
9:32.0,A. Baynes makes free throw 1 of 2,1,72-59,,
9:32.0,,,72-59,,J. Lin enters the game for J. Clarkson
9:32.0,A. Baynes makes free throw 2 of 2,1,73-59,,
9:26.0,,,73-59,,Shooting foul by C. Joseph (drawn by K. Bryant)
9:26.0,M. Ginobili enters the game for K. Leonard,,73-59,,
9:26.0,,,73-60,1,K. Bryant makes free throw 1 of 2
9:26.0,,,73-60,,K. Bryant misses free throw 2 of 2
9:25.0,Defensive rebound by A. Baynes,,73-60,,
9:08.0,Shooting foul by E. Davis (drawn by M. Bonner),,73-60,,
9:08.0,M. Bonner makes free throw 1 of 2,1,74-60,,
9:08.0,,,74-60,,J. Hill enters the game for E. Davis
9:08.0,M. Bonner makes free throw 2 of 2,1,75-60,,
8:49.0,,,75-60,,K. Bryant misses 2-pt shot from 6 ft
8:48.0,,,75-60,,Offensive rebound by R. Sacre
8:45.0,,,75-60,,R. Sacre misses 2-pt shot from 7 ft
8:44.0,Defensive rebound by A. Baynes,,75-60,,
8:33.0,C. Joseph makes 3-pt shot from 23 ft (assist by T. Parker),3,78-60,,
8:22.0,Official timeout,,78-60,,
8:22.0,,,78-60,,W. Johnson enters the game for R. Sacre
8:22.0,D. Green enters the game for T. Parker,,78-60,,
8:09.0,,,78-60,,K. Bryant misses 3-pt shot from 22 ft
8:09.0,,,78-60,,Offensive rebound by Team
8:09.0,Loose ball foul by C. Joseph (drawn by J. Hill),,78-60,,
8:00.0,,,78-62,2,J. Hill makes 2-pt shot from 1 ft
7:49.0,C. Joseph misses 2-pt shot from 3 ft,,78-62,,
7:47.0,,,78-62,,Defensive rebound by R. Kelly
7:44.0,,,78-62,,Turnover by J. Lin (bad pass)
7:21.0,M. Bonner makes 3-pt shot from 25 ft (assist by M. Ginobili),3,81-62,,
7:09.0,,,81-62,,Turnover by K. Bryant (lost ball; steal by M. Ginobili)
6:53.0,D. Green makes 3-pt shot from 25 ft (assist by M. Ginobili),3,84-62,,
6:51.0,,,84-62,,LA Lakers full timeout
6:51.0,,,84-62,,J. Clarkson enters the game for K. Bryant
6:51.0,,,84-62,,C. Boozer enters the game for R. Kelly
6:51.0,J. Ayres enters the game for A. Baynes,,84-62,,
6:43.0,Personal foul by M. Bonner (drawn by C. Boozer),,84-62,,
6:24.0,,,84-62,,J. Lin misses 2-pt shot from 5 ft
6:20.0,Defensive rebound by D. Green,,84-62,,
6:14.0,J. Ayres makes 2-pt shot at rim (assist by M. Ginobili),2,86-62,,
5:50.0,,,86-62,,J. Clarkson misses 3-pt shot from 24 ft
5:49.0,Defensive rebound by Team,,86-62,,
5:49.0,K. Anderson enters the game for M. Ginobili,,86-62,,
5:32.0,C. Joseph makes 2-pt shot from 1 ft,2,88-62,,
5:19.0,,,88-64,2,J. Lin makes 2-pt shot at rim
5:07.0,C. Joseph makes 2-pt shot at rim (assist by K. Anderson),2,90-64,,
4:50.0,,,90-66,2,W. Johnson makes 2-pt shot from 15 ft
4:28.0,K. Anderson misses 2-pt shot from 19 ft,,90-66,,
4:27.0,,,90-66,,Defensive rebound by W. Johnson
4:23.0,Personal foul by D. Green (drawn by J. Lin),,90-66,,
4:23.0,A. Baynes enters the game for M. Bonner,,90-66,,
4:23.0,A. Daye enters the game for D. Green,,90-66,,
4:23.0,,,90-66,,X. Henry enters the game for W. Johnson
4:23.0,,,90-66,,R. Sacre enters the game for C. Boozer
4:23.0,,,90-66,,E. Davis enters the game for J. Hill
4:17.0,,,90-68,2,J. Clarkson makes 2-pt shot from 2 ft
4:17.0,,,90-68,,Shooting foul by J. Ayres (drawn by J. Clarkson)
4:17.0,,,90-68,,J. Clarkson misses free throw 1 of 1
4:16.0,Defensive rebound by K. Anderson,,90-68,,
4:00.0,,,90-68,,Violation by R. Sacre (kicked ball)
3:47.0,A. Daye misses 2-pt shot from 21 ft,,90-68,,
3:45.0,,,90-68,,Defensive rebound by E. Davis
3:28.0,,,90-68,,R. Sacre misses 2-pt shot from 11 ft
3:27.0,Defensive rebound by K. Anderson,,90-68,,
3:25.0,,,90-68,,Personal foul by J. Clarkson (drawn by K. Anderson)
3:11.0,A. Daye misses 3-pt shot from 25 ft,,90-68,,
3:09.0,,,90-68,,Defensive rebound by R. Sacre
3:01.0,,,90-68,,J. Lin misses 2-pt shot from 10 ft
2:58.0,Defensive rebound by J. Ayres,,90-68,,
2:36.0,A. Daye misses 2-pt shot from 9 ft,,90-68,,
2:34.0,,,90-68,,Defensive rebound by X. Henry
2:22.0,,,90-68,,Shooting foul by J. Ayres (drawn by J. Lin)
2:22.0,San Antonio full timeout,,90-68,,
2:22.0,,,90-69,1,J. Lin makes free throw 1 of 2
2:22.0,,,90-70,1,J. Lin makes free throw 2 of 2
2:03.0,Turnover by J. Ayres (lost ball; steal by J. Clarkson),,90-70,,
