time,Boston,pts.away,score,pts.home,Philadelphia
0:36.0,,,25-24,1,A. Shved makes free throw 1 of 2
0:36.0,P. Pressey enters the game for A. Bradley,,25-24,,
0:36.0,,,25-25,1,A. Shved makes free throw 2 of 2
0:31.0,Shooting foul by T. Wroten (drawn by P. Pressey),,25-25,,
0:31.0,P. Pressey makes free throw 1 of 2,1,26-25,,
0:31.0,P. Pressey makes free throw 2 of 2,1,27-25,,
0:11.0,,,27-25,,J. Grant misses 2-pt shot from 1 ft (block by G. Wallace)
0:10.0,,,27-25,,Offensive rebound by Team
0:07.0,,,27-25,,K. McDaniels misses 2-pt shot from 6 ft
0:06.0,Defensive rebound by B. Bass,,27-25,,
0:00.0,K. Olynyk makes 3-pt shot from 25 ft (assist by P. Pressey),3,30-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,30-25,,R. Covington misses 3-pt shot from 25 ft
11:41.0,,,30-25,,Offensive rebound by Team
11:41.0,Loose ball foul by P. Pressey (drawn by H. Sims),,30-25,,
11:25.0,,,30-25,,T. Wroten misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by E. Turner,,30-25,,
11:05.0,E. Turner makes 2-pt shot from 12 ft (assist by B. Bass),2,32-25,,
10:41.0,,,32-25,,R. Covington misses 2-pt shot from 10 ft
10:39.0,Defensive rebound by G. Wallace,,32-25,,
10:30.0,Turnover by J. Sullinger (bad pass; steal by R. Covington),,32-25,,
10:25.0,,,32-25,,Turnover by A. Shved (lost ball)
10:25.0,,,32-25,,L. Mbah a Moute enters the game for H. Sims
10:06.0,B. Bass misses 2-pt shot from 1 ft (block by L. Mbah a Moute),,32-25,,
10:04.0,,,32-25,,Defensive rebound by L. Mbah a Moute
9:59.0,,,32-25,,Turnover by N. Noel (lost ball; steal by G. Wallace)
9:56.0,E. Turner makes 2-pt shot at rim (assist by G. Wallace),2,34-25,,
9:26.0,,,34-25,,L. Mbah a Moute misses 2-pt shot from 16 ft
9:25.0,Defensive rebound by J. Sullinger,,34-25,,
9:22.0,Turnover by J. Sullinger (bad pass; steal by N. Noel),,34-25,,
9:17.0,,,34-25,,R. Covington misses 3-pt shot from 24 ft
9:16.0,Defensive rebound by Team,,34-25,,
9:16.0,,,34-25,,H. Thompson enters the game for A. Shved
9:01.0,P. Pressey misses 3-pt shot from 26 ft,,34-25,,
8:59.0,,,34-25,,Defensive rebound by N. Noel
8:49.0,Official timeout,,34-25,,
8:49.0,,,34-25,,Turnover by L. Mbah a Moute (lost ball)
8:49.0,,,34-25,,M. Carter-Williams enters the game for T. Wroten
8:28.0,Turnover by E. Turner (lost ball; steal by L. Mbah a Moute),,34-25,,
8:28.0,Personal foul by E. Turner (drawn by L. Mbah a Moute),,34-25,,
8:12.0,,,34-27,2,N. Noel makes 2-pt shot from 2 ft (assist by R. Covington)
8:01.0,J. Sullinger makes 3-pt shot from 25 ft (assist by E. Turner),3,37-27,,
7:46.0,,,37-27,,M. Carter-Williams misses 3-pt shot from 24 ft
7:44.0,Defensive rebound by B. Bass,,37-27,,
7:37.0,E. Turner misses 2-pt shot from 2 ft,,37-27,,
7:35.0,Offensive rebound by B. Bass,,37-27,,
7:35.0,B. Bass makes 2-pt shot from 1 ft,2,39-27,,
7:15.0,,,39-27,,Turnover by L. Mbah a Moute (lost ball; steal by E. Turner)
7:12.0,Turnover by E. Turner (lost ball),,39-27,,
6:59.0,,,39-29,2,R. Covington makes 2-pt shot at rim (assist by N. Noel)
6:59.0,,,39-29,,Shooting foul by G. Wallace (drawn by R. Covington)
6:59.0,J. Green enters the game for G. Wallace,,39-29,,
6:59.0,,,39-30,1,R. Covington makes free throw 1 of 1
6:45.0,B. Bass makes 2-pt shot from 11 ft (assist by E. Turner),2,41-30,,
6:32.0,,,41-30,,H. Thompson misses 3-pt shot from 23 ft
6:30.0,Defensive rebound by E. Turner,,41-30,,
6:27.0,Shooting foul by L. Mbah a Moute (drawn by B. Bass),,41-30,,
6:27.0,B. Bass makes free throw 1 of 2,1,42-30,,
6:27.0,R. Rondo enters the game for P. Pressey,,42-30,,
6:27.0,B. Bass misses free throw 2 of 2,,42-30,,
6:26.0,,,42-30,,Defensive rebound by N. Noel
6:17.0,,,42-30,,L. Mbah a Moute misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by J. Green,,42-30,,
6:13.0,Offensive foul by B. Bass,,42-30,,
6:13.0,Turnover by B. Bass (offensive foul),,42-30,,
6:03.0,,,42-30,,N. Noel misses 2-pt shot from 2 ft
6:01.0,Defensive rebound by R. Rondo,,42-30,,
5:56.0,E. Turner makes 2-pt shot from 15 ft (assist by R. Rondo),2,44-30,,
5:41.0,,,44-32,2,N. Noel makes 2-pt shot from 15 ft
5:20.0,Turnover by B. Bass (3 sec),,44-32,,
5:20.0,,,44-32,,Philadelphia full timeout
5:20.0,A. Bradley enters the game for E. Turner,,44-32,,
5:20.0,K. Olynyk enters the game for B. Bass,,44-32,,
5:20.0,,,44-32,,F. Aldemir enters the game for L. Mbah a Moute
5:08.0,,,44-34,2,M. Carter-Williams makes 2-pt shot from 6 ft
4:51.0,A. Bradley misses 3-pt shot from 22 ft,,44-34,,
4:48.0,,,44-34,,Defensive rebound by N. Noel
4:40.0,,,44-34,,Turnover by M. Carter-Williams (bad pass; steal by J. Green)
4:36.0,,,44-34,,Clear path foul by H. Thompson
4:36.0,J. Green makes clear path free throw 1 of 2,1,45-34,,
4:36.0,J. Green makes clear path free throw 2 of 2,1,46-34,,
4:27.0,J. Sullinger misses 2-pt shot from 2 ft,,46-34,,
4:26.0,Offensive rebound by K. Olynyk,,46-34,,
4:25.0,K. Olynyk makes 2-pt shot from 1 ft,2,48-34,,
4:14.0,,,48-36,2,M. Carter-Williams makes 2-pt shot from 1 ft
3:51.0,Turnover by J. Green (traveling),,48-36,,
3:51.0,,,48-36,,K. McDaniels enters the game for H. Thompson
3:38.0,,,48-36,,Turnover by M. Carter-Williams (lost ball; steal by A. Bradley)
3:34.0,J. Green misses 2-pt shot from 2 ft (block by K. McDaniels),,48-36,,
3:33.0,Offensive rebound by J. Green,,48-36,,
3:28.0,J. Sullinger misses 3-pt shot from 22 ft,,48-36,,
3:26.0,,,48-36,,Defensive rebound by K. McDaniels
3:19.0,,,48-36,,M. Carter-Williams misses 2-pt shot from 15 ft
3:17.0,Defensive rebound by J. Sullinger,,48-36,,
3:11.0,K. Olynyk makes 2-pt shot from 17 ft (assist by R. Rondo),2,50-36,,
3:01.0,,,50-36,,Offensive foul by F. Aldemir
3:01.0,,,50-36,,Turnover by F. Aldemir (offensive foul)
3:01.0,T. Zeller enters the game for J. Sullinger,,50-36,,
2:51.0,J. Green makes 3-pt shot from 25 ft (assist by R. Rondo),3,53-36,,
2:50.0,,,53-36,,Philadelphia full timeout
2:50.0,,,53-36,,T. Wroten enters the game for R. Covington
2:50.0,,,53-36,,L. Mbah a Moute enters the game for N. Noel
2:50.0,,,53-36,,H. Sims enters the game for F. Aldemir
2:28.0,,,53-36,,H. Sims misses 2-pt shot from 18 ft
2:26.0,Defensive rebound by R. Rondo,,53-36,,
2:11.0,R. Rondo makes 2-pt shot from 2 ft,2,55-36,,
1:55.0,Personal foul by J. Green (drawn by M. Carter-Williams),,55-36,,
1:55.0,,,55-36,,A. Shved enters the game for M. Carter-Williams
1:40.0,,,55-36,,Turnover by Team (shot clock)
1:29.0,Turnover by R. Rondo (traveling),,55-36,,
1:14.0,,,55-38,2,H. Sims makes 2-pt shot from 7 ft
1:06.0,A. Bradley misses 2-pt shot from 18 ft,,55-38,,
1:04.0,,,55-38,,Defensive rebound by A. Shved
0:46.0,,,55-38,,A. Shved misses 2-pt shot from 18 ft
0:45.0,,,55-38,,Offensive rebound by A. Shved
0:43.0,,,55-38,,A. Shved misses 2-pt shot from 1 ft
0:40.0,Defensive rebound by J. Green,,55-38,,
0:34.0,Turnover by K. Olynyk (bad pass; steal by A. Shved),,55-38,,
0:29.0,,,55-38,,Turnover by K. McDaniels (lost ball; steal by R. Rondo)
0:29.0,R. Rondo makes 2-pt shot from 1 ft,2,57-38,,
0:14.0,,,57-38,,K. McDaniels misses 2-pt shot from 3 ft
0:12.0,Defensive rebound by J. Green,,57-38,,
0:06.0,A. Bradley misses 3-pt shot from 23 ft,,57-38,,
0:03.0,,,57-38,,Defensive rebound by H. Sims
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,57-38,,L. Mbah a Moute misses 2-pt shot from 5 ft (block by T. Zeller)
11:41.0,,,57-38,,Offensive rebound by L. Mbah a Moute
11:40.0,,,57-40,2,L. Mbah a Moute makes 2-pt shot from 2 ft
11:28.0,J. Green makes 2-pt shot from 1 ft (assist by T. Zeller),2,59-40,,
11:11.0,,,59-42,2,L. Mbah a Moute makes 2-pt shot from 15 ft (assist by M. Carter-Williams)
10:58.0,Shooting foul by R. Covington (drawn by T. Zeller),,59-42,,
10:58.0,T. Zeller misses free throw 1 of 2,,59-42,,
10:58.0,Offensive rebound by Team,,59-42,,
10:58.0,T. Zeller makes free throw 2 of 2,1,60-42,,
10:48.0,Personal foul by A. Bradley (drawn by M. Carter-Williams),,60-42,,
10:37.0,,,60-44,2,H. Thompson makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
10:24.0,Turnover by J. Green (bad pass; steal by N. Noel),,60-44,,
10:21.0,,,60-44,,Offensive charge foul by N. Noel
10:21.0,,,60-44,,Turnover by N. Noel (offensive foul)
10:21.0,,,60-44,,Violation by Team (delay of game)
10:18.0,,,60-44,,Personal foul by H. Thompson (drawn by J. Green)
10:18.0,Turnover by J. Green (bad pass),,60-44,,
10:02.0,,,60-46,2,N. Noel makes 2-pt shot from 7 ft (assist by M. Carter-Williams)
9:40.0,J. Sullinger misses 2-pt shot from 17 ft,,60-46,,
9:38.0,,,60-46,,Defensive rebound by M. Carter-Williams
9:14.0,,,60-46,,M. Carter-Williams misses 2-pt shot from 8 ft
9:12.0,,,60-46,,Offensive rebound by N. Noel
9:12.0,,,60-48,2,N. Noel makes 2-pt shot at rim
9:09.0,Boston full timeout,,60-48,,
9:09.0,K. Olynyk enters the game for T. Zeller,,60-48,,
8:53.0,Shooting foul by N. Noel (drawn by J. Green),,60-48,,
8:53.0,J. Green makes free throw 1 of 2,1,61-48,,
8:53.0,J. Green makes free throw 2 of 2,1,62-48,,
8:50.0,Personal foul by A. Bradley (drawn by M. Carter-Williams),,62-48,,
8:34.0,,,62-50,2,R. Covington makes 2-pt shot from 20 ft
8:15.0,K. Olynyk misses 2-pt shot from 14 ft,,62-50,,
8:13.0,Offensive rebound by J. Sullinger,,62-50,,
8:13.0,J. Sullinger makes 2-pt shot from 2 ft,2,64-50,,
7:59.0,,,64-50,,Turnover by L. Mbah a Moute (step out of bounds)
7:45.0,Turnover by R. Rondo (bad pass; steal by L. Mbah a Moute),,64-50,,
7:41.0,Personal foul by R. Rondo (drawn by M. Carter-Williams),,64-50,,
7:32.0,,,64-50,,R. Covington misses 2-pt shot from 17 ft
7:30.0,Defensive rebound by R. Rondo,,64-50,,
7:18.0,A. Bradley makes 2-pt shot from 2 ft,2,66-50,,
7:01.0,,,66-50,,M. Carter-Williams misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by J. Sullinger,,66-50,,
6:52.0,Turnover by A. Bradley (lost ball),,66-50,,
6:52.0,,,66-50,,T. Wroten enters the game for H. Thompson
6:38.0,,,66-52,2,N. Noel makes 2-pt shot from 8 ft (assist by M. Carter-Williams)
6:38.0,,,66-52,,Shooting foul by K. Olynyk (drawn by N. Noel)
6:38.0,,,66-53,1,N. Noel makes free throw 1 of 1
6:30.0,Shooting foul by N. Noel (drawn by J. Sullinger),,66-53,,
6:30.0,J. Sullinger misses free throw 1 of 2,,66-53,,
6:30.0,Offensive rebound by Team,,66-53,,
6:30.0,,,66-53,,H. Sims enters the game for N. Noel
6:30.0,J. Sullinger misses free throw 2 of 2,,66-53,,
6:29.0,,,66-53,,Defensive rebound by R. Covington
6:18.0,,,66-53,,R. Covington misses 3-pt shot from 23 ft
6:17.0,Defensive rebound by J. Sullinger,,66-53,,
6:17.0,,,66-53,,Personal foul by R. Covington (drawn by K. Olynyk)
6:17.0,K. Olynyk makes free throw 1 of 2,1,67-53,,
6:17.0,K. Olynyk makes free throw 2 of 2,1,68-53,,
6:02.0,,,68-53,,L. Mbah a Moute misses 3-pt shot from 26 ft
5:59.0,,,68-53,,Offensive rebound by M. Carter-Williams
5:59.0,,,68-55,2,M. Carter-Williams makes 2-pt shot from 1 ft
5:51.0,,,68-55,,Personal foul by R. Covington (drawn by R. Rondo)
5:51.0,R. Rondo misses free throw 1 of 2,,68-55,,
5:51.0,Offensive rebound by Team,,68-55,,
5:51.0,,,68-55,,K. McDaniels enters the game for R. Covington
5:51.0,R. Rondo makes free throw 2 of 2,1,69-55,,
5:39.0,Personal foul by R. Rondo (drawn by M. Carter-Williams),,69-55,,
5:39.0,,,69-55,,M. Carter-Williams misses free throw 1 of 2
5:39.0,,,69-55,,Offensive rebound by Team
5:39.0,,,69-56,1,M. Carter-Williams makes free throw 2 of 2
5:29.0,A. Bradley misses 3-pt shot from 25 ft,,69-56,,
5:27.0,,,69-56,,Defensive rebound by T. Wroten
5:13.0,,,69-56,,K. McDaniels misses 2-pt shot from 3 ft (block by K. Olynyk)
5:11.0,Defensive rebound by K. Olynyk,,69-56,,
5:04.0,A. Bradley misses 3-pt shot from 24 ft,,69-56,,
5:02.0,,,69-56,,Defensive rebound by K. McDaniels
4:48.0,,,69-56,,T. Wroten misses 3-pt shot from 23 ft
4:46.0,Defensive rebound by J. Sullinger,,69-56,,
4:35.0,K. Olynyk makes 2-pt shot from 2 ft (assist by R. Rondo),2,71-56,,
4:24.0,,,71-56,,H. Sims misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by K. Olynyk,,71-56,,
4:11.0,K. Olynyk makes 2-pt shot at rim (assist by R. Rondo),2,73-56,,
4:11.0,,,73-56,,Philadelphia full timeout
4:11.0,E. Turner enters the game for J. Sullinger,,73-56,,
4:11.0,B. Bass enters the game for A. Bradley,,73-56,,
4:11.0,,,73-56,,A. Shved enters the game for M. Carter-Williams
4:11.0,,,73-56,,H. Thompson enters the game for L. Mbah a Moute
4:00.0,,,73-56,,K. McDaniels misses 3-pt shot from 25 ft
3:58.0,,,73-56,,Offensive rebound by A. Shved
3:48.0,,,73-56,,T. Wroten misses 2-pt shot from 1 ft
3:47.0,,,73-56,,Offensive rebound by H. Sims
3:47.0,,,73-56,,H. Sims misses 2-pt shot from 1 ft
3:41.0,,,73-56,,Offensive rebound by H. Thompson
3:41.0,,,73-56,,H. Sims misses 2-pt shot from 1 ft
3:40.0,Defensive rebound by R. Rondo,,73-56,,
3:35.0,B. Bass makes 2-pt shot at rim (assist by K. Olynyk),2,75-56,,
3:12.0,,,75-56,,A. Shved misses 2-pt shot from 17 ft
