time,LA Clippers,pts.away,score,pts.home,San Antonio
6:40.0,,,20-14,2,T. Parker makes 2-pt shot from 18 ft
6:30.0,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul),2,22-14,,
6:20.0,,,22-14,,San Antonio full timeout
6:20.0,,,22-14,,M. Belinelli enters the game for K. Anderson
6:20.0,,,22-14,,M. Ginobili enters the game for D. Green
6:04.0,,,22-16,2,T. Duncan makes 2-pt shot from 11 ft
5:43.0,Offensive foul by B. Griffin,,22-16,,
5:43.0,Turnover by B. Griffin (offensive foul),,22-16,,
5:43.0,,,22-16,,B. Diaw enters the game for T. Splitter
5:43.0,,,22-16,,C. Joseph enters the game for T. Parker
5:31.0,,,22-18,2,B. Diaw makes 2-pt shot from 17 ft (assist by C. Joseph)
5:09.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,24-18,,
4:49.0,,,24-20,2,T. Duncan makes 2-pt shot from 3 ft (assist by M. Belinelli)
4:39.0,C. Paul misses 2-pt shot from 15 ft,,24-20,,
4:38.0,,,24-20,,Defensive rebound by T. Duncan
4:27.0,J. Crawford enters the game for M. Barnes,,24-20,,
4:24.0,,,24-22,2,M. Ginobili makes 2-pt shot from 1 ft (assist by B. Diaw)
4:04.0,J. Redick misses 3-pt shot from 26 ft,,24-22,,
4:03.0,,,24-22,,Defensive rebound by T. Duncan
3:43.0,,,24-22,,Turnover by T. Duncan (bad pass; steal by C. Paul)
3:26.0,B. Griffin misses 2-pt shot from 18 ft,,24-22,,
3:24.0,,,24-22,,Defensive rebound by M. Belinelli
3:13.0,,,24-25,3,M. Ginobili makes 3-pt shot from 24 ft (assist by B. Diaw)
3:08.0,LA Clippers full timeout,,24-25,,
3:08.0,,,24-25,,A. Baynes enters the game for T. Duncan
3:08.0,J. Farmar enters the game for C. Paul,,24-25,,
2:54.0,J. Farmar misses 2-pt shot from 17 ft,,24-25,,
2:53.0,,,24-25,,Defensive rebound by B. Diaw
2:45.0,,,24-25,,A. Baynes misses 2-pt shot from 3 ft (block by B. Griffin)
2:44.0,Defensive rebound by D. Jordan,,24-25,,
2:37.0,B. Griffin makes 2-pt shot at rim,2,26-25,,
2:32.0,Personal foul by J. Redick (drawn by M. Belinelli),,26-25,,
2:23.0,,,26-27,2,M. Ginobili makes 2-pt shot from 1 ft
2:10.0,J. Redick misses 2-pt shot from 15 ft,,26-27,,
2:09.0,,,26-27,,Defensive rebound by A. Baynes
2:01.0,,,26-27,,Turnover by M. Ginobili (bad pass; steal by D. Jordan)
1:55.0,J. Crawford makes 2-pt shot from 12 ft,2,28-27,,
1:55.0,Shooting foul by M. Belinelli (drawn by J. Crawford),,28-27,,
1:55.0,G. Davis enters the game for D. Jordan,,28-27,,
1:55.0,J. Crawford makes free throw 1 of 1,1,29-27,,
1:40.0,,,29-27,,Turnover by A. Baynes (lost ball; steal by G. Davis)
1:40.0,,,29-27,,Personal foul by A. Baynes (drawn by J. Redick)
1:40.0,J. Redick makes free throw 1 of 2,1,30-27,,
1:40.0,J. Redick makes free throw 2 of 2,1,31-27,,
1:24.0,,,31-30,3,M. Belinelli makes 3-pt shot from 24 ft (assist by C. Joseph)
1:07.0,J. Redick misses 2-pt shot from 19 ft,,31-30,,
1:06.0,,,31-30,,Defensive rebound by M. Belinelli
0:51.0,,,31-33,3,B. Diaw makes 3-pt shot from 24 ft (assist by M. Ginobili)
0:45.0,,,31-33,,Def 3 sec tech foul by A. Baynes
0:45.0,J. Redick misses technical free throw,,31-33,,
0:45.0,Offensive rebound by Team,,31-33,,
0:45.0,R. Bullock enters the game for J. Redick,,31-33,,
0:30.0,G. Davis makes 2-pt shot at rim (assist by B. Griffin),2,33-33,,
0:06.0,,,33-35,2,B. Diaw makes 2-pt shot from 21 ft (assist by M. Belinelli)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,G. Davis makes 2-pt shot from 2 ft (assist by J. Farmar),2,35-35,,
11:27.0,,,35-38,3,M. Belinelli makes 3-pt shot from 22 ft (assist by A. Baynes)
11:16.0,,,35-38,,Personal foul by T. Parker (drawn by J. Farmar)
11:11.0,J. Farmar misses 2-pt shot from 2 ft,,35-38,,
11:09.0,Offensive rebound by G. Davis,,35-38,,
11:09.0,G. Davis makes 2-pt shot at rim,2,37-38,,
10:59.0,,,37-38,,Turnover by T. Parker (bad pass; steal by G. Davis)
10:47.0,J. Farmar misses 2-pt shot at rim,,37-38,,
10:46.0,Offensive rebound by J. Farmar,,37-38,,
10:42.0,J. Farmar misses 3-pt shot from 24 ft,,37-38,,
10:42.0,,,37-38,,Defensive rebound by M. Ginobili
10:30.0,,,37-40,2,M. Ginobili makes 2-pt shot from 1 ft (assist by T. Parker)
10:19.0,J. Crawford makes 2-pt shot from 18 ft (assist by J. Farmar),2,39-40,,
9:58.0,,,39-40,,M. Ginobili misses 3-pt shot from 24 ft (block by R. Bullock)
9:57.0,,,39-40,,Offensive rebound by Team
9:57.0,,,39-40,,D. Green enters the game for M. Ginobili
9:54.0,,,39-42,2,T. Parker makes 2-pt shot from 15 ft (assist by B. Diaw)
9:24.0,J. Crawford misses 2-pt shot from 17 ft,,39-42,,
9:23.0,,,39-42,,Defensive rebound by B. Diaw
9:08.0,,,39-45,3,M. Belinelli makes 3-pt shot from 24 ft (assist by T. Parker)
8:46.0,Shooting foul by D. Green (drawn by J. Crawford),,39-45,,
8:46.0,Official timeout,,39-45,,
8:46.0,D. Jordan enters the game for G. Davis,,39-45,,
8:46.0,,,39-45,,T. Duncan enters the game for A. Baynes
8:46.0,J. Crawford makes free throw 1 of 2,1,40-45,,
8:46.0,J. Crawford makes free throw 2 of 2,1,41-45,,
8:28.0,Violation by D. Jordan (def goaltending),,41-45,,
8:28.0,,,41-47,2,B. Diaw makes 2-pt shot from 5 ft
8:20.0,C. Paul enters the game for J. Farmar,,41-47,,
8:11.0,J. Crawford misses 2-pt shot from 14 ft,,41-47,,
8:11.0,Offensive rebound by Team,,41-47,,
8:11.0,,,41-47,,Loose ball foul by M. Belinelli (drawn by D. Jordan)
8:04.0,H. Turkoglu misses 3-pt shot from 23 ft,,41-47,,
8:03.0,,,41-47,,Defensive rebound by T. Duncan
7:56.0,Personal foul by H. Turkoglu (drawn by T. Parker),,41-47,,
7:56.0,M. Barnes enters the game for H. Turkoglu,,41-47,,
7:50.0,,,41-47,,San Antonio full timeout
7:50.0,H. Turkoglu enters the game for R. Bullock,,41-47,,
7:50.0,,,41-47,,C. Joseph enters the game for M. Belinelli
7:43.0,,,41-49,2,T. Parker makes 2-pt shot from 20 ft
7:31.0,Shooting foul by C. Joseph (drawn by J. Crawford),,41-49,,
7:31.0,J. Crawford makes free throw 1 of 3,1,42-49,,
7:31.0,J. Crawford makes free throw 2 of 3,1,43-49,,
7:31.0,,,43-49,,T. Splitter enters the game for B. Diaw
7:31.0,B. Griffin enters the game for H. Turkoglu,,43-49,,
7:31.0,J. Crawford makes free throw 3 of 3,1,44-49,,
7:08.0,,,44-49,,Turnover by T. Parker (bad pass; steal by C. Paul)
6:50.0,C. Paul misses 2-pt shot from 13 ft,,44-49,,
6:49.0,,,44-49,,Defensive rebound by T. Duncan
6:41.0,,,44-51,2,T. Parker makes 2-pt shot from 9 ft
6:25.0,J. Crawford misses 3-pt shot from 26 ft,,44-51,,
6:24.0,Offensive rebound by D. Jordan,,44-51,,
6:23.0,Shooting foul by T. Splitter (drawn by D. Jordan),,44-51,,
6:23.0,D. Jordan misses free throw 1 of 2,,44-51,,
6:23.0,Offensive rebound by Team,,44-51,,
6:23.0,J. Redick enters the game for J. Crawford,,44-51,,
6:23.0,D. Jordan makes free throw 2 of 2,1,45-51,,
5:59.0,,,45-53,2,T. Splitter makes 2-pt shot from 7 ft (assist by T. Parker)
5:49.0,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul),2,47-53,,
5:35.0,,,47-55,2,T. Parker makes 2-pt shot from 2 ft
5:35.0,Violation by D. Jordan (def goaltending),,47-55,,
5:16.0,C. Paul misses 3-pt shot from 24 ft,,47-55,,
5:15.0,Offensive rebound by M. Barnes,,47-55,,
5:12.0,,,47-55,,Personal foul by T. Splitter (drawn by C. Paul)
5:12.0,C. Paul makes free throw 1 of 2,1,48-55,,
5:12.0,,,48-55,,M. Ginobili enters the game for T. Parker
5:12.0,,,48-55,,B. Diaw enters the game for T. Splitter
5:12.0,C. Paul makes free throw 2 of 2,1,49-55,,
4:59.0,,,49-55,,T. Duncan misses 2-pt shot from 3 ft (block by C. Paul)
4:58.0,,,49-55,,Offensive rebound by B. Diaw
4:56.0,,,49-55,,Shooting foul by M. Barnes (drawn by M. Ginobili)
4:56.0,,,49-56,1,M. Ginobili makes free throw 1 of 2
4:56.0,,,49-56,,M. Belinelli enters the game for D. Green
4:56.0,,,49-57,1,M. Ginobili makes free throw 2 of 2
4:34.0,B. Griffin misses 2-pt shot from 19 ft,,49-57,,
4:33.0,,,49-57,,Defensive rebound by M. Ginobili
4:20.0,,,49-59,2,T. Duncan makes 2-pt shot at rim (assist by M. Ginobili)
4:20.0,,,49-59,,Shooting foul by M. Barnes (drawn by T. Duncan)
4:20.0,,,49-60,1,T. Duncan makes free throw 1 of 1
4:10.0,J. Redick misses 2-pt shot from 1 ft,,49-60,,
4:10.0,,,49-60,,Defensive rebound by B. Diaw
3:57.0,,,49-62,2,M. Ginobili makes 2-pt shot from 14 ft (assist by M. Belinelli)
3:50.0,,,49-62,,Personal foul by B. Diaw (drawn by C. Paul)
3:50.0,C. Paul misses free throw 1 of 2,,49-62,,
3:50.0,Offensive rebound by Team,,49-62,,
3:50.0,C. Paul makes free throw 2 of 2,1,50-62,,
3:31.0,,,50-62,,M. Ginobili misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by Team,,50-62,,
3:30.0,LA Clippers full timeout,,50-62,,
3:30.0,,,50-62,,T. Parker enters the game for C. Joseph
3:30.0,J. Crawford enters the game for M. Barnes,,50-62,,
3:22.0,B. Griffin makes 2-pt shot from 1 ft (assist by D. Jordan),2,52-62,,
3:01.0,Personal foul by D. Jordan (drawn by M. Ginobili),,52-62,,
2:47.0,,,52-62,,T. Parker misses 2-pt shot from 13 ft (block by C. Paul)
2:45.0,Defensive rebound by C. Paul,,52-62,,
2:39.0,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin),3,55-62,,
2:21.0,,,55-62,,M. Belinelli misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by B. Griffin,,55-62,,
1:57.0,C. Paul makes 2-pt shot from 2 ft,2,57-62,,
1:47.0,,,57-64,2,T. Parker makes 2-pt shot from 15 ft
1:36.0,B. Griffin misses 2-pt shot from 19 ft,,57-64,,
1:35.0,,,57-64,,Defensive rebound by B. Diaw
1:26.0,,,57-66,2,B. Diaw makes 2-pt shot at rim (assist by T. Parker)
1:08.0,C. Paul makes 3-pt shot from 24 ft (assist by B. Griffin),3,60-66,,
0:56.0,Shooting block foul by J. Crawford (drawn by T. Parker),,60-66,,
0:56.0,,,60-67,1,T. Parker makes free throw 1 of 2
0:56.0,,,60-67,,T. Parker misses free throw 2 of 2
0:55.0,Defensive rebound by J. Crawford,,60-67,,
0:42.0,Turnover by B. Griffin (lost ball; steal by T. Duncan),,60-67,,
0:33.0,,,60-70,3,B. Diaw makes 3-pt shot from 24 ft (assist by M. Ginobili)
0:33.0,LA Clippers full timeout,,60-70,,
0:33.0,,,60-70,,D. Green enters the game for M. Belinelli
0:33.0,M. Barnes enters the game for D. Jordan,,60-70,,
0:33.0,,,60-70,,C. Joseph enters the game for B. Diaw
0:20.0,Turnover by C. Paul (bad pass; steal by C. Joseph),,60-70,,
0:01.0,,,60-72,2,M. Ginobili makes 2-pt shot from 4 ft (assist by D. Green)
0:00.0,Turnover by M. Barnes (bad pass; steal by T. Parker),,60-72,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,B. Griffin misses 2-pt shot from 3 ft,,60-72,,
11:38.0,,,60-72,,Defensive rebound by K. Anderson
11:15.0,,,60-72,,T. Duncan misses 2-pt shot from 4 ft
11:13.0,,,60-72,,Offensive rebound by T. Splitter
11:13.0,,,60-72,,T. Splitter misses 2-pt shot at rim
11:12.0,Defensive rebound by B. Griffin,,60-72,,
11:10.0,Turnover by B. Griffin (bad pass),,60-72,,
10:50.0,,,60-75,3,D. Green makes 3-pt shot from 25 ft (assist by T. Duncan)
10:31.0,Shooting foul by T. Duncan (drawn by B. Griffin),,60-75,,
10:31.0,B. Griffin misses free throw 1 of 2,,60-75,,
10:31.0,Offensive rebound by Team,,60-75,,
10:31.0,B. Griffin makes free throw 2 of 2,1,61-75,,
10:07.0,,,61-75,,D. Green misses 3-pt shot from 23 ft
10:06.0,Defensive rebound by D. Jordan,,61-75,,
9:59.0,J. Redick misses 3-pt shot from 25 ft,,61-75,,
9:58.0,,,61-75,,Defensive rebound by K. Anderson
9:44.0,,,61-78,3,K. Anderson makes 3-pt shot from 23 ft (assist by T. Splitter)
9:35.0,C. Paul misses 2-pt shot from 18 ft,,61-78,,
9:34.0,,,61-78,,Defensive rebound by K. Anderson
9:25.0,,,61-78,,Turnover by T. Splitter (bad pass; steal by B. Griffin)
9:19.0,C. Paul makes 2-pt shot from 17 ft,2,63-78,,
9:01.0,,,63-78,,K. Anderson misses 3-pt shot from 23 ft
9:00.0,Defensive rebound by Team,,63-78,,
9:00.0,LA Clippers full timeout,,63-78,,
8:50.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,65-78,,
8:50.0,Shooting foul by T. Splitter (drawn by B. Griffin),,65-78,,
8:50.0,,,65-78,,B. Diaw enters the game for T. Splitter
8:50.0,B. Griffin makes free throw 1 of 1,1,66-78,,
8:27.0,,,66-80,2,T. Duncan makes 2-pt shot from 16 ft (assist by K. Anderson)
8:10.0,B. Griffin makes 2-pt shot from 1 ft,2,68-80,,
7:45.0,,,68-80,,Shooting foul by M. Barnes (drawn by B. Diaw)
7:45.0,,,68-80,,B. Diaw misses free throw 1 of 2
7:45.0,,,68-80,,Offensive rebound by Team
7:45.0,,,68-80,,M. Belinelli enters the game for K. Anderson
7:45.0,,,68-81,1,B. Diaw makes free throw 2 of 2
7:27.0,M. Barnes makes 2-pt shot from 5 ft,2,70-81,,
7:09.0,,,70-81,,B. Diaw misses 3-pt shot from 23 ft
7:08.0,Defensive rebound by B. Griffin,,70-81,,
6:57.0,Turnover by C. Paul (bad pass; steal by D. Green),,70-81,,
6:54.0,,,70-83,2,B. Diaw makes 2-pt shot from 1 ft (assist by D. Green)
6:54.0,,,70-83,,Shooting foul by B. Griffin (drawn by B. Diaw)
6:54.0,,,70-83,,B. Diaw misses free throw 1 of 1
6:52.0,Defensive rebound by D. Jordan,,70-83,,
6:34.0,B. Griffin makes 2-pt shot from 7 ft,2,72-83,,
6:07.0,,,72-83,,T. Duncan misses 2-pt shot from 6 ft
6:06.0,Defensive rebound by C. Paul,,72-83,,
6:01.0,C. Paul makes 2-pt shot from 4 ft,2,74-83,,
6:00.0,,,74-83,,San Antonio full timeout
6:00.0,,,74-83,,M. Ginobili enters the game for D. Green
5:44.0,,,74-85,2,B. Diaw makes 2-pt shot from 1 ft (assist by M. Belinelli)
5:24.0,B. Griffin misses 2-pt shot from 4 ft,,74-85,,
5:23.0,,,74-85,,Defensive rebound by T. Duncan
5:04.0,,,74-87,2,T. Parker makes 2-pt shot from 15 ft
4:52.0,,,74-87,,Personal foul by M. Belinelli (drawn by B. Griffin)
4:40.0,D. Jordan makes 2-pt shot from 4 ft (assist by C. Paul),2,76-87,,
4:40.0,Shooting foul by T. Parker (drawn by D. Jordan),,76-87,,
4:40.0,D. Jordan misses free throw 1 of 1,,76-87,,
4:39.0,,,76-87,,Defensive rebound by T. Duncan
4:31.0,,,76-87,,T. Parker misses 2-pt shot from 19 ft
4:30.0,Defensive rebound by M. Barnes,,76-87,,
4:19.0,C. Paul misses 2-pt shot from 7 ft,,76-87,,
4:18.0,Offensive rebound by D. Jordan,,76-87,,
4:18.0,D. Jordan makes 2-pt shot at rim,2,78-87,,
3:54.0,,,78-87,,T. Duncan misses 2-pt shot from 10 ft
3:53.0,Defensive rebound by B. Griffin,,78-87,,
3:36.0,B. Griffin makes 2-pt shot from 6 ft (assist by C. Paul),2,80-87,,
3:13.0,,,80-87,,Turnover by T. Parker (lost ball; steal by M. Barnes)
3:01.0,C. Paul makes 3-pt shot from 25 ft,3,83-87,,
2:38.0,,,83-89,2,T. Duncan makes 2-pt shot at rim (assist by M. Ginobili)
2:31.0,LA Clippers full timeout,,83-89,,
2:31.0,J. Crawford enters the game for J. Redick,,83-89,,
2:31.0,,,83-89,,A. Baynes enters the game for T. Duncan
2:31.0,,,83-89,,C. Joseph enters the game for T. Parker
2:27.0,C. Paul misses 2-pt shot from 18 ft,,83-89,,
2:26.0,,,83-89,,Defensive rebound by M. Belinelli
2:20.0,,,83-92,3,M. Ginobili makes 3-pt shot from 24 ft (assist by C. Joseph)
2:01.0,B. Griffin misses 2-pt shot from 8 ft,,83-92,,
2:00.0,,,83-92,,Defensive rebound by B. Diaw
1:56.0,Personal foul by J. Crawford (drawn by M. Ginobili),,83-92,,
1:56.0,G. Davis enters the game for D. Jordan,,83-92,,
1:56.0,J. Farmar enters the game for C. Paul,,83-92,,
1:46.0,,,83-92,,Turnover by M. Ginobili (lost ball; steal by G. Davis)
1:43.0,J. Crawford makes 2-pt shot from 4 ft,2,85-92,,
1:24.0,,,85-92,,B. Diaw misses 2-pt shot from 5 ft
1:24.0,Defensive rebound by J. Farmar,,85-92,,
1:24.0,,,85-92,,Personal foul by B. Diaw (drawn by J. Farmar)
1:24.0,J. Farmar makes free throw 1 of 2,1,86-92,,
1:24.0,H. Turkoglu enters the game for B. Griffin,,86-92,,
1:24.0,R. Bullock enters the game for M. Barnes,,86-92,,
1:24.0,J. Farmar makes free throw 2 of 2,1,87-92,,
1:06.0,,,87-95,3,C. Joseph makes 3-pt shot from 25 ft (assist by M. Ginobili)
0:50.0,J. Crawford misses 2-pt shot from 13 ft,,87-95,,
0:49.0,,,87-95,,Defensive rebound by C. Joseph
0:28.0,,,87-95,,Turnover by A. Baynes (lost ball; steal by G. Davis)
0:08.0,R. Bullock makes 3-pt shot from 24 ft (assist by J. Crawford),3,90-95,,
0:02.0,,,90-95,,M. Ginobili misses 2-pt shot from 14 ft
0:00.0,Defensive rebound by R. Bullock,,90-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,90-95,,Turnover by M. Ginobili (bad pass)
11:23.0,J. Crawford makes 2-pt shot from 16 ft,2,92-95,,
11:09.0,,,92-97,2,B. Diaw makes 2-pt shot from 2 ft (assist by D. Green)
11:09.0,,,92-97,,Shooting foul by R. Bullock (drawn by B. Diaw)
11:09.0,,,92-98,1,B. Diaw makes free throw 1 of 1
10:55.0,J. Crawford misses 3-pt shot from 25 ft (block by C. Joseph),,92-98,,
10:55.0,,,92-98,,Defensive rebound by Team
10:55.0,,,92-98,,T. Parker enters the game for C. Joseph
10:55.0,,,92-98,,A. Baynes enters the game for B. Diaw
10:42.0,,,92-98,,Turnover by D. Green (bad pass; steal by J. Crawford)
10:31.0,G. Davis makes 2-pt shot from 1 ft (assist by J. Farmar),2,94-98,,
10:31.0,Shooting foul by A. Baynes (drawn by G. Davis),,94-98,,
10:31.0,,,94-98,,M. Bonner enters the game for M. Ginobili
10:31.0,,,94-98,,J. Ayres enters the game for A. Baynes
10:31.0,G. Davis makes free throw 1 of 1,1,95-98,,
10:24.0,Personal foul by H. Turkoglu (drawn by M. Bonner),,95-98,,
10:13.0,,,95-100,2,M. Bonner makes 2-pt shot from 7 ft (assist by D. Green)
10:00.0,J. Farmar makes 2-pt shot from 19 ft,2,97-100,,
9:32.0,,,97-100,,M. Bonner misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by R. Bullock,,97-100,,
9:24.0,J. Crawford misses 3-pt shot from 24 ft,,97-100,,
9:23.0,,,97-100,,Defensive rebound by J. Ayres
9:13.0,,,97-102,2,T. Parker makes 2-pt shot from 16 ft
8:52.0,J. Farmar makes 3-pt shot from 25 ft,3,100-102,,
8:30.0,,,100-102,,T. Parker misses 2-pt shot from 20 ft
8:29.0,Defensive rebound by J. Crawford,,100-102,,
8:17.0,J. Crawford makes 2-pt shot from 16 ft,2,102-102,,
7:57.0,,,102-102,,D. Green misses 3-pt shot from 23 ft
7:56.0,Defensive rebound by H. Turkoglu,,102-102,,
7:42.0,G. Davis misses 2-pt shot from 18 ft,,102-102,,
7:41.0,,,102-102,,Defensive rebound by J. Ayres
7:35.0,Personal foul by G. Davis (drawn by T. Parker),,102-102,,
7:35.0,Official timeout,,102-102,,
7:35.0,,,102-102,,T. Duncan enters the game for J. Ayres
7:35.0,J. Redick enters the game for G. Davis,,102-102,,
7:35.0,B. Griffin enters the game for R. Bullock,,102-102,,
7:35.0,D. Jordan enters the game for H. Turkoglu,,102-102,,
7:22.0,,,102-102,,T. Parker misses 2-pt shot from 2 ft (block by D. Jordan)
7:21.0,Defensive rebound by Team,,102-102,,
7:21.0,,,102-102,,T. Splitter enters the game for M. Bonner
7:12.0,Offensive foul by D. Jordan,,102-102,,
7:12.0,Turnover by D. Jordan (offensive foul),,102-102,,
6:56.0,,,102-105,3,T. Parker makes 3-pt shot from 26 ft (assist by M. Belinelli)
6:35.0,B. Griffin misses 2-pt shot from 19 ft,,102-105,,
6:34.0,Offensive rebound by J. Farmar,,102-105,,
6:27.0,B. Griffin makes 2-pt shot from 2 ft (assist by J. Farmar),2,104-105,,
6:21.0,,,104-105,,San Antonio full timeout
6:21.0,C. Paul enters the game for J. Farmar,,104-105,,
6:21.0,,,104-105,,C. Joseph enters the game for T. Parker
6:21.0,,,104-105,,M. Ginobili enters the game for M. Belinelli
6:09.0,,,104-108,3,D. Green makes 3-pt shot from 25 ft (assist by M. Ginobili)
5:44.0,C. Paul misses 2-pt shot from 17 ft,,104-108,,
5:44.0,Offensive rebound by D. Jordan,,104-108,,
5:35.0,Turnover by B. Griffin (bad pass; steal by T. Duncan),,104-108,,
5:16.0,,,104-110,2,T. Duncan makes 2-pt shot from 4 ft (assist by M. Ginobili)
4:59.0,B. Griffin misses 2-pt shot from 9 ft,,104-110,,
4:58.0,,,104-110,,Defensive rebound by T. Duncan
4:51.0,,,104-112,2,T. Splitter makes 2-pt shot at rim (assist by M. Ginobili)
4:51.0,LA Clippers full timeout,,104-112,,
4:40.0,J. Crawford makes 2-pt shot from 16 ft (assist by B. Griffin),2,106-112,,
4:15.0,,,106-112,,T. Duncan misses 2-pt shot from 5 ft
4:14.0,Defensive rebound by B. Griffin,,106-112,,
4:03.0,J. Crawford misses 2-pt shot from 17 ft,,106-112,,
4:02.0,,,106-112,,Defensive rebound by T. Duncan
3:52.0,,,106-115,3,D. Green makes 3-pt shot from 23 ft (assist by M. Ginobili)
3:34.0,LA Clippers full timeout,,106-115,,
3:34.0,,,106-115,,T. Parker enters the game for C. Joseph
3:28.0,B. Griffin misses 2-pt shot from 2 ft,,106-115,,
3:27.0,,,106-115,,Defensive rebound by T. Duncan
3:10.0,,,106-115,,M. Ginobili misses 3-pt shot from 25 ft
3:09.0,Defensive rebound by J. Crawford,,106-115,,
2:52.0,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin),3,109-115,,
2:40.0,Personal foul by J. Crawford (drawn by D. Green),,109-115,,
2:28.0,,,109-115,,T. Parker misses 2-pt shot from 20 ft
2:27.0,Defensive rebound by D. Jordan,,109-115,,
2:16.0,Turnover by J. Redick (bad pass),,109-115,,
1:58.0,,,109-115,,Shooting foul by D. Jordan (drawn by T. Duncan)
1:58.0,,,109-117,2,T. Duncan makes 2-pt shot from 5 ft (assist by T. Splitter)
1:58.0,,,109-118,1,T. Duncan makes free throw 1 of 1
1:49.0,B. Griffin makes 2-pt shot from 3 ft (assist by C. Paul),2,111-118,,
1:49.0,,,111-118,,Shooting block foul by T. Duncan (drawn by B. Griffin)
1:49.0,B. Griffin misses free throw 1 of 1,,111-118,,
1:48.0,,,111-118,,Defensive rebound by T. Duncan
1:26.0,,,111-118,,T. Parker misses 3-pt shot from 23 ft
1:25.0,Defensive rebound by B. Griffin,,111-118,,
1:13.0,C. Paul makes 2-pt shot from 3 ft,2,113-118,,
0:55.0,,,113-120,2,T. Duncan makes 2-pt shot from 19 ft (assist by M. Ginobili)
0:46.0,J. Redick misses 3-pt shot from 24 ft,,113-120,,
0:45.0,,,113-120,,Defensive rebound by T. Duncan
0:40.0,,,113-120,,San Antonio full timeout
0:40.0,M. Barnes enters the game for J. Crawford,,113-120,,
0:40.0,,,113-120,,B. Diaw enters the game for T. Splitter
