time,Utah,pts.away,score,pts.home,Cleveland
0:01.0,,,20-31,,Offensive rebound by T. Mozgov
0:01.0,,,20-31,,T. Mozgov misses 2-pt shot at rim
0:00.0,,,20-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,E. Millsap misses 2-pt shot from 1 ft (block by T. Mozgov),,20-31,,
11:41.0,Offensive rebound by E. Millsap,,20-31,,
11:39.0,Turnover by E. Millsap (bad pass; steal by S. Marion),,20-31,,
11:39.0,Personal foul by T. Burke (drawn by L. James),,20-31,,
11:30.0,,,20-33,2,L. James makes 2-pt shot at rim (assist by M. Dellavedova)
11:12.0,Turnover by T. Booker (bad pass; steal by T. Mozgov),,20-33,,
10:53.0,,,20-33,,Shooting foul by E. Millsap (drawn by L. James)
10:53.0,,,20-34,1,L. James makes free throw 1 of 2
10:53.0,,,20-34,,L. James misses free throw 2 of 2
10:52.0,Defensive rebound by T. Booker,,20-34,,
10:31.0,E. Millsap misses 3-pt shot from 25 ft,,20-34,,
10:30.0,,,20-34,,Defensive rebound by T. Mozgov
10:16.0,,,20-36,2,S. Marion makes 2-pt shot from 10 ft (assist by M. Dellavedova)
9:58.0,D. Exum misses 3-pt shot from 22 ft,,20-36,,
9:57.0,,,20-36,,Defensive rebound by T. Mozgov
9:50.0,,,20-36,,Turnover by S. Marion (lost ball)
9:50.0,E. Williams enters the game for E. Millsap,,20-36,,
9:33.0,T. Burke misses 2-pt shot from 18 ft,,20-36,,
9:32.0,,,20-36,,Defensive rebound by T. Mozgov
9:20.0,,,20-38,2,T. Mozgov makes 2-pt shot from 18 ft (assist by L. James)
8:54.0,T. Booker misses 2-pt shot from 16 ft,,20-38,,
8:54.0,Offensive rebound by Team,,20-38,,
8:54.0,Turnover by Team (shot clock),,20-38,,
8:54.0,Official timeout,,20-38,,
8:54.0,,,20-38,,K. Love enters the game for T. Thompson
8:54.0,J. Ingles enters the game for D. Exum,,20-38,,
8:54.0,E. Kanter enters the game for T. Booker,,20-38,,
8:32.0,,,20-38,,M. Dellavedova misses 2-pt shot from 10 ft
8:31.0,,,20-38,,Offensive rebound by K. Love
8:30.0,,,20-38,,Turnover by Team (shot clock)
8:08.0,E. Williams makes 3-pt shot from 25 ft (assist by R. Gobert),3,23-38,,
7:49.0,,,23-38,,Turnover by L. James (bad pass; steal by T. Burke)
7:46.0,,,23-38,,Personal foul by K. Love (drawn by E. Williams)
7:46.0,,,23-38,,K. Irving enters the game for M. Dellavedova
7:46.0,,,23-38,,J. Smith enters the game for S. Marion
7:33.0,E. Kanter misses 2-pt shot from 15 ft,,23-38,,
7:32.0,,,23-38,,Defensive rebound by J. Smith
7:25.0,,,23-40,2,L. James makes 2-pt shot from 4 ft
7:11.0,T. Burke misses 2-pt shot from 18 ft,,23-40,,
7:10.0,Offensive rebound by R. Gobert,,23-40,,
7:07.0,R. Gobert makes 2-pt shot at rim,2,25-40,,
6:59.0,,,25-40,,Shooting foul by T. Burke (drawn by L. James)
6:59.0,,,25-40,,L. James misses free throw 1 of 2
6:59.0,,,25-40,,Offensive rebound by Team
6:59.0,D. Exum enters the game for T. Burke,,25-40,,
6:59.0,,,25-40,,L. James misses free throw 2 of 2
6:59.0,Defensive rebound by R. Gobert,,25-40,,
6:41.0,E. Kanter makes 2-pt shot from 16 ft (assist by E. Williams),2,27-40,,
6:22.0,,,27-40,,T. Mozgov misses 2-pt shot from 5 ft (block by R. Gobert)
6:19.0,,,27-40,,Offensive rebound by K. Love
6:17.0,,,27-40,,K. Love misses 2-pt shot from 11 ft
6:17.0,,,27-40,,Offensive rebound by T. Mozgov
6:17.0,,,27-40,,Shooting foul by R. Gobert (drawn by T. Mozgov)
6:17.0,,,27-40,,T. Mozgov misses free throw 1 of 2
6:17.0,,,27-40,,Offensive rebound by Team
6:17.0,,,27-40,,T. Mozgov misses free throw 2 of 2
6:16.0,Defensive rebound by E. Kanter,,27-40,,
5:52.0,D. Exum misses 3-pt shot from 27 ft,,27-40,,
5:51.0,Offensive rebound by E. Kanter,,27-40,,
5:48.0,E. Kanter makes 2-pt shot from 1 ft,2,29-40,,
5:26.0,,,29-42,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
5:14.0,J. Ingles makes 3-pt shot from 23 ft (assist by D. Exum),3,32-42,,
4:56.0,,,32-42,,J. Smith misses 3-pt shot from 22 ft
4:55.0,Defensive rebound by E. Kanter,,32-42,,
4:33.0,J. Ingles misses 2-pt shot from 14 ft,,32-42,,
4:32.0,Offensive rebound by E. Kanter,,32-42,,
4:32.0,E. Kanter misses 2-pt shot at rim,,32-42,,
4:31.0,Offensive rebound by E. Kanter,,32-42,,
4:31.0,Shooting foul by K. Love (drawn by E. Kanter),,32-42,,
4:31.0,,,32-42,,Cleveland full timeout
4:31.0,G. Hayward enters the game for E. Williams,,32-42,,
4:31.0,E. Kanter misses free throw 1 of 2,,32-42,,
4:31.0,Offensive rebound by Team,,32-42,,
4:31.0,D. Favors enters the game for R. Gobert,,32-42,,
4:31.0,E. Kanter makes free throw 2 of 2,1,33-42,,
4:15.0,,,33-44,2,K. Irving makes 2-pt shot from 13 ft
4:00.0,D. Favors misses 2-pt shot from 14 ft,,33-44,,
3:58.0,,,33-44,,Defensive rebound by K. Irving
3:50.0,,,33-44,,K. Irving misses 2-pt shot from 12 ft
3:48.0,Defensive rebound by E. Kanter,,33-44,,
3:39.0,Turnover by D. Exum (bad pass; steal by K. Irving),,33-44,,
3:35.0,,,33-46,2,L. James makes 2-pt shot at rim (assist by K. Love)
3:15.0,Shooting foul by T. Mozgov (drawn by E. Kanter),,33-46,,
3:15.0,E. Kanter makes free throw 1 of 2,1,34-46,,
3:15.0,,,34-46,,T. Thompson enters the game for L. James
3:15.0,,,34-46,,S. Marion enters the game for K. Love
3:15.0,E. Kanter misses free throw 2 of 2,,34-46,,
3:13.0,,,34-46,,Defensive rebound by T. Thompson
2:48.0,,,34-46,,K. Irving misses 2-pt shot from 8 ft
2:47.0,,,34-46,,Offensive rebound by T. Mozgov
2:47.0,,,34-46,,T. Mozgov misses 2-pt shot at rim
2:46.0,,,34-46,,Offensive rebound by T. Mozgov
2:46.0,,,34-48,2,T. Mozgov makes 2-pt shot at rim
2:14.0,E. Kanter misses 2-pt shot from 18 ft,,34-48,,
2:13.0,,,34-48,,Defensive rebound by J. Smith
2:07.0,,,34-50,2,J. Smith makes 2-pt shot from 17 ft
1:56.0,G. Hayward misses 2-pt shot from 12 ft,,34-50,,
1:55.0,,,34-50,,Defensive rebound by K. Irving
1:52.0,,,34-52,2,S. Marion makes 2-pt shot at rim (assist by K. Irving)
1:28.0,Shooting foul by T. Mozgov (drawn by G. Hayward),,34-52,,
1:28.0,Utah full timeout,,34-52,,
1:28.0,,,34-52,,L. James enters the game for T. Mozgov
1:28.0,R. Gobert enters the game for D. Favors,,34-52,,
1:28.0,E. Williams enters the game for D. Exum,,34-52,,
1:28.0,G. Hayward makes free throw 1 of 2,1,35-52,,
1:28.0,G. Hayward makes free throw 2 of 2,1,36-52,,
1:13.0,,,36-52,,L. James misses 2-pt shot from 19 ft
1:13.0,Defensive rebound by R. Gobert,,36-52,,
0:58.0,E. Kanter misses 2-pt shot from 1 ft,,36-52,,
0:55.0,Offensive rebound by Team,,36-52,,
0:54.0,E. Williams makes 3-pt shot from 24 ft (assist by R. Gobert),3,39-52,,
0:37.0,,,39-52,,Shooting foul by R. Gobert (drawn by L. James)
0:37.0,,,39-53,1,L. James makes free throw 1 of 2
0:37.0,T. Booker enters the game for R. Gobert,,39-53,,
0:37.0,,,39-53,,L. James misses free throw 2 of 2
0:37.0,Defensive rebound by Team,,39-53,,
0:37.0,,,39-53,,Loose ball foul by T. Thompson (drawn by T. Booker)
0:37.0,T. Booker misses free throw 1 of 2,,39-53,,
0:37.0,Offensive rebound by Team,,39-53,,
0:37.0,T. Booker makes free throw 2 of 2,1,40-53,,
0:22.0,,,40-53,,L. James misses 3-pt shot from 25 ft
0:21.0,,,40-53,,Offensive rebound by T. Thompson
0:08.0,,,40-53,,K. Irving misses 2-pt shot from 4 ft
0:07.0,Defensive rebound by T. Booker,,40-53,,
0:03.0,Offensive charge foul by T. Booker,,40-53,,
0:03.0,Turnover by T. Booker (offensive foul),,40-53,,
0:03.0,,,40-53,,Cleveland full timeout
0:03.0,E. Millsap enters the game for J. Ingles,,40-53,,
0:03.0,,,40-53,,K. Love enters the game for T. Thompson
0:00.0,,,40-53,,J. Smith misses 3-pt shot from 29 ft
0:00.0,,,40-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,D. Favors misses 2-pt shot from 5 ft (block by K. Love),,40-53,,
11:44.0,Offensive rebound by Team,,40-53,,
11:42.0,T. Burke misses 2-pt shot from 13 ft,,40-53,,
11:41.0,,,40-53,,Defensive rebound by K. Love
11:23.0,,,40-53,,J. Smith misses 2-pt shot from 18 ft
11:22.0,Defensive rebound by T. Burke,,40-53,,
11:10.0,E. Kanter misses 2-pt shot from 3 ft,,40-53,,
11:09.0,Offensive rebound by E. Kanter,,40-53,,
11:07.0,E. Kanter misses 2-pt shot at rim (block by K. Love),,40-53,,
11:05.0,Offensive rebound by D. Favors,,40-53,,
10:59.0,T. Burke misses 2-pt shot from 18 ft,,40-53,,
10:58.0,,,40-53,,Defensive rebound by K. Love
10:49.0,,,40-53,,K. Love misses 3-pt shot from 24 ft
10:48.0,,,40-53,,Offensive rebound by L. James
10:44.0,,,40-56,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
10:25.0,D. Favors misses 2-pt shot from 8 ft,,40-56,,
10:24.0,,,40-56,,Defensive rebound by L. James
10:20.0,Personal foul by J. Ingles (drawn by L. James),,40-56,,
10:18.0,,,40-56,,Turnover by L. James (bad pass; steal by G. Hayward)
10:06.0,E. Kanter makes 2-pt shot from 18 ft (assist by G. Hayward),2,42-56,,
9:36.0,,,42-56,,J. Smith misses 3-pt shot from 30 ft
9:35.0,Defensive rebound by E. Kanter,,42-56,,
9:30.0,T. Burke misses 2-pt shot at rim,,42-56,,
9:29.0,,,42-56,,Defensive rebound by K. Love
9:27.0,Personal foul by J. Ingles (drawn by T. Mozgov),,42-56,,
9:16.0,,,42-56,,Turnover by K. Love (lost ball)
8:56.0,T. Burke misses 3-pt shot from 23 ft,,42-56,,
8:55.0,,,42-56,,Defensive rebound by K. Love
8:44.0,,,42-58,2,K. Love makes 2-pt shot from 19 ft (assist by K. Irving)
8:22.0,D. Favors makes 2-pt shot from 4 ft (assist by T. Burke),2,44-58,,
8:15.0,,,44-60,2,T. Mozgov makes 2-pt shot at rim (assist by K. Irving)
8:02.0,G. Hayward misses 3-pt shot from 25 ft,,44-60,,
8:01.0,,,44-60,,Defensive rebound by K. Love
7:59.0,,,44-62,2,L. James makes 2-pt shot at rim (assist by K. Love)
7:51.0,Utah full timeout,,44-62,,
7:39.0,E. Kanter misses 2-pt shot from 16 ft,,44-62,,
7:38.0,Offensive rebound by G. Hayward,,44-62,,
7:36.0,Turnover by G. Hayward (lost ball; steal by L. James),,44-62,,
7:21.0,,,44-62,,L. James misses 2-pt shot from 9 ft
7:19.0,,,44-62,,Offensive rebound by T. Mozgov
7:19.0,,,44-64,2,T. Mozgov makes 2-pt shot at rim
6:59.0,Turnover by G. Hayward (bad pass; steal by J. Smith),,44-64,,
6:53.0,,,44-66,2,J. Smith makes 2-pt shot at rim
6:27.0,Turnover by Team (shot clock),,44-66,,
6:11.0,,,44-66,,K. Love misses 3-pt shot from 25 ft
6:10.0,Defensive rebound by G. Hayward,,44-66,,
6:02.0,G. Hayward makes 2-pt shot from 1 ft (assist by J. Ingles),2,46-66,,
5:48.0,,,46-66,,K. Irving misses 2-pt shot from 17 ft
5:46.0,,,46-66,,Offensive rebound by K. Love
5:46.0,,,46-68,2,K. Love makes 2-pt shot at rim
5:33.0,R. Gobert enters the game for E. Kanter,,46-68,,
5:33.0,D. Exum enters the game for T. Burke,,46-68,,
5:33.0,,,46-68,,T. Thompson enters the game for T. Mozgov
5:21.0,Turnover by Team (shot clock),,46-68,,
4:58.0,,,46-70,2,L. James makes 2-pt shot from 7 ft
4:45.0,G. Hayward misses 2-pt shot from 7 ft,,46-70,,
4:44.0,Offensive rebound by R. Gobert,,46-70,,
4:44.0,R. Gobert makes 2-pt shot at rim,2,48-70,,
4:27.0,,,48-72,2,K. Love makes 2-pt shot from 6 ft (assist by L. James)
4:20.0,Turnover by D. Exum (lost ball; steal by K. Irving),,48-72,,
4:11.0,,,48-72,,J. Smith misses 3-pt shot from 22 ft
4:10.0,Defensive rebound by G. Hayward,,48-72,,
4:06.0,Turnover by G. Hayward (bad pass; steal by K. Irving),,48-72,,
4:00.0,,,48-74,2,K. Love makes 2-pt shot from 1 ft (assist by K. Irving)
4:00.0,Utah full timeout,,48-74,,
4:00.0,,,48-74,,M. Dellavedova enters the game for K. Irving
4:00.0,E. Millsap enters the game for J. Ingles,,48-74,,
3:46.0,,,48-74,,Personal foul by M. Dellavedova (drawn by D. Favors)
3:32.0,G. Hayward misses 2-pt shot from 17 ft,,48-74,,
3:29.0,,,48-74,,Defensive rebound by J. Smith
3:16.0,,,48-74,,Shooting foul by R. Gobert (drawn by L. James)
3:16.0,,,48-75,1,L. James makes free throw 1 of 2
3:16.0,,,48-76,1,L. James makes free throw 2 of 2
3:00.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,50-76,,
2:42.0,Personal foul by E. Millsap (drawn by L. James),,50-76,,
2:42.0,T. Booker enters the game for R. Gobert,,50-76,,
2:42.0,,,50-76,,T. Mozgov enters the game for K. Love
2:36.0,,,50-78,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
2:17.0,T. Booker makes 2-pt shot at rim (assist by D. Exum),2,52-78,,
1:59.0,,,52-78,,Turnover by L. James (bad pass; steal by D. Favors)
1:55.0,D. Exum makes 2-pt shot at rim (assist by G. Hayward),2,54-78,,
1:32.0,,,54-78,,J. Smith misses 2-pt shot at rim
1:31.0,Defensive rebound by Team,,54-78,,
1:31.0,,,54-78,,S. Marion enters the game for L. James
1:16.0,G. Hayward makes 3-pt shot from 24 ft (assist by D. Favors),3,57-78,,
1:09.0,,,57-78,,Cleveland full timeout
0:54.0,,,57-80,2,S. Marion makes 2-pt shot from 6 ft (assist by J. Smith)
0:38.0,Turnover by D. Exum (bad pass; steal by J. Smith),,57-80,,
0:33.0,,,57-82,2,T. Thompson makes 2-pt shot at rim (assist by J. Smith)
0:25.0,E. Millsap makes 3-pt shot from 23 ft (assist by D. Exum),3,60-82,,
0:06.0,,,60-82,,Turnover by J. Smith (lost ball)
0:01.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,62-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,62-84,2,K. Irving makes 2-pt shot at rim
11:32.0,E. Kanter makes 2-pt shot from 3 ft (assist by E. Williams),2,64-84,,
11:32.0,Shooting foul by T. Thompson (drawn by E. Kanter),,64-84,,
11:32.0,E. Kanter makes free throw 1 of 1,1,65-84,,
11:14.0,Personal foul by E. Millsap (drawn by T. Mozgov),,65-84,,
11:04.0,,,65-86,2,K. Irving makes 2-pt shot from 16 ft (assist by M. Dellavedova)
10:39.0,E. Kanter makes 2-pt shot from 13 ft (assist by E. Williams),2,67-86,,
10:26.0,,,67-89,3,K. Irving makes 3-pt shot from 27 ft
10:00.0,E. Williams makes 3-pt shot from 24 ft (assist by E. Kanter),3,70-89,,
9:41.0,,,70-91,2,T. Mozgov makes 2-pt shot from 16 ft (assist by M. Dellavedova)
9:16.0,T. Booker makes 2-pt shot from 6 ft (assist by E. Millsap),2,72-91,,
9:00.0,Violation by D. Exum (kicked ball),,72-91,,
9:00.0,,,72-91,,K. Love enters the game for T. Thompson
8:52.0,Official timeout,,72-91,,
8:52.0,Jump ball: K. Irving vs. E. Williams,,,,Jump ball: K. Irving vs. E. Williams
8:43.0,,,72-91,,K. Love misses 3-pt shot from 24 ft
8:42.0,Defensive rebound by E. Williams,,72-91,,
8:20.0,T. Booker misses 2-pt shot from 15 ft,,72-91,,
8:20.0,Offensive rebound by E. Kanter,,72-91,,
8:18.0,E. Kanter makes 2-pt shot at rim,2,74-91,,
8:01.0,,,74-91,,M. Dellavedova misses 3-pt shot from 27 ft
8:00.0,Defensive rebound by T. Booker,,74-91,,
7:48.0,E. Millsap makes 3-pt shot from 23 ft (assist by T. Booker),3,77-91,,
7:28.0,,,77-93,2,K. Irving makes 2-pt shot from 22 ft
7:28.0,,,77-93,,Shooting foul by E. Williams (drawn by K. Irving)
7:28.0,,,77-93,,J. Smith enters the game for S. Marion
7:28.0,,,77-93,,L. James enters the game for M. Dellavedova
7:28.0,I. Clark enters the game for E. Williams,,77-93,,
7:28.0,,,77-93,,K. Irving misses free throw 1 of 1
7:28.0,Defensive rebound by E. Kanter,,77-93,,
7:09.0,E. Millsap misses 3-pt shot from 24 ft,,77-93,,
7:09.0,,,77-93,,Defensive rebound by J. Smith
7:00.0,,,77-93,,Turnover by J. Smith (bad pass; steal by T. Booker)
6:57.0,Turnover by E. Millsap (bad pass; steal by L. James),,77-93,,
6:41.0,Personal foul by E. Kanter (drawn by T. Mozgov),,77-93,,
6:41.0,R. Gobert enters the game for T. Booker,,77-93,,
6:25.0,,,77-93,,L. James misses 2-pt shot from 5 ft
6:24.0,,,77-93,,Offensive rebound by T. Mozgov
6:24.0,,,77-93,,T. Mozgov misses 2-pt shot from 1 ft
6:23.0,,,77-93,,Offensive rebound by K. Love
6:04.0,,,77-93,,K. Love misses 3-pt shot from 23 ft
6:04.0,Defensive rebound by R. Gobert,,77-93,,
5:56.0,E. Kanter makes 2-pt shot at rim (assist by D. Exum),2,79-93,,
5:42.0,,,79-93,,Cleveland full timeout
5:42.0,,,79-93,,J. Smith misses 3-pt shot from 22 ft
5:42.0,Defensive rebound by E. Kanter,,79-93,,
5:36.0,E. Millsap makes 2-pt shot from 1 ft (assist by D. Exum),2,81-93,,
5:26.0,Personal foul by E. Millsap (drawn by L. James),,81-93,,
5:10.0,,,81-93,,L. James misses 2-pt shot from 17 ft
5:08.0,,,81-93,,Offensive rebound by K. Love
5:05.0,,,81-95,2,K. Love makes 2-pt shot at rim
4:53.0,E. Millsap misses 3-pt shot from 23 ft,,81-95,,
4:53.0,,,81-95,,Defensive rebound by K. Love
4:47.0,,,81-97,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
4:35.0,E. Kanter misses 2-pt shot from 17 ft,,81-97,,
4:34.0,Offensive rebound by E. Millsap,,81-97,,
4:34.0,E. Millsap makes 2-pt shot at rim,2,83-97,,
4:18.0,,,83-99,2,L. James makes 2-pt shot from 4 ft
4:18.0,,,83-99,,Shooting foul by I. Clark (drawn by L. James)
4:18.0,T. Booker enters the game for R. Gobert,,83-99,,
4:18.0,,,83-100,1,L. James makes free throw 1 of 1
4:02.0,D. Exum misses 3-pt shot from 24 ft,,83-100,,
4:01.0,Offensive rebound by E. Kanter,,83-100,,
4:00.0,E. Kanter makes 2-pt shot at rim,2,85-100,,
4:00.0,Shooting foul by T. Mozgov (drawn by E. Kanter),,85-100,,
4:00.0,E. Kanter makes free throw 1 of 1,1,86-100,,
3:41.0,,,86-100,,J. Smith misses 3-pt shot from 26 ft
3:40.0,,,86-100,,Offensive rebound by T. Mozgov
3:27.0,,,86-100,,K. Irving misses 3-pt shot from 25 ft
3:27.0,Defensive rebound by E. Kanter,,86-100,,
3:13.0,E. Millsap misses 2-pt shot from 1 ft,,86-100,,
3:10.0,Offensive rebound by E. Kanter,,86-100,,
3:10.0,E. Kanter makes 2-pt shot at rim,2,88-100,,
2:56.0,,,88-100,,Shooting foul by E. Kanter (drawn by L. James)
2:56.0,Utah full timeout,,88-100,,
2:56.0,,,88-101,1,L. James makes free throw 1 of 2
2:56.0,,,88-102,1,L. James makes free throw 2 of 2
2:44.0,Turnover by D. Exum (lost ball; steal by K. Irving),,88-102,,
2:31.0,,,88-102,,Turnover by L. James (traveling)
2:19.0,E. Kanter misses 2-pt shot from 16 ft,,88-102,,
2:18.0,,,88-102,,Defensive rebound by L. James
1:59.0,,,88-102,,Turnover by L. James (bad pass; steal by E. Kanter)
1:54.0,Turnover by E. Kanter (lost ball; steal by K. Irving),,88-102,,
