time,Oklahoma City,pts.away,score,pts.home,Milwaukee
6:35.0,,,29-27,,Shooting block foul by J. Bayless (drawn by S. Adams)
6:35.0,S. Adams makes free throw 1 of 2,1,30-27,,
6:35.0,S. Adams makes free throw 2 of 2,1,31-27,,
6:26.0,,,31-29,2,N. Wolters makes 2-pt shot at rim (assist by Z. Pachulia)
6:10.0,Turnover by R. Jackson (lost ball),,31-29,,
6:10.0,Jump ball: R. Jackson vs. Z. Pachulia (N. Wolters gains possession),,,,Jump ball: R. Jackson vs. Z. Pachulia (N. Wolters gains possession)
6:02.0,,,31-31,2,G. Antetokounmpo makes 2-pt shot at rim (assist by Z. Pachulia)
5:44.0,S. Telfair misses 2-pt shot from 5 ft,,31-31,,
5:44.0,Offensive rebound by S. Adams,,31-31,,
5:44.0,,,31-31,,Loose ball foul by Z. Pachulia (drawn by S. Adams)
5:44.0,Official timeout,,31-31,,
5:44.0,,,31-31,,B. Knight enters the game for J. Bayless
5:44.0,L. Thomas enters the game for S. Telfair,,31-31,,
5:39.0,R. Jackson misses 2-pt shot at rim,,31-31,,
5:38.0,,,31-31,,Defensive rebound by Z. Pachulia
5:17.0,,,31-31,,Z. Pachulia misses 2-pt shot from 10 ft
5:15.0,Defensive rebound by J. Lamb,,31-31,,
5:04.0,J. Lamb misses 2-pt shot from 5 ft,,31-31,,
5:02.0,,,31-31,,Defensive rebound by J. Dudley
4:55.0,,,31-31,,B. Knight misses 3-pt shot from 23 ft
4:54.0,,,31-31,,Offensive rebound by Z. Pachulia
4:51.0,,,31-31,,Turnover by Z. Pachulia (bad pass; steal by R. Jackson)
4:45.0,R. Jackson makes 2-pt shot from 19 ft,2,33-31,,
4:23.0,,,33-33,2,N. Wolters makes 2-pt shot from 18 ft
4:11.0,S. Ibaka misses 2-pt shot from 16 ft,,33-33,,
4:08.0,Offensive rebound by L. Thomas,,33-33,,
3:53.0,J. Lamb misses 2-pt shot from 8 ft,,33-33,,
3:52.0,Offensive rebound by J. Lamb,,33-33,,
3:52.0,Shooting foul by G. Antetokounmpo (drawn by J. Lamb),,33-33,,
3:52.0,J. Lamb makes free throw 1 of 2,1,34-33,,
3:52.0,K. Perkins enters the game for S. Adams,,34-33,,
3:52.0,J. Lamb makes free throw 2 of 2,1,35-33,,
3:31.0,,,35-33,,B. Knight misses 2-pt shot from 13 ft
3:30.0,,,35-33,,Offensive rebound by Z. Pachulia
3:25.0,,,35-33,,Turnover by G. Antetokounmpo (3 sec)
3:25.0,I. Smith enters the game for J. Lamb,,35-33,,
3:10.0,S. Ibaka misses 2-pt shot from 18 ft,,35-33,,
3:07.0,Offensive rebound by I. Smith,,35-33,,
3:02.0,Turnover by I. Smith (traveling),,35-33,,
3:02.0,,,35-33,,J. Parker enters the game for G. Antetokounmpo
2:48.0,,,35-33,,J. Parker misses 2-pt shot from 18 ft
2:47.0,,,35-33,,Offensive rebound by J. Dudley
2:46.0,,,35-35,2,J. Dudley makes 2-pt shot at rim
2:38.0,,,35-35,,Personal foul by J. Parker (drawn by S. Ibaka)
2:38.0,,,35-35,,Milwaukee full timeout
2:26.0,I. Smith misses 2-pt shot from 8 ft,,35-35,,
2:25.0,,,35-35,,Defensive rebound by Z. Pachulia
2:00.0,,,35-37,2,Z. Pachulia makes 2-pt shot from 15 ft (assist by J. Parker)
1:45.0,Shooting foul by Z. Pachulia (drawn by L. Thomas),,35-37,,
1:45.0,L. Thomas misses free throw 1 of 2,,35-37,,
1:45.0,Offensive rebound by Team,,35-37,,
1:45.0,L. Thomas makes free throw 2 of 2,1,36-37,,
1:35.0,Personal foul by K. Perkins (drawn by Z. Pachulia),,36-37,,
1:29.0,,,36-37,,J. Dudley misses 2-pt shot at rim (block by R. Jackson)
1:26.0,Defensive rebound by R. Jackson,,36-37,,
1:05.0,R. Jackson misses 3-pt shot from 25 ft,,36-37,,
1:03.0,,,36-37,,Defensive rebound by Z. Pachulia
0:46.0,,,36-39,2,J. Dudley makes 2-pt shot from 13 ft (assist by J. Parker)
0:35.0,,,36-39,,Shooting block foul by B. Knight (drawn by R. Jackson)
0:35.0,R. Jackson makes free throw 1 of 2,1,37-39,,
0:35.0,R. Jackson makes free throw 2 of 2,1,38-39,,
0:24.0,,,38-41,2,J. Parker makes 2-pt shot at rim
0:24.0,,,38-41,,Shooting foul by R. Jackson (drawn by J. Parker)
0:24.0,,,38-41,,J. Parker misses free throw 1 of 1
0:24.0,Defensive rebound by S. Ibaka,,38-41,,
0:01.0,I. Smith misses 3-pt shot from 23 ft,,38-41,,
0:00.0,Offensive rebound by Team,,38-41,,
0:00.0,Turnover by Team (shot clock),,38-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,38-41,,J. Dudley misses 2-pt shot from 1 ft
11:38.0,,,38-41,,Offensive rebound by L. Sanders
11:38.0,,,38-41,,L. Sanders misses 2-pt shot at rim
11:37.0,Defensive rebound by S. Adams,,38-41,,
11:18.0,R. Jackson misses 3-pt shot from 26 ft,,38-41,,
11:16.0,,,38-41,,Defensive rebound by J. Parker
11:12.0,,,38-41,,Offensive foul by L. Sanders
11:12.0,,,38-41,,Turnover by L. Sanders (offensive foul)
10:46.0,R. Jackson makes 2-pt shot from 17 ft,2,40-41,,
10:34.0,,,40-44,3,B. Knight makes 3-pt shot from 26 ft (assist by E. Ilyasova)
10:19.0,Shooting foul by E. Ilyasova (drawn by S. Ibaka),,40-44,,
10:19.0,S. Ibaka makes free throw 1 of 2,1,41-44,,
10:19.0,S. Ibaka makes free throw 2 of 2,1,42-44,,
10:00.0,,,42-46,2,B. Knight makes 2-pt shot from 16 ft (assist by J. Dudley)
9:45.0,S. Ibaka makes 3-pt shot from 25 ft,3,45-46,,
9:37.0,,,45-46,,B. Knight misses 2-pt shot from 16 ft
9:36.0,Defensive rebound by J. Lamb,,45-46,,
9:28.0,J. Lamb misses 2-pt shot from 13 ft,,45-46,,
9:28.0,,,45-46,,Defensive rebound by Team
9:28.0,Loose ball foul by S. Adams (drawn by E. Ilyasova),,45-46,,
9:21.0,Personal foul by J. Lamb (drawn by J. Dudley),,45-46,,
9:10.0,,,45-48,2,B. Knight makes 2-pt shot at rim
8:42.0,S. Ibaka misses 3-pt shot from 26 ft,,45-48,,
8:40.0,Offensive rebound by S. Adams,,45-48,,
8:40.0,S. Adams misses 2-pt shot at rim,,45-48,,
8:39.0,,,45-48,,Defensive rebound by J. Parker
8:34.0,,,45-48,,J. Parker misses 2-pt shot at rim
8:33.0,,,45-48,,Offensive rebound by J. Parker
8:33.0,,,45-50,2,J. Parker makes 2-pt shot at rim
8:33.0,Oklahoma City full timeout,,45-50,,
8:17.0,R. Jackson makes 2-pt shot from 5 ft (assist by S. Ibaka),2,47-50,,
7:56.0,,,47-50,,E. Ilyasova misses 2-pt shot from 5 ft
7:55.0,Defensive rebound by R. Jackson,,47-50,,
7:49.0,L. Thomas makes 2-pt shot from 16 ft (assist by R. Jackson),2,49-50,,
7:30.0,,,49-50,,Turnover by B. Knight (bad pass; steal by J. Lamb)
7:25.0,R. Jackson makes 2-pt shot at rim (assist by J. Lamb),2,51-50,,
7:25.0,,,51-50,,Milwaukee full timeout
7:25.0,A. Morrow enters the game for J. Lamb,,51-50,,
7:25.0,,,51-50,,O. Mayo enters the game for J. Dudley
7:18.0,Personal foul by S. Ibaka (drawn by E. Ilyasova),,51-50,,
7:06.0,,,51-50,,B. Knight misses 2-pt shot from 10 ft
7:04.0,Defensive rebound by S. Ibaka,,51-50,,
6:50.0,L. Thomas makes 2-pt shot from 1 ft (assist by R. Jackson),2,53-50,,
6:36.0,,,53-52,2,O. Mayo makes 2-pt shot at rim (assist by B. Knight)
6:31.0,,,53-52,,Personal foul by O. Mayo (drawn by R. Jackson)
6:31.0,,,53-52,,G. Antetokounmpo enters the game for J. Parker
6:23.0,A. Morrow misses 2-pt shot from 12 ft,,53-52,,
6:21.0,Offensive rebound by L. Thomas,,53-52,,
6:09.0,S. Adams misses 2-pt shot from 2 ft,,53-52,,
6:07.0,,,53-52,,Defensive rebound by E. Ilyasova
5:59.0,,,53-54,2,O. Mayo makes 2-pt shot from 7 ft (assist by B. Knight)
5:45.0,L. Thomas misses 2-pt shot from 17 ft,,53-54,,
5:44.0,,,53-54,,Defensive rebound by O. Mayo
5:40.0,,,53-56,2,G. Antetokounmpo makes 2-pt shot at rim (assist by O. Mayo)
5:11.0,R. Jackson makes 3-pt shot from 28 ft,3,56-56,,
5:01.0,Personal foul by L. Thomas (drawn by G. Antetokounmpo),,56-56,,
5:00.0,,,56-56,,Turnover by L. Sanders (traveling)
4:48.0,R. Jackson misses 2-pt shot from 8 ft,,56-56,,
4:47.0,,,56-56,,Defensive rebound by G. Antetokounmpo
4:37.0,,,56-59,3,O. Mayo makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
4:24.0,A. Morrow misses 2-pt shot from 17 ft,,56-59,,
4:22.0,,,56-59,,Defensive rebound by G. Antetokounmpo
4:22.0,Personal foul by A. Morrow (drawn by G. Antetokounmpo),,56-59,,
4:22.0,,,56-60,1,G. Antetokounmpo makes free throw 1 of 2
4:22.0,,,56-60,,G. Antetokounmpo misses free throw 2 of 2
4:22.0,,,56-60,,Offensive rebound by Team
4:21.0,K. Perkins enters the game for S. Adams,,56-60,,
4:21.0,Personal foul by R. Jackson (drawn by L. Sanders),,56-60,,
4:21.0,,,56-60,,L. Sanders misses free throw 1 of 2
4:21.0,,,56-60,,Offensive rebound by Team
4:21.0,,,56-60,,L. Sanders misses free throw 2 of 2
4:20.0,,,56-60,,Offensive rebound by G. Antetokounmpo
4:16.0,,,56-60,,G. Antetokounmpo misses 2-pt shot from 1 ft
4:14.0,,,56-60,,Offensive rebound by L. Sanders
4:14.0,,,56-60,,L. Sanders misses 2-pt shot from 1 ft
4:13.0,Defensive rebound by L. Thomas,,56-60,,
4:02.0,A. Morrow makes 2-pt shot from 17 ft,2,58-60,,
3:47.0,,,58-60,,B. Knight misses 3-pt shot from 25 ft
3:46.0,Defensive rebound by K. Perkins,,58-60,,
3:41.0,,,58-60,,Personal foul by L. Sanders (drawn by R. Jackson)
3:41.0,,,58-60,,Z. Pachulia enters the game for L. Sanders
3:34.0,S. Ibaka misses 2-pt shot from 17 ft,,58-60,,
3:33.0,,,58-60,,Defensive rebound by O. Mayo
3:24.0,,,58-60,,Shooting foul by S. Ibaka (drawn by G. Antetokounmpo)
3:24.0,,,58-61,1,G. Antetokounmpo makes free throw 1 of 2
3:24.0,N. Collison enters the game for S. Ibaka,,58-61,,
3:24.0,,,58-61,,G. Antetokounmpo misses free throw 2 of 2
3:23.0,Defensive rebound by K. Perkins,,58-61,,
3:01.0,R. Jackson misses 3-pt shot from 26 ft,,58-61,,
3:00.0,Offensive rebound by Team,,58-61,,
3:00.0,,,58-61,,Loose ball foul by E. Ilyasova (drawn by N. Collison)
2:51.0,A. Morrow makes 3-pt shot from 27 ft (assist by N. Collison),3,61-61,,
2:30.0,,,61-61,,Shooting foul by N. Collison (drawn by E. Ilyasova)
2:30.0,,,61-62,1,E. Ilyasova makes free throw 1 of 2
2:30.0,,,61-62,,J. Bayless enters the game for B. Knight
2:30.0,,,61-63,1,E. Ilyasova makes free throw 2 of 2
2:15.0,L. Thomas misses 2-pt shot from 18 ft,,61-63,,
2:15.0,Offensive rebound by K. Perkins,,61-63,,
2:15.0,,,61-63,,Loose ball foul by Z. Pachulia (drawn by K. Perkins)
2:15.0,K. Perkins makes free throw 1 of 2,1,62-63,,
2:15.0,J. Lamb enters the game for L. Thomas,,62-63,,
2:15.0,K. Perkins misses free throw 2 of 2,,62-63,,
2:14.0,,,62-63,,Defensive rebound by G. Antetokounmpo
1:59.0,,,62-63,,O. Mayo misses 2-pt shot from 17 ft
1:58.0,,,62-63,,Offensive rebound by Z. Pachulia
1:51.0,Personal foul by N. Collison (drawn by Z. Pachulia),,62-63,,
1:51.0,,,62-64,1,Z. Pachulia makes free throw 1 of 2
1:51.0,S. Telfair enters the game for R. Jackson,,62-64,,
1:51.0,,,62-64,,J. Henson enters the game for E. Ilyasova
1:51.0,,,62-65,1,Z. Pachulia makes free throw 2 of 2
1:31.0,Turnover by J. Lamb (bad pass; steal by Z. Pachulia),,62-65,,
1:29.0,,,62-67,2,J. Bayless makes 2-pt shot at rim (assist by Z. Pachulia)
1:18.0,A. Morrow misses 2-pt shot from 9 ft,,62-67,,
1:17.0,,,62-67,,Defensive rebound by Z. Pachulia
1:12.0,,,62-67,,Turnover by J. Bayless (lost ball)
0:56.0,J. Lamb makes 2-pt shot from 18 ft (assist by N. Collison),2,64-67,,
0:49.0,Personal foul by A. Morrow (drawn by O. Mayo),,64-67,,
0:49.0,,,64-68,1,O. Mayo makes free throw 1 of 2
0:49.0,,,64-68,,N. Wolters enters the game for G. Antetokounmpo
0:49.0,,,64-69,1,O. Mayo makes free throw 2 of 2
0:38.0,J. Lamb misses 3-pt shot from 25 ft,,64-69,,
0:37.0,,,64-69,,Defensive rebound by J. Henson
0:20.0,,,64-69,,O. Mayo misses 3-pt shot from 26 ft
0:19.0,Defensive rebound by S. Telfair,,64-69,,
0:08.0,K. Perkins misses 2-pt shot from 3 ft (block by J. Henson),,64-69,,
0:06.0,,,64-69,,Defensive rebound by N. Wolters
0:04.0,,,64-69,,N. Wolters misses 2-pt shot at rim
0:02.0,Defensive rebound by K. Perkins,,64-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,J. Lamb misses 2-pt shot from 1 ft,,64-69,,
11:43.0,,,64-69,,Defensive rebound by G. Antetokounmpo
11:19.0,,,64-69,,Shooting foul by K. Perkins (drawn by O. Mayo)
11:19.0,,,64-69,,O. Mayo misses free throw 1 of 2
11:19.0,,,64-69,,Offensive rebound by Team
11:19.0,,,64-70,1,O. Mayo makes free throw 2 of 2
10:55.0,S. Telfair misses 3-pt shot from 25 ft,,64-70,,
10:54.0,,,64-70,,Defensive rebound by O. Mayo
10:40.0,,,64-70,,O. Mayo misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by J. Lamb,,64-70,,
10:16.0,J. Lamb makes 2-pt shot from 5 ft (assist by R. Jackson),2,66-70,,
9:51.0,,,66-70,,N. Wolters misses 3-pt shot from 25 ft
9:50.0,,,66-70,,Offensive rebound by O. Mayo
9:41.0,,,66-70,,N. Wolters misses 2-pt shot at rim (block by K. Perkins)
9:38.0,Defensive rebound by J. Lamb,,66-70,,
9:24.0,J. Lamb misses 2-pt shot from 4 ft,,66-70,,
9:23.0,,,66-70,,Defensive rebound by Z. Pachulia
9:18.0,,,66-72,2,N. Wolters makes 2-pt shot from 3 ft
9:10.0,Oklahoma City full timeout,,66-72,,
9:10.0,S. Ibaka enters the game for K. Perkins,,66-72,,
8:51.0,R. Jackson misses 2-pt shot from 18 ft,,66-72,,
8:50.0,,,66-72,,Defensive rebound by J. Bayless
8:41.0,,,66-72,,Turnover by N. Wolters (bad pass)
8:27.0,S. Telfair misses 2-pt shot from 1 ft,,66-72,,
8:26.0,,,66-72,,Defensive rebound by G. Antetokounmpo
8:21.0,,,66-74,2,G. Antetokounmpo makes 2-pt shot at rim
8:00.0,Offensive charge foul by S. Ibaka,,66-74,,
8:00.0,Turnover by S. Ibaka (offensive foul),,66-74,,
8:00.0,Technical foul by S. Telfair,,66-74,,
8:00.0,,,66-75,1,O. Mayo makes technical free throw
8:00.0,S. Adams enters the game for N. Collison,,66-75,,
7:35.0,,,66-75,,N. Wolters misses 2-pt shot from 18 ft
7:33.0,Defensive rebound by S. Ibaka,,66-75,,
7:22.0,Shooting foul by Z. Pachulia (drawn by S. Adams),,66-75,,
7:22.0,S. Adams misses free throw 1 of 2,,66-75,,
7:22.0,Offensive rebound by Team,,66-75,,
7:22.0,S. Adams misses free throw 2 of 2,,66-75,,
7:20.0,,,66-75,,Defensive rebound by Z. Pachulia
7:01.0,,,66-77,2,G. Antetokounmpo makes 2-pt shot at rim (assist by N. Wolters)
6:52.0,,,66-77,,Personal foul by G. Antetokounmpo (drawn by S. Ibaka)
6:52.0,,,66-77,,E. Ilyasova enters the game for G. Antetokounmpo
6:52.0,,,66-77,,B. Knight enters the game for N. Wolters
6:38.0,S. Ibaka misses 2-pt shot from 16 ft,,66-77,,
6:38.0,Offensive rebound by Team,,66-77,,
6:38.0,,,66-77,,Loose ball foul by E. Ilyasova (drawn by S. Adams)
6:23.0,J. Lamb misses 3-pt shot from 24 ft,,66-77,,
6:22.0,,,66-77,,Defensive rebound by B. Knight
6:03.0,,,66-77,,Z. Pachulia misses 2-pt shot at rim (block by S. Adams)
6:00.0,Defensive rebound by J. Lamb,,66-77,,
5:55.0,S. Adams misses 2-pt shot from 1 ft,,66-77,,
5:54.0,Offensive rebound by S. Ibaka,,66-77,,
5:54.0,S. Ibaka makes 2-pt shot at rim,2,68-77,,
5:54.0,,,68-77,,Milwaukee full timeout
5:54.0,I. Smith enters the game for S. Telfair,,68-77,,
5:54.0,,,68-77,,L. Sanders enters the game for Z. Pachulia
5:42.0,,,68-77,,B. Knight misses 3-pt shot from 25 ft
5:41.0,,,68-77,,Offensive rebound by E. Ilyasova
5:32.0,,,68-77,,L. Sanders misses 2-pt shot from 15 ft
5:31.0,Defensive rebound by I. Smith,,68-77,,
5:15.0,Turnover by R. Jackson (bad pass; steal by E. Ilyasova),,68-77,,
5:05.0,,,68-77,,B. Knight misses 3-pt shot from 22 ft
