time,San Antonio,pts.away,score,pts.home,Washington
3:37.0,D. Green makes 2-pt shot at rim,2,42-45,,
3:37.0,,,42-45,,Washington full timeout
3:37.0,,,42-45,,M. Gortat enters the game for K. Seraphin
3:37.0,,,42-45,,N. Hilario enters the game for K. Humphries
3:37.0,,,42-45,,B. Beal enters the game for R. Butler
3:25.0,,,42-45,,Offensive foul by M. Gortat
3:25.0,,,42-45,,Turnover by M. Gortat (offensive foul)
3:12.0,D. Green misses 2-pt shot from 21 ft,,42-45,,
3:11.0,Offensive rebound by T. Duncan,,42-45,,
3:09.0,T. Duncan makes 2-pt shot from 9 ft,2,44-45,,
2:56.0,,,44-45,,Shooting foul by C. Joseph (drawn by B. Beal)
2:56.0,,,44-46,1,B. Beal makes free throw 1 of 2
2:56.0,,,44-47,1,B. Beal makes free throw 2 of 2
2:40.0,T. Duncan makes 2-pt shot from 8 ft (assist by C. Joseph),2,46-47,,
2:25.0,,,46-49,2,J. Wall makes 2-pt shot from 13 ft
2:07.0,T. Duncan misses 2-pt shot from 9 ft,,46-49,,
2:06.0,,,46-49,,Defensive rebound by B. Beal
1:54.0,,,46-49,,N. Hilario misses 2-pt shot from 15 ft
1:52.0,,,46-49,,Offensive rebound by N. Hilario
1:50.0,,,46-49,,N. Hilario misses 2-pt shot from 2 ft
1:49.0,Defensive rebound by T. Splitter,,46-49,,
1:38.0,T. Duncan misses 2-pt shot from 2 ft,,46-49,,
1:37.0,Offensive rebound by T. Splitter,,46-49,,
1:36.0,T. Splitter misses 2-pt shot from 1 ft,,46-49,,
1:35.0,,,46-49,,Defensive rebound by M. Gortat
1:35.0,,,46-49,,Turnover by P. Pierce (traveling)
1:35.0,M. Ginobili enters the game for D. Green,,46-49,,
1:18.0,Shooting foul by N. Hilario (drawn by T. Splitter),,46-49,,
1:18.0,T. Splitter misses free throw 1 of 2,,46-49,,
1:18.0,Offensive rebound by Team,,46-49,,
1:18.0,T. Splitter misses free throw 2 of 2,,46-49,,
1:17.0,,,46-49,,Defensive rebound by P. Pierce
0:57.0,,,46-51,2,J. Wall makes 2-pt shot from 3 ft (assist by B. Beal)
0:50.0,Shooting foul by P. Pierce (drawn by M. Ginobili),,46-51,,
0:50.0,M. Ginobili makes free throw 1 of 2,1,47-51,,
0:50.0,D. Green enters the game for C. Joseph,,47-51,,
0:50.0,M. Ginobili makes free throw 2 of 2,1,48-51,,
0:38.0,,,48-51,,J. Wall misses 2-pt shot from 13 ft
0:36.0,Defensive rebound by T. Duncan,,48-51,,
0:31.0,M. Ginobili misses 3-pt shot from 25 ft,,48-51,,
0:29.0,,,48-51,,Defensive rebound by N. Hilario
0:09.0,,,48-51,,B. Beal misses 3-pt shot from 26 ft
0:08.0,Defensive rebound by P. Mills,,48-51,,
0:01.0,T. Duncan misses 2-pt shot from 6 ft,,48-51,,
0:00.0,Offensive rebound by Team,,48-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,48-51,,Shooting foul by A. Daye (drawn by N. Hilario)
11:41.0,,,48-52,1,N. Hilario makes free throw 1 of 2
11:41.0,,,48-53,1,N. Hilario makes free throw 2 of 2
11:17.0,T. Duncan misses 2-pt shot from 7 ft,,48-53,,
11:16.0,,,48-53,,Defensive rebound by N. Hilario
11:06.0,,,48-55,2,J. Wall makes 2-pt shot from 3 ft
10:41.0,T. Duncan misses 2-pt shot from 16 ft,,48-55,,
10:40.0,,,48-55,,Defensive rebound by N. Hilario
10:34.0,,,48-55,,Shooting foul by D. Green (drawn by J. Wall)
10:34.0,,,48-56,1,J. Wall makes free throw 1 of 2
10:34.0,,,48-57,1,J. Wall makes free throw 2 of 2
10:22.0,T. Duncan misses 2-pt shot from 4 ft,,48-57,,
10:21.0,,,48-57,,Defensive rebound by N. Hilario
10:17.0,,,48-59,2,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall)
10:16.0,San Antonio full timeout,,48-59,,
10:14.0,A. Daye misses 2-pt shot from 16 ft,,48-59,,
10:14.0,,,48-59,,Defensive rebound by M. Gortat
10:14.0,,,48-59,,Turnover by J. Wall (bad pass)
10:14.0,C. Joseph enters the game for A. Daye,,48-59,,
9:58.0,T. Parker makes 2-pt shot from 4 ft (assist by C. Joseph),2,50-59,,
9:42.0,,,50-59,,N. Hilario misses 2-pt shot from 3 ft
9:41.0,,,50-59,,Offensive rebound by B. Beal
9:29.0,,,50-59,,J. Wall misses 3-pt shot from 26 ft
9:28.0,Defensive rebound by T. Duncan,,50-59,,
9:12.0,D. Green makes 3-pt shot from 27 ft (assist by T. Parker),3,53-59,,
8:58.0,,,53-59,,P. Pierce misses 2-pt shot from 2 ft
8:57.0,Defensive rebound by D. Green,,53-59,,
8:46.0,Turnover by T. Duncan (bad pass),,53-59,,
8:46.0,Loose ball foul by C. Joseph (drawn by B. Beal),,53-59,,
8:28.0,,,53-59,,Turnover by N. Hilario (offensive foul)
8:28.0,,,53-59,,Offensive foul by N. Hilario
8:13.0,T. Parker makes 2-pt shot from 6 ft,2,55-59,,
8:01.0,,,55-59,,Shooting foul by T. Duncan (drawn by P. Pierce)
8:01.0,,,55-60,1,P. Pierce makes free throw 1 of 2
8:01.0,,,55-61,1,P. Pierce makes free throw 2 of 2
7:50.0,T. Splitter misses 2-pt shot from 4 ft,,55-61,,
7:50.0,,,55-61,,Defensive rebound by M. Gortat
7:42.0,,,55-61,,Turnover by P. Pierce (lost ball; steal by T. Duncan)
7:36.0,T. Splitter makes 2-pt shot from 1 ft (assist by T. Duncan),2,57-61,,
7:19.0,,,57-61,,M. Gortat misses 2-pt shot from 7 ft
7:18.0,Defensive rebound by C. Joseph,,57-61,,
7:01.0,Turnover by T. Parker (bad pass),,57-61,,
6:51.0,,,57-61,,J. Wall misses 2-pt shot from 1 ft
6:51.0,Defensive rebound by Team,,57-61,,
6:34.0,T. Parker makes 2-pt shot from 1 ft (assist by C. Joseph),2,59-61,,
6:22.0,Personal foul by T. Duncan (drawn by M. Gortat),,59-61,,
6:22.0,,,59-61,,M. Gortat misses free throw 1 of 2
6:22.0,,,59-61,,Offensive rebound by Team
6:22.0,,,59-62,1,M. Gortat makes free throw 2 of 2
6:04.0,Turnover by T. Parker (bad pass; steal by B. Beal),,59-62,,
6:00.0,,,59-62,,B. Beal misses 2-pt shot at rim (block by D. Green)
5:57.0,Defensive rebound by T. Duncan,,59-62,,
5:48.0,T. Parker misses 2-pt shot from 19 ft,,59-62,,
5:47.0,Offensive rebound by Team,,59-62,,
5:46.0,,,59-62,,R. Butler enters the game for B. Beal
5:33.0,T. Duncan makes 2-pt shot at rim (assist by D. Green),2,61-62,,
5:13.0,,,61-64,2,J. Wall makes 2-pt shot from 16 ft
4:58.0,D. Green misses 3-pt shot from 28 ft,,61-64,,
4:57.0,,,61-64,,Defensive rebound by J. Wall
4:52.0,,,61-64,,Shooting foul by T. Splitter (drawn by N. Hilario)
4:52.0,,,61-66,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Wall)
4:52.0,M. Ginobili enters the game for T. Parker,,61-66,,
4:52.0,,,61-67,1,N. Hilario makes free throw 1 of 1
4:45.0,D. Green makes 3-pt shot from 26 ft (assist by T. Splitter),3,64-67,,
4:29.0,,,64-67,,Turnover by N. Hilario (bad pass)
4:29.0,,,64-67,,K. Humphries enters the game for N. Hilario
4:29.0,B. Diaw enters the game for T. Duncan,,64-67,,
4:14.0,D. Green misses 2-pt shot from 15 ft,,64-67,,
4:14.0,,,64-67,,Defensive rebound by M. Gortat
4:13.0,Personal take foul by M. Ginobili (drawn by J. Wall),,64-67,,
4:13.0,,,64-67,,J. Wall misses free throw 1 of 2
4:13.0,,,64-67,,Offensive rebound by Team
4:13.0,,,64-68,1,J. Wall makes free throw 2 of 2
3:52.0,B. Diaw misses 2-pt shot from 2 ft,,64-68,,
3:51.0,Offensive rebound by T. Splitter,,64-68,,
3:48.0,T. Splitter makes 2-pt shot from 1 ft,2,66-68,,
