time,Dallas,pts.away,score,pts.home,Sacramento
3:22.0,T. Chandler misses 2-pt shot from 2 ft (block by R. Gay),,18-19,,
3:20.0,,,18-19,,Defensive rebound by N. Stauskas
3:16.0,,,18-19,,R. Gay misses 2-pt shot at rim
3:13.0,,,18-19,,Offensive rebound by N. Stauskas
3:12.0,,,18-19,,Turnover by N. Stauskas (bad pass; steal by A. Aminu)
3:05.0,,,18-19,,Personal foul by R. Sessions (drawn by T. Chandler)
2:58.0,C. Villanueva misses 2-pt shot from 4 ft,,18-19,,
2:56.0,,,18-19,,Defensive rebound by D. Cousins
2:47.0,,,18-19,,R. Gay misses 2-pt shot from 2 ft (block by A. Aminu)
2:45.0,Defensive rebound by A. Aminu,,18-19,,
2:38.0,M. Ellis misses 3-pt shot from 25 ft,,18-19,,
2:37.0,Offensive rebound by A. Aminu,,18-19,,
2:21.0,D. Harris misses 3-pt shot from 24 ft,,18-19,,
2:21.0,,,18-19,,Defensive rebound by D. Cousins
2:06.0,,,18-21,2,R. Sessions makes 2-pt shot from 2 ft
2:06.0,Dallas full timeout,,18-21,,
2:06.0,R. Jefferson enters the game for A. Aminu,,18-21,,
2:06.0,C. Parsons enters the game for M. Ellis,,18-21,,
2:06.0,,,18-21,,O. Casspi enters the game for R. Gay
1:52.0,D. Harris misses 2-pt shot from 5 ft,,18-21,,
1:52.0,Offensive rebound by T. Chandler,,18-21,,
1:52.0,Shooting foul by R. Sessions (drawn by T. Chandler),,18-21,,
1:52.0,T. Chandler makes 2-pt shot at rim,2,20-21,,
1:52.0,T. Chandler misses free throw 1 of 1,,20-21,,
1:51.0,,,20-21,,Defensive rebound by D. Williams
1:35.0,,,20-23,2,D. Cousins makes 2-pt shot at rim
1:20.0,R. Jefferson misses 2-pt shot from 1 ft,,20-23,,
1:20.0,,,20-23,,Defensive rebound by Team
1:20.0,Loose ball foul by R. Jefferson (drawn by D. Cousins),,20-23,,
1:05.0,,,20-23,,N. Stauskas misses 3-pt shot from 24 ft
1:05.0,Defensive rebound by C. Villanueva,,20-23,,
0:57.0,R. Jefferson makes 3-pt shot from 24 ft (assist by C. Parsons),3,23-23,,
0:34.0,,,23-23,,N. Stauskas misses 3-pt shot from 24 ft
0:33.0,Defensive rebound by C. Villanueva,,23-23,,
0:15.0,Turnover by C. Parsons (lost ball; steal by N. Stauskas),,23-23,,
0:00.0,,,23-23,,D. Cousins misses 2-pt shot from 15 ft
0:00.0,,,23-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,C. Villanueva misses 2-pt shot from 1 ft,,23-23,,
11:42.0,Offensive rebound by C. Villanueva,,23-23,,
11:42.0,C. Villanueva makes 2-pt shot from 1 ft,2,25-23,,
11:29.0,Personal foul by R. Jefferson (drawn by R. Gay),,25-23,,
11:29.0,,,25-23,,C. Landry enters the game for J. Thompson
11:18.0,,,25-23,,R. Gay misses 2-pt shot from 16 ft
11:18.0,Defensive rebound by C. Parsons,,25-23,,
11:04.0,C. Villanueva misses 2-pt shot from 2 ft (block by C. Landry),,25-23,,
11:04.0,Offensive rebound by Team,,25-23,,
10:59.0,C. Parsons misses 3-pt shot from 23 ft,,25-23,,
10:59.0,,,25-23,,Defensive rebound by C. Landry
10:44.0,Personal foul by C. Villanueva (drawn by C. Landry),,25-23,,
10:36.0,,,25-23,,R. Gay misses 2-pt shot from 9 ft
10:35.0,Defensive rebound by R. Jefferson,,25-23,,
10:23.0,A. Aminu misses 2-pt shot from 1 ft,,25-23,,
10:22.0,,,25-23,,Defensive rebound by R. Gay
10:19.0,,,25-23,,C. Landry misses 2-pt shot from 2 ft (block by A. Aminu)
10:16.0,,,25-23,,Offensive rebound by O. Casspi
10:15.0,,,25-25,2,O. Casspi makes 2-pt shot at rim
10:15.0,,,25-25,,Violation by Team (delay of game)
10:08.0,Shooting foul by C. Landry (drawn by D. Harris),,25-25,,
10:08.0,D. Harris makes free throw 1 of 2,1,26-25,,
10:08.0,D. Harris makes free throw 2 of 2,1,27-25,,
9:53.0,,,27-27,2,O. Casspi makes 2-pt shot from 10 ft
9:53.0,,,27-27,,Shooting foul by A. Aminu (drawn by O. Casspi)
9:53.0,,,27-28,1,O. Casspi makes free throw 1 of 1
9:42.0,D. Harris misses 2-pt shot from 2 ft,,27-28,,
9:41.0,Offensive rebound by A. Aminu,,27-28,,
9:41.0,A. Aminu misses 2-pt shot from 1 ft,,27-28,,
9:40.0,,,27-28,,Defensive rebound by Team
9:25.0,,,27-30,2,R. Gay makes 2-pt shot from 3 ft
9:16.0,C. Parsons misses 2-pt shot from 4 ft,,27-30,,
9:15.0,,,27-30,,Defensive rebound by O. Casspi
9:11.0,,,27-30,,Offensive charge foul by O. Casspi
9:11.0,,,27-30,,Turnover by O. Casspi (offensive foul)
9:11.0,M. Ellis enters the game for C. Parsons,,27-30,,
8:55.0,C. Villanueva misses 3-pt shot from 23 ft,,27-30,,
8:53.0,,,27-30,,Defensive rebound by N. Stauskas
8:47.0,,,27-30,,R. Sessions misses 2-pt shot from 2 ft (block by C. Villanueva)
8:43.0,Defensive rebound by A. Aminu,,27-30,,
8:42.0,Shooting foul by R. Gay (drawn by D. Harris),,27-30,,
8:42.0,Official timeout,,27-30,,
8:42.0,,,27-30,,B. McLemore enters the game for N. Stauskas
8:42.0,,,27-30,,D. Collison enters the game for R. Sessions
8:42.0,D. Harris makes free throw 1 of 2,1,28-30,,
8:42.0,D. Harris makes free throw 2 of 2,1,29-30,,
8:30.0,,,29-30,,Offensive foul by C. Landry
8:30.0,,,29-30,,Turnover by C. Landry (offensive foul)
8:18.0,C. Villanueva makes 2-pt shot from 8 ft (assist by D. Harris),2,31-30,,
7:54.0,,,31-30,,R. Gay misses 2-pt shot from 8 ft
7:54.0,Defensive rebound by R. Jefferson,,31-30,,
7:40.0,R. Jefferson misses 3-pt shot from 23 ft,,31-30,,
7:40.0,Offensive rebound by M. Ellis,,31-30,,
7:36.0,R. Jefferson makes 2-pt shot from 2 ft (assist by M. Ellis),2,33-30,,
7:36.0,Shooting foul by O. Casspi (drawn by R. Jefferson),,33-30,,
7:36.0,T. Chandler enters the game for A. Aminu,,33-30,,
7:36.0,J. Barea enters the game for D. Harris,,33-30,,
7:36.0,,,33-30,,D. Cousins enters the game for C. Landry
7:36.0,R. Jefferson misses free throw 1 of 1,,33-30,,
7:32.0,,,33-30,,Defensive rebound by R. Gay
7:15.0,,,33-32,2,D. Cousins makes 2-pt shot from 16 ft (assist by R. Gay)
7:00.0,C. Villanueva misses 3-pt shot from 26 ft,,33-32,,
6:59.0,,,33-32,,Defensive rebound by D. Collison
6:58.0,,,33-32,,Shooting foul by C. Villanueva (drawn by R. Gay)
6:58.0,,,33-32,,R. Gay misses free throw 1 of 2
6:58.0,,,33-32,,Offensive rebound by Team
6:58.0,,,33-32,,J. Thompson enters the game for O. Casspi
6:58.0,Dallas full timeout,,33-32,,
6:58.0,,,33-33,1,R. Gay makes free throw 2 of 2
6:45.0,Turnover by M. Ellis (bad pass; steal by D. Cousins),,33-33,,
6:42.0,,,33-33,,Turnover by D. Collison (step out of bounds)
6:16.0,R. Jefferson misses 2-pt shot from 9 ft,,33-33,,
6:15.0,,,33-33,,Defensive rebound by J. Thompson
6:02.0,,,33-33,,D. Cousins misses 2-pt shot from 3 ft
6:01.0,Defensive rebound by T. Chandler,,33-33,,
5:56.0,C. Villanueva makes 2-pt shot from 2 ft (assist by J. Barea),2,35-33,,
5:40.0,,,35-33,,B. McLemore misses 3-pt shot from 24 ft
5:37.0,,,35-33,,Offensive rebound by R. Gay
5:31.0,,,35-33,,B. McLemore misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by R. Jefferson,,35-33,,
5:20.0,C. Villanueva misses 3-pt shot from 23 ft,,35-33,,
5:20.0,,,35-33,,Defensive rebound by R. Gay
5:16.0,,,35-35,2,B. McLemore makes 2-pt shot at rim (assist by R. Gay)
4:49.0,R. Jefferson makes 3-pt shot from 24 ft (assist by J. Barea),3,38-35,,
4:35.0,,,38-35,,Turnover by D. Collison (lost ball; steal by M. Ellis)
4:30.0,T. Chandler makes 2-pt shot at rim (assist by J. Barea),2,40-35,,
4:27.0,,,40-35,,Sacramento full timeout
4:27.0,A. Aminu enters the game for C. Villanueva,,40-35,,
4:27.0,C. Parsons enters the game for R. Jefferson,,40-35,,
4:10.0,,,40-35,,D. Cousins misses 2-pt shot from 3 ft (block by A. Aminu)
4:08.0,Defensive rebound by T. Chandler,,40-35,,
4:04.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,42-35,,
3:40.0,,,42-35,,J. Thompson misses 2-pt shot from 7 ft
3:40.0,Defensive rebound by T. Chandler,,42-35,,
3:30.0,J. Barea makes 2-pt shot from 8 ft,2,44-35,,
3:18.0,,,44-35,,Turnover by R. Gay (bad pass; steal by A. Aminu)
3:10.0,C. Parsons makes 3-pt shot from 23 ft (assist by M. Ellis),3,47-35,,
3:10.0,,,47-35,,Sacramento full timeout
2:56.0,,,47-35,,Turnover by D. Cousins (bad pass)
2:56.0,,,47-35,,D. Williams enters the game for J. Thompson
2:44.0,M. Ellis makes 2-pt shot from 20 ft,2,49-35,,
2:27.0,,,49-37,2,D. Collison makes 2-pt shot from 18 ft
2:00.0,M. Ellis makes 3-pt shot from 24 ft (assist by C. Parsons),3,52-37,,
1:46.0,,,52-39,2,D. Collison makes 2-pt shot at rim
1:34.0,J. Barea makes 2-pt shot from 12 ft,2,54-39,,
1:16.0,,,54-39,,Shooting foul by A. Aminu (drawn by R. Gay)
1:16.0,,,54-40,1,R. Gay makes free throw 1 of 2
1:16.0,,,54-40,,R. Sessions enters the game for D. Collison
1:16.0,R. Jefferson enters the game for A. Aminu,,54-40,,
1:16.0,,,54-41,1,R. Gay makes free throw 2 of 2
1:01.0,M. Ellis makes 3-pt shot from 25 ft,3,57-41,,
0:39.0,,,57-41,,B. McLemore misses 3-pt shot from 23 ft
0:38.0,Defensive rebound by T. Chandler,,57-41,,
0:32.0,J. Barea misses 3-pt shot from 24 ft,,57-41,,
0:31.0,Offensive rebound by Team,,57-41,,
0:31.0,Dallas full timeout,,57-41,,
0:31.0,,,57-41,,N. Stauskas enters the game for B. McLemore
0:29.0,Turnover by J. Barea (bad pass; steal by R. Gay),,57-41,,
0:25.0,,,57-41,,Shooting foul by C. Parsons (drawn by R. Gay)
0:25.0,,,57-42,1,R. Gay makes free throw 1 of 2
0:25.0,,,57-42,,R. McCallum enters the game for N. Stauskas
0:25.0,C. Villanueva enters the game for R. Jefferson,,57-42,,
0:25.0,,,57-43,1,R. Gay makes free throw 2 of 2
0:07.0,,,57-43,,Personal foul by D. Cousins (drawn by T. Chandler)
0:00.0,M. Ellis makes 3-pt shot from 25 ft,3,60-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,60-43,,Violation by J. Thompson (kicked ball)
11:36.0,A. Aminu misses 3-pt shot from 25 ft,,60-43,,
11:36.0,,,60-43,,Defensive rebound by R. Gay
11:17.0,,,60-43,,R. Gay misses 3-pt shot from 24 ft
11:16.0,Defensive rebound by J. Barea,,60-43,,
11:05.0,C. Parsons misses 2-pt shot from 8 ft,,60-43,,
11:04.0,,,60-43,,Defensive rebound by J. Thompson
10:55.0,,,60-43,,Turnover by D. Cousins (bad pass; steal by C. Parsons)
10:53.0,Turnover by C. Parsons (bad pass),,60-43,,
10:44.0,,,60-45,2,R. Sessions makes 2-pt shot from 5 ft
10:22.0,M. Ellis makes 2-pt shot from 10 ft,2,62-45,,
10:06.0,,,62-45,,B. McLemore misses 3-pt shot from 23 ft
10:05.0,Defensive rebound by T. Chandler,,62-45,,
9:46.0,T. Chandler makes 2-pt shot from 15 ft (assist by A. Aminu),2,64-45,,
9:24.0,,,64-48,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Cousins)
9:09.0,Shooting foul by J. Thompson (drawn by T. Chandler),,64-48,,
9:09.0,T. Chandler makes free throw 1 of 2,1,65-48,,
9:09.0,T. Chandler makes free throw 2 of 2,1,66-48,,
8:49.0,,,66-48,,D. Cousins misses 2-pt shot from 16 ft
8:49.0,Defensive rebound by T. Chandler,,66-48,,
8:36.0,M. Ellis misses 2-pt shot from 21 ft,,66-48,,
8:36.0,,,66-48,,Defensive rebound by R. Gay
8:21.0,,,66-48,,Offensive charge foul by R. Gay
8:21.0,,,66-48,,Turnover by R. Gay (offensive foul)
8:03.0,Offensive foul by A. Aminu,,66-48,,
8:03.0,Turnover by A. Aminu (offensive foul),,66-48,,
7:46.0,,,66-48,,D. Cousins misses 2-pt shot from 5 ft
7:45.0,Defensive rebound by T. Chandler,,66-48,,
7:40.0,J. Barea makes 2-pt shot from 18 ft,2,68-48,,
7:23.0,,,68-48,,Shooting foul by J. Barea (drawn by R. Sessions)
7:23.0,,,68-49,1,R. Sessions makes free throw 1 of 2
7:23.0,R. Jefferson enters the game for A. Aminu,,68-49,,
7:23.0,,,68-49,,R. Sessions misses free throw 2 of 2
7:23.0,,,68-49,,Offensive rebound by D. Cousins
7:19.0,,,68-49,,Turnover by D. Cousins (lost ball; steal by R. Jefferson)
7:01.0,M. Ellis misses 3-pt shot from 24 ft,,68-49,,
7:01.0,,,68-49,,Defensive rebound by B. McLemore
6:55.0,Personal foul by M. Ellis (drawn by D. Cousins),,68-49,,
6:55.0,G. Smith enters the game for T. Chandler,,68-49,,
6:44.0,,,68-49,,D. Cousins misses 2-pt shot from 17 ft
6:43.0,Defensive rebound by C. Parsons,,68-49,,
6:34.0,R. Jefferson makes 3-pt shot from 25 ft (assist by C. Parsons),3,71-49,,
6:34.0,,,71-49,,Sacramento full timeout
6:34.0,,,71-49,,D. Williams enters the game for R. Gay
6:34.0,,,71-49,,O. Casspi enters the game for J. Thompson
6:16.0,,,71-49,,O. Casspi misses 2-pt shot from 5 ft
6:15.0,Defensive rebound by G. Smith,,71-49,,
5:53.0,J. Barea makes 2-pt shot from 2 ft,2,73-49,,
5:28.0,,,73-49,,Shooting foul by G. Smith (drawn by D. Cousins)
5:28.0,,,73-50,1,D. Cousins makes free throw 1 of 2
5:28.0,,,73-51,1,D. Cousins makes free throw 2 of 2
5:11.0,M. Ellis misses 2-pt shot from 17 ft,,73-51,,
5:11.0,,,73-51,,Defensive rebound by O. Casspi
4:59.0,,,73-51,,Turnover by D. Cousins (bad pass)
4:45.0,J. Barea misses 2-pt shot from 10 ft,,73-51,,
4:44.0,,,73-51,,Defensive rebound by O. Casspi
4:36.0,,,73-53,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Sessions)
4:18.0,C. Parsons makes 3-pt shot from 24 ft (assist by J. Barea),3,76-53,,
3:58.0,T. Chandler enters the game for J. Barea,,76-53,,
3:58.0,C. Villanueva enters the game for G. Smith,,76-53,,
3:58.0,D. Harris enters the game for R. Jefferson,,76-53,,
3:46.0,,,76-55,2,R. Sessions makes 2-pt shot from 16 ft
3:27.0,M. Ellis makes 2-pt shot from 13 ft (assist by T. Chandler),2,78-55,,
3:10.0,,,78-55,,D. Williams misses 2-pt shot from 16 ft
3:09.0,Defensive rebound by C. Parsons,,78-55,,
3:02.0,M. Ellis misses 3-pt shot from 24 ft,,78-55,,
3:02.0,,,78-55,,Defensive rebound by B. McLemore
2:58.0,Dallas full timeout,,78-55,,
2:58.0,,,78-55,,R. McCallum enters the game for R. Sessions
2:58.0,R. Jefferson enters the game for C. Parsons,,78-55,,
2:44.0,,,78-57,2,D. Williams makes 2-pt shot from 19 ft
2:26.0,D. Harris makes 3-pt shot from 25 ft (assist by M. Ellis),3,81-57,,
2:14.0,Violation by T. Chandler (kicked ball),,81-57,,
2:01.0,,,81-57,,R. McCallum misses 3-pt shot from 22 ft
1:59.0,Defensive rebound by R. Jefferson,,81-57,,
1:51.0,,,81-57,,Personal foul by D. Cousins (drawn by D. Harris)
1:40.0,M. Ellis misses 2-pt shot from 21 ft,,81-57,,
1:39.0,,,81-57,,Defensive rebound by D. Cousins
1:33.0,,,81-57,,B. McLemore misses 2-pt shot from 18 ft
1:32.0,Defensive rebound by T. Chandler,,81-57,,
1:28.0,M. Ellis misses 2-pt shot from 2 ft (block by D. Cousins),,81-57,,
1:28.0,Offensive rebound by Team,,81-57,,
1:22.0,R. Jefferson misses 3-pt shot from 24 ft,,81-57,,
1:20.0,,,81-57,,Defensive rebound by B. McLemore
1:14.0,,,81-59,2,D. Cousins makes 2-pt shot from 5 ft (assist by B. McLemore)
1:14.0,,,81-59,,Shooting foul by R. Jefferson (drawn by D. Cousins)
1:14.0,,,81-60,1,D. Cousins makes free throw 1 of 1
0:58.0,D. Harris makes 2-pt shot from 3 ft,2,83-60,,
0:48.0,,,83-60,,B. McLemore misses 3-pt shot from 24 ft
0:47.0,Defensive rebound by C. Villanueva,,83-60,,
0:36.0,Turnover by M. Ellis (traveling),,83-60,,
0:36.0,J. Barea enters the game for M. Ellis,,83-60,,
0:25.0,,,83-60,,Turnover by B. McLemore (lost ball)
0:04.0,D. Harris misses 3-pt shot from 25 ft,,83-60,,
0:03.0,,,83-60,,Defensive rebound by O. Casspi
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,83-60,,Turnover by N. Stauskas (lost ball; steal by T. Chandler)
11:20.0,J. Barea misses 3-pt shot from 23 ft,,83-60,,
11:20.0,,,83-60,,Defensive rebound by R. Gay
11:16.0,,,83-60,,N. Stauskas misses 2-pt shot at rim
11:14.0,Defensive rebound by Team,,83-60,,
10:55.0,T. Chandler misses 2-pt shot from 1 ft (block by D. Cousins),,83-60,,
10:52.0,,,83-60,,Defensive rebound by D. Cousins
10:45.0,,,83-60,,D. Cousins misses 2-pt shot from 1 ft (block by C. Villanueva)
10:45.0,,,83-60,,Offensive rebound by Team
10:35.0,,,83-60,,R. Gay misses 3-pt shot from 22 ft
10:34.0,Defensive rebound by C. Villanueva,,83-60,,
10:20.0,C. Villanueva misses 3-pt shot from 25 ft,,83-60,,
10:19.0,,,83-60,,Defensive rebound by D. Cousins
10:15.0,,,83-60,,N. Stauskas misses 2-pt shot from 1 ft (block by D. Harris)
10:14.0,,,83-60,,Offensive rebound by Team
10:00.0,,,83-60,,R. McCallum misses 2-pt shot from 20 ft
10:00.0,Defensive rebound by T. Chandler,,83-60,,
9:49.0,T. Chandler makes 2-pt shot from 3 ft (assist by D. Harris),2,85-60,,
9:32.0,,,85-60,,N. Stauskas misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by T. Chandler,,85-60,,
9:27.0,Dallas full timeout,,85-60,,
9:27.0,G. Smith enters the game for T. Chandler,,85-60,,
9:16.0,C. Villanueva makes 2-pt shot from 20 ft (assist by G. Smith),2,87-60,,
9:01.0,,,87-63,3,D. Williams makes 3-pt shot from 25 ft (assist by D. Cousins)
8:37.0,J. Barea makes 2-pt shot from 6 ft (assist by C. Villanueva),2,89-63,,
8:16.0,Personal foul by G. Smith (drawn by D. Cousins),,89-63,,
8:06.0,,,89-63,,N. Stauskas misses 3-pt shot from 24 ft
8:06.0,Defensive rebound by R. Jefferson,,89-63,,
7:50.0,,,89-63,,Personal block foul by D. Cousins (drawn by D. Harris)
7:41.0,C. Villanueva misses 3-pt shot from 25 ft,,89-63,,
7:41.0,,,89-63,,Defensive rebound by R. McCallum
7:24.0,,,89-65,2,D. Cousins makes 2-pt shot from 3 ft (assist by D. Williams)
7:04.0,D. Harris makes 3-pt shot from 24 ft (assist by C. Villanueva),3,92-65,,
6:47.0,,,92-65,,R. McCallum misses 2-pt shot from 19 ft
6:46.0,Defensive rebound by D. Harris,,92-65,,
6:27.0,J. Barea misses 3-pt shot from 24 ft,,92-65,,
6:26.0,,,92-65,,Defensive rebound by R. Gay
6:17.0,,,92-65,,Shooting foul by R. Jefferson (drawn by R. Gay)
6:17.0,,,92-66,1,R. Gay makes free throw 1 of 2
6:17.0,R. Felton enters the game for D. Harris,,92-66,,
6:17.0,,,92-66,,Q. Miller enters the game for D. Williams
6:17.0,,,92-67,1,R. Gay makes free throw 2 of 2
6:03.0,G. Smith misses 2-pt shot from 3 ft,,92-67,,
6:01.0,Offensive rebound by C. Villanueva,,92-67,,
6:01.0,C. Villanueva misses 2-pt shot from 1 ft,,92-67,,
6:00.0,,,92-67,,Defensive rebound by D. Cousins
5:55.0,Official timeout,,92-67,,
5:55.0,,,92-67,,R. Hollins enters the game for R. Gay
5:55.0,,,92-67,,C. Landry enters the game for D. Cousins
5:50.0,,,92-67,,R. McCallum misses 2-pt shot from 2 ft
5:49.0,,,92-67,,Offensive rebound by C. Landry
5:49.0,,,92-67,,Shooting foul by R. Felton (drawn by C. Landry)
5:49.0,,,92-67,,C. Landry misses free throw 1 of 2
5:49.0,,,92-67,,Offensive rebound by Team
5:49.0,,,92-67,,C. Landry misses free throw 2 of 2
5:48.0,Defensive rebound by J. Barea,,92-67,,
5:33.0,R. Jefferson misses 2-pt shot from 17 ft,,92-67,,
5:32.0,,,92-67,,Defensive rebound by R. Hollins
5:14.0,,,92-69,2,R. Hollins makes 2-pt shot from 8 ft
5:00.0,R. Felton misses 2-pt shot from 11 ft,,92-69,,
4:59.0,,,92-69,,Defensive rebound by R. Hollins
4:47.0,,,92-69,,N. Stauskas misses 2-pt shot from 2 ft
4:45.0,,,92-69,,Offensive rebound by C. Landry
4:39.0,,,92-69,,R. McCallum misses 3-pt shot from 23 ft
4:38.0,Defensive rebound by C. Villanueva,,92-69,,
4:18.0,R. Jefferson misses 3-pt shot from 25 ft,,92-69,,
4:17.0,,,92-69,,Defensive rebound by Q. Miller
4:10.0,,,92-69,,Q. Miller misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by R. Felton,,92-69,,
4:03.0,J. Barea makes 2-pt shot from 2 ft (assist by R. Felton),2,94-69,,
3:46.0,,,94-69,,R. McCallum misses 2-pt shot from 3 ft (block by J. Barea)
3:45.0,,,94-69,,Offensive rebound by R. McCallum
3:45.0,,,94-69,,R. McCallum misses 2-pt shot from 3 ft
3:44.0,Defensive rebound by C. Villanueva,,94-69,,
3:40.0,Dallas full timeout,,94-69,,
3:40.0,D. Powell enters the game for J. Barea,,94-69,,
3:40.0,R. Ledo enters the game for C. Villanueva,,94-69,,
3:30.0,D. Powell misses 2-pt shot from 18 ft,,94-69,,
3:29.0,,,94-69,,Defensive rebound by R. McCallum
3:18.0,,,94-69,,N. Stauskas misses 2-pt shot from 20 ft
3:18.0,Defensive rebound by D. Powell,,94-69,,
